C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST14:04:57

cat='M'
-------

Number of objects : 110

 # |                                                                                                                                       identifier                                                                                                                                       |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
---|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
20 |M 1                                NGC 1952                           NAME CRAB NEB                      NAME Crab                          NAME Crab Nebula                   NAME Tau A                         NAME Taurus A                      M 1                                |SuperNova Remnant                   |05 34 30.9 +22 00 53                   |184.5551 -05.7877                  |            ~ ~   |     ~   |~              | 7.0   5.0     |    1|    2.0     kpc |                         |        |1973PASP...85..579T
21 |M 43                               NGC 1982                           NAME Mairan's Nebula               M 43                                                                                                                                                                           |HII Region                          |05 35 31.0 -05 16 12                   |208.9266 -19.2761                  |            ~ ~   |     ~   |~              |    ~     ~    |    0|                |                         |        |                   
22 |M 42                               NGC 1976                           NAME Great Orion Nebula            NAME Ori Nebula                    NAME Orion Nebula                  M 42                                                                                                     |Open Cluster                        |05 35 16.8 -05 23 24                   |209.0117 -19.3829                  |     1.67 -0.30   |     ~   |~              |66.0  66.0     |    1|  488       pc  |                         |        |2017AstBu..72..257L
23 |M 78                               NGC 2068                           M 78                                                                                                                                                                                                              |Reflection Nebula                   |05 46 45.8 +00 04 45                   |205.3287 -14.3119                  |    -0.93 -4.50   |     ~   |~              |    ~     ~    |    0|                |                         |        |                   
24 |M 37                               NGC 2099                           M 37                                                                                                                                                                                                              |Open Cluster                        |05 52 17.8 +32 32 42                   |177.6422 +03.0864                  |   1.924 -5.648   |5.6      |~              |19.3  19.3     |    1| 1432.0     pc  |                         |paral   |2021A&A...651A.104P
25 |M 35                               NGC 2168                           NGC 2168                                                                                                                                                                                                          |Open Cluster                        |06 09 05.3 +24 20 10                   |186.6093 +02.2300                  | 2.2784 -2.9336   |     ~   |~              |38.3  38.3     |    1|    0.888   kpc |  -0.059      +0.059     |        |2021MNRAS.503.3279S
26 |M 41                               NGC 2287                           M 41                                                                                                                                                                                                              |Open Cluster                        |06 45 59.8 -20 42 58                   |230.9800 -10.4316                  |  -4.339 -1.381   |4.5      |~              |39.8  39.8     |    1|  688.0     pc  |                         |paral   |2021A&A...651A.104P
27 |M 50                               NGC 2323                           NGC 2323                                                                                                                                                                                                          |Open Cluster                        |07 02 44.2 -08 21 54                   |221.6600 -01.3148                  |-0.7977 -0.6540   |     ~   |~              |31.6  31.6     |    1|  983.0     pc  |                         |paral   |2021A&A...651A.104P
28 |M 47                               NGC 2422                           NGC 2422                                                                                                                                                                                                          |Open Cluster                        |07 36 35.3 -14 29 20                   |230.9636 +03.1285                  | -7.0200 0.9592   |     ~   |~              |31.1  31.1     |    1|  504.0     pc  |                         |paral   |2021A&A...651A.104P
29 |M 46                               NGC 2437                           NGC 2437                                                                                                                                                                                                          |Open Cluster                        |07 41 46.8 -14 50 38                   |231.8889 +04.0505                  | -3.8232 0.3729   |     ~   |~              |25.3  25.3     |    1| 1511.0     pc  |                         |paral   |2021A&A...651A.104P
