C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:50:21

Vmag< 11&dec >=0&rah >=20.0&rah< 20.25
--------------------------------------

Number of objects : 10230

  #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |      spec. type       |   ang. size   
-----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------------|---------------
34   |HD 227664                                                                                                |Star                           |20 06 00.6370027704 +40 45 54.705360672|076.8700054404254 +04.7183283131263|   1.294 -1.937    |10.17    |~                      |    ~     ~    
35   |HD 227700                                                                                                |Star                           |20 06 18.5320462128 +40 51 00.812694276|076.9723788055824 +04.7159250660412| -8.404 -21.223    |10.80    |~                      |    ~     ~    
36   |HD 227755                                                                                                |Star                           |20 06 53.9411709168 +40 40 42.483962928|076.8866177681561 +04.5296976289521|    2.254 0.087    |10.09    |A3                     |    ~     ~    
37   |HD 227773                                                                                                |Star                           |20 07 11.2548392376 +40 41 13.979256216|076.9234093919041 +04.4881760643688| -0.682 -11.156    |9.92     |~                      |    ~     ~    
38   |HD 227813                                                                                                |Star                           |20 07 29.7324881904 +41 04 19.113983328|077.2805903692973 +04.6452081595893|    7.315 9.141    |9.98     |~                      |    ~     ~    
39   |HD 227866                                                                                                |Star                           |20 08 03.5109789528 +40 49 31.207694952|077.1290858328579 +04.4231230538716|   -1.274 0.099    |10.51    |~                      |    ~     ~    
40   |HD 227880                                                                                                |Star                           |20 08 11.0142882792 +40 51 13.384100664|077.1658432359652 +04.4184416653172| -7.294 -10.019    |10.28    |~                      |    ~     ~    
41   |HD 227888                                                                                                |Star                           |20 08 19.8008297808 +40 42 58.208212980|077.0645224419583 +04.3210671339396|  -0.294 -3.967    |10.72    |A0:                    |    ~     ~    
42   |HD 227901                                                                                                |Star                           |20 08 20.4519300912 +40 57 29.371504824|077.2701846965129 +04.4495725019510|  -2.800 -5.434    |10.99    |~                      |    ~     ~    
43   |HD 227900                                                                                                |Star                           |20 08 24.1414675512 +41 15 03.919721364|077.5241300508142 +04.5974072815297|  -4.350 -4.650    |10.62    |B2III                  |    ~     ~    
44   |HD 227925                                                                                                |Star                           |20 08 34.9397598528 +41 01 35.935739400|077.3526806334227 +04.4480440099190|   0.480 24.213    |10.78    |~                      |    ~     ~    
45   |HD 227926                                                                                                |Star                           |20 08 38.3901083904 +40 34 23.958917724|076.9755892614046 +04.1946009472505|  25.546 13.256    |9.59     |F5                     |    ~     ~    
46   |HD 227981                                                                                                |Star                           |20 09 09.2315766696 +40 35 17.662801524|077.0409946648501 +04.1204879821309|   6.709 -1.380    |10.41    |~                      |    ~     ~    
47   |HD 191650                                                                                                |Star                           |20 09 21.4635112344 +41 06 45.359559720|077.5043370263602 +04.3713482479957|    6.782 7.949    |8.79     |A0                     |    ~     ~    
48   |HD 228012                                                                                                |Star                           |20 09 29.2185009432 +40 54 10.817421120|077.3407159588996 +04.2375438558584|      -1.5 -1.1    |10.736   |~                      |    ~     ~    
49   |HD 228049                                                                                                |Star                           |20 09 44.5134133464 +40 40 34.756616496|077.1757696905247 +04.0742982782572|   2.047 -4.035    |9.84     |A0                     |    ~     ~    
50   |HD 228050                                                                                                |Star                           |20 09 46.3469641584 +40 34 15.317238504|077.0900962320674 +04.0123361993328|  -0.636 -5.304    |10.37    |~                      |    ~     ~    
51   |HD 228065                                                                                                |Star                           |20 09 54.4856473968 +41 21 26.200337040|077.7668776082488 +04.4166316044071|  19.036 10.014    |10.15    |~                      |    ~     ~    
52   |HD 228074                                                                                                |Star                           |20 10 01.3856512080 +41 09 43.852002336|077.6141262039806 +04.2928116724865|   14.844 8.955    |9.41     |A7                     |    ~     ~    
53   |HD 228091                                                                                                |Star                           |20 10 14.9304903312 +40 47 21.485334948|077.3231402870918 +04.0548398471476|   6.281 12.799    |10.25    |~                      |    ~     ~    
54   |HD 228092                                                                                                |Star                           |20 10 18.4328849616 +40 40 16.718770164|077.2298111427896 +03.9815149292265|   3.093 -3.283    |10.60    |~                      |    ~     ~    
55   |HD 191874                                                                                                |Star                           |20 10 28.1167074768 +40 28 42.728839428|077.0842503566689 +03.8510834728127|   1.153 -2.697    |8.31     |A0                     |    ~     ~    
56   |HD 228112                                                                                                |Star                           |20 10 29.1972816264 +41 09 28.956710448|077.6580827442190 +04.2172660099000|  16.372 16.888    |8.989    |ApSr:                  |    ~     ~    
57   |HD 228124                                                                                                |Star                           |20 10 34.4189771808 +41 12 45.597804444|077.7129932643825 +04.2331697934730|  -2.290 -8.256    |9.292    |B8                     |    ~     ~    
58   |HD 191944                                                                                                |Star                           |20 10 44.2953952848 +41 14 49.294621428|077.7587780084879 +04.2258466267316|   41.115 3.515    |6.96     |A2                     |    ~     ~    
59   |HD 228150                                                                                                |Star                           |20 10 46.5528996456 +41 08 17.545349112|077.6710398147009 +04.1607705306726| -4.024 -14.215    |9.55     |A3                     |    ~     ~    
60   |HD 191964                                                                                                |Star                           |20 10 55.2946309728 +40 42 02.639393568|077.3180199672160 +03.8997461850754| -6.062 -14.658    |9.19     |M2                     |    ~     ~    
61   |HD 191978                                                                                                |Star                           |20 10 58.2799378920 +41 21 09.926824572|077.8716288595552 +04.2465720326143|  -5.872 -4.651    |8.03     |O8Vz                   |    ~     ~    
62   |HD 192002                                                                                                |Variable Star                  |20 11 03.2713676904 +40 56 41.658711792|077.5370691319521 +04.0115423283292|  -2.408 -1.765    |8.46     |K5                     |    ~     ~    
63   |HD 228181                                                                                                |Star                           |20 11 04.1991376872 +41 03 24.354824076|077.6327340797340 +04.0699789573625|  -3.569 -8.089    |10.82    |~                      |    ~     ~    
64   |HD 228195                                                                                                |Star                           |20 11 06.9692508000 +41 13 32.690364348|077.7796074091966 +04.1546528463727|   1.011 -1.816    |9.85     |A0                     |    ~     ~    
65   |HD 192040                                                                                                |Star                           |20 11 18.2577705192 +41 09 19.184875056|077.7397099173095 +04.0866237369192|   3.594 -6.090    |8.16     |K5                     |    ~     ~    
66   |HD 228218                                                                                                |Star                           |20 11 28.9148325744 +40 41 24.183421980|077.3670436710950 +03.8048663155590|    4.761 1.888    |9.96     |~                      |    ~     ~    
67   |HD 228233                                                                                                |Star                           |20 11 42.5546490888 +41 10 02.932465080|077.7915786752165 +04.0293539521036|  15.793 -2.504    |10.46    |~                      |    ~     ~    
68   |HD 192122                                                                                                |Star                           |20 11 40.6493266272 +41 23 32.132847264|077.9771870610299 +04.1569695967611|   1.451 -2.804    |8.03     |B8                     |    ~     ~    
69   |AG+40 1984                                                                                               |Long-Period Variable Candidate |20 11 45.8703686592 +40 50 39.716723256|077.5259055401133 +03.8442516564557| -10.432 -5.856    |8.63     |M3                     |    ~     ~    
