C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:50:21

Vmag< 11&dec >=0&rah >=20.0&rah< 20.25
--------------------------------------

Number of objects : 10230

  #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |      spec. type       |   ang. size   
-----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------------|---------------
1824 |TYC 3944-1966-1                                                                                          |High Proper Motion Star        |20 05 22.7833414680 +57 00 50.010089688|090.8979835810376 +13.2293688522571|  52.833 49.946    |10.02    |~                      |    ~     ~    
1825 |TYC 3944-1977-1                                                                                          |Star                           |20 07 11.8389401928 +56 43 19.190803620|090.7665134730099 +12.8681476086786|   1.053 -2.128    |10.80    |~                      |    ~     ~    
1826 |TYC 3944-1991-1                                                                                          |Star                           |20 04 39.8820913656 +56 33 42.728323428|090.4453245406352 +13.0892600630476|   0.385 13.732    |10.10    |~                      |    ~     ~    
1827 |TYC 3944-2032-1                                                                                          |Star                           |20 05 51.2479329912 +57 02 45.574857816|090.9596325535825 +13.1894411369932|  -0.940 11.825    |10.38    |~                      |    ~     ~    
1828 |TYC 3944-2078-1                                                                                          |Star                           |20 11 23.8546704552 +56 37 03.174057120|090.9763688410327 +12.3187345534697|  -7.249 -8.052    |10.86    |~                      |    ~     ~    
1829 |TYC 3944-2095-1                                                                                          |Star                           |20 02 01.0690718808 +57 01 52.189023288|090.6814545409375 +13.6358514695206| 20.083 -15.096    |10.91    |~                      |    ~     ~    
1830 |TYC 3944-2117-1                                                                                          |Star                           |20 07 01.3822733760 +56 26 20.194806048|090.5034751767288 +12.7460562486836|    3.419 2.656    |10.60    |~                      |    ~     ~    
1831 |TYC 3944-2138-1                                                                                          |Star                           |20 11 26.5472323464 +56 52 19.502983344|091.2027602906807 +12.4449478704008|    9.225 4.301    |10.40    |~                      |    ~     ~    
1832 |TYC 3944-2177-1                                                                                          |Star                           |20 03 34.9312282776 +56 25 16.626757080|090.2438840810687 +13.1492373563882|  12.492 15.166    |10.29    |~                      |    ~     ~    
1833 |TYC 3944-2184-1                                                                                          |High Proper Motion Star        |20 06 34.5275206872 +56 25 33.416436900|090.4599912752079 +12.7929403977899|  46.431 31.467    |9.86     |~                      |    ~     ~    
1834 |TYC 3945-883-1                                                                                           |Star                           |20 14 51.2972865624 +57 11 54.727339812|091.7354721567322 +12.2186488758301|  11.631 42.547    |10.47    |~                      |    ~     ~    
1835 |TYC 3945-960-1                                                                                           |Star                           |20 13 46.5772383000 +57 09 46.164465288|091.6260032045874 +12.3244559643139|  25.445 20.693    |10.80    |~                      |    ~     ~    
1836 |TYC 3945-974-1                                                                                           |Star                           |20 13 51.0161287896 +57 09 38.430494532|091.6294900614894 +12.3147812043921|  25.440 20.634    |10.80    |~                      |    ~     ~    
1837 |TYC 3945-1186-1                                                                                          |Star                           |20 13 55.5419865672 +57 03 15.410267280|091.5421391225355 +12.2504399864385|  -4.183 -4.405    |10.25    |~                      |    ~     ~    
1838 |HD 192017                                                                                                |High Proper Motion Star        |20 09 35.4474091248 +60 24 16.837920792|094.2051869348701 +14.4477168157555|  40.506 72.606    |8.07     |F0                     |    ~     ~    
1839 |HD 239343                                                                                                |Star                           |20 10 40.7157276960 +60 17 56.018845644|094.1803870487973 +14.2782755902879|  5.623 -18.941    |10.16    |F8                     |    ~     ~    
1840 |HD 192534                                                                                                |Spectroscopic Binary           |20 12 12.5024676600 +60 19 26.857115184|094.3016611858929 +14.1276300973026| -5.341 -16.079    |8.13     |K0                     |    ~     ~    
1841 |HD 192676                                                                                                |Star                           |20 12 54.2637315504 +60 23 08.444987700|094.4014601813276 +14.0848743226565|  24.444 37.576    |8.53     |F0                     |    ~     ~    
1842 |HD 239354                                                                                                |Star                           |20 12 58.9266593352 +60 17 20.482250028|094.3208223587949 +14.0272896441462| -7.370 -10.549    |9.45     |G                      |    ~     ~    
1843 |HD 239323                                                                                                |Star                           |20 05 43.1246691576 +59 24 56.529764424|093.0699848307432 +14.3791026994750|  -3.899 -7.660    |9.76     |K0                     |    ~     ~    
1844 |HD 239324                                                                                                |Star                           |20 05 47.8730261088 +59 25 00.500781468|093.0760842755064 +14.3708783307132|  -4.780 -7.882    |9.49     |K7                     |    ~     ~    
1845 |BD+59 2178                                                                                               |Spectroscopic Binary           |20 06 14.2292796336 +59 29 27.108941028|093.1709881675468 +14.3587430060755| -3.131 -21.567    |10.01    |F2                     |    ~     ~    
1846 |HD 239327                                                                                                |Spectroscopic Binary           |20 06 43.0307292696 +59 27 50.725150020|093.1779972831849 +14.2925207793332|   -0.690 0.480    |8.84     |K5                     |    ~     ~    
1847 |HD 239344                                                                                                |Star                           |20 11 00.7498546104 +59 56 26.987777628|093.8831857713229 +14.0617020044334|  -2.858 -6.439    |9.14     |G0                     |    ~     ~    
1848 |HD 192490                                                                                                |High Proper Motion Star        |20 11 59.0673074640 +59 41 29.604303456|093.7257683337851 +13.8299235027274|  42.069 85.574    |7.090    |F5                     |    ~     ~    
1849 |HD 192491                                                                                                |Star                           |20 12 04.1697492648 +59 37 35.904591192|093.6738878769280 +13.7876002928124|  17.010 37.144    |7.78     |K0III-IV               |    ~     ~    
1850 |HD 192513                                                                                                |Star                           |20 12 03.5238157320 +60 08 55.762502856|094.1362579926253 +14.0545557584147|    6.025 6.772    |7.90     |A0                     |    ~     ~    
1851 |HD 239351                                                                                                |Star                           |20 12 43.4367403584 +59 55 53.314250988|093.9871461043009 +13.8723545182523|    7.265 9.784    |9.40     |K2                     |    ~     ~    
1852 |HD 239352                                                                                                |Star                           |20 12 45.0674541432 +59 51 12.471554052|093.9198750117830 +13.8295593950201| -17.520 -2.386    |9.24     |K7                     |    ~     ~    
1853 |HD 239353                                                                                                |Star                           |20 12 59.2235281224 +59 54 08.995413240|093.9788599753031 +13.8292025007579|  -7.149 -8.690    |9.66     |K0                     |    ~     ~    
1854 |HD 239358                                                                                                |Star                           |20 14 16.3562350632 +59 39 07.356644208|093.8433390637649 +13.5616921689122|   20.182 6.818    |9.53     |K0                     |    ~     ~    
1855 |HD 239359                                                                                                |Star                           |20 14 42.3803224560 +59 40 07.097171916|093.8870771128447 +13.5233868454968|  27.168 31.370    |9.08     |G5                     |    ~     ~    
1856 |HD 192981                                                                                                |Star                           |20 14 50.5373538504 +59 37 31.561347288|093.8582145607984 +13.4863196426526|   3.882 10.661    |8.72     |A2                     |    ~     ~    
1857 |HD 239288                                                                                                |Star                           |20 01 21.3471532152 +58 35 09.758867424|092.0394092249562 +14.4665884482398|  23.560 -8.114    |9.35     |F5                     |    ~     ~    
1858 |HD 239298                                                                                                |High Proper Motion Star        |20 02 32.4154430496 +58 30 40.646005560|092.0488710301532 +14.2951932067418|  55.263 17.396    |10.02    |F5                     |    ~     ~    
1859 |AG+58 1226                                                                                               |High Proper Motion Star        |20 02 32.3106909120 +58 30 22.567863600|092.0442247691707 +14.2929576439383|  56.089 13.850    |10.78    |~                      |    ~     ~    
1860 |HD 239303                                                                                                |Star                           |20 03 14.4134801136 +58 43 33.136809780|092.2881247506973 +14.3197268491427|    8.859 9.734    |8.95     |G5                     |    ~     ~    
1861 |HD 239308                                                                                                |Star                           |20 03 26.1421523760 +58 44 28.668884280|092.3147688614488 +14.3050720392072|   1.347 -0.645    |10.17    |K0                     |    ~     ~    
1862 |HD 239304                                                                                                |Spectroscopic Binary           |20 03 16.5393021384 +58 45 58.094631684|092.3267459899162 +14.3352902244885|  19.893 15.034    |9.65     |F8                     |    ~     ~    
1863 |HD 239311                                                                                                |Star                           |20 03 57.3036617856 +59 10 33.518187372|092.7403915778783 +14.4582086247208|-12.300 -16.004    |9.53     |G0                     |    ~     ~    
1864 |HD 239312                                                                                                |Spectroscopic Binary           |20 04 03.5579871048 +58 39 25.200806904|092.2796192723356 +14.1932444489494| -9.846 -19.033    |9.58     |K7                     |    ~     ~    
1865 |HD 190961                                                                                                |Star                           |20 04 23.8813023672 +58 50 04.566855156|092.4615869453607 +14.2418015499001|   13.192 5.546    |8.88     |A2                     |    ~     ~    
1866 |HD 239320                                                                                                |Star                           |20 05 22.4763222264 +59 06 16.668392616|092.7680693527910 +14.2645390829223|    2.854 5.533    |10.06    |F8                     |    ~     ~    
1867 |BD+58 2057                                                                                               |Star                           |20 07 18.3340892136 +58 44 13.457694876|092.5659639448432 +13.8660866156103|   -6.078 0.234    |10.51    |G5                     |    ~     ~    
1868 |HD 191608                                                                                                |Star                           |20 07 42.7792915488 +59 08 24.279169668|092.9529474127098 +14.0213772137085|    6.259 2.773    |9.50     |A0                     |    ~     ~    
1869 |BD+58 2058B                                                                                              |Star                           |20 07 41.2271751960 +59 08 20.189054328|092.9502283218834 +14.0236872064271|    6.388 2.985    |10.31    |A0                     |    ~     ~    
1870 |HD 191737                                                                                                |Star                           |20 08 25.4533140600 +58 47 14.236395468|092.6854265204388 +13.7655968732983| -4.980 -11.361    |7.92     |G3III                  |    ~     ~    
1871 |HD 239341                                                                                                |Star                           |20 10 11.6085651600 +59 02 25.059787404|093.0288529274797 +13.6958033625040| -8.359 -11.337    |9.90     |A5                     |    ~     ~    
1872 |HD 239342                                                                                                |Star                           |20 10 32.2586492952 +59 03 32.763655296|093.0686125676976 +13.6671774670087|    2.759 8.515    |9.73     |A5                     |    ~     ~    
1873 |HD 192237                                                                                                |Star                           |20 10 50.3113986528 +59 01 28.887551508|093.0583135583855 +13.6163729603675|   2.379 -0.169    |9.29     |A0                     |    ~     ~    
1874 |HD 239348                                                                                                |Star                           |20 12 13.9077426408 +59 07 27.505262928|093.2403721861321 +13.5131966064422|  11.843 -0.374    |9.60     |F5                     |    ~     ~    
1875 |HD 239349                                                                                                |Variable Star                  |20 12 12.0748367400 +59 25 47.390986488|093.5084366123689 +13.6727920890272| -5.478 -19.186    |9.03     |K2                     |    ~     ~    
1876 |HD 239356                                                                                                |Star                           |20 14 01.0128335256 +58 43 50.203010712|093.0155582732260 +13.1129656152037|  0.189 -16.816    |9.18     |A3                     |    ~     ~    
1877 |HD 192952                                                                                                |Star                           |20 14 39.8998415664 +58 56 21.112292364|093.2433239716378 +13.1495618603654|   -2.651 1.735    |7.09     |K2                     |    ~     ~    
1878 |HD 239317                                                                                                |High Proper Motion Star        |20 05 19.2499335408 +58 23 24.746563032|092.1234737952331 +13.9187393340452|-26.281 -48.643    |9.34     |F2                     |    ~     ~    
1879 |HD 239337                                                                                                |Star                           |20 09 02.7012212640 +58 19 05.679726312|092.3103281726133 +13.4595693821010|-11.109 -17.605    |8.40     |M0                     |    ~     ~    
1880 |IRAS 20086+5922                                                                                          |Long-Period Variable Candidate |20 09 38.6559306408 +59 31 04.403988372|093.4171083732270 +13.9973147641441|   2.980 -4.363    |10.66    |~                      |    ~     ~    
1881 |HD 239329                                                                                                |Star                           |20 07 19.0453026768 +58 07 06.738347496|092.0151768138750 +13.5558232112354|   1.603 -0.680    |9.71     |K7                     |    ~     ~    
1882 |BD+57 2161                                                                                               |Chemically Peculiar Star       |20 14 07.7504132160 +58 06 19.415102112|092.4752299903100 +12.7756071690606|    7.310 4.076    |9.68     |C4,1_CH3_Ba4           |    ~     ~    
1883 |IRAS 20056+5912                                                                                          |Long-Period Variable           |20 06 38.8399720584 +59 20 59.831344680|093.0710908773069 +14.2438225447239|  -8.446 -3.415    |9.97     |~                      |    ~     ~    
1884 |BD+58 2048                                                                                               |Spectroscopic Binary           |20 04 50.8247611416 +58 55 17.285589228|092.5690423847070 +14.2337732731268|    3.906 6.650    |10.27    |~                      |    ~     ~    
1885 |BD+58 2062                                                                                               |Star                           |20 09 54.46 +58 55 39.2                |092.90959 +13.67054                |            ~ ~    |10.5     |~                      |    ~     ~    
1886 |TYC 3948-2542-1                                                                                          |Star                           |20 03 35.7883005312 +58 55 21.331538832|092.4886832004792 +14.3751425366216|   2.854 24.982    |10.58    |~                      |    ~     ~    
1887 |TYC 3948-1985-1                                                                                          |Star                           |20 02 18.5860435835 +58 59 22.792873850|092.4662536794748 +14.5527524592311|       0.9 -3.5    |10.96    |~                      |    ~     ~    
1888 |BD+58 2035                                                                                               |Star                           |20 02 30.6558381552 +58 53 10.778727408|092.3857340237540 +14.4801174970022| -6.956 -11.881    |10.25    |~                      |    ~     ~    
1889 |BD+58 2037                                                                                               |Star                           |20 02 48.7037576232 +59 00 35.765907516|092.5168527727505 +14.5059641357752|   -8.219 0.538    |10.24    |~                      |    ~     ~    
1890 |BD+58 2043                                                                                               |Spectroscopic Binary           |20 03 49.2246317496 +59 02 43.096110684|092.6138455804215 +14.4096789211936|  -6.779 -5.940    |10.23    |~                      |    ~     ~    
1891 |HD 239299                                                                                                |Star                           |20 02 38.7931878576 +58 12 04.338639504|091.7762169287634 +14.1324384197218|  17.901 22.090    |9.65     |G5                     |    ~     ~    
1892 |HD 239307                                                                                                |Star                           |20 03 26.5410885480 +58 10 09.868883052|091.8003062693050 +14.0253631453448|  -2.640 -5.209    |10.04    |A0                     |    ~     ~    
1893 |HD 239310                                                                                                |Star                           |20 03 37.1115013632 +58 16 59.890526076|091.9144136832493 +14.0608038560744|    7.102 4.319    |9.70     |K0                     |    ~     ~    
1894 |BD+57 2131                                                                                               |Star                           |20 05 22.6730994960 +58 06 51.688746536|091.8802989844785 +13.7759018632751|    10.70 13.10    |10.20    |~                      |    ~     ~    
1895 |HD 239318                                                                                                |Star                           |20 05 22.5588869352 +58 07 21.519697764|091.8875858416319 +13.7802193496350|  10.414 -1.411    |9.70     |F8                     |    ~     ~    
1896 |HD 239319                                                                                                |Star                           |20 05 30.1853038248 +57 59 53.472865200|091.7848295907238 +13.7040008678301|  -4.143 -1.460    |9.20     |K0                     |    ~     ~    
1897 |HD 239328                                                                                                |Star                           |20 07 06.6266644464 +57 56 33.859256532|091.8445302982370 +13.4915710952736|  -9.827 -2.545    |10.76    |~                      |    ~     ~    
1898 |HD 191609                                                                                                |Star                           |20 07 45.5032557480 +57 47 59.680972212|091.7619204643337 +13.3454062695682|  1.953 -16.783    |7.172    |A0                     |    ~     ~    
1899 |HD 239350                                                                                                |Star                           |20 12 55.6553638344 +57 27 45.499593852|091.8270752446777 +12.5783623220576| -11.998 -5.164    |9.27     |K5                     |    ~     ~    
1900 |TYC 3944-10-1                                                                                            |Star                           |20 13 14.0408527008 +57 49 44.117625612|092.1698005623752 +12.7333511802021| -12.271 -7.921    |10.29    |~                      |    ~     ~    
1901 |TYC 3944-31-1                                                                                            |Star                           |20 11 27.2799663600 +57 57 07.797674880|092.1529528062710 +12.9994839900151|  10.063 17.276    |10.58    |~                      |    ~     ~    
1902 |TYC 3944-41-1                                                                                            |Star                           |20 12 32.3934665832 +57 56 10.388739804|092.2149808212537 +12.8678255374896|  -0.776 -5.526    |10.69    |~                      |    ~     ~    
1903 |TYC 3944-57-1                                                                                            |Star                           |20 11 12.2768833128 +58 03 00.067617432|092.2217607911709 +13.0780901395523|   5.631 25.286    |10.27    |~                      |    ~     ~    
1904 |TYC 3944-59-1                                                                                            |Star                           |20 11 41.2285390440 +58 03 06.779134728|092.2570089051236 +13.0242458810841|   7.034 13.793    |10.49    |~                      |    ~     ~    
1905 |TYC 3944-166-1                                                                                           |Star                           |20 13 10.5549974952 +57 39 23.087052468|092.0145181725430 +12.6504619952482| -7.715 -12.905    |10.98    |~                      |    ~     ~    
1906 |TYC 3944-182-1                                                                                           |Star                           |20 11 49.9954129656 +57 44 25.923696864|091.9932690404177 +12.8474915922500|   2.602 -2.082    |10.43    |~                      |    ~     ~    
1907 |TYC 3944-187-1                                                                                           |Star                           |20 11 57.2802082608 +57 41 36.589431156|091.9604864503097 +12.8093653490878|  5.521 -10.160    |10.22    |~                      |    ~     ~    
1908 |TYC 3944-240-1                                                                                           |Star                           |20 06 06.6030499128 +58 05 17.204624124|091.9062037906591 +13.6788923322356|    8.840 4.257    |10.26    |~                      |    ~     ~    
1909 |TYC 3944-391-1                                                                                           |Star                           |20 04 36.0904712496 +58 02 12.809683680|091.7587530881633 +13.8269186476778|   -1.816 7.447    |10.80    |~                      |    ~     ~    
1910 |TYC 3944-820-1                                                                                           |Star                           |20 09 57.9743940480 +57 53 35.115834300|091.9971439093424 +13.1391469432552|  -4.727 -5.176    |10.70    |~                      |    ~     ~    
1911 |TYC 3944-1138-1                                                                                          |Star                           |20 06 21.9453191280 +57 53 58.265146752|091.7552360733011 +13.5556534181292|  -2.063 -4.480    |10.21    |~                      |    ~     ~    
1912 |TYC 3945-343-1                                                                                           |Star                           |20 13 20.9867901864 +58 02 33.019803204|092.3652288676690 +12.8309802029121|   7.431 -0.182    |9.83     |~                      |    ~     ~    
1913 |TYC 3945-631-1                                                                                           |Star                           |20 13 53.7468520080 +57 44 22.141446936|092.1384832155449 +12.6115131152116|   9.900 15.549    |10.11    |~                      |    ~     ~    
1914 |TYC 3945-892-1                                                                                           |Star                           |20 14 50.4599714688 +57 44 36.920585976|092.2095605294871 +12.5061031433237|    6.919 3.454    |10.72    |~                      |    ~     ~    
1915 |TYC 3948-3-1                                                                                             |Star                           |20 09 33.5831545368 +59 56 25.811647008|093.7884403065831 +14.2187211346783|    4.508 1.496    |10.37    |~                      |    ~     ~    
1916 |TYC 3948-56-1                                                                                            |Star                           |20 09 51.2178565104 +59 04 42.031970328|093.0399141007189 +13.7527275865429|   -5.251 0.557    |10.78    |~                      |    ~     ~    
1917 |TYC 3948-87-1                                                                                            |Star                           |20 11 44.7036513480 +59 54 22.563311724|093.9004216632357 +13.9650644362949|    8.723 7.628    |10.96    |~                      |    ~     ~    
1918 |TYC 3948-116-1                                                                                           |Star                           |20 12 51.9831229488 +59 01 10.094356092|093.1908557479087 +13.3894225684123|   12.377 7.069    |10.50    |~                      |    ~     ~    
1919 |TYC 3948-118-1                                                                                           |Star                           |20 10 12.8698454208 +58 26 26.035312560|092.4985800476827 +13.3893514753973|   4.964 20.379    |10.53    |~                      |    ~     ~    
1920 |TYC 3948-161-1                                                                                           |Star                           |20 11 26.0726987976 +59 56 36.284310384|093.9130619968550 +14.0174352952038|   21.490 9.864    |10.46    |~                      |    ~     ~    
1921 |TYC 3948-196-1                                                                                           |Star                           |20 10 20.9539617384 +58 38 37.674064932|092.6877505066677 +13.4774340817968|   11.725 5.517    |10.55    |~                      |    ~     ~    
1922 |TYC 3948-196-2                                                                                           |Star                           |20 10 21.7469205840 +58 38 35.906977032|092.6882134778296 +13.4757037273405|   15.645 6.054    |10.66    |~                      |    ~     ~    
1923 |TYC 3948-207-1                                                                                           |Star                           |20 11 12.8886845760 +59 28 07.449142008|093.4771775617745 +13.8004813950076|    2.695 1.379    |10.58    |~                      |    ~     ~    
1924 |TYC 3948-212-1                                                                                           |Star                           |20 10 38.5794313416 +59 11 04.278705720|093.1869330470908 +13.7191183169643|    8.639 2.116    |10.62    |~                      |    ~     ~    
1925 |TYC 3948-267-1                                                                                           |Star                           |20 09 17.7615632136 +59 39 58.432575816|093.5265391941024 +14.1099110797984|  -6.819 -5.813    |10.65    |~                      |    ~     ~    
1926 |TYC 3948-342-1                                                                                           |Star                           |20 10 27.1695473760 +58 47 12.818929668|092.8215596009796 +13.5385019990929| -22.804 -9.069    |10.58    |~                      |    ~     ~    
1927 |TYC 3948-383-1                                                                                           |Star                           |20 09 47.9223870288 +59 44 12.575161788|093.6223079113365 +14.0905186522721| -9.255 -16.068    |10.26    |~                      |    ~     ~    
1928 |TYC 3948-391-1                                                                                           |Pulsating Variable             |20 11 47.9296378608 +59 52 43.553446428|093.8795435502141 +13.9452826356406|   1.342 11.329    |10.44    |~                      |    ~     ~    
1929 |TYC 3948-425-1                                                                                           |Star                           |20 09 21.9084543648 +59 34 28.061607324|093.4492102879762 +14.0563169077556|   15.669 5.446    |10.14    |~                      |    ~     ~    
1930 |TYC 3948-436-1                                                                                           |Star                           |20 11 34.1226970152 +58 30 14.508191592|092.6474594861283 +13.2694285151781|   -2.446 7.959    |10.08    |~                      |    ~     ~    
1931 |TYC 3948-479-1                                                                                           |Star                           |20 10 54.7375532064 +59 48 47.184362676|093.7630551838912 +14.0079558720711|  -6.234 -1.883    |10.01    |~                      |    ~     ~    
1932 |TYC 3948-492-1                                                                                           |Star                           |20 11 39.2724353568 +58 53 01.938013620|092.9888175903410 +13.4540956578734|   2.654 -2.552    |10.27    |~                      |    ~     ~    
1933 |TYC 3948-506-1                                                                                           |Star                           |20 11 30.9475954512 +58 54 07.165983168|092.9954249984568 +13.4787563629902|  -7.052 -2.951    |10.83    |~                      |    ~     ~    
1934 |TYC 3948-528-1                                                                                           |Star                           |20 10 28.9622143872 +58 49 08.440377348|092.8520423472695 +13.5514730355938|  -0.058 -1.785    |10.71    |~                      |    ~     ~    
1935 |TYC 3948-543-1                                                                                           |Star                           |20 12 26.7284927856 +58 45 50.249679840|092.9368639345415 +13.3047562685325|    2.308 1.598    |10.33    |~                      |    ~     ~    
1936 |TYC 3948-556-1                                                                                           |Star                           |20 10 46.5392184864 +58 40 58.224135396|092.7513023181014 +13.4495388481837|  -1.151 -0.466    |10.67    |~                      |    ~     ~    
1937 |TYC 3948-601-1                                                                                           |Star                           |20 07 17.8714850424 +58 18 14.319377496|092.1790682894799 +13.6507957765940|   -4.698 2.789    |10.62    |~                      |    ~     ~    
1938 |TYC 3948-603-1                                                                                           |Star                           |20 02 10.6099631712 +58 29 52.053355068|092.0129567574843 +14.3301819985657| -16.033 -9.667    |10.61    |~                      |    ~     ~    
1939 |TYC 3948-636-1                                                                                           |Star                           |20 06 01.6764556992 +59 46 45.294400524|093.4168311994666 +14.5236217914622|  -4.905 -9.762    |9.93     |~                      |    ~     ~    
1940 |TYC 3948-788-1                                                                                           |Star                           |20 04 39.8498549064 +59 27 32.645436228|093.0412324108320 +14.5172217900920| -14.378 -8.994    |10.79    |~                      |    ~     ~    
1941 |TYC 3948-849-1                                                                                           |Star                           |20 08 12.2970156792 +58 26 01.082066640|092.3558401333547 +13.6128128012272|   4.962 -2.522    |10.44    |~                      |    ~     ~    
1942 |TYC 3948-886-1                                                                                           |Star                           |20 07 40.9285338264 +59 50 00.464162532|093.5715181110933 +14.3694864303481|   36.227 5.814    |10.75    |~                      |    ~     ~    
1943 |TYC 3948-897-1                                                                                           |Star                           |20 06 31.6457766240 +58 27 00.689634432|092.2577408960709 +13.8112220617892| -10.389 -4.728    |10.37    |~                      |    ~     ~    
1944 |TYC 3948-1005-1                                                                                          |Star                           |20 08 45.5036125296 +58 10 40.418392404|092.1661865301460 +13.4212830438574|    6.736 8.927    |10.69    |~                      |    ~     ~    
1945 |TYC 3948-1261-1                                                                                          |Star                           |20 04 21.3392517000 +58 09 12.684076200|091.8468721729485 +13.9125889981546|    5.336 3.671    |10.78    |~                      |    ~     ~    
1946 |TYC 3948-1295-1                                                                                          |Star                           |20 01 35.5121445000 +58 19 16.210663392|091.8151595334060 +14.3118961511090|  22.119 10.031    |10.76    |~                      |    ~     ~    
1947 |TYC 3948-1428-1                                                                                          |Star                           |20 06 12.5119059384 +59 39 54.762451560|093.3258200890573 +14.4477419057546|    0.766 2.195    |10.24    |~                      |    ~     ~    
1948 |TYC 3948-1892-1                                                                                          |Star                           |20 08 48.0485474016 +59 55 38.734585032|093.7277056828675 +14.2944911780424|  -2.094 -6.629    |10.48    |~                      |    ~     ~    
1949 |TYC 3948-1911-1                                                                                          |Spectroscopic Binary           |20 05 27.8109579696 +58 55 35.469920964|092.6138986026286 +14.1669729674788|   11.615 2.769    |9.76     |~                      |    ~     ~    
1950 |TYC 3948-1916-1                                                                                          |Star                           |20 04 46.6975968288 +59 09 56.721855816|092.7843390406059 +14.3611667572853|    6.651 0.168    |10.19    |~                      |    ~     ~    
1951 |TYC 3948-1972-1                                                                                          |Star                           |20 05 28.3137038112 +58 50 26.512366452|092.5374178991369 +14.1237693883523|   -0.808 3.953    |10.01    |~                      |    ~     ~    
1952 |TYC 3948-1973-1                                                                                          |Star                           |20 05 26.8582092960 +59 02 33.227230200|092.7170659133113 +14.2258541523753|  -6.976 -9.068    |10.27    |~                      |    ~     ~    
1953 |TYC 3948-2137-1                                                                                          |Star                           |20 05 19.7117425728 +59 16 52.961068128|092.9239815504536 +14.3564695268400|  -8.638 -4.656    |9.86     |~                      |    ~     ~    
1954 |TYC 3948-2279-1                                                                                          |Star                           |20 01 13.4398788840 +58 52 31.587884364|092.2931477198680 +14.6206009506663|  -3.666 -5.397    |10.30    |~                      |    ~     ~    
1955 |TYC 3948-2295-1                                                                                          |Spectroscopic Binary           |20 09 15.9076631448 +59 02 19.541296464|092.9654532366116 +13.7981034225684|  -2.869 -3.554    |10.95    |~                      |    ~     ~    
1956 |TYC 3948-2310-1                                                                                          |Spectroscopic Binary           |20 07 15.4386633936 +59 24 57.210779340|093.1698677719861 +14.2090061975419|   0.704 -5.427    |10.73    |~                      |    ~     ~    
1957 |TYC 3948-2333-1                                                                                          |Star                           |20 07 10.9933419792 +59 11 01.253347584|092.9571243301707 +14.1019633300937|  -2.047 -0.169    |10.36    |~                      |    ~     ~    
1958 |TYC 3948-2395-1                                                                                          |Star                           |20 02 57.3342421752 +58 43 28.908001056|092.2685396301633 +14.3514471011089| -7.372 -17.840    |10.63    |~                      |    ~     ~    
1959 |TYC 3948-2493-1                                                                                          |Star                           |20 09 14.7206081472 +58 42 25.911872460|092.6693125845695 +13.6332636704292|   -2.872 4.032    |9.71     |~                      |    ~     ~    
1960 |TYC 3949-88-1                                                                                            |Star                           |20 14 23.9693081472 +58 12 54.466004592|092.5903318141238 +12.8023241726632|  -1.525 -9.195    |10.78    |~                      |    ~     ~    
1961 |TYC 3949-91-1                                                                                            |Star                           |20 13 33.2193392376 +59 53 28.002451956|094.0062925069903 +13.7623641664262|  -1.642 -5.978    |10.39    |~                      |    ~     ~    
1962 |TYC 3949-253-1                                                                                           |Star                           |20 13 29.7521999376 +59 58 36.953730372|094.0783065916559 +13.8126229407967|    4.780 4.218    |10.29    |~                      |    ~     ~    
1963 |TYC 3949-1016-1                                                                                          |High Proper Motion Star        |20 14 21.9932492976 +58 42 07.174925172|093.0146288240633 +13.0593105875192|  13.214 58.912    |10.79    |~                      |    ~     ~    
1964 |TYC 4232-90-1                                                                                            |Star                           |20 13 14.9660367336 +60 06 34.589335788|094.1794171196182 +13.9070306195960|  20.675 16.793    |9.43     |~                      |    ~     ~    
1965 |TYC 4232-156-1                                                                                           |Star                           |20 12 31.5433755024 +60 01 33.465519948|094.0578150850948 +13.9419017328554|  -2.121 -9.304    |10.92    |~                      |    ~     ~    
1966 |TYC 4232-264-1                                                                                           |Spectroscopic Binary           |20 13 23.6927090400 +60 03 38.546595288|094.1457193794347 +13.8664105760892| -2.035 -21.734    |10.53    |~                      |    ~     ~    
1967 |TYC 4232-336-1                                                                                           |Star                           |20 13 47.7882447768 +60 05 46.882434948|094.2036977733761 +13.8417110332917|    1.945 2.644    |9.51     |~                      |    ~     ~    
1968 |TYC 4232-995-1                                                                                           |Star                           |20 12 26.1089384640 +60 27 40.471143588|094.4381278615072 +14.1731813526052|   1.635 -6.025    |10.20    |~                      |    ~     ~    
1969 |TYC 4232-1110-1                                                                                          |Star                           |20 14 17.6426461848 +60 20 56.340358044|094.4596344058279 +13.9185416816097|   10.408 8.940    |10.80    |~                      |    ~     ~    
1970 |TYC 4232-1208-1                                                                                          |Star                           |20 14 56.6349686400 +60 19 12.151162056|094.4767650811958 +13.8347146155263|   5.306 -8.795    |10.56    |~                      |    ~     ~    
1971 |TYC 4232-1215-1                                                                                          |Star                           |20 09 04.8518297976 +60 20 27.464224560|094.1156852620800 +14.4705226417821|   21.736 8.928    |10.86    |~                      |    ~     ~    
