C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:48:17

dec >=0&rah >=10.25&rah< 10.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2565

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |BD+84 228                                                                                                |Star                               |10 17 58.3538980488 +83 40 49.672992936|127.5531866292251 +32.0069666573783|-24.947 -16.892   |10.77    |F5                 |    ~     ~    |    1|  306.532   pc  |  -1.3249     +1.3249  |paral   |2020yCat.1350....0G
23  |BD+84 236                                                                                                |Red Giant Branch star Candidate    |10 29 32.0677238568 +83 28 20.801196876|127.4122250824557 +32.3724331215664|-31.749 -14.829   |9.61     |K0                 |    ~     ~    |    1|  280.891   pc  |  -0.9152     +0.9152  |paral   |2020yCat.1350....0G
24  |BD+83 291                                                                                                |Star                               |10 27 52.1350951896 +83 12 03.101686560|127.6554241354612 +32.5567885149734|   4.385 -3.117   |8.72     |K2                 |    ~     ~    |    1|  761.905   pc  | -10.9134    +10.9134  |paral   |2020yCat.1350....0G
25  |BD+83 293                                                                                                |Star                               |10 28 32.8998466368 +83 15 41.630710500|127.5922736752662 +32.5214141866412|  -4.639 -2.538   |9.47     |K2                 |    ~     ~    |    1|  568.602   pc  |  -3.7180     +3.7180  |paral   |2020yCat.1350....0G
26  |TYC 4632-291-1                                                                                           |High Proper Motion Star            |10 23 37.2608352120 +83 30 48.755712204|127.5371621253695 +32.2360367617001| -56.971 -7.025   |10.84    |~                  |    ~     ~    |    1|  150.902   pc  |  -0.8721     +0.8721  |paral   |2020yCat.1350....0G
27  |BD+84 229                                                                                                |Star                               |10 18 07.8481382664 +83 22 00.567946884|127.7906648624874 +32.2476820767527|  15.045 30.845   |9.88     |G5                 |    ~     ~    |    1|   82.583   pc  |  -0.0852     +0.0852  |paral   |2020yCat.1350....0G
28  |BD+83 283                                                                                                |Star                               |10 15 39.3168308064 +82 59 12.338838204|128.1522588941847 +32.4855292788186|    4.567 5.436   |10.36    |G5                 |    ~     ~    |    1|  234.764   pc  |  -0.6724     +0.6724  |paral   |2020yCat.1350....0G
29  |BD+83 284                                                                                                |Star                               |10 19 42.2644858176 +82 39 17.585730396|128.2980170354346 +32.8188100367147|  -1.474 -1.746   |10.14    |K2                 |    ~     ~    |    1| 1262.148   pc  | -25.4883    +25.4883  |paral   |2020yCat.1350....0G
30  |BD+83 285                                                                                                |Star                               |10 22 06.4992157992 +82 57 17.261394516|127.9994157725639 +32.6385037806969|   20.109 6.956   |10.33    |G5                 |    ~     ~    |    1|  152.469   pc  |  -0.3162     +0.3162  |paral   |2020yCat.1350....0G
31  |BD+83 286                                                                                                |Star                               |10 21 21.4612616592 +82 19 16.773715164|128.5070630577381 +33.1076299696071|-40.151 -19.426   |9.68     |F5                 |    ~     ~    |    1|  182.645   pc  |  -0.4837     +0.4837  |paral   |2020yCat.1350....0G
32  |HD 89108                                                                                                 |Star                               |10 24 41.7557940792 +82 48 05.994874188|128.0418129372563 +32.8076427435306|   1.830 -3.842   |6.83     |K0                 |    ~     ~    |    1|  152.863   pc  |  -0.4229     +0.4229  |paral   |2020yCat.1350....0G
33  |BD+83 288                                                                                                |Star                               |10 25 15.2149484712 +82 44 04.920454140|128.0759768870676 +32.8706377864692|  -7.780 -3.796   |9.45     |G5                 |    ~     ~    |    1|  509.476   pc  |  -3.2965     +3.2965  |paral   |2020yCat.1350....0G
34  |BD+83 289                                                                                                |Star                               |10 25 14.4446926248 +82 34 41.827176408|128.1940293157882 +32.9916670037744|    3.774 2.655   |9.55     |A5                 |    ~     ~    |    1|  476.690   pc  |  -3.5221     +3.5221  |paral   |2020yCat.1350....0G
35  |BD+83 290                                                                                                |Star                               |10 26 32.1134466696 +82 49 39.504831672|127.9691764978022 +32.8236457344676|   4.928 -4.590   |9.21     |K5                 |    ~     ~    |    1| 1164.822   pc  | -20.7592    +20.7592  |paral   |2020yCat.1350....0G
36  |BD+83 292                                                                                                |Star                               |10 27 01.9753015776 +82 21 27.966913524|128.3051912821066 +33.2000018988103| -14.705 -6.977   |9.07     |K5                 |    ~     ~    |    1|  775.434   pc  |  -8.2979     +8.2979  |paral   |2020yCat.1350....0G
37  |BD+83 294                                                                                                |Star                               |10 29 35.8598122992 +82 30 12.106359684|128.1180283060975 +33.1384677885422| -9.212 -46.891   |9.94     |F8                 |    ~     ~    |    1|  184.659   pc  |  -0.4262     +0.4262  |paral   |2020yCat.1350....0G
38  |BD+83 295                                                                                                |Star                               |10 29 59.3678251512 +82 39 10.341317340|127.9963013289035 +33.0284185647735|-16.472 -19.057   |10.26    |F8                 |    ~     ~    |    1|  246.706   pc  |  -0.9008     +0.9008  |paral   |2020yCat.1350....0G
39  |BD+82 295                                                                                                |Star                               |10 15 51.5263886280 +81 49 29.221907628|129.0683672909144 +33.3566805753020|  -8.864 -9.523   |10.24    |F0                 |    ~     ~    |    1|  470.190   pc  |  -2.8519     +2.8519  |paral   |2020yCat.1350....0G
40  |BD+82 296                                                                                                |Star                               |10 20 39.8455661064 +81 51 06.200993700|128.8936891401502 +33.4491315581078|   11.093 5.364   |10.60    |K0                 |    ~     ~    |    1|  948.587   pc  | -11.3377    +11.3377  |paral   |2020yCat.1350....0G
41  |BD+82 297                                                                                                |Star                               |10 23 37.0024510008 +81 46 56.201238552|128.8515309714223 +33.5700665969818|   9.806 -5.214   |10.15    |K2                 |    ~     ~    |    1| 1404.889   pc  | -35.9216    +35.9216  |paral   |2020yCat.1350....0G
42  |BD+82 298                                                                                                |High Proper Motion Star            |10 25 01.6166574504 +82 07 19.622787672|128.5458561415894 +33.3400974899212|-40.400 -37.624   |10.70    |G5                 |    ~     ~    |    1|  154.412   pc  |  -0.2957     +0.2957  |paral   |2020yCat.1350....0G
43  |BD+82 294                                                                                                |Star                               |10 15 17.3592883608 +81 28 24.741035076|129.3693235485620 +33.6032343008849|  -5.846 -5.936   |10.71    |K0                 |    ~     ~    |    1| 1005.429   pc  | -13.2426    +13.2426  |paral   |2020yCat.1350....0G
44  |BD+82 299                                                                                                |Star                               |10 25 37.3110592296 +81 23 12.014821572|129.0880712701211 +33.9210640894800|  -2.259 -0.692   |9.67     |K0                 |    ~     ~    |    1|  719.683   pc  | -33.0448    +33.0448  |paral   |2020yCat.1350....0G
45  |HD 89500                                                                                                 |Star                               |10 26 12.2181982824 +81 30 22.448137968|128.9763799184350 +33.8425416022147|-22.930 -12.994   |7.79     |K0                 |    ~     ~    |    1|  431.258   pc  |  -2.5852     +2.5852  |paral   |2020yCat.1350....0G
