C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:53:14

dec< 0&rah >=23.0&rah< 23.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2790

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-------------------------|--------|-------------------
780 |BD-21 6383                                                            |Star                              |23 13 58.4888389488 -21 10 22.494918540|042.6494013870277 -67.0261797331474| 18.627 -31.536   |10.651   |~                 |    ~     ~    |    1|  258.684   pc  |  -4.8600     +4.8600    |ST-L    |2020AJ....160...83S
781 |BD-21 6385                                                            |Star                              |23 14 15.4686557832 -20 47 23.408034360|043.6273327176204 -66.9554677713612|  -6.595 -2.407   |10.17    |~                 |    ~     ~    |    1| 1881.114   pc  | -74.3104    +74.3104    |paral   |2020yCat.1350....0G
782 |BD-20 6561                                                            |Star                              |23 14 45.3628691160 -20 01 50.955708540|045.5336995291337 -66.7851451659140|  6.995 -30.046   |10.332   |~                 |    ~     ~    |    1|  276.679   pc  |  -4.3150     +4.3150    |ST-L    |2020AJ....160...83S
783 |TYC 6397-600-1                                                        |Star                              |23 04 38.2636415376 -19 37 47.070062472|044.2501498293311 -64.4308358132186|  -1.866 -6.165   |10.702   |~                 |    ~     ~    |    1|  452.633   pc  | -13.5200    +13.5200    |ST-L    |2020AJ....160...83S
784 |TYC 6400-196-1                                                        |Star                              |23 03 46.8803170656 -20 06 58.318969248|043.0306309464006 -64.4225812231589|   5.732 10.341   |10.60    |~                 |    ~     ~    |    1|  216.081   pc  |  -0.8218     +0.8218    |paral   |2020yCat.1350....0G
785 |TYC 6400-579-1                                                        |Spectroscopic Binary              |23 05 22.0789434288 -21 31 58.944562428|040.1878107511025 -65.2498220259653|   -5.530 0.324   |10.91    |~                 |    ~     ~    |    1|  379.983   pc  |  -3.0610     +3.0610    |paral   |2020yCat.1350....0G
786 |TYC 6400-679-1                                                        |Star                              |23 05 09.7609677504 -21 28 29.136165204|040.2837498073502 -65.1861066567532| 44.011 -10.085   |10.92    |~                 |    ~     ~    |    1|  556.235   pc  |  -5.1979     +5.1979    |paral   |2020yCat.1350....0G
787 |TYC 6401-200-1                                                        |Star                              |23 06 52.7835995856 -20 09 47.822702796|043.5438168446627 -65.1177398076976|  21.061 -2.474   |10.84    |~                 |    ~     ~    |    1|  249.010   pc  |  -2.4740     +2.4740    |paral   |2020yCat.1350....0G
788 |TYC 6401-429-1                                                        |Star                              |23 07 03.2818915272 -21 22 34.447462752|040.8455360612174 -65.5718658772929|   11.771 2.565   |10.30    |~                 |    ~     ~    |    1|  846.812   pc  | -10.6129    +10.6129    |paral   |2020yCat.1350....0G
789 |TYC 6401-1153-1                                                       |Star                              |23 12 22.7578683264 -21 49 56.710904448|040.7473082054898 -66.8902954900317|   4.091 -3.642   |10.698   |~                 |    ~     ~    |    1| 1434.200   pc  |-103.2000   +103.2000    |ST-L    |2020AJ....160...83S
790 |HD 217640                                                             |Star                              |23 02 18.1090131432 -18 56 39.799414644|045.2109327817043 -63.6583458041506| 21.526 -16.458   |8.50     |Fm_dD             |    ~     ~    |    1|  385.758   pc  | -11.9494    +11.9494    |paral   |2020yCat.1350....0G
791 |HD 217823                                                             |Star                              |23 03 34.8176844888 -18 55 12.893336184|045.5313817749737 -63.9265969805251|   10.116 0.683   |9.78     |G6/8III/IV        |    ~     ~    |    1|  751.767   pc  | -43.1777    +43.1777    |paral   |2020yCat.1350....0G
792 |HD 217446                                                             |Star                              |23 00 51.9346703304 -16 52 50.646758196|049.0259372125718 -62.4785574238295|  20.147 -0.172   |8.23     |K1III             |    ~     ~    |    1|  426.639   pc  |  -5.4060     +5.4060    |paral   |2020yCat.1350....0G
793 |HD 217581                                                             |High Proper Motion Star           |23 01 55.0858184112 -16 32 27.154130568|049.9300281927690 -62.5485801197061|-50.048 -23.238   |10.00    |G5V               |    ~     ~    |    1|  144.810   pc  |  -0.4530     +0.4530    |paral   |2020yCat.1350....0G
794 |HD 217838                                                             |Star                              |23 03 42.3684067752 -16 33 52.077665016|050.3164181985251 -62.9395348242095| 11.404 -11.949   |10.21    |K2                |    ~     ~    |    1|  697.983   pc  |  -9.2564     +9.2564    |paral   |2020yCat.1350....0G
795 |HD 217342                                                             |Star                              |23 00 10.4801033232 -17 36 28.559652156|047.4503972593975 -62.6490311537274|   18.598 4.481   |10.12    |K2/3(III)         |    ~     ~    |    1| 1878.287   pc  | -66.3257    +66.3257    |paral   |2020yCat.1350....0G
796 |HD 217744                                                             |Star                              |23 02 56.7865761312 -17 19 16.888685484|048.6467791053305 -63.1199122070944| 41.869 -23.232   |9.50     |F6V               |    ~     ~    |    1|  229.279   pc  |  -0.9778     +0.9778    |paral   |2020yCat.1350....0G
797 |HD 217776                                                             |Star                              |23 03 11.2263045816 -17 23 23.722437408|048.5664663512270 -63.2016687019412|   13.480 3.502   |10.27    |G3/6              |    ~     ~    |    1|  659.065   pc  |  -8.2095     +8.2095    |paral   |2020yCat.1350....0G
798 |HD 217790                                                             |High Proper Motion Star           |23 03 17.4654165144 -17 30 37.528729416|048.3500406107750 -63.2767644681408| 87.871 -20.178   |10.78    |F7/G0             |    ~     ~    |    1|  172.965   pc  |  -0.5475     +0.5475    |paral   |2020yCat.1350....0G
799 |HD 217535                                                             |Star                              |23 01 30.3512803272 -17 45 25.329495420|047.4515627850229 -62.9994120562890|   -6.056 1.885   |9.70     |K0III             |    ~     ~    |    1|  857.780   pc  | -19.6455    +19.6455    |paral   |2020yCat.1350....0G
800 |HD 217565                                                             |Star                              |23 01 43.8261826344 -18 12 49.204500552|046.5845323684342 -63.2396136429377|  38.817 -7.475   |9.56     |F8V               |    ~     ~    |    1|  135.157   pc  |  -0.3453     +0.3453    |paral   |2020yCat.1350....0G
801 |HD 217607                                                             |High Proper Motion Star           |23 02 09.9206750208 -17 56 13.808982552|047.2381124506257 -63.2179460747765|-23.836 -49.375   |9.97     |G3/5V             |    ~     ~    |    1|  193.765   pc  |  -0.4956     +0.4956    |paral   |2020yCat.1350....0G
802 |HD 217822                                                             |High Proper Motion Star           |23 03 33.4485402576 -18 02 19.196816604|047.3447368587442 -63.5608685662973|-60.260 -36.803   |10.20    |G5/6V             |    ~     ~    |    1|  172.735   pc  |  -0.4476     +0.4476    |paral   |2020yCat.1350....0G
803 |HD 217322                                                             |High Proper Motion Star           |23 00 08.4473162088 -18 28 59.250900720|045.6997557622238 -63.0053014194892| 52.914 -34.508   |9.66     |F7V               |    ~     ~    |    1|  141.511   pc  |  -0.3765     +0.3765    |paral   |2020yCat.1350....0G
804 |HD 217515                                                             |Star                              |23 01 27.8495386248 -18 18 17.952541308|046.3419676919945 -63.2196399339378|  16.481 13.222   |9.36     |F2V               |    ~     ~    |    1|  173.934   pc  |  -2.1910     +2.1910    |ST-L    |2020AJ....160...83S
805 |HD 217608                                                             |Star                              |23 02 06.9846128136 -18 28 02.892921276|046.1525403025548 -63.4272755447727| -1.441 -22.884   |8.90     |F8V               |    ~     ~    |    1|  191.652   pc  |  -1.2194     +1.2194    |paral   |2020yCat.1350....0G
806 |HD 217736                                                             |High Proper Motion Star           |23 02 57.5842032264 -18 38 43.860651000|045.9688452509076 -63.6821411832867|108.247 -224.490  |9.00     |G5V               |    ~     ~    |    1|   73.300   pc  |  -2.7413     +2.7413    |paral   |2020yCat.1350....0G
807 |HD 217763                                                             |Star                              |23 03 07.0665790368 -18 25 40.676542644|046.4510407724291 -63.6279017721958| -8.706 -14.799   |9.11     |K0III             |    ~     ~    |    1|  147.388   pc  |  -3.4888     +3.4888    |paral   |2020yCat.1350....0G
808 |BD-17 6642                                                            |Star                              |23 00 02.6652124560 -16 39 48.081080196|049.2530165308072 -62.2051029779504|  -8.554 -6.117   |10.70    |~                 |    ~     ~    |    1| 1264.380   pc  | -86.9000    +86.9000    |ST-L    |2020AJ....160...83S
809 |BD-18 6233                                                            |High Proper Motion Star           |23 00 42.0503851104 -18 07 04.634759172|046.5532888380056 -62.9773621162785| 53.205 -19.987   |10.51    |~                 |    ~     ~    |    1|  182.789   pc  |  -0.5680     +0.5680    |paral   |2020yCat.1350....0G
810 |BD-18 6234                                                            |Star                              |23 00 42.0914319600 -17 35 21.765359904|047.6042467916143 -62.7545222445011|  20.708 -8.440   |10.71    |~                 |    ~     ~    |    1|  411.845   pc  |  -3.0361     +3.0361    |paral   |2020yCat.1350....0G
811 |BD-18 6238                                                            |Star                              |23 01 46.9981723656 -17 45 06.258481416|047.5242416753796 -63.0569027999322|   2.511 -7.325   |10.35    |~                 |    ~     ~    |    1|  815.993   pc  | -10.6535    +10.6535    |paral   |2020yCat.1350....0G
812 |BD-17 6644                                                            |Star                              |23 00 20.5934693136 -16 58 45.078847824|048.7148466713115 -62.4108102096677|   8.621 -2.802   |10.86    |~                 |    ~     ~    |    1| 1012.966   pc  | -15.1863    +15.1863    |paral   |2020yCat.1350....0G
813 |BD-17 6645                                                            |Star                              |23 00 46.2567757920 -16 32 03.823476252|049.6698777954604 -62.3013492881555|  10.496 -0.391   |10.80    |~                 |    ~     ~    |    1|  556.235   pc  |  -5.3216     +5.3216    |paral   |2020yCat.1350....0G
814 |BD-17 6650                                                            |High Proper Motion Star           |23 02 45.9368815920 -17 06 30.417458760|049.0254756069177 -62.9867025047002|-54.285 -29.569   |10.66    |~                 |    ~     ~    |    1|  159.512   pc  |  -2.2060     +2.2060    |ST-L    |2020AJ....160...83S
815 |BD-18 6244                                                            |Star                              |23 02 56.8381445544 -17 36 43.720811172|048.0672492244890 -63.2472073801072|  34.257 33.442   |10.89    |~                 |    ~     ~    |    1|  204.803   pc  |  -2.5710     +2.5710    |ST-L    |2020AJ....160...83S
816 |TYC 6397-58-1                                                         |Star                              |23 00 35.3371822056 -17 58 03.311047380|046.8293919340711 -62.8905603191627| -9.509 -12.683   |10.60    |~                 |    ~     ~    |    1|  980.200   pc  | -17.9668    +17.9668    |paral   |2020yCat.1350....0G
817 |TYC 6397-830-1                                                        |Star                              |23 03 29.6311737216 -18 22 05.771064108|046.6563343234764 -63.6846772313307| 14.445 -32.614   |10.731   |~                 |    ~     ~    |    1|  291.654   pc  |  -5.8120     +5.8120    |ST-L    |2020AJ....160...83S
818 |TYC 6397-852-1                                                        |Star                              |23 01 44.1696756408 -18 53 31.278413184|045.2008036599068 -63.5147569490006| 44.622 -20.671   |10.20    |~                 |    ~     ~    |    1|  356.990   pc  |  -1.9499     +1.9499    |paral   |2020yCat.1350....0G
819 |TYC 6397-908-1                                                        |High Proper Motion Star           |23 02 55.6776100320 -18 23 35.033661348|046.4810740258819 -63.5725211212129| -65.604 23.624   |10.71    |~                 |    ~     ~    |    1|  162.628   pc  |  -1.6220     +1.6220    |ST-L    |2020AJ....160...83S
820 |TYC 6397-1096-1                                                       |Star                              |23 00 15.8618451360 -18 42 45.681104556|045.2610871407562 -63.1239244784238|  -1.826 -9.098   |10.16    |~                 |    ~     ~    |    1| 1522.302   pc  | -33.3706    +33.3706    |paral   |2020yCat.1350....0G
821 |TYC 6397-1201-1                                                       |Star                              |23 02 49.5288952080 -18 29 11.226767856|046.2672107329590 -63.5885563745333|  27.595 -2.159   |10.775   |~                 |    ~     ~    |    1|  478.962   pc  |-100.2000   +100.2000    |ST-L    |2020AJ....160...83S
822 |TYC 6397-1269-1                                                       |Star                              |23 03 13.6284104688 -18 09 43.434085464|047.0192816666144 -63.5414620739114|  9.343 -12.034   |10.27    |~                 |    ~     ~    |    1| 2812.940   pc  |-109.9855   +109.9855    |paral   |2020yCat.1350....0G
823 |HD 218017                                                             |Star                              |23 04 55.5113877552 -19 05 33.628690680|045.4559913697428 -64.2867402247835| 13.973 -10.533   |8.82     |K1III             |    ~     ~    |    1|  442.674   pc  |  -3.9584     +3.9584    |paral   |2020yCat.1350....0G
824 |HD 218305                                                             |Star                              |23 07 08.6815955184 -19 10 38.985946896|045.7552357800628 -64.8019661483009| -32.221 21.676   |10.25    |F8/G1V            |    ~     ~    |    1|  167.757   pc  |  -0.4587     +0.4587    |paral   |2020yCat.1350....0G
825 |HD 218412                                                             |Star                              |23 08 02.8117216728 -19 12 20.156047452|045.8928418790266 -65.0087416221700|  12.293 -3.112   |8.76     |G8/K0III          |    ~     ~    |    1|  381.185   pc  |  -3.3419     +3.3419    |paral   |2020yCat.1350....0G
826 |HD 218505                                                             |Star                              |23 08 40.7328152136 -19 07 19.857513504|046.2150698469740 -65.1125335275231|  14.458 -7.141   |10.26    |F8/G1V            |    ~     ~    |    1|  368.256   pc  |  -2.4546     +2.4546    |paral   |2020yCat.1350....0G
827 |HD 218520                                                             |High Proper Motion Star           |23 08 48.0198131232 -19 02 43.273645152|046.4096383608164 -65.1080319978281| 49.880 -27.619   |9.30     |F7V               |    ~     ~    |    1|  144.225   pc  |  -0.4867     +0.4867    |paral   |2020yCat.1350....0G
828 |HD 218627                                                             |Star                              |23 09 40.5412127664 -19 09 09.354553020|046.3732372213130 -65.3404800495741| -3.833 -10.201   |9.72     |K2(III)           |    ~     ~    |    1|  521.404   pc  |  -3.8876     +3.8876    |paral   |2020yCat.1350....0G
829 |HD 219043                                                             |High Proper Motion Star           |23 12 59.4513061440 -19 15 50.410322280|046.8903613503780 -66.1018953280311|111.630 -54.217   |9.78     |G1V               |    ~     ~    |    1|  158.684   pc  |  -1.7330     +1.7330    |ST-L    |2020AJ....160...83S
830 |HD 219178                                                             |Star                              |23 14 05.9707429176 -19 15 04.838743584|047.1818583480662 -66.3360055600368|-15.828 -28.524   |9.84     |G8/K0(III)        |    ~     ~    |    1|  297.064   pc  |  -6.5820     +6.5820    |ST-L    |2020AJ....160...83S
831 |HD 218016                                                             |Star                              |23 04 56.0086930392 -17 12 38.748670128|049.3370617816765 -63.4955723238585|  15.706 -0.414   |10.04    |K2/3(III)         |    ~     ~    |    1|  603.682   pc  |  -5.5758     +5.5758    |paral   |2020yCat.1350....0G
832 |HD 218061                                                             |High Proper Motion Star           |23 05 12.8535832968 -17 04 45.279640668|049.6678798912572 -63.4961733593770|-40.851 -37.904   |6.143    |K4III             |    ~     ~    |    1|  190.629   pc  |  -1.5190     +1.5190    |paral   |2020yCat.1350....0G
833 |HD 218071                                                             |High Proper Motion Star           |23 05 22.1415822792 -16 53 54.321765324|050.0660355217511 -63.4467605182215|   55.073 3.892   |6.86     |K0III             |    ~     ~    |    1|  171.415   pc  |  -0.6993     +0.6993    |paral   |2020yCat.1350....0G
834 |HD 218161                                                             |Star                              |23 05 55.4147342568 -16 32 48.978788784|050.8997424368389 -63.4014442598217| 20.959 -13.800   |10.40    |G8                |    ~     ~    |    1|  335.549   pc  |  -6.7400     +6.7400    |ST-L    |2020AJ....160...83S
835 |HD 217941                                                             |High Proper Motion Star           |23 04 23.4093930744 -17 17 33.759962700|049.0433192656391 -63.4161313469524| 57.741 -19.940   |10.16    |K0/1(III)         |    ~     ~    |    1|  245.122   pc  |  -1.2858     +1.2858    |paral   |2020yCat.1350....0G
836 |HD 217972                                                             |Star                              |23 04 36.0562557216 -17 54 30.205590984|047.8479594382829 -63.7300995050774|  9.044 -11.607   |10.06    |A3II/III          |    ~     ~    |    1|  524.686   pc  | -13.5721    +13.5721    |paral   |2020yCat.1350....0G
837 |HD 217956                                                             |Star                              |23 04 36.0 -18 16 00                   |047.1122 -63.8814                  |            ~ ~   |10.2     |F7/G0(V)          |    ~     ~    |    0|                |                         |        |                   
838 |HD 218062                                                             |Double or Multiple Star           |23 05 12.5453 -18 21 43.901            |047.0515927 -64.0525855            |    64.90 11.80   |9.77     |G6V               |    ~     ~    |    0|                |                         |        |                   
839 |HD 218135                                                             |Star                              |23 05 40.3065249696 -18 21 46.612499436|047.1546797051474 -64.1527127488615|-10.041 -45.152   |9.35     |F6V               |    ~     ~    |    1|  165.019   pc  |  -0.4275     +0.4275    |paral   |2020yCat.1350....0G
840 |HD 218176                                                             |Star                              |23 05 59.3782932912 -18 39 10.029808692|046.6186787365728 -64.3409892669666|  17.074 -2.969   |9.88     |K0(III)           |    ~     ~    |    1|  646.037   pc  |  -6.7613     +6.7613    |paral   |2020yCat.1350....0G
841 |BD-17 6654                                                            |Variable Star                     |23 04 01.4537402016 -16 43 58.522518012|050.0646047808505 -63.0848764559066| 21.916 -38.511   |10.68    |~                 |    ~     ~    |    1|  239.017   pc  |  -0.9826     +0.9826    |paral   |2020yCat.1350....0G
842 |BD-19 6396                                                            |High Proper Motion Star           |23 05 07.2703476552 -18 44 59.037504936|046.2221536247259 -64.1924908184784| 50.759 -12.518   |10.427   |~                 |    ~     ~    |    1|  316.660   pc  |  -5.7070     +5.7070    |ST-L    |2020AJ....160...83S
843 |BD-17 6664                                                            |Star                              |23 05 42.6612339912 -17 04 50.888931276|049.7855920754833 -63.6027001545888|  30.533 -5.592   |10.863   |~                 |    ~     ~    |    1|  276.352   pc  |  -4.4590     +4.4590    |ST-L    |2020AJ....160...83S
844 |BD-19 6400                                                            |Star                              |23 06 20.8529703432 -18 20 58.118111376|047.3368346699637 -64.2927762925902|   6.627 -9.538   |10.33    |~                 |    ~     ~    |    1|  913.159   pc  | -14.8427    +14.8427    |paral   |2020yCat.1350....0G
845 |HD 218252                                                             |Star                              |23 06 41.4952014624 -16 38 25.173299796|050.9081524225397 -63.6077578086767|-44.577 -15.986   |9.52     |K0(III)           |    ~     ~    |    1|  379.579   pc  |  -2.1612     +2.1612    |paral   |2020yCat.1350....0G
846 |HD 218445                                                             |High Proper Motion Star           |23 08 15.8914033392 -17 03 33.750212868|050.4623635048315 -64.1357400997251|-47.905 -100.753  |8.83     |G3V               |    ~     ~    |    1|   95.884   pc  |  -0.1609     +0.1609    |paral   |2020yCat.1350....0G
847 |HD 218444                                                             |High Proper Motion Star           |23 08 18.9011766144 -16 45 01.633754988|051.1006215255507 -64.0027721906623| -7.259 -61.020   |8.08     |K1III             |    ~     ~    |    1|  257.467   pc  |  -1.5379     +1.5379    |paral   |2020yCat.1350....0G
848 |HD 218885                                                             |High Proper Motion Star           |23 11 42.6308270448 -16 54 05.358367296|051.6786062136530 -64.7905841336441|158.778 -12.806   |8.92     |G5V               |    ~     ~    |    1|   60.627   pc  |  -0.0706     +0.0706    |paral   |2020yCat.1350....0G
849 |HD 218931                                                             |Star                              |23 12 05.7242431344 -16 52 34.481816148|051.8335130098941 -64.8596673026515|-17.054 -12.687   |10.58    |F5/6V             |    ~     ~    |    1|  432.413   pc  | -25.9400    +25.9400    |ST-L    |2020AJ....160...83S
850 |HD 218954                                                             |Star                              |23 12 18.8938208736 -16 40 50.777949792|052.2963295118423 -64.8123169297648| 28.143 -15.682   |10.26    |G3/5V             |    ~     ~    |    1|  142.480   pc  |  -1.5220     +1.5220    |ST-L    |2020AJ....160...83S
851 |HD 218955                                                             |High Proper Motion Star           |23 12 22.6298036856 -17 07 02.583709644|051.4066002989011 -65.0328830451037| 42.371 -29.863   |9.969    |G6/8V             |    ~     ~    |    1|  107.204   pc  |  -0.7049     +0.7049    |ST-L    |2020AJ....160...83S
852 |HD 219132                                                             |Star                              |23 13 40.8801962592 -16 55 25.114034928|052.1631870289300 -65.2157640189989|-29.490 -23.753   |9.55     |F6V               |    ~     ~    |    1|  151.922   pc  |  -1.5230     +1.5230    |ST-L    |2020AJ....160...83S
853 |HD 219202                                                             |Star                              |23 14 17.4687022872 -16 54 32.924939652|052.3606669536317 -65.3368515569042| 10.007 -11.738   |7.77     |G8III             |    ~     ~    |    1|  488.138   pc  |  -5.4804     +5.4804    |paral   |2020yCat.1350....0G
854 |HD 218530                                                             |Star                              |23 08 53.6976804600 -17 25 53.524143624|049.8569109445254 -64.4392834922225|   36.261 6.831   |9.368    |F7V               |    ~     ~    |    1|  121.977   pc  |  -1.1810     +1.1810    |ST-L    |2020AJ....160...83S
855 |HD 218650                                                             |Star                              |23 09 51.8138303400 -17 32 28.137376464|049.8714720123573 -64.6948593631516|  2.932 -11.895   |9.43     |K0III             |    ~     ~    |    1|  428.394   pc  |  -5.0468     +5.0468    |paral   |2020yCat.1350....0G
856 |HD 218679                                                             |Star                              |23 10 05.7391229136 -17 26 49.815115673|050.1261439924081 -64.7017529246752|  -1.111 -1.331   |9.15     |K2III             |    ~     ~    |    1|  548.065   pc  |  -8.0500     +8.0500    |paral   |2020yCat.1350....0G
857 |HD 218706                                                             |Star                              |23 10 15.6609433392 -17 38 28.818107952|049.7613522208117 -64.8244900904673|-13.750 -41.943   |9.18     |F5V               |    ~     ~    |    1|  161.467   pc  |  -0.6153     +0.6153    |paral   |2020yCat.1350....0G
858 |HD 218758                                                             |Star                              |23 10 40.4598847752 -17 33 40.332054312|050.0340221452177 -64.8763944117294| -14.876 17.161   |8.91     |F5V               |    ~     ~    |    1|  117.111   pc  |  -0.2921     +0.2921    |paral   |2020yCat.1350....0G
859 |HD 218956                                                             |Star                              |23 12 23.6046982296 -17 21 14.872620420|050.9134048625289 -65.1465115135487|   10.117 1.098   |9.41     |K1III             |    ~     ~    |    1|  814.996   pc  | -14.0814    +14.0814    |paral   |2020yCat.1350....0G
860 |BD-18 6268                                                            |Long-Period Variable Candidate    |23 12 34.5655116840 -17 19 17.455814004|051.0302441953864 -65.1700680102466|  -2.040 -0.297   |9.26     |M3(III)           |    ~     ~    |    1|  739.536   pc  | -18.2669    +18.2669    |paral   |2020yCat.1350....0G
861 |HD 219116                                                             |Chemically Peculiar Star          |23 13 30.2402062992 -17 22 08.692252752|051.1751078836663 -65.3882952642862|   17.620 0.534   |9.25     |G9III_Ba2         |    ~     ~    |    1|  608.532   pc  |  -4.9992     +4.9992    |paral   |2020yCat.1350....0G
862 |HD 219217                                                             |Star                              |23 14 19.5426011832 -17 22 42.022567740|051.3751558004935 -65.5661408862831| 13.211 -42.848   |9.47     |G8IV/V            |    ~     ~    |    1|  190.973   pc  |  -2.4120     +2.4120    |ST-L    |2020AJ....160...83S
863 |HD 218334                                                             |Star                              |23 07 19.6426905120 -18 11 51.405033840|047.8819232249054 -64.4396079903422|  1.408 -44.316   |10.282   |K2/4(V)           |    ~     ~    |    1|   58.099   pc  |  -0.2277     +0.2277    |ST-L    |2020AJ....160...83S
864 |HD 218460                                                             |Star                              |23 08 26.3760862872 -18 05 20.348671128|048.3732719880664 -64.6319365834402| -2.614 -32.543   |10.42    |G8/K1             |    ~     ~    |    1|  293.868   pc  |  -5.2890     +5.2890    |ST-L    |2020AJ....160...83S
865 |HD 218921                                                             |Star                              |23 12 00.6821805264 -18 02 59.170815312|049.3316098596111 -65.3790945971329|   18.997 1.123   |10.213   |F5/6IV            |    ~     ~    |    1|  285.066   pc  |  -5.7050     +5.7050    |ST-L    |2020AJ....160...83S
866 |HD 218277                                                             |High Proper Motion Star           |23 06 55.5048699648 -18 34 10.643189196|047.0052708156724 -64.5088726112241|  58.364 30.031   |9.92     |G6V               |    ~     ~    |    1|   92.738   pc  |  -0.1780     +0.1780    |paral   |2020yCat.1350....0G
867 |HD 218479                                                             |Star                              |23 08 30.0 -18 14 00                   |048.0828 -64.7068                  |            ~ ~   |10.0     |K0/2(III)         |    ~     ~    |    0|                |                         |        |                   
868 |HD 218504                                                             |High Proper Motion Star           |23 08 42.9098503824 -18 45 07.007510304|047.0254421331429 -64.9703253848714|-86.443 -37.202   |8.11     |G1/2wF3           |    ~     ~    |    1|   63.002   pc  |  -0.1155     +0.1155    |paral   |2020yCat.1350....0G
869 |HD 218593                                                             |Star                              |23 09 25.1745024240 -18 37 37.767716256|047.4579124358060 -65.0705578759311|  19.614 -6.326   |9.19     |F5V               |    ~     ~    |    1|  161.470   pc  |  -0.4589     +0.4589    |paral   |2020yCat.1350....0G
870 |HD 218680                                                             |Star                              |23 10 04.9909361568 -18 42 14.128217424|047.4473561979503 -65.2454227334804|  31.128 -6.003   |8.59     |M1III             |    ~     ~    |    1|  881.213   pc  | -23.7620    +23.7620    |paral   |2020yCat.1350....0G
871 |HD 218785                                                             |Star                              |23 10 52.4426146128 -18 55 22.554843672|047.1540402867522 -65.5062947780470|  28.609 -0.104   |9.17     |K2III             |    ~     ~    |    1|  304.850   pc  | -11.3565    +11.3565    |paral   |2020yCat.1350....0G
872 |HD 218797                                                             |Star                              |23 11 00.8070426792 -18 43 49.950029568|047.6090393634388 -65.4567977225960|-10.463 -37.451   |10.043   |G3/5(V)           |    ~     ~    |    1|  103.237   pc  |  -0.6630     +0.6630    |ST-L    |2020AJ....160...83S
873 |HD 218809                                                             |Star                              |23 11 02.9711031864 -18 38 50.610630768|047.7993918952166 -65.4298054965105|  13.440 -1.096   |8.73     |K2/3III           |    ~     ~    |    1|  450.572   pc  |  -7.7552     +7.7552    |paral   |2020yCat.1350....0G
874 |HD 218886                                                             |Star                              |23 11 39.2814222912 -18 17 48.436853496|048.7089591408268 -65.4105015652632|  22.384 18.385   |9.775    |G8V               |    ~     ~    |    1|  319.729   pc  |  -6.3590     +6.3590    |ST-L    |2020AJ....160...83S
875 |HD 218922                                                             |Star                              |23 11 58.9974985992 -18 30 03.540098952|048.3448672612823 -65.5684797650395|   7.728 19.484   |10.008   |F5V               |    ~     ~    |    1|  188.302   pc  |  -2.2380     +2.2380    |ST-L    |2020AJ....160...83S
876 |HD 219005                                                             |Star                              |23 12 38.9635923576 -18 45 56.027158812|047.9242167893073 -65.8232907057500|  22.359 -0.328   |9.42     |G8IV              |    ~     ~    |    1|  375.068   pc  |  -7.9880     +7.9880    |ST-L    |2020AJ....160...83S
877 |HD 219085                                                             |Star                              |23 13 16.4670718368 -18 22 10.120208484|048.9525788130199 -65.7885343444785|  28.043 -1.480   |7.66     |F3V               |    ~     ~    |    1|  165.188   pc  |  -1.1897     +1.1897    |paral   |2020yCat.1350....0G
878 |HD 219242                                                             |High Proper Motion Star           |23 14 31.3449735120 -18 52 35.786755200|048.1337638502959 -66.2722191507770|-65.070 -79.406   |9.336    |F3V               |    ~     ~    |    1|  102.887   pc  |  -0.7632     +0.7632    |ST-L    |2020AJ....160...83S
879 |BD-18 6261                                                            |High Proper Motion Star           |23 10 36.2159971080 -17 29 35.231234712|050.1589423954399 -64.8305479320984|183.072 -38.450   |10.80    |~                 |    ~     ~    |    1|  214.413   pc  |  -2.7446     +2.7446    |paral   |2020yCat.1350....0G
880 |BD-17 6673                                                            |Star                              |23 06 55.7444492712 -16 46 45.876301824|050.6906928390535 -63.7229619578211|  -2.772 -9.780   |10.51    |~                 |    ~     ~    |    1|  154.950   pc  |  -0.4874     +0.4874    |paral   |2020yCat.1350....0G
881 |BD-18 6265                                                            |Star                              |23 11 28.0918068672 -17 54 40.091625468|049.4927498766315 -65.2019941593337|  1.585 -11.852   |10.320   |~                 |    ~     ~    |    1|  167.455   pc  |  -3.3770     +3.3770    |ST-L    |2020AJ....160...83S
882 |BD-19 6418                                                            |Star                              |23 11 50.2990229088 -18 57 16.428086316|047.3110229440213 -65.7271858687828|  14.215 -4.953   |10.425   |~                 |    ~     ~    |    1|  384.454   pc  |  -9.8920     +9.8920    |ST-L    |2020AJ....160...83S
883 |BD-17 6699                                                            |Star                              |23 12 48.2305560144 -16 41 01.985466624|052.4227671565778 -64.9164121480992|   49.017 0.438   |10.95    |~                 |    ~     ~    |    1|  206.036   pc  |  -2.5140     +2.5140    |ST-L    |2020AJ....160...83S
884 |BD-18 6269                                                            |Star                              |23 12 51.4565920968 -17 51 50.567574888|049.9466662570348 -65.4769864040972|-33.392 -18.088   |10.344   |~                 |    ~     ~    |    1|  279.023   pc  |  -5.1940     +5.1940    |ST-L    |2020AJ....160...83S
