C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:53:14

dec< 0&rah >=23.0&rah< 23.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2790

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-------------------------|--------|-------------------
22  |HD 218143                                                             |Star                              |23 06 07.2299252160 -42 32 26.373396156|350.3207575367022 -63.6385660646950|   3.005 13.127   |10.30    |G8IV/V            |    ~     ~    |    1|  828.432   pc  | -18.5987    +18.5987    |paral   |2020yCat.1350....0G
23  |NGC 7476                           NGC 7476                           |Galaxy                            |23 05 11.873 -43 05 57.74              |349.388778 -63.229826              |            ~ ~   |     ~   |~                 |0.133 0.133    |    0|                |                         |        |                   
24  |CD-42 16182                                                           |Star                              |23 05 09.6336639720 -41 29 07.661237856|352.6437071937144 -63.9432921672774|    9.003 0.675   |10.26    |~                 |    ~     ~    |    1|  855.578   pc  | -11.7854    +11.7854    |paral   |2020yCat.1350....0G
25  |CD-42 16185                                                           |Star                              |23 05 26.4013811352 -41 51 36.763229808|351.8237372379661 -63.8296819203718|  18.898 -9.434   |10.563   |~                 |    ~     ~    |    1|  405.642   pc  | -14.9300    +14.9300    |ST-L    |2020AJ....160...83S
26  |CD-42 16189                                                           |Star                              |23 06 05.1316598088 -41 28 24.884514660|352.5001587137234 -64.1051620684622|  -6.642 -3.265   |10.36    |~                 |    ~     ~    |    1|  319.377   pc  |  -6.8545     +6.8545    |paral   |2020yCat.1350....0G
27  |HD 218389                                                             |Star                              |23 08 05.2131462288 -41 38 56.727780396|351.7618730539132 -64.3658928762610| 11.387 -43.531   |10.485   |F6/8IV/V          |    ~     ~    |    1|  262.684   pc  |  -4.8920     +4.8920    |ST-L    |2020AJ....160...83S
28  |HD 218668                                                             |Double or Multiple Star           |23 10 16.02704 -41 34 42.2850          |351.48426879 -64.76192421          |     5.66 -1.24   |10.091   |G0V               |    ~     ~    |    1|  201.356   pc  | +26.634      +7         |ST-L    |2017AJ....153...75K
29  |HD 219155                                                             |Star                              |23 14 10.3059054648 -41 42 51.524291988|350.3945912741203 -65.3444663355147|-32.185 -23.561   |9.27     |G8III             |    ~     ~    |    1|  266.021   pc  |  -1.1323     +1.1323    |paral   |2020yCat.1350....0G
30  |HD 218226                                                             |Star                              |23 06 51.4686517968 -41 46 55.575936264|351.7203305194963 -64.1013675272567|   13.829 7.224   |9.984    |G6III             |    ~     ~    |    1|  727.856   pc  | -29.2200    +29.2200    |ST-L    |2020AJ....160...83S
31  |HD 218287                                                             |Star                              |23 07 15.5233957632 -42 14 03.137461764|350.7209208481335 -63.9654894723461| -8.995 -10.003   |10.177   |G6/8(III)         |    ~     ~    |    1|  879.113   pc  | -50.5600    +50.5600    |ST-L    |2020AJ....160...83S
32  |HD 218435                                                             |Star                              |23 08 32.4831467688 -41 50 39.488916156|351.2707409074799 -64.3544808399638|  26.757 -4.540   |9.39     |K3III             |    ~     ~    |    1|  855.505   pc  | -12.2957    +12.2957    |paral   |2020yCat.1350....0G
33  |HD 218482                                                             |High Proper Motion Star           |23 08 47.7595986720 -41 49 07.645643364|351.2738919418486 -64.4083174676485| 116.499 50.272   |10.158   |G6V               |    ~     ~    |    1|  124.549   pc  |  -1.0470     +1.0470    |ST-L    |2020AJ....160...83S
34  |HD 219181                                                             |Star                              |23 14 18.4112799960 -42 11 02.603704920|349.3845449886485 -65.1386327405263|  -2.128 17.286   |9.86     |F6V               |    ~     ~    |    1|  122.245   pc  |  -0.2286     +0.2286    |paral   |2020yCat.1350....0G
35  |HD 218308                                                             |Star                              |23 07 27.7655742768 -42 58 25.672383588|349.1987317108541 -63.6538877673301|   6.522 -4.117   |8.42     |M1III             |    ~     ~    |    1| 1097.815   pc  | -34.9508    +34.9508    |paral   |2020yCat.1350....0G
36  |CD-43 15271                                                           |Star                              |23 08 13.7271534408 -43 06 27.166430772|348.7824050044178 -63.7123026865618|    1.525 2.756   |10.783   |F8                |    ~     ~    |    1|  399.445   pc  | -15.5500    +15.5500    |ST-L    |2020AJ....160...83S
37  |HD 218424                                                             |Star                              |23 08 27.0068588448 -43 08 13.487409960|348.6797854553013 -63.7332628132565|   26.884 2.907   |10.46    |F5V               |    ~     ~    |    1|  240.350   pc  |  -1.0340     +1.0340    |paral   |2020yCat.1350....0G
38  |HD 218446                                                             |Star                              |23 08 34.9474134384 -43 00 52.926223572|348.8953611450107 -63.8137900462178|   1.837 -3.923   |9.83     |K5/M0             |    ~     ~    |    1| 1015.125   pc  | -20.6096    +20.6096    |paral   |2020yCat.1350....0G
39  |HD 218463                                                             |High Proper Motion Star           |23 08 45.0578966640 -43 08 50.092063224|348.5991984022155 -63.7762183849644| 44.580 -36.840   |9.99     |F3/5IV            |    ~     ~    |    1|  198.555   pc  |  -0.6466     +0.6466    |paral   |2020yCat.1350....0G
40  |HD 218483                                                             |Spectroscopic Binary              |23 08 50.0889745824 -42 27 04.943977668|349.9731914200418 -64.1232235791524|115.950 -199.157  |8.83     |K1V               |    ~     ~    |    1|   40.304   pc  |  -0.4699     +0.4699    |paral   |2020yCat.1350....0G
41  |CD-43 15276                                                           |High Proper Motion Star           |23 08 56.9855295408 -42 32 02.963659056|349.7830884922435 -64.1028936368374| 55.269 -25.831   |10.53    |F8                |    ~     ~    |    1|  184.176   pc  |  -0.6988     +0.6988    |paral   |2020yCat.1350....0G
42  |CD-43 15279                                                           |High Proper Motion Star           |23 09 37.2198363504 -42 34 02.528919732|349.5815093082559 -64.1957900399136| 52.571 -16.686   |10.56    |G0                |    ~     ~    |    1|  213.831   pc  |  -4.4960     +4.4960    |ST-L    |2020AJ....160...83S
43  |CD-43 15280                                                           |High Proper Motion Star           |23 09 39.4513792176 -42 22 51.409132428|349.9515726429397 -64.2903401193118|-79.035 -58.538   |10.6     |K2                |    ~     ~    |    1|  160.455   pc  |  -2.4100     +2.4100    |ST-L    |2020AJ....160...83S
44  |HD 218630                                                             |Double or Multiple Star           |23 09 57.3469968176 -42 51 40.470798976|348.9228760218853 -64.1080360714017|-317.387 -18.753  |5.830    |F5V               |0.0117  0.0    |    1|   34.5803  pc  |  -0.0929     +0.0929    |paral   |2020yCat.1350....0G
45  |HD 218643                                                             |Star                              |23 10 04.7774300376 -43 10 30.333156708|348.2731685783922 -63.9733751025417| 17.900 -14.197   |10.13    |G6/8(IV)          |    ~     ~    |    1|  650.173   pc  | -49.5300    +49.5300    |ST-L    |2020AJ....160...83S
46  |HD 218685                                                             |High Proper Motion Star           |23 10 22.8038356224 -42 21 54.235070748|349.8377342230939 -64.4153718991989|120.093 -48.067   |9.25     |G3V               |    ~     ~    |    1|   80.030   pc  |  -0.5710     +0.5710    |ST-L    |2020AJ....160...83S
47  |CD-43 15286                                                           |Double or Multiple Star           |23 10 25.1703032640 -42 50 14.589393540|348.8754650225359 -64.1938600220126| 39.721 -24.232   |10.592   |K0                |    ~     ~    |    1|  149.430   pc  |  -0.3975     +0.3975    |paral   |2020yCat.1350....0G
48  |HD 218776                                                             |High Proper Motion Star           |23 11 05.0969913576 -43 14 36.505769712|347.9286716946861 -64.0978123634624|  47.757 -9.051   |9.92     |K2III             |    ~     ~    |    1|  469.509   pc  | -18.7500    +18.7500    |ST-L    |2020AJ....160...83S
49  |HD 218812                                                             |Double or Multiple Star           |23 11 21.1223767392 -42 58 39.819488916|348.4008065982474 -64.2731072443487|  16.639 -8.176   |8.61     |M4/5III           |    ~     ~    |    1|  593.648   pc  | -14.872     +14.872     |paral   |2020yCat.1350....0G
50  |HD 218858                                                             |Star                              |23 11 49.1711566344 -43 07 12.248654628|348.0184237152560 -64.2756693405996|   9.107 13.425   |10.36    |G8/K0(III)        |    ~     ~    |    1|  264.236   pc  |  -1.2009     +1.2009    |paral   |2020yCat.1350....0G
51  |HD 218911                                                             |Star                              |23 12 10.1132892840 -42 55 48.383656392|348.3236844810297 -64.4263204364476|   8.293 -6.063   |9.86     |K1/2(III)         |    ~     ~    |    1| 1140.121   pc  | -19.2382    +19.2382    |paral   |2020yCat.1350....0G
52  |HD 219059                                                             |Star                              |23 13 21.9929003136 -42 47 04.139783952|348.3599937622622 -64.6893103885562|   2.592 -9.566   |8.83     |K0III             |    ~     ~    |    1|  418.165   pc  |  -2.9552     +2.9552    |paral   |2020yCat.1350....0G
53  |HD 219264                                                             |Star                              |23 14 57.2280161952 -42 44 00.878901288|348.1155546434316 -64.9661938038013|  19.009 -1.977   |8.88     |F0IV/V            |    ~     ~    |    1|  256.397   pc  |  -1.6632     +1.6632    |paral   |2020yCat.1350....0G
54  |HD 219265                                                             |Star                              |23 14 59.0866605216 -43 17 56.723716896|346.9723230030629 -64.6775847631692|   2.784 -3.080   |9.49     |K0III             |    ~     ~    |    1|  486.973   pc  | -23.3586    +23.3586    |paral   |2020yCat.1350....0G
55  |HD 218205                                                             |High Proper Motion Star           |23 06 39.1592602920 -43 30 13.442573448|348.3186264981004 -63.2692050741957|-48.005 -22.348   |8.90     |G2V               |    ~     ~    |    1|   40.149   pc  |  -0.0393     +0.0393    |paral   |2020yCat.1350....0G
56  |* tet Gru                                                             |Double or Multiple Star           |23 06 52.73046 -43 31 13.2857          |348.24186069 -63.29689932          |  -47.17 -13.49   |4.332    |kF3VhF5mF5(II-III)|    ~     ~    |    0|                |                         |        |                   
57  |HD 218436                                                             |Double or Multiple Star           |23 08 32.701 -43 43 31.32              |347.510990 -63.457171              |      7.4 -11.7   |10.44    |F8/G1             |    ~     ~    |    0|                |                         |        |                   
58  |HD 219022                                                             |Star                              |23 13 08.3053726968 -43 21 38.440908936|347.2579207387298 -64.3590955954365| 27.346 -27.404   |10.15    |K2(III)           |    ~     ~    |    1|  246.239   pc  |  -3.0014     +3.0014    |paral   |2020yCat.1350....0G
59  |CD-44 15192                                                           |Star                              |23 14 49.3217176704 -43 43 32.704382964|346.1679454646848 -64.4256947452143|    5.980 6.582   |10.95    |~                 |    ~     ~    |    1|  259.410   pc  |  -1.1709     +1.1709    |paral   |2020yCat.1350....0G
60  |CD-44 15162                                                           |High Proper Motion Star           |23 09 20.6588269032 -43 45 11.885214708|347.2933767312587 -63.5676407899594|  67.227 57.769   |10.47    |K0                |    ~     ~    |    1|  183.608   pc  |  -0.6102     +0.6102    |paral   |2020yCat.1350....0G
61  |HD 218890                                                             |Star                              |23 12 03.0245601768 -43 59 15.983210076|346.2698165260620 -63.8632760365884|   5.749 17.223   |7.16     |K1III             |    ~     ~    |    1|  187.042   pc  |  -1.0600     +1.0600    |paral   |2020yCat.1350....0G
62  |NGC 7531                           NGC 7531                           |Galaxy towards a Group of Galaxies|23 14 48.4576363992 -43 35 59.465701536|346.4178241629549 -64.4908843816390|            ~ ~   |11.26    |~                 | 4.37  1.91    |    1|   24.10    Mpc |  -2.49       +2.49      |T-F     |2020ApJ...902..145K
63  |NGC 7496A                          ESO 291-7                          |Galaxy                            |23 12 23.4 -43 46 47                   |346.5991 -64.0249                  |            ~ ~   |     ~   |~                 | 1.5   1.2     |    1|   21       Mpc |                         |        |2007ApJS..173..185G
64  |CD-42 16210                                                           |High Proper Motion Star           |23 08 47.4136572360 -41 36 22.414238640|351.7156011331597 -64.5026894378430| 72.737 -23.600   |10.83    |~                 |    ~     ~    |    1|  220.035   pc  |  -3.2080     +3.2080    |ST-L    |2020AJ....160...83S
65  |CD-43 15302                                                           |Double or Multiple Star           |23 14 10.0878729264 -42 52 14.973663252|348.0110620351300 -64.7721933953519|  -10.697 4.142   |10.699   |~                 |    ~     ~    |    1|  172.704   pc  |  -4.2650     +4.2650    |ST-L    |2020AJ....160...83S
66  |CD-43 15296                                                           |Star                              |23 12 15.3716830056 -43 03 51.057559008|348.0368774251217 -64.3726994102269| -16.503 -0.207   |10.83    |~                 |    ~     ~    |    1|  565.419   pc  |  -6.3620     +6.3620    |paral   |2020yCat.1350....0G
67  |CD-44 15178                                                           |High Proper Motion Star           |23 12 27.2072875224 -43 53 16.045500300|346.3757207039044 -63.9777031457608|-52.902 -18.531   |10.77    |~                 |    ~     ~    |    1|   66.537   pc  |  -0.0748     +0.0748    |paral   |2020yCat.1350....0G
68  |NGC 7496                           NGC 7496                           |Active Galaxy Nucleus             |23 09 47.2876854912 -43 25 40.279652796|347.8356390061321 -63.8012769813592|            ~ ~   |13.90    |~                 |2.010 1.126    |    1|    8.91    Mpc |  -2.01       +2.01      |T-F     |2020ApJ...902..145K
69  |CD-44 15142                                                           |Star                              |23 05 36.1173322824 -43 53 37.039817616|347.7725523165152 -62.9128305357481|  2.556 -10.496   |10.49    |~                 |    ~     ~    |    1| 1883.239   pc  | -56.7454    +56.7454    |paral   |2020yCat.1350....0G
70  |HD 218321                                                             |Eruptive Variable                 |23 07 34.9303317744 -43 55 13.486520136|347.3298600257392 -63.2089862343430|   -9.440 1.462   |9.16     |G3V               |    ~     ~    |    1|   70.825   pc  |  -0.0943     +0.0943    |paral   |2020yCat.1350....0G
71  |CD-44 15156                                                           |Star                              |23 08 12.6666311352 -43 57 48.145357656|347.1204843813065 -63.2850158968605| 46.094 -11.827   |10.88    |G5                |    ~     ~    |    1|  292.809   pc  |  -1.4575     +1.4575    |paral   |2020yCat.1350....0G
72  |HD 218447                                                             |Star                              |23 08 38.7140203512 -44 12 13.445034660|346.5728675095140 -63.2290857027817| 21.583 -12.006   |9.38     |K1III             |    ~     ~    |    1|  494.829   pc  |  -3.8198     +3.8198    |paral   |2020yCat.1350....0G
73  |HD 218839                                                             |High Proper Motion Star           |23 11 36.9974910168 -44 18 08.948222136|345.7605492426929 -63.6301354846547| 80.393 -28.562   |10.17    |G2/3V             |    ~     ~    |    1|  140.750   pc  |  -1.6810     +1.6810    |ST-L    |2020AJ....160...83S
74  |HD 219010                                                             |Star                              |23 12 59.5262721336 -44 03 40.398026112|345.9235555244941 -63.9675369105240|   14.809 9.810   |8.55     |K3III             |    ~     ~    |    1|  408.347   pc  |  -5.8195     +5.8195    |paral   |2020yCat.1350....0G
75  |TYC 8008-15-1                                                         |Star                              |23 05 35.5261140912 -42 18 07.748229852|350.8993137793240 -63.6597371229732|   0.079 -5.088   |10.70    |~                 |    ~     ~    |    1|  868.810   pc  | -11.6244    +11.6244    |paral   |2020yCat.1350....0G
76  |TYC 8012-376-1                                                        |Star                              |23 13 12.9903682104 -43 37 13.762179192|346.7298164340911 -64.2356281182111| 17.213 -10.525   |10.995   |~                 |    ~     ~    |    1|  716.303   pc  | -44.6500    +44.6500    |ST-L    |2020AJ....160...83S
77  |TYC 8012-521-1                                                        |Star                              |23 12 22.1639040840 -42 58 18.474012948|348.1973821695218 -64.4371593244174|  -6.050 -7.918   |10.91    |~                 |    ~     ~    |    1| 1205.691   pc  | -21.5146    +21.5146    |paral   |2020yCat.1350....0G
78  |CD-41 15119                                                           |High Proper Motion Star           |23 03 18.1702634664 -41 03 12.842459712|353.8638556347252 -63.8029481147626|  97.807 42.249   |10.359   |F8                |    ~     ~    |    1|  143.627   pc  |  -1.3760     +1.3760    |ST-L    |2020AJ....160...83S
79  |CD-39 14904                                                           |Star                              |23 00 07.4571181824 -39 04 06.621908844|358.5678057828345 -63.9552947026811| 14.741 -10.508   |9.34     |K0                |    ~     ~    |    1|  554.877   pc  |  -5.2033     +5.2033    |paral   |2020yCat.1350....0G
80  |HD 217306                                                             |Star                              |23 00 21.3010154136 -39 09 17.200680804|358.3487873711463 -63.9695449343909|-26.117 -11.655   |9.05     |F0V               |    ~     ~    |    1|  166.725   pc  |  -1.6440     +1.6440    |ST-L    |2020AJ....160...83S
81  |CD-39 14906                                                           |Star                              |23 00 22.6437278784 -38 52 37.696282788|358.9453545814171 -64.0633129610069| -37.094 -3.641   |10.20    |F8                |    ~     ~    |    1|  192.715   pc  |  -2.0560     +2.0560    |ST-L    |2020AJ....160...83S
82  |HD 217451                                                             |Star                              |23 01 16.1388431232 -38 50 37.388389128|358.8905565718091 -64.2384428963361|  -2.933 -5.560   |8.20     |K3III             |    ~     ~    |    1|  327.798   pc  |  -8.5410     +8.5410    |ST-L    |2020AJ....160...83S
83  |HD 217395                                                             |Star                              |23 00 48.1746041064 -39 53 41.835713532|356.7007215061358 -63.7990426596031| -24.257 24.958   |8.25     |G2V               |    ~     ~    |    1|   50.871   pc  |  -0.1609     +0.1609    |ST-L    |2020AJ....160...83S
84  |HD 217537                                                             |Star                              |23 01 48.0724369656 -39 56 59.788789296|356.4292222127374 -63.9583224332357| -0.613 -16.197   |10.23    |F6/7V             |    ~     ~    |    1|  203.828   pc  |  -0.6190     +0.6190    |paral   |2020yCat.1350....0G
85  |HD 217566                                                             |Star                              |23 01 58.2763777968 -39 45 21.506112972|356.8161341004899 -64.0580109242235| 20.355 -34.190   |8.09     |F3V               |    ~     ~    |    1|  131.442   pc  |  -0.5321     +0.5321    |paral   |2020yCat.1350....0G
86  |HD 217574                                                             |Star                              |23 02 09.2379984552 -40 12 44.388034740|355.8169929363121 -63.9255772706562| -1.076 -33.069   |9.34     |K1III             |    ~     ~    |    1|  464.577   pc  | -11.9000    +11.9000    |ST-L    |2020AJ....160...83S
87  |HD 217655                                                             |Double or Multiple Star           |23 02 42.97154 -39 46 09.6747          |356.67066544 -64.18701275          |    -6.81 10.15   |8.66     |F5V               |    ~     ~    |    0|                |                         |        |                   
88  |HD 217707                                                             |High Proper Motion Star           |23 03 03.4618411632 -40 52 06.503594016|354.2905242162231 -63.8339719719020| -3.328 -54.962   |10.04    |G6V               |    ~     ~    |    1|  161.231   pc  |  -0.4523     +0.4523    |paral   |2020yCat.1350....0G
89  |HD 217807                                                             |Variable Star                     |23 03 42.5196120144 -40 49 01.344145224|354.2875300207332 -63.9673916695973|  45.193 -0.726   |6.85     |M1III             |    ~     ~    |    1|  441.014   pc  |  -6.0877     +6.0877    |paral   |2020yCat.1350....0G
90  |NGC 7462                           NGC 7462                           |Galaxy towards a Group of Galaxies|23 02 46.494 -40 50 06.71              |354.407451 -63.797846              |            ~ ~   |     ~   |~                 |1.443 0.318    |    1|    9.08    Mpc |  -1.27       +1.27      |T-F     |2020ApJ...902..145K
91  |CD-39 14908                                                           |Star                              |23 00 56.0781747288 -38 58 03.609612480|358.6693625049773 -64.1368638132649|   0.750 -1.924   |10.82    |~                 |    ~     ~    |    1|  298.151   pc  |  -1.2623     +1.2623    |paral   |2020yCat.1350....0G
92  |CD-39 14909                                                           |Star                              |23 01 02.3443015488 -38 44 02.152400136|359.1628134040062 -64.2310433166742| 32.811 -32.724   |10.490   |~                 |    ~     ~    |    1|  197.829   pc  |  -2.4810     +2.4810    |ST-L    |2020AJ....160...83S
93  |CD-40 14999                                                           |Star                              |23 01 35.7158018304 -39 26 45.649011156|357.5384986054771 -64.0980863644061|   11.919 1.508   |9.81     |~                 |    ~     ~    |    1|  675.858   pc  |  -8.8616     +8.8616    |paral   |2020yCat.1350....0G
