C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:25:01

dec >=0&rah >=15.0&rah< 15.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2437

 #  |                                                                                                                     identifier                                                                                                                      |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
712 |HD 135530                                                                                                                                                                                                                                            |Variable Star                      |15 14 10.3147163736 +42 10 17.057274240|069.6966222902886 +57.3403147037276| 20.065 -14.631   |6.13     |M2III           |    ~     ~    |    1|  314.505   pc  |  -4.7874     +4.7874  |paral   |2020yCat.1350....0G
713 |NGC 5896                           NGC 5896                                                                                                                                                                                                          |Galaxy in Pair of Galaxies         |15 13 50.6720317776 +42 01 27.249660516|069.4644708144819 +57.4387709197731|            ~ ~   |     ~   |~               |0.197 0.173    |    0|                |                       |        |                   
714 |NGC 5895                           NGC 5895                                                                                                                                                                                                          |Pair of Galaxies                   |15 13 49.998 +42 00 29.00              |069.436575 +57.445156              |            ~ ~   |     ~   |~               | 0.87  0.23    |    0|                |                       |        |                   
715 |NGC 5893                           NGC 5893                                                                                                                                                                                                          |Galaxy towards a Group of Galaxies |15 13 34.1759994408 +41 57 31.582647864|069.3729585824921 +57.5056577386943|    0.560 0.473   |     ~   |~               |0.857 0.565    |    1|   79.93    Mpc |                       |redshift|2007ApJ...655..790C
716 |BD+42 2578                                                                                                                                                                                                                                           |Star                               |15 14 47.3539866144 +42 04 36.801328296|069.4708734864878 +57.2556973335021| -4.852 -16.704   |10.73    |K0              |    ~     ~    |    1|  861.475   pc  |  -9.2767     +9.2767  |paral   |2020yCat.1350....0G
717 |TYC 3048-462-1                                                                                                                                                                                                                                       |Star                               |15 13 49.0859842104 +42 04 41.428260012|069.5633893558932 +57.4288518751454|   7.483 -8.822   |10.37    |~               |    ~     ~    |    1|  702.395   pc  |  -5.5256     +5.5256  |paral   |2020yCat.1350....0G
718 |GSC 03048-00550                                                                                                                                                                                                                                      |Double or Multiple Star            |15 12 34.3493211144 +41 58 42.062423700|069.5023463338439 +57.6786489075526|  -14.664 4.205   |10.579   |~               |    ~     ~    |    1|  231.000   pc  |  -0.5976     +0.5976  |paral   |2020yCat.1350....0G
719 |TYC 3048-739-1                                                                                                                                                                                                                                       |Star                               |15 14 51.2942109768 +41 41 35.550150144|068.7797412178092 +57.3448783423033|   6.977 -0.600   |10.50    |~               |    ~     ~    |    1|  260.105   pc  |  -0.7848     +0.7848  |paral   |2020yCat.1350....0G
720 |TYC 3048-1416-1                                                                                                                                                                                                                                      |Star                               |15 14 16.0385444712 +41 44 31.627720896|068.9202817495525 +57.4380410829499|  -20.990 6.705   |10.71    |~               |    ~     ~    |    1|  920.641   pc  | -15.6802    +15.6802  |paral   |2020yCat.1350....0G
721 |BD+44 2427                                                                                                                                                                                                                                           |Star                               |15 08 42.2371644888 +44 24 32.525009748|074.2275334202398 +57.5857944958505| -13.141 11.268   |10.23    |K0              |    ~     ~    |    1|  539.025   pc  |  -3.3994     +3.3994  |paral   |2020yCat.1350....0G
722 |HD 133230                                                                                                                                                                                                                                            |Spectroscopic Binary               |15 01 53.9754106800 +43 32 30.594497748|073.5164593235729 +59.0387291334020| -65.760 38.713   |8.15     |F5              |    ~     ~    |    1|  159.309   pc  |  -0.4670     +0.4670  |paral   |2020yCat.1350....0G
723 |HD 134025                                                                                                                                                                                                                                            |Star                               |15 06 10.2626229576 +43 57 41.111205552|073.7404121127576 +58.1684242932458| -30.582 -2.508   |9.57     |F5              |    ~     ~    |    1|  175.821   pc  |  -0.4142     +0.4142  |paral   |2020yCat.1350....0G
724 |BD+44 2425                                                                                                                                                                                                                                           |Star                               |15 07 54.7607039592 +44 04 49.093164552|073.7438018802375 +57.8335223775583| -10.075 -1.485   |10.10    |K0              |    ~     ~    |    1|  694.348   pc  |  -5.2551     +5.2551  |paral   |2020yCat.1350....0G
725 |BD+44 2432                                                                                                                                                                                                                                           |Star                               |15 10 26.6202393336 +43 56 52.419326424|073.2218451213544 +57.4506807140660|  -9.803 -8.488   |9.36     |K0              |    ~     ~    |    1|  652.273   pc  |  -5.6161     +5.6161  |paral   |2020yCat.1350....0G
726 |TYC 3051-535-1                                                                                                                                                                                                                                       |Star                               |15 11 03.7172552544 +44 24 14.883602940|073.9481352805406 +57.1924687961812|   6.196 -4.628   |10.10    |K4              |    ~     ~    |    1|  867.830   pc  | -10.1672    +10.1672  |paral   |2020yCat.1350....0G
727 |HD 135200                                                                                                                                                                                                                                            |Star                               |15 12 15.7492306320 +43 58 51.290096844|073.0799923686255 +57.1307925189034|  9.710 -28.247   |8.12     |F0              |    ~     ~    |    1|  184.023   pc  |  -3.4440     +3.4440  |paral   |2020yCat.1350....0G
728 |V* FH Boo                                                                                                                                                                                                                                            |Long-Period Variable Candidate     |15 12 46.7919709368 +44 16 17.150267136|073.5283670777834 +56.9477305733400|  7.185 -13.611   |9.21     |M0              |    ~     ~    |    1| 1222.494   pc  | -28.3953    +28.3953  |paral   |2020yCat.1350....0G
729 |BD+44 2416                                                                                                                                                                                                                                           |Star                               |15 03 49.4941442448 +43 40 37.697722032|073.5190006814870 +58.6648785267335|  7.171 -10.694   |9.57     |K2              |    ~     ~    |    1|  409.920   pc  |  -2.3189     +2.3189  |paral   |2020yCat.1350....0G
730 |BD+44 2417                                                                                                                                                                                                                                           |Star                               |15 05 05.2467588648 +43 48 09.051539076|073.5886391115417 +58.4071940137609|  0.429 -20.417   |9.34     |K0              |    ~     ~    |    1|  397.867   pc  |  -3.3718     +3.3718  |paral   |2020yCat.1350....0G
731 |HD 134111                                                                                                                                                                                                                                            |Star                               |15 06 38.4957544248 +43 45 21.643241904|073.3193662169087 +58.1605778459020| 30.207 -39.328   |8.74     |K0              |    ~     ~    |    1|  330.033   pc  |  -1.6883     +1.6883  |paral   |2020yCat.1350....0G
732 |BD+44 2430                                                                                                                                                                                                                                           |Star                               |15 09 18.1904468424 +43 31 20.625496860|072.5990287989551 +57.7856951977019|-15.943 -18.448   |9.79     |K5              |    ~     ~    |    1|  651.721   pc  |  -5.6490     +5.6490  |paral   |2020yCat.1350....0G
733 |BD+44 2433                                                                                                                                                                                                                                           |Star                               |15 10 46.9770480528 +43 29 09.441023352|072.3720584111493 +57.5436402722151|  3.122 -31.776   |10.22    |F8              |    ~     ~    |    1|  227.790   pc  |  -1.6397     +1.6397  |paral   |2020yCat.1350....0G
734 |HD 135046                                                                                                                                                                                                                                            |Star                               |15 11 27.0003734016 +43 47 43.138292388|072.8437667022606 +57.3296079904632| -5.524 -16.632   |8.69     |F5              |    ~     ~    |    1|  186.331   pc  |  -0.4305     +0.4305  |paral   |2020yCat.1350....0G
735 |BD+43 2464                                                                                                                                                                                                                                           |Star                               |15 05 07.4745164136 +43 12 28.174599504|072.5160285123118 +58.6065465308589|  7.337 -15.880   |9.84     |F2              |    ~     ~    |    1|  346.825   pc  |  -1.5878     +1.5878  |paral   |2020yCat.1350....0G
736 |BD+43 2465                                                                                                                                                                                                                                           |Star                               |15 05 39.9241468224 +43 07 54.257695428|072.3150261381591 +58.5392469104942|    4.630 3.051   |9.88     |K0              |    ~     ~    |    1|  720.513   pc  |  -5.5029     +5.5029  |paral   |2020yCat.1350....0G
737 |HD 134587                                                                                                                                                                                                                                            |Star                               |15 09 15.0437775216 +42 50 39.909877008|071.3957566530148 +58.0112386044222|  -0.926 16.854   |9.01     |F5              |    ~     ~    |    1|  292.082   pc  |  -1.2114     +1.2114  |paral   |2020yCat.1350....0G
738 |BD+43 2468                                                                                                                                                                                                                                           |High Proper Motion Star            |15 09 23.6122705920 +43 13 57.647864064|072.0743023862188 +57.8639829412283|-30.100 -44.021   |9.29     |K0              |    ~     ~    |    1|   80.580   pc  |  -1.7648     +1.7648  |paral   |2020yCat.1350....0G
739 |HD 134810                                                                                                                                                                                                                                            |Star                               |15 10 24.1507528368 +42 31 39.208218024|070.7053904537362 +57.9060873950369| -21.883 -9.588   |9.11     |F5              |    ~     ~    |    1|  186.209   pc  |  -0.4057     +0.4057  |paral   |2020yCat.1350....0G
740 |BD+43 2473                                                                                                                                                                                                                                           |Star                               |15 10 48.6537650520 +43 22 03.243945936|072.1598523647638 +57.5765663954351|  -21.801 6.978   |9.30     |K0              |    ~     ~    |    1|  604.558   pc  |  -4.6417     +4.6417  |paral   |2020yCat.1350....0G
741 |HD 135517                                                                                                                                                                                                                                            |High Proper Motion Star            |15 13 59.2197084072 +43 02 53.107632348|071.2674066238981 +57.1235757282595| -71.908 44.455   |6.660    |A5              |    ~     ~    |    1|  103.158   pc  |  -0.5236     +0.5236  |paral   |2020yCat.1350....0G
742 |BD+43 2476                                                                                                                                                                                                                                           |Star                               |15 14 06.4852125048 +43 11 21.470187012|071.5034953360268 +57.0605105049059|-14.533 -17.785   |9.09     |K0              |    ~     ~    |    1|  333.845   pc  |  -1.5603     +1.5603  |paral   |2020yCat.1350....0G
743 |HD 135575                                                                                                                                                                                                                                            |Star                               |15 14 26.8592037456 +42 35 46.121186148|070.4248381847896 +57.1733919120000|  -8.598 -6.440   |9.30     |A2              |    ~     ~    |    1|  261.206   pc  |  -1.2145     +1.2145  |paral   |2020yCat.1350....0G
744 |TYC 3048-349-1                                                                                                                                                                                                                                       |Star                               |15 12 22.7562781344 +42 17 09.557430792|070.0731546630270 +57.6271718078366| 24.059 -20.733   |9.69     |~               |    ~     ~    |    1|  152.191   pc  |  -0.2849     +0.2849  |paral   |2020yCat.1350....0G
745 |TYC 3048-352-1                                                                                                                                                                                                                                       |Star                               |15 10 42.9880816584 +42 29 54.815375004|070.6209961960214 +57.8594503019318|    0.310 4.116   |10.79    |~               |    ~     ~    |    1|  667.156   pc  |  -4.9406     +4.9406  |paral   |2020yCat.1350....0G
746 |TYC 3050-730-1                                                                                                                                                                                                                                       |Star                               |15 06 12.5915067192 +43 53 39.037915464|073.6163673712010 +58.1855164325101|   17.050 5.991   |10.76    |~               |    ~     ~    |    1|  264.005   pc  |  -1.0385     +1.0385  |paral   |2020yCat.1350....0G
747 |TYC 3050-761-1                                                                                                                                                                                                                                       |Star                               |15 04 10.2740140680 +43 42 52.017090480|073.5432212873017 +58.5931010999726|   5.112 -1.222   |10.96    |~               |    ~     ~    |    1|  280.348   pc  |  -0.8724     +0.8724  |paral   |2020yCat.1350....0G
748 |TYC 3050-918-1                                                                                                                                                                                                                                       |Spectroscopic Binary               |15 04 31.2753397584 +43 16 32.132389224|072.7103883580795 +58.6867828721641| -18.982 29.359   |10.67    |~               |    ~     ~    |    1|  109.384   pc  |  -3.5703     +3.5703  |paral   |2020yCat.1350....0G
749 |TYC 3050-967-1                                                                                                                                                                                                                                       |Star                               |15 06 31.7862532656 +43 33 36.595956780|072.9833928011981 +58.2467592182413|  -1.119 -5.622   |10.28    |~               |    ~     ~    |    1|  718.649   pc  |  -5.8876     +5.8876  |paral   |2020yCat.1350....0G
750 |TYC 3051-315-1                                                                                                                                                                                                                                       |Star                               |15 11 42.3820366608 +44 44 36.103537392|074.4616240857730 +56.9680344386000|  -1.464 -5.248   |10.69    |~               |    ~     ~    |    1|  426.003   pc  |  -3.0125     +3.0125  |paral   |2020yCat.1350....0G
751 |TYC 3051-758-1                                                                                                                                                                                                                                       |Star                               |15 08 05.1275172072 +43 43 59.542662360|073.1105160719958 +57.9232969069119|  -12.624 2.298   |10.86    |~               |    ~     ~    |    1| 2180.549   pc  | -81.7825    +81.7825  |paral   |2020yCat.1350....0G
752 |TYC 3051-805-1                                                                                                                                                                                                                                       |Star                               |15 08 06.4727264040 +43 20 58.506688212|072.4257363543385 +58.0473732075510|   6.979 10.160   |9.83     |~               |    ~     ~    |    1|  446.508   pc  |  -2.2329     +2.2329  |paral   |2020yCat.1350....0G
753 |TYC 3051-847-1                                                                                                                                                                                                                                       |High Proper Motion Star            |15 07 17.2810525008 +42 49 27.297264720|071.5744109100885 +58.3591044573964| -88.142 54.879   |10.96    |~               |    ~     ~    |    1|  151.185   pc  |  -0.2263     +0.2263  |paral   |2020yCat.1350....0G
754 |TYC 3051-874-1                                                                                                                                                                                                                                       |Red Giant Branch star              |15 13 24.4613571672 +43 30 27.499377456|072.1326394208866 +57.0850190080358|  -29.088 5.850   |10.79    |~               |    ~     ~    |    1|  484.731   pc  |  -3.0545     +3.0545  |paral   |2020yCat.1350....0G
755 |TYC 3051-890-1                                                                                                                                                                                                                                       |High Proper Motion Star            |15 08 58.3016001120 +43 30 41.533302924|072.6168035783489 +57.8460250621774|-39.416 -38.712   |10.43    |~               |    ~     ~    |    1|  205.982   pc  |  -0.6025     +0.6025  |paral   |2020yCat.1350....0G
756 |TYC 3051-995-1                                                                                                                                                                                                                                       |Spectroscopic Binary               |15 11 13.2472142568 +43 29 08.270991312|072.3242809951655 +57.4684839896776| -8.762 -11.982   |10.73    |~               |    ~     ~    |    1|  662.734   pc  |  -9.9263     +9.9263  |paral   |2020yCat.1350....0G
757 |TYC 3051-1040-1                                                                                                                                                                                                                                      |Star                               |15 09 46.7623856832 +43 17 47.994513792|072.1459237619003 +57.7769602802870|   5.381 -1.127   |10.72    |~               |    ~     ~    |    1|  421.124   pc  |  -3.2277     +3.2277  |paral   |2020yCat.1350....0G
758 |TYC 3051-1204-1                                                                                                                                                                                                                                      |High Proper Motion Star            |15 14 18.7475051544 +42 42 32.136745032|070.6373142478489 +57.1651654711751|  -56.322 9.480   |9.89     |~               |    ~     ~    |    1|   91.346   pc  |  -0.0801     +0.0801  |paral   |2020yCat.1350....0G
759 |TYC 3051-1277-1                                                                                                                                                                                                                                      |Red Giant Branch star              |15 12 07.0070370480 +43 27 39.686280372|072.1855942542731 +57.3220425778493|  -19.614 9.601   |10.80    |~               |    ~     ~    |    1|  709.170   pc  |  -5.8842     +5.8842  |paral   |2020yCat.1350....0G
760 |TYC 3051-1280-1                                                                                                                                                                                                                                      |Double or Multiple Star            |15 13 54.6976 +42 59 20.896            |071.1711009 +57.1541359            | -71.695 45.217   |10.78    |~               |    ~     ~    |    0|                |                       |        |                   
761 |TYC 3051-1344-1                                                                                                                                                                                                                                      |Star                               |15 11 34.3801502856 +43 05 08.505235824|071.5799404975196 +57.5326405378345|   7.079 -4.330   |10.48    |~               |    ~     ~    |    1|  770.594   pc  |  -7.4227     +7.4227  |paral   |2020yCat.1350....0G
762 |GSC 03051-01402                                                                                                                                                                                                                                      |Double or Multiple Star            |15 09 46.2958636368 +43 08 22.434349200|071.8672386074226 +57.8282634920995| -19.433 -2.038   |10.067   |~               |    ~     ~    |    1|  198.016   pc  |  -1.6468     +1.6468  |paral   |2020yCat.1350....0G
763 |BD+47 2191                                                                                                                                                                                                                                           |High Proper Motion Star            |15 00 37.1640728424 +46 27 27.572197860|078.8153528579737 +58.0799833344828| -7.315 -50.287   |9.79     |G0              |    ~     ~    |    1|  219.645   pc  |  -0.6079     +0.6079  |paral   |2020yCat.1350....0G
764 |BD+47 2193                                                                                                                                                                                                                                           |Star                               |15 00 57.3123321864 +46 27 44.586512856|078.7756791770374 +58.0258906551186|    6.672 2.346   |9.36     |K0              |    ~     ~    |    1|  535.074   pc  |  -4.5236     +4.5236  |paral   |2020yCat.1350....0G
765 |HD 133563                                                                                                                                                                                                                                            |Star                               |15 03 32.6739841368 +46 09 53.120405340|077.9106339537798 +57.7483177391750| 12.182 -18.339   |9.31     |F5              |    ~     ~    |    1|  184.860   pc  |  -0.4579     +0.4579  |paral   |2020yCat.1350....0G
766 |HD 133087                                                                                                                                                                                                                                            |Double or Multiple Star            |15 01 01.2509519640 +45 43 24.696576660|077.4994369389415 +58.3312273454315| -38.148 -0.176   |8.68     |F0              |0.0067  0.0    |    1|  182.782   pc  |  -2.4890     +2.4890  |paral   |2020yCat.1350....0G
767 |BD+46 2016B                                                                                                                                                                                                                                          |Star                               |15 00 55.5203143368 +45 44 17.672832708|077.5381918776642 +58.3401977289700|-12.659 -13.768   |9.70     |K0              |    ~     ~    |    1|  520.833   pc  |  -3.1467     +3.1467  |paral   |2020yCat.1350....0G
768 |HD 133157                                                                                                                                                                                                                                            |Star                               |15 01 23.7879818160 +45 46 34.290050880|077.5383131741082 +58.2496819107507| -20.419 29.962   |8.86     |A2              |    ~     ~    |    1|  205.474   pc  |  -0.6375     +0.6375  |paral   |2020yCat.1350....0G
769 |HD 132892                                                                                                                                                                                                                                            |High Proper Motion Star            |15 00 03.5892905424 +44 35 10.814724204|075.6361517829743 +58.9491079165553| -59.285 -2.255   |6.91     |K0              |    ~     ~    |    1|  167.977   pc  |  -0.4938     +0.4938  |paral   |2020yCat.1350....0G
770 |BD+45 2246                                                                                                                                                                                                                                           |Star                               |15 00 46.0464613656 +45 20 02.455428192|076.8574644431475 +58.5330751465343|  -7.589 -3.231   |9.96     |G0              |    ~     ~    |    1|  556.390   pc  |  -3.4981     +3.4981  |paral   |2020yCat.1350....0G
771 |HD 133542                                                                                                                                                                                                                                            |Star                               |15 03 30.1844764344 +45 39 15.611685696|077.0416379619652 +57.9647083360615| -25.597 21.553   |8.98     |F8              |    ~     ~    |    1|  203.161   pc  |  -0.6521     +0.6521  |paral   |2020yCat.1350....0G
772 |BD+46 2024                                                                                                                                                                                                                                           |Star                               |15 05 51.9132898488 +45 43 49.770676524|076.8626279960132 +57.5562567831409| -10.131 -6.172   |10.11    |F5              |    ~     ~    |    1|  190.241   pc  |  -0.4488     +0.4488  |paral   |2020yCat.1350....0G
773 |BD+46 2025                                                                                                                                                                                                                                           |Spectroscopic Binary               |15 06 01.3298154960 +45 47 20.186865528|076.9423762861998 +57.5079577260168| 37.761 -15.206   |9.33     |F5              |    ~     ~    |    1|  106.185   pc  |  -1.2380     +1.2380  |paral   |2020yCat.1350....0G
774 |HD 133350                                                                                                                                                                                                                                            |Star                               |15 02 23.2403823744 +44 30 27.659576088|075.1848764335415 +58.5977921886762|  -37.277 6.994   |8.98     |F5              |    ~     ~    |    1|  168.682   pc  |  -0.3756     +0.3756  |paral   |2020yCat.1350....0G
775 |HD 133390                                                                                                                                                                                                                                            |Star                               |15 02 37.2201916296 +45 07 38.291375100|076.2447406710843 +58.3180722697124|  -33.805 5.578   |9.21     |F2              |    ~     ~    |    1|  249.700   pc  |  -0.8854     +0.8854  |paral   |2020yCat.1350....0G
776 |HD 133484                                                                                                                                                                                                                                            |Double or Multiple Star            |15 03 06.5729464080 +44 38 40.180367508|075.3325035943933 +58.4265834669688|-104.865 13.950   |6.65     |F6IV            |    ~     ~    |    1|   59.588   pc  |  -0.4335     +0.4335  |paral   |2020yCat.1350....0G
777 |BD+45 2252                                                                                                                                                                                                                                           |Star                               |15 03 20.1523208424 +44 56 29.231953152|075.8250079193353 +58.2748816572837|  -5.271 14.537   |10.38    |F5              |    ~     ~    |    1|  390.625   pc  |  -2.1362     +2.1362  |paral   |2020yCat.1350....0G
778 |BD+45 2254                                                                                                                                                                                                                                           |Star                               |15 05 37.4251029552 +45 23 49.917101784|076.3209554662756 +57.7260241584336|  -34.814 0.848   |10.40    |F8              |    ~     ~    |    1|  136.346   pc  |  -0.2658     +0.2658  |paral   |2020yCat.1350....0G
779 |HD 134110                                                                                                                                                                                                                                            |Star                               |15 06 32.6721395904 +44 39 18.160944732|074.9166012254613 +57.8563627730951|   -8.743 6.933   |9.36     |F5              |    ~     ~    |    1|  320.390   pc  |  -1.4166     +1.4166  |paral   |2020yCat.1350....0G
780 |BD+45 2256                                                                                                                                                                                                                                           |Star                               |15 07 42.5708214048 +44 42 03.125319732|074.8546813946410 +57.6468477347047|-10.995 -19.140   |9.73     |F5              |    ~     ~    |    1|  215.008   pc  |  -0.6148     +0.6148  |paral   |2020yCat.1350....0G
781 |HD 134771                                                                                                                                                                                                                                            |Star                               |15 10 00.7141461888 +45 07 17.529608424|075.3071026949174 +57.1142566329709|-33.198 -27.249   |9.58     |G               |    ~     ~    |    1|  121.183   pc  |  -0.1659     +0.1659  |paral   |2020yCat.1350....0G
782 |HD 134790                                                                                                                                                                                                                                            |Star                               |15 10 12.2459843712 +44 52 10.600139352|074.8512940696835 +57.1731445987099|-14.620 -10.467   |9.08     |F8              |    ~     ~    |    1|  257.169   pc  |  -5.7472     +5.7472  |paral   |2020yCat.1350....0G
783 |BD+44 2415                                                                                                                                                                                                                                           |Star                               |15 03 25.0925410536 +44 13 58.249955388|074.5635726463141 +58.5308920796937|  8.955 -16.872   |10.47    |G5              |    ~     ~    |    1|  856.825   pc  |  -7.6351     +7.6351  |paral   |2020yCat.1350....0G
784 |TYC 3050-31-1                                                                                                                                                                                                                                        |Star                               |15 06 15.7201674624 +44 33 00.945212616|074.7679089403574 +57.9415961444365|   8.087 -2.366   |10.82    |G0              |    ~     ~    |    1| 1041.992   pc  | -27.7951    +27.7951  |paral   |2020yCat.1350....0G
785 |TYC 3481-864-1                                                                                                                                                                                                                                       |Star                               |15 10 44.8531562976 +45 11 39.298858980|075.3453428182042 +56.9670386047692|   2.089 -7.204   |10.52    |~               |    ~     ~    |    1|  273.583   pc  |  -4.0792     +4.0792  |paral   |2020yCat.1350....0G
786 |TYC 3050-121-1                                                                                                                                                                                                                                       |Star                               |15 02 41.9696259048 +44 17 10.107799224|074.7506890875951 +58.6303151896402| -14.693 44.818   |10.60    |~               |    ~     ~    |    1|  298.606   pc  |  -1.3910     +1.3910  |paral   |2020yCat.1350....0G
787 |TYC 3050-303-1                                                                                                                                                                                                                                       |Star                               |15 02 49.4216248680 +44 50 02.770802016|075.7038521784197 +58.4002188798891|  9.225 -20.844   |10.44    |~               |    ~     ~    |    1|  190.078   pc  |  -3.0096     +3.0096  |paral   |2020yCat.1350....0G
788 |TYC 3050-340-1                                                                                                                                                                                                                                       |Star                               |15 02 57.3758665824 +44 34 18.476323644|075.2240736657102 +58.4795989023696| -42.450 15.856   |10.86    |~               |    ~     ~    |    1|  289.452   pc  |  -3.4770     +3.4770  |paral   |2020yCat.1350....0G
789 |TYC 3051-526-1                                                                                                                                                                                                                                       |Star                               |15 09 13.8557455992 +44 49 33.544950564|074.8901109316913 +57.3498235654388| -12.516 10.420   |10.56    |~               |    ~     ~    |    1|  964.506   pc  |  -9.3957     +9.3957  |paral   |2020yCat.1350....0G
790 |TYC 3051-647-1                                                                                                                                                                                                                                       |Star                               |15 08 15.8925440880 +44 47 48.084146556|074.9543919635012 +57.5201686080066|  -7.389 11.409   |10.80    |~               |    ~     ~    |    1| 1134.559   pc  | -13.0010    +13.0010  |paral   |2020yCat.1350....0G
791 |TYC 3481-40-1                                                                                                                                                                                                                                        |Star                               |15 06 38.9653155792 +45 22 35.670078192|076.1552416744224 +57.5679342942030| -33.753 31.798   |10.83    |~               |    ~     ~    |    1|  410.004   pc  |  -1.8996     +1.8996  |paral   |2020yCat.1350....0G
792 |TYC 3481-264-1                                                                                                                                                                                                                                       |Star                               |15 09 11.7782577288 +45 20 29.898756348|075.7816264740304 +57.1669408538990| -14.474 10.748   |9.75     |~               |    ~     ~    |    1|  633.352   pc  |  -4.7334     +4.7334  |paral   |2020yCat.1350....0G
793 |TYC 3481-522-1                                                                                                                                                                                                                                       |Star                               |15 10 28.4343474048 +45 12 54.843170076|075.4132890243348 +57.0043641874640|   0.642 -0.579   |9.92     |~               |    ~     ~    |    1|  646.412   pc  |  -5.0142     +5.0142  |paral   |2020yCat.1350....0G
794 |TYC 3481-782-1                                                                                                                                                                                                                                       |Star                               |15 09 27.4594204776 +45 14 12.068395836|075.5704351034280 +57.1630685532385|  -4.497 10.665   |10.75    |~               |    ~     ~    |    1|  169.774   pc  |  -0.5217     +0.5217  |paral   |2020yCat.1350....0G
795 |TYC 3481-1316-1                                                                                                                                                                                                                                      |Star                               |15 00 57.9787680336 +46 19 50.313040248|078.5498283555037 +58.0813772208356| 17.842 -21.145   |10.02    |~               |    ~     ~    |    1|  621.272   pc  |  -4.5932     +4.5932  |paral   |2020yCat.1350....0G
796 |TYC 3481-1390-1                                                                                                                                                                                                                                      |Star                               |15 04 33.7436709936 +46 01 18.593869944|077.5307149870145 +57.6465961281066| -35.994 31.878   |9.96     |~               |    ~     ~    |    1|  209.490   pc  |  -0.5661     +0.5661  |paral   |2020yCat.1350....0G
797 |GSC 03481-01448                                                                                                                                                                                                                                      |Long-Period Variable Candidate     |15 01 30.2706489144 +45 38 32.707695840|077.2921043918118 +58.2881981781706|  -10.739 4.398   |10.89    |~               |    ~     ~    |    1| 2829.6548  pc  |-276.2396   +276.2396  |paral   |2018yCat.1345....0G
798 |BD+40 2866                                                                                                                                                                                                                                           |Star                               |15 14 54.5887144704 +39 30 59.229978264|064.8221163007874 +57.8352589329189|   -0.321 5.096   |10.07    |F2              |    ~     ~    |    1|  269.136   pc  |  -0.9923     +0.9923  |paral   |2020yCat.1350....0G
799 |TYC 3045-689-1                                                                                                                                                                                                                                       |Star                               |15 14 48.5559923376 +39 32 19.817060496|064.8706587386668 +57.8497319508845|  -21.974 8.392   |10.88    |G0              |    ~     ~    |    1|  301.577   pc  |  -1.0277     +1.0277  |paral   |2020yCat.1350....0G
800 |HD 135519                                                                                                                                                                                                                                            |Star                               |15 14 09.9344663664 +38 58 57.324174096|063.8883602683896 +58.0809433651681|  -1.008 -9.140   |8.64     |K0              |    ~     ~    |    1|  458.800   pc  |  -3.6206     +3.6206  |paral   |2020yCat.1350....0G
801 |TYC 3045-1303-1                                                                                                                                                                                                                                      |Star                               |15 14 06.3917993448 +39 18 40.215980376|064.5017406137810 +58.0283378139714|    0.967 0.921   |10.49    |~               |    ~     ~    |    1|  346.069   pc  |  -3.4133     +3.4133  |paral   |2020yCat.1350....0G
