C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:50:29

Vmag< 11&dec >=0&rah >=14.25&rah< 14.5
--------------------------------------

Number of objects : 2331

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------
34  |BD+82 426                                                             |Star                           |14 28 40.1369883936 +82 03 15.468183396|118.9815439795681 +34.3139132692357| -11.669 25.653    |9.79     |F8                  |    ~     ~    
35  |BD+82 417                                                             |High Proper Motion Star        |14 15 40.1123912256 +81 41 14.701534080|119.3032331687662 +34.8387919140725| 39.377 -33.350    |8.91     |K0                  |    ~     ~    
36  |BD+82 418                                                             |Star                           |14 19 00.6369462984 +81 22 02.011930176|119.0100739125179 +35.0836365476993|  -1.099 -7.480    |10.30    |K2                  |    ~     ~    
37  |BD+82 420                                                             |Spectroscopic Binary           |14 25 33.8774843112 +81 35 20.669387424|118.8545938093304 +34.7804712706414|  -2.093 27.691    |10.30    |F0                  |    ~     ~    
38  |BD+82 421                                                             |Double or Multiple Star        |14 26 14.5029889464 +81 24 40.624539444|118.7329973174853 +34.9297322241960|   -6.785 4.665    |10.312   |K0                  |    ~     ~    
39  |BD+82 424                                                             |Star                           |14 28 43.4747935536 +81 45 14.020461432|118.8175363021167 +34.5821548721909| -6.345 -11.026    |9.89     |F2                  |    ~     ~    
40  |BD+81 472                                                             |Star                           |14 15 38.2352901984 +80 50 51.137798748|118.9021492368246 +35.6121310861769|   -9.832 3.704    |10.06    |G0                  |    ~     ~    
41  |BD+81 473                                                             |Star                           |14 15 39.1319825352 +80 56 54.449782764|118.9502394312637 +35.5190993596692|  -8.606 14.368    |10.25    |K0                  |    ~     ~    
42  |BD+81 475                                                             |Star                           |14 20 41.3237472744 +81 01 43.445372664|118.7685282269626 +35.3660576388789|-10.877 -21.860    |9.96     |K0                  |    ~     ~    
43  |BD+81 476                                                             |Star                           |14 22 17.9877607392 +80 29 58.228690920|118.4235957862790 +35.8194700811735|  -0.307 -4.249    |9.69     |K0                  |    ~     ~    
44  |BD+81 477                                                             |High Proper Motion Star        |14 23 31.5363259656 +80 35 20.653830348|118.4145185052823 +35.7169917077419| -46.424 25.795    |8.90     |F8                  |    ~     ~    
45  |BD+81 479                                                             |Star                           |14 24 17.1314434080 +81 03 05.040889668|118.6246415965077 +35.2864045229801|   4.256 12.414    |9.49     |A5                  |    ~     ~    
46  |BD+81 480                                                             |Star                           |14 25 38.6215412976 +81 08 41.223684948|118.6160763045400 +35.1794830199050|  -15.989 4.660    |10.32    |F5                  |    ~     ~    
47  |HD 128642                                                             |Spectroscopic Binary           |14 29 22.3132831851 +80 48 35.444295478|118.2734521266945 +35.4147366313414|-76.849 -129.877   |6.88     |G5                  |    ~     ~    
48  |HD 125958                                                             |Star                           |14 15 29.2777151160 +79 59 56.815099512|118.4951287455219 +36.3940795951711| 22.532 -36.724    |8.73     |A2                  |    ~     ~    
49  |TYC 4565-121-1                                                        |Star                           |14 15 00.1857780384 +80 12 23.010717996|118.6204482415507 +36.2118771841020|  -7.348 -2.377    |10.24    |~                   |    ~     ~    
50  |TYC 4565-454-1                                                        |Star                           |14 19 41.3602026792 +82 13 06.580979976|119.4025297653336 +34.2955274924368|   12.877 2.509    |10.91    |~                   |    ~     ~    
51  |TOI-1180                                                              |High Proper Motion Star        |14 18 12.7424661936 +82 11 38.554668168|119.4461647571335 +34.3380268304605| 84.568 -64.759    |10.951   |~                   |    ~     ~    
52  |TYC 4565-1018-1                                                       |Star                           |14 27 54.8486508120 +81 13 11.559298188|118.5609032318058 +35.0737795871863| -16.751 -1.244    |10.58    |~                   |    ~     ~    
53  |TYC 4565-1362-1                                                       |Star                           |14 24 13.0876873152 +80 44 36.502631736|118.4649809248985 +35.5655100503152|   8.700 -1.233    |10.67    |~                   |    ~     ~    
54  |BD+80 434                                                             |Star                           |14 16 41.0466568416 +79 36 13.099499604|118.2377409287779 +36.7353525663494| -26.312 32.536    |10.58    |F8V                 |    ~     ~    
55  |BD+80 435                                                             |Star                           |14 16 43.5121599672 +79 35 49.627840740|118.2323393021049 +36.7405688713267| -25.563 29.716    |10.44    |F9V                 |    ~     ~    
56  |BD+80 437                                                             |Star                           |14 19 54.9024475968 +79 34 28.791993036|118.0568759882797 +36.7018072278302| -10.116 -5.094    |9.59     |K0                  |    ~     ~    
57  |BD+79 442                                                             |Star                           |14 16 02.3666031984 +78 45 36.321176556|117.8447553992087 +37.5191385682162|  -17.869 7.931    |9.24     |K0                  |    ~     ~    
58  |HD 126066                                                             |Star                           |14 16 26.5456696176 +79 20 12.334718904|118.1157038571179 +36.9839733514966|  -3.331 -9.943    |7.93     |K2                  |    ~     ~    
59  |BD+79 444                                                             |Star                           |14 17 46.6391776968 +79 00 07.473077928|117.8727886881584 +37.2640294886280|  -7.400 18.865    |10.14    |F5                  |    ~     ~    
60  |BD+79 445                                                             |Star                           |14 20 51.4642918584 +78 49 23.421860220|117.6095133047158 +37.3644946605845|  18.795 -1.267    |10.13    |F8                  |    ~     ~    
61  |BD+79 446                                                             |Star                           |14 21 55.4938879440 +79 19 47.045452584|117.8234259084457 +36.8848382109870| -0.363 -11.952    |9.12     |G0                  |    ~     ~    
62  |TYC 4562-370-1                                                        |Star                           |14 25 34.2835559136 +79 09 50.104213272|117.5414882048945 +36.9598074881941| -29.160 14.390    |10.06    |G5                  |    ~     ~    
63  |HD 127806                                                             |High Proper Motion Star        |14 26 43.1607790584 +78 29 56.151309084|117.1040364407147 +37.5290421069443| -13.005 87.554    |7.22     |F5                  |    ~     ~    
64  |BD+78 480                                                             |Star                           |14 16 30.9047840304 +77 49 02.985882492|117.3287616700680 +38.3697215402733|  2.963 -14.286    |9.57     |G0                  |    ~     ~    
65  |BD+78 481                                                             |High Proper Motion Star        |14 17 33.7186442040 +77 53 12.806394792|117.3014702657807 +38.2837532546850| -40.054 52.786    |9.73     |F2                  |    ~     ~    
66  |BD+78 484                                                             |Star                           |14 20 18.1345349712 +77 47 34.220670036|117.0841872129121 +38.3080303688136|   1.110 -2.074    |9.65     |K0                  |    ~     ~    
67  |BD+77 536                                                             |Double or Multiple Star        |14 17 43.9068789546 +76 47 46.792919296|116.7039372185849 +39.2698685132993|  5.887 -47.874    |9.318    |G5                  |    ~     ~    
68  |BD+77 537                                                             |Star                           |14 17 51.5030988336 +76 50 17.912900364|116.7184131311247 +39.2287763213973|   4.824 -2.351    |9.71     |A5                  |    ~     ~    
69  |AG+77 426                                                             |Long-Period Variable Candidate |14 18 46.2711858768 +77 08 25.435783104|116.8235940721333 +38.9334273306222|   7.025 -5.261    |10.08    |M8                  |    ~     ~    
70  |HD 126408                                                             |Double or Multiple Star        |14 19 49.34255 +76 42 02.1232          |116.51111337 +39.30517289          |    -24.25 3.06    |9.115    |F5                  |    ~     ~    
71  |HD 126892                                                             |Star                           |14 22 58.1304636720 +76 39 49.221708588|116.2798999081416 +39.2586335570434|  15.662 -1.501    |8.660    |G5                  |    ~     ~    
72  |BD+77 543                                                             |Star                           |14 25 15.0467294208 +76 48 29.382419916|116.2134343807036 +39.0706083858000|  9.434 -12.622    |8.90     |K0                  |    ~     ~    
73  |BD+77 544                                                             |Star                           |14 26 18.9155385984 +76 38 51.492421752|116.0484721866181 +39.1851727785000|  -1.009 -2.012    |9.54     |F5                  |    ~     ~    
74  |BD+77 545                                                             |Star                           |14 27 33.5438716488 +77 05 08.406291156|116.2289974263337 +38.7642619082795|  10.138 -3.592    |9.96     |G5                  |    ~     ~    
75  |BD+77 546                                                             |Star                           |14 28 55.7093895144 +76 24 42.903859464|115.7322691600854 +39.3221695133929|  -6.000 -2.518    |9.34     |F5                  |    ~     ~    
76  |BD+77 547                                                             |High Proper Motion Star        |14 28 50.4410351592 +77 20 36.137312700|116.3027429815029 +38.5032647397195| -58.099 31.123    |9.29     |K0                  |    ~     ~    
77  |TYC 4559-718-1                                                        |Star                           |14 24 50.7418945704 +76 35 09.219323796|116.1094472711012 +39.2790486941512| -5.240 -18.489    |10.28    |~                   |    ~     ~    
78  |TYC 4559-980-1                                                        |Star                           |14 18 20.9099411280 +77 18 49.229352396|116.9451362961326 +38.7864132931809|  -9.732 14.982    |10.58    |~                   |    ~     ~    
79  |TYC 4559-1157-1                                                       |Star                           |14 20 17.5259202024 +77 29 52.762467228|116.9230886566491 +38.5745172834414|   0.738 -0.404    |10.15    |~                   |    ~     ~    
80  |TYC 4559-1380-1                                                       |Star                           |14 20 59.8806767136 +76 53 56.328578376|116.5444145513300 +39.0973339826672|   0.680 19.260    |10.56    |~                   |    ~     ~    
81  |TYC 4559-1516-1                                                       |Star                           |14 17 32.9928576552 +76 32 07.231177104|116.5733844615819 +39.5107946143890|   3.240 20.581    |9.80     |~                   |    ~     ~    
82  |TYC 4559-2134-1                                                       |High Proper Motion Star        |14 17 08.7240925224 +77 20 20.344223652|117.0356056745268 +38.7911521920431| 19.246 -48.903    |10.33    |~                   |    ~     ~    
83  |TYC 4562-5-1                                                          |Star                           |14 20 13.6100917776 +78 34 01.130385612|117.5075092609415 +37.6095234347247|    1.063 0.422    |10.54    |~                   |    ~     ~    
84  |TYC 4562-389-1                                                        |Star                           |14 25 33.4798819704 +78 53 56.378334696|117.3943059510402 +37.1972876949079|  4.521 -17.826    |10.89    |~                   |    ~     ~    
85  |TYC 4562-407-1                                                        |Star                           |14 26 55.9633154160 +78 54 17.957440188|117.3234942539874 +37.1622270541336|  -6.035 -1.774    |10.91    |~                   |    ~     ~    
86  |TYC 4562-542-1                                                        |Star                           |14 29 12.0410112888 +79 24 59.016258720|117.4961156137148 +36.6583940745013|   5.213 12.436    |10.51    |~                   |    ~     ~    
87  |TYC 4562-635-1                                                        |High Proper Motion Star        |14 15 37.6240606896 +78 55 11.957251512|117.9490338415282 +37.3808908012252| -70.107 17.832    |10.61    |~                   |    ~     ~    
88  |TYC 4562-829-1                                                        |Star                           |14 23 50.8822768776 +79 23 13.908538284|117.7543987849817 +36.7946580445895|  -3.653 -1.870    |10.67    |~                   |    ~     ~    
89  |TYC 4562-1306-1                                                       |Star                           |14 17 19.7707363752 +77 50 48.544721916|117.2943997064293 +38.3252772672618|  29.351 37.925    |10.86    |~                   |    ~     ~    
