C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:50:29

Vmag< 11&dec >=0&rah >=14.25&rah< 14.5
--------------------------------------

Number of objects : 2331

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------
363 |TYC 4175-352-1                                                        |Star                           |14 15 51.8519226480 +62 45 47.791100808|107.4898617211580 +51.7594156331339|  -13.283 9.047    |10.88    |~                   |    ~     ~    
364 |TYC 4175-527-1                                                        |Star                           |14 15 00.0127481232 +63 15 46.311814332|108.0376544905072 +51.3809060928172|  -30.766 7.376    |10.88    |~                   |    ~     ~    
365 |TYC 4175-763-1                                                        |Star                           |14 18 08.6388130464 +62 37 47.675081856|107.0173519617911 +51.7359035342034|  4.878 -10.323    |10.79    |~                   |    ~     ~    
366 |TYC 4175-823-1                                                        |Star                           |14 15 06.1449099120 +62 58 40.166578236|107.7881201950251 +51.6201802304463| -1.091 -15.292    |10.69    |~                   |    ~     ~    
367 |TYC 4175-867-1                                                        |Star                           |14 17 46.3775596680 +62 41 46.543464384|107.1323917925973 +51.7021740863628|   5.903 -9.192    |10.81    |~                   |    ~     ~    
368 |TYC 4175-934-1                                                        |Star                           |14 15 24.5180736168 +63 05 04.730440488|107.8281344906420 +51.5106455351111| 15.649 -23.159    |10.84    |~                   |    ~     ~    
369 |TYC 4175-1019-1                                                       |Star                           |14 18 38.3187331776 +63 04 23.330498340|107.3179862197996 +51.3301075720565|   5.329 -5.975    |9.99     |~                   |    ~     ~    
370 |TYC 4175-1023-1                                                       |High Proper Motion Star        |14 17 49.7776178736 +62 41 14.132374224|107.1158109134569 +51.7063826850988| -48.193 14.130    |10.11    |~                   |    ~     ~    
371 |BD+58 1498                                                            |Star                           |14 23 26.4146074776 +58 16 38.620044048|101.9713134416677 +54.9470037018527|  16.389 -2.045    |10.08    |K0                  |    ~     ~    
372 |BD+58 1492                                                            |Star                           |14 17 24.2691539616 +57 34 04.423888524|102.3644396087008 +55.9938064430561|   0.230 -5.736    |10.62    |F8                  |    ~     ~    
373 |HD 238352                                                             |High Proper Motion Star        |14 26 47.9424231408 +58 37 05.985803568|101.7309339011265 +54.4085054120181|-54.043 -60.313    |9.71     |G5                  |    ~     ~    
374 |HD 238355                                                             |High Proper Motion Star        |14 28 50.7179718096 +58 21 53.117927640|101.0998188069614 +54.4395551527574|-38.632 -58.365    |9.37     |G0                  |    ~     ~    
375 |BD+59 1585                                                            |Star                           |14 29 08.0558599680 +58 53 21.969500208|101.6139462492227 +54.0078546453297| -30.066 -6.039    |10.33    |K0                  |    ~     ~    
376 |HD 126659                                                             |Star                           |14 24 56.0727407160 +57 52 01.078005036|101.2602400567311 +55.1508285987711|   -0.293 2.942    |9.20     |A0                  |    ~     ~    
377 |HD 127147                                                             |Double or Multiple Star        |14 27 42.6768828144 +58 20 04.239244644|101.2663460107491 +54.5565734108080|  -0.405 16.329    |7.79     |A2                  |0.0117  0.0    
378 |HD 238340                                                             |Star                           |14 19 23.0145680472 +57 22 45.237228024|101.7813849548177 +55.9894289571692|    6.675 8.997    |9.74     |G5                  |    ~     ~    
379 |HD 125750                                                             |High Proper Motion Star        |14 19 29.4094930416 +57 24 23.104026792|101.7897221760650 +55.9590407609383| -22.492 52.204    |9.14     |G5                  |    ~     ~    
380 |HD 126186                                                             |High Proper Motion Star        |14 22 01.4194888896 +57 36 52.588629864|101.5288667482012 +55.5881497431815| -56.762 18.407    |8.46     |G8IV                |    ~     ~    
381 |HD 238347                                                             |Star                           |14 22 32.6354636904 +57 40 32.395856304|101.4966673450786 +55.4973686801825|   4.062 -9.944    |9.57     |K7                  |    ~     ~    
382 |HD 238351                                                             |Star                           |14 25 11.1404340552 +57 37 59.585477592|100.9600172644576 +55.3134637115876| -15.847 -2.077    |9.64     |G0                  |    ~     ~    
383 |HD 238354                                                             |Star                           |14 28 38.0550625752 +57 45 10.561694040|100.4659133559484 +54.9302997856091|  4.080 -24.135    |10.44    |F8                  |    ~     ~    
384 |HD 125918                                                             |Star                           |14 20 36.9621210720 +56 55 04.111331664|101.0437406827151 +56.2573694736664|-33.444 -26.187    |8.80     |G9II                |    ~     ~    
385 |HD 125960                                                             |High Proper Motion Star        |14 20 42.8389052184 +57 10 52.285654524|101.3114687988178 +56.0398696119319|-17.624 -59.682    |8.26     |G5                  |    ~     ~    
386 |HD 126229                                                             |Star                           |14 22 22.9802936304 +56 53 15.508202244|100.6678261624039 +56.1334536235063|  -12.429 8.962    |8.74     |G5                  |    ~     ~    
387 |HD 238350                                                             |Star                           |14 24 41.0727091488 +56 50 25.140195924|100.1745766126616 +55.9743991193627| 32.353 -24.448    |8.78     |K1III               |    ~     ~    
388 |HD 127148                                                             |Star                           |14 27 44.3393803344 +56 56 12.941121768|099.7114046813242 +55.6344372343219|   6.751 37.699    |8.68     |G5                  |    ~     ~    
389 |HD 127183                                                             |Star                           |14 28 00.3842863152 +57 06 50.942948364|099.8635025204778 +55.4752804821065|   3.482 -4.631    |8.92     |G5                  |    ~     ~    
390 |HD 127412                                                             |High Proper Motion Star        |14 29 12.5519003040 +57 10 01.457078376|099.7039789715490 +55.3296273217969| -42.019 28.266    |8.63     |F2                  |    ~     ~    
391 |TYC 3862-353-1                                                        |Star                           |14 19 21.9379710696 +57 10 54.180200964|101.5736645817231 +56.1493499670289|    2.421 1.501    |10.12    |~                   |    ~     ~    
392 |TYC 3862-1207-1                                                       |Star                           |14 27 52.7268298896 +57 08 08.224452132|099.9112425763641 +55.4699337576655|    7.553 6.952    |10.94    |~                   |    ~     ~    
393 |TYC 3862-1215-1                                                       |Star                           |14 28 47.6934777240 +57 28 21.075035844|100.1241707385944 +55.1321219964293| -3.397 -28.286    |9.64     |~                   |    ~     ~    
394 |TYC 3862-1301-1                                                       |Star                           |14 24 36.2210335752 +57 29 58.759236816|100.9215361483256 +55.4665992872193|  -32.736 6.885    |10.95    |~                   |    ~     ~    
395 |TYC 3862-1469-1                                                       |High Proper Motion Star        |14 27 28.2541687848 +57 09 29.495997720|100.0117295020776 +55.4880083068680| -60.019 68.603    |10.94    |~                   |    ~     ~    
396 |TYC 3865-42-1                                                         |Star                           |14 19 06.7605123120 +57 31 52.868192844|101.9950621748023 +55.8887031295555| -17.525 -8.894    |10.28    |~                   |    ~     ~    
397 |TYC 3865-48-1                                                         |Star                           |14 24 07.4584833768 +58 41 16.329103548|102.2781160413516 +54.5660327917198|  -41.025 8.846    |10.96    |~                   |    ~     ~    
398 |TYC 3865-156-1                                                        |Star                           |14 20 30.5461762680 +57 34 38.446904388|101.7760996100512 +55.7401810020398|  7.653 -13.606    |10.23    |~                   |    ~     ~    
399 |BD+60 1527                                                            |High Proper Motion Star        |14 15 37.2360833232 +60 14 05.756957808|105.3111056224238 +53.9187385358459|-102.806 -4.623    |9.49     |F8                  |    ~     ~    
400 |BD+60 1531                                                            |Spectroscopic Binary           |14 18 27.6475389624 +60 05 04.369982820|104.6703045340218 +53.8495750216297|  6.291 -19.004    |9.52     |K0                  |    ~     ~    
401 |TYC 4172-1199-1                                                       |Star                           |14 18 26.0362159920 +60 06 11.667387528|104.6927209000776 +53.8359463599865| -14.998 23.252    |10.35    |G0                  |    ~     ~    
402 |HD 126324                                                             |Star                           |14 22 37.8660482904 +59 46 46.537134420|103.6488412118725 +53.8011915287071|  -17.893 3.929    |7.66     |K0                  |    ~     ~    
403 |BD+60 1538                                                            |Star                           |14 26 05.7571276200 +59 26 39.289731216|102.7145921223113 +53.8103335490098|  -19.270 6.124    |10.16    |F5                  |    ~     ~    
404 |HD 125139                                                             |Star                           |14 15 36.1389449352 +58 45 05.302425564|103.9054848945083 +55.1580324474462| -21.144 28.302    |9.56     |F8Vw                |    ~     ~    
405 |HD 125259                                                             |Star                           |14 16 17.4466154280 +58 23 21.890484780|103.4172023721907 +55.4066422683731| -16.271 -2.883    |8.52     |F5                  |    ~     ~    
406 |BD+60 1532                                                            |Double or Multiple Star        |14 18 46.544832 +59 34 19.64712        |104.123279190 +54.250838286        |    -116.5 35.3    |9.91     |G0                  |    ~     ~    
407 |BD+60 1537                                                            |Star                           |14 26 04.0560751824 +59 20 52.465837056|102.6205770646844 +53.8891917245467| -28.257 12.010    |9.92     |F5                  |    ~     ~    
408 |HD 238336                                                             |Star                           |14 17 00.7756940232 +59 00 50.906684196|103.8997139957049 +54.8383497132531| -26.062 -7.831    |10.04    |F8                  |    ~     ~    
409 |HD 125449                                                             |Star                           |14 17 23.5704137088 +59 04 17.777859096|103.8860119781713 +54.7633384021339|  -4.704 -5.528    |9.52     |F8                  |    ~     ~    
410 |HD 238339                                                             |High Proper Motion Star        |14 17 47.5709857728 +59 03 37.402730820|103.8015840271344 +54.7434776835272| -77.761 33.574    |9.40     |G0                  |    ~     ~    
411 |HD 125657                                                             |Star                           |14 18 46.2418124304 +58 59 50.752520304|103.5604171747550 +54.7234643065956| -27.198 13.847    |8.62     |F5                  |    ~     ~    
412 |HD 125706                                                             |High Proper Motion Star        |14 19 09.1833529824 +59 18 07.713832536|103.7920117437489 +54.4455436626050| -47.855 58.771    |8.70     |G5                  |    ~     ~    
413 |HD 238344                                                             |Star                           |14 20 53.3560065864 +58 27 43.982269560|102.6309220968571 +54.9988479467342| -32.122 -0.318    |9.77     |K2                  |    ~     ~    
414 |HD 238348                                                             |Star                           |14 22 39.0348785952 +59 05 01.156482456|102.9478951612228 +54.3626779200107|  -14.770 9.592    |9.84     |F5                  |    ~     ~    
415 |TYC 3865-77-1                                                         |Star                           |14 20 40.3115301696 +58 36 32.108810868|102.8212744906053 +54.8969915906635|  -11.747 5.954    |10.95    |~                   |    ~     ~    
416 |TYC 3865-100-1                                                        |Star                           |14 21 06.2020024752 +58 36 09.830063268|102.7359697747001 +54.8689160396468|-26.131 -10.186    |10.72    |~                   |    ~     ~    
417 |TYC 3865-104-1                                                        |High Proper Motion Star        |14 21 25.9181765352 +58 35 36.596275980|102.6664885389735 +54.8510825684370|-10.263 -50.710    |10.57    |~                   |    ~     ~    
418 |TYC 3865-123-1                                                        |Star                           |14 15 23.9330905656 +58 11 12.432041304|103.3852764518224 +55.6400265044965|  -11.779 2.194    |10.01    |~                   |    ~     ~    
419 |TYC 3865-134-1                                                        |Star                           |14 21 28.0634803824 +58 33 16.036701876|102.6198052182792 +54.8797947449088|   18.266 4.974    |10.68    |~                   |    ~     ~    
420 |TYC 3865-167-1                                                        |Star                           |14 17 33.6254761896 +58 14 02.156867628|103.0195373331331 +55.4389416798451|  -9.039 -6.792    |10.24    |~                   |    ~     ~    
421 |TYC 3865-219-1                                                        |Star                           |14 15 16.0104225120 +58 21 39.305189304|103.5841951451124 +55.5059521728251|   -2.548 0.987    |9.92     |~                   |    ~     ~    
422 |TYC 3865-379-1                                                        |High Proper Motion Star        |14 16 28.9322192640 +58 23 25.601597088|103.3818693636843 +55.3915534761189| 37.200 -44.470    |10.98    |~                   |    ~     ~    
423 |TYC 3865-591-1                                                        |Star                           |14 19 32.7423065040 +58 52 07.734781776|103.2904732126377 +54.7710333456439|  -2.894 -2.053    |10.78    |~                   |    ~     ~    
424 |TYC 3865-610-1                                                        |Star                           |14 17 07.1689707624 +59 37 55.170446196|104.4777989631120 +54.3190494071723|  -32.558 0.759    |10.04    |~                   |    ~     ~    
425 |TYC 3865-625-1                                                        |Star                           |14 23 49.5293649336 +59 10 53.115008412|102.8398574689941 +54.1944838090950|  -13.686 9.798    |10.63    |~                   |    ~     ~    
426 |TYC 3865-708-1                                                        |Star                           |14 15 41.8999600440 +59 33 37.303756488|104.6668013679173 +54.4782846875163|    3.307 7.021    |10.84    |~                   |    ~     ~    
427 |TYC 3865-800-1                                                        |Star                           |14 19 03.2666411712 +59 25 10.270925256|103.9248058983190 +54.3563259210836|  -13.952 9.171    |10.85    |~                   |    ~     ~    
428 |TYC 3865-895-1                                                        |Star                           |14 27 05.9001255864 +59 25 00.335020836|102.5150054342237 +53.7547262064794| -20.229 17.336    |10.32    |~                   |    ~     ~    
429 |TYC 4172-1282-1                                                       |Star                           |14 16 10.0577365728 +60 10 08.518619388|105.1533539827384 +53.9370091280277| 10.336 -10.206    |10.52    |~                   |    ~     ~    
430 |HD 127205                                                             |Star                           |14 28 11.1140650440 +55 22 16.703101272|097.7847991806477 +56.7777166949287|  -3.682 -4.104    |9.46     |A3                  |    ~     ~    
431 |BD+55 1683                                                            |Star                           |14 23 28.8234245184 +54 36 36.619204536|097.7954176095753 +57.7948660948654|   -4.831 0.229    |10.13    |F8                  |    ~     ~    
432 |BD+54 1667                                                            |Spectroscopic Binary           |14 21 52.4552117112 +54 16 04.142464104|097.7092431859843 +58.2067542923221|-52.500 -74.837    |10.19    |G0                  |    ~     ~    
433 |HD 127206                                                             |High Proper Motion Star        |14 28 14.8797729168 +54 45 01.716688872|097.0088838661411 +57.2326716180766| -48.289 24.001    |8.45     |K0                  |    ~     ~    
434 |HD 127318                                                             |Star                           |14 28 45.5936 +54 30 28.487            |096.6040291 +57.3610428            |     -47.0 15.3    |9.35     |K0                  |    ~     ~    
435 |HD 238353                                                             |Star                           |14 28 50.7630840576 +54 54 36.498617496|097.0901856123953 +57.0567086477763|  14.200 -1.427    |10.24    |A7                  |    ~     ~    
436 |BD+54 1666A                                                           |Star                           |14 21 28.9971275016 +53 53 53.047361076|097.3332837230328 +58.5247464905302| -0.542 -10.304    |8.85     |G0                  |    ~     ~    
437 |HD 126049                                                             |Variable Star                  |14 21 27.3779460552 +53 53 50.888736204|097.3383037497511 +58.5277948948498|   0.048 -9.301    |8.77     |G0                  |    ~     ~    
438 |HD 234139                                                             |Star                           |14 27 01.6264400784 +53 57 59.686617168|096.2638626121270 +57.9302514128982|  -1.606 -8.731    |10.66    |F2                  |    ~     ~    
439 |HD 127028                                                             |Star                           |14 27 15.8585189808 +53 55 29.952580080|096.1623896959953 +57.9370230273703|    3.951 0.590    |8.60     |K0                  |    ~     ~    
440 |V* S Boo                                                              |Mira Variable                  |14 22 52.9255139544 +53 48 37.307075004|096.9254587077905 +58.4554144783747|  7.183 -12.789    |9.30     |M5-6e               |    ~     ~    
441 |HD 126675                                                             |High Proper Motion Star        |14 25 15.8304147120 +53 35 05.821972944|096.1370296101760 +58.3874402793131| 85.653 -74.376    |7.11     |F8                  |    ~     ~    
442 |HD 126751                                                             |Star                           |14 25 37.9512073488 +53 43 02.540397792|096.2307643623592 +58.2529167189231| -36.091 21.370    |8.40     |K0                  |    ~     ~    
443 |HD 127351                                                             |High Proper Motion Star        |14 29 00.4603180444 +53 40 50.541123746|095.4939133748388 +57.9379001670195| -64.710 14.894    |8.61     |F8                  |    ~     ~    
444 |TYC 3859-58-1                                                         |High Proper Motion Star        |14 22 09.5881000656 +53 52 59.796652224|097.1705282244834 +58.4707025576847|  -65.450 0.177    |10.81    |~                   |    ~     ~    
445 |TYC 3859-354-1                                                        |High Proper Motion Star        |14 21 34.5058309992 +54 19 08.645233224|097.8353686508554 +58.1960307706874| 15.324 -63.092    |10.90    |~                   |    ~     ~    
446 |TYC 3859-359-1                                                        |Star                           |14 20 58.9207673400 +53 47 36.938037012|097.3101208427797 +58.6521642500216|  -18.809 2.134    |10.17    |~                   |    ~     ~    
447 |TYC 3859-798-1                                                        |Star                           |14 28 15.9717132264 +53 42 59.769192708|095.6902956570253 +57.9877000870612|  12.641 -9.948    |10.95    |~                   |    ~     ~    
448 |TYC 3859-816-1                                                        |Star                           |14 24 08.0348522760 +54 06 05.048945928|097.0293980805883 +58.1153739449158|-16.726 -11.225    |10.92    |~                   |    ~     ~    
449 |TYC 3859-870-1                                                        |Star                           |14 27 47.0194874760 +54 06 27.412204536|096.2909735441416 +57.7513105809623| -20.142 14.479    |10.91    |~                   |    ~     ~    
450 |TYC 3859-1020-1                                                       |Star                           |14 23 39.3985836360 +53 42 49.190428440|096.6391349293692 +58.4518098235734|  -9.102 -1.387    |10.44    |~                   |    ~     ~    
451 |TYC 3859-1054-1                                                       |Star                           |14 23 39.8608275168 +54 05 44.708746020|097.1200662660790 +58.1651747148779|  18.556 12.305    |10.98    |~                   |    ~     ~    
452 |TYC 3859-1238-1                                                       |Star                           |14 25 20.4869745024 +54 53 03.841929888|097.7524232068227 +57.4117408329999|  -34.037 0.034    |10.03    |~                   |    ~     ~    
453 |TYC 3859-1295-1                                                       |Star                           |14 24 18.9657321696 +53 27 59.092613604|096.1830599514748 +58.5699510702861| -27.785 10.970    |10.02    |~                   |    ~     ~    
454 |TYC 3859-1300-1                                                       |High Proper Motion Star        |14 29 47.6088506592 +53 32 57.181832808|095.1638469325662 +57.9514119261405| 26.524 -44.789    |10.42    |~                   |    ~     ~    
455 |TYC 3859-1350-1                                                       |High Proper Motion Star        |14 23 05.8837476840 +53 33 50.504142420|096.5666164358899 +58.6185800006457| -97.708 49.897    |10.52    |~                   |    ~     ~    
456 |TYC 3859-1513-1                                                       |Star                           |14 29 04.7995725096 +53 49 00.524958564|095.6564590357731 +57.8322014183346|   8.935 -3.490    |10.50    |~                   |    ~     ~    
457 |TYC 3859-1543-1                                                       |Star                           |14 23 18.0195803640 +53 34 02.708820696|096.5279420681417 +58.5960517579900|   2.027 -4.161    |10.35    |~                   |    ~     ~    
458 |HD 125140                                                             |Star                           |14 15 44.7065838408 +56 40 20.310340584|101.7489989135116 +56.8522649085874| -3.306 -11.760    |9.23     |G5                  |    ~     ~    
459 |AG+56 970                                                             |Star                           |14 15 43.7964940992 +56 40 26.664894948|101.7539776759289 +56.8520530221133| -16.749 28.222    |9.98     |F8                  |    ~     ~    
460 |HD 125193                                                             |High Proper Motion Star        |14 15 59.9091154080 +56 41 20.807767104|101.7154527279200 +56.8182601207937| -1.189 -90.965    |6.680    |F8                  |    ~     ~    
461 |HD 125229                                                             |Star                           |14 16 08.47209 +56 42 45.6877          |101.71174640 +56.78767436          |    -37.92 4.27    |7.13     |F0                  |    ~     ~    
462 |BD+57 1500                                                            |Star                           |14 17 30.6404597016 +56 24 19.467150336|101.1007499563848 +56.9234022032535|  -11.414 1.422    |9.79     |F5                  |    ~     ~    
463 |HD 238342                                                             |Star                           |14 20 14.4919713936 +56 40 12.761098356|100.8451931469111 +56.4850597882611|  12.877 12.585    |9.43     |G0                  |    ~     ~    
464 |HD 238345                                                             |Star                           |14 22 09.6924008376 +56 03 22.412282148|099.7749403657968 +56.8034832871242|   2.445 -4.997    |9.78     |G5                  |    ~     ~    
465 |HD 238346                                                             |Star                           |14 22 36.1759951512 +55 49 55.628847192|099.4289910269903 +56.9387429719929| -24.255 11.096    |10.28    |K0                  |    ~     ~    
466 |HD 238349                                                             |Star                           |14 24 17.7247848168 +56 08 46.223063376|099.4584722635180 +56.5458295563689| -36.418 -6.009    |9.46     |F7IV-Vw             |    ~     ~    
467 |HD 126968                                                             |Double or Multiple Star        |14 26 51.5599396008 +56 02 10.734222840|098.8348980636883 +56.3998485868622| -20.286 18.835    |7.53     |A0                  |0.0050  0.0    
468 |BD+56 1741                                                            |Star                           |14 28 46.4191154016 +55 47 37.805484984|098.1815903515779 +56.4066168373654| -5.901 -22.579    |10.19    |F8                  |    ~     ~    
469 |HD 125260                                                             |Star                           |14 16 30.5247921000 +55 17 54.079847844|100.0702495370344 +57.8915296464573| 29.106 -33.994    |6.879    |K1III               |    ~     ~    
470 |HD 125348                                                             |Star                           |14 17 05.7668452320 +55 45 10.070092116|100.4616335191719 +57.4796385388150|   1.271 -6.263    |8.77     |K0                  |    ~     ~    
471 |HD 125469                                                             |Star                           |14 17 47.9018765760 +55 25 31.299090888|099.9431534984640 +57.6791127495068|  15.324 -6.256    |6.87     |A2                  |    ~     ~    
472 |HD 126470                                                             |Star                           |14 23 49.1502768408 +55 34 46.260822684|098.8913981366022 +57.0244482333793| -41.871 23.664    |8.520    |F2                  |    ~     ~    
473 |HD 238334                                                             |High Proper Motion Star        |14 16 43.8759382128 +54 24 50.536992240|098.9909425592703 +58.5698869890034| -54.571 61.087    |9.80     |F8                  |    ~     ~    
474 |HD 238335                                                             |Star                           |14 16 56.3984984136 +54 29 34.107386316|099.0390245917774 +58.4892972485672| -31.451 17.106    |9.56     |G0                  |    ~     ~    
475 |HD 238337                                                             |Star                           |14 17 32.1859603944 +55 11 48.470235144|099.7354211815392 +57.8824935070475|  6.388 -28.198    |10.06    |G5                  |    ~     ~    
476 |HD 238338                                                             |High Proper Motion Star        |14 17 55.6326302376 +55 12 10.826060004|099.6599685618938 +57.8432978704240|-89.782 -15.827    |9.71     |G5                  |    ~     ~    
477 |HD 125632                                                             |Double or Multiple Star        |14 18 55.9164174192 +54 51 49.614864948|099.0506281984822 +58.0197427907140| -19.952 -5.141    |6.480    |A5Vn                |    ~     ~    
478 |HD 238341                                                             |Spectroscopic Binary           |14 20 18.3953686344 +54 30 18.732523248|098.3304757035341 +58.1720270562710| 12.782 -79.124    |9.28     |G5                  |    ~     ~    
479 |HD 238343                                                             |High Proper Motion Star        |14 20 32.3581856208 +54 40 36.576978852|098.4883618293684 +58.0183130886741| -67.409 41.197    |9.07     |G0                  |    ~     ~    
480 |BD+55 1682                                                            |Star                           |14 22 26.2507182168 +55 12 59.849886816|098.7404327913800 +57.4287833323515|  2.511 -11.351    |10.22    |K2                  |    ~     ~    
481 |HD 125577                                                             |Star                           |14 18 37.6434079992 +53 56 26.429110692|098.0036137920715 +58.7633862850513| -26.820 -3.549    |7.83     |K5                  |    ~     ~    
482 |TYC 3862-1184-1                                                       |Star                           |14 25 38.6620793016 +55 58 20.651316816|098.9941826326101 +56.5585610323367|    8.321 3.185    |10.76    |~                   |    ~     ~    
483 |BD+54 1662                                                            |Star                           |14 19 53.7547792848 +54 19 20.056348524|098.1958871313938 +58.3510060184841| -13.272 -2.427    |10.42    |~                   |    ~     ~    
484 |TYC 3859-178-1                                                        |High Proper Motion Star        |14 18 48.0685673976 +54 37 55.889686020|098.8034176990367 +58.2119404960236| 28.840 -44.881    |10.59    |~                   |    ~     ~    
485 |TYC 3859-208-1                                                        |Star                           |14 17 24.6866330760 +54 23 18.331839096|098.8119265618954 +58.5283014238642| -39.207 -3.868    |10.62    |~                   |    ~     ~    
486 |TYC 3859-290-1                                                        |Star                           |14 19 14.0690771328 +54 15 07.293555000|098.2524599930876 +58.4666263738632| -22.174 -3.110    |10.92    |~                   |    ~     ~    
487 |TYC 3859-443-1                                                        |Star                           |14 16 26.3365084440 +54 44 49.348263408|099.4476551402100 +58.3341220964582|    2.427 3.495    |10.88    |~                   |    ~     ~    
488 |TYC 3859-507-1                                                        |Star                           |14 17 09.4871284824 +54 22 57.245343060|098.8601471618773 +58.5558901690694|  -32.124 8.766    |10.68    |~                   |    ~     ~    
489 |TYC 3859-540-1                                                        |High Proper Motion Star        |14 15 02.9621144904 +54 13 24.823499052|099.1360022195056 +58.8711453104310| 34.686 -48.122    |10.49    |~                   |    ~     ~    
490 |TYC 3859-609-1                                                        |Spectroscopic Binary           |14 18 49.3736387544 +54 48 13.426687260|099.0027053079824 +58.0763962903696|   -1.601 6.627    |10.7     |~                   |    ~     ~    
491 |TYC 3859-637-1                                                        |Star                           |14 15 45.4724450088 +54 49 07.755767436|099.6792664850392 +58.3374677389534| -34.140 -6.768    |10.58    |~                   |    ~     ~    
492 |TYC 3859-1175-1                                                       |Star                           |14 24 14.4142977480 +54 54 42.653347488|098.0081178375586 +57.4947582293556|   -5.345 0.659    |10.71    |~                   |    ~     ~    
493 |TYC 3862-59-1                                                         |Star                           |14 16 14.7330320424 +56 11 01.195821276|101.1167535427153 +57.2060643134461| -8.573 -12.330    |10.95    |~                   |    ~     ~    
494 |TYC 3862-134-1                                                        |Star                           |14 20 03.7607024256 +56 28 59.734095024|100.6737153251849 +56.6482513282519| -15.292 -8.659    |9.93     |~                   |    ~     ~    
495 |TYC 3862-142-1                                                        |Spectroscopic Binary           |14 23 05.3009481864 +56 27 57.729888648|100.0591506344209 +56.4034420268907|  -4.119 26.864    |10.87    |~                   |    ~     ~    
496 |GSC 03862-00148                                                       |Double or Multiple Star        |14 15 47.6226816192 +56 13 51.082112640|101.2618214553739 +57.2052990270276|  11.930 -8.854    |10.805   |~                   |    ~     ~    
497 |TYC 3862-192-1                                                        |Star                           |14 15 53.1198625176 +56 24 54.300910644|101.4432909977378 +57.0490959335753| 16.046 -11.796    |10.78    |~                   |    ~     ~    
498 |TYC 3862-231-1                                                        |Star                           |14 15 57.2784827808 +56 17 01.614205500|101.2863114289374 +57.1494033810677| -23.936 35.754    |10.83    |~                   |    ~     ~    
499 |TYC 3862-344-1                                                        |Star                           |14 17 32.9564286336 +56 40 53.259246408|101.3937564287016 +56.6986615646539|  -45.870 2.797    |10.82    |~                   |    ~     ~    
500 |TYC 3862-378-1                                                        |Star                           |14 20 14.8787093136 +56 10 09.766399476|100.2856235927740 +56.8804943700821|  -13.006 9.944    |10.60    |~                   |    ~     ~    
501 |TYC 3862-388-1                                                        |Star                           |14 15 28.4648800392 +56 07 37.665566292|101.2147287445744 +57.3152291234355|  3.754 -11.252    |10.77    |~                   |    ~     ~    
502 |TYC 3862-447-1                                                        |Star                           |14 22 45.9294297936 +55 06 17.910783432|098.5405736853102 +57.4844701272704|  -6.387 -1.209    |10.59    |~                   |    ~     ~    
503 |TYC 3862-535-1                                                        |Star                           |14 21 47.8505356848 +55 01 24.697683372|098.6416977923437 +57.6357838874525|  -0.794 36.998    |10.67    |~                   |    ~     ~    
504 |TYC 3862-548-1                                                        |Star                           |14 22 54.5961615960 +55 05 27.049560432|098.4942353382192 +57.4820072636503|    3.580 0.240    |10.81    |~                   |    ~     ~    
505 |TYC 3862-559-1                                                        |Star                           |14 17 33.0835050360 +55 00 21.505074120|099.5108602716922 +58.0315690811085|-39.726 -11.522    |9.99     |~                   |    ~     ~    
506 |TYC 3862-588-1                                                        |Star                           |14 23 31.1751026016 +55 32 22.564283244|098.9041419373005 +57.0822357820464| -29.822 27.502    |10.95    |~                   |    ~     ~    
507 |TYC 3862-626-1                                                        |High Proper Motion Star        |14 16 32.9570598720 +56 00 17.679750588|100.8567693819773 +57.3243130190357| -92.025 46.729    |10.51    |~                   |    ~     ~    
508 |TYC 3862-824-1                                                        |High Proper Motion Star        |14 26 22.0267697280 +56 05 49.852358196|099.0007114537414 +56.3981025625867|-26.996 -65.303    |10.51    |~                   |    ~     ~    
509 |TYC 3862-859-1                                                        |Star                           |14 27 40.9860936672 +55 36 20.766895704|098.1649867289760 +56.6492891908675|  -3.157 -4.328    |10.59    |~                   |    ~     ~    
510 |TYC 3862-925-1                                                        |Star                           |14 24 25.6587681696 +55 22 57.599104548|098.5368106270789 +57.1194695252615|  -9.099 18.646    |10.83    |~                   |    ~     ~    
511 |TYC 3862-979-1                                                        |Star                           |14 27 15.1903046496 +55 38 44.424938256|098.2958681036065 +56.6592402046737|-29.607 -14.927    |10.73    |~                   |    ~     ~    
512 |TYC 3862-1040-1                                                       |Star                           |14 26 58.0776691776 +55 44 19.300070832|098.4620004629215 +56.6154113432736|   0.757 -6.101    |10.68    |~                   |    ~     ~    
513 |TYC 3862-1044-1                                                       |Star                           |14 24 47.6124774288 +55 53 15.637968204|099.0607968206328 +56.7001053943669| -3.879 -16.548    |10.14    |~                   |    ~     ~    
514 |TYC 3862-1138-1                                                       |High Proper Motion Star        |14 27 16.5769773168 +55 57 01.772776512|098.6538426892275 +56.4269115281631| -51.116 16.569    |9.96     |~                   |    ~     ~    
515 |HD 126630                                                             |Spectroscopic Binary           |14 25 03.9219092544 +50 56 32.887615272|092.5769584748523 +60.3092065354058|   -7.401 8.063    |7.90     |K0                  |    ~     ~    
