C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:16:32

Vmag< 11&dec< 0&rah >=17.25&rah< 17.5
-------------------------------------

Number of objects : 7045

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |      ang. size      
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------------
1823|HD 157829                                                                                                |Star                           |17 26 55.2049273488 -30 05 30.872112792|356.8349254472130 +02.8060525045638|   1.877 -0.391    |8.79     |B3III/IV            |    ~     ~          
1824|HD 315863                                                                                                |Star                           |17 27 19.4448056952 -30 26 00.984298200|356.5990828866852 +02.5436274002680|   2.392 -0.443    |10.55    |B5                  |    ~     ~          
1825|HD 315859                                                                                                |Star                           |17 27 17.5450698720 -30 11 56.686737012|356.7905094486038 +02.6795745268993|   1.591 -1.478    |10.7     |~                   |    ~     ~          
1826|Cl Trumpler 26                                                                                           |Open Cluster                   |17 28 30.2 -29 29 13                   |357.5297 +02.8554                  |  -0.873 -3.082    |9.5      |~                   | 8.6   8.6           
1827|HD 317573                                                                                                |Star                           |17 27 07.9893620256 -30 36 28.906667964|356.4310601274929 +02.4808851028492|  -1.260 -3.103    |10.9     |B8                  |    ~     ~          
1828|HD 315784                                                                                                |Star                           |17 28 16.5113231544 -28 08 33.886358880|358.6242945629261 +03.6398088973971|  -5.416 -3.893    |10.7     |A3                  |    ~     ~          
1829|HD 315787                                                                                                |Star                           |17 28 44.0758257528 -28 23 38.361851412|358.4703066465123 +03.4168000513672|   0.014 -2.315    |10.30    |A0                  |    ~     ~          
1830|HD 315808                                                                                                |Star                           |17 26 38.9399180640 -29 17 57.834614796|357.4617702948513 +03.2956639508800| -0.148 -10.203    |9.99     |A0                  |    ~     ~          
1831|HD 315789                                                                                                |Star                           |17 26 45.3191584128 -28 22 03.994598136|358.2508083775439 +03.7939259709559|    4.228 6.031    |10.05    |F8                  |    ~     ~          
1832|HD 315788                                                                                                |Star                           |17 27 38.1111468745 -28 17 14.781031699|358.4253741390392 +03.6773027901175|    0.713 0.519    |10.34    |A0                  |    ~     ~          
1833|HD 315840                                                                                                |Star                           |17 28 02.3570017656 -29 53 13.747574148|357.1400975549879 +02.7180751752416| -3.946 -37.070    |9.21     |F8/G0               |    ~     ~          
1834|HD 315823                                                                                                |Star                           |17 29 01.2538047888 -29 24 24.246369360|357.6589441238001 +02.8058855181488|  -2.616 -0.608    |9.93     |B8                  |    ~     ~          
1835|HD 315809                                                                                                |High Proper Motion Star        |17 27 01.4125840992 -29 13 57.398127204|357.5628534182243 +03.2648643873571|-60.521 -184.448   |10.32    |G5                  |    ~     ~          
1836|[SC96] GC 72                                                                                             |Star                           |17 27 06.0 -28 47 00                   |357.9465 +03.5003                  |            ~ ~    |7.61     |~                   |    ~     ~          
1837|[SC96] Mis 457                                                                                           |Star                           |17 27 12.0 -28 45 00                   |357.9865 +03.5006                  |            ~ ~    |7.61     |~                   |    ~     ~          
1838|[SC96] Mis 477                                                                                           |Star                           |17 28 54.0 -28 50 00                   |358.1233 +03.1442                  |            ~ ~    |8.31     |~                   |    ~     ~          
1839|HD 315733                                                                                                |Star                           |17 26 22.6161897384 -29 10 33.554348364|357.5314305423438 +03.4136336829490|   3.027 -0.724    |10.42    |K0                  |    ~     ~          
1840|HD 315803                                                                                                |Star                           |17 28 06.0785619528 -28 45 00.483269292|358.0959613049818 +03.3360345325089|  -4.344 -4.499    |10.38    |K5                  |    ~     ~          
1841|HD 315793                                                                                                |Star                           |17 28 18.6075986448 -28 37 01.929088776|358.2322890939832 +03.3713421772321|   1.062 -7.163    |10.33    |K0                  |    ~     ~          
1842|HD 315827                                                                                                |Star                           |17 28 24.3925255752 -29 27 03.450476844|357.5480626010954 +02.8929828489000|  -2.538 -0.402    |9.80     |K0                  |    ~     ~          
1843|CD-29 13580                                                                                              |Star                           |17 28 28.0991537880 -29 31 22.071617832|357.4955650711054 +02.8420661218383|  -1.024 -3.049    |9.94     |~                   |    ~     ~          
1844|HD 315779                                                                                                |Star                           |17 28 47.1186385968 -27 54 16.988381964|358.8854637541940 +03.6772133340128|  -3.505 -7.025    |10.5     |K5                  |    ~     ~          
1845|HD 315785                                                                                                |High Proper Motion Star        |17 28 49.4947092336 -28 03 01.105487208|358.7685625286662 +03.5896843355466| -5.687 -68.404    |10.08    |K0                  |    ~     ~          
1846|CD-29 13595                                                                                              |Star                           |17 29 00.5799542808 -29 44 47.619466944|357.3738670040290 +02.6204110398263| -3.270 -10.244    |10.44    |~                   |    ~     ~          
1847|HD 315819                                                                                                |Star                           |17 29 23.9865433728 -29 28 14.570008500|357.6510386015436 +02.7017918975895|  3.270 -17.602    |10.31    |G5                  |    ~     ~          
1848|HD 315849                                                                                                |High Proper Motion Star        |17 27 46.8862336728 -30 06 46.111525884|356.9210788152929 +02.6395069589344|-19.785 -49.241    |9.50     |K7                  |    ~     ~          
1849|HD 315850                                                                                                |Star                           |17 27 51.0390550272 -30 07 31.737030996|356.9188255748437 +02.6200242989522|   3.722 -6.895    |10.11    |K5                  |    ~     ~          
1850|HD 315866                                                                                                |Star                           |17 28 03.5910 -30 22 02.120            |356.7424364 +02.4484342            |      -1.8 -6.8    |10.08    |A0                  |    ~     ~          
1851|HD 315786                                                                                                |Star                           |17 29 34.4789489616 -28 09 25.108572240|358.7705273121779 +03.3929361734449|  -4.751 -5.788    |9.94     |K0                  |    ~     ~          
1852|HD 158304                                                                                                |Star                           |17 29 42.5460026880 -28 38 06.399961260|358.3868066160956 +03.1053244071672|   2.447 -1.567    |9.04     |B3III               |    ~     ~          
1853|HD 158338                                                                                                |Star                           |17 29 51.6970076568 -28 42 17.144524800|358.3469628295538 +03.0390859484888|   0.854 -0.359    |9.60     |B9II/III            |    ~     ~          
1854|HD 315915                                                                                                |Star                           |17 29 45.1470280392 -29 39 18.176580288|357.5392949934849 +02.5362615122051|   -5.734 4.109    |9.71     |K5                  |    ~     ~          
1855|HD 315917                                                                                                |Star                           |17 29 49.7081233104 -29 46 50.004399252|357.4435026425320 +02.4534012698479|    0.133 0.500    |9.73     |K2                  |    ~     ~          
1856|HD 315918                                                                                                |Star                           |17 29 53.3078805288 -29 46 39.378862524|357.4531399805681 +02.4441557508972|        7.0 1.1    |10.8     |A0                  |    ~     ~          
1857|[SC96] GC 83                                                                                             |Star                           |17 29 36.0 -28 40 00                   |358.3472 +03.1080                  |            ~ ~    |8.49     |~                   |    ~     ~          
1858|[SC96] Mis 487                                                                                           |Star                           |17 29 36.0 -28 39 00                   |358.3612 +03.1171                  |            ~ ~    |8.49     |~                   |    ~     ~          
1859|CD-29 13612                                                                                              |Star                           |17 29 41.7650667408 -29 13 56.652964932|357.8857868392619 +02.7791225304502|  4.110 -22.332    |10.87    |~                   |    ~     ~          
1860|HD 315923                                                                                                |Star                           |17 29 57.5352099528 -29 37 57.555448860|357.5827216391183 +02.5111245307255|  -2.133 -4.055    |10.92    |A3                  |    ~     ~          
1861|HD 315914                                                                                                |Star                           |17 29 44.7333004488 -29 32 35.284832016|357.6319989748265 +02.5991128837109|    1.606 0.128    |10.22    |A0                  |    ~     ~          
1862|HD 315847                                                                                                |Star                           |17 26 58.1314641072 -30 06 21.661311420|356.8290578076074 +02.7894396349332|  -0.264 -8.760    |10.40    |A:                  |    ~     ~          
1863|HD 315913                                                                                                |Emission-line Star             |17 29 56.0393204448 -29 32 06.672722532|357.6612160539115 +02.5692623720280|  -0.483 -0.701    |10.93    |F                   |    ~     ~          
1864|HD 315731                                                                                                |Star                           |17 26 16.3412071560 -28 58 43.687307208|357.6828238816342 +03.5423527511714|  -2.303 -5.844    |10.91    |A0                  |    ~     ~          
1865|HD 315833                                                                                                |Star                           |17 27 47.9005010832 -29 38 01.521067380|357.3223133679160 +02.9019806179370|  -0.846 -0.647    |10.68    |A0                  |    ~     ~          
1866|CPD-29 4729                                                                                              |Star                           |17 29 02.4318514080 -29 34 25.900514544|357.5217528140131 +02.7101174038485|   1.612 -2.524    |10.80    |A0                  |    ~     ~          
1867|HD 315801                                                                                                |Star                           |17 28 16.7522288352 -28 49 42.745836936|358.0520999928828 +03.2602106315272|  0.220 -10.784    |10.84    |A0                  |    ~     ~          
1868|HD 315831                                                                                                |Star                           |17 26 43.7164054248 -29 28 09.082017048|357.3300790232023 +03.1868404654505|-15.626 -34.616    |10.64    |F8                  |    ~     ~          
1869|HD 315837                                                                                                |Star                           |17 29 01.0118011056 -29 56 30.749719452|357.2116965767217 +02.5113081222384|    3.639 2.396    |10.92    |A0                  |    ~     ~          
1870|HD 315841                                                                                                |Star                           |17 27 29.2826764104 -29 47 12.559271064|357.1573627239667 +02.8731851029170|   2.175 -1.211    |10.84    |A                   |    ~     ~          
1871|HD 315806                                                                                                |Star                           |17 26 43.4714031360 -29 06 12.378649068|357.6341158333319 +03.3909005101320|  -0.260 -2.985    |10.85    |A0                  |    ~     ~          
1872|HD 315839                                                                                                |Star                           |17 28 23.6686502184 -29 47 54.997256868|357.2566011629376 +02.7029264499267|   1.698 -0.133    |10.48    |A0                  |    ~     ~          
1873|HD 315950                                                                                                |Star                           |17 29 47.8607091840 -30 19 58.405717380|356.9783632910061 +02.1548841214203|   13.030 2.632    |10.04    |F0                  |    ~     ~          
1874|HD 315857                                                                                                |Star                           |17 28 15.8157995688 -30 14 31.034500548|356.8712419486449 +02.4812094454744| -6.999 -10.738    |10.44    |K5                  |    ~     ~          
1875|TYC 7375-68-1                                                                                            |Star                           |17 29 50.1690142104 -30 36 35.265309228|356.7516498179783 +01.9954671531860| -3.314 -14.326    |10.88    |~                   |    ~     ~          
1876|HD 315852                                                                                                |Star                           |17 28 40.0449577104 -30 11 02.816000592|356.9677737833966 +02.4405266351426|   2.062 -2.172    |10.20    |A2                  |    ~     ~          
1877|HD 315864                                                                                                |Star                           |17 27 38.4461867448 -30 24 00.136510740|356.6649712645107 +02.5054756179797|    2.584 0.511    |10.62    |B8                  |    ~     ~          
1878|HD 315862                                                                                                |Star                           |17 27 00.3069980136 -30 23 08.142604116|356.6007783275099 +02.6274824463081| 23.200 -14.193    |10.97    |G5                  |    ~     ~          
1879|HD 317569                                                                                                |Star                           |17 29 09.6402133320 -30 36 16.764428088|356.6757475784966 +02.1195525098827|   0.745 -1.429    |10.40    |B9                  |    ~     ~          
1880|HD 317653                                                                                                |Star                           |17 29 25.1874226536 -30 36 36.409204296|356.7019789937678 +02.0700430072919| -8.810 -24.251    |10.62    |F8                  |    ~     ~          
1881|HD 315748                                                                                                |Star                           |17 26 20.0619497352 -29 31 51.848688540|357.2307772167783 +03.2236871463335|  -1.881 -3.857    |10.79    |A0                  |    ~     ~          
1882|HD 315797                                                                                                |Star                           |17 29 26.8952351544 -28 50 42.790028460|358.1796040805572 +03.0374626862954|  -0.154 -2.633    |10.38    |G5                  |    ~     ~          
1883|HD 315807                                                                                                |Star                           |17 26 34.8773100480 -29 12 50.569826004|357.5246012877135 +03.3554008841813|    2.669 0.490    |10.88    |B8                  |    ~     ~          
1884|HD 315812                                                                                                |Star                           |17 28 17.0878005000 -29 09 33.722127288|357.7766708769975 +03.0763127631284|   19.989 2.482    |10.10    |F8                  |    ~     ~          
1885|HD 315834                                                                                                |Star                           |17 28 58.0398523680 -29 40 58.316320092|357.4219604611584 +02.6632306679260|   2.676 -1.136    |10.90    |F0                  |    ~     ~          
1886|HD 315838                                                                                                |Star                           |17 28 34.6623227880 -29 55 32.978260596|357.1724774754842 +02.5994828854409|   4.256 -1.434    |10.59    |A0                  |    ~     ~          
1887|HD 315842                                                                                                |Star                           |17 27 04.7575917672 -29 50 02.588652384|357.0687404572844 +02.9207087119769|  -0.042 -3.469    |10.77    |G5                  |    ~     ~          
1888|HD 315846                                                                                                |Star                           |17 26 44.9932670736 -30 07 58.862189100|356.7802247470512 +02.8137743258057|  -1.788 -6.179    |10.20    |A0                  |    ~     ~          
1889|HD 315853                                                                                                |Star                           |17 28 55.9382276760 -30 04 00.136763904|357.0974015184077 +02.4576537396239|   -7.021 3.636    |10.57    |F0                  |    ~     ~          
1890|HD 315855                                                                                                |Star                           |17 29 29.1625131984 -30 08 02.896449072|357.1072434603132 +02.3205606616513|    1.098 2.914    |10.97    |K                   |    ~     ~          
1891|HD 315865                                                                                                |Star                           |17 27 46.2343017456 -30 27 23.145957072|356.6335447216716 +02.4509123374605|   5.376 -0.146    |10.90    |K5                  |    ~     ~          
1892|HD 315946                                                                                                |Star                           |17 29 39.3740512128 -30 06 04.563543420|357.1549921463601 +02.3079605250655| -1.425 -16.481    |10.73    |K5                  |    ~     ~          
1893|HD 317567                                                                                                |Star                           |17 28 21.6676424640 -30 31 24.129060744|356.6483242724180 +02.3079137013959|    0.980 1.667    |10.83    |K                   |    ~     ~          
1894|HD 317651                                                                                                |Star                           |17 29 22.4197673376 -30 31 18.833086596|356.7701312467629 +02.1269823001344|   0.536 -1.861    |10.73    |A0                  |    ~     ~          
1895|HD 317654                                                                                                |Star                           |17 29 58.3474453920 -30 35 50.367079068|356.7782262973706 +01.9778504741926|  -0.457 -0.340    |10.16    |B5                  |    ~     ~          
1896|CD-24 13232                                                                                              |Star                           |17 15 28.0202031168 -24 59 33.582741576|359.6248799709579 +07.7786818523741|-22.709 -20.058    |9.96     |F8                  |    ~     ~          
1897|HD 155958                                                                                                |Star                           |17 15 43.3127067336 -24 59 16.889792064|359.6620152498624 +07.7339265219286|  -1.715 -2.848    |9.34     |A0IV/V              |    ~     ~          
1898|HD 156038                                                                                                |Star                           |17 16 23.6193350784 -24 58 52.587491196|359.7552238183457 +07.6127404629103|  -2.982 -8.419    |9.10     |A2IV                |    ~     ~          
1899|HD 156251                                                                                                |Star                           |17 17 34.3458045384 -25 06 18.655422696|359.8056207091712 +07.3226727281471| -4.352 -21.275    |9.16     |F0V                 |    ~     ~          
1900|CD-25 12044                                                                                              |Star                           |17 15 23.7228792024 -25 25 23.588789844|359.2591383401692 +07.5457584801439| -6.925 -41.482    |10.08    |F8                  |    ~     ~          
1901|HD 156061                                                                                                |Star                           |17 16 27.6874090656 -25 18 19.607287140|359.4953802171464 +07.4153600633113|  19.581 -9.586    |7.16     |K1III               |    ~     ~          
1902|HD 155983                                                                                                |Star                           |17 16 00.0356342760 -26 08 10.975307820|358.7481262800990 +07.0259201896486|  -0.074 -6.788    |9.00     |B8V                 |    ~     ~          
1903|HD 155849                                                                                                |Star                           |17 15 13.2367381008 -26 31 50.019203136|358.3217964236953 +06.9431649670435|   4.925 25.862    |7.66     |G8III/IV            |    ~     ~          
1904|* 36 Oph A                                                                                               |High Proper Motion Star        |17 15 20.7836485323 -26 36 06.117207947|358.2793920287048 +06.8792931817542|-498.600 -1149.158 |5.08     |K2V                 |    ~     ~          
1905|CD-26 12035                                                                                              |Star                           |17 16 10.1622610728 -26 15 42.203016864|358.6663874060026 +06.9231535368617|   5.467 -5.390    |9.72     |~                   |    ~     ~          
1906|V* V2215 Oph                                                                                             |RS CVn Variable                |17 16 13.3624141798 -26 32 46.136563394|358.4383512894576 +06.7505926577371|-479.573 -1124.332 |6.34     |K5V                 |    ~     ~          
1907|CD-26 12043                                                                                              |Star                           |17 17 04.8623125848 -26 27 48.548896668|358.6171599959008 +06.6402720990606| -7.162 -26.854    |9.79     |F8/G0               |    ~     ~          
1908|HD 156170                                                                                                |Star                           |17 17 10.5916516896 -26 26 24.021054852|358.6488505338891 +06.6361192420923|  -3.260 -3.813    |9.82     |B9.5V               |    ~     ~          
1909|HD 156062                                                                                                |High Proper Motion Star        |17 16 29.8200201096 -27 33 55.956664116|357.6326990316889 +06.1165775358346|-72.214 -123.040   |8.21     |G1V                 |    ~     ~          
1910|* 36 Oph B                                                                                               |High Proper Motion Star        |17 15 20.9838262152 -26 36 10.173444860|358.2788940177672 +06.8780357040256|-465.861 -1141.168 |5.03     |K1V                 |    ~     ~          
1911|CD-26 12027                                                                                              |Star                           |17 15 27.0588745920 -26 13 31.911720312|358.6033265940340 +07.0759298059179|  -2.172 -0.149    |9.81     |F8                  |    ~     ~          
1912|CD-26 12032                                                                                              |Star                           |17 15 47.9120300904 -26 46 37.003654380|358.1932104149257 +06.6960255515848| -3.334 -23.480    |10.39    |~                   |    ~     ~          
1913|CD-27 11541                                                                                              |Star                           |17 16 06.8765450496 -27 18 15.184483632|357.7991148220168 +06.3359437479852|  -4.094 -6.448    |10.28    |A5                  |    ~     ~          
1914|CD-26 12039                                                                                              |Star                           |17 16 43.5609619368 -26 52 42.563926596|358.2287093967520 +06.4682516596934|-15.989 -30.547    |10.96    |~                   |    ~     ~          
1915|CD-25 12063                                                                                              |Star                           |17 16 55.3398114168 -25 58 20.673087420|359.0028652687287 +06.9496871239032| -0.655 -15.468    |9.89     |A0                  |    ~     ~          
1916|CD-27 11557                                                                                              |Star                           |17 17 41.9709879240 -27 14 25.300071924|358.0544812637484 +06.0836329737045|    4.775 5.092    |10.13    |~                   |    ~     ~          
1917|CD-26 12050                                                                                              |Star                           |17 17 42.6918263544 -26 25 31.108974420|358.7297344812147 +06.5460946634590|   5.862 14.636    |9.85     |~                   |    ~     ~          
1918|CD-24 13291                                                                                              |Rotating Variable              |17 21 53.3439457008 -25 03 26.996322780|000.4006863199847 +06.5425163120342| -4.129 -21.734    |9.631    |F8                  |    ~     ~          
1919|HD 157234                                                                                                |Spectroscopic Binary           |17 23 09.7022979240 -25 05 51.111115512|000.5294473073119 +06.2812290862846|  -1.470 -0.469    |7.27     |A2/3IV              |    ~     ~          
1920|HD 156492                                                                                                |Star                           |17 18 50.4718408584 -25 10 37.103786868|359.9100619886191 +07.0454231000909|  -0.599 -7.107    |9.63     |F2V                 |    ~     ~          
1921|CD-25 12079                                                                                              |Star                           |17 19 02.8576152168 -25 43 18.338251728|359.4842480898450 +06.6986613174558|   6.102 -7.965    |9.60     |~                   |    ~     ~          
1922|HD 156638                                                                                                |Star                           |17 19 50.4663013776 -26 01 42.508523316|359.3313003287819 +06.3779750766638|    0.184 7.727    |8.92     |G8III/IV            |    ~     ~          
1923|HD 157174                                                                                                |Be Star                        |17 22 46.4198172864 -25 33 27.417432060|000.0963653745866 +06.0968730578170|    0.321 0.623    |9.10     |A0IV                |    ~     ~          
1924|CD-25 12123                                                                                              |Star                           |17 22 52.5417492000 -25 44 55.339596564|359.9500277174730 +05.9709134347374|  -0.043 -1.435    |9.54     |~                   |    ~     ~          
1925|CD-26 12057                                                                                              |Star                           |17 18 19.4118345432 -26 18 55.230404256|358.8992541772180 +06.4959252283723|  -5.236 -8.771    |9.73     |~                   |    ~     ~          
1926|HD 156670                                                                                                |Star                           |17 20 00.9370013952 -26 36 33.545471940|358.8716426520558 +06.0172999099695|-11.546 -20.613    |8.27     |A5V                 |    ~     ~          
1927|HD 156780                                                                                                |Star                           |17 20 30.7045687512 -26 32 59.192165076|358.9840663087629 +05.9594402042594| -26.398 -5.798    |7.08     |G8III/IV            |    ~     ~          
1928|CD-26 12082                                                                                              |Star                           |17 20 38.3131164624 -27 02 17.802611844|358.5949420600230 +05.6601575562328|    4.727 4.456    |9.73     |~                   |    ~     ~          
1929|HD 156917                                                                                                |Star                           |17 21 24.6805571256 -26 26 05.714750544|359.1935214272607 +05.8579494488245|   8.768 -4.341    |8.06     |A9V                 |    ~     ~          
1930|HD 156955                                                                                                |Star                           |17 21 25.9775202960 -26 30 04.500926676|359.1411515063606 +05.8166122514440| -1.586 -21.902    |7.54     |A2V                 |    ~     ~          
1931|HD 156933                                                                                                |Star                           |17 21 30.1618659696 -26 20 15.986658408|359.2858233108651 +05.8957085105844|  3.852 -38.260    |8.54     |F7V                 |    ~     ~          
1932|HD 157094                                                                                                |High Proper Motion Star        |17 22 22.2931759080 -26 12 55.973688192|359.4974576183637 +05.8032423429344|-32.801 -60.921    |8.09     |K0V                 |    ~     ~          
1933|HD 157381                                                                                                |Star                           |17 24 02.9261634408 -26 13 21.103263552|359.7031099158941 +05.4875472286126|  -12.180 6.771    |8.95     |G8III/IV            |    ~     ~          
1934|V* V2371 Oph                                                                                             |beta Cep Variable              |17 24 34.8186518040 -26 55 29.006488236|359.1844706600582 +04.9971766874496|   -1.242 1.597    |9.07     |B1/2Ib              |    ~     ~          
1935|HD 157589                                                                                                |High Proper Motion Star        |17 25 17.7962098920 -26 08 46.216963248|359.9233854598371 +05.2975291799334| -8.339 -51.177    |9.15     |F8V                 |    ~     ~          
1936|CD-26 12125                                                                                              |Star                           |17 25 30.7852844304 -26 36 30.797249724|359.5644703643549 +05.0002631263179| -0.262 -19.354    |10.38    |A0                  |    ~     ~          
1937|HD 157671                                                                                                |Double or Multiple Star        |17 25 43.5242757840 -26 59 29.007427308|359.2714810114825 +04.7481019000803|   0.591 -0.781    |9.28     |K0/1III+A0/2V       |0.0083  0.0          
1938|CD-26 12130                                                                                              |High Proper Motion Star        |17 25 44.1061121064 -26 14 40.357171680|359.8960871303842 +05.1610965403430|-42.612 -68.353    |9.99     |~                   |    ~     ~          
1939|CD-27 11569                                                                                              |Star                           |17 18 17.3369848632 -27 09 13.842809748|358.2010952821435 +06.0252648733114|  1.113 -11.083    |9.82     |A2                  |    ~     ~          
1940|CD-27 11574                                                                                              |Star                           |17 18 43.8299291760 -27 27 51.286550004|358.0006639179873 +05.7679313015811|  -3.435 -4.697    |10.13    |~                   |    ~     ~          
1941|CD-27 11593                                                                                              |Star                           |17 20 44.8264376904 -27 38 35.977421292|358.1072351067097 +05.2982511195776|  2.818 -15.331    |9.45     |~                   |    ~     ~          
1942|HD 156848                                                                                                |Double or Multiple Star        |17 20 54.66082 -27 20 40.0625          |358.37550540 +05.43718476          |   -6.74 -38.85    |8.3      |F7/8IV+F/G          |    ~     ~          
1943|HD 156848B                                                                                               |Star                           |17 20 55.0625160552 -27 20 40.152663816|358.3763282518835 +05.4359438165304| -4.477 -38.147    |9.50     |~                   |    ~     ~          
1944|HD 156882                                                                                                |Star                           |17 21 05.6128222464 -27 25 04.505049084|358.3376016246160 +05.3622595305991|   5.592 11.949    |7.41     |G8/K0III            |    ~     ~          
1945|HD 157110                                                                                                |Star                           |17 22 27.8376584952 -27 47 21.549495660|358.2013624984011 +04.9021480104827|  8.082 -12.081    |9.95     |F0V                 |    ~     ~          
1946|CD-27 11627                                                                                              |Star                           |17 23 49.2666029016 -27 25 38.790089796|358.6713053973925 +04.8563288517916|   0.191 -7.004    |9.46     |~                   |    ~     ~          
1947|HD 315726                                                                                                |High Proper Motion Star        |17 24 45.7884421944 -27 46 43.145642784|358.4961709225798 +04.4869562843888| 20.861 -46.008    |9.73     |G0                  |    ~     ~          
1948|HD 157736                                                                                                |Star                           |17 26 05.8687965528 -27 35 58.657427448|358.8103542401349 +04.3412920270293| -5.968 -41.626    |7.51     |B9/9.5V             |    ~     ~          
1949|CD-27 11585                                                                                              |Star                           |17 20 07.5967458480 -27 34 48.004454388|358.0815180683362 +05.4474117463034| 24.854 -17.479    |10.34    |F5                  |    ~     ~          
1950|CD-27 11587                                                                                              |Star                           |17 20 20.5492336584 -27 38 56.581612800|358.0515676986115 +05.3688905608026|  -0.503 -1.731    |10.43    |A0                  |    ~     ~          
1951|CD-25 12097                                                                                              |Star                           |17 20 50.4248265912 -25 58 08.942443320|359.5080498425628 +06.2260671431314|    6.765 8.216    |10.91    |~                   |    ~     ~          
1952|CD-25 12116                                                                                              |Star                           |17 22 03.4910237112 -25 10 43.881803616|000.3210955790253 +06.4428202274121|    5.652 9.958    |10.69    |F8                  |    ~     ~          
1953|CD-26 12094                                                                                              |Star                           |17 22 19.0984158072 -26 40 08.529190104|359.1135538685503 +05.5585887245003| -0.443 -18.381    |10.28    |A0                  |    ~     ~          
1954|CD-25 12128                                                                                              |Star                           |17 23 07.4602177128 -25 18 47.795160564|000.3446468038551 +06.1677924993856|   0.872 -5.880    |10.05    |~                   |    ~     ~          
1955|CD-25 12138                                                                                              |Star                           |17 24 15.5678555976 -25 52 29.431570188|000.0196135145368 +05.6421207268286|   4.279 -7.649    |10.61    |F5                  |    ~     ~          
1956|CD-25 12148                                                                                              |Star                           |17 25 25.9771342416 -25 45 02.471414328|000.2708465723671 +05.4916573247708| -0.788 -15.116    |10.70    |A5                  |    ~     ~          
1957|CD-25 12096                                                                                              |Star                           |17 20 48.3363041352 -25 51 01.987433244|359.6021953466639 +06.2993406039965| -18.160 18.959    |10.01    |F8                  |    ~     ~          
1958|[SC96] GC 48                                                                                             |Star                           |17 21 24.0 -26 30 00                   |359.1380 +05.8234                  |            ~ ~    |7.43     |~                   |    ~     ~          
1959|[SC96] Mis 404                                                                                           |Star                           |17 21 24.0 -26 30 00                   |359.1380 +05.8234                  |            ~ ~    |7.43     |~                   |    ~     ~          
1960|CD-25 12072                                                                                              |Star                           |17 18 17.4318046488 -25 55 22.436389344|359.2201540995897 +06.7249541810093|  -1.987 -5.884    |10.39    |F0                  |    ~     ~          
1961|CD-26 12072                                                                                              |Star                           |17 19 28.3352386800 -26 35 07.556794296|358.8222926165051 +06.1309493309134|   3.001 -0.643    |9.45     |F8                  |    ~     ~          
1962|CD-25 12090                                                                                              |Star                           |17 20 12.9853133760 -25 53 44.394080964|359.4895254739963 +06.3833648875697|   -0.851 0.796    |10.48    |~                   |    ~     ~          
1963|CD-27 11590                                                                                              |Double or Multiple Star        |17 20 39.986091 -27 33 53.81524        |358.162003751 +05.357317613        |    -27.8 -96.9    |10.58    |~                   |    ~     ~          
1964|CD-25 12099                                                                                              |Star                           |17 20 54.7475134368 -26 07 15.962450016|359.3909453965827 +06.1270925666781|  -0.339 -2.494    |10.01    |~                   |    ~     ~          
1965|CD-25 12100                                                                                              |Star                           |17 21 00.5474718528 -25 55 48.155862936|359.5620422129649 +06.2167517460629|  12.371 -4.099    |10.85    |~                   |    ~     ~          
1966|CD-26 12087                                                                                              |Star                           |17 21 17.9895530952 -26 19 00.740188668|359.2774729826040 +05.9450467368373| 34.654 -24.311    |10.33    |F8                  |    ~     ~          
1967|CD-25 12106                                                                                              |Star                           |17 21 26.4016123464 -25 38 50.820608868|359.8519838399212 +06.2954876455716|-17.937 -28.635    |10.49    |~                   |    ~     ~          
1968|CD-25 12131                                                                                              |Star                           |17 23 13.0622555160 -25 22 35.115687696|000.3038105993731 +06.1150313955223|  -8.070 -4.468    |10.01    |~                   |    ~     ~          
1969|CD-27 11619                                                                                              |Star                           |17 23 29.0862305304 -27 46 44.092404012|358.3372441702604 +04.7211755865456|   2.067 -4.953    |10.03    |~                   |    ~     ~          
1970|CD-25 12133                                                                                              |Star                           |17 23 31.1683698984 -25 36 20.378096676|000.1507915286518 +05.9305562788884| -5.232 -15.769    |10.90    |F8                  |    ~     ~          
1971|CD-26 12108                                                                                              |Star                           |17 24 23.9378167488 -26 20 09.646166976|359.6524674039825 +05.3590981647950| -2.176 -34.493    |10.80    |F8                  |    ~     ~          
1972|CD-27 11632                                                                                              |Star                           |17 24 31.4066895864 -27 36 03.645866376|358.6142734706689 +04.6301727189075|  -2.621 -3.886    |10.0     |~                   |    ~     ~          
1973|CD-25 12140                                                                                              |Star                           |17 24 45.5814134016 -25 59 25.602047772|359.9860508595938 +05.4843347922211|    0.115 1.485    |10.41    |F8                  |    ~     ~          
1974|CD-27 11642                                                                                              |Star                           |17 25 21.8532005712 -27 25 05.468378196|358.8708271154805 +04.5773966118631| -7.535 -10.260    |10.36    |~                   |    ~     ~          
1975|CD-26 12126                                                                                              |Star                           |17 25 29.6315368656 -26 08 59.640614592|359.9449661056428 +05.2586487444411| -5.364 -16.995    |10.06    |~                   |    ~     ~          
1976|CD-27 11537                                                                                              |Star                           |17 15 19.1577278064 -27 30 17.485431192|357.5318426948599 +06.3651565623017|  -1.279 -1.886    |10.49    |~                   |    ~     ~          
