C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:16:32

Vmag< 11&dec< 0&rah >=17.25&rah< 17.5
-------------------------------------

Number of objects : 7045

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |      ang. size      
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------------
33  |HD 327135                                                                                                |Star                           |17 15 39.3167199888 -42 06 52.932417408|345.6540281938169 -02.1683913600480|   0.609 -1.174    |9.91     |M0                  |    ~     ~          
34  |HD 327134                                                                                                |High Proper Motion Star        |17 15 56.5148435328 -42 05 43.053779652|345.7007328219530 -02.2004090780648|-34.167 -38.521    |9.87     |K0                  |    ~     ~          
35  |HD 327217                                                                                                |High Proper Motion Star        |17 16 08.0565990840 -43 52 46.384745412|344.2654261202291 -03.2631648221893| -7.714 -50.079    |10.61    |K2                  |    ~     ~          
36  |HD 327344                                                                                                |Star                           |17 16 59.7317439576 -44 04 43.361787612|344.1922461405018 -03.5046886915120| -7.266 -28.528    |9.98     |K5                  |    ~     ~          
37  |HD 327314                                                                                                |Star                           |17 17 24.2448662688 -42 50 32.171218080|345.2468693195070 -02.8523962201666| -6.434 -10.674    |10.30    |K5                  |    ~     ~          
38  |HD 327294                                                                                                |Star                           |17 18 21.6090187776 -42 17 50.665963236|345.7944024486844 -02.6827912463875|   8.461 -9.270    |9.51     |K0                  |    ~     ~          
39  |HD 327287                                                                                                |Star                           |17 18 38.7919169376 -42 03 06.585416172|346.0261661998239 -02.5852062378312|  -0.928 -1.278    |10.71    |B9                  |    ~     ~          
40  |HD 327284                                                                                                |Star                           |17 19 04.7862550776 -41 54 29.286699372|346.1902221086569 -02.5687522481852|   2.716 -2.584    |10.52    |B8                  |    ~     ~          
41  |HD 156444                                                                                                |Star                           |17 19 33.8759359080 -41 56 16.582715160|346.2174417370669 -02.6597574645956| -2.674 -17.148    |9.36     |F3/6                |    ~     ~          
42  |HD 156470                                                                                                |Star                           |17 19 37.3929100896 -41 52 15.288473388|346.2787288705733 -02.6303747233270|  -0.535 -5.743    |8.43     |B9IV                |    ~     ~          
43  |HD 156493                                                                                                |Star                           |17 19 46.8247323120 -42 01 49.517391756|346.1644263528132 -02.7455300096371| -2.693 -21.535    |7.31     |K3III               |    ~     ~          
44  |HD 156705                                                                                                |Star                           |17 21 02.2270073520 -41 52 50.695558896|346.4208780204697 -02.8522041760856| -2.785 -42.672    |8.18     |M4III               |    ~     ~          
45  |HD 156763                                                                                                |Star                           |17 21 18.1833150912 -41 54 11.387230560|346.4305675838926 -02.9056659456213|   1.386 12.121    |9.37     |F2V                 |    ~     ~          
46  |HD 323273                                                                                                |Star                           |17 21 59.2831659216 -41 57 09.227692620|346.4621722877633 -03.0386200796969|  -7.360 -7.608    |10.35    |A5                  |    ~     ~          
47  |HD 323482                                                                                                |High Proper Motion Star        |17 25 16.3981530912 -41 57 52.778636244|346.7962415588884 -03.5504083395456|  47.663 70.823    |10.65    |K0                  |    ~     ~          
48  |HD 157519                                                                                                |Star                           |17 25 37.7415474552 -41 58 42.020709420|346.8218503864581 -03.6129018792632|   5.395 -8.607    |7.85     |B5IV                |    ~     ~          
49  |HD 323279                                                                                                |Eclipsing Binary               |17 20 33.6217796616 -42 06 11.068003476|346.1873524545073 -02.9058648035765|    0.935 0.695    |10.25    |A0                  |    ~     ~          
50  |HD 156706                                                                                                |Double or Multiple Star        |17 21 02.3194028496 -42 06 08.483966100|346.2384853462917 -02.9784147849233|   2.375 -2.516    |8.73     |B9III/IV            |0.0117  0.0          
51  |HD 157061                                                                                                |Star                           |17 22 57.3007806912 -42 05 17.892216996|346.4516563088375 -03.2634926975799|  3.447 -10.347    |8.22     |A0IV                |    ~     ~          
52  |HD 157420                                                                                                |Star                           |17 25 04.8903125160 -42 05 05.755670232|346.6763638560450 -03.5880777272186|   0.453 -7.199    |9.08     |G8/K0(III)          |    ~     ~          
53  |NGC 6322 99                        HD 156271                                                             |Star                           |17 18 41.4539779920 -42 59 30.268643568|345.2600285813427 -03.1310985857182|   0.048 -2.396    |9.24     |B3/5II/III          |    ~     ~          
54  |NGC 6322 27                        HD 156292                                                             |Spectroscopic Binary           |17 18 45.8116958160 -42 53 29.928425568|345.3497941013803 -03.0846075009715|   1.603 -1.217    |7.55     |O9.7III             |    ~     ~          
55  |HD 327317                                                                                                |Star                           |17 19 03.6551507496 -42 32 45.865678776|345.6647463601149 -02.9313672650211|   0.158 -2.114    |10.14    |B5                  |    ~     ~          
