C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:22:26

Vmag< 11&dec< 0&rah >=10.0&rah< 10.25
-------------------------------------

Number of objects : 6998

 #  |                                                                                                                                                                          identifier                                                                                                                                                                          |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
28  |HD 86947                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 01 52.1215017144 -02 16 15.528581436|241.8240390868119 +39.6958516612936|  -34.114 9.804   |8.92     |F7V             |    ~     ~    
29  |HD 87706                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 06 44.6500646088 -02 23 41.011902024|242.9550670496547 +40.5622848714559|-36.961 -10.925   |8.56     |F5V             |    ~     ~    
30  |V* VX Sex                                                                                                                                                                                                                                                                                                                                                     |Long-Period Variable                  |10 02 41.2832393688 -01 33 37.507902876|241.2655968306967 +40.2990067227981|  -8.791 -3.777   |10.97    |~               |    ~     ~    
31  |TYC 4903-1494-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 00 00.6116150544 -01 12 25.976725416|240.3617312268818 +39.9903100284685| -0.283 -29.762   |10.70    |~               |    ~     ~    
32  |TYC 4903-369-1                                                                                                                                                                                                                                                                                                                                                |High Proper Motion Star               |10 00 18.0892096224 -02 04 05.220725592|241.3012960006140 +39.5163000793069| -35.304 53.265   |10.37    |~               |    ~     ~    
33  |BD-00 2279                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 01 12.6029186664 -00 43 16.223955456|240.0984111508858 +40.5249209258530|    3.922 6.045   |10.5     |~               |    ~     ~    
34  |BD+00 2603                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 01 18.2244898128 -00 35 40.249628916|239.9851169038684 +40.6207623681011|  -4.312 -5.724   |10.746   |~               |    ~     ~    
35  |TYC 4903-414-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 02 10.2038252448 -02 04 14.022487884|241.6817962641976 +39.8799414076656|   -0.522 0.772   |10.870   |~               |    ~     ~    
36  |TYC 4903-63-1                                                                                                                                                                                                                                                                                                                                                 |Star                                  |10 02 42.4083565704 -01 40 21.853683444|241.3847045378642 +40.2328463960748|   7.166 -6.112   |10.670   |~               |    ~     ~    
37  |TYC 4903-126-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 03 10.5276169584 -01 54 23.954425920|241.7197438389551 +40.1784740292032|-36.210 -27.644   |10.89    |~               |    ~     ~    
38  |TYC 4903-233-1                                                                                                                                                                                                                                                                                                                                                |High Proper Motion Star               |10 03 22.3738225272 -01 47 14.333569944|241.6380829084622 +40.2915640167749|-65.562 -28.888   |10.439   |~               |    ~     ~    
39  |TYC 4903-1417-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 03 49.4450096208 -00 36 09.641453832|240.5035953844744 +41.1140193553393|-41.932 -18.353   |10.621   |~               |    ~     ~    
40  |BD-00 2287                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 04 10.3278048696 -01 34 59.157927732|241.5923489130404 +40.5750793241089|  -46.693 3.417   |10.261   |~               |    ~     ~    
41  |BD-00 2290                                                                                                                                                                                                                                                                                                                                                    |High Proper Motion Star               |10 04 26.4483046968 -00 54 44.324677620|240.9530997156263 +41.0445169224925|-20.786 -50.964   |10.06    |~               |    ~     ~    
42  |TYC 4903-558-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 04 41.9396180856 -01 56 02.068611432|242.0605502025497 +40.4579904127466|  -4.059 -7.607   |10.86    |~               |    ~     ~    
43  |TYC 4903-725-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 06 35.6394550224 -02 21 41.748594696|242.8900121602650 +40.5544227178530| 15.196 -17.006   |9.94     |~               |    ~     ~    
44  |TYC 4903-1599-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 07 13.0195628856 -01 09 36.575880516|241.7854251624898 +41.4334284120608| -41.900 19.997   |10.832   |~               |    ~     ~    
45  |TYC 4903-1418-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 04 13.9114375056 -01 13 16.152059460|241.2310534463545 +40.8121169864751|   -2.407 3.235   |10.917   |~               |    ~     ~    
46  |TYC 4903-3-1                                                                                                                                                                                                                                                                                                                                                  |Star                                  |10 06 40.1889419784 -01 43 36.531797232|242.2571560957896 +40.9710125407841|  -0.813 -3.439   |10.956   |~               |    ~     ~    
47  |TYC 4903-351-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 01 29.2316514192 -01 28 04.227812040|240.9269438994932 +40.1208196701522|  -8.256 -1.227   |10.76    |~               |    ~     ~    
48  |TYC 4903-445-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 00 18.9127947600 -02 12 59.205838104|241.4545291991063 +39.4267371270259| -22.654 -1.697   |10.54    |~               |    ~     ~    
49  |TYC 4903-613-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 03 17.3484740616 -01 36 20.908556280|241.4348106660843 +40.3884000702876| -1.423 -10.910   |10.78    |~               |    ~     ~    
50  |TYC 4903-1087-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 06 04.8252198864 -00 20 59.991197496|240.7008659830495 +41.7141273353860| -16.921 -2.103   |10.857   |~               |    ~     ~    
51  |TYC 4903-1503-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 05 15.8136210432 -01 12 22.405480704|241.4278184881933 +41.0233311093940|  -0.965 -5.546   |10.96    |~               |    ~     ~    
52  |TYC 4903-1719-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 02 17.1898498584 -01 01 56.552200464|240.6389721777097 +40.5466767792213|  5.113 -14.452   |10.67    |~               |    ~     ~    
53  |StKM 1-816                                                                                                                                                                                                                                                                                                                                                    |High Proper Motion Star               |10 00 25.4873246256 -02 36 48.575788164|241.8774625789472 +39.2001906014679| 39.188 -36.996   |10.749   |K4              |    ~     ~    
54  |BD-01 2334                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 00 10.4610774936 -02 29 35.916443088|241.7059423978136 +39.2265632421862|  -7.449 -0.979   |10.44    |~               |    ~     ~    
