C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:22:26

Vmag< 11&dec< 0&rah >=10.0&rah< 10.25
-------------------------------------

Number of objects : 6998

 #  |                                                                                                                                                                          identifier                                                                                                                                                                          |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
1799|HD 88684                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 13 15.9701038440 -19 57 33.072142932|259.5996960024044 +29.3037297443177|    9.708 2.060   |9.68     |F5V             |    ~     ~    
1800|HD 88777                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 14 03.3755668344 -19 43 25.685291928|259.5864264401369 +29.6033847229222| -11.817 -2.531   |9.74     |F3V             |    ~     ~    
1801|BD-18 2857                                                                                                                                                                                                                                                                                                                                                    |High Proper Motion Star               |10 10 45.6116039112 -19 29 06.509733288|258.7326875115116 +29.2766768257092|  -72.852 4.048   |10.521   |~               |    ~     ~    
1802|BD-17 3084                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 11 22.5747591528 -18 34 40.412292312|258.1698793273625 +30.0545881232248| -12.077 -3.493   |9.90     |~               |    ~     ~    
1803|BD-18 2862                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 11 27.2829004296 -18 52 20.031734532|258.4102951586191 +29.8458124954716| -10.292 10.335   |10.24    |~               |    ~     ~    
1804|BD-18 2863                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 11 34.8836200704 -19 07 12.581221692|258.6243840839595 +29.6789997564874|  -3.337 -4.007   |9.80     |~               |    ~     ~    
1805|BD-17 3085                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 11 41.5387908000 -18 31 00.087160728|258.1881065478954 +30.1500285699382| -10.545 -1.510   |9.47     |~               |    ~     ~    
1806|BD-17 3087                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 12 12.4430265168 -17 56 06.856958976|257.8484318027970 +30.6669702444552| -7.704 -14.720   |9.98     |~               |    ~     ~    
1807|BD-18 2867                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 12 23.2215653832 -19 14 18.761534340|258.8790340403422 +29.7146434859954|  -8.837 13.460   |10.423   |~               |    ~     ~    
1808|BD-19 2952                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 13 52.3398251736 -19 54 25.107115932|259.6851525685228 +29.4359239915018|  -12.871 0.099   |10.68    |~               |    ~     ~    
1809|BD-18 2874                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 14 06.8956304496 -19 06 33.739665444|259.1378241233809 +30.0790963045584|   6.123 -9.260   |10.48    |~               |    ~     ~    
1810|BD-18 2875                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 14 08.3714089920 -18 59 23.961866532|259.0529081402453 +30.1733924011494|  -9.122 -3.366   |10.17    |~               |    ~     ~    
1811|BD-17 3096                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 14 23.4928588656 -18 10 13.396426824|258.4830584441962 +30.8323714397970|  -0.504 -9.224   |10.340   |~               |    ~     ~    
1812|BD-17 3097                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 14 39.9880085328 -17 58 50.194941276|258.3953906891352 +31.0184603050026|  -1.318 -7.597   |10.355   |~               |    ~     ~    
1813|BD-19 2946                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 12 11.5298856840 -20 00 51.959625696|259.4214582497089 +29.0975377359054| -28.845 -0.939   |10.498   |~               |    ~     ~    
1814|BD-19 2948                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 12 50.2706752296 -20 06 58.736089368|259.6290983718133 +29.1189297371175|  -1.712 -9.989   |10.083   |~               |    ~     ~    
1815|BD-19 2949                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 13 14.3788436616 -20 09 50.962961304|259.7467653199515 +29.1437998180394| -46.086 -4.228   |9.872    |~               |    ~     ~    
1816|BD-19 2951                                                                                                                                                                                                                                                                                                                                                    |High Proper Motion Star               |10 13 29.7441081360 -20 02 52.258425216|259.7127262922551 +29.2713104872309| -51.024 -4.558   |10.608   |~               |    ~     ~    
1817|BD-18 2858                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 10 59.7069581784 -18 54 06.383291868|258.3386423889745 +29.7518700857134|   1.042 -3.403   |10.928   |~               |    ~     ~    
1818|BD-18 2859                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 11 01.0475395392 -19 12 35.381490372|258.5770087302934 +29.5238302670902|  -18.617 9.684   |10.895   |~               |    ~     ~    
1819|BD-17 3080                                                                                                                                                                                                                                                                                                                                                    |High Proper Motion Star               |10 11 08.1543408552 -18 13 26.213087460|257.8493185143265 +30.2820076701347| -53.312 43.235   |10.43    |~               |    ~     ~    
1820|BD-17 3081                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 11 11.3029977576 -17 56 47.541894900|257.6465411954434 +30.4976820442612|  -10.792 3.286   |10.57    |~               |    ~     ~    
1821|BD-19 2941                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 11 20.9581198488 -19 48 27.221592960|259.0950701551952 +29.1245951108536|   -1.865 2.948   |10.75    |~               |    ~     ~    
1822|TYC 6063-279-1                                                                                                                                                                                                                                                                                                                                                |High Proper Motion Star               |10 11 26.6729689512 -18 15 12.474638604|257.9355202555788 +30.3085043580841|-48.554 -11.080   |10.87    |~               |    ~     ~    
1823|BD-19 2943                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 11 49.5057169320 -19 58 35.479536384|259.3183821445553 +29.0699775766307|  -0.071 -3.165   |10.503   |~               |    ~     ~    
1824|TYC 6067-686-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 11 53.9871715296 -19 30 23.239092960|258.9811188493542 +29.4369772094674| -5.977 -19.065   |10.839   |~               |    ~     ~    
1825|BD-18 2864                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 12 03.6924885480 -19 15 43.980226308|258.8301457795773 +29.6463951214099| -8.808 -18.486   |10.818   |~               |    ~     ~    
1826|TYC 6067-138-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 12 09.4080817416 -19 00 27.976256172|258.6572552568349 +29.8530776491802|  -3.287 -0.373   |10.976   |~               |    ~     ~    
1827|BD-17 3086                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 12 09.6757811424 -18 06 57.255515676|257.9778332991360 +30.5243041429751|   -0.703 2.608   |10.01    |~               |    ~     ~    
1828|BD-18 2865                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 12 11.2402684512 -19 39 39.251611188|259.1559348150277 +29.3645488840656|-18.998 -42.143   |10.27    |~               |    ~     ~    
1829|BD-18 2868                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 12 28.0654616520 -19 42 37.433887236|259.2503805822785 +29.3702085149464| -10.980 -0.732   |9.904    |~               |    ~     ~    
1830|UCAC4 353-059809                                                                                                                                                                                                                                                                                                                                              |Star                                  |10 12 56.5956015192 -19 29 16.186130772|259.1808906920882 +29.6119100830895|  2.458 -13.062   |10.961   |~               |    ~     ~    
1831|TYC 6067-348-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 14 12.5527948056 -18 55 20.056383948|259.0162059939320 +30.2354864033212|  -10.541 1.568   |10.90    |~               |    ~     ~    
1832|BD-18 2876                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 14 23.9998565184 -19 19 02.099419536|259.3531203954931 +29.9651080854056| -10.093 -2.354   |10.26    |~               |    ~     ~    
1833|BD-18 2877                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 14 43.7387373168 -19 41 30.121065240|259.7012289490074 +29.7304580779761|  0.747 -12.220   |10.336   |~               |    ~     ~    
1834|TYC 6067-735-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 12 31.3857679488 -20 11 33.160430184|259.6216044440193 +29.0129836861260| -10.470 13.756   |10.851   |~               |    ~     ~    
1835|BD-19 2954                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 14 11.1268883976 -20 15 49.792261140|260.0143575075979 +29.2114913131632|   3.057 -2.890   |10.82    |~               |    ~     ~    
1836|BD-17 3079                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 11 07.2884723952 -18 00 04.118693292|257.6748637341366 +30.4463113302745|  -23.971 0.526   |10.68    |~               |    ~     ~    
1837|TYC 6063-255-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 13 41.8012079544 -18 00 38.075424516|258.2157824713256 +30.8443014270142|   1.935 21.865   |10.948   |~               |    ~     ~    
1838|TYC 6063-375-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 10 30.9906737160 -18 39 21.717088488|258.0533722509749 +29.8611837367578| -16.510 -2.278   |9.63     |~               |    ~     ~    
1839|TYC 6063-398-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 13 20.8958599416 -18 37 47.605825236|258.6162456752394 +30.3232117462901| -13.376 11.650   |10.665   |~               |    ~     ~    
1840|TYC 6063-707-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 08 42.9578113392 -17 55 42.762898272|257.1255733288914 +30.1184030763752|   -5.672 3.178   |10.890   |~               |    ~     ~    
1841|TYC 6067-61-1                                                                                                                                                                                                                                                                                                                                                 |Star                                  |10 09 12.5101402584 -20 05 02.972072364|258.8695861019920 +28.5855128301995| -17.172 23.728   |10.836   |~               |    ~     ~    
1842|TYC 6067-858-1                                                                                                                                                                                                                                                                                                                                                |High Proper Motion Star               |10 14 41.0908263216 -20 11 54.284209404|260.0685090803352 +29.3370774236305| 35.383 -41.832   |10.95    |~               |    ~     ~    
1843|TYC 6067-1316-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 11 04.8624765408 -19 22 20.671231908|258.7129280025293 +29.4113397487872|  -6.798 -7.754   |10.30    |~               |    ~     ~    
1844|HD 87961                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 08 07.5320297640 -20 31 30.095678028|258.9828904695876 +28.0866211834862|   4.713 -2.745   |8.86     |G8/K0III        |    ~     ~    
1845|HD 88035                                                                                                                                                                                                                                                                                                                                                      |Chemically Peculiar Star              |10 08 41.9724871512 -20 18 49.650640344|258.9395820012270 +28.3341080345591|  -28.813 8.078   |9.14     |G8pBa           |    ~     ~    
1846|BD-20 3108                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 07 36.9151578096 -20 44 36.213663444|259.0443857117395 +27.8437491653074|   -3.526 9.738   |9.91     |G5              |    ~     ~    
1847|HD 87927                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 07 57.6183279240 -20 46 59.478807648|259.1426588912471 +27.8670007380458|  -39.208 3.882   |9.56     |F0/2V           |    ~     ~    
1848|BD-20 3112                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 08 30.9628262688 -21 22 39.010067688|259.6938290505730 +27.5039483408193|   3.700 -4.123   |9.10     |K7              |    ~     ~    
1849|BD-20 3115                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 09 22.8790883448 -21 39 45.786116844|260.0754933177186 +27.4193595102900|  -4.197 -4.351   |9.21     |M0              |    ~     ~    
1850|HD 88198                                                                                                                                                                                                                                                                                                                                                      |High Proper Motion Star               |10 09 45.6854728632 -21 40 15.322175940|260.1570601856200 +27.4706097204042|-88.531 147.673   |8.50     |F6V             |    ~     ~    
1851|HD 88062                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 08 47.8531508160 -21 45 20.478707856|260.0279599509833 +27.2604717705979|  -19.622 5.935   |8.88     |K0III           |    ~     ~    
1852|V* IO Hya                                                                                                                                                                                                                                                                                                                                                     |Long-Period Variable                  |10 07 32.1711529704 -22 29 22.620171480|260.3164261153499 +26.5136159092563|   -3.159 1.070   |7.11     |M4III           |    ~     ~    
1853|HD 87980                                                                                                                                                                                                                                                                                                                                                      |High Proper Motion Star               |10 08 13.7335448580 -22 19 22.220840444|260.3306805540445 +26.7444517962736|-41.430 -35.091   |8.62     |F5V             |    ~     ~    
1854|HD 88027                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 08 30.5135891424 -22 28 21.291081204|260.4946891076529 +26.6727844421938|  -9.507 -7.357   |9.43     |A1V             |    ~     ~    
1855|HD 88168                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 09 39.0049626840 -22 15 10.887937848|260.5600307236014 +27.0111018002163|  -5.756 14.511   |8.60     |K0III           |    ~     ~    
1856|BD-20 3106                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 07 31.7651262000 -21 18 10.344238956|259.4432528590872 +27.4095424116742|  -24.372 3.008   |10.25    |~               |    ~     ~    
1857|BD-19 2921                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 07 48.9280003536 -20 36 39.148829676|258.9852609244134 +27.9742257643344|  -18.551 5.120   |10.06    |~               |    ~     ~    
1858|BD-19 2922                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 08 00.7781178528 -20 19 30.093736008|258.8106800658371 +28.2194423644205| 11.126 -15.636   |10.259   |~               |    ~     ~    
1859|BD-20 3114                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 08 42.5256362808 -21 10 37.667386308|259.5840345474788 +27.6847701211683| -14.665 -7.175   |10.29    |~               |    ~     ~    
1860|BD-19 2930                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 09 36.7611374352 -20 35 31.806166812|259.3304863335516 +28.2649569673134|  14.502 -8.674   |10.501   |~               |    ~     ~    
1861|BD-20 3107                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 07 35.1922975896 -20 49 41.751452532|259.1019726999070 +27.7755305938555|  -10.777 4.634   |10.38    |~               |    ~     ~    
1862|BD-19 2920                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 07 41.3179627632 -20 26 53.916152136|258.8383812920035 +28.0766868394517|   -9.936 1.986   |10.723   |~               |    ~     ~    
1863|BD-21 2988                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 07 43.4728 -22 17 35.818            |260.2100811 +26.6908198            |  -18.60 -19.70   |10.43    |~               |    ~     ~    
1864|BD-21 2991                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 08 01.3960187952 -21 43 02.670841560|259.8467664546465 +27.1719711663551| -2.912 -44.127   |10.827   |~               |    ~     ~    
1865|BD-20 3110                                                                                                                                                                                                                                                                                                                                                    |High Proper Motion Star               |10 08 16.3807730928 -21 04 11.236664712|259.4178931772809 +27.6991418277188|-47.575 -19.577   |10.918   |~               |    ~     ~    
1866|BD-19 2927                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 08 34.0725647064 -20 34 14.756226672|259.1053608004182 +28.1204443785729|   -8.702 2.082   |9.92     |~               |    ~     ~    
1867|BD-21 2996                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 08 35.2902754080 -22 18 12.070740636|260.3871401985692 +26.8133267534543|  -26.179 9.980   |10.29    |~               |    ~     ~    
1868|CPD-19 4521                                                                                                                                                                                                                                                                                                                                                   |Star                                  |10 09 27.2962220952 -20 29 51.283227228|259.2283621198650 +28.3121157884842| -13.706 -6.300   |10.840   |~               |    ~     ~    
1869|HD 88395                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 11 10.9986572616 -20 13 41.421743436|259.3759235923781 +28.7810251294974|  -2.735 -1.831   |8.69     |K1III           |    ~     ~    
1870|BD-19 2942                                                                                                                                                                                                                                                                                                                                                    |High Proper Motion Star               |10 11 26.5437051504 -20 15 49.745939148|259.4549933907633 +28.7937263473723|  -62.304 9.191   |10.450   |~               |    ~     ~    
1871|CPD-19 4549                                                                                                                                                                                                                                                                                                                                                   |Star                                  |10 13 02.3885722512 -20 24 49.040100828|259.8909949104938 +28.9235121916086|   1.615 13.649   |10.882   |~               |    ~     ~    
1872|HD 88361                                                                                                                                                                                                                                                                                                                                                      |High Proper Motion Star               |10 10 58.5598835280 -20 38 19.065775632|259.6392552029324 +28.4384030497015| -70.030 46.422   |9.612    |G1V             |    ~     ~    
1873|HD 88396                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 11 08.1099008856 -20 48 22.915686780|259.7955738972123 +28.3354074071619|   8.747 -8.746   |8.85     |F3/5V           |    ~     ~    
1874|HD 88427                                                                                                                                                                                                                                                                                                                                                      |High Proper Motion Star               |10 11 28.4090041176 -21 30 39.551795064|260.3819213824066 +27.8504837199558|-33.030 -49.506   |9.53     |G8IV            |    ~     ~    
1875|HD 88461                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 11 47.5784290080 -20 59 40.105779360|260.0670583219184 +28.2922322612646|  0.486 -14.178   |9.63     |F6V             |    ~     ~    
1876|HD 88491                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 11 56.9488378560 -21 16 58.000902672|260.3103900022771 +28.0961400750912|  -30.445 9.687   |8.20     |K2III           |    ~     ~    
1877|HD 88615                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 12 47.0366571888 -20 46 36.633163008|260.1072793495625 +28.6079670381587|  -3.879 -5.152   |10.31    |B9V             |    ~     ~    
1878|BD-20 3129                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 13 57.8681600304 -20 54 33.777796716|260.4448326937271 +28.6846921623031|  -2.768 -7.363   |9.82     |K0              |    ~     ~    
1879|HD 88438                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 11 29.5657670904 -22 00 44.030914488|260.7512203960337 +27.4706459850483|  -0.483 -3.811   |9.99     |F3/5V           |    ~     ~    
1880|HD 88450                                                                                                                                                                                                                                                                                                                                                      |High Proper Motion Star               |10 11 36.6581602848 -22 01 40.886657976|260.7863033467033 +27.4762232843170|-174.788 36.311   |9.81     |K0/1V           |    ~     ~    
1881|HD 88778                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 14 02.2395360960 -22 09 23.302400004|261.3660790039160 +27.7378482055535| -2.267 -36.407   |9.09     |G8V             |    ~     ~    
1882|HD 88790                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 14 07.8197921904 -22 02 35.129519592|261.3031065121916 +27.8389214324386|  -12.116 1.039   |8.95     |M2III           |    ~     ~    
1883|HD 88871                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 14 37.6727161656 -21 43 41.451663252|261.1762550180835 +28.1550631555011| -14.256 -4.251   |8.66     |A3V             |    ~     ~    
