C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:06:03

Vmag< 11&dec >=0&rah >=4.5&rah< 4.75
------------------------------------

Number of objects : 3770

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------
33  |BD+44 974                                                                                                |High Proper Motion Star        |04 33 13.7796137592 +45 07 01.264454328|158.4886807644068 -01.8970191981533| 23.570 -44.932    |9.41     |F8               |    ~     ~    
34  |V* AT Per                                                                                                |Carbon Star                    |04 31 10.3169982264 +45 14 26.268302652|158.1507202809830 -02.0778268783665|   1.152 -3.543    |10.42    |C4,4J            |    ~     ~    
35  |HD 28747                                                                                                 |Star                           |04 34 04.4566696056 +45 38 08.832745824|158.2083530742663 -01.4359290974278|   0.968 -4.592    |7.700    |B9               |    ~     ~    
36  |BD+44 977                                                                                                |High Proper Motion Star        |04 33 40.0261839504 +44 23 34.406013300|159.0733235471223 -02.3318190116414| 48.305 -20.949    |9.10     |F5               |    ~     ~    
37  |BD+44 979                                                                                                |Star                           |04 33 43.6876569384 +44 42 47.495222388|158.8452395288178 -02.1065021953216|   -5.461 0.452    |9.23     |F2               |    ~     ~    
38  |BD+44 980                                                                                                |Pulsating Variable             |04 33 57.8649669552 +44 26 12.987723084|159.0769611541873 -02.2629278637682|  -0.747 -2.292    |9.37     |B8               |    ~     ~    
39  |BD+44 981                                                                                                |Star                           |04 34 13.1335885368 +44 25 58.442469204|159.1107384525095 -02.2322555135303|   -1.752 2.465    |9.58     |A5               |    ~     ~    
40  |HD 28781                                                                                                 |Spectroscopic Binary           |04 34 15.4051079592 +45 00 32.880720708|158.6911035452961 -01.8370103597758| -11.920 -4.210    |8.52     |G5               |    ~     ~    
41  |BD+44 990                                                                                                |Star                           |04 35 29.1063484368 +45 03 16.291412424|158.8044036562343 -01.6463940027738|   2.926 -3.903    |9.10     |B8               |    ~     ~    
42  |BD+44 993                                                                                                |Star                           |04 36 18.5331228576 +44 50 10.820307732|159.0639629267252 -01.6856135857431|   2.202 -8.013    |9.76     |B8V              |    ~     ~    
43  |BD+43 1021                                                                                               |Star                           |04 37 18.7237673208 +44 08 31.509877164|159.6989701465303 -02.0190553667464|   0.858 -0.383    |9.33     |A0V              |    ~     ~    
44  |V* KR Per                                                                                                |Spectroscopic Binary           |04 37 08.9107960032 +44 12 39.805665012|159.6280853985273 -01.9945925058745| -12.053 -8.967    |10.86    |F5:V?            |    ~     ~    
45  |HD 276387                                                                                                |Star                           |04 31 03.2299524864 +43 45 54.897240636|159.2130549962765 -03.1029964353907|   0.828 -4.563    |8.61     |K7               |    ~     ~    
46  |HD 276385                                                                                                |Star                           |04 31 22.1588688840 +43 48 56.799138096|159.2151314474045 -03.0269020213480|   2.110 -1.395    |10.16    |A0               |    ~     ~    
47  |HD 28502                                                                                                 |Star                           |04 31 37.6534440408 +43 49 44.586294456|159.2372956401850 -02.9838208318404|   1.907 -1.420    |8.69     |A3               |    ~     ~    
48  |HD 276482                                                                                                |Star                           |04 32 04.0524219432 +43 42 57.768679512|159.3742867423864 -03.0028828819289|   1.263 -2.538    |8.70     |K0               |    ~     ~    
49  |HD 276481                                                                                                |Star                           |04 32 22.5549592008 +43 43 16.597038936|159.4084813442835 -02.9585449448859|   1.835 -1.255    |9.33     |A2               |    ~     ~    
50  |HD 276480                                                                                                |Star                           |04 32 39.4966657680 +43 46 25.353461712|159.4047974949646 -02.8854969122362|  -3.245 -2.532    |9.79     |A0               |    ~     ~    
51  |HD 28693                                                                                                 |High Proper Motion Star        |04 33 21.6082553952 +43 01 54.916278348|160.0365196308677 -03.2960935357237| 24.256 -59.912    |6.81     |F0               |    ~     ~    
52  |* m Per                                                                                                  |Star                           |04 33 24.9030370296 +43 03 50.015366964|160.0198144784739 -03.2670296795642|    5.370 5.311    |6.078    |F0V              |    ~     ~    
53  |HD 276476                                                                                                |Star                           |04 33 04.7763888936 +44 01 46.832029716|159.2686186211045 -02.6557635364902|   1.967 -1.265    |10.61    |A2               |    ~     ~    
54  |HD 276479                                                                                                |Star                           |04 32 43.3766826336 +43 48 47.669159376|159.3837461304495 -02.8500438010976|   4.159 -6.338    |10.80    |A                |    ~     ~    
55  |HD 276484                                                                                                |Star                           |04 33 35.3710296600 +43 32 25.065188808|159.6908672020792 -02.9205094195847|  -5.274 -6.083    |9.14     |F0               |    ~     ~    
56  |HD 276478                                                                                                |Double or Multiple Star        |04 33 57.9914 +43 48 57.274            |159.5342937 -02.6835438            |  -2.728 -4.810    |9.93     |K7               |    ~     ~    
57  |HD 28818                                                                                                 |Star                           |04 34 29.7679301856 +43 58 09.733486584|159.4859010315417 -02.5094257166251|   0.616 -3.562    |8.96     |A0               |    ~     ~    
58  |HD 276574                                                                                                |Star                           |04 36 53.1215961096 +43 53 54.998823671|159.8282699964713 -02.2392126214055|  -0.243 -8.734    |9.82     |F2               |    ~     ~    
59  |HD 276582                                                                                                |Star                           |04 39 19.3584066912 +43 17 40.495774236|160.5731208051334 -02.3143238171460|  -3.533 -1.225    |9.62     |B8               |    ~     ~    
60  |BSD 24-60                                                                                                |Star                           |04 39 24.0 +43 48 00                   |160.2048 -01.9677                  |            ~ ~    |10.90    |B8               |    ~     ~    
61  |HD 29373                                                                                                 |Be Star                        |04 39 32.9892118128 +43 39 33.111356724|160.3279987177232 -02.0411114843790|  -2.811 -2.670    |8.50     |B6V              |    ~     ~    
62  |HD 29494                                                                                                 |Star                           |04 40 37.8507525144 +43 21 49.766189688|160.6792708375115 -02.0904000927291|   5.506 -9.337    |8.77     |A7III            |    ~     ~    
63  |HD 28782                                                                                                 |Star                           |04 34 04.5047537760 +43 05 14.634514968|160.0843215435002 -03.1624740491355|  8.553 -25.063    |7.39     |A5               |    ~     ~    
64  |HD 276493                                                                                                |Star                           |04 35 18.0272973384 +43 04 49.485103680|160.2408572509538 -03.0022380363977|  -1.840 -0.876    |9.27     |B5               |    ~     ~    
65  |HD 276580                                                                                                |Star                           |04 37 31.5205412304 +43 15 41.855911956|160.3792569226131 -02.5799949958189|   -5.086 5.200    |9.53     |F0               |    ~     ~    
66  |HD 29430                                                                                                 |Star                           |04 40 05.9364516240 +43 15 56.276102160|160.6886952272264 -02.2279284799223|  -0.526 -3.262    |9.10     |F2III            |    ~     ~    
67  |HD 276575                                                                                                |Star                           |04 39 08.1331499832 +43 55 19.783142544|160.0817757527808 -01.9220049440747| -19.981 -8.226    |10.21    |K7               |    ~     ~    
68  |NGC 1605                           NGC 1605                                                              |Open Cluster                   |04 34 58.8 +45 16 08                   |158.5860 -01.5673                  |   0.990 -1.977    |10.7     |~                | 5.6   5.6     
69  |NGC 1582                           NGC 1582                                                              |Open Cluster                   |04 31 56.4 +43 43 05                   |159.3571 -03.0184                  |   2.216 -1.347    |7.0      |~                |31.7  31.7     
70  |HIP 21574                                                                                                |Star                           |04 37 58.5074818296 +43 35 42.497125548|160.1857298441018 -02.2962458197238|   -3.540 1.613    |10.37    |~                |    ~     ~    
71  |HD 276386                                                                                                |Star                           |04 31 19.9633363368 +43 48 38.684553552|159.2142902557007 -03.0351597435682|   2.024 -1.507    |10.35    |A0               |    ~     ~    
72  |HD 276388                                                                                                |Star                           |04 30 49.1463642216 +43 41 28.183150968|159.2380771901202 -03.1846228364198| 15.936 -10.254    |9.78     |K0               |    ~     ~    
73  |HD 276477                                                                                                |Star                           |04 35 18.7492107288 +43 44 16.801202976|159.7561841499097 -02.5571850676862|  -6.635 -6.356    |9.71     |M0               |    ~     ~    
74  |HD 276487                                                                                                |Star                           |04 32 28.4646775848 +43 24 35.925205752|159.6489287881663 -03.1574776856599|  11.454 -4.551    |9.66     |G0               |    ~     ~    
75  |HD 276488                                                                                                |Star                           |04 32 20.6731476552 +43 26 28.048843500|159.6100056831139 -03.1535346085243|   2.253 -1.488    |10.16    |B8               |    ~     ~    
76  |HD 276576                                                                                                |Star                           |04 37 58.4425900656 +43 27 11.277896292|160.2913276632938 -02.3912895329172|  -2.809 -2.541    |10.64    |A0               |    ~     ~    
77  |HD 276577                                                                                                |Star                           |04 39 22.6457010216 +43 27 39.191055660|160.4554546732792 -02.1962884718805|  -2.994 -8.327    |10.43    |A3               |    ~     ~    
78  |HD 276578                                                                                                |Star                           |04 38 28.5847535496 +43 31 31.901164284|160.2982761453705 -02.2751202979442|   0.035 -4.944    |10.66    |A                |    ~     ~    
79  |HD 276579                                                                                                |Star                           |04 38 39.9235118712 +43 13 58.271839032|160.5394804928074 -02.4446986895621|   1.317 -2.380    |10.16    |B5               |    ~     ~    
80  |HD 276581                                                                                                |Star                           |04 38 56.6784540120 +43 21 26.270149284|160.4804843604488 -02.3238947296771|   2.027 -3.520    |10.68    |B9               |    ~     ~    
81  |HD 276668                                                                                                |Star                           |04 39 50.5150817064 +43 22 52.473965052|160.5711009801652 -02.1861788062549|-13.852 -24.317    |10.05    |F2               |    ~     ~    
82  |HD 276669                                                                                                |Star                           |04 40 49.1743654488 +43 15 41.873572296|160.7786663867085 -02.1323022888618|  -4.618 -3.018    |9.40     |K5               |    ~     ~    
83  |BD+44 965                                                                                                |Star                           |04 31 10.8533403576 +45 16 31.817434368|158.1263602508693 -02.0528052269146|  -1.650 -5.281    |10.10    |~                |    ~     ~    
84  |BD+44 992                                                                                                |Star                           |04 35 52.6164538800 +44 49 51.326390172|159.0164038093876 -01.7458949270086|  9.157 -18.762    |10.20    |A0V              |    ~     ~    
85  |TYC 2892-48-1                                                                                            |delta Sct Variable             |04 34 51.8354629944 +44 21 56.443800816|159.2382826902846 -02.1928837056828|  6.046 -10.422    |10.764   |~                |    ~     ~    
86  |TYC 2892-119-1                                                                                           |Star                           |04 35 50.7994921920 +44 39 52.101286380|159.1358688033236 -01.8619864740315|    0.207 3.057    |10.71    |~                |    ~     ~    
87  |TYC 2892-357-1                                                                                           |Star                           |04 31 09.5007930768 +44 16 25.926518712|158.8545365777636 -02.7412706114336| 10.899 -16.311    |10.19    |~                |    ~     ~    
88  |TYC 2892-443-1                                                                                           |Star                           |04 35 04.9449332400 +44 56 26.867082696|158.8402801429405 -01.7756851306176|  7.533 -14.972    |10.14    |~                |    ~     ~    
89  |TYC 2892-473-1                                                                                           |Star                           |04 34 48.2614974696 +44 40 18.520632696|159.0053273203866 -01.9938006129190|  -0.485 -1.824    |10.20    |~                |    ~     ~    
90  |TYC 2892-476-1                                                                                           |Star                           |04 33 37.8149006928 +44 42 58.941668376|158.8310942800603 -02.1171163322514|  -1.671 -3.025    |10.73    |~                |    ~     ~    
91  |TYC 2892-676-1                                                                                           |Star                           |04 30 40.1657974200 +44 57 30.786485364|158.2955432357776 -02.3356825587604|   6.021 -8.410    |10.35    |~                |    ~     ~    
92  |TYC 2892-717-1                                                                                           |Star                           |04 30 13.5154 +44 08 27.477            |158.8367128 -02.9541246            |     -18.9 -6.4    |10.88    |~                |    ~     ~    
93  |TYC 2892-881-1                                                                                           |Star                           |04 31 49.0467592896 +44 15 28.243853712|158.9469852343315 -02.6660893507590|  -1.509 -3.048    |10.82    |~                |    ~     ~    
94  |TYC 2892-1032-1                                                                                          |Spectroscopic Binary           |04 34 53.5732109760 +44 41 40.381507788|158.9992011593155 -01.9668338303170| -3.689 -51.582    |10.62    |~                |    ~     ~    
95  |TYC 2892-1133-1                                                                                          |Star                           |04 31 11.2252024656 +44 00 43.151070312|159.0493009074474 -02.9166789624291|   2.151 -1.752    |10.65    |~                |    ~     ~    
96  |TYC 2892-1320-1                                                                                          |Star                           |04 34 46.1168733432 +44 01 43.770817524|159.4752199278383 -02.4331220138131|   1.949 -5.164    |10.54    |~                |    ~     ~    
97  |TYC 2892-1414-1                                                                                          |Star                           |04 33 01.6539429854 +43 42 22.812070817|159.4996734686647 -02.8824226048557|   2.095 -1.474    |10.75    |~                |    ~     ~    
98  |TYC 2892-1472-1                                                                                          |Star                           |04 36 10.4469804288 +44 01 25.418960868|159.6494716118123 -02.2499741426897|   -3.797 0.164    |10.14    |~                |    ~     ~    
99  |TYC 2892-1565-1                                                                                          |Star                           |04 31 14.5587225144 +44 02 26.917876176|159.0350873533989 -02.8896778209463|   8.771 -5.747    |10.75    |~                |    ~     ~    
100 |TYC 2892-1636-1                                                                                          |Star                           |04 34 48.0652432056 +43 27 53.990857260|159.8952684046619 -02.8097719178708|   2.586 -2.004    |10.34    |~                |    ~     ~    
101 |TYC 3342-1-1                                                                                             |Star                           |04 34 17.1064021392 +45 03 59.921011548|158.6521683261564 -01.7943700077084|  -0.493 -3.204    |10.54    |~                |    ~     ~    
102 |TYC 3342-28-1                                                                                            |Star                           |04 32 26.2907107896 +45 19 26.045752080|158.2421221831798 -01.8582815622957|  -1.957 -2.799    |10.81    |~                |    ~     ~    
103 |TYC 3342-111-1                                                                                           |Star                           |04 33 23.4569206008 +45 16 07.561441884|158.3966289247981 -01.7730416992903|   2.461 -1.171    |10.21    |~                |    ~     ~    
104 |TYC 3342-266-1                                                                                           |High Proper Motion Star        |04 33 05.5880776416 +45 10 23.016264924|158.4311877251724 -01.8765647221008| 23.292 104.385    |10.31    |~                |    ~     ~    
105 |TYC 3342-326-1                                                                                           |Star                           |04 31 38.0298631632 +45 12 22.737796740|158.2314369019305 -02.0419746393426|  -1.841 -2.991    |10.68    |~                |    ~     ~    
106 |TYC 3342-335-1                                                                                           |Star                           |04 31 02.2863330288 +45 09 00.403912332|158.2005770312187 -02.1569924662094| -19.848 18.985    |10.93    |~                |    ~     ~    
107 |TYC 3342-340-1                                                                                           |Star                           |04 34 42.5867918688 +45 24 07.916870808|158.4556940669297 -01.5122060385946|   3.568 -4.276    |10.93    |~                |    ~     ~    
108 |TYC 3342-739-1                                                                                           |Star                           |04 33 22.8049903440 +45 40 54.116569632|158.0922646749197 -01.4938387142274|   0.893 -2.661    |10.5     |~                |    ~     ~    
109 |TYC 3342-1322-1                                                                                          |Star                           |04 33 08.0200888488 +45 41 45.384249264|158.0525498089356 -01.5157137019839|  -1.010 -5.074    |10.37    |~                |    ~     ~    
110 |Cl* NGC 1582 BVC 1                                                                                       |Star                           |04 32 17.3901740040 +43 50 49.208011836|159.3057346729635 -02.8842565441993|   2.219 -6.007    |10.77    |~                |    ~     ~    
111 |TYC 2892-1756-1                                                                                          |Star                           |04 32 38.1153472584 +43 37 15.984000876|159.5139181909711 -02.9924027443392|   0.214 -2.288    |10.81    |B7V              |    ~     ~    
112 |TYC 2892-1694-1                                                                                          |Star                           |04 32 39.8936427024 +43 56 07.064613744|159.2870803119207 -02.7746454448678|  -4.381 -7.369    |10.92    |~                |    ~     ~    
113 |BD+50 1006                                                                                               |Star                           |04 30 28.4715458952 +50 55 10.584963156|153.9369086008125 +01.7320013271403|  5.583 -20.886    |9.78     |K0               |    ~     ~    
114 |HD 232967                                                                                                |Star                           |04 30 19.9230413784 +50 13 28.970451156|154.4267075371956 +01.2383946746265| 20.969 -26.710    |9.87     |~                |    ~     ~    
115 |HD 232969                                                                                                |Pulsating Variable             |04 30 34.1477471088 +50 13 38.344463904|154.4508563056687 +01.2677493824083|  -0.646 -3.702    |10.25    |~                |    ~     ~    
116 |HD 28794                                                                                                 |Star                           |04 34 45.9371785632 +50 07 28.247234304|154.9840429978816 +01.6895343694457| 14.427 -14.379    |7.08     |A0               |    ~     ~    
117 |BD+48 1104                                                                                               |Star                           |04 32 17.4094500672 +49 17 45.836946168|155.3202197645856 +00.8330855494320| 18.862 -27.892    |9.51     |G5               |    ~     ~    
118 |BD+48 1105                                                                                               |Star                           |04 33 04.1496728520 +49 02 57.449815728|155.5876155654928 +00.7581042459554|  8.911 -15.709    |9.66     |K                |    ~     ~    
119 |AG+48 500                                                                                                |Long-Period Variable Candidate |04 33 32.4825507384 +48 42 45.937534212|155.8871789938638 +00.5861899703775|   4.071 -8.979    |8.97     |M2               |    ~     ~    
120 |HD 28746                                                                                                 |High Proper Motion Star        |04 34 17.6987038032 +49 55 37.649935272|155.0782239787404 +01.5002919016811|18.821 -109.714    |9.54     |G5               |    ~     ~    
121 |BD+49 1203                                                                                               |Star                           |04 34 35.7126664848 +49 44 19.706241624|155.2496438032664 +01.4084135838793|   5.280 -8.438    |9.83     |A5               |    ~     ~    
122 |BD+49 1205                                                                                               |Star                           |04 34 49.5598767864 +49 34 16.398431580|155.3983740525423 +01.3225534677296|  -25.318 5.828    |10.29    |K5               |    ~     ~    
123 |HD 28802                                                                                                 |Star                           |04 34 49.5530564448 +49 36 39.710865528|155.3690262287034 +01.3494594343080|  -3.476 -1.018    |8.59     |K0               |    ~     ~    
124 |BD+49 1208                                                                                               |Star                           |04 35 13.9612627008 +49 32 59.429826708|155.4587149334995 +01.3567204535744|  -0.131 -4.195    |10.16    |A0               |    ~     ~    
125 |HD 28909                                                                                                 |Star                           |04 35 44.5201875240 +48 47 22.867910052|156.0760664623567 +00.9052839619215|  6.230 -10.607    |8.75     |A0               |    ~     ~    
126 |HD 29002                                                                                                 |Star                           |04 36 26.9761350432 +49 14 16.397428560|155.8227357887233 +01.2928331708423| -18.552 -2.576    |8.90     |F2               |    ~     ~    
127 |BD+48 1117                                                                                               |Spectroscopic Binary           |04 36 50.9950423776 +48 59 35.988078300|156.0479283203223 +01.1770252930411| 34.147 -51.186    |9.22     |G0               |    ~     ~    
128 |BD+48 1103                                                                                               |Star                           |04 31 58.0 +48 48 00                   |155.6465 +00.4557                  |            ~ ~    |9.5      |~                |    ~     ~    
129 |TYC 3346-23-1                                                                                            |Spectroscopic Binary           |04 31 51.3116993376 +48 42 20.073619764|155.7028695396500 +00.3777136925959|  -2.485 -2.578    |10.66    |~                |    ~     ~    
130 |TYC 3346-116-1                                                                                           |Star                           |04 30 45.3873783000 +48 39 51.919166772|155.6086771435706 +00.2173760749430|    2.660 1.944    |10.98    |~                |    ~     ~    
131 |TYC 3350-75-1                                                                                            |Spectroscopic Binary           |04 32 40.1156590344 +50 25 17.411127384|154.5383296290394 +01.6450414541926|   0.022 -4.633    |10.58    |~                |    ~     ~    
132 |TYC 3350-133-1                                                                                           |Star                           |04 32 04.5642160080 +50 17 09.551233860|154.5730015518331 +01.4834974823103| -14.539 10.138    |10.90    |~                |    ~     ~    
133 |TYC 3350-134-1                                                                                           |High Proper Motion Star        |04 33 18.7814880744 +49 43 03.429403716|155.1246331076634 +01.2417887956347| 31.505 -66.052    |10.72    |~                |    ~     ~    
134 |TYC 3350-351-1                                                                                           |Star                           |04 30 57.9725566968 +50 13 58.301015268|154.4903874391828 +01.3177646667407|   1.008 -4.042    |10.98    |~                |    ~     ~    
135 |TYC 3350-419-1                                                                                           |Star                           |04 31 07.9686639648 +50 04 15.014319060|154.6267177111790 +01.2261827065332|   2.709 -7.180    |10.25    |~                |    ~     ~    
136 |TYC 3350-444-1                                                                                           |Star                           |04 31 47.9436614904 +49 54 08.429212692|154.8229162127526 +01.1889911163880| 11.023 -22.157    |10.68    |~                |    ~     ~    
137 |TYC 3350-561-1                                                                                           |Star                           |04 31 42.1053245208 +50 24 03.249372240|154.4482394231426 +01.5183878696910|   5.664 -2.448    |10.01    |~                |    ~     ~    
138 |TYC 3350-583-1                                                                                           |Star                           |04 32 42.0687115872 +49 59 12.757587936|154.8601578747911 +01.3527666735665| 10.531 -22.627    |10.67    |~                |    ~     ~    
139 |TYC 3350-655-1                                                                                           |Star                           |04 30 56.4610238520 +49 58 29.457525108|154.6755255786509 +01.1379698161063|   4.490 -7.176    |10.58    |~                |    ~     ~    
140 |TYC 3350-656-1                                                                                           |Star                           |04 35 24.5508591576 +49 00 53.736885504|155.8728626219594 +01.0168411395141|  -2.261 -2.878    |10.05    |~                |    ~     ~    
141 |TYC 3350-730-1                                                                                           |Star                           |04 30 51.3622098192 +49 00 52.127635896|155.3651962337307 +00.4694242514674|    2.376 0.253    |10.95    |~                |    ~     ~    
142 |TYC 3350-737-1                                                                                           |Star                           |04 30 13.4269664016 +49 56 58.494901956|154.6147195693645 +01.0367397299286|  -1.393 -9.332    |10.94    |~                |    ~     ~    
143 |TYC 3350-852-1                                                                                           |Star                           |04 35 22.2615016440 +49 18 38.357949384|155.6504016197467 +01.2118382392989|  4.641 -40.937    |10.21    |~                |    ~     ~    
144 |TYC 3350-876-1                                                                                           |Spectroscopic Binary           |04 38 13.1302133400 +48 58 22.560934188|156.2135515231406 +01.3301355533543|  -4.858 -5.747    |10.26    |~                |    ~     ~    
