C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:06:03

Vmag< 11&dec >=0&rah >=4.5&rah< 4.75
------------------------------------

Number of objects : 3770

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------
356 |TYC 3354-399-1                                                                                           |Star                           |04 30 30.1481836584 +52 15 52.028513676|152.9608433301581 +02.6579295055638| 15.062 -39.562    |10.79    |~                |    ~     ~    
357 |TYC 3354-422-1                                                                                           |Star                           |04 35 09.0600484440 +52 27 08.836706664|153.3061866517276 +03.3060962749912|  -4.897 -1.052    |10.69    |~                |    ~     ~    
358 |TYC 3354-493-1                                                                                           |Star                           |04 31 52.7834911824 +52 28 14.763558576|152.9541859392463 +02.9524127938204|  -2.101 -7.142    |10.67    |~                |    ~     ~    
359 |TYC 3354-495-1                                                                                           |Star                           |04 32 36.4194894552 +51 52 23.022740280|153.4681389793825 +02.6265846602571|  -4.798 -7.521    |9.94     |~                |    ~     ~    
360 |TYC 3354-502-1                                                                                           |Star                           |04 30 13.5552131136 +51 39 18.776171052|153.3750722782376 +02.2088093100141|  -15.080 1.923    |10.92    |~                |    ~     ~    
361 |TYC 3354-504-1                                                                                           |Star                           |04 34 25.2415110840 +52 27 34.933006260|153.2255854229759 +03.2289262936093|  4.154 -13.173    |9.89     |~                |    ~     ~    
362 |TYC 3355-93-1                                                                                            |Star                           |04 43 19.6420431166 +51 54 07.652165530|154.5526303315002 +03.8773951187234| -2.488 -14.938    |10.33    |~                |    ~     ~    
363 |TYC 3355-159-1                                                                                           |Star                           |04 42 30.8093577984 +51 57 18.101220876|154.4301760388295 +03.8172838367796| -14.678 12.042    |10.33    |~                |    ~     ~    
364 |TYC 3732-70-1                                                                                            |Pulsating Variable             |04 33 54.5896932936 +53 59 30.052949028|152.0428900801994 +04.2086968177774|   1.011 -3.388    |10.84    |~                |    ~     ~    
365 |TYC 3732-124-1                                                                                           |Star                           |04 33 06.3378572856 +53 50 42.217258920|152.0705821457551 +04.0222709309534|   6.171 -9.601    |9.98     |~                |    ~     ~    
366 |TYC 3732-126-1                                                                                           |High Proper Motion Star        |04 37 52.0981183944 +53 46 34.457220372|152.5958361097423 +04.4962082232425| 35.968 -46.776    |9.81     |~                |    ~     ~    
367 |TYC 3732-171-1                                                                                           |Spectroscopic Binary           |04 31 06.6152280480 +53 58 27.276097944|151.7751660069775 +03.8950688683222|  -1.727 -7.537    |9.84     |~                |    ~     ~    
368 |TYC 3732-186-1                                                                                           |Star                           |04 36 59.3875280376 +54 17 53.190028824|152.1196270212570 +04.7485596936767| -16.034 -8.562    |10.16    |~                |    ~     ~    
369 |TYC 3732-187-1                                                                                           |Star                           |04 33 40.0522518048 +54 02 12.075336528|151.9855143903928 +04.2129511475925|   1.039 -3.498    |10.58    |~                |    ~     ~    
370 |TYC 3732-235-1                                                                                           |Star                           |04 33 16.6696912368 +53 46 39.484644780|152.1375279011110 +03.9952064457297|   1.141 -1.862    |9.67     |~                |    ~     ~    
371 |TYC 3732-241-1                                                                                           |Star                           |04 33 24.0298175544 +54 05 37.654692828|151.9167799982268 +04.2228083961870|   -3.487 2.861    |9.55     |~                |    ~     ~    
372 |TYC 3732-260-1                                                                                           |Spectroscopic Binary           |04 39 29.2460573184 +52 54 32.334339708|153.4065577209378 +04.1000336749503|  -7.498 -2.577    |10.75    |~                |    ~     ~    
373 |TYC 3732-326-1                                                                                           |Star                           |04 34 41.7012823224 +53 34 23.058833232|152.4308696363531 +04.0113875345933| 22.575 -10.732    |9.81     |~                |    ~     ~    
374 |TYC 3732-402-1                                                                                           |Emission-line Star             |04 31 03.6102442944 +53 51 01.603450368|151.8606774417189 +03.8050628214472|  5.516 -10.199    |10.96    |~                |    ~     ~    
375 |TYC 3732-407-1                                                                                           |Spectroscopic Binary           |04 33 04.1343819888 +53 18 53.768923812|152.4570426254325 +03.6584296010095| -13.416 11.034    |10.50    |~                |    ~     ~    
376 |TYC 3732-525-1                                                                                           |Star                           |04 35 58.1407004592 +53 30 22.079567448|152.6082314630377 +04.1062833134685| 16.875 -31.307    |10.15    |~                |    ~     ~    
377 |TYC 3732-553-1                                                                                           |Star                           |04 38 02.3392191576 +53 20 37.850923140|152.9360260883192 +04.2268675840299|  7.698 -46.284    |10.66    |~                |    ~     ~    
378 |TYC 3732-617-1                                                                                           |Star                           |04 38 03.8271101856 +53 14 21.012041796|153.0167447374671 +04.1598568168889| -0.305 -29.169    |10.85    |~                |    ~     ~    
379 |TYC 3732-647-1                                                                                           |High Proper Motion Star        |04 33 22.6019197272 +53 43 38.436134412|152.1845151907789 +03.9718471879456| 32.476 -52.770    |10.81    |~                |    ~     ~    
380 |TYC 3732-684-1                                                                                           |Star                           |04 32 00.8155166976 +52 44 28.653244620|152.7699797681594 +03.1518146732986| 17.230 -25.637    |10.15    |~                |    ~     ~    
381 |TYC 3732-699-1                                                                                           |Star                           |04 37 48.0869921496 +53 34 03.828660240|152.7450622342079 +04.3497923746294|  -0.392 -3.718    |10.64    |~                |    ~     ~    
382 |TYC 3732-730-1                                                                                           |Star                           |04 38 57.7254645960 +53 29 29.469814692|152.9172366973711 +04.4277963417922|    0.070 0.273    |10.85    |~                |    ~     ~    
383 |TYC 3732-780-1                                                                                           |Star                           |04 31 36.8595517224 +52 32 58.406429688|152.8689315625541 +02.9766952484999| -0.701 -16.823    |10.46    |~                |    ~     ~    
384 |TYC 3732-833-1                                                                                           |Star                           |04 34 51.9811464432 +52 56 44.041884252|152.9123437128920 +03.6068811696743|  2.300 -10.322    |9.83     |~                |    ~     ~    
385 |TYC 3732-853-1                                                                                           |Star                           |04 37 09.8694144600 +52 36 24.133724640|153.3978114963589 +03.6365550962968|  -3.711 -1.032    |10.96    |~                |    ~     ~    
386 |TYC 3732-910-1                                                                                           |Star                           |04 39 23.1705361800 +53 13 27.688790352|153.1597747587126 +04.2978170903050|   0.340 -6.176    |10.20    |~                |    ~     ~    
387 |TYC 3732-914-1                                                                                           |Double or Multiple Star        |04 30 09.590064 +52 50 22.38828        |152.506189253 +03.014649316        |       0.4 -1.0    |10.412   |~                |    ~     ~    
388 |TYC 3732-917-1                                                                                           |Star                           |04 33 30.2901375552 +53 14 44.217979116|152.5523706610330 +03.6592670118885|   0.367 -9.434    |10.06    |~                |    ~     ~    
389 |TYC 3732-921-1                                                                                           |Star                           |04 39 20.2158203976 +52 55 24.514546980|153.3805945720333 +04.0926728854778|   -5.229 1.156    |10.76    |~                |    ~     ~    
390 |TYC 3732-988-1                                                                                           |Star                           |04 33 49.6611641088 +52 43 14.067160968|152.9721676183289 +03.3391769381287| -0.515 -39.354    |10.60    |~                |    ~     ~    
391 |TYC 3732-1020-1                                                                                          |Spectroscopic Binary           |04 39 54.4404365016 +52 32 19.135591116|153.7267781523324 +03.9021775413599|   -4.921 2.264    |10.67    |~                |    ~     ~    
392 |TYC 3733-235-1                                                                                           |Star                           |04 42 09.2369534904 +53 00 12.667197204|153.6010475702094 +04.4641737156214|  -5.313 -4.680    |10.23    |~                |    ~     ~    
393 |TYC 3733-477-1                                                                                           |Star                           |04 41 40.0794310248 +52 40 32.345280732|153.8005182919451 +04.1933962164738|  1.716 -25.360    |10.72    |~                |    ~     ~    
394 |TYC 3733-660-1                                                                                           |Spectroscopic Binary           |04 41 06.1436182296 +53 15 34.651013400|153.3034748718153 +04.5137856402290| 15.279 -24.611    |10.07    |~                |    ~     ~    
395 |HD 28618                                                                                                 |Double or Multiple Star        |04 33 15.71207 +51 02 51.0191          |154.14323670 +02.13977691          |    5.89 -62.72    |8.734    |F8               |    ~     ~    
396 |HD 232976                                                                                                |Star                           |04 33 46.5161505960 +51 07 18.530483088|154.1434225502708 +02.2494231602702|  12.928 -3.122    |10.27    |G5               |    ~     ~    
397 |HD 28771                                                                                                 |Star                           |04 34 39.1384180125 +51 00 11.406425046|154.3241813704667 +02.2704518437299|  7.381 -38.650    |7.88     |F0               |    ~     ~    
398 |TYC 3354-730-1                                                                                           |High Proper Motion Star        |04 34 46.3203819192 +51 00 41.115662424|154.3308358071259 +02.2899053290252|-49.772 -89.631    |10.840   |~                |    ~     ~    
399 |BD+50 1018                                                                                               |Star                           |04 35 25.5093625224 +50 25 13.874760840|154.8368471110047 +01.9671699945671|  -0.030 -0.870    |10.73    |B                |    ~     ~    
400 |HD 28908                                                                                                 |Double or Multiple Star        |04 35 47.8540937976 +50 36 38.020340160|154.7363073614988 +02.1389980716696|  -4.032 24.857    |9.17     |G0               |0.0017  0.0    
401 |HD 29131                                                                                                 |Star                           |04 37 38.9852383968 +49 51 37.338209388|155.4915660743926 +01.8547832172414|  -12.649 4.612    |9.12     |F8               |    ~     ~    
402 |BD+49 1213                                                                                               |Star                           |04 38 21.4719326616 +50 05 25.067266044|155.3965887314047 +02.0931465189378| 13.941 -22.561    |10.72    |F5               |    ~     ~    
403 |LS V +49 18                                                                                              |Star                           |04 38 43.2305537880 +50 03 46.669904244|155.4558030375137 +02.1182603756980|   0.366 -2.646    |10.90    |B                |    ~     ~    
404 |BD+49 1219                                                                                               |Star                           |04 39 53.3673020448 +49 36 47.182950936|155.9173468608368 +01.9596985963260|   1.509 -1.679    |8.83     |K0               |    ~     ~    
405 |IRAS 04351+4950                                                                                          |Star                           |04 38 54.7945020432 +49 56 06.001041768|155.5719279936235 +02.0560765231309|   -1.033 1.496    |10.01    |~                |    ~     ~    
406 |BD+50 1023                                                                                               |Spectroscopic Binary           |04 38 16.4779848384 +50 30 21.608978796|155.0779450782114 +02.3607430352201|   0.919 -9.188    |9.74     |G5               |    ~     ~    
407 |HD 29307                                                                                                 |High Proper Motion Star        |04 39 43.2814083768 +51 12 29.458144764|154.7054715625485 +02.9985115860858| 48.018 -33.613    |8.86     |F8               |    ~     ~    
408 |BD+50 1027                                                                                               |Star                           |04 39 42.9914971584 +51 14 16.519024464|154.6826922877262 +03.0176824492109|   -1.806 1.077    |10.54    |F8               |    ~     ~    
409 |HD 29372                                                                                                 |Star                           |04 40 14.7303245016 +51 06 25.728804720|154.8357746012348 +02.9930417098462| -2.171 -12.144    |8.33     |K0               |    ~     ~    
410 |BD+50 1029                                                                                               |Star                           |04 40 22.1847280824 +50 53 05.298865044|155.0155388866432 +02.8604256895800|  7.289 -10.278    |9.99     |A0               |    ~     ~    
411 |HD 232988                                                                                                |Star                           |04 41 11.8632229392 +51 11 25.109288592|154.8721812325699 +03.1600566123480| 23.726 -40.340    |10.21    |G5               |    ~     ~    
412 |HD 232990                                                                                                |Star                           |04 42 16.7883948192 +51 04 46.930117008|155.0675174317069 +03.2149189823552|  -7.188 -8.386    |9.91     |F5               |    ~     ~    
413 |HD 232993                                                                                                |Star                           |04 43 15.8309912136 +50 46 47.150565456|155.3960915166108 +03.1350757650834|  -1.704 -1.218    |9.26     |K2               |    ~     ~    
414 |HD 232994                                                                                                |Star                           |04 43 19.0736277504 +50 47 38.436452160|155.3909148389812 +03.1508616632910|  -6.007 -9.471    |8.71     |K2               |    ~     ~    
415 |HD 232998                                                                                                |Star                           |04 44 29.5425350328 +50 22 07.144572288|155.8353383020622 +03.0139328496831|  -1.754 -5.824    |8.97     |K0               |    ~     ~    
416 |HD 232999                                                                                                |Emission-line Star             |04 44 41.1829535160 +50 32 01.728491136|155.7300949986944 +03.1450362824569|   1.289 -2.088    |9.370    |B1IV             |    ~     ~    
417 |BD+49 1224                                                                                               |Star                           |04 41 34.0481922672 +50 13 20.421643440|155.6391309411548 +02.5653712038309| -14.665 -8.292    |9.48     |~                |    ~     ~    
418 |BD+49 1221                                                                                               |Star                           |04 40 51.7912516176 +50 02 33.453899412|155.6995772995153 +02.3619307229971|  -13.834 6.776    |10.19    |G0               |    ~     ~    
419 |HD 29486                                                                                                 |High Proper Motion Star        |04 41 04.9645394424 +50 03 58.764173976|155.7051011718149 +02.4040387348083| 48.716 -77.576    |8.07     |F5               |    ~     ~    
420 |HD 29600                                                                                                 |Star                           |04 42 10.5200042520 +49 55 11.342344548|155.9312426418003 +02.4394091756819|  8.082 -27.140    |7.68     |A0               |    ~     ~    
421 |BD+49 1227                                                                                               |Star                           |04 42 11.7119276856 +49 41 01.215073536|156.1112777423066 +02.2863800795127|  0.282 -42.209    |9.76     |G0               |    ~     ~    
422 |BD+49 1228                                                                                               |Star                           |04 42 32.6980223136 +50 04 32.321993160|155.8528603866696 +02.5866466127496| -6.760 -12.579    |9.48     |F2               |    ~     ~    
423 |HD 29721                                                                                                 |Star                           |04 43 21.5945231424 +49 58 25.636438704|156.0157819951228 +02.6185627254961| -5.057 -15.071    |5.856    |B9III            |    ~     ~    
424 |BD+49 1231                                                                                               |High Proper Motion Star        |04 43 34.4658071856 +49 48 02.353061016|156.1693879542179 +02.5312571330406| 52.455 -36.516    |8.63     |G5               |    ~     ~    
425 |BD+48 1133                                                                                               |Star                           |04 43 00.8574434928 +49 12 32.668454880|156.5567630719865 +02.0747284466530|   0.166 -7.836    |10.41    |K0               |    ~     ~    
426 |IRAS 04367+5119                                                                                          |Star                           |04 40 36.6300254160 +51 25 05.215629252|154.6401749089781 +03.2416692788298|  19.904 -6.369    |9.79     |~                |    ~     ~    
427 |HD 29282                                                                                                 |High Proper Motion Star        |04 39 18.9892336584 +51 38 51.646128144|154.3344075262366 +03.2431740670573| 24.643 -46.908    |8.86     |G0               |    ~     ~    
428 |HD 232986                                                                                                |Star                           |04 40 34.1712668424 +51 42 31.699409796|154.4175379785939 +03.4291308150397|  3.439 -18.184    |10.50    |A7               |    ~     ~    
429 |BD+50 1032                                                                                               |Star                           |04 41 43.0432454592 +50 39 12.290955048|155.3304051205002 +02.8675267596974| 29.287 -26.006    |10.48    |~                |    ~     ~    
430 |TYC 3350-179-1                                                                                           |High Proper Motion Star        |04 38 41.9217327504 +50 13 46.326480276|155.3292204113539 +02.2266950114459| 32.604 -72.003    |10.04    |~                |    ~     ~    
431 |TYC 3350-189-1                                                                                           |Star                           |04 38 02.2229860248 +50 11 20.065238916|155.2887909595725 +02.1207468946871|  -3.269 -3.383    |10.73    |~                |    ~     ~    
432 |TYC 3350-223-1                                                                                           |Star                           |04 39 57.6253088592 +50 09 05.820526476|155.5218736267419 +02.3256825585547|   5.013 -5.832    |10.93    |~                |    ~     ~    
433 |TYC 3350-477-1                                                                                           |Star                           |04 40 05.9713035384 +50 05 21.271582104|155.5833883681633 +02.3009872814919| 14.119 -17.865    |10.60    |~                |    ~     ~    
434 |TYC 3350-483-1                                                                                           |Star                           |04 39 03.9529095096 +49 59 19.952358756|155.5480730434180 +02.1102693517559|   1.450 -4.010    |10.55    |~                |    ~     ~    
435 |TYC 3350-643-1                                                                                           |Star                           |04 36 45.2246346576 +50 22 50.660408712|155.0088509440626 +02.0970079958845|   4.319 -7.601    |10.51    |~                |    ~     ~    
436 |TYC 3350-795-1                                                                                           |Star                           |04 40 19.6186731888 +48 53 16.982053764|156.5074602255862 +01.5320370575675| -11.368 -1.763    |10.91    |~                |    ~     ~    
437 |TYC 3350-864-1                                                                                           |Star                           |04 38 06.8741309400 +49 04 24.429272196|156.1273265404471 +01.3845936030795|   3.052 -4.990    |10.79    |~                |    ~     ~    
438 |TYC 3350-888-1                                                                                           |Star                           |04 39 52.1328672456 +49 50 08.524324356|155.7485746142288 +02.1049958103989|    3.152 3.019    |10.62    |~                |    ~     ~    
439 |TYC 3351-138-1                                                                                           |Star                           |04 42 12.3605751384 +49 35 18.740554404|156.1840996182364 +02.2250749776314|  -0.607 -6.674    |10.12    |~                |    ~     ~    
440 |TYC 3351-157-1                                                                                           |Star                           |04 44 53.9261139473 +50 26 59.374673142|155.8159475985756 +03.1159467173118| 23.387 -31.783    |10.16    |~                |    ~     ~    
441 |TYC 3351-214-1                                                                                           |Star                           |04 44 07.5880741320 +49 21 21.721500180|156.5645419202726 +02.3080390866603|  -8.564 -2.668    |10.24    |~                |    ~     ~    
442 |TYC 3351-321-1                                                                                           |Star                           |04 43 10.7974105656 +50 11 09.714211800|155.8363701590209 +02.7358765075801|  -0.963 -0.544    |10.97    |~                |    ~     ~    
443 |TYC 3351-431-1                                                                                           |Star                           |04 42 31.4490426864 +50 32 52.213894404|155.4943506599780 +02.8944475764509|  9.738 -38.379    |10.47    |~                |    ~     ~    
444 |TYC 3351-1136-1                                                                                          |Star                           |04 44 46.9120670280 +49 17 04.218149472|156.6885533926441 +02.3422378364434|   -6.705 2.210    |10.17    |~                |    ~     ~    
445 |TYC 3351-1141-1                                                                                          |Spectroscopic Binary           |04 41 56.9767769160 +49 43 55.899295608|156.0485650042503 +02.2884571077488|   0.721 -2.527    |10.29    |~                |    ~     ~    
446 |TYC 3351-1337-1                                                                                          |Star                           |04 43 05.3037603120 +49 41 25.513233468|156.2012048141311 +02.3997055663676|   2.018 -2.440    |10.61    |~                |    ~     ~    
447 |TYC 3351-1384-1                                                                                          |Star                           |04 42 39.2118146136 +49 16 15.503057076|156.4713560904042 +02.0709891044436|   2.885 -7.526    |10.65    |~                |    ~     ~    
448 |TYC 3354-140-1                                                                                           |Star                           |04 33 38.0349327096 +51 23 48.237914328|153.9262674388080 +02.4196914808739|    0.782 0.884    |10.01    |~                |    ~     ~    
449 |TYC 3354-208-1                                                                                           |Star                           |04 40 23.1944322312 +51 26 03.078247920|154.6049722528840 +03.2261298727699|   -0.257 0.376    |10.72    |~                |    ~     ~    
450 |TYC 3354-298-1                                                                                           |Star                           |04 33 27.0981540312 +51 22 44.612525208|153.9199373712439 +02.3868119805501|   0.108 -1.643    |10.34    |~                |    ~     ~    
451 |TYC 3354-372-1                                                                                           |Star                           |04 34 36.9029921928 +51 21 33.104988864|154.0577078652689 +02.5068940206221|   1.342 -5.376    |10.41    |~                |    ~     ~    
452 |TYC 3354-397-1                                                                                           |Star                           |04 40 15.6910411968 +51 27 33.805870848|154.5731336736974 +03.2282114404271| 16.667 -29.541    |10.07    |~                |    ~     ~    
453 |TYC 3354-737-1                                                                                           |Star                           |04 39 29.3277966096 +51 06 38.533470336|154.7542160322616 +02.9065225204959|  -4.826 -1.076    |10.32    |~                |    ~     ~    
454 |TYC 3354-766-1                                                                                           |Star                           |04 32 27.1792134456 +51 05 08.986681464|154.0285935003029 +02.0727519604674|    8.248 2.320    |10.71    |~                |    ~     ~    
455 |TYC 3355-83-1                                                                                            |Star                           |04 42 42.3166754688 +51 37 36.186683664|154.6979533310359 +03.6242448154640|  -5.503 -3.262    |10.21    |~                |    ~     ~    
456 |TYC 3355-198-1                                                                                           |Star                           |04 43 58.3171062504 +51 35 39.455824776|154.8514855413583 +03.7517159732663|  -0.531 -2.576    |10.68    |~                |    ~     ~    
457 |TYC 3355-222-1                                                                                           |Star                           |04 42 11.5230253512 +51 31 07.885380108|154.7269870064590 +03.4932727253866|   3.585 -0.949    |10.13    |~                |    ~     ~    
458 |TYC 3355-289-1                                                                                           |Star                           |04 42 47.1556078152 +51 48 00.797097204|154.5749170776023 +03.7474680260601|   29.021 4.933    |10.93    |~                |    ~     ~    
459 |TYC 3355-341-1                                                                                           |Star                           |04 44 50.2435795800 +51 12 11.462041764|155.2368532560757 +03.5991067539021|  4.151 -13.136    |10.63    |~                |    ~     ~    
460 |TYC 3355-520-1                                                                                           |Star                           |04 44 35.0755391328 +51 49 33.622778388|154.7374209835182 +03.9747541108951|  44.112 18.550    |10.46    |~                |    ~     ~    
461 |TYC 3355-603-1                                                                                           |Star                           |04 42 04.3177251456 +51 39 59.199504408|154.6032841865082 +03.5762525198538|  -4.802 -7.037    |9.81     |~                |    ~     ~    
462 |TYC 3355-677-1                                                                                           |Star                           |04 44 04.4591799288 +50 37 43.294202436|155.5945953447469 +03.1333094176037|   29.796 7.772    |10.76    |~                |    ~     ~    
463 |TYC 3355-720-1                                                                                           |Star                           |04 42 44.5373227752 +51 07 17.188867308|155.0837577847312 +03.2970811534388|   1.645 -1.359    |10.57    |~                |    ~     ~    
464 |HD 29526                                                                                                 |High Proper Motion Star        |04 41 24.1285097472 +48 18 03.165290280|157.0654512739217 +01.2766824871383| 44.219 -45.104    |5.652    |A0V              |    ~     ~    
465 |HD 29456                                                                                                 |High Proper Motion Star        |04 40 45.1527688704 +48 13 33.886912620|157.0500439557425 +01.1461242863853| 23.095 -45.988    |8.49     |F2               |    ~     ~    
466 |HD 29661                                                                                                 |Star                           |04 42 37.5748990224 +48 08 03.698788308|157.3251470560354 +01.3202578165492| -11.623 -3.108    |8.70     |G5               |    ~     ~    
467 |HD 29771                                                                                                 |Star                           |04 43 45.1159922160 +48 11 18.870826992|157.4074746887949 +01.4974674423688| 17.210 -23.044    |8.36     |A2               |    ~     ~    
468 |HD 29827                                                                                                 |High Proper Motion Star        |04 44 21.4314703896 +48 10 32.717619768|157.4832043853398 +01.5653827390778| 29.823 -73.643    |6.77     |K0               |    ~     ~    
469 |BD+47 1026                                                                                               |Star                           |04 43 40.6599748776 +47 20 51.864565524|158.0346900442691 +00.9371631229571|  9.606 -12.507    |9.33     |F0               |    ~     ~    
470 |HD 29818                                                                                                 |High Proper Motion Star        |04 44 11.1411025176 +46 57 55.344321468|158.3802848969159 +00.7520874795069|80.589 -120.249    |8.770    |G5               |    ~     ~    
471 |BD+46 904                                                                                                |Star                           |04 44 36.1672699680 +46 48 18.394258716|158.5481685117847 +00.7012610621968|  -5.218 -0.360    |10.44    |A2               |    ~     ~    
472 |V* V420 Per                                                                                              |Long-Period Variable Candidate |04 44 12.1264349928 +48 44 42.141284952|157.0353403869571 +01.9180149035714|   1.233 -4.942    |10.59    |M5               |    ~     ~    
473 |BD+48 1129                                                                                               |Star                           |04 41 39.1918435320 +48 56 06.952711668|156.6162315225864 +01.7266908707198|   5.201 -8.087    |10.07    |K0               |    ~     ~    
474 |TYC 3346-11-1                                                                                            |Star                           |04 40 09.4545406704 +48 43 04.410961896|156.6163313721093 +01.3982952397908| -1.238 -44.774    |10.07    |~                |    ~     ~    
475 |TYC 3346-468-1                                                                                           |Star                           |04 40 03.3023788416 +48 29 59.262365400|156.7682628189121 +01.2408703668479| 17.834 -35.607    |9.83     |~                |    ~     ~    
476 |TYC 3346-691-1                                                                                           |Star                           |04 40 58.9416153192 +48 21 09.127026288|156.9805434455780 +01.2584816949051|  -5.397 -5.764    |9.88     |~                |    ~     ~    
477 |TYC 3347-22-1                                                                                            |Star                           |04 42 08.5325662992 +48 41 57.420692088|156.8468342676511 +01.6316372929129|   1.483 -2.059    |9.99     |~                |    ~     ~    
478 |TYC 3347-121-1                                                                                           |Star                           |04 44 24.8745086160 +48 40 20.730284220|157.1132541174565 +01.8970964762585|  10.190 -0.658    |9.82     |~                |    ~     ~    
479 |TYC 3347-338-1                                                                                           |Star                           |04 43 04.8703155888 +48 17 20.703903360|157.2583034945568 +01.4790589961931|   4.281 -4.465    |10.96    |~                |    ~     ~    
480 |TYC 3347-629-1                                                                                           |Star                           |04 44 17.0487100776 +47 38 20.553037044|157.8814963215669 +01.2052899661878|    1.403 1.708    |10.52    |~                |    ~     ~    
481 |TYC 3347-663-1                                                                                           |Star                           |04 42 48.1218728400 +48 29 20.045195736|157.0771364557878 +01.5753723454870|   1.098 -0.009    |10.72    |~                |    ~     ~    
482 |TYC 3347-1114-1                                                                                          |Star                           |04 43 28.5528502848 +48 33 19.081169028|157.1002871444568 +01.7031334892979|   1.048 -2.126    |9.81     |~                |    ~     ~    
483 |TYC 3347-1505-1                                                                                          |Star                           |04 42 58.6001292120 +47 52 11.605056240|157.5630440636314 +01.1905938379894| 22.157 -19.612    |9.60     |~                |    ~     ~    
484 |TYC 3347-1506-1                                                                                          |Star                           |04 41 29.7801379272 +48 07 24.598735500|157.2090262666538 +01.1713003472448| 16.827 -35.629    |9.62     |~                |    ~     ~    
485 |TYC 3347-1599-1                                                                                          |Star                           |04 44 17.2496820648 +47 39 42.775252236|157.8645795625769 +01.2206494152103|  -1.024 -2.606    |10.87    |~                |    ~     ~    
486 |HD 28175                                                                                                 |Star                           |04 30 37.7334382752 +62 04 11.453499084|145.7555387904327 +09.3556439694045| -14.256 -5.030    |8.87     |A5               |    ~     ~    
487 |HD 28224                                                                                                 |Star                           |04 30 54.8130033600 +61 36 03.284135604|146.1286794323589 +09.0634762620204|  -18.547 0.201    |8.53     |A5               |    ~     ~    
488 |BD+60 816                                                                                                |Star                           |04 33 58.3451913288 +60 41 57.272106804|147.0553175185948 +08.7302908952744|   -1.782 1.594    |10.37    |A0               |    ~     ~    
489 |BD+60 817                                                                                                |Star                           |04 34 07.7116821768 +61 06 29.225225268|146.7603884241110 +09.0177392817474|  6.815 -20.491    |9.27     |A2               |    ~     ~    
490 |BD+60 818                                                                                                |Star                           |04 34 11.4557387976 +60 44 17.318075928|147.0441287242737 +08.7761701392307|  2.347 -36.191    |9.91     |G5               |    ~     ~    
491 |HD 237272                                                                                                |Star                           |04 30 56.3786094312 +60 18 47.233222596|147.0898311915976 +08.1943274983765| 13.061 -18.709    |9.84     |G5               |    ~     ~    
492 |HD 237278                                                                                                |Star                           |04 33 06.5727286176 +60 18 35.251077960|147.2755176211354 +08.3903820142328| -6.625 -11.845    |9.00     |K0               |    ~     ~    
493 |TYC 4065-71-1                                                                                            |Spectroscopic Binary           |04 31 29.8549355664 +61 41 27.889467288|146.1087006017518 +09.1755005674133| -20.142 -3.928    |10.63    |~                |    ~     ~    
494 |TYC 4065-305-1                                                                                           |Star                           |04 32 15.3314891448 +61 51 39.114888840|146.0425607339242 +09.3560441675515| 24.272 -24.644    |9.99     |~                |    ~     ~    
495 |TYC 4065-331-1                                                                                           |Star                           |04 31 56.4909450528 +61 43 54.697430676|146.1140489530049 +09.2418444348184|  -5.181 -1.100    |10.88    |~                |    ~     ~    
496 |TYC 4065-529-1                                                                                           |Star                           |04 32 17.5629882744 +61 14 21.937073280|146.5115645833463 +08.9415535908270|   -1.297 0.168    |10.60    |~                |    ~     ~    
497 |TYC 4065-864-1                                                                                           |High Proper Motion Star        |04 32 19.8290323008 +60 21 30.804701652|147.1734935337446 +08.3518834427255| 21.472 -46.164    |9.21     |~                |    ~     ~    
498 |TYC 4065-981-1                                                                                           |Star                           |04 31 50.5570492920 +61 15 33.944637996|146.4597065208212 +08.9150013824980| 16.968 -24.201    |10.97    |~                |    ~     ~    
499 |TYC 4065-983-1                                                                                           |Star                           |04 33 42.7160201640 +61 11 59.316609264|146.6573274806976 +09.0416618526410|  -1.427 -8.928    |10.09    |~                |    ~     ~    
500 |TYC 4065-1045-1                                                                                          |Star                           |04 32 04.4697861840 +61 19 37.363138968|146.4280937149978 +08.9811230612167|  8.661 -14.035    |10.21    |~                |    ~     ~    
501 |TYC 4065-1074-1                                                                                          |High Proper Motion Star        |04 32 39.6880183029 +61 36 55.148439943|146.2596312986262 +09.2267740012739| 33.524 -26.832    |10.78    |~                |    ~     ~    
502 |TYC 4065-1097-1                                                                                          |Star                           |04 31 06.6235479288 +61 18 00.080168616|146.3693025379548 +08.8774758001334| 17.381 -28.887    |10.61    |~                |    ~     ~    
503 |TYC 4065-1573-1                                                                                          |Star                           |04 33 05.0671522128 +60 30 49.650065316|147.1206359098034 +08.5251264999041|  -5.795 -4.438    |10.78    |~                |    ~     ~    
504 |TYC 4065-1736-1                                                                                          |Star                           |04 31 33.7657931208 +61 04 19.405604676|146.5766961140003 +08.7637288694832| 10.454 -21.635    |10.61    |~                |    ~     ~    
505 |TYC 4078-461-1                                                                                           |Star                           |04 36 20.4480217992 +60 49 22.984726908|147.1566952754658 +09.0285147891863|   -0.026 2.815    |9.65     |~                |    ~     ~    
