C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:01:59

Vmag< 11&dec< 0&rah >=3.75&rah< 4.0
-----------------------------------

Number of objects : 2900

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------
865 |HD 24685                                                              |High Proper Motion Star        |03 54 31.1944118496 -24 53 27.229770204|220.4748966953690 -49.0298772286049|-53.411 -32.551   |8.26     |G3V                 |    ~     ~    
866 |HD 24742                                                              |Spectroscopic Binary           |03 55 07.4886778560 -24 52 45.686032572|220.5064204871444 -48.8937721755293| 24.335 101.053   |8.21     |F5V                 |    ~     ~    
867 |CD-26 1449                                                            |Star                           |03 50 13.2105292896 -25 46 18.248361564|221.4672085646002 -50.1728014263370| 28.334 -27.078   |9.30     |~                   |    ~     ~    
868 |HD 24588                                                              |Star                           |03 53 41.4126611808 -25 49 31.807601148|221.8059199331030 -49.4210575214665|   17.276 7.385   |9.06     |F3V                 |    ~     ~    
869 |V* U Eri                                                              |Mira Variable                  |03 50 29.1429365928 -24 57 22.833000072|220.2488588471920 -49.9350011913446|    1.122 0.190   |10.40    |M4e                 |    ~     ~    
870 |HD 23920                                                              |Star                           |03 47 59.0478369912 -26 19 42.980057328|222.1618758616166 -50.7785189876258|  -18.422 4.511   |6.97     |A3V                 |    ~     ~    
871 |CD-26 1438                                                            |Spectroscopic Binary           |03 48 55.0164822744 -26 03 35.535955932|221.8132407901356 -50.5194079753455|  86.289 -4.514   |9.51     |~                   |    ~     ~    
872 |HD 24070                                                              |Star                           |03 49 00.2443617624 -26 01 57.342685656|221.7775719171082 -50.4946616312016|-37.879 -18.173   |6.95     |F3V                 |    ~     ~    
873 |HD 24092                                                              |High Proper Motion Star        |03 49 22.3570888584 -26 16 51.017111112|222.1859308053433 -50.4640668966905|  47.461 22.663   |9.531    |F6V                 |    ~     ~    
874 |HD 24339                                                              |High Proper Motion Star        |03 51 24.1360373910 -25 55 57.378422899|221.7994040752745 -49.9466927008130|274.952 154.028   |9.44     |F7V                 |    ~     ~    
875 |HD 24459                                                              |Star                           |03 52 26.0824275000 -25 55 49.867718916|221.8718142770295 -49.7193078907574|  18.949 33.411   |9.18     |G8(III)             |    ~     ~    
876 |HD 24509                                                              |Star                           |03 53 01.0634034048 -25 57 27.160640892|221.9552447002604 -49.5968677851942|    2.907 6.669   |9.803    |F3V                 |    ~     ~    
877 |HD 24713                                                              |High Proper Motion Star        |03 54 47.7113611152 -26 35 46.081894488|223.0427394657695 -49.3378648769060|  70.395 -6.175   |9.34     |G3V                 |    ~     ~    
878 |CD-26 1473                                                            |Star                           |03 55 14.4226718904 -26 12 30.988896012|222.4926317512569 -49.1613186953449|   26.093 3.711   |9.92     |~                   |    ~     ~    
879 |HD 24764                                                              |Star                           |03 55 21.6340529640 -26 32 40.665155388|223.0042576011485 -49.2036880853575|  14.309 -2.903   |8.58     |K0III               |    ~     ~    
880 |HD 24797                                                              |High Proper Motion Star        |03 55 35.7860785128 -25 55 37.792045704|222.0981907480082 -49.0238855572088|  34.258 41.873   |7.33     |K1III               |    ~     ~    
881 |HD 24798                                                              |Double or Multiple Star        |03 55 36.2764558608 -26 12 54.221827896|222.5282187142035 -49.0827496375185|-35.424 -30.521   |7.54     |K0III               |0.0033  0.0    
882 |HD 24804                                                              |High Proper Motion Star        |03 55 48.2889780072 -25 56 37.756998096|222.1382357181279 -48.9816703568952| 100.323 24.031   |8.51     |F2V                 |    ~     ~    
883 |CD-26 1481                                                            |Star                           |03 55 47.8913125800 -26 00 11.229196788|222.2260482986861 -48.9957418798907|-22.820 -21.503   |9.82     |~                   |    ~     ~    
884 |CPD-24 464                                                            |Star                           |03 47 37.6679013192 -24 15 26.151015384|218.9504457886968 -50.4030225830103|  27.990 25.357   |10.66    |~                   |    ~     ~    
885 |CD-24 1878                                                            |Spectroscopic Binary           |03 47 39.7567546656 -24 35 37.850724348|219.4668607056039 -50.4749494252606|   7.530 -8.442   |10.52    |~                   |    ~     ~    
886 |CD-24 1883                                                            |Spectroscopic Binary           |03 47 59.6631589728 -24 19 42.210277608|219.0900659991128 -50.3389404463643| 14.332 -17.731   |10.34    |~                   |    ~     ~    
887 |CD-25 1578                                                            |Star                           |03 48 45.1062736848 -24 49 38.943707736|219.9130305963034 -50.2883318949067|  -4.865 34.446   |10.39    |~                   |    ~     ~    
888 |CPD-25 472                                                            |Spectroscopic Binary           |03 49 25.4163961656 -25 19 59.533205952|220.7374999916263 -50.2536451259975|  17.675 20.308   |10.20    |~                   |    ~     ~    
889 |CD-25 1596                                                            |High Proper Motion Star        |03 50 08.7350090952 -25 36 15.233105772|221.2061515750963 -50.1534916360861|  75.586 -9.296   |10.20    |~                   |    ~     ~    
890 |CD-26 1455                                                            |Star                           |03 51 50.5351123080 -25 48 46.206144864|221.6500917234033 -49.8246891738334|    9.327 9.873   |10.24    |~                   |    ~     ~    
891 |CD-24 1939                                                            |Star                           |03 53 28.0573602120 -24 36 16.215673500|219.9639359257692 -49.1949044516833|  22.647 16.466   |10.96    |~                   |    ~     ~    
892 |CD-24 1956                                                            |Spectroscopic Binary           |03 54 28.1829447984 -24 35 27.187318104|220.0263411832603 -48.9703990988590| -6.393 -52.608   |10.27    |~                   |    ~     ~    
893 |CD-26 1483                                                            |Star                           |03 56 12.0712327944 -26 25 22.502512812|222.8805295150678 -48.9948026463034| -2.725 -19.865   |10.535   |~                   |    ~     ~    
894 |CD-25 1586                                                            |Double or Multiple Star        |03 49 13.767192 -25 17 32.29728        |220.659972463 -50.287446412        |       -3.6 7.2   |10.519   |~                   |    ~     ~    
895 |CD-25 1582                                                            |Star                           |03 48 59.9517622584 -25 02 03.533605836|220.2482031236948 -50.2807319190607|   1.253 -6.842   |10.71    |~                   |    ~     ~    
896 |CD-25 1591                                                            |Spectroscopic Binary           |03 49 35.4219652032 -25 07 06.293100252|220.4233211821133 -50.1691981453150|  -0.776 -2.750   |10.73    |~                   |    ~     ~    
897 |CD-25 1599                                                            |Star                           |03 50 18.1148194752 -24 48 34.246234944|220.0119503313676 -49.9418886908331|-16.971 -19.702   |10.82    |K0V                 |    ~     ~    
898 |TYC 6448-903-1                                                        |Star                           |03 50 37.6775973216 -24 27 30.935669292|219.5096417117033 -49.7876219437711|   5.815 12.147   |10.45    |~                   |    ~     ~    
899 |CD-25 1604                                                            |Star                           |03 50 40.8168749040 -25 10 37.462729404|220.5984150030194 -49.9419533358361|   3.946 -0.223   |10.59    |~                   |    ~     ~    
900 |CD-25 1620                                                            |Star                           |03 52 14.7643830744 -25 06 19.544458680|220.6138708420999 -49.5805581414653|   2.759 -0.326   |10.57    |~                   |    ~     ~    
901 |CD-25 1630                                                            |Star                           |03 53 52.4380661304 -25 01 50.719378188|220.6311952575913 -49.2046014952539|-11.421 -10.195   |10.89    |~                   |    ~     ~    
902 |CD-26 1475                                                            |Spectroscopic Binary           |03 55 19.0079458368 -25 46 05.922436044|221.8409156822591 -49.0512015557032| 23.183 -42.035   |9.7      |~                   |    ~     ~    
903 |TYC 6448-1024-1                                                       |Star                           |03 54 21.9212885568 -24 48 01.869994692|220.3283674624693 -49.0429017019976| 13.255 -18.168   |10.81    |~                   |    ~     ~    
904 |TYC 6448-1073-1                                                       |Star                           |03 46 43.3819467048 -24 24 26.150929560|219.1023907658705 -50.6389127834821|    1.493 2.857   |10.37    |~                   |    ~     ~    
905 |TYC 6451-128-1                                                        |High Proper Motion Star        |03 52 10.0317162168 -25 01 22.056390732|220.4834969203288 -49.5791748369804| 35.934 -38.503   |10.89    |~                   |    ~     ~    
906 |TYC 6451-203-1                                                        |Spectroscopic Binary           |03 47 00.0164570016 -25 03 47.418495696|220.1327274180979 -50.7283955970984|    2.768 6.500   |10.60    |~                   |    ~     ~    
907 |CD-29 1408                                                            |Star                           |03 45 13.3049264760 -28 55 02.339015916|226.0769766382056 -51.8205270139587|    0.857 5.848   |10.13    |~                   |    ~     ~    
908 |CD-29 1416                                                            |Star                           |03 46 33.2746761888 -29 05 02.867207964|226.4089497527147 -51.5551945061984|  19.211 13.706   |10.11    |~                   |    ~     ~    
909 |CD-29 1410                                                            |High Proper Motion Star        |03 45 47.4770765256 -29 06 18.796342428|226.4055999819624 -51.7232550059616|-11.676 -54.316   |10.475   |~                   |    ~     ~    
910 |HD 24046                                                              |Star                           |03 48 46.0543199976 -29 14 38.531692968|226.7694090344001 -51.0988674510039|    0.534 0.071   |9.46     |G8III               |    ~     ~    
911 |HD 24304                                                              |Star                           |03 50 59.4765326040 -29 24 03.254753844|227.1218168971146 -50.6405227485806|   1.500 -3.670   |7.66     |K4III               |    ~     ~    
912 |CD-29 1464                                                            |Eclipsing Binary               |03 52 48.0586303536 -29 26 11.012042328|227.2632036145888 -50.2552201445395| 125.553 -7.619   |9.962    |K0III               |    ~     ~    
913 |HD 24875                                                              |Star                           |03 56 11.1008038896 -29 39 37.756420848|227.7682882532325 -49.5580340465452|  5.304 -33.724   |7.51     |K1III/IVCNII        |    ~     ~    
914 |CD-29 1429                                                            |Star                           |03 47 54.4854272376 -29 10 08.709425544|226.6095402437839 -51.2742328445344| -4.021 -12.745   |10.93    |~                   |    ~     ~    
915 |CD-29 1451                                                            |Star                           |03 51 10.7440413528 -29 16 07.126163724|226.9244648741888 -50.5815040371505| 21.291 -16.086   |10.773   |~                   |    ~     ~    
916 |CD-27 1370                                                            |High Proper Motion Star        |03 45 03.4830441768 -27 01 57.718552152|223.0668747532388 -51.5537310354460| 36.507 -45.908   |9.67     |~                   |    ~     ~    
917 |CD-27 1376                                                            |Star                           |03 45 45.9444466992 -27 09 28.241449380|223.3100246188932 -51.4212712761530|  3.506 -15.142   |10.388   |~                   |    ~     ~    
918 |HD 23768                                                              |High Proper Motion Star        |03 46 47.9209008624 -26 37 06.314365164|222.5309923787906 -51.0951626022885|  47.418 48.026   |9.35     |G8V                 |    ~     ~    
919 |CD-27 1386                                                            |High Proper Motion Star        |03 46 51.8430686064 -27 18 20.967565860|223.6124382108179 -51.2073209336030|   90.924 1.048   |10.18    |~                   |    ~     ~    
920 |CD-27 1387                                                            |Star                           |03 46 56.4978283128 -26 59 57.530795928|223.1365296195859 -51.1351493434300|    5.959 4.700   |10.47    |~                   |    ~     ~    
921 |CD-27 1389                                                            |Star                           |03 47 01.5550816536 -26 40 03.236525328|222.6231900740480 -51.0546920077781|  1.537 -16.587   |9.58     |~                   |    ~     ~    
922 |HD 23546                                                              |Spectroscopic Binary           |03 45 02.7145874856 -27 49 18.720053328|224.3182663815140 -51.6923995880691|  38.570 23.337   |9.55     |F5V                 |    ~     ~    
923 |HD 23545                                                              |Star                           |03 45 04.2882665328 -27 36 26.491433508|223.9787325999838 -51.6510615576270|  -4.226 -1.145   |8.69     |K2III               |    ~     ~    
924 |HD 23560                                                              |Star                           |03 45 10.3070108184 -27 46 09.234731424|224.2419602646354 -51.6561447067931|   0.225 10.960   |9.22     |G8III/IV            |    ~     ~    
925 |HD 23588                                                              |Double or Multiple Star        |03 45 24.13254 -27 51 44.9304          |224.40364844 -51.62119057          |  320.36 139.56   |8.184    |K5V+M3V             |    ~     ~    
926 |HD 23588A                                                             |Spectroscopic Binary           |03 45 24.1437744634 -27 51 44.889223208|224.4036411246795 -51.6211478685060|303.236 111.826   |8.39     |K5V                 |    ~     ~    
927 |HD 23758                                                              |Star                           |03 46 41.8943432112 -28 11 06.548416296|224.9891343421678 -51.3907159444490|  15.070 13.273   |9.41     |G3/5                |    ~     ~    
928 |CD-28 1277                                                            |Star                           |03 45 29.6159132496 -27 47 23.728516908|224.2937477403498 -51.5893522333885|  -8.723 -6.609   |10.59    |~                   |    ~     ~    
929 |CD-28 1280                                                            |Spectroscopic Binary           |03 45 47.4243508848 -27 56 39.772880628|224.5561540404621 -51.5498860512685|   -5.182 0.881   |10.28    |~                   |    ~     ~    
930 |CD-29 1412                                                            |Star                           |03 46 23.2944910536 -28 38 37.000776948|225.6995682456338 -51.5281742469154|   10.240 0.455   |10.718   |~                   |    ~     ~    
931 |CD-27 1380                                                            |Star                           |03 46 23.7151046472 -27 24 17.780353164|223.7391898422824 -51.3271943558270|  10.994 -2.383   |10.373   |~                   |    ~     ~    
932 |CD-28 1273                                                            |Star                           |03 45 07.8264466272 -28 13 02.093349576|224.9530852233355 -51.7369017893137|    0.967 6.688   |10.261   |~                   |    ~     ~    
933 |CD-28 1278                                                            |Star                           |03 45 35.0236679688 -27 53 14.791430688|224.4538340375912 -51.5856850872672|  1.636 -14.407   |10.57    |~                   |    ~     ~    
934 |CD-28 1282                                                            |Star                           |03 46 42.6670217496 -28 18 17.595393624|225.1793900784636 -51.4066810840225|  45.193 -4.267   |10.72    |A8                  |    ~     ~    
935 |CD-27 1384                                                            |Star                           |03 46 47.8254578160 -26 57 47.228853312|223.0703860561952 -51.1601567920874|    0.625 3.775   |10.92    |~                   |    ~     ~    
936 |HD 23879                                                              |Star                           |03 47 37.8375982560 -27 11 04.768911384|223.4709840099008 -51.0180454222379|  10.367 -0.690   |9.09     |K1III               |    ~     ~    
937 |HD 23957                                                              |Star                           |03 48 12.1655160984 -26 44 42.408473928|222.8232900440214 -50.8114082706703|   14.673 4.511   |9.11     |K5/M0(III)          |    ~     ~    
938 |HD 24083                                                              |Star                           |03 49 08.8357243920 -27 25 37.170762672|223.9441739254103 -50.7298185216741|   0.169 -7.389   |10.78    |A0V                 |    ~     ~    
939 |HD 24093                                                              |Spectroscopic Binary           |03 49 14.9417229768 -27 33 15.645177324|224.1485071919243 -50.7299690347029|-29.668 -44.109   |9.80     |K2(III)             |    ~     ~    
940 |HD 24110                                                              |Star                           |03 49 32.9348754576 -27 06 27.234063540|223.4739827515542 -50.5843970551534|  -14.298 0.650   |8.42     |G8III/IV            |    ~     ~    
941 |HD 24175                                                              |Double or Multiple Star        |03 49 58.6101 -27 29 35.056            |224.0980192 -50.5603634            |    21.50 17.70   |10.06    |A2/3+(F/G)          |    ~     ~    
942 |CD-27 1421                                                            |Star                           |03 50 38.8194333240 -27 06 35.923403880|223.5485395466436 -50.3446768148288|  -18.904 4.168   |10.53    |~                   |    ~     ~    
943 |HD 24348                                                              |Star                           |03 51 25.67 -27 00 00.0                |223.43031 -50.15336                |          43 19   |9.2      |F2/3+(F)            |    ~     ~    
944 |CD-27 1437                                                            |High Proper Motion Star        |03 53 34.3793631768 -27 08 30.797103732|223.7862288349022 -49.7109932441178|   85.644 8.044   |10.82    |~                   |    ~     ~    
945 |CD-27 1439                                                            |Star                           |03 53 40.5311981208 -27 15 12.777304932|223.9624502333277 -49.7094350891825|  3.277 -10.314   |9.89     |~                   |    ~     ~    
946 |CD-27 1444                                                            |Star                           |03 54 17.8080819840 -27 27 00.254141316|224.3000678669466 -49.6099913315291|  0.917 -20.307   |9.91     |~                   |    ~     ~    
947 |CD-27 1449                                                            |Star                           |03 55 09.9460819344 -27 37 29.319507552|224.6186146765020 -49.4522068964380|  23.275 -4.014   |10.07    |~                   |    ~     ~    
948 |CD-27 1453                                                            |Star                           |03 55 48.2838985248 -27 32 34.916248464|224.5344814453550 -49.2981519692865|  32.300 32.192   |10.21    |~                   |    ~     ~    
949 |HD 24765                                                              |High Proper Motion Star        |03 55 16.6879912296 -27 43 46.915027176|224.7841942082796 -49.4465052484698| 54.330 -46.814   |9.34     |G3V                 |    ~     ~    
950 |HD 24032                                                              |High Proper Motion Star        |03 48 44.9213742528 -28 27 59.766813108|225.5452505098481 -50.9890352240782| 168.994 34.356   |8.66     |G8IV                |    ~     ~    
951 |HD 24198                                                              |Spectroscopic Binary           |03 50 06.1495955976 -28 35 22.911071064|225.8105864006941 -50.7142392885920|  2.331 -37.821   |10.01    |F3V                 |    ~     ~    
952 |HD 24415                                                              |Star                           |03 52 06.4865219544 -28 04 03.763322184|225.1127614953985 -50.1947508879955|  -7.278 -6.170   |9.908    |F2V                 |    ~     ~    
953 |CD-28 1315                                                            |Star                           |03 52 41.9158150848 -28 31 06.737000988|225.8402539342253 -50.1400446792194|    4.762 8.565   |10.02    |~                   |    ~     ~    
954 |CD-28 1321                                                            |Star                           |03 53 20.6942973192 -28 32 41.367077700|225.9158718805400 -50.0040799465407|   7.226 -4.445   |10.34    |~                   |    ~     ~    
955 |HD 24589                                                              |Spectroscopic Binary           |03 53 38.9244003192 -28 18 20.932851420|225.5661142766844 -49.8994725885737|  45.577 49.851   |9.33     |F7V                 |    ~     ~    
956 |HD 24860                                                              |Star                           |03 56 06.3780462168 -28 17 22.112470716|225.6800833036504 -49.3633154458189|  5.085 -13.259   |9.77     |G8III               |    ~     ~    
957 |HD 24084                                                              |Star                           |03 49 07.7281216872 -28 45 19.414473912|226.0186499429895 -50.9504589200150|  33.045 -8.175   |9.43     |K1/2(III)           |    ~     ~    
958 |CD-29 1449                                                            |High Proper Motion Star        |03 51 07.9245591432 -28 50 43.404430236|226.2630152590449 -50.5299936093427| 50.228 -13.992   |10.296   |~                   |    ~     ~    
959 |HD 24390                                                              |High Proper Motion Star        |03 51 50.4329686920 -28 50 14.932520448|226.2874411425250 -50.3754243505328|-61.542 -60.603   |8.39     |F8V                 |    ~     ~    
960 |HD 24705                                                              |Star                           |03 54 35.0900299056 -28 59 49.955051904|226.6753396760213 -49.8060234509310|   4.391 -8.154   |9.30     |K2(III)             |    ~     ~    
961 |V* GP Eri                                                             |Long-Period Variable           |03 54 42.4410659184 -29 14 25.928763936|227.0543702681283 -49.8159263445331|  -2.061 -2.870   |10.01    |M2/3                |    ~     ~    
962 |HD 24743                                                              |Star                           |03 55 00.1792174488 -29 12 41.825435760|227.0248164971601 -49.7478648480484|   9.119 16.730   |8.83     |K1III               |    ~     ~    
963 |CD-29 1484                                                            |Star                           |03 55 03.4607736288 -29 23 47.888850264|227.3108191063649 -49.7631279329207|  35.838 27.408   |10.09    |~                   |    ~     ~    
964 |HD 24661                                                              |High Proper Motion Star        |03 54 17.3350851480 -27 40 07.848745752|224.6318188397683 -49.6511368345638|  38.841 33.915   |6.99     |A4IV                |    ~     ~    
965 |CD-27 1396                                                            |High Proper Motion Star        |03 47 52.2593492280 -26 51 58.299121296|222.9895579335357 -50.9069372235903|-62.296 -31.933   |10.59    |~                   |    ~     ~    
966 |CPD-28 416                                                            |High Proper Motion Star        |03 49 32.5665976464 -27 58 12.387611316|224.8132830155855 -50.7367187903858| 29.233 -49.285   |10.76    |~                   |    ~     ~    
967 |CD-27 1412                                                            |Star                           |03 49 33.3540425976 -27 29 22.677067104|224.0667556248268 -50.6516458309254|   27.137 7.841   |10.65    |~                   |    ~     ~    
968 |CD-27 1413                                                            |Star                           |03 49 54.3078489192 -26 56 10.713683472|223.2324698133101 -50.4746145679254|    0.157 3.184   |10.32    |~                   |    ~     ~    
969 |CD-28 1309                                                            |Star                           |03 51 22.1822582328 -28 31 03.062304696|225.7664788210506 -50.4281284114417|-17.895 -39.991   |10.566   |~                   |    ~     ~    
970 |CD-27 1434                                                            |Star                           |03 52 50.0525854536 -27 29 43.496474496|224.2781539484758 -49.9372530148080|   9.303 10.145   |10.82    |~                   |    ~     ~    
971 |CD-29 1480                                                            |Star                           |03 54 47.7572454384 -29 05 35.833076340|226.8332469131225 -49.7749160057421|  25.539 16.600   |10.972   |~                   |    ~     ~    
972 |CD-27 1408                                                            |Spectroscopic Binary           |03 49 13.5472760520 -26 57 36.026601768|223.2244993265239 -50.6277688060235|   1.471 42.843   |10.806   |~                   |    ~     ~    
973 |CD-29 1441                                                            |Spectroscopic Binary           |03 49 27.2092941360 -28 49 55.947647892|226.1559162520744 -50.8915262674448|  -6.074 -3.438   |10.99    |~                   |    ~     ~    
974 |CD-29 1442                                                            |Star                           |03 49 45.8598116688 -28 51 11.809604988|226.2048920103630 -50.8273242183028|    6.751 4.249   |10.37    |~                   |    ~     ~    
975 |CD-28 1304                                                            |Star                           |03 50 26.8391653560 -28 28 07.667236056|225.6407309413052 -50.6206272011852|  20.189 14.859   |10.31    |~                   |    ~     ~    
976 |CD-27 1420                                                            |Star                           |03 50 32.9276742144 -27 27 49.942825308|224.0881693163075 -50.4303390902382| -17.471 34.553   |10.946   |~                   |    ~     ~    
977 |CD-27 1422                                                            |Star                           |03 50 55.5096618264 -27 03 13.914099864|223.4802210616193 -50.2734107143292|   0.998 -4.058   |10.73    |~                   |    ~     ~    
978 |CD-28 1308                                                            |Star                           |03 51 09.6842024160 -28 21 27.073629864|225.5070462719082 -50.4479535503109|    4.801 2.931   |10.317   |~                   |    ~     ~    
979 |CD-28 1323                                                            |Star                           |03 53 44.6863285824 -28 16 10.661104344|225.5161307062503 -49.8726536587060|  16.180 -3.140   |10.74    |~                   |    ~     ~    
980 |CD-28 1325                                                            |Star                           |03 54 02.3032843296 -27 50 49.459854264|224.8879436258834 -49.7370828077996|  12.330 30.313   |10.80    |~                   |    ~     ~    
981 |CD-28 1332                                                            |Star                           |03 55 25.6409962920 -27 45 31.319265060|224.8371049463695 -49.4191730377691| -5.499 -13.542   |10.95    |~                   |    ~     ~    
982 |CD-27 1403                                                            |Star                           |03 48 40.6258994736 -27 14 36.458248092|223.6291975512675 -50.7997910594598|   48.332 7.612   |10.18    |~                   |    ~     ~    
983 |TYC 6451-853-1                                                        |Star                           |03 47 09.5305547496 -26 42 09.707044608|222.6870223624026 -51.0322181381701|   -6.172 1.081   |10.45    |~                   |    ~     ~    
984 |TYC 6454-518-1                                                        |Star                           |03 52 36.0067057680 -28 09 54.913339512|225.2910681949436 -50.1040375840533|  46.158 15.145   |10.91    |~                   |    ~     ~    
985 |HD 23637                                                              |Star                           |03 45 32.4471263280 -31 23 49.302330864|230.0854139990528 -52.0329884046743|  27.979 -3.236   |9.34     |G8III               |    ~     ~    
986 |CD-32 1464                                                            |Star                           |03 46 59.1074474304 -31 44 38.903751708|230.6876562651994 -51.7554883113393|   9.496 -0.138   |10.556   |F2                  |    ~     ~    
987 |HD 24033B                                                             |Spectroscopic Binary           |03 48 32.7187301736 -31 46 50.402776656|230.7902087379516 -51.4279896351651|  -4.592 -2.390   |8.51     |(A)                 |    ~     ~    
988 |HD 24033A                                                             |Star                           |03 48 32.2272496032 -31 46 43.500012924|230.7869111371800 -51.4295643846891|  -5.152 -1.042   |8.242    |A5/7                |    ~     ~    
989 |CD-32 1485                                                            |Star                           |03 49 54.3087319848 -31 45 17.694220896|230.7884638296496 -51.1378180441439|  12.552 23.159   |10.71    |~                   |    ~     ~    
990 |CD-32 1494                                                            |Star                           |03 51 42.3668561520 -32 02 27.876157908|231.2928525557680 -50.7813444435178|  2.985 -26.161   |10.89    |~                   |    ~     ~    
991 |* sig For                                                             |Star                           |03 46 27.4283567352 -29 20 17.368209528|226.8093362755934 -51.6107354718393|    6.798 3.842   |5.904    |A2V                 |    ~     ~    
992 |CD-30 1477                                                            |Spectroscopic Binary           |03 45 24.8302059576 -29 39 06.598634724|227.2645314080282 -51.8762407480636|  -6.754 -1.628   |9.96     |~                   |    ~     ~    
993 |CD-30 1478                                                            |Star                           |03 45 21.5984955312 -30 35 39.682706784|228.7811421666075 -51.9953499017048|-23.405 -24.342   |10.17    |G0                  |    ~     ~    
994 |HD 23657                                                              |Star                           |03 45 43.0216708920 -30 05 25.417492008|227.9824527653425 -51.8635819254248|    0.557 7.615   |8.49     |K2/3III             |    ~     ~    
995 |HD 23829                                                              |Variable Star                  |03 47 00.8491675584 -30 03 18.959345892|227.9790439671020 -51.5807705007700|  7.828 -47.034   |7.06     |M1III               |    ~     ~    
996 |HD 23658                                                              |Star                           |03 45 42.2907799176 -30 55 59.569220352|229.3405219421606 -51.9555994487284|-11.039 -14.861   |8.85     |F0IV                |    ~     ~    
997 |HD 23798                                                              |Chemically Peculiar Star       |03 46 45.7220393712 -30 51 13.333194972|229.2486546807249 -51.7220661346523|  19.295 -2.137   |8.32     |G8/K1(III)wF0/3     |    ~     ~    
998 |IRAS 03443-2950                                                       |Star                           |03 46 26.1649682928 -29 41 26.308557348|227.3715534951434 -51.6607715690073|    7.044 1.987   |9.80     |~                   |    ~     ~    
999 |CD-29 1418                                                            |Star                           |03 46 44.0617532832 -29 12 30.024385020|226.6154495809363 -51.5333680778661|   4.743 16.603   |9.64     |~                   |    ~     ~    
1000|HD 23869                                                              |High Proper Motion Star        |03 47 22.2919849272 -29 28 07.127979492|227.0595112276736 -51.4305785257428| 24.054 -48.664   |6.94     |K1III               |    ~     ~    
1001|CD-29 1455                                                            |Star                           |03 51 33.6199686528 -29 33 26.647948800|227.3927397675712 -50.5393022009744|   7.105 -4.803   |9.75     |~                   |    ~     ~    
1002|HD 24247                                                              |Star                           |03 50 25.7617375296 -29 40 34.012166052|227.5264688566926 -50.7987778747272| 15.835 -13.214   |8.92     |K0III               |    ~     ~    
1003|V* GQ Eri                                                             |Long-Period Variable Candidate |03 55 59.5447714368 -29 48 38.452134312|227.9887462991492 -49.6203351331290|    0.107 0.722   |8.95     |K3/4III             |    ~     ~    
1004|HD 23856                                                              |High Proper Motion Star        |03 47 19.9759842432 -29 54 06.217622172|227.7473197569070 -51.4937912199743|165.988 -57.311   |6.535    |F6+V                |    ~     ~    
1005|HD 23939                                                              |Star                           |03 47 56.2027065504 -30 05 50.052814404|228.0839498297044 -51.3875648541807|  -5.249 12.674   |7.89     |A5                  |    ~     ~    
1006|* rho For                                                             |Red Giant Branch star          |03 47 56.0403321960 -30 10 04.378048212|228.1962643253743 -51.3964849417479|25.932 -231.400   |5.54     |G6III               |    ~     ~    
1007|HD 24007                                                              |Star                           |03 48 28.7960536584 -30 04 40.122388200|228.0755483243103 -51.2685786103084|  13.226 -1.217   |9.17     |A9V                 |    ~     ~    
1008|HD 24019                                                              |Star                           |03 48 34.5168574344 -30 24 09.404283564|228.5950661786236 -51.2860269403963|    3.910 5.478   |9.60     |A2V                 |    ~     ~    
1009|CD-30 1504                                                            |Star                           |03 48 40.6446123336 -30 05 40.582814388|228.1103794813503 -51.2281866920877|   5.430 19.472   |9.93     |G5                  |    ~     ~    
1010|CD-30 1516                                                            |Star                           |03 50 35.5624711440 -29 55 41.820553308|227.9293304119313 -50.7962109032081|  1.038 -17.087   |9.47     |K2                  |    ~     ~    
1011|HD 24257                                                              |High Proper Motion Star        |03 50 33.8083157376 -30 33 20.585206440|228.9144763166179 -50.8777703988323|  96.504 70.001   |9.30     |K0                  |    ~     ~    
1012|CD-30 1523                                                            |Star                           |03 51 02.3183512680 -29 57 41.762079684|228.0009007530528 -50.7046075448994|    9.068 6.254   |10.18    |A6                  |    ~     ~    
1013|HD 24360                                                              |Star                           |03 51 24.3854638368 -30 04 33.535987284|228.1957461207476 -50.6400086418630|   12.947 5.843   |8.41     |G8/K0III            |    ~     ~    
1014|CD-30 1540                                                            |Star                           |03 53 06.1313136864 -30 08 07.894752612|228.3608835688532 -50.2836364783825|  19.825 -3.844   |10.15    |F5                  |    ~     ~    
1015|HD 24811                                                              |Star                           |03 55 35.4589964472 -30 10 11.248895856|228.5209093666365 -49.7544340911112|   -5.366 0.922   |9.55     |K0III               |    ~     ~    
1016|CD-30 1555                                                            |Star                           |03 55 47.1235529304 -30 19 18.739723908|228.7626391750233 -49.7322927635995|   24.516 7.502   |9.986    |K0                  |    ~     ~    
1017|HD 23941                                                              |High Proper Motion Star        |03 47 57.5166759288 -30 39 29.963272824|228.9787527430180 -51.4461438545106|-41.559 -97.796   |9.64     |G5V                 |    ~     ~    
1018|CD-31 1554                                                            |Star                           |03 49 06.2702987376 -30 51 49.894755660|229.3474614666752 -51.2230306132489|  13.796 -2.574   |9.75     |K0                  |    ~     ~    
