C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:01:59

Vmag< 11&dec< 0&rah >=3.75&rah< 4.0
-----------------------------------

Number of objects : 2900

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------
34  |HD 24370                                                              |High Proper Motion Star        |03 52 32.6963714136 -01 25 36.854145948|190.1301132049569 -39.6004462722896|  6.918 -66.006   |9.44     |F5/6V               |    ~     ~    
35  |HD 24382                                                              |Star                           |03 52 42.3198431448 -01 00 18.949015620|189.7123938158418 -39.3258802294474|  -5.782 -5.319   |9.07     |A1/2IV/V            |    ~     ~    
36  |BD-01 553                                                             |Star                           |03 53 40.8981002880 -01 30 46.400191848|190.4315729727298 -39.4160582719751|    5.676 7.969   |9.29     |K2                  |    ~     ~    
37  |HD 24508                                                              |Star                           |03 53 50.8620389160 -01 10 11.765527140|190.0980889586617 -39.1863929766083|  41.399 -7.585   |9.89     |G0V                 |    ~     ~    
38  |HD 24553                                                              |Star                           |03 54 15.1362070752 -01 06 47.574757224|190.1126272620542 -39.0709995275230|-11.299 -15.822   |10.95    |B8/9V               |    ~     ~    
39  |HD 24633                                                              |Double or Multiple Star        |03 54 58.0966898424 -01 15 47.719385100|190.4027222289617 -39.0095831566511|   4.290 64.156   |8.87     |K0V                 |    ~     ~    
40  |HD 24703                                                              |High Proper Motion Star        |03 55 34.3434091776 -01 04 55.962614316|190.3219970390505 -38.7823621557596|-10.268 -94.176   |9.41     |A3II                |    ~     ~    
41  |HD 24313                                                              |Star                           |03 52 00.9736394952 -01 37 41.829055320|190.2470153310794 -39.8238879030429| -8.531 -21.623   |8.22     |F2V                 |    ~     ~    
42  |CCDM J03532-0150BC                                                    |Double or Multiple Star        |03 53 09.691 -01 50 17.79              |190.683392 -39.707744              |    -27.0 -16.0   |10.03    |G                   |    ~     ~    
43  |HD 24435                                                              |Star                           |03 53 08.4457691952 -01 50 15.355492836|190.6788496428716 -39.7116346832230| -5.312 -16.786   |8.92     |F5V                 |    ~     ~    
