C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:27:26

dec >=0&rah >=2.0&rah< 2.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4782

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
23  |BD+41 392                                                                                                |Star                              |02 02 30.4201409760 +42 01 04.111288932|136.7992183213306 -18.9322526641604|  -6.285 -2.027     |8.63     |K5                 |    ~     ~    |    1|  606.870   pc  |  -9.5756     +9.5756  |paral   |2020yCat.1350....0G
24  |BD+41 398                                                                                                |Star                              |02 04 23.3087308992 +42 05 35.528899596|137.1291647708222 -18.7586096674483|   2.310 -6.017     |8.84     |K0                 |    ~     ~    |    1|  435.616   pc  |  -3.4537     +3.4537  |paral   |2020yCat.1350....0G
25  |HD 12792                                                                                                 |Star                              |02 06 30.3422122272 +41 46 27.166473408|137.6268794687327 -18.9455454057862|  12.391 -9.108     |8.88     |K2                 |    ~     ~    |    1|  378.530   pc  |  -3.1093     +3.1093  |paral   |2020yCat.1350....0G
26  |HD 13016                                                                                                 |Star                              |02 08 26.9250622680 +42 06 34.112982708|137.8817280892897 -18.5157752110975|   9.927 -7.314     |8.90     |A0                 |    ~     ~    |    1|  285.006   pc  |  -5.2230     +5.2230  |paral   |2020yCat.1350....0G
27  |HD 13024                                                                                                 |High Proper Motion Star           |02 08 40.8707667072 +42 09 46.937322972|137.9074247188087 -18.4514971423666| 89.574 -67.480     |7.70     |F0                 |    ~     ~    |    1|   85.794   pc  |  -0.5329     +0.5329  |paral   |2020yCat.1350....0G
28  |HD 13077                                                                                                 |Star                              |02 09 03.6713535432 +41 57 55.745422668|138.0429505422866 -18.6172992189271|   5.782 -5.159     |7.14     |B9                 |    ~     ~    |    1|  497.785   pc  |  -9.8373     +9.8373  |paral   |2020yCat.1350....0G
29  |HD 13138                                                                                                 |Star                              |02 09 40.2059495760 +42 00 30.063117204|138.1421574756680 -18.5411572862369|   4.687 -5.748     |7.75     |B9                 |    ~     ~    |    1|  481.672   pc  | -11.3220    +11.3220  |paral   |2020yCat.1350....0G
30  |HD 12201                                                                                                 |Star                              |02 00 45.9310187448 +41 21 40.164137064|136.6667822956745 -19.6542395816903|   7.878 -0.835     |8.03     |G5                 |    ~     ~    |    1|  347.959   pc  |  -2.8695     +2.8695  |paral   |2020yCat.1350....0G
31  |BD+40 428                                                                                                |Star                              |02 02 26.2646126880 +41 15 38.739869712|137.0167870133186 -19.6610341369445|  11.540 -7.021     |9.78     |A5                 |    ~     ~    |    1|  265.168   pc  |  -1.3360     +1.3360  |paral   |2020yCat.1350....0G
32  |HD 12742                                                                                                 |Star                              |02 05 54.9743369328 +41 29 20.704357932|137.6068360449267 -19.2506216605759| -11.188 -5.524     |9.03     |G5                 |    ~     ~    |    1|  329.902   pc  |  -2.5685     +2.5685  |paral   |2020yCat.1350....0G
33  |BD+40 433                                                                                                |High Proper Motion Star           |02 06 01.5190937064 +41 27 38.294765748|137.6365510211876 -19.2715930715748| 69.663 -40.315     |9.05     |~                  |    ~     ~    |    1|  154.195   pc  |  -0.4399     +0.4399  |paral   |2020yCat.1350....0G
34  |HD 12751                                                                                                 |Star                              |02 06 01.7263795056 +41 31 58.322914896|137.6141471173628 -19.2025267971753|  6.034 -14.867     |6.86     |A5                 |    ~     ~    |    1|  159.008   pc  |  -0.7737     +0.7737  |paral   |2020yCat.1350....0G
35  |BD+40 440                                                                                                |Star                              |02 08 36.9994726680 +41 38 03.182983260|138.0687871769586 -18.9578918365188| -12.269 -0.343     |8.80     |K5                 |    ~     ~    |    1|  693.001   pc  | -10.9497    +10.9497  |paral   |2020yCat.1350....0G
36  |IRAS 02105+4224                                                                                          |Star                              |02 13 41.6152323912 +42 38 06.755608392|138.6713697553255 -17.7086397189727|    2.734 1.125     |9.78     |~                  |    ~     ~    |    1| 1658.925   pc  | -52.0134    +52.0134  |paral   |2020yCat.1350....0G
37  |TYC 2837-1805-1                                                                                          |Star                              |02 09 23.9057210400 +42 54 06.441648264|137.7978578398887 -17.7082855381784|  -4.396 -3.878     |10.53    |~                  |    ~     ~    |    1| 1380.453   pc  | -32.7772    +32.7772  |paral   |2020yCat.1350....0G
38  |1RXS J020915.0+420223                                                                                    |Emission-line Star                |02 09 15.1535649329 +42 02 27.526207405|138.0537054955674 -18.5344773201092| 90.389 -66.927     |10.987   |~                  |    ~     ~    |    1|   88.9561  pc  |  -0.1313     +0.1313  |paral   |2020yCat.1350....0G
39  |TYC 2841-2018-1                                                                                          |Star                              |02 03 09.1004855952 +43 26 40.142782428|136.4872053087542 -17.5316819926441|  -3.880 -0.799     |10.88    |~                  |    ~     ~    |    1| 1056.524   pc  | -22.2132    +22.2132  |paral   |2020yCat.1350....0G
40  |BD+42 422                                                                                                |Star                              |02 00 43.8633503928 +43 01 21.176384088|136.1685049874814 -18.0611475514632|   9.241 -1.549     |10.06    |~                  |    ~     ~    |    1|  855.432   pc  | -14.2694    +14.2694  |paral   |2020yCat.1350....0G
41  |BD+42 428                                                                                                |Star                              |02 01 31.9648351464 +43 07 08.201548344|136.2878805888048 -17.9275893072617|   6.416 -4.919     |8.72     |K5                 |    ~     ~    |    1|  886.918   pc  | -26.5092    +26.5092  |paral   |2020yCat.1350....0G
42  |BD+40 418                                                                                                |Star                              |02 00 32.4715783440 +40 53 40.542180720|136.7633420493791 -20.1138253047260|  -4.674 -5.123     |8.86     |K5                 |    ~     ~    |    1|  347.850   pc  |  -2.9645     +2.9645  |paral   |2020yCat.1350....0G
43  |BD+40 420                                                                                                |Star                              |02 00 42.8456996328 +40 55 18.009690564|136.7885950095028 -20.0786429100865|   9.060 -0.156     |9.43     |K2                 |    ~     ~    |    1|  775.254   pc  | -13.8234    +13.8234  |paral   |2020yCat.1350....0G
44  |HD 12245                                                                                                 |Star                              |02 01 13.6418613696 +41 12 44.611983612|136.7998384124349 -19.7724283784769|  13.271 11.652     |6.82     |K0                 |    ~     ~    |    1|  328.450   pc  | -12.9563    +12.9563  |paral   |2020yCat.1350....0G
45  |BD+40 425                                                                                                |Star                              |02 01 29.9312970216 +41 05 13.476189660|136.8897831991816 -19.8780524731358| -4.182 -28.316     |9.95     |G0                 |    ~     ~    |    1|  217.250   pc  |  -0.6513     +0.6513  |paral   |2020yCat.1350....0G
46  |BD+40 426                                                                                                |Double or Multiple Star           |02 01 35.642 +41 07 25.10              |136.896978 -19.837897              |       -8.4 0.3     |9.81     |F2                 |    ~     ~    |    0|                |                       |        |                   
47  |BD+40 429                                                                                                |Star                              |02 02 58.6226515296 +40 48 27.835048332|137.2597617819490 -20.0652091564416|  -0.807 -2.083     |9.57     |A0                 |    ~     ~    |    1|  821.355   pc  | -17.9450    +17.9450  |paral   |2020yCat.1350....0G
48  |TYC 2833-74-1                                                                                            |Star                              |02 00 48.2409421848 +41 10 06.445808148|136.7318468960904 -19.8370926678683|   1.677 -5.374     |10.66    |~                  |    ~     ~    |    1|  738.116   pc  |  -8.3357     +8.3357  |paral   |2020yCat.1350....0G
