C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:27:26

dec >=0&rah >=2.0&rah< 2.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4782

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
902 |HD 232612                                                                                                |Star                              |02 12 30.5137118328 +54 16 31.776006864|134.6834940824857 -06.7360798920957|  -0.071 -1.364     |10.42    |F5                 |    ~     ~    |    1|  402.253   pc  |  -5.0646     +5.0646  |paral   |2020yCat.1350....0G
903 |BD+53 447                                                                                                |Spectroscopic Binary              |02 05 49.7899293216 +54 23 55.846085064|133.7106877028683 -06.9086331058367| 18.026 -14.616     |9.61     |~                  |    ~     ~    |    1|  174.249   pc  |  -2.5474     +2.5474  |paral   |2020yCat.1350....0G
904 |HD 232583                                                                                                |Star                              |02 02 00.3430567968 +54 01 01.566908292|133.2768615440317 -07.4311928397369| 12.396 -11.156     |9.38     |A2                 |    ~     ~    |    1|  305.185   pc  |  -1.9186     +1.9186  |paral   |2020yCat.1350....0G
905 |BD+53 448                                                                                                |Star                              |02 06 08.7494281032 +53 57 51.916233240|133.8808051389166 -07.3115795505356|   8.222 -7.558     |10.05    |F2                 |    ~     ~    |    1|  599.736   pc  |  -5.9707     +5.9707  |paral   |2020yCat.1350....0G
906 |HD 13012                                                                                                 |Star                              |02 09 02.0791174632 +54 02 02.885237052|134.2694093437875 -07.1206955046496|  -2.423 -1.879     |9.40     |A                  |    ~     ~    |    1|  860.882   pc  | -20.2325    +20.2325  |paral   |2020yCat.1350....0G
907 |HD 13137                                                                                                 |High Proper Motion Star           |02 10 07.7505345864 +53 50 35.131482816|134.4820426340156 -07.2546232491157| 25.689 -44.569     |6.303    |G8III              |    ~     ~    |    1|  150.464   pc  |  -0.6475     +0.6475  |paral   |2020yCat.1350....0G
908 |HD 13197                                                                                                 |Star                              |02 10 35.5640991168 +54 06 35.920131300|134.4660653669945 -06.9796288386350|   -9.512 2.399     |9.07     |A2                 |    ~     ~    |    1|  254.926   pc  |  -1.1893     +1.1893  |paral   |2020yCat.1350....0G
909 |HD 13452                                                                                                 |Star                              |02 13 12.1000658979 +54 13 07.790032481|134.7981501358338 -06.7583598523549|   9.845 -5.801     |8.13     |A0                 |    ~     ~    |    1|  512.663   pc  |  -9.1988     +9.1988  |paral   |2020yCat.1350....0G
910 |HD 13452B                                                                                                |Star                              |02 13 12.7697643000 +54 13 08.851239228|134.7996175953564 -06.7575691934775|  10.640 -5.162     |10.45    |~                  |    ~     ~    |    1|  493.072   pc  |  -4.4491     +4.4491  |paral   |2020yCat.1350....0G
911 |BD+53 475                                                                                                |Star                              |02 13 17.8744509096 +54 10 44.017036068|134.8242060486578 -06.7918798056207| 42.289 -19.500     |10.43    |G0                 |    ~     ~    |    1|  210.873   pc  |  -0.7337     +0.7337  |paral   |2020yCat.1350....0G
912 |HD 232617                                                                                                |Star                              |02 13 46.0947928536 +53 43 55.204132872|135.0319202056540 -07.1943649994833| -4.186 -15.287     |10.04    |K2                 |    ~     ~    |    1|  599.556   pc  |  -5.8953     +5.8953  |paral   |2020yCat.1350....0G
913 |V* V353 Per                                                                                              |Be Star                           |02 13 51.8326495896 +53 54 52.525261440|134.9873665921111 -07.0166480342779|  -1.495 -1.322     |8.88     |B0.5IV             |    ~     ~    |    1| 2948.113   pc  |-277.2548   +277.2548  |paral   |2020yCat.1350....0G
914 |HD 13581                                                                                                 |Star                              |02 14 16.5508257768 +53 50 26.621886984|135.0689460298408 -07.0675082175719| 31.256 -14.952     |8.64     |K0                 |    ~     ~    |    1|  397.994   pc  |  -3.0888     +3.0888  |paral   |2020yCat.1350....0G
915 |HD 232621                                                                                                |Star                              |02 14 37.2861552168 +54 05 02.025686148|135.0396765803591 -06.8207899121679|  -7.604 -2.525     |10.39    |F8                 |    ~     ~    |    1|  421.035   pc  |  -4.7508     +4.7508  |paral   |2020yCat.1350....0G
916 |HD 13646                                                                                                 |Star                              |02 14 44.6103748896 +54 02 32.259993108|135.0701199215954 -06.8545215056028|  -2.202 -0.576     |9.23     |A0                 |    ~     ~    |    1|  795.039   pc  | -13.9059    +13.9059  |paral   |2020yCat.1350....0G
917 |HD 12072                                                                                                 |Star                              |02 00 01.3962409152 +53 16 12.229612068|133.1937019545387 -08.2296852442456|  -4.904 -7.952     |8.70     |G5                 |    ~     ~    |    1|  537.086   pc  |  -6.0288     +6.0288  |paral   |2020yCat.1350....0G
918 |HD 12089                                                                                                 |Star                              |02 00 15.0248466648 +53 15 17.024720256|133.2309044137414 -08.2354500194977|   4.847 -5.896     |8.59     |A0                 |    ~     ~    |    1|  519.913   pc  |  -7.4605     +7.4605  |paral   |2020yCat.1350....0G
919 |HD 232577                                                                                                |Star                              |02 00 24.0288459864 +52 58 40.118174436|133.3273883743560 -08.4963691476103|  27.045 -1.573     |9.00     |K0                 |    ~     ~    |    1|  545.197   pc  | -33.2017    +33.2017  |paral   |2020yCat.1350....0G
920 |HD 12185                                                                                                 |Star                              |02 01 08.5730485896 +53 31 24.167792496|133.2878077990047 -07.9409932693361|   4.463 -6.902     |7.85     |K0                 |    ~     ~    |    1|  370.892   pc  |  -2.9163     +2.9163  |paral   |2020yCat.1350....0G
921 |2MASS J02010833+5331190                                                                                  |Star                              |02 01 08.2758919752 +53 31 18.673083012|133.2875067111117 -07.9426613579247|   3.240 -4.631     |10.3     |~                  |    ~     ~    |    0|                |                       |        |                   
922 |HD 12314                                                                                                 |Star                              |02 02 21.9855262440 +53 37 43.713072444|133.4353946126087 -07.7902371160098| -11.021 -9.887     |7.60     |A0                 |    ~     ~    |    1|  313.185   pc  |  -2.8543     +2.8543  |paral   |2020yCat.1350....0G
923 |HD 232587                                                                                                |Star                              |02 02 37.0217028600 +53 32 36.320194140|133.4951197833100 -07.8621613118493|  22.050 -9.716     |9.22     |A0                 |    ~     ~    |    1|  287.282   pc  |  -3.2930     +3.2930  |paral   |2020yCat.1350....0G
924 |HD 12351                                                                                                 |Star                              |02 02 39.1126994232 +53 04 45.956558280|133.6289522344697 -08.3068600108936|   -6.152 2.661     |8.42     |A0                 |    ~     ~    |    1|  398.470   pc  |  -4.0965     +4.0965  |paral   |2020yCat.1350....0G
925 |HD 232593                                                                                                |Star                              |02 03 59.1595168608 +52 48 47.150116128|133.8988526795107 -08.5069464723054|   1.215 -6.492     |9.32     |A3                 |    ~     ~    |    1|  637.552   pc  |  -7.8449     +7.8449  |paral   |2020yCat.1350....0G
926 |HD 232594                                                                                                |Star                              |02 04 11.7008257200 +52 54 31.301614512|133.9023605388448 -08.4063371825375|   3.678 -2.355     |9.17     |K2                 |    ~     ~    |    1|  418.008   pc  |  -2.9879     +2.9879  |paral   |2020yCat.1350....0G
927 |HD 12511                                                                                                 |Star                              |02 04 12.9013057320 +52 57 29.169558576|133.8912591950467 -08.3580712960238|  -0.425 -1.474     |9.34     |A0                 |    ~     ~    |    1|  872.372   pc  | -15.8295    +15.8295  |paral   |2020yCat.1350....0G
928 |BD+52 501                                                                                                |Star                              |02 04 13.5055464432 +52 56 59.391313548|133.8950790054814 -08.3655839424083| -12.254 -3.754     |9.48     |~                  |    ~     ~    |    1|  462.406   pc  |  -3.3570     +3.3570  |paral   |2020yCat.1350....0G
929 |HD 232596                                                                                                |Star                              |02 05 56.1331055520 +53 30 21.372906744|133.9835359354962 -07.7596896041528|-20.505 -24.757     |8.88     |K0                 |    ~     ~    |    1|  308.756   pc  |  -2.4595     +2.4595  |paral   |2020yCat.1350....0G
930 |HD 232597                                                                                                |Star                              |02 06 04.1332379064 +52 42 56.585520612|134.2322905301416 -08.5108268530562|  -0.378 -2.605     |9.11     |K0                 |    ~     ~    |    1|  775.134   pc  | -12.3171    +12.3171  |paral   |2020yCat.1350....0G
931 |HD 232604                                                                                                |Star                              |02 08 41.3096380056 +52 53 33.912326580|134.5625786465283 -08.2256805691552|  -0.228 -2.252     |9.26     |A0                 |    ~     ~    |    1|  621.813   pc  | -10.4783    +10.4783  |paral   |2020yCat.1350....0G
932 |HD 12995                                                                                                 |Star                              |02 08 49.2607005696 +52 51 15.576935112|134.5934248133999 -08.2564133545128| -1.737 -26.536     |8.75     |A3                 |    ~     ~    |    1|  197.985   pc  |  -0.8741     +0.8741  |paral   |2020yCat.1350....0G
933 |HD 13001                                                                                                 |Star                              |02 08 51.5095583832 +53 37 50.242063836|134.3655100628922 -07.5136482886068|   5.556 -9.440     |9.29     |A0                 |    ~     ~    |    1|  361.233   pc  |  -2.4662     +2.4662  |paral   |2020yCat.1350....0G
934 |BD+52 522                                                                                                |Star                              |02 09 19.4284775544 +53 16 04.456289280|134.5414745718346 -07.8391523869115|   2.412 -3.379     |10.06    |A0                 |    ~     ~    |    1|  829.876   pc  | -13.0852    +13.0852  |paral   |2020yCat.1350....0G
935 |HD 13070                                                                                                 |Star                              |02 09 25.3371878112 +53 14 33.578544300|134.5632953061919 -07.8588226826973|  -21.619 6.252     |7.75     |K0                 |    ~     ~    |    1|  256.364   pc  |  -1.4722     +1.4722  |paral   |2020yCat.1350....0G
936 |HD 232605                                                                                                |Star                              |02 09 29.4012302112 +52 44 16.858422420|134.7261087913607 -08.3371404494663|   4.846 -8.156     |9.41     |A0                 |    ~     ~    |    1|  438.289   pc  |  -4.1493     +4.1493  |paral   |2020yCat.1350....0G
937 |HD 13126                                                                                                 |Star                              |02 10 03.7073076912 +52 46 35.524846056|134.7977297466485 -08.2743336809130|  -1.380 -4.771     |8.99     |A0                 |    ~     ~    |    1|  715.461   pc  | -15.1006    +15.1006  |paral   |2020yCat.1350....0G
938 |HD 232608                                                                                                |Star                              |02 10 28.5995988744 +53 11 48.613805196|134.7291483694844 -07.8548795253957|   6.026 -2.925     |10.24    |A0                 |    ~     ~    |    1|  511.718   pc  |  -6.5464     +6.5464  |paral   |2020yCat.1350....0G
939 |HD 13173                                                                                                 |Star                              |02 10 17.7768917832 +52 54 38.169358236|134.7907948185437 -08.1358388418553|  -0.551 -7.332     |8.54     |K5                 |    ~     ~    |    1|  771.069   pc  | -12.3071    +12.3071  |paral   |2020yCat.1350....0G
940 |HD 13209                                                                                                 |Star                              |02 10 38.7022812912 +53 12 53.088502896|134.7478972524589 -07.8301523283569|  9.150 -11.661     |8.17     |A0                 |    ~     ~    |    1|  220.439   pc  |  -5.5056     +5.5056  |paral   |2020yCat.1350....0G
941 |GSC 03685-02270                                                                                          |Double or Multiple Star           |02 11 20.4930673128 +53 05 09.118020084|134.8880421252356 -07.9209462788079|  -5.313 -1.707     |10.078   |F2                 |    ~     ~    |    1|  411.167   pc  |  -3.0431     +3.0431  |paral   |2020yCat.1350....0G
942 |HD 232610                                                                                                |Star                              |02 11 30.7930118688 +53 15 56.584972440|134.8569765905666 -07.7418898333515|-14.704 -16.008     |9.66     |K0                 |    ~     ~    |    1|  595.486   pc  |  -6.4183     +6.4183  |paral   |2020yCat.1350....0G
943 |BD+52 533                                                                                                |Star                              |02 12 05.0025088680 +53 38 37.448589552|134.8208291409002 -07.3561216479780| -16.638 -2.865     |8.89     |F5                 |    ~     ~    |    1|  144.074   pc  |  -0.7929     +0.7929  |paral   |2020yCat.1350....0G
944 |HD 232613                                                                                                |High Proper Motion Star           |02 12 37.4367627720 +53 21 10.123030836|134.9889756874473 -07.6077267968713| 88.353 -76.173     |8.94     |G0                 |    ~     ~    |    1|   97.963   pc  |  -0.1641     +0.1641  |paral   |2020yCat.1350....0G
945 |HD 232614                                                                                                |High Proper Motion Star           |02 12 46.1270021208 +53 27 29.848730904|134.9765016834998 -07.5007738051643| 61.053 -31.311     |9.42     |K0                 |    ~     ~    |    1|  229.216   pc  |  -0.9352     +0.9352  |paral   |2020yCat.1350....0G
946 |HD 13519                                                                                                 |Star                              |02 13 33.5110408776 +53 03 30.921654888|135.2161014609269 -07.8433020903101|   0.856 -0.648     |6.46     |K5                 |    ~     ~    |    1|  766.225   pc  | -18.9633    +18.9633  |paral   |2020yCat.1350....0G
947 |HD 232618                                                                                                |Star                              |02 13 52.6941257232 +53 07 24.958674336|135.2413642922093 -07.7664645163635|  -0.772 -2.287     |9.13     |B2                 |    ~     ~    |    1| 2066.970   pc  |-197.3832   +197.3832  |paral   |2020yCat.1350....0G
948 |HD 232599                                                                                                |Star                              |02 06 28.8828023112 +52 26 00.543729264|134.3754108914077 -08.7629420074835| 28.444 -11.650     |8.50     |M0                 |    ~     ~    |    1|  573.987   pc  |  -7.7753     +7.7753  |paral   |2020yCat.1350....0G
949 |HD 232603                                                                                                |Star                              |02 08 35.1375536160 +52 16 54.941153016|134.7312032138254 -08.8135085795994|  -3.047 -0.750     |9.53     |B9                 |    ~     ~    |    1|  877.578   pc  | -21.9491    +21.9491  |paral   |2020yCat.1350....0G
950 |BD+52 520                                                                                                |Star                              |02 08 54.7421277216 +53 33 19.746760824|134.3957680154908 -07.5830011340838|   -2.628 0.412     |9.95     |~                  |    ~     ~    |    1|  642.756   pc  | -10.2044    +10.2044  |paral   |2020yCat.1350....0G
951 |BD+52 531                                                                                                |Star                              |02 12 01.1178317832 +53 25 48.978029532|134.8781796625945 -07.5620968501811|  6.863 -15.106     |9.97     |~                  |    ~     ~    |    1|  285.274   pc  |  -2.0752     +2.0752  |paral   |2020yCat.1350....0G
952 |BD+52 532                                                                                                |Star                              |02 12 04.2916201224 +53 32 53.810357136|134.8489161116839 -07.4474396319412|   7.045 -3.817     |10.30    |~                  |    ~     ~    |    1|  752.785   pc  | -16.3772    +16.3772  |paral   |2020yCat.1350....0G
953 |BD+52 545                                                                                                |Star                              |02 14 22.2679880256 +53 32 46.079817540|135.1766784713008 -07.3423927007814|  -0.414 -3.988     |10.12    |~                  |    ~     ~    |    1|  712.708   pc  | -25.5500    +25.5500  |paral   |2020yCat.1350....0G
954 |IRAS 02035+5408                                                                                          |Star                              |02 06 54.9576944880 +54 22 35.345515908|133.8696936827105 -06.8845234087428|   3.653 -3.377     |10.33    |~                  |    ~     ~    |    1| 1042.644   pc  | -23.9163    +23.9163  |paral   |2020yCat.1350....0G
955 |IRAS 02052+5330                                                                                          |Star                              |02 08 37.3717587528 +53 44 48.951298932|134.2970725106306 -07.4129519806381|  4.102 -11.362     |9.20     |~                  |    ~     ~    |    1|  955.110   pc  | -24.1742    +24.1742  |paral   |2020yCat.1350....0G
956 |TYC 3685-1948-1                                                                                          |Star                              |02 10 39.2069696208 +53 52 58.306782792|134.5441464872810 -07.1933035581145|  13.307 -1.715     |9.70     |~                  |    ~     ~    |    1|  632.191   pc  |  -7.4737     +7.4737  |paral   |2020yCat.1350....0G
957 |BD+51 476                                                                                                |Double or Multiple Star           |02 03 07.6416 +52 36 56.784            |133.8281413 -08.7326864            |154.539 -44.536     |10.47    |~                  |    ~     ~    |    0|                |                       |        |                   
958 |LS I +54 4                                                                                               |Eclipsing Binary                  |02 00 40.4471349840 +54 28 45.240724308|132.9625437833880 -07.0385503980445|  -0.912 -1.902     |10.38    |B                  |    ~     ~    |    1| 2957.705   pc  |-244.0697   +244.0697  |paral   |2020yCat.1350....0G
959 |HD 232581                                                                                                |Star                              |02 01 57.1793660232 +54 47 38.036283036|133.0567598028273 -06.6856997429317|   5.382 -5.809     |8.80     |K0                 |    ~     ~    |    1|  381.432   pc  |  -3.0116     +3.0116  |paral   |2020yCat.1350....0G
960 |BD+54 439                                                                                                |Star                              |02 02 05.2477424832 +54 43 34.244667876|133.0940799739796 -06.7456039163436|  -1.421 -4.837     |9.70     |B8                 |    ~     ~    |    1|  842.886   pc  | -16.4116    +16.4116  |paral   |2020yCat.1350....0G
961 |BD+54 442                                                                                                |Star                              |02 02 32.2412201640 +54 52 39.139478616|133.1153199247018 -06.5823017455166|  22.420 -7.944     |10.46    |A2                 |    ~     ~    |    1|  562.810   pc  |  -6.5251     +6.5251  |paral   |2020yCat.1350....0G
962 |BD+54 446                                                                                                |Star                              |02 03 17.0878357560 +54 54 26.879488236|133.2110455999294 -06.5239875170566|   3.490 -3.909     |9.95     |K                  |    ~     ~    |    1| 1565.925   pc  | -53.2111    +53.2111  |paral   |2020yCat.1350....0G
963 |BD+54 449                                                                                                |Star                              |02 03 54.8770089312 +54 49 00.726796668|133.3239837425756 -06.5858874065634| 39.715 -26.041     |9.33     |K0                 |    ~     ~    |    1|  407.681   pc  |  -3.3906     +3.3906  |paral   |2020yCat.1350....0G
964 |HD 232582                                                                                                |Star                              |02 01 59.5506596880 +54 25 31.688600844|133.1630760263763 -07.0387317571083|  12.787 -4.819     |9.28     |A5                 |    ~     ~    |    1|  504.515   pc  |  -4.1998     +4.1998  |paral   |2020yCat.1350....0G
965 |* g Per                                                                                                  |Star                              |02 02 18.1084057296 +54 29 15.145135980|133.1896249430319 -06.9667666580069|  34.245 -2.924     |5.04     |B8III              |    ~     ~    |    1|  245.321   pc  |  -7.4385     +7.4385  |paral   |2020yCat.1350....0G
966 |HD 12433                                                                                                 |Star                              |02 03 25.3464723408 +54 41 36.768675552|133.2897939142366 -06.7240782226213|-41.400 -20.220     |7.80     |F8                 |    ~     ~    |    1|  118.982   pc  |  -0.4134     +0.4134  |paral   |2020yCat.1350....0G
967 |TYC 3292-1285-1                                                                                          |High Proper Motion Star           |02 02 50.2965651288 +52 13 07.083971616|133.8964982833962 -09.1265164518965|-34.033 -94.708     |10.98    |~                  |    ~     ~    |    1|  103.297   pc  |  -0.2155     +0.2155  |paral   |2020yCat.1350....0G
968 |TYC 3292-1487-1                                                                                          |Star                              |02 00 21.9912087912 +52 22 37.791702012|133.4845547430055 -09.0766085149740|-12.915 -18.300     |10.60    |~                  |    ~     ~    |    1|  259.054   pc  |  -1.0737     +1.0737  |paral   |2020yCat.1350....0G
969 |TYC 3292-1520-1                                                                                          |Eclipsing Binary                  |02 00 08.7162699000 +52 26 40.890498972|133.4333986091546 -09.0205181364312|   0.485 -3.192     |10.30    |~                  |    ~     ~    |    1|  685.166   pc  | -11.2669    +11.2669  |paral   |2020yCat.1350....0G
970 |TYC 3293-1597-1                                                                                          |Star                              |02 05 43.2520553136 +52 17 26.524087044|134.3045509335850 -08.9331334493966|   0.519 -1.515     |10.94    |~                  |    ~     ~    |    1| 2207.506   pc  |-112.0809   +112.0809  |paral   |2020yCat.1350....0G
971 |TYC 3293-1702-1                                                                                          |Star                              |02 09 19.6748357232 +52 23 07.466777340|134.8094091597398 -08.6808741969780|  -0.752 -1.507     |10.72    |~                  |    ~     ~    |    1|  534.674   pc  |  -8.4047     +8.4047  |paral   |2020yCat.1350....0G
972 |GSC 03293-01709                                                                                          |Double or Multiple Star           |02 06 06.4319945832 +52 16 13.267013736|134.3677630757086 -08.9356262421014|   0.631 -3.769     |9.947    |~                  |    ~     ~    |    1| 1029.336   pc  | -18.9656    +18.9656  |paral   |2020yCat.1350....0G
973 |TYC 3293-1759-1                                                                                          |Star                              |02 08 09.9907865160 +52 09 09.711322308|134.7079716556862 -08.9559676520189|   24.033 1.467     |9.97     |~                  |    ~     ~    |    1|  302.243   pc  |  -1.7539     +1.7539  |paral   |2020yCat.1350....0G
974 |TYC 3293-1819-1                                                                                          |Star                              |02 07 17.2724962128 +52 21 51.805243728|134.5148532614784 -08.7932275344920|   2.994 -3.901     |10.75    |~                  |    ~     ~    |    1| 1655.629   pc  | -48.5176    +48.5176  |paral   |2020yCat.1350....0G
975 |TYC 3293-1838-1                                                                                          |Star                              |02 04 50.4274175400 +52 06 28.291647276|134.2264620349535 -09.1468696379861|  -4.040 -0.049     |10.55    |~                  |    ~     ~    |    1|  477.578   pc  |  -4.6072     +4.6072  |paral   |2020yCat.1350....0G
976 |TYC 3293-1849-1                                                                                          |Star                              |02 04 39.4980047928 +52 09 45.109465200|134.1836177333371 -09.1023631433386|   0.444 -5.021     |10.22    |~                  |    ~     ~    |    1|  390.656   pc  |  -2.5486     +2.5486  |paral   |2020yCat.1350....0G
977 |TYC 3293-1861-1                                                                                          |Star                              |02 06 28.0750233024 +52 21 50.239532664|134.3937984366086 -08.8300858578022|  -6.125 -5.978     |10.75    |~                  |    ~     ~    |    1|  385.490   pc  |  -2.8086     +2.8086  |paral   |2020yCat.1350....0G
978 |TYC 3293-1898-1                                                                                          |Star                              |02 05 12.8395371048 +52 09 26.931577680|134.2678218373708 -09.0829908378471| 14.875 -12.002     |10.510   |~                  |    ~     ~    |    1|  552.242   pc  |  -5.4590     +5.4590  |paral   |2020yCat.1350....0G
979 |TYC 3293-1901-1                                                                                          |Star                              |02 09 19.1959343760 +52 17 13.260807420|134.8381096651094 -08.7750943360231|  -0.413 -2.108     |10.88    |~                  |    ~     ~    |    1|  767.931   pc  | -14.0943    +14.0943  |paral   |2020yCat.1350....0G
980 |TYC 3293-1971-1                                                                                          |Star                              |02 07 03.7795070136 +51 59 22.382242908|134.5924259932588 -09.1617684517874|   24.117 1.333     |10.37    |~                  |    ~     ~    |    1|  177.349   pc  |  -0.5504     +0.5504  |paral   |2020yCat.1350....0G
981 |TYC 3293-1982-1                                                                                          |Spectroscopic Binary              |02 08 30.8682992928 +52 20 55.042538820|134.7006324284725 -08.7530629705921|  -1.737 -0.197     |10.94    |~                  |    ~     ~    |    1| 2031.282   pc  | -62.3042    +62.3042  |paral   |2020yCat.1350....0G
982 |TYC 3293-1989-1                                                                                          |Star                              |02 08 41.1729701112 +52 25 07.091923836|134.7048765687490 -08.6784229856042|  31.961 -9.173     |10.49    |~                  |    ~     ~    |    1|  287.307   pc  |  -1.7912     +1.7912  |paral   |2020yCat.1350....0G
983 |TYC 3293-2008-1                                                                                          |Star                              |02 09 49.6843853232 +52 26 48.472756656|134.8642799537005 -08.5993743440154|   8.580 -8.116     |9.90     |~                  |    ~     ~    |    1|  272.584   pc  |  -1.4489     +1.4489  |paral   |2020yCat.1350....0G
984 |TYC 3293-2033-1                                                                                          |High Proper Motion Star           |02 07 26.6229922224 +52 15 38.175072264|134.5686718562706 -08.8854817743427| 89.211 -53.345     |10.12    |~                  |    ~     ~    |    1|   92.389   pc  |  -0.1400     +0.1400  |paral   |2020yCat.1350....0G
985 |TYC 3293-2050-1                                                                                          |Star                              |02 08 54.4508071392 +52 12 49.625893404|134.7993542003285 -08.8638671228269|  -3.093 -1.682     |10.51    |~                  |    ~     ~    |    1|  814.930   pc  | -17.6653    +17.6653  |paral   |2020yCat.1350....0G
986 |TYC 3293-2065-1                                                                                          |High Proper Motion Star           |02 05 27.6989710920 +52 07 27.808639752|134.3142719062658 -09.1038491716955|  0.226 -69.592     |10.22    |~                  |    ~     ~    |    1|  186.654   pc  |  -0.6759     +0.6759  |paral   |2020yCat.1350....0G
987 |TYC 3293-2066-1                                                                                          |Star                              |02 05 57.8231450280 +52 17 58.060149432|134.3380040546145 -08.9140725958025|  -0.667 -4.326     |10.21    |~                  |    ~     ~    |    1|  726.006   pc  |  -9.8565     +9.8565  |paral   |2020yCat.1350....0G
988 |TYC 3293-2073-1                                                                                          |High Proper Motion Star           |02 06 36.6235973208 +51 59 26.707584516|134.5245522398929 -09.1809137100943| 54.460 -38.422     |10.47    |~                  |    ~     ~    |    1|  191.538   pc  |  -0.6714     +0.6714  |paral   |2020yCat.1350....0G
989 |TYC 3293-2161-1                                                                                          |Star                              |02 06 59.7941001048 +51 59 17.063934576|134.5829559304118 -09.1661672089988|   24.209 0.726     |10.39    |~                  |    ~     ~    |    1|  176.004   pc  |  -0.6134     +0.6134  |paral   |2020yCat.1350....0G
990 |TYC 3293-2198-1                                                                                          |Star                              |02 07 15.8313149088 +52 05 28.974095628|134.5921821291332 -09.0553561542064| 23.494 -10.204     |10.81    |~                  |    ~     ~    |    1|  308.995   pc  |  -1.8332     +1.8332  |paral   |2020yCat.1350....0G
991 |TYC 3293-2200-1                                                                                          |Star                              |02 05 38.5043510880 +52 06 31.125742956|134.3456655784222 -09.1110160544606|  -6.425 -0.100     |10.66    |~                  |    ~     ~    |    1|  670.151   pc  |  -7.5449     +7.5449  |paral   |2020yCat.1350....0G
992 |TYC 3685-10-1                                                                                            |Star                              |02 12 51.3431496144 +54 01 33.372980940|134.8103535547911 -06.9574332942749|   3.022 -0.551     |10.79    |~                  |    ~     ~    |    1|  713.470   pc  | -12.5224    +12.5224  |paral   |2020yCat.1350....0G
993 |TYC 3685-16-1                                                                                            |Star                              |02 06 45.6197345880 +54 19 17.313137004|133.8638796953966 -06.9437428779486|  -0.599 -3.341     |10.75    |~                  |    ~     ~    |    1|  872.220   pc  | -12.0962    +12.0962  |paral   |2020yCat.1350....0G
994 |TYC 3685-21-1                                                                                            |Star                              |02 12 36.1345964448 +52 58 46.541526348|135.1032141369721 -07.9633820795588|   9.367 -7.329     |10.49    |~                  |    ~     ~    |    1|  726.216   pc  | -11.2862    +11.2862  |paral   |2020yCat.1350....0G
995 |TYC 3685-69-1                                                                                            |Star                              |02 12 05.0186173848 +52 58 09.933837420|135.0314715051109 -07.9973045785028|   2.271 -3.645     |10.80    |~                  |    ~     ~    |    1|  875.503   pc  | -14.0271    +14.0271  |paral   |2020yCat.1350....0G
996 |TYC 3685-109-1                                                                                           |Star                              |02 10 21.5161948416 +52 37 15.121726248|134.8887302100367 -08.4090470772031|   0.925 -2.510     |8.67     |~                  |    ~     ~    |    1| 1309.072   pc  | -37.5294    +37.5294  |paral   |2020yCat.1350....0G
997 |TYC 3685-115-1                                                                                           |Star                              |02 02 35.4468742104 +52 36 16.619566212|133.7520450921947 -08.7658995201965|  14.675 -8.330     |10.37    |~                  |    ~     ~    |    1|  438.385   pc  |  -3.1710     +3.1710  |paral   |2020yCat.1350....0G
998 |TYC 3685-123-1                                                                                           |Star                              |02 07 27.0413667936 +53 01 24.139747128|134.3436903746487 -08.1558850786714|   8.347 -5.475     |10.72    |~                  |    ~     ~    |    1|  783.883   pc  | -14.6245    +14.6245  |paral   |2020yCat.1350....0G
999 |TYC 3685-130-1                                                                                           |Star                              |02 09 49.1257082736 +53 56 50.423001828|134.4064189983382 -07.1690084403114|  13.170 -5.641     |10.76    |~                  |    ~     ~    |    1|  624.844   pc  | -12.3766    +12.3766  |paral   |2020yCat.1350....0G
1000|TYC 3685-175-1                                                                                           |Star                              |02 11 32.4791893872 +52 42 35.326331136|135.0337877385329 -08.2695193265534|  32.318 -8.244     |10.45    |~                  |    ~     ~    |    1|  470.079   pc  |  -4.0217     +4.0217  |paral   |2020yCat.1350....0G
1001|TYC 3685-180-1                                                                                           |Star                              |02 06 11.0968752312 +54 16 32.395711368|133.7962101612872 -07.0118116239366|   2.446 -4.809     |9.55     |~                  |    ~     ~    |    1| 1152.074   pc  | -20.8382    +20.8382  |paral   |2020yCat.1350....0G
1002|TYC 3685-192-1                                                                                           |Star                              |02 05 04.7792501424 +53 56 51.756760140|133.7340581436511 -07.3723532190809|   4.141 -2.595     |10.56    |~                  |    ~     ~    |    1|  813.603   pc  | -12.1799    +12.1799  |paral   |2020yCat.1350....0G
1003|TYC 3685-229-1                                                                                           |Star                              |02 12 05.1544492608 +52 51 58.268920356|135.0641013600611 -08.0953597668211|  -5.704 -0.540     |9.96     |~                  |    ~     ~    |    1|  615.915   pc  | -10.9633    +10.9633  |paral   |2020yCat.1350....0G
1004|TYC 3685-236-1                                                                                           |Star                              |02 02 37.3548495216 +54 02 24.860429664|133.3583605408827 -07.3841930115208|   4.038 -3.740     |10.27    |~                  |    ~     ~    |    1| 1144.558   pc  | -23.4492    +23.4492  |paral   |2020yCat.1350....0G
