C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:28:33

dec< 0&rah >=15.25&rah< 15.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6426

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------------|-----|----------------|-------------------------|--------|-------------------
23  |HD 136052                                                             |High Proper Motion Star           |15 19 45.7561880040 -36 15 31.651123932|333.6053094215441 +17.6282921113294|-79.938 -211.413   |9.47     |K0V            |    ~     ~          |    1|   66.449   pc  |  -0.0843     +0.0843    |paral   |2020yCat.1350....0G
24  |HD 136260                                                             |Star                              |15 20 58.8287183280 -36 09 48.811689900|333.8744053509270 +17.5680898249019|  -5.398 -0.016    |10.45    |B9/A0IV        |    ~     ~          |    1|  756.144   pc  | -14.4654    +14.4654    |paral   |2020yCat.1350....0G
25  |CD-35 10233                                                           |Star                              |15 21 46.6450157976 -36 18 34.151665464|333.9262244972254 +17.3567234849800| -28.738 -6.587    |8.84     |K2             |    ~     ~          |    1|  413.873   pc  |  -6.8516     +6.8516    |paral   |2020yCat.1350....0G
26  |* phi01 Lup                                                           |High Proper Motion Star           |15 21 48.3696659 -36 15 40.952469      |333.9598919214 +17.3929973735      |  -92.33 -85.67    |3.546    |K4III          |    ~     ~          |    1|   94.1735  pc  |  -5.1686     +5.1686    |paral   |2018yCat.1345....0G
27  |HD 135621                                                             |Star                              |15 17 20.6221007712 -36 44 18.500949852|332.9012798911775 +17.5022378583230|-33.169 -28.666    |9.51     |K0(III)        |    ~     ~          |    1|  269.644   pc  |  -1.3015     +1.3015    |paral   |2020yCat.1350....0G
28  |CD-36 10030                                                           |Long-Period Variable Candidate    |15 17 22.2273963264 -36 34 25.102895052|333.0019243617097 +17.6363732799633| -22.101 -6.249    |9.19     |M2/3           |    ~     ~          |    1|  864.379   pc  | -23.4605    +23.4605    |paral   |2020yCat.1350....0G
29  |HD 135665                                                             |Star                              |15 17 35.0556442632 -36 33 50.105027808|333.0450437157800 +17.6206051374477|-13.150 -14.722    |9.75     |F6/7V          |    ~     ~          |    1|  258.826   pc  |  -1.2326     +1.2326    |paral   |2020yCat.1350....0G
30  |HD 135685                                                             |Pulsating Variable                |15 17 39.8813641272 -36 55 15.618282528|332.8511036433969 +17.3147505340628|  -9.560 -6.112    |8.66     |F2IV/V         |    ~     ~          |    1|  300.093   pc  |  -3.9535     +3.9535    |paral   |2020yCat.1350....0G
31  |HD 135729                                                             |Star                              |15 17 51.5416692864 -36 58 38.095780512|332.8521977551973 +17.2464143824657|-30.754 -18.688    |9.69     |F8IV           |    ~     ~          |    1|  174.828   pc  |  -0.6969     +0.6969    |paral   |2020yCat.1350....0G
32  |HD 135954                                                             |Star                              |15 19 10.2322129368 -36 46 40.718730072|333.1965330696183 +17.2654873015583|   4.513 -5.051    |10.13    |A0IV           |    ~     ~          |    1|  802.439   pc  | -26.0783    +26.0783    |paral   |2020yCat.1350....0G
