C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:28:33

dec< 0&rah >=15.25&rah< 15.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6426

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------------|-----|----------------|-------------------------|--------|-------------------
705 |CD-23 12161                                                           |Star                              |15 15 45.0968676792 -24 18 57.732780564|340.3162266750672 +27.8869277046170| -19.169 -1.029    |10.302   |~              |    ~     ~          |    1|  509.190   pc  | -18.5400    +18.5400    |ST-L    |2020AJ....160...83S
706 |CD-23 12187                                                           |High Proper Motion Star           |15 17 45.0683181912 -24 25 43.759899876|340.6535229388456 +27.5251642197918|-91.023 -59.271    |9.78     |~              |    ~     ~          |    1|  190.989   pc  |  -6.7665     +6.7665    |paral   |2020yCat.1350....0G
707 |TYC 6182-373-1                                                        |Star                              |15 17 28.7362034976 -22 20 30.151580280|342.0258504761950 +29.2287713655381| -9.812 -12.794    |10.908   |~              |    ~     ~          |    1|  301.971   pc  |  -5.4980     +5.4980    |ST-L    |2020AJ....160...83S
708 |TYC 6182-415-1                                                        |Star                              |15 16 38.1792164712 -22 26 37.384893456|341.7773988869111 +29.2654853512716|  -4.264 -1.503    |10.463   |~              |    ~     ~          |    1| 1228.980   pc  |-115.6000   +115.6000    |ST-L    |2020AJ....160...83S
709 |TYC 6183-370-1                                                        |Star                              |15 21 36.1333114560 -22 29 02.522098752|342.7870405149228 +28.5329706361446|-18.386 -13.993    |10.549   |~              |    ~     ~          |    1|  657.871   pc  | -34.6000    +34.6000    |ST-L    |2020AJ....160...83S
710 |TYC 6762-180-1                                                        |Star                              |15 18 02.6220928080 -23 03 55.235132676|341.6434215785185 +28.5741537902065|-34.705 -26.871    |10.81    |~              |    ~     ~          |    1|  157.458   pc  |  -0.6397     +0.6397    |paral   |2020yCat.1350....0G
711 |TYC 6762-716-1                                                        |Star                              |15 20 28.7349838968 -23 05 25.730872152|342.1314109767258 +28.2135421927056|  6.771 -27.237    |10.902   |~              |    ~     ~          |    1| 1085.640   pc  |-336.6000   +336.6000    |ST-L    |2020AJ....160...83S
712 |TYC 6762-789-1                                                        |Star                              |15 15 19.3348661904 -24 14 40.320299580|340.2749614608911 +28.0025039036980|  -8.137 -0.786    |10.454   |~              |    ~     ~          |    1|  750.541   pc  | -35.1400    +35.1400    |ST-L    |2020AJ....160...83S
713 |TYC 6762-1026-1                                                       |Star                              |15 19 18.7272534048 -24 05 15.737596440|341.2055057164778 +27.5839962080344| -24.804 -9.567    |10.878   |~              |    ~     ~          |    1|  332.935   pc  |  -7.0680     +7.0680    |ST-L    |2020AJ....160...83S
714 |TYC 6762-1029-1                                                       |Star                              |15 20 55.3267733256 -24 16 16.401751428|341.4094121377622 +27.2155785471734|  -7.370 -0.672    |10.80    |~              |    ~     ~          |    1| 1507.940   pc  |-139.8000   +139.8000    |ST-L    |2020AJ....160...83S
715 |TYC 6762-1243-1                                                       |Star                              |15 16 00.1664685648 -24 00 24.133305852|340.5765144942481 +28.1017443660283| -10.080 -2.739    |10.757   |~              |    ~     ~          |    1|  374.175   pc  |  -9.9430     +9.9430    |ST-L    |2020AJ....160...83S
716 |TYC 6762-1470-1                                                       |Star                              |15 19 32.1975906072 -23 28 45.393255984|341.6682396308331 +28.0371082381321|   4.168 -6.089    |10.755   |~              |    ~     ~          |    1|  496.142   pc  | -18.3900    +18.3900    |ST-L    |2020AJ....160...83S
717 |TYC 6763-923-1                                                        |Star                              |15 21 06.3822521832 -23 21 51.086366784|342.0709007109039 +27.9088376760208|-24.722 -27.615    |10.853   |~              |    ~     ~          |    1|  499.649   pc  | -14.4100    +14.4100    |ST-L    |2020AJ....160...83S
718 |TYC 6763-2007-1                                                       |Star                              |15 21 37.6828881312 -24 13 52.776730812|341.5802475126951 +27.1493259162535|  -3.201 -0.466    |10.555   |~              |    ~     ~          |    1|  804.127   pc  | -31.9400    +31.9400    |ST-L    |2020AJ....160...83S
719 |TYC 6767-1507-1                                                       |Star                              |15 21 38.0761544400 -24 22 51.491329392|341.4791785384174 +27.0297491125127| -1.104 -10.782    |10.665   |~              |    ~     ~          |    1| 4381.930   pc  |-1673.0000   +1673.0000  |ST-L    |2020AJ....160...83S
720 |TYC 6767-1557-1                                                       |Star                              |15 21 10.1198417328 -24 23 18.375256212|341.3795165748628 +27.0883540834304|  8.125 -31.058    |10.763   |~              |    ~     ~          |    1|  137.299   pc  |  -1.8140     +1.8140    |ST-L    |2020AJ....160...83S
721 |TYC 6767-1655-1                                                       |Star                              |15 21 59.9304836208 -24 37 04.391345496|341.3911159269412 +26.7913606791083|-14.277 -32.616    |10.69    |~              |    ~     ~          |    1|  342.936   pc  |  -2.4344     +2.4344    |paral   |2020yCat.1350....0G
722 |TYC 6767-1864-1                                                       |Star                              |15 21 31.0998670992 -24 31 41.884224708|341.3550269164185 +26.9289254215658|-12.323 -13.036    |10.90    |~              |    ~     ~          |    1|  473.072   pc  | -15.4000    +15.4000    |ST-L    |2020AJ....160...83S
723 |TYC 6762-1057-1                                                       |Star                              |15 17 30.6138066816 -23 56 35.036590956|340.9324346738232 +27.9471074012854| -41.413 11.585    |10.758   |~              |    ~     ~          |    1|  243.081   pc  |  -4.2390     +4.2390    |ST-L    |2020AJ....160...83S
724 |TYC 6762-1469-1                                                       |Star                              |15 19 06.9800199000 -23 49 04.616673060|341.3493328092296 +27.8259760370760|  -0.245 -4.776    |10.71    |~              |    ~     ~          |    1| 1291.990   pc  | -44.4017    +44.4017    |paral   |2020yCat.1350....0G
725 |TYC 6762-874-1                                                        |Star                              |15 19 27.8262102624 -24 08 25.841777928|341.2006415892291 +27.5210090812165| -15.669 -6.398    |10.927   |~              |    ~     ~          |    1|  924.044   pc  | -15.7963    +15.7963    |paral   |2020yCat.1350....0G
726 |TYC 6766-320-1                                                        |Star                              |15 18 29.7846292416 -24 24 16.313996016|340.8230406797134 +27.4429649397362|-13.853 -20.606    |10.35    |~              |    ~     ~          |    1|  718.184   pc  | -11.1926    +11.1926    |paral   |2020yCat.1350....0G
727 |HD 136032B                                                            |High Proper Motion Star           |15 19 09.2276197416 -24 15 55.678255920|341.0521097789495 +27.4640056872982| -71.985 -8.873    |8.58     |~              |    ~     ~          |    1|  106.485   pc  |  -0.4502     +0.4502    |paral   |2020yCat.1350....0G
728 |BD-22 3940                                                            |Star                              |15 22 34.2087252216 -23 24 30.185537364|342.3399669147748 +27.6677814736539|  -6.586 -3.704    |9.53     |K0             |    ~     ~          |    1|  794.842   pc  | -36.5200    +36.5200    |ST-L    |2020AJ....160...83S
729 |HD 136678                                                             |Double or Multiple Star           |15 22 43.7251101000 -22 53 57.429578148|342.7277157988082 +28.0459204871719|-38.702 -19.362    |8.38     |Fm_dD          |0.0033  0.0          |    1|  294.286   pc  | -32.3900    +32.3900    |ST-L    |2020AJ....160...83S
730 |BD-22 3942                                                            |Star                              |15 22 45.2462841192 -23 06 11.529946476|342.5902417453358 +27.8819919285871| -7.672 -13.158    |9.875    |K5             |    ~     ~          |    1|  806.151   pc  | -40.8500    +40.8500    |ST-L    |2020AJ....160...83S
731 |HD 136941                                                             |Star                              |15 24 11.3353655616 -22 43 26.446630080|343.1497701515533 +27.9744819274869| -7.938 -25.334    |8.70     |K3III          |    ~     ~          |    1|  451.233   pc  | -13.3200    +13.3200    |ST-L    |2020AJ....160...83S
732 |HD 137116                                                             |Star                              |15 24 55.7158048392 -22 54 04.471047432|343.1754818348289 +27.7296395963743|  -10.755 3.533    |9.02     |G8III/IV       |    ~     ~          |    1|  504.643   pc  |  -4.3802     +4.3802    |paral   |2020yCat.1350....0G
733 |HD 137186                                                             |Star                              |15 25 24.2111237088 -23 19 10.738925292|342.9773648385883 +27.3345109576163|  -1.338 -1.372    |8.85     |K4/5(III)      |    ~     ~          |    1|  821.153   pc  | -21.2402    +21.2402    |paral   |2020yCat.1350....0G
734 |HD 136821                                                             |Star                              |15 23 29.3279614584 -24 05 29.319358812|342.0532765564493 +26.9999910806444|  -3.622 -5.163    |8.59     |A0IV           |    ~     ~          |    1|  258.887   pc  |  -4.3790     +4.3790    |ST-L    |2020AJ....160...83S
735 |HD 137153                                                             |Double or Multiple Star           |15 25 07.6541034 -23 40 16.547019      |342.6755823688 +27.0986882071      |  -19.73 -42.26    |8.46     |G2V            |0.0033  0.0          |    0|                |                         |        |                   
736 |V* RW Lib                                                             |Mira Variable                     |15 23 06.2123553864 -24 04 10.512066360|341.9905131305588 +27.0713077683103|  -5.561 -1.888    |8.84     |K5-M5.5e       |    ~     ~          |    0|                |                         |        |                   
737 |V* RS Lib                                                             |Mira Variable                     |15 24 19.7909986800 -22 54 39.843703260|343.0467113519224 +27.8079069905775| 17.562 -14.133    |7.00     |M7-8e          |    ~     ~          |    1|  199.350   pc  |  -9.7523     +9.7523    |paral   |2020yCat.1350....0G
738 |HD 137034                                                             |Star                              |15 24 33.5841644304 -24 22 14.744768700|342.0760286333585 +26.6295929032239| -2.708 -48.130    |8.61     |A3mA7-A9       |    ~     ~          |    1|  190.487   pc  |  -3.9188     +3.9188    |paral   |2020yCat.1350....0G
739 |CD-23 12269                                                           |Star                              |15 24 51.4906887696 -24 13 01.602944328|342.2420616603824 +26.7084564765257| -45.802 -7.153    |9.71     |~              |    ~     ~          |    1|  484.541   pc  | -14.5000    +14.5000    |ST-L    |2020AJ....160...83S
740 |CD-24 12040                                                           |Star                              |15 24 26.1294002928 -24 52 26.282956800|341.7052381063123 +26.2504026151774| -10.092 -4.462    |9.977    |~              |    ~     ~          |    1|  295.070   pc  |  -9.9310     +9.9310    |ST-L    |2020AJ....160...83S
741 |BD-22 3945                                                            |Star                              |15 23 00.9589163256 -23 25 42.809151144|342.4168542067030 +27.5888678414480|-16.291 -11.728    |9.835    |~              |    ~     ~          |    1|  269.589   pc  |  -4.5870     +4.5870    |ST-L    |2020AJ....160...83S
742 |BD-22 3946                                                            |Star                              |15 23 19.5462190560 -23 25 56.121578652|342.4773523364622 +27.5421011882148|       12.5 6.1    |10.316   |~              |    ~     ~          |    0|                |                         |        |                   
743 |BD-22 3952                                                            |High Proper Motion Star           |15 25 02.4447793128 -22 41 46.675673232|343.3430484286828 +27.8735124835775|-10.732 -50.974    |10.753   |~              |    ~     ~          |    1|  228.742   pc  |  -2.9360     +2.9360    |ST-L    |2020AJ....160...83S
744 |CD-23 12257                                                           |Star                              |15 23 46.0842695616 -23 28 38.129438172|342.5358931470975 +27.4440279396391| -13.500 -7.106    |10.349   |~              |    ~     ~          |    1|  636.108   pc  | -21.3000    +21.3000    |ST-L    |2020AJ....160...83S
745 |BD-22 3956                                                            |Star                              |15 26 20.7617800056 -23 23 19.957703856|343.1187326713993 +27.1453280042693| 16.782 -11.149    |10.195   |F8             |    ~     ~          |    1|  178.047   pc  |  -1.8030     +1.8030    |ST-L    |2020AJ....160...83S
746 |BD-22 3957                                                            |High Proper Motion Star           |15 26 47.0994653424 -23 14 37.990410468|343.3091343009587 +27.1951791614770| 39.781 -31.583    |10.616   |G0             |    ~     ~          |    1|  216.458   pc  |  -2.6950     +2.6950    |ST-L    |2020AJ....160...83S
747 |BD-22 3959                                                            |Star                              |15 27 10.4933332920 -22 53 22.170222168|343.6383863947685 +27.4143668340291|   -8.496 3.865    |9.74     |K0             |    ~     ~          |    1|  568.473   pc  |  -5.5261     +5.5261    |paral   |2020yCat.1350....0G
748 |BD-22 3960                                                            |Star                              |15 28 08.7352878192 -23 15 10.246512744|343.5756504155173 +26.9915661668145| -13.560 -3.673    |10.252   |K0             |    ~     ~          |    1|  342.443   pc  |  -9.1470     +9.1470    |ST-L    |2020AJ....160...83S
749 |BD-22 3963                                                            |Star                              |15 28 53.5424308512 -22 58 07.146059160|343.9268160068090 +27.1030736636928|  -5.203 -3.455    |9.870    |K2             |    ~     ~          |    1| 1092.420   pc  | -73.3500    +73.3500    |ST-L    |2020AJ....160...83S
750 |HD 137229                                                             |Star                              |15 25 29.6312202912 -23 41 14.226157284|342.7381568139962 +27.0339994762043| -24.412 -6.691    |8.54     |A7IV           |    ~     ~          |    1|  231.075   pc  |  -2.1679     +2.1679    |paral   |2020yCat.1350....0G
751 |HD 137858                                                             |Star                              |15 29 08.6396475144 -23 41 57.831830412|343.4588186534326 +26.5007130613694| 41.074 -17.375    |9.651    |G2/3V          |    ~     ~          |    1|   95.347   pc  |  -0.5739     +0.5739    |ST-L    |2020AJ....160...83S
752 |HD 137951                                                             |Star                              |15 29 45.5554838472 -24 05 38.473302948|343.3024484530332 +26.1059300896467| -6.704 -10.298    |9.79     |A2III/IV       |    ~     ~          |    1|  275.514   pc  |  -5.5020     +5.5020    |ST-L    |2020AJ....160...83S
753 |HD 137950                                                             |Star                              |15 29 47.3977172112 -23 33 46.099569960|343.6834227110571 +26.5128822839357| -42.263 -1.126    |9.85     |F5IV/V         |    ~     ~          |    1|  183.827   pc  |  -0.6454     +0.6454    |paral   |2020yCat.1350....0G
754 |CD-23 12301                                                           |Star                              |15 27 43.2281462424 -24 23 29.140693548|342.6915581672575 +26.1665210750857|   -2.086 1.226    |9.631    |~              |    ~     ~          |    1|  318.241   pc  |  -5.7490     +5.7490    |ST-L    |2020AJ....160...83S
755 |CD-23 12309                                                           |Star                              |15 28 19.8015748776 -24 21 19.280085696|342.8372987868357 +26.1077815340847| -11.890 -4.598    |10.07    |~              |    ~     ~          |    1|  785.188   pc  | -35.4600    +35.4600    |ST-L    |2020AJ....160...83S
756 |CD-23 12318                                                           |Star                              |15 28 54.1742791776 -24 23 57.525190656|342.9196750560962 +25.9917102397783|  -9.595 -2.775    |10.190   |~              |    ~     ~          |    1|  676.261   pc  | -20.8900    +20.8900    |ST-L    |2020AJ....160...83S
757 |CD-24 12054                                                           |Star                              |15 25 29.0433905232 -24 55 53.980885956|341.8744178643067 +26.0585644843236|  14.097 -2.566    |9.87     |~              |    ~     ~          |    1|  779.182   pc  | -33.8300    +33.8300    |ST-L    |2020AJ....160...83S
758 |CD-24 12066                                                           |Eclipsing Binary                  |15 26 17.5928717160 -24 59 18.863016936|341.9957200146099 +25.9005065462526|-20.269 -11.817    |8.80     |~              |    ~     ~          |    1|  269.966   pc  |  -4.4000     +4.4000    |ST-L    |2020AJ....160...83S
759 |CD-24 12068                                                           |Star                              |15 26 20.8494180120 -24 48 10.231006176|342.1343985090527 +26.0387220915754|  -18.436 1.067    |10.11    |~              |    ~     ~          |    1|  327.919   pc  |  -6.8660     +6.8660    |ST-L    |2020AJ....160...83S
760 |CD-24 12077                                                           |Double or Multiple Star           |15 27 02.01795 -24 31 34.5036          |342.46174928 +26.15864971          |     -8.61 4.58    |9.76     |F0             |0.0050  0.0          |    1|  330.81    pc  | +51.519      +5         |ST-L    |2017AJ....153...75K
761 |HD 137613                                                             |Carbon Star                       |15 27 48.3151103352 -25 10 10.124004468|342.1691984576814 +25.5462186075970|  -1.215 -8.011    |7.54     |C-Hd1Ib:       |    ~     ~          |    1| 1286.670   pc  | -51.8178    +51.8178    |paral   |2020yCat.1350....0G
762 |CD-24 12098                                                           |Star                              |15 28 47.1314054472 -24 35 36.975405768|342.7610046124268 +25.8571812226759|  -15.106 0.332    |9.84     |~              |    ~     ~          |    1|  215.585   pc  |  -2.9230     +2.9230    |ST-L    |2020AJ....160...83S
763 |CD-24 12099                                                           |Star                              |15 28 50.6387695536 -24 30 52.140988044|342.8276658437427 +25.9104720156465|  -3.995 -1.302    |9.866    |~              |    ~     ~          |    1|  551.129   pc  | -18.9500    +18.9500    |ST-L    |2020AJ....160...83S
764 |CD-24 12102                                                           |Star                              |15 29 01.6065204600 -24 36 43.158069648|342.7956478316896 +25.8084692763693|-12.752 -20.978    |9.48     |~              |    ~     ~          |    1|  446.788   pc  |  -3.2738     +3.2738    |paral   |2020yCat.1350....0G
765 |HD 137859                                                             |Star                              |15 29 09.9128606544 -24 27 05.466408516|342.9348623978590 +25.9135818120902|-10.758 -14.164    |7.78     |K0III          |    ~     ~          |    1|  273.883   pc  |  -1.6353     +1.6353    |paral   |2020yCat.1350....0G
766 |BD-22 3954                                                            |Star                              |15 25 34.0077636240 -22 46 09.102137808|343.3984156908495 +27.7407411990457|-29.330 -10.065    |10.376   |~              |    ~     ~          |    1|  189.391   pc  |  -2.6520     +2.6520    |ST-L    |2020AJ....160...83S
767 |CD-23 12305                                                           |Star                              |15 28 02.2878280392 -23 44 17.282568228|343.2117807571360 +26.6301151309073|  3.567 -11.861    |10.830   |~              |    ~     ~          |    1|  225.757   pc  |  -3.0240     +3.0240    |ST-L    |2020AJ....160...83S
768 |CD-23 12307                                                           |Star                              |15 28 13.3022782872 -23 31 24.210557724|343.3996188812147 +26.7705511983769|  7.200 -27.502    |10.864   |~              |    ~     ~          |    1|  313.643   pc  |  -5.8540     +5.8540    |ST-L    |2020AJ....160...83S
769 |CD-24 12089                                                           |Star                              |15 28 18.9144216408 -24 55 38.218413360|342.4367357491684 +25.6636593510549|  -6.784 -4.458    |9.79     |~              |    ~     ~          |    1|  471.698   pc  |  -8.2547     +8.2547    |paral   |2020yCat.1350....0G
770 |CD-24 12093                                                           |Star                              |15 28 32.9227294584 -25 12 22.241585304|342.2896292045393 +25.4127417592529| -11.105 -8.944    |9.987    |~              |    ~     ~          |    1|  566.291   pc  | -24.2000    +24.2000    |ST-L    |2020AJ....160...83S
771 |CPD-23 6195                                                           |Star                              |15 29 50.6699875128 -23 56 53.316344436|343.4219524792082 +26.2066918417866| -16.805 -9.338    |10.61    |~              |    ~     ~          |    1|  526.981   pc  |  -6.8594     +6.8594    |paral   |2020yCat.1350....0G
772 |CD-24 12080                                                           |High Proper Motion Star           |15 27 28.7575113600 -24 56 39.387203520|342.2604843958094 +25.7684703008656|  9.499 -52.591    |10.529   |~              |    ~     ~          |    1|  171.914   pc  |  -2.0690     +2.0690    |ST-L    |2020AJ....160...83S
773 |CD-24 12085                                                           |Star                              |15 27 50.4243632784 -24 42 27.865629720|342.4954244445953 +25.9024381253627|  -5.921 -5.319    |10.448   |~              |    ~     ~          |    1|  229.886   pc  |  -5.3980     +5.3980    |ST-L    |2020AJ....160...83S
774 |CD-24 12097                                                           |Star                              |15 28 44.8834909104 -25 01 15.738758760|342.4567227988902 +25.5291740768288| -2.112 -10.962    |10.522   |~              |    ~     ~          |    1| 1011.570   pc  | -80.7100    +80.7100    |ST-L    |2020AJ....160...83S
775 |BD-22 3964                                                            |High Proper Motion Star           |15 29 02.3823208868 -22 55 55.690581320|343.9822927810943 +27.1097854012567|-93.342 -51.512    |10.52    |~              |    ~     ~          |    1|   64.691   pc  |  -4.5290     +4.5290    |ST-L    |2020AJ....160...83S
776 |CPD-23 6192                                                           |Star                              |15 29 21.8691376368 -23 27 47.579002956|343.6695770768863 +26.6517281161795|   3.969 -4.096    |10.645   |~              |    ~     ~          |    1|  374.168   pc  | -10.3400    +10.3400    |ST-L    |2020AJ....160...83S
777 |CD-24 12063                                                           |Star                              |15 26 11.9085638088 -25 08 11.705978940|341.8752855329223 +25.7974501445973|-10.330 -25.321    |9.70     |~              |    ~     ~          |    1|  245.415   pc  | -18.2100    +18.2100    |ST-L    |2020AJ....160...83S
778 |TYC 6763-116-1                                                        |Star                              |15 25 05.9917679304 -22 44 59.856784764|343.3171280136757 +27.8231128652342|  4.655 -34.646    |10.997   |~              |    ~     ~          |    1|  285.525   pc  |  -5.7410     +5.7410    |ST-L    |2020AJ....160...83S
779 |TYC 6763-262-1                                                        |Star                              |15 27 06.2287050720 -22 52 40.147417524|343.6323478804511 +27.4337454968752| -25.945 -8.117    |10.693   |~              |    ~     ~          |    1|  412.909   pc  | -11.2500    +11.2500    |ST-L    |2020AJ....160...83S
780 |TYC 6763-498-1                                                        |Star                              |15 28 32.9605529832 -23 04 51.656214108|343.7782800114933 +27.0661177978845|-13.677 -11.261    |10.980   |~              |    ~     ~          |    1|  184.432   pc  |  -2.2990     +2.2990    |ST-L    |2020AJ....160...83S
781 |TYC 6763-549-1                                                        |Star                              |15 28 38.2764063984 -23 06 52.607825352|343.7721233359713 +27.0272098483780| -4.799 -20.057    |10.728   |~              |    ~     ~          |    1|  246.137   pc  |  -4.1700     +4.1700    |ST-L    |2020AJ....160...83S
782 |TYC 6763-828-1                                                        |Star                              |15 28 43.3715615040 -23 26 18.012136632|343.5595795054824 +26.7640619649106|   21.201 0.186    |10.808   |~              |    ~     ~          |    1|  290.880   pc  |  -5.6570     +5.6570    |ST-L    |2020AJ....160...83S
783 |TYC 6763-1034-1                                                       |High Proper Motion Star           |15 22 37.6004433672 -22 55 59.012206716|342.6831286351297 +28.0339033245634|-100.497 -60.724   |10.576   |~              |    ~     ~          |    1|  123.282   pc  |  -1.0760     +1.0760    |ST-L    |2020AJ....160...83S
784 |TYC 6763-1688-1                                                       |Star                              |15 23 44.2170931872 -24 20 26.085321852|341.9315590044408 +26.7687616630504|  3.877 -22.412    |10.900   |~              |    ~     ~          |    1|  214.024   pc  |  -2.8140     +2.8140    |ST-L    |2020AJ....160...83S
785 |TYC 6763-1838-1                                                       |Star                              |15 24 04.8304901592 -24 17 28.100246784|342.0347325804264 +26.7595770199613|-13.304 -15.888    |10.625   |~              |    ~     ~          |    1|  255.954   pc  |  -3.9990     +3.9990    |ST-L    |2020AJ....160...83S
786 |TYC 6763-1904-1                                                       |Star                              |15 26 12.2987020392 -24 22 10.321397976|342.4057344911764 +26.3986567889818|    0.955 0.597    |10.98    |~              |    ~     ~          |    1|  202.087   pc  |  -5.5320     +5.5320    |ST-L    |2020AJ....160...83S
787 |TYC 6763-2030-1                                                       |Star                              |15 26 56.7330751056 -24 14 32.191608192|342.6415971959266 +26.3932517938477|   15.941 1.830    |10.815   |~              |    ~     ~          |    1|  169.900   pc  |  -1.9890     +1.9890    |ST-L    |2020AJ....160...83S
788 |TYC 6767-31-1                                                         |Star                              |15 26 23.6233524936 -25 00 37.707547176|342.0005373499427 +25.8692098100627| 11.875 -16.148    |10.63    |~              |    ~     ~          |    1|  285.059   pc  |  -5.4240     +5.4240    |ST-L    |2020AJ....160...83S
789 |TYC 6767-430-1                                                        |Star                              |15 26 11.1648373248 -24 52 03.010611900|342.0578365275162 +26.0106362597168|    6.076 1.991    |10.67    |~              |    ~     ~          |    1|  814.996   pc  | -11.7567    +11.7567    |paral   |2020yCat.1350....0G
790 |TYC 6767-1529-1                                                       |Star                              |15 25 48.2139690432 -24 25 38.651764512|342.2856269066184 +26.4099804513206|-41.477 -25.842    |10.861   |~              |    ~     ~          |    1|  172.887   pc  |  -1.8230     +1.8230    |ST-L    |2020AJ....160...83S
791 |TYC 6767-1834-1                                                       |Star                              |15 29 00.9565584216 -24 34 06.010690620|342.8239503984311 +25.8440017259720|   1.509 -3.329    |10.591   |~              |    ~     ~          |    1|  722.336   pc  | -23.2100    +23.2100    |ST-L    |2020AJ....160...83S
792 |TYC 6767-1844-1                                                       |Star                              |15 29 04.3415466384 -24 44 44.187298800|342.7115481740992 +25.6979079124394|  9.430 -35.223    |10.900   |~              |    ~     ~          |    1|  250.126   pc  |  -3.8960     +3.8960    |ST-L    |2020AJ....160...83S
793 |HD 135639                                                             |High Proper Motion Star           |15 16 45.2027736264 -20 00 05.478837444|343.5268937227706 +31.1839252616695|  7.169 -59.682    |8.66     |F6V            |    ~     ~          |    1|  156.145   pc  |  -1.5230     +1.5230    |ST-L    |2020AJ....160...83S
794 |HD 136031                                                             |High Proper Motion Star           |15 18 59.7536414040 -20 07 53.386489560|343.9154191985513 +30.7558864756466|-140.901 -23.391   |9.67     |G8/K0IV        |    ~     ~          |    1|   76.898   pc  |  -0.3559     +0.3559    |ST-L    |2020AJ....160...83S
795 |HD 136104                                                             |High Proper Motion Star           |15 19 27.4051038096 -19 57 24.294945996|344.1406790937817 +30.8252139176483| 57.859 -45.143    |9.36     |G8IV           |    ~     ~          |    1|  202.581   pc  |  -0.7962     +0.7962    |paral   |2020yCat.1350....0G
796 |HD 135408                                                             |Star                              |15 15 30.0991111848 -20 12 58.588115832|343.1016258291307 +31.1948659252000| -25.056 -7.439    |9.15     |F5V            |    ~     ~          |    1|  122.413   pc  |  -0.3102     +0.3102    |paral   |2020yCat.1350....0G
797 |HD 135521                                                             |Star                              |15 16 08.1859610256 -20 25 36.847137180|343.0884957863925 +30.9372147398286|   7.273 -6.125    |9.54     |G8IV           |    ~     ~          |    0|                |                         |        |                   
798 |HD 135843                                                             |High Proper Motion Star           |15 17 53.0757285432 -20 23 44.353737420|343.4870131209936 +30.7099914925346|-61.908 -34.175    |10.03    |G5/6V          |    ~     ~          |    1|  196.356   pc  |  -0.6439     +0.6439    |paral   |2020yCat.1350....0G
799 |HD 135996                                                             |Star                              |15 18 54.0 -20 18 00                   |343.7732 +30.6378                  |            ~ ~    |10.6     |F3V            |    ~     ~          |    0|                |                         |        |                   
800 |HD 135443                                                             |Star                              |15 15 46.5974844456 -20 56 20.860004292|342.6469352436417 +30.5829782899278| 24.611 -14.761    |8.94     |F7V            |    ~     ~          |    1|   87.984   pc  |  -0.1432     +0.1432    |paral   |2020yCat.1350....0G
801 |HD 135683                                                             |Star                              |15 17 02.0001665952 -20 36 27.064045404|343.1526771662426 +30.6657668684036|-30.728 -24.625    |9.688    |K1/2III        |    ~     ~          |    1|  368.088   pc  | -10.7400    +10.7400    |ST-L    |2020AJ....160...83S
802 |BD-20 4194                                                            |Star                              |15 17 25.6902863856 -20 50 10.249701144|343.0742852237934 +30.4285911180341| -10.966 -3.354    |9.84     |M0             |    ~     ~          |    1|  458.905   pc  |  -4.5067     +4.5067    |paral   |2020yCat.1350....0G
803 |HD 135826                                                             |Star                              |15 17 50.9212921440 -20 43 19.835853060|343.2454992587337 +30.4580805047320| 13.608 -30.664    |8.07     |K0III          |    ~     ~          |    1|  249.227   pc  |  -1.8572     +1.8572    |paral   |2020yCat.1350....0G
804 |HD 135910                                                             |Star                              |15 18 23.4290468760 -21 03 45.680893776|343.1182800503876 +30.1118242742607|-20.915 -27.197    |9.637    |F5/6V          |    ~     ~          |    1|  229.267   pc  |  -3.7660     +3.7660    |ST-L    |2020AJ....160...83S
805 |HD 135983                                                             |Star                              |15 18 43.4783738592 -21 06 15.736316364|343.1595917805199 +30.0309855276396| -1.340 -11.106    |8.10     |K5/M0III       |    ~     ~          |    1|  765.755   pc  | -24.4521    +24.4521    |paral   |2020yCat.1350....0G
806 |HD 135982                                                             |Star                              |15 18 44.5289813568 -20 32 03.658376652|343.5708282216651 +30.4768071798940| -5.053 -15.499    |9.979    |F5V            |    ~     ~          |    1|  340.994   pc  |  -7.3660     +7.3660    |ST-L    |2020AJ....160...83S
807 |HD 136179                                                             |High Proper Motion Star           |15 19 48.1859762400 -20 52 17.043905316|343.5545421038927 +30.0585199017448|-95.319 -88.104    |8.42     |F3V            |    ~     ~          |    1|  152.149   pc  |  -0.5857     +0.5857    |paral   |2020yCat.1350....0G
808 |BD-20 4212                                                            |Star                              |15 21 37.1297459016 -20 38 01.922840772|344.1089142566264 +29.9797874689948|-14.885 -19.488    |9.958    |G5             |    ~     ~          |    1|  586.812   pc  | -19.0500    +19.0500    |ST-L    |2020AJ....160...83S
809 |HD 136622                                                             |Star                              |15 22 23.9554030968 -21 10 53.339354004|343.8780153116903 +29.4386011297770| -7.577 -13.074    |9.54     |A0V            |    ~     ~          |    1|  526.759   pc  | -16.0381    +16.0381    |paral   |2020yCat.1350....0G
