C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:03:39

dec< 0&rah >=12.0&rah< 12.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5795

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-------------------------|--------|-------------------
23  |HD 105264                                                             |Star                              |12 07 11.4303174192 -00 37 47.821084788|280.1704376260245 +60.2716842660454|  -22.527 2.012   |7.8      |K0III           |    ~     ~    |    1|  331.236   pc  |  -3.3464     +3.3464    |paral   |2020yCat.1350....0G
24  |BD+00 2896                                                            |Variable Star                     |12 07 56.7132746184 -00 39 37.625138820|280.5492299545987 +60.3074746175064|  -18.142 2.443   |10.31    |K0              |    ~     ~    |    1|  683.340   pc  | -10.4598    +10.4598    |paral   |2020yCat.1350....0G
25  |HD 105390                                                             |Star                              |12 08 07.7807442672 -00 23 53.444810400|280.4566192828298 +60.5698209339741| -18.622 15.108   |9.25     |F3/5V           |    ~     ~    |    1|  133.706   pc  |  -0.3075     +0.3075    |paral   |2020yCat.1350....0G
26  |V* UU Vir                                                             |RR Lyrae Variable                 |12 08 35.0724648279 -00 27 24.308752109|280.7146608799150 +60.5531816243001| -42.988 -2.480   |9.90     |kA2hF0          |    ~     ~    |    1|  802.955   pc  | -30.4316    +30.4316    |paral   |2020yCat.1350....0G
27  |AG-00 1694                                                            |Red Giant Branch star             |12 08 34.8687141960 -00 29 12.267459060|280.7335466188929 +60.5246552463294| -55.819 17.592   |10.7     |~               |    ~     ~    |    1|  446.927   pc  |  -4.8937     +4.8937    |paral   |2020yCat.1350....0G
28  |BD+00 2901                                                            |Star                              |12 08 53.3595029424 -00 45 32.049269100|281.0646330632667 +60.2938343709439|   22.285 8.111   |10.14    |G0              |    ~     ~    |    1|  129.555   pc  |  -0.3558     +0.3558    |paral   |2020yCat.1350....0G
29  |HD 105589                                                             |High Proper Motion Star           |12 09 25.8447738144 -00 45 30.730141620|281.3224165735475 +60.3387967907444|-36.588 -41.022   |7.87     |F3V             |    ~     ~    |    1|   96.139   pc  |  -0.2690     +0.2690    |paral   |2020yCat.1350....0G
30  |HD 105620                                                             |High Proper Motion Star           |12 09 39.0388935768 -00 46 25.137965964|281.4373839625105 +60.3424875051881|-18.530 -50.680   |9.580    |G5V             |    ~     ~    |    1|  101.058   pc  |  -1.0550     +1.0550    |ST-L    |2020AJ....160...83S
31  |BD+00 2904                                                            |Red Giant Branch star             |12 10 19.1563359288 -00 44 18.966684768|281.7344009783418 +60.4297960070698| -11.436 -2.000   |9.90     |K0              |    ~     ~    |    1|  495.055   pc  | -22.0800    +22.0800    |ST-L    |2020AJ....160...83S
32  |HD 105826                                                             |Star                              |12 10 51.1187439912 -00 26 40.093882800|281.7987217655717 +60.7511210498472|  -28.866 4.584   |9.26     |G8V             |    ~     ~    |    1|  487.662   pc  |  -4.7087     +4.7087    |paral   |2020yCat.1350....0G
