C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:03:39

dec< 0&rah >=12.0&rah< 12.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5795

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-------------------------|--------|-------------------
693 |BD-21 3464                                                            |Star                              |12 04 28.9824778848 -22 46 19.744076388|288.9986224408276 +38.8258632150678| -12.746 -4.349   |10.862   |~               |    ~     ~    |    1|  281.233   pc  |  -4.7110     +4.7110    |ST-L    |2020AJ....160...83S
694 |NAME Minkar                        * eps Crv                          |High Proper Motion Star           |12 10 07.4805825 -22 37 11.161983      |290.5901839489 +39.2598753664      |   -71.74 10.25   |2.98     |K2+IIIa         |    ~     ~    |    1|   94.3539  pc  |  -1.8143     +1.8143    |paral   |2020yCat.1350....0G
695 |HD 104836                                                             |Star                              |12 04 17.5448531520 -22 53 45.781357812|288.9808108883536 +38.6951449529506| -11.970 -1.008   |10.12    |A1III           |    ~     ~    |    1|  375.853   pc  |  -9.5110     +9.5110    |ST-L    |2020AJ....160...83S
696 |HD 104866                                                             |Star                              |12 04 34.7542359960 -23 05 50.634060720|289.1227315764794 +38.5145965095856|-17.722 -16.559   |10.07    |F7V             |    ~     ~    |    1|  242.925   pc  |  -1.1802     +1.1802    |paral   |2020yCat.1350....0G
697 |BD-22 3277                                                            |Star                              |12 04 52.6345146504 -23 10 07.850388468|289.2289157478434 +38.4608319225829|  -2.785 13.459   |10.335   |F8              |    ~     ~    |    1|  160.895   pc  |  -7.4970     +7.4970    |ST-L    |2020AJ....160...83S
698 |BD-22 3279                                                            |Star                              |12 05 04.8423618264 -23 34 59.352552336|289.4072349290117 +38.0681141097700|   6.042 -0.265   |10.26    |G5              |    ~     ~    |    1|  580.215   pc  | -28.7835    +28.7835    |paral   |2020yCat.1350....0G
699 |HD 104963                                                             |Double or Multiple Star           |12 05 07.5581552304 -23 37 27.728954184|289.4319363075430 +38.0303268958830|  -0.798 10.829   |10.361   |A5IV/V          |    ~     ~    |    1|  767.514   pc  | -53.0100    +53.0100    |ST-L    |2020AJ....160...83S
700 |HD 105003                                                             |High Proper Motion Star           |12 05 28.6909375968 -23 30 24.127737048|289.4980281478337 +38.1631965165089| 50.825 -42.198   |10.12    |F5/6V           |    ~     ~    |    1|  188.058   pc  |  -0.5446     +0.5446    |paral   |2020yCat.1350....0G
701 |BD-22 3283                                                            |Star                              |12 06 04.5613298040 -22 51 08.675930736|289.4809208583962 +38.8316245510017|-43.533 -13.624   |10.134   |F0              |    ~     ~    |    1|  253.335   pc  |  -4.7310     +4.7310    |ST-L    |2020AJ....160...83S
702 |HD 105110                                                             |High Proper Motion Star           |12 06 09.0175925424 -23 36 08.689979232|289.7161122999487 +38.1043769097243| 62.696 -97.274   |8.58     |K1V             |    ~     ~    |    1|   31.834   pc  |  -0.0225     +0.0225    |paral   |2020yCat.1350....0G
703 |HD 105144                                                             |Star                              |12 06 16.4479427928 -22 47 46.570604604|289.5218843823263 +38.8965728367900| -17.470 15.780   |7.26     |K0III           |    ~     ~    |    1|  191.828   pc  |  -0.8721     +0.8721    |paral   |2020yCat.1350....0G
704 |HD 105189                                                             |Star                              |12 06 45.7334479272 -23 02 20.238314172|289.7317061922480 +38.6849560304642|  -0.514 -6.416   |9.514    |K0III           |    ~     ~    |    1|  486.140   pc  | -15.7900    +15.7900    |ST-L    |2020AJ....160...83S
705 |HD 105206                                                             |Star                              |12 06 50.5736037312 -23 29 07.118676924|289.8802091813333 +38.2536112573317|-44.931 -13.455   |9.59     |G5/6IV          |    ~     ~    |    1|  164.322   pc  |  -0.5508     +0.5508    |paral   |2020yCat.1350....0G
706 |HD 105223                                                             |Star                              |12 06 55.3587696696 -23 06 12.404952252|289.7959949856686 +38.6301820019355|  -10.605 0.044   |8.99     |G8III/IV        |    ~     ~    |    1|  435.502   pc  |  -3.5087     +3.5087    |paral   |2020yCat.1350....0G
707 |HD 105241                                                             |High Proper Motion Star           |12 07 01.3406948064 -23 45 58.553332344|290.0091587942486 +37.9884067820105|-105.953 34.510   |6.94     |F7V             |    ~     ~    |    1|   76.830   pc  |  -0.1305     +0.1305    |paral   |2020yCat.1350....0G
708 |HD 105359                                                             |Star                              |12 07 54.3303958896 -22 47 40.518949668|289.9929516223708 +38.9809417717292|-21.512 -30.381   |9.93     |K0/1III+A       |    ~     ~    |    1|  146.248   pc  |  -1.3730     +1.3730    |ST-L    |2020AJ....160...83S
709 |BD-22 3292                                                            |Star                              |12 08 32.0194376544 -23 40 18.901345800|290.4127173379806 +38.1546146627214|  -31.635 0.464   |10.60    |K               |    ~     ~    |    1|  388.929   pc  |  -9.4390     +9.4390    |ST-L    |2020AJ....160...83S
710 |HD 105506                                                             |Star                              |12 08 49.1128297728 -23 39 06.688518444|290.4884871413123 +38.1879258120526|  9.542 -13.256   |9.46     |G8IV            |    ~     ~    |    1|  392.480   pc  |  -2.3568     +2.3568    |paral   |2020yCat.1350....0G
711 |HD 105528                                                             |High Proper Motion Star           |12 09 01.3857456720 -22 52 25.142844216|290.3382241573243 +38.9586482583235|-114.855 82.470   |9.98     |G5V             |    ~     ~    |    1|  139.063   pc  |  -0.3288     +0.3288    |paral   |2020yCat.1350....0G
712 |HD 105573                                                             |High Proper Motion Star           |12 09 20.0175945216 -23 22 42.721008420|290.5630475829614 +38.4798633245132|-62.613 -40.691   |9.16     |F7V             |    ~     ~    |    1|  149.936   pc  |  -0.3709     +0.3709    |paral   |2020yCat.1350....0G
713 |HD 105622                                                             |High Proper Motion Star           |12 09 40.6875166896 -22 56 36.058761060|290.5466006178430 +38.9220061556682|-121.725 -7.568   |9.52     |G8IV            |    ~     ~    |    1|   86.707   pc  |  -0.4764     +0.4764    |ST-L    |2020AJ....160...83S
714 |HD 105667                                                             |Star                              |12 10 01.1580499248 -23 29 00.869266716|290.7871799559155 +38.4094607884167|  -8.498 -6.099   |9.97     |F0V             |    ~     ~    |    1|  318.796   pc  |  -2.5001     +2.5001    |paral   |2020yCat.1350....0G
715 |* 3 Crv                                                               |High Proper Motion Star           |12 11 03.8390016096 -23 36 08.715836340|291.1168750396826 +38.3412990415612|-66.124 -20.205   |5.47     |A1V             |    ~     ~    |    1|   61.211   pc  |  -0.2945     +0.2945    |paral   |2020yCat.1350....0G
716 |CD-23 10343                                                           |Star                              |12 03 06.0561670968 -24 00 48.200469012|288.9753830204727 +37.5448868820307|  -9.588 -7.495   |10.29    |~               |    ~     ~    |    1|  474.226   pc  |  -4.7002     +4.7002    |paral   |2020yCat.1350....0G
717 |HD 104964                                                             |Star                              |12 05 04.3217357544 -24 06 56.722208724|289.5573628364533 +37.5488826238697| -32.436 -1.729   |9.44     |G8IV            |    ~     ~    |    1|  541.038   pc  |  -9.7476     +9.7476    |paral   |2020yCat.1350....0G
718 |V* UU Crv                                                             |Long-Period Variable Candidate    |12 05 49.0553841504 -23 46 52.322454300|289.6723699863413 +37.9131229195744| -15.418 -1.840   |8.89     |K5III           |    ~     ~    |    1| 1197.892   pc  | -28.4119    +28.4119    |paral   |2020yCat.1350....0G
719 |HD 105128                                                             |Star                              |12 06 15.7564040496 -24 00 04.091055084|289.8596577749418 +37.7212134158643|  -38.713 3.202   |9.933    |F2V             |    ~     ~    |    1|  257.544   pc  |  -4.0310     +4.0310    |ST-L    |2020AJ....160...83S
720 |BD-22 3286                                                            |Star                              |12 06 39.8658871392 -23 41 57.117392520|289.8891127932124 +38.0359625362443|   -4.977 5.915   |10.19    |K0              |    ~     ~    |    1|  779.830   pc  | -34.2900    +34.2900    |ST-L    |2020AJ....160...83S
721 |HD 105251                                                             |Star                              |12 07 04.7187214200 -24 02 23.541200124|290.1002499617413 +37.7241074570962|  -23.398 6.911   |9.37     |K1III(+G)       |    ~     ~    |    1|  416.615   pc  |  -2.9333     +2.9333    |paral   |2020yCat.1350....0G
722 |HD 105294                                                             |Star                              |12 07 28.9269088656 -24 08 24.277539444|290.2411431521805 +37.6460831686224| -11.815 20.114   |8.64     |K1III           |    ~     ~    |    1|  313.548   pc  |  -2.3398     +2.3398    |paral   |2020yCat.1350....0G
723 |HD 105328                                                             |High Proper Motion Star           |12 07 39.0393163200 -23 58 33.149448912|290.2442128364618 +37.8147153141122|111.379 -242.429  |6.71     |G0V             |    ~     ~    |    1|   38.223   pc  |  -0.0373     +0.0373    |paral   |2020yCat.1350....0G
724 |HD 105346                                                             |Star                              |12 07 49.2014254512 -24 08 48.372877248|290.3380675376016 +37.6559992815281|  5.605 -12.750   |9.73     |M2(III)         |    ~     ~    |    1|  951.656   pc  | -30.7015    +30.7015    |paral   |2020yCat.1350....0G
725 |HD 105574                                                             |Star                              |12 09 21.1999550904 -23 47 12.444843516|290.6763699427563 +38.0813903693416| -37.723 11.439   |8.93     |F5V             |    ~     ~    |    1|  129.353   pc  |  -0.9802     +0.9802    |ST-L    |2020AJ....160...83S
726 |HD 104757                                                             |Star                              |12 03 49.6084870944 -24 24 37.638144864|289.2941932704829 +37.1972378834031| -16.403 14.206   |9.72     |G0V             |    ~     ~    |    1|  197.750   pc  |  -0.7899     +0.7899    |paral   |2020yCat.1350....0G
727 |CD-23 10355                                                           |Star                              |12 04 06.1460003472 -24 18 12.291695892|289.3400201228378 +37.3158454356412|   3.423 -9.018   |10.20    |~               |    ~     ~    |    1|  672.655   pc  | -24.6000    +24.6000    |ST-L    |2020AJ....160...83S
728 |CD-23 10363                                                           |High Proper Motion Star           |12 05 07.4989465176 -24 24 43.889960844|289.6561310521404 +37.2627633833744|-116.142 -46.165  |10.28    |~               |    ~     ~    |    1|   99.459   pc  |  -0.1909     +0.1909    |paral   |2020yCat.1350....0G
729 |HD 105395                                                             |Star                              |12 08 04.7457350496 -24 30 34.874028900|290.5075122354195 +37.3137811882435|  -39.121 7.551   |7.88     |K1IIICNII       |    ~     ~    |    1|  286.952   pc  |  -2.4702     +2.4702    |paral   |2020yCat.1350....0G
730 |HD 105412                                                             |Star                              |12 08 10.4521864056 -24 20 47.480104968|290.4909298546907 +37.4778479684116|-15.390 -19.823   |9.792    |F7/8IV/V        |    ~     ~    |    1|  197.480   pc  |  -2.5950     +2.5950    |ST-L    |2020AJ....160...83S
731 |HD 105708                                                             |Star                              |12 10 07.3964466192 -24 25 34.869191700|291.0589371264880 +37.4910515241760| -5.306 -11.793   |9.46     |K0III           |    ~     ~    |    1|  658.718   pc  |  -7.3765     +7.3765    |paral   |2020yCat.1350....0G
732 |HD 104892                                                             |Star                              |12 04 41.3753788224 -24 54 04.171893156|289.6730347489171 +36.7640725214728|  9.118 -11.726   |8.80     |K4III           |    ~     ~    |    1|  542.094   pc  |  -9.1980     +9.1980    |paral   |2020yCat.1350....0G
733 |CD-24 10141                                                           |Star                              |12 05 56.8355634432 -25 08 23.778480804|290.0854811109849 +36.5944382966585|  -1.668 -0.879   |9.91     |~               |    ~     ~    |    1| 1019.368   pc  | -19.7431    +19.7431    |paral   |2020yCat.1350....0G
734 |HD 105129                                                             |Star                              |12 06 13.0064147184 -24 51 52.863635088|290.0848456007421 +36.8763841088184| -38.256 -2.378   |8.94     |K2/3III         |    ~     ~    |    1|  649.266   pc  |  -8.0094     +8.0094    |paral   |2020yCat.1350....0G
735 |CD-24 10145                                                           |Star                              |12 06 19.1436447720 -24 52 49.984655556|290.1174702288804 +36.8659522874379|   2.877 14.686   |9.84     |~               |    ~     ~    |    1|  700.231   pc  |  -8.4826     +8.4826    |paral   |2020yCat.1350....0G
736 |CD-24 10163                                                           |High Proper Motion Star           |12 07 44.0497565757 -25 12 28.891921398|290.5955809219078 +36.6146053754645|  76.985 10.804   |10.218   |~               |    ~     ~    |    1|   25.6695  pc  |  -0.7265     +0.7265    |paral   |2018yCat.1345....0G
737 |NAME Alchiba                       * alf Crv                          |High Proper Motion Star           |12 08 24.8172764085 -24 43 43.952148016|290.6584900758305 +37.1153687682368| 96.976 -40.023   |4.01     |F1V             |    ~     ~    |    1|   14.9769  pc  |  -0.0404     +0.0404    |paral   |2020yCat.1350....0G
738 |HD 105766                                                             |Star                              |12 10 28.6271129688 -24 57 31.926685032|291.2913626845509 +36.9852910698517|  -7.960 -3.032   |7.47     |A0/1V           |    ~     ~    |    1|  214.717   pc  |  -2.4942     +2.4942    |paral   |2020yCat.1350....0G
739 |HD 105780                                                             |Long-Period Variable              |12 10 37.9431894864 -25 06 03.220606008|291.3695792907125 +36.8530107327322|   -0.768 1.225   |9.63     |M3(III)         |    ~     ~    |    1|  906.783   pc  | -34.6992    +34.6992    |paral   |2020yCat.1350....0G
740 |CD-24 10193                                                           |Star                              |12 10 41.4537701208 -24 45 31.488625728|291.3013218503834 +37.1910508826687|  14.724 26.385   |10.13    |~               |    ~     ~    |    1|  203.149   pc  |  -0.8502     +0.8502    |paral   |2020yCat.1350....0G
741 |HD 105887                                                             |Star                              |12 11 12.9286488552 -24 50 48.375976956|291.4694710430109 +37.1281008519096| -8.127 -14.362   |9.42     |F0IV            |    ~     ~    |    1|  266.198   pc  |  -1.5023     +1.5023    |paral   |2020yCat.1350....0G
742 |BD-22 3274                                                            |High Proper Motion Star           |12 04 24.9117247512 -22 57 09.695132676|289.0328992690889 +38.6466293104298| -60.011 21.600   |10.51    |~               |    ~     ~    |    1|  279.400   pc  |  -1.7330     +1.7330    |paral   |2020yCat.1350....0G
743 |BD-22 3278                                                            |Star                              |12 05 02.2853245776 -23 20 29.204743740|289.3251472385414 +38.3012556468845|  -23.422 3.133   |10.39    |~               |    ~     ~    |    1|  400.529   pc  |  -6.7057     +6.7057    |paral   |2020yCat.1350....0G
744 |BD-22 3301                                                            |Star                              |12 09 55.0576701456 -22 59 53.078125632|290.6304402941050 +38.8798512430343|   0.949 -5.613   |10.952   |~               |    ~     ~    |    1|  320.327   pc  |  -6.2060     +6.2060    |ST-L    |2020AJ....160...83S
745 |CD-23 10410                                                           |Star                              |12 11 09.9664663656 -24 15 23.602624956|291.3101244306317 +37.7046965658256| 25.747 -19.221   |10.696   |~               |    ~     ~    |    1|  219.634   pc  |  -2.8500     +2.8500    |ST-L    |2020AJ....160...83S
746 |CD-24 10120                                                           |Star                              |12 03 38.9332136856 -24 45 30.413442420|289.3452906878205 +36.8492853154667|    2.049 1.808   |10.71    |~               |    ~     ~    |    1|  834.307   pc  | -12.3204    +12.3204    |paral   |2020yCat.1350....0G
747 |BD-22 3272                                                            |Star                              |12 04 02.3055501192 -23 28 35.662081512|289.0806874214399 +38.1169687788418| -22.062 -0.440   |10.70    |~               |    ~     ~    |    1|  843.028   pc  | -11.8686    +11.8686    |paral   |2020yCat.1350....0G
748 |CD-23 10360                                                           |Star                              |12 04 31.6572682176 -24 29 15.615962664|289.5112283070423 +37.1585466093232|  -22.612 5.995   |10.63    |~               |    ~     ~    |    1|  388.289   pc  |  -3.2264     +3.2264    |paral   |2020yCat.1350....0G
749 |CD-23 10371                                                           |Star                              |12 06 10.8245851800 -24 27 01.033530588|289.9611070096933 +37.2789354910432| -10.635 10.095   |10.83    |~               |    ~     ~    |    1|  921.234   pc  | -20.0287    +20.0287    |paral   |2020yCat.1350....0G
750 |CD-24 10171                                                           |High Proper Motion Star           |12 08 04.6821633312 -25 09 49.570500348|290.6788384600777 +36.6741721963566|  -65.541 7.974   |10.43    |~               |    ~     ~    |    1|  297.983   pc  |  -1.4385     +1.4385    |paral   |2020yCat.1350....0G
751 |CD-24 10188                                                           |Star                              |12 10 29.6292049488 -25 16 59.723753376|291.3760799326180 +36.6680475332511| -10.917 -2.171   |10.45    |~               |    ~     ~    |    1|  841.680   pc  | -13.3184    +13.3184    |paral   |2020yCat.1350....0G
752 |BD-22 3304                                                            |Star                              |12 10 47.6435681280 -22 55 34.563674784|290.8655168100000 +38.9913066196362| -1.755 -14.133   |10.39    |~               |    ~     ~    |    1| 1032.418   pc  | -19.6123    +19.6123    |paral   |2020yCat.1350....0G
753 |CPD-23 5407                                                           |Star                              |12 09 23.6809595760 -23 46 55.000517844|290.6868590226915 +38.0880838513544| -14.071 -2.473   |10.109   |~               |    ~     ~    |    1| 1485.900   pc  |-138.3000   +138.3000    |ST-L    |2020AJ....160...83S
754 |CD-23 10408                                                           |Star                              |12 10 57.2583806160 -24 22 33.750895008|291.2801066534609 +37.5780467765817|  -20.436 1.976   |10.29    |~               |    ~     ~    |    1| 1037.667   pc  | -27.7802    +27.7802    |paral   |2020yCat.1350....0G
755 |TYC 6667-116-1                                                        |Star                              |12 06 15.2411314128 -23 07 13.086567912|289.6089223232078 +38.5796987554298| -11.385 -2.366   |10.41    |~               |    ~     ~    |    1|  345.937   pc  |  -2.2020     +2.2020    |paral   |2020yCat.1350....0G
756 |TYC 6667-179-1                                                        |Star                              |12 00 21.7624492080 -23 59 00.300132384|288.2014551640269 +37.4230396440432|  18.472 -9.952   |10.89    |~               |    ~     ~    |    1|  516.956   pc  |  -4.1423     +4.1423    |paral   |2020yCat.1350....0G
757 |TYC 6667-316-1                                                        |Star                              |12 06 54.9897061128 -23 27 43.038480888|289.8946692010209 +38.2800961253457| -33.503 20.357   |10.91    |~               |    ~     ~    |    1|  252.188   pc  |  -1.2465     +1.2465    |paral   |2020yCat.1350....0G
758 |TYC 6667-510-1                                                        |Star                              |12 03 35.2349772024 -23 09 05.541258888|288.8556138679168 +38.4087662373933| -10.495 20.330   |10.83    |~               |    ~     ~    |    1|  683.107   pc  |  -7.2328     +7.2328    |paral   |2020yCat.1350....0G
759 |TYC 6667-591-1                                                        |High Proper Motion Star           |12 01 57.8759621616 -23 52 14.932182720|288.6143594985488 +37.6216185545162|  -61.037 4.787   |10.90    |~               |    ~     ~    |    1|  417.380   pc  |  -4.5119     +4.5119    |paral   |2020yCat.1350....0G
760 |TYC 6667-651-1                                                        |Star                              |12 01 51.4229082696 -23 25 51.122602560|288.4495076104108 +38.0425790447693|  -5.099 -3.005   |10.74    |~               |    ~     ~    |    1|  290.461   pc  |  -6.6229     +6.6229    |paral   |2020yCat.1350....0G
761 |TYC 6667-679-1                                                        |Star                              |12 06 54.2665423104 -23 40 06.189271248|289.9486434319716 +38.0780536905074| -24.457 -2.019   |10.655   |~               |    ~     ~    |    1|  470.741   pc  | -13.6000    +13.6000    |ST-L    |2020AJ....160...83S
762 |TYC 6667-760-1                                                        |Star                              |12 04 29.0179485696 -23 43 55.399065024|289.2814788731463 +37.8919335999162|  10.379 -4.310   |10.638   |~               |    ~     ~    |    1|  236.666   pc  |  -4.8430     +4.8430    |ST-L    |2020AJ....160...83S
763 |TYC 6667-954-1                                                        |Star                              |12 05 56.9450305560 -23 42 19.861217316|289.6881797147257 +37.9936094722068|  -9.097 -4.113   |10.592   |~               |    ~     ~    |    1| 1147.090   pc  | -71.4300    +71.4300    |ST-L    |2020AJ....160...83S
764 |CD-23 10319                                                           |Star                              |12 00 25.1116 -24 41 34.953            |288.4361051 +36.7384321            | -1.378 -29.494   |10.64    |~               |    ~     ~    |    0|                |                         |        |                   
765 |TYC 6671-389-1                                                        |Star                              |12 04 29.1057942504 -24 51 28.146639168|289.6044156817267 +36.7958340314247|  -34.179 0.022   |10.798   |~               |    ~     ~    |    1|  250.186   pc  |  -4.4160     +4.4160    |ST-L    |2020AJ....160...83S
766 |TYC 6671-502-1                                                        |Star                              |12 03 44.6842714488 -25 14 45.759000660|289.5109244373917 +36.3796616506468|  8.049 -20.473   |10.99    |~               |    ~     ~    |    1| 1088.139   pc  | -18.9448    +18.9448    |paral   |2020yCat.1350....0G
767 |TYC 6671-527-1                                                        |Star                              |12 02 14.6302096368 -25 01 12.905349888|289.0349824410644 +36.5204286474779| -10.568 -8.437   |10.93    |~               |    ~     ~    |    1| 1011.839   pc  | -15.4596    +15.4596    |paral   |2020yCat.1350....0G
768 |TYC 6672-177-1                                                        |Star                              |12 08 50.2214466864 -24 36 53.392112172|290.7468961879727 +37.2468870965474|  -25.284 7.379   |10.85    |~               |    ~     ~    |    1|  299.222   pc  |  -1.9877     +1.9877    |paral   |2020yCat.1350....0G
769 |CD-24 10089                                                           |Double or Multiple Star           |12 00 19.340 -25 28 44.75              |288.648239 +35.970858              |      -1.4 -3.0   |10.055   |G0              |    ~     ~    |    1|  578.738   pc  | -27.2700    +27.2700    |ST-L    |2020AJ....160...83S
770 |CD-25 8981                                                            |Star                              |12 00 42.0704225496 -26 00 33.962176764|288.9080356944808 +35.4768432411943|  -14.747 7.973   |9.55     |~               |    ~     ~    |    1| 1113.586   pc  | -22.4453    +22.4453    |paral   |2020yCat.1350....0G
771 |HD 104266                                                             |Star                              |12 00 23.8399097208 -26 22 10.691416776|288.9329422571807 +35.1108122224547| -23.788 -5.822   |8.89     |A9V             |    ~     ~    |    1|  154.121   pc  |  -0.4561     +0.4561    |paral   |2020yCat.1350....0G
772 |HD 104358                                                             |Spectroscopic Binary              |12 01 00.7154249256 -26 28 47.150935464|289.1283324801686 +35.0367225943403|  -13.693 4.387   |7.77     |K0III           |    ~     ~    |    1|  192.976   pc  |  -2.0445     +2.0445    |paral   |2020yCat.1350....0G
773 |HD 104487                                                             |Star                              |12 01 55.5762298536 -26 28 18.142368024|289.3689888823525 +35.0926790603432|  16.872 -4.186   |9.28     |F6V             |    ~     ~    |    1|  113.642   pc  |  -0.2195     +0.2195    |paral   |2020yCat.1350....0G
774 |HD 104544                                                             |Eclipsing Binary                  |12 02 21.8859390864 -26 26 15.610504812|289.4760350882503 +35.1485766582431|  -17.127 3.013   |9.21     |A2V             |    ~     ~    |    1|  505.900   pc  | -18.6100    +18.6100    |ST-L    |2020AJ....160...83S
775 |CD-25 8998                                                            |Spectroscopic Binary              |12 02 29.4053982096 -26 40 57.690363252|289.5783614683818 +34.9166263814295|   6.339 -2.121   |10.231   |~               |    ~     ~    |    1|  707.168   pc  | -44.2100    +44.2100    |ST-L    |2020AJ....160...83S
776 |HD 104193                                                             |High Proper Motion Star           |12 00 01.0158600624 -27 30 49.855070412|289.1657660727435 +33.9796027914541|  -94.660 3.124   |9.600    |G0V             |    ~     ~    |    1|  112.181   pc  |  -0.7649     +0.7649    |ST-L    |2020AJ....160...83S
777 |HD 104224                                                             |Double or Multiple Star           |12 00 09.1467 -27 06 06.303            |289.0820133 +34.3869485            |      -10.5 7.8   |8.65     |G8/K0III+A7/9   |    ~     ~    |    0|                |                         |        |                   
778 |HD 104325                                                             |Star                              |12 00 45.3955410504 -27 23 09.239289972|289.3215319701519 +34.1428405968159|   -7.507 3.611   |8.60     |K2III           |    ~     ~    |    1|  370.431   pc  |  -9.6410     +9.6410    |ST-L    |2020AJ....160...83S
779 |HD 104341                                                             |Star                              |12 00 50.6110948056 -27 07 02.273935908|289.2675267658723 +34.4084125751013| -25.635 -8.023   |9.70     |A6IV            |    ~     ~    |    1|  338.467   pc  |  -2.3485     +2.3485    |paral   |2020yCat.1350....0G
780 |HD 104488                                                             |High Proper Motion Star           |12 01 53.3562628104 -27 12 29.295553176|289.5673280159878 +34.3744644892009|-108.002 19.035   |10.11    |G6/8V           |    ~     ~    |    1|  118.392   pc  |  -0.9077     +0.9077    |ST-L    |2020AJ....160...83S
781 |HD 104498                                                             |Star                              |12 02 01.8728199912 -26 46 07.734890136|289.4811036437438 +34.8091664170413|  -9.489 -1.882   |7.96     |K1III           |    ~     ~    |    1|  431.388   pc  |  -4.4477     +4.4477    |paral   |2020yCat.1350....0G
782 |HD 104516                                                             |Star                              |12 02 13.4561707656 -27 38 52.377475452|289.7769974429854 +33.9636028011887|  2.798 -36.891   |8.85     |G0V             |    ~     ~    |    1|  182.349   pc  |  -0.6185     +0.6185    |paral   |2020yCat.1350....0G
783 |HD 104531                                                             |Star                              |12 02 16.6459180320 -27 08 29.950370628|289.6505769587865 +34.4590602951313|-10.933 -17.214   |9.14     |F2V             |    ~     ~    |    1|  245.592   pc  |  -1.0193     +1.0193    |paral   |2020yCat.1350....0G
784 |CD-25 8973                                                            |High Proper Motion Star           |12 00 01.1775357792 -25 51 17.419043988|288.6794019375230 +35.5898136496256|-128.733 40.065   |10.28    |~               |    ~     ~    |    1|  187.589   pc  |  -0.8129     +0.8129    |paral   |2020yCat.1350....0G
785 |CD-24 10112                                                           |High Proper Motion Star           |12 02 51.0671858544 -25 21 59.964319548|289.3015220035737 +36.2157873743919| -67.216 -9.571   |10.60    |~               |    ~     ~    |    1|  188.840   pc  |  -2.2644     +2.2644    |paral   |2020yCat.1350....0G
786 |CD-24 10118                                                           |Star                              |12 03 17.8386096048 -25 30 14.179502880|289.4621823740312 +36.1054748850280| -20.055 -4.555   |10.804   |~               |    ~     ~    |    1|  337.678   pc  |  -5.8930     +5.8930    |ST-L    |2020AJ....160...83S
787 |CD-24 10126                                                           |Star                              |12 04 07.2467794152 -25 25 20.218770624|289.6633027549704 +36.2273463408930| 26.572 -17.177   |10.89    |~               |    ~     ~    |    1|  399.329   pc  |  -2.2803     +2.2803    |paral   |2020yCat.1350....0G
788 |HD 105158                                                             |Star                              |12 06 25.2876816576 -25 31 30.085298148|290.3192934409313 +36.2417746754380|  -20.520 1.958   |8.89     |K0III           |    ~     ~    |    1|  472.903   pc  | -24.3317    +24.3317    |paral   |2020yCat.1350....0G
789 |HD 105347                                                             |Star                              |12 07 46.5510070944 -25 20 28.226905512|290.6418388276862 +36.4864005847251|-14.593 -13.847   |9.27     |F7/8V           |    ~     ~    |    1|  103.720   pc  |  -0.1926     +0.1926    |paral   |2020yCat.1350....0G
790 |HD 105453                                                             |Star                              |12 08 24.4851567600 -25 33 17.866449828|290.8704892898495 +36.3069507380358|   6.061 -6.370   |9.04     |K1III           |    ~     ~    |    1|  830.220   pc  | -15.7152    +15.7152    |paral   |2020yCat.1350....0G
791 |CD-24 10176                                                           |Star                              |12 08 27.3265517784 -25 27 31.158901152|290.8588193358692 +36.4033924641368| -23.399 -9.150   |10.23    |~               |    ~     ~    |    1|  715.205   pc  |  -9.1562     +9.1562    |paral   |2020yCat.1350....0G
792 |CD-24 10178                                                           |Star                              |12 08 52.4192616960 -25 25 44.027806872|290.9660697189717 +36.4518949086980|  -9.789 11.211   |10.37    |~               |    ~     ~    |    1|  840.901   pc  | -11.8795    +11.8795    |paral   |2020yCat.1350....0G
793 |HD 104658                                                             |Star                              |12 03 04.5773762928 -26 12 13.317376860|289.6001881202670 +35.4129460779791|  -24.737 0.079   |10.212   |A8/9V           |    ~     ~    |    1|  307.891   pc  |  -7.3870     +7.3870    |ST-L    |2020AJ....160...83S
794 |HD 104981                                                             |Star                              |12 05 10.9725661032 -25 49 14.722996692|290.0620063767876 +35.8923605295957|-18.678 -23.374   |9.38     |K5              |    ~     ~    |    1|  443.872   pc  |  -3.1721     +3.1721    |paral   |2020yCat.1350....0G
795 |HD 105093                                                             |Double or Multiple Star           |12 06 02.0623 -25 47 25.012            |290.2847521 +35.9639406            |      -22.4 0.2   |9.05     |F6/8(V)         |    ~     ~    |    0|                |                         |        |                   
796 |CD-25 9041                                                            |Star                              |12 07 05.9673024432 -26 00 04.158687096|290.6292016102779 +35.8091276795563|-19.367 -12.099   |10.124   |~               |    ~     ~    |    1|  742.308   pc  | -23.9700    +23.9700    |ST-L    |2020AJ....160...83S
797 |HD 105377                                                             |High Proper Motion Star           |12 07 59.9358807264 -26 12 12.121425288|290.9244669154003 +35.6535063269379|-85.789 -12.869   |8.62     |F3V             |    ~     ~    |    1|  128.452   pc  |  -0.4207     +0.4207    |paral   |2020yCat.1350....0G
