C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:32:02

dec< 0&rah >=2.5&rah< 2.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2574

 #  |                                                                                                                                       identifier                                                                                                                                       |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
746 |HD 16828                                                                                                                                                                                                                                                                                |Star                              |02 41 27.6340446360 -16 47 00.234267684|196.5211856491769 -62.5521003304730|   -1.544 4.891   |8.98     |A0mA5/7-F3     |    ~     ~    |    1|  211.806   pc  |  -0.9242     +0.9242    |paral   |2020yCat.1350....0G
747 |HD 16947                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 42 34.5310938792 -16 44 38.471166096|196.7058690742924 -62.2962235549569|-30.112 -55.431   |9.98     |K1(III)        |    ~     ~    |    1|  255.389   pc  |  -0.9457     +0.9457    |paral   |2020yCat.1350....0G
748 |HD 16986                                                                                                                                                                                                                                                                                |Star                              |02 43 01.8321821496 -16 37 25.180119984|196.5813401767022 -62.1445950344375|  18.681 -3.754   |10.38    |F2/3V          |    ~     ~    |    1|  293.832   pc  |  -1.4591     +1.4591    |paral   |2020yCat.1350....0G
749 |HD 16993                                                                                                                                                                                                                                                                                |Star                              |02 43 05.9735353776 -16 56 12.908608872|197.1974646177774 -62.2705898125102| 27.041 -21.514   |9.35     |F6V            |    ~     ~    |    1|  110.721   pc  |  -0.1532     +0.1532    |paral   |2020yCat.1350....0G
750 |NGC 1074                           NGC 1074                                                                                                                                                                                                                                             |Emission-line galaxy              |02 43 36.1209454608 -16 17 49.341675012|196.0958589426430 -61.8734135289751|            ~ ~   |     ~   |~              |0.480 0.317    |    1|  110.15    Mpc | -11.90      +11.90      |T-F     |2020ApJ...902..145K
751 |NGC 1075                           NGC 1075                                                                                                                                                                                                                                             |Galaxy                            |02 43 33.5639444040 -16 12 03.954463128|195.9054586477817 -61.8381519256572|            ~ ~   |     ~   |~              |0.540 0.205    |    0|                |                         |        |                   
752 |BD-16 485                                                                                                                                                                                                                                                                               |Star                              |02 40 08.9340273312 -15 29 34.539742716|193.7447783396818 -62.2221685841845| -2.879 -35.538   |10.684   |~              |    ~     ~    |    1|  348.406   pc  |  -7.2810     +7.2810    |ST-L    |2020AJ....160...83S
753 |BD-17 514                                                                                                                                                                                                                                                                               |Star                              |02 40 11.6239825224 -16 26 30.922192896|195.5590957772264 -62.6652323859095| -8.452 -10.659   |10.040   |~              |    ~     ~    |    1|  325.619   pc  |  -6.2290     +6.2290    |ST-L    |2020AJ....160...83S
754 |BD-17 515                                                                                                                                                                                                                                                                               |Star                              |02 40 21.7396223736 -17 02 53.506349592|196.7791293301306 -62.9058667119820|  35.298 19.685   |10.540   |~              |    ~     ~    |    1|  205.731   pc  |  -2.8760     +2.8760    |ST-L    |2020AJ....160...83S
755 |BD-16 486                                                                                                                                                                                                                                                                               |Star                              |02 40 23.4054024000 -15 53 53.417795136|194.5680852781453 -62.3673547480687|   17.062 1.686   |10.58    |~              |    ~     ~    |    1|  740.837   pc  | -27.9300    +27.9300    |ST-L    |2020AJ....160...83S
756 |BD-16 488                                                                                                                                                                                                                                                                               |Star                              |02 40 44.8503126912 -16 06 37.839386700|195.0591345174024 -62.3926431469872|  -7.036 -4.999   |10.42    |~              |    ~     ~    |    1|  850.847   pc  | -13.8996    +13.8996    |paral   |2020yCat.1350....0G
757 |BD-17 520                                                                                                                                                                                                                                                                               |Star                              |02 42 10.2407871432 -17 00 23.508345420|197.1186567826798 -62.5004649383639|  17.873 20.817   |10.89    |~              |    ~     ~    |    1|  191.443   pc  |  -0.5204     +0.5204    |paral   |2020yCat.1350....0G
758 |BD-17 521                                                                                                                                                                                                                                                                               |Star                              |02 42 17.8749948648 -17 06 43.025994684|197.3525687927953 -62.5199743069378|-17.476 -32.065   |10.45    |~              |    ~     ~    |    1|  405.564   pc  |  -3.2403     +3.2403    |paral   |2020yCat.1350....0G
759 |BD-16 493                                                                                                                                                                                                                                                                               |Star                              |02 43 42.4771520784 -15 55 19.573032648|195.4192384156013 -61.6763677810879|  -1.901 -2.536   |10.33    |~              |    ~     ~    |    1| 1308.558   pc  | -24.4862    +24.4862    |paral   |2020yCat.1350....0G
760 |BD-17 526                                                                                                                                                                                                                                                                               |High Proper Motion Star           |02 44 15.6024618432 -16 31 52.550308560|196.6904499003470 -61.8401262426651|46.891 -128.504   |10.908   |~              |    ~     ~    |    1|  266.982   pc  |  -4.6110     +4.6110    |ST-L    |2020AJ....160...83S
761 |BD-16 496                                                                                                                                                                                                                                                                               |Star                              |02 44 17.5672561224 -15 29 41.398017684|194.7709530622357 -61.3496175285983|  14.046 -6.755   |10.80    |~              |    ~     ~    |    1|  845.952   pc  | -11.3070    +11.3070    |paral   |2020yCat.1350....0G
762 |TYC 5863-738-1                                                                                                                                                                                                                                                                          |Star                              |02 44 33.6629158680 -15 08 03.760762452|194.1803308068906 -61.1186867509496|    3.927 0.031   |10.77    |~              |    ~     ~    |    1| 1590.837   pc  | -39.2268    +39.2268    |paral   |2020yCat.1350....0G
763 |TYC 5860-1851-1                                                                                                                                                                                                                                                                         |Star                              |02 39 59.4935345832 -16 06 50.760560916|194.8802746899716 -62.5543377572845|   8.272 -7.480   |10.55    |~              |    ~     ~    |    1|  115.723   pc  |  -0.9293     +0.9293    |paral   |2018yCat.1345....0G
764 |HD 15760                                                                                                                                                                                                                                                                                |Star                              |02 31 35.1163220328 -15 42 47.266560036|191.8963402111939 -64.1209158891252| -13.189 21.160   |9.56     |G2V            |    ~     ~    |    1|  208.834   pc  |  -0.6760     +0.6760    |paral   |2020yCat.1350....0G
765 |HD 16132                                                                                                                                                                                                                                                                                |Star                              |02 35 05.1271694976 -15 34 59.360651112|192.5986659888665 -63.3270390853944|  -6.682 -5.981   |8.36     |G8/K0III/IV    |    ~     ~    |    1|  343.253   pc  |  -4.1120     +4.1120    |paral   |2020yCat.1350....0G
766 |BD-16 453                                                                                                                                                                                                                                                                               |Star                              |02 30 39.6728853144 -15 43 33.624432552|191.6629244303661 -64.3191851803104|   18.825 1.188   |10.52    |~              |    ~     ~    |    1| 1033.058   pc  | -18.0358    +18.0358    |paral   |2020yCat.1350....0G
767 |HD 16330                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 36 53.2179594840 -13 13 50.494093680|188.7583555794458 -61.7182862576249|-26.833 -47.724   |9.28     |G8IV           |    ~     ~    |    1|  564.653   pc  |  -8.1621     +8.1621    |paral   |2020yCat.1350....0G
768 |HD 15758                                                                                                                                                                                                                                                                                |Star                              |02 31 34.7319550872 -13 39 26.589413232|187.9810448719095 -63.0290155544806|  26.013 -1.813   |10.33    |G2V            |    ~     ~    |    1|  263.518   pc  |  -3.0207     +3.0207    |paral   |2020yCat.1350....0G
769 |HD 16044                                                                                                                                                                                                                                                                                |Double or Multiple Star           |02 34 12.0921783528 -13 31 25.228597584|188.5099959590461 -62.4246165136040|  21.867 -9.935   |9.83     |G3V            |0.0033  0.0    |    1|  251.743   pc  | -23.0621    +23.0621    |paral   |2020yCat.1350....0G
770 |HD 15696                                                                                                                                                                                                                                                                                |Star                              |02 31 07.5595685688 -14 17 34.691965152|189.0259141102989 -63.4704633429396|   14.288 0.420   |10.356   |K              |    ~     ~    |    1| 1485.010   pc  |-136.9000   +136.9000    |ST-L    |2020AJ....160...83S
771 |HD 15722                                                                                                                                                                                                                                                                                |Double or Multiple Star           |02 31 16.4 -14 16 18                   |189.0293 -63.4289                  |            ~ ~   |9.9      |G3V            |    ~     ~    |    0|                |                         |        |                   
772 |HD 16007                                                                                                                                                                                                                                                                                |Star                              |02 34 01.3699856496 -14 10 09.404111136|189.6353686946330 -62.8129832441951| -32.441 -5.463   |7.96     |K1III          |    ~     ~    |    1|  231.503   pc  |  -1.5221     +1.5221    |paral   |2020yCat.1350....0G
773 |HD 16064                                                                                                                                                                                                                                                                                |Star                              |02 34 24.6654082896 -13 48 02.711985156|189.0716727717441 -62.5341955885632|  24.977 -9.627   |8.58     |G8IV           |    ~     ~    |    1|  338.742   pc  |  -2.6162     +2.6162    |paral   |2020yCat.1350....0G
774 |HD 16142                                                                                                                                                                                                                                                                                |Star                              |02 35 16.6207431720 -13 48 49.197600684|189.3423987180422 -62.3648386790981|    4.993 4.480   |9.19     |K3III          |    ~     ~    |    1|  669.075   pc  |  -8.1474     +8.1474    |paral   |2020yCat.1350....0G
775 |HD 16153                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 35 17.3806440120 -13 58 00.735697308|189.6241689503696 -62.4451223746006|-239.082 -173.819 |10.09    |K3/5           |    ~     ~    |    1|   44.457   pc  |  -0.0302     +0.0302    |paral   |2020yCat.1350....0G
776 |HD 15587                                                                                                                                                                                                                                                                                |Star                              |02 30 04.9960033392 -14 37 36.043193928|189.3512273996771 -63.8632178117161|  11.089 17.147   |9.691    |G0V            |    ~     ~    |    1|  182.753   pc  |  -2.5930     +2.5930    |ST-L    |2020AJ....160...83S
777 |HD 15651                                                                                                                                                                                                                                                                                |Star                              |02 30 40.1810620176 -14 57 29.313209304|190.1602311828651 -63.9198920598443| -6.045 -32.742   |10.05    |F6V            |    ~     ~    |    1|  210.128   pc  |  -0.7020     +0.7020    |paral   |2020yCat.1350....0G
778 |HD 15676                                                                                                                                                                                                                                                                                |Star                              |02 30 55.2809326416 -14 42 57.738077244|189.7680441283867 -63.7399048867630|-21.380 -22.001   |10.24    |G1V            |    ~     ~    |    1|  179.885   pc  |  -7.2678     +7.2678    |paral   |2020yCat.1350....0G
779 |HD 15697                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 31 03.7992400296 -15 07 59.242758852|190.6125691116818 -63.9308542923859| -14.606 51.852   |7.65     |K0III/IV       |    ~     ~    |    1|  184.857   pc  |  -0.6903     +0.6903    |paral   |2020yCat.1350....0G
780 |HD 15708                                                                                                                                                                                                                                                                                |Star                              |02 31 08.9451699024 -15 10 08.834192832|190.7070242676682 -63.9319682965770| -3.216 -22.153   |9.46     |K0(III)        |    ~     ~    |    1|  352.497   pc  |  -2.0129     +2.0129    |paral   |2020yCat.1350....0G
781 |HD 15723                                                                                                                                                                                                                                                                                |Spectroscopic Binary              |02 31 20.2129861680 -14 29 06.575924040|189.4501851106696 -63.5313702995799|  -8.414 -7.969   |10.38    |F6/8           |    ~     ~    |    1|  415.438   pc  |  -3.1929     +3.1929    |paral   |2020yCat.1350....0G
782 |HD 15759                                                                                                                                                                                                                                                                                |Star                              |02 31 32.0102420544 -15 18 50.562881604|191.0984029655971 -63.9278215601215|  19.751 -7.301   |8.87     |K0III          |    ~     ~    |    1|  387.913   pc  |  -2.9644     +2.9644    |paral   |2020yCat.1350....0G
783 |HD 15767                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 31 42.4729254120 -15 16 24.427503624|191.0687368510648 -63.8708503460712|-73.371 -117.842  |8.74     |K2.5Vk:        |    ~     ~    |    1|   26.890   pc  |  -0.0136     +0.0136    |paral   |2020yCat.1350....0G
784 |HD 15781                                                                                                                                                                                                                                                                                |Star                              |02 31 55.4389824768 -15 06 28.277012952|190.8091832036955 -63.7404116331472|  36.599 15.239   |9.77     |G1V            |    ~     ~    |    1|  261.499   pc  |  -1.2172     +1.2172    |paral   |2020yCat.1350....0G
785 |* sig Cet                                                                                                                                                                                                                                                                               |Double or Multiple Star           |02 32 05.2288409 -15 14 40.827782      |191.1199682275 -63.7776578271      | -80.21 -146.29   |4.75     |F5V            |    ~     ~    |    1|   23.0534  pc  |  -0.2969     +0.2969    |paral   |2020yCat.1350....0G
786 |HD 15835                                                                                                                                                                                                                                                                                |Star                              |02 32 32.5554163944 -14 35 04.537087800|189.9869788237015 -63.3379979651636|    1.712 3.184   |10.21    |F3V            |    ~     ~    |    1|  497.018   pc  |  -5.0888     +5.0888    |paral   |2020yCat.1350....0G
787 |HD 15908                                                                                                                                                                                                                                                                                |Star                              |02 33 04.6238960904 -14 43 00.660166824|190.3892652635392 -63.2983429401666| 30.923 -16.882   |8.48     |G6IV           |    ~     ~    |    1|  344.590   pc  |  -2.5411     +2.5411    |paral   |2020yCat.1350....0G
788 |HD 15928                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 33 15.4015062024 -14 21 45.887955264|189.7753386044269 -63.0734331738055| -40.044 34.003   |7.81     |G8V            |    ~     ~    |    1|   97.246   pc  |  -0.2080     +0.2080    |paral   |2020yCat.1350....0G
789 |HD 15944                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 33 26.4178032768 -15 20 30.695004600|191.6854197439621 -63.5474634926219| 28.336 -48.408   |9.79     |F6/7V          |    ~     ~    |    1|  134.457   pc  |  -0.2983     +0.2983    |paral   |2020yCat.1350....0G
790 |HD 16019                                                                                                                                                                                                                                                                                |Star                              |02 34 08.8903698360 -14 37 19.725673548|190.5131550292950 -63.0282564773262|  4.070 -15.416   |8.62     |F6V            |    ~     ~    |    1|  121.127   pc  |  -0.2802     +0.2802    |paral   |2020yCat.1350....0G
791 |HD 16144                                                                                                                                                                                                                                                                                |Spectroscopic Binary              |02 35 08.0039104272 -15 11 07.380961620|191.8492944771006 -63.1163946647822|  -0.188 10.779   |8.71     |F2V            |    ~     ~    |    1|  254.175   pc  |  -1.4924     +1.4924    |paral   |2020yCat.1350....0G
792 |HD 16143                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 35 07.9261852992 -14 54 42.579546012|191.3308813229108 -62.9763317300055|-71.492 -87.780   |10.34    |K0III/IV       |    ~     ~    |    1|   93.483   pc  |  -0.5701     +0.5701    |ST-L    |2020AJ....160...83S
793 |HD 16202                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 35 38.4159728928 -14 56 42.579433644|191.5326777335623 -62.8883123915777|-33.251 -81.734   |6.83     |K0/1III        |    ~     ~    |    1|  147.684   pc  |  -0.4166     +0.4166    |paral   |2020yCat.1350....0G
794 |HD 16224                                                                                                                                                                                                                                                                                |Double or Multiple Star           |02 35 52.92548 -15 14 30.3077          |192.15884457 -62.98942657          |  -18.34 -20.50   |9.41     |F5V            |    ~     ~    |    0|                |                         |        |                   
795 |HD 16250                                                                                                                                                                                                                                                                                |Star                              |02 36 02.4885357528 -14 26 54.142312560|190.7168584704938 -62.5471684529548|   12.677 1.687   |10.659   |G5/6           |    ~     ~    |    1|  861.071   pc  | -53.1800    +53.1800    |ST-L    |2020AJ....160...83S
796 |HD 16295                                                                                                                                                                                                                                                                                |Double or Multiple Star           |02 36 33.9505995528 -14 39 24.217542612|191.2460182665420 -62.5477558946015|-37.621 -27.781   |6.94     |K0III          |0.0133  0.0    |    1|  182.996   pc  |  -1.0850     +1.0850    |paral   |2020yCat.1350....0G
797 |HD 16316                                                                                                                                                                                                                                                                                |Star                              |02 36 43.2996498696 -15 12 06.217380324|192.3077451318104 -62.7944486949797|  39.666 -7.355   |8.51     |K0III          |    ~     ~    |    1|  335.672   pc  |  -2.4563     +2.4563    |paral   |2020yCat.1350....0G
798 |HD 16401                                                                                                                                                                                                                                                                                |Red Giant Branch star Candidate   |02 37 26.0668291032 -15 02 34.582405848|192.1990015438968 -62.5657229238779| 12.396 -32.468   |9.67     |K0/1(III)      |    ~     ~    |    1|  495.025   pc  |  -3.1366     +3.1366    |paral   |2020yCat.1350....0G
799 |HD 15824                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 32 22.6153827456 -15 32 16.970079624|191.7722616655375 -63.8678904491251|108.614 -54.120   |10.093   |G8V            |    ~     ~    |    1|   91.308   pc  |  -0.1326     +0.1326    |paral   |2020yCat.1350....0G
800 |BD-14 473                                                                                                                                                                                                                                                                               |Star                              |02 32 21.1377570912 -13 59 40.608837276|188.8299993379499 -63.0586073740973|   4.834 -2.702   |10.34    |~              |    ~     ~    |    1| 2691.066   pc  |-159.3204   +159.3204    |paral   |2020yCat.1350....0G
801 |BD-14 474                                                                                                                                                                                                                                                                               |Star                              |02 32 37.4938216728 -14 03 18.820012644|189.0216680674461 -63.0362774557937| -24.841 -0.510   |10.377   |~              |    ~     ~    |    1|  236.454   pc  |  -3.6220     +3.6220    |ST-L    |2020AJ....160...83S
802 |BD-14 475                                                                                                                                                                                                                                                                               |Star                              |02 32 57.0656265648 -14 19 53.286982212|189.6292964684997 -63.1191480070332|  4.169 -10.129   |10.55    |~              |    ~     ~    |    1|  387.657   pc  |  -2.6148     +2.6148    |paral   |2020yCat.1350....0G
803 |BD-14 480                                                                                                                                                                                                                                                                               |Star                              |02 34 21.7777992456 -14 20 55.423448772|190.0638756366005 -62.8393948094371| 26.558 -39.163   |10.763   |~              |    ~     ~    |    1|  179.610   pc  |  -2.1630     +2.1630    |ST-L    |2020AJ....160...83S
804 |BD-14 482                                                                                                                                                                                                                                                                               |High Proper Motion Star           |02 34 28.7089967832 -14 05 52.895806584|189.6339910362558 -62.6815342174985|-34.557 -97.741   |10.197   |~              |    ~     ~    |    1|   94.059   pc  |  -0.6215     +0.6215    |ST-L    |2020AJ....160...83S
805 |BD-14 488                                                                                                                                                                                                                                                                               |Double or Multiple Star           |02 36 12.237888 -13 32 22.91100        |189.112700234 -62.026785918        |      68.6 10.3   |10.40    |~              |    ~     ~    |    1|   97.014   pc  | +28.414     +15         |ST-L    |2017AJ....153...75K
806 |BD-14 490                                                                                                                                                                                                                                                                               |Star                              |02 36 29.7512974920 -14 01 24.424134456|190.0652564237830 -62.2286132942277|  24.371 35.732   |10.95    |~              |    ~     ~    |    1|  368.053   pc  |  -2.2893     +2.2893    |paral   |2020yCat.1350....0G
807 |BD-14 491                                                                                                                                                                                                                                                                               |Star                              |02 36 52.8199012632 -13 25 47.520495300|189.1083604139739 -61.8290591235076|  8.024 -28.936   |10.203   |~              |    ~     ~    |    1|  338.408   pc  |  -8.0020     +8.0020    |ST-L    |2020AJ....160...83S
808 |BD-14 476                                                                                                                                                                                                                                                                               |High Proper Motion Star           |02 33 53.3765803440 -14 02 17.262589380|189.3557517556801 -62.7694157697558| 49.007 -16.437   |10.52    |~              |    ~     ~    |    1|  207.564   pc  |  -1.0771     +1.0771    |paral   |2020yCat.1350....0G
809 |BD-14 477                                                                                                                                                                                                                                                                               |High Proper Motion Star           |02 33 55.1095113480 -14 03 09.475838064|189.3906920479250 -62.7713733217217| 49.025 -16.672   |10.02    |~              |    ~     ~    |    1|  206.530   pc  |  -0.7848     +0.7848    |paral   |2020yCat.1350....0G
810 |TYC 5860-2125-1                                                                                                                                                                                                                                                                         |Star                              |02 34 20.8311101664 -15 16 47.287798932|191.8152305307423 -63.3276898122373|    1.725 6.681   |10.581   |~              |    ~     ~    |    1|  533.364   pc  | -19.2800    +19.2800    |ST-L    |2020AJ....160...83S
811 |TYC 5860-1575-1                                                                                                                                                                                                                                                                         |Star                              |02 36 56.3623521744 -15 05 40.869199320|192.1641905273934 -62.6949702465420|  26.908 -1.145   |10.842   |~              |    ~     ~    |    1|  283.651   pc  |  -6.4320     +6.4320    |ST-L    |2020AJ....160...83S
812 |TYC 5291-740-1                                                                                                                                                                                                                                                                          |Star                              |02 35 30.4196569224 -14 18 10.435374396|190.3004108296627 -62.5802976400716|      1.6 -23.1   |10.89    |~              |    ~     ~    |    0|                |                         |        |                   
813 |BD-16 456                                                                                                                                                                                                                                                                               |High Proper Motion Star           |02 31 39.4970998008 -15 24 29.362608432|191.3173120483602 -63.9504628918423|  70.137 -2.196   |10.34    |~              |    ~     ~    |    1|  219.587   pc  |  -0.8052     +0.8052    |paral   |2020yCat.1350....0G
814 |BD-15 484                                                                                                                                                                                                                                                                               |Star                              |02 43 17.7369561600 -15 07 05.812171140|193.8404869438566 -61.3771515716296|     29.7 -11.0   |10.59    |~              |    ~     ~    |    0|                |                         |        |                   
815 |HD 16502                                                                                                                                                                                                                                                                                |Spectroscopic Binary              |02 38 25.4765714784 -13 21 43.343789328|189.4203667579359 -61.4773429036849| 14.595 -30.336   |8.90     |F2V            |    ~     ~    |    1|  262.916   pc  |  -1.0853     +1.0853    |paral   |2020yCat.1350....0G
816 |HD 16621                                                                                                                                                                                                                                                                                |Spectroscopic Binary              |02 39 27.6629344344 -13 20 06.057665448|189.6588529760026 -61.2510090083691| 24.598 -46.092   |8.19     |F3V            |    ~     ~    |    1|  109.559   pc  |  -0.7706     +0.7706    |paral   |2020yCat.1350....0G
817 |HD 16562                                                                                                                                                                                                                                                                                |Star                              |02 39 00.5411120304 -13 37 09.240798324|190.0345277246825 -61.4969025580119|   29.258 9.562   |9.63     |A9V            |    ~     ~    |    1|  267.220   pc  |  -4.8770     +4.8770    |ST-L    |2020AJ....160...83S
818 |HD 16469                                                                                                                                                                                                                                                                                |Star                              |02 38 12.7634131008 -13 59 52.030805352|190.4918679524679 -61.8624214198072| 36.634 -29.946   |10.223   |G2/3(V)        |    ~     ~    |    1|  192.598   pc  |  -2.1970     +2.1970    |ST-L    |2020AJ....160...83S
819 |V* DY Cet                                                                                                                                                                                                                                                                               |Eclipsing Binary                  |02 38 33.1803231456 -14 17 56.721878736|191.1280994460843 -61.9508770801288|  -14.855 2.596   |9.59     |F5V            |    ~     ~    |    1|  186.061   pc  |  -2.3540     +2.3540    |ST-L    |2020AJ....160...83S
820 |HD 16609                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 39 23.7380294304 -14 17 21.344263764|191.3359892885234 -61.7715574350115|30.542 -209.604   |7.99     |F7V            |    ~     ~    |    1|   76.263   pc  |  -0.6229     +0.6229    |paral   |2020yCat.1350....0G
821 |HD 16648                                                                                                                                                                                                                                                                                |Star                              |02 39 49.6996957872 -14 16 36.889772088|191.4287875784828 -61.6755927851326| 12.278 -11.119   |9.12     |K0III          |    ~     ~    |    1|  477.168   pc  |  -3.4609     +3.4609    |paral   |2020yCat.1350....0G
822 |HD 16424                                                                                                                                                                                                                                                                                |Star                              |02 37 47.3682651384 -14 36 08.746723188|191.4767514153957 -62.2664441171719|  5.513 -12.362   |9.47     |G8III/IV       |    ~     ~    |    1|  715.308   pc  |  -7.0098     +7.0098    |paral   |2020yCat.1350....0G
823 |HD 16585                                                                                                                                                                                                                                                                                |Star                              |02 39 09.5968284696 -14 59 34.949093352|192.5603751786697 -62.1810144020451|    6.374 0.908   |9.17     |G8/K0III       |    ~     ~    |    1|  544.989   pc  |  -5.7323     +5.7323    |paral   |2020yCat.1350....0G
824 |BD-15 468                                                                                                                                                                                                                                                                               |Star                              |02 39 39.5596628544 -15 02 21.642678312|192.7757609275498 -62.1000605720113|   2.269 -8.799   |10.31    |F8             |    ~     ~    |    1|  366.730   pc  |  -7.5584     +7.5584    |paral   |2020yCat.1350....0G
825 |BD-14 492                                                                                                                                                                                                                                                                               |High Proper Motion Star           |02 37 30.0924235848 -14 18 37.128802644|190.8638470811550 -62.1737646258696|  17.794 63.172   |10.749   |~              |    ~     ~    |    1|  204.052   pc  |  -2.2530     +2.2530    |ST-L    |2020AJ....160...83S
826 |BD-14 493                                                                                                                                                                                                                                                                               |Star                              |02 37 34.5623873856 -14 00 16.646720616|190.3298555720604 -61.9969102756967|  2.645 -12.091   |10.984   |~              |    ~     ~    |    1|  319.391   pc  |  -6.0130     +6.0130    |ST-L    |2020AJ....160...83S
827 |BD-15 465                                                                                                                                                                                                                                                                               |Star                              |02 38 26.6558743296 -15 03 24.633334368|192.4915943002678 -62.3624190150919| -0.293 -10.275   |10.91    |~              |    ~     ~    |    1|  940.734   pc  | -16.2836    +16.2836    |paral   |2020yCat.1350....0G
828 |HD 16812                                                                                                                                                                                                                                                                                |Star                              |02 41 27.4443275040 -13 30 18.178910892|190.4954183223321 -60.9331216127518|-14.715 -26.718   |9.59     |F3/5V          |    ~     ~    |    1|  134.979   pc  |  -1.9240     +1.9240    |ST-L    |2020AJ....160...83S
829 |HD 16848                                                                                                                                                                                                                                                                                |Star                              |02 41 46.4052581736 -13 36 36.199022256|190.7624837723791 -60.9238877368891|  15.067 -5.366   |9.09     |K2III          |    ~     ~    |    1|  396.306   pc  |  -3.9265     +3.9265    |paral   |2020yCat.1350....0G
