C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:32:02

dec< 0&rah >=2.5&rah< 2.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2574

 #  |                                                                                                                                       identifier                                                                                                                                       |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
21  |CD-37 961                                                                                                                                                                                                                                                                               |Star                              |02 33 14.9479775904 -36 52 58.085224968|243.7206719656670 -66.4122350708859|  -0.126 14.775   |10.35    |F8             |    ~     ~    |    1|  267.730   pc  |  -1.4121     +1.4121    |paral   |2020yCat.1350....0G
22  |HD 16048                                                                                                                                                                                                                                                                                |Double or Multiple Star           |02 33 35.4749951568 -37 24 26.499770280|244.9132953510369 -66.1885570085796|  11.564 -4.458   |7.69     |K3III          |0.0033  0.0    |    1|  361.219   pc  |  -6.9807     +6.9807    |paral   |2020yCat.1350....0G
23  |HD 16156                                                                                                                                                                                                                                                                                |Star                              |02 34 33.7583416680 -37 24 23.019508512|244.7640142909131 -66.0053791933151|    6.812 5.660   |9.68     |F5V            |    ~     ~    |    1|  198.981   pc  |  -0.5385     +0.5385    |paral   |2020yCat.1350....0G
24  |CD-37 966                                                                                                                                                                                                                                                                               |Star                              |02 35 15.6523262664 -37 13 12.937978920|244.2254672739962 -65.9291187813936|  18.149 -8.087   |10.270   |G0             |    ~     ~    |    1|  300.462   pc  |  -4.6550     +4.6550    |ST-L    |2020AJ....160...83S
25  |CD-37 967                                                                                                                                                                                                                                                                               |Spectroscopic Binary              |02 35 36.0715031568 -37 00 02.706798672|243.6621684201392 -65.9282687410792| 30.832 -22.617   |10.244   |G0             |    ~     ~    |    1|  131.726   pc  |  -2.1930     +2.1930    |ST-L    |2020AJ....160...83S
26  |HD 16379                                                                                                                                                                                                                                                                                |Double or Multiple Star           |02 36 35.7380 -37 18 53.122            |244.2545879 -65.6475040            |     -7.30 8.10   |9.80     |G8III+(G)      |    ~     ~    |    0|                |                         |        |                   
27  |CD-37 978                                                                                                                                                                                                                                                                               |Star                              |02 37 23.5461352728 -37 07 56.729515728|243.7212531652879 -65.5482310684429|  21.614 17.433   |10.37    |G0             |    ~     ~    |    1|  184.182   pc  |  -1.6950     +1.6950    |ST-L    |2020AJ....160...83S
28  |HD 16122                                                                                                                                                                                                                                                                                |Star                              |02 34 17.0070212184 -37 30 06.687692964|245.0294927257189 -66.0285996511732|-36.696 -10.464   |9.09     |G3V            |    ~     ~    |    1|   73.689   pc  |  -0.0738     +0.0738    |paral   |2020yCat.1350....0G
29  |CD-38 856                                                                                                                                                                                                                                                                               |Star                              |02 34 42.1139288016 -37 41 16.311028164|245.3993083683702 -65.8915853866853|   -3.497 0.356   |10.763   |F8             |    ~     ~    |    1|  241.620   pc  |  -3.3930     +3.3930    |ST-L    |2020AJ....160...83S
30  |HD 16318                                                                                                                                                                                                                                                                                |Double or Multiple Star           |02 36 06.5243914464 -37 27 07.424675460|244.6426152028001 -65.6990588621033| -36.905 16.906   |9.01     |G2V            |    ~     ~    |    1|   92.306   pc  |  -0.3962     +0.3962    |paral   |2020yCat.1350....0G
