C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:51:40

Vmag< 11&dec< 0&rah >=14.25&rah< 14.5
-------------------------------------

Number of objects : 5563

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |      ang. size      
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------------
34  |BD-01 2944                                                            |High Proper Motion Star               |14 23 21.5222823144 -02 03 48.083641056|343.7592898974339 +53.3608329455126|-119.263 -43.184  |9.46     |G5             |    ~     ~          
35  |TYC 4977-971-1                                                        |Star                                  |14 23 22.0663236672 -01 56 51.826330428|343.8754392855365 +53.4534646853975| -17.889 -4.936   |10.02    |K5             |    ~     ~          
36  |TYC 4977-995-1                                                        |Star                                  |14 23 24.4578331512 -01 55 57.114370740|343.9039186488701 +53.4599912914576|  3.252 -30.716   |10.712   |F8             |    ~     ~          
37  |BD-01 2950                                                            |Star                                  |14 24 32.2930266168 -01 53 13.614312300|344.3323316014755 +53.3311304974208|-10.161 -19.770   |9.85     |K2             |    ~     ~          
38  |* ups Vir                                                             |High Proper Motion Star               |14 19 32.4797345232 -02 15 55.858700808|342.2489772159833 +53.7419908504902|-118.809 -71.508  |5.14     |G9IIICN-0.5    |    ~     ~          
39  |CCDM J14208-0144A                                                     |Star                                  |14 20 49.2881412072 -01 44 11.321808144|343.2060708064120 +53.9943806289221| -10.789 -4.416   |10.7     |~              |    ~     ~          
40  |BD-01 2935                                                            |Star                                  |14 18 25.7482050408 -02 08 41.798824692|341.9744880878862 +53.9979999726151| -8.069 -11.406   |10.166   |~              |    ~     ~          
41  |TYC 4976-127-1                                                        |Star                                  |14 15 04.1828285064 -00 38 50.494502580|342.2313772567065 +55.7084969541219| -42.552 -2.668   |10.7     |~              |    ~     ~          
42  |TYC 4976-447-1                                                        |High Proper Motion Star               |14 19 04.6718730312 -01 08 47.153275908|343.1770034189109 +54.7276993025848| 55.238 -14.085   |10.49    |~              |    ~     ~          
43  |TYC 4976-476-1                                                        |Star                                  |14 19 11.7348639816 -00 15 53.978689584|344.1127776808426 +55.4283130703188|  -5.915 10.703   |10.9     |~              |    ~     ~          
44  |TYC 4976-486-1                                                        |High Proper Motion Star               |14 18 51.7335873600 -00 23 05.840543508|343.8701819292619 +55.3797031424832|-91.313 -12.724   |10.8     |~              |    ~     ~          
45  |TYC 4976-496-1                                                        |Star                                  |14 17 31.5458407680 -00 44 06.127672452|343.0350587639341 +55.2872913085421| -5.257 -19.769   |10.8     |~              |    ~     ~          
46  |TYC 4976-680-1                                                        |High Proper Motion Star               |14 17 08.7151988832 -00 59 09.810596652|342.6469579369810 +55.1355399688181|-21.098 -56.118   |10.7     |~              |    ~     ~          
47  |TYC 4976-816-1                                                        |Star                                  |14 16 43.1069080320 -01 38 21.269594256|341.8530868061493 +54.6563511121600| -33.525 -4.616   |10.71    |~              |    ~     ~          
48  |TYC 4976-831-1                                                        |Star                                  |14 16 26.0972669232 -01 43 40.948274928|341.6658663390900 +54.6222237521296| -0.172 -28.061   |10.81    |~              |    ~     ~          
49  |TYC 4976-843-1                                                        |Star                                  |14 16 02.5426028304 -01 15 39.671312940|341.9779255856588 +55.0643187107260| -27.581 -1.669   |10.9     |~              |    ~     ~          
50  |TYC 4976-1027-1                                                       |Star                                  |14 18 46.6224928032 -02 16 24.147324048|341.9743084292862 +53.8429261043338| -20.778 -5.648   |10.73    |~              |    ~     ~          
51  |TYC 4976-1039-1                                                       |Star                                  |14 19 50.0453085288 -01 31 18.137366472|343.0720741026246 +54.3119545860684| -14.618 11.273   |10.21    |~              |    ~     ~          
52  |TYC 4976-1094-1                                                       |Spectroscopic Binary                  |14 16 23.9146372056 -01 36 49.707570132|341.7629898241225 +54.7221125195100|  -5.019 -6.398   |10.37    |~              |    ~     ~          
53  |TYC 4976-1111-1                                                       |Star                                  |14 17 54.4507178592 -01 24 13.725141624|342.5069979080071 +54.6834957149576| 18.305 -12.230   |10.386   |~              |    ~     ~          
54  |TYC 4976-1195-1                                                       |Spectroscopic Binary                  |14 17 43.7593365672 -00 05 24.290165580|343.7668279616038 +55.7843686466983|  -5.560 16.564   |10.6     |~              |    ~     ~          
55  |BD-00 2817                                                            |High Proper Motion Star               |14 24 02.5653583992 -01 00 44.160445728|345.0403599606277 +54.1090649997602|92.853 -158.421   |10.40    |~              |    ~     ~          
56  |TYC 4977-55-1                                                         |Star                                  |14 21 57.3114299064 -00 55 37.038439848|344.4072054800979 +54.4872891098359|-10.649 -27.242   |10.7     |~              |    ~     ~          
57  |TYC 4977-599-1                                                        |Star                                  |14 21 30.4156094448 -01 30 38.371006908|343.6664051290165 +54.0795553556191| -13.581 16.961   |10.63    |~              |    ~     ~          
58  |TYC 4977-749-1                                                        |Star                                  |14 24 48.6314489760 -01 37 19.106249916|344.6873283048757 +53.5048228130259|   -4.738 2.352   |10.51    |~              |    ~     ~          
59  |TYC 4977-1019-1                                                       |Spectroscopic Binary                  |14 24 21.1343278752 -02 00 03.974512140|344.1573073869258 +53.2662371143076| 42.705 -48.140   |10.378   |~              |    ~     ~          
60  |TYC 4977-1145-1                                                       |Star                                  |14 23 50.4188508456 -01 42 44.213728716|344.2683337601127 +53.5751103480632|   -0.050 6.814   |10.958   |~              |    ~     ~          
61  |TYC 4977-1179-1                                                       |Star                                  |14 26 10.5206961240 -01 49 07.130246592|344.9507271069417 +53.1439265755661|  -10.751 3.779   |10.547   |~              |    ~     ~          
62  |TYC 4977-1373-1                                                       |Star                                  |14 21 33.5716397448 -00 09 54.702396000|345.0533865231180 +55.1592209001975| -24.245 -1.053   |10.9     |~              |    ~     ~          
63  |TYC 4977-1394-1                                                       |High Proper Motion Star               |14 20 01.9159702296 -00 12 01.460642832|344.4774045940968 +55.3575785771232|-100.568 15.631   |10.48    |~              |    ~     ~          
64  |TYC 4977-1409-1                                                       |Star                                  |14 20 29.2251149472 -00 13 13.864159560|344.6178052119894 +55.2740991932595|-21.662 -19.953   |10.4     |~              |    ~     ~          
65  |TYC 4977-1440-1                                                       |Star                                  |14 22 23.8983313008 -00 15 19.999662768|345.2524663703640 +54.9613909409250| -28.017 23.497   |10.5     |~              |    ~     ~          
66  |BD-01 2928                                                            |Star                                  |14 15 19.8976623552 -02 28 17.581837080|340.5676942356736 +54.1532906148159|  0.346 -16.620   |10.47    |~              |    ~     ~          
67  |HD 124715                                                             |High Proper Motion Star               |14 15 17.4862396608 -03 27 02.747929968|339.6616090660169 +53.3336271371248|97.135 -125.756   |9.511    |F8V            |    ~     ~          
68  |HD 124931                                                             |Variable Star                         |14 16 30.1661232336 -03 11 46.672144476|340.3179517272194 +53.3858365787354|-22.223 -32.985   |6.141    |A0V            |    ~     ~          
69  |BD-02 3813                                                            |High Proper Motion Star               |14 16 44.9733875472 -02 53 28.719579480|340.6834999960311 +53.6083858384345| 56.283 -44.684   |9.55     |G5             |    ~     ~          
70  |TYC 4979-258-1                                                        |Star                                  |14 17 14.8981901952 -02 39 16.057441512|341.0784471417854 +53.7382727709196|-22.232 -13.169   |9.39     |G5             |    ~     ~          
71  |HD 124865                                                             |High Proper Motion Star               |14 16 10.7131724088 -03 52 09.820918524|339.6019143410032 +52.8614484568825|-63.754 -30.163   |9.242    |G8IV           |    ~     ~          
72  |HD 124900                                                             |High Proper Motion Star               |14 16 20.1629082072 -04 17 06.720768384|339.2927156275569 +52.4882337770925|-192.036 -102.835 |8.92     |G8V            |    ~     ~          
73  |HD 125021                                                             |Star                                  |14 17 02.8021790928 -04 19 43.603179168|339.5010811059472 +52.3573165932650|-17.310 -18.087   |7.85     |M2/3III        |    ~     ~          
74  |BD-03 3604                                                            |Star                                  |14 17 11.5065293520 -04 20 29.738099040|339.5400434445971 +52.3272255293861| -0.343 -19.285   |9.50     |M1             |    ~     ~          
75  |HD 125079                                                             |Chemically Peculiar Star              |14 17 20.7180441696 -04 15 57.812210640|339.6589636699966 +52.3707391454878|    7.975 6.015   |8.63     |G2IIIBa1       |    ~     ~          
76  |BD-03 3599                                                            |Star                                  |14 15 31.3775794944 -03 59 11.341084272|339.2694932601114 +52.8489800160050|-17.912 -32.528   |10.010   |~              |    ~     ~          
