C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:51:40

Vmag< 11&dec< 0&rah >=14.25&rah< 14.5
-------------------------------------

Number of objects : 5563

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |      ang. size      
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------------
1630|BD-22 3790                                                            |Star                                  |14 26 18.2341401456 -23 23 53.023922700|329.5498324692075 +34.5233593751108|  -8.479 -5.510   |10.391   |~              |    ~     ~          
1631|BD-22 3792                                                            |Star                                  |14 27 46.6370582832 -23 20 16.580490792|329.9505906608649 +34.4295242559227| -35.563 -2.175   |10.530   |~              |    ~     ~          
1632|CD-23 11710                                                           |Star                                  |14 26 31.1979024696 -23 37 24.727274040|329.4852010645320 +34.2987522248036| -11.945 -0.961   |10.37    |~              |    ~     ~          
1633|HD 126473                                                             |Double or Multiple Star               |14 26 18.35908 -24 12 44.0397          |329.12472563 +33.78910482          |    -25.32 2.52   |9.192    |F5V            |    ~     ~          
1634|HD 126536                                                             |Star                                  |14 26 42.4503288864 -24 06 43.467820344|329.2761998049008 +33.8399105787881|-33.269 -12.695   |10.46    |F3/5V          |    ~     ~          
1635|CD-23 11714B                                                          |Star                                  |14 26 40.9 -24 07 03                   |329.2670 +33.8376                  |            ~ ~   |10.0     |~              |    ~     ~          
1636|HD 126725                                                             |Double or Multiple Star               |14 27 51.5256303264 -24 03 09.075298392|329.5921314039416 +33.7792312402850| -11.380 -0.886   |9.973    |F0V            |    ~     ~          
1637|HD 126832                                                             |Star                                  |14 28 29.7824161968 -24 25 15.042210600|329.5555113862125 +33.3844409939339|  -8.630 -0.383   |9.56     |K4/5III        |    ~     ~          
1638|HD 126537                                                             |Star                                  |14 26 45.6273071400 -25 33 48.675098484|328.5441702577455 +32.5240362439705|   1.625 -4.241   |10.63    |G3/5(V)        |    ~     ~          
1639|HD 126601                                                             |Star                                  |14 27 12.0395681016 -25 22 30.985156704|328.7463188098087 +32.6517017351935| -11.784 -8.853   |10.515   |F7/8V          |    ~     ~          
1640|HD 126650                                                             |Star                                  |14 27 28.2133425624 -25 17 27.262166568|328.8547248247406 +32.7017178106614| 12.652 -29.176   |10.567   |F2V            |    ~     ~          
1641|HD 126683                                                             |Star                                  |14 27 40.9619543496 -24 51 23.072881356|329.1297587666863 +33.0728806215186| -13.033 22.867   |8.77     |K0III          |    ~     ~          
1642|HD 126870                                                             |Star                                  |14 28 46.0133851848 -24 56 57.262471656|329.3455464063789 +32.8823824053169| -0.086 -10.414   |9.38     |K1III          |    ~     ~          
1643|HD 126882                                                             |Double or Multiple Star               |14 28 55.4839322040 -25 12 28.457457696|329.2495627394011 +32.6340486686605| -30.117 -5.068   |10.415   |F3/6           |    ~     ~          
1644|HD 126900                                                             |Star                                  |14 28 58.7171985144 -25 20 37.649722704|329.1922845031879 +32.5064414559050|  -22.007 2.637   |8.87     |K2III          |    ~     ~          
1645|CD-24 11495                                                           |Star                                  |14 27 11.7993838560 -24 40 12.573734952|329.1071455037875 +33.2885309940342| -0.264 -13.209   |10.597   |~              |    ~     ~          
1646|CD-23 11729                                                           |Star                                  |14 28 18.4039833720 -23 47 34.684918116|329.8400874328618 +33.9675529621528| -6.717 -11.719   |9.947    |~              |    ~     ~          
1647|CD-24 11486                                                           |Star                                  |14 26 21.7689103416 -24 35 07.200004236|328.9461025195277 +33.4466938933508|  -7.296 -2.450   |10.187   |~              |    ~     ~          
1648|CD-24 11504                                                           |Star                                  |14 28 30.3981504936 -24 39 11.295664380|329.4364545521108 +33.1745392921184| -16.671 -1.246   |10.303   |~              |    ~     ~          
1649|CD-23 11732                                                           |Star                                  |14 28 40.4879073048 -23 49 00.552548964|329.9184978074873 +33.9090315928936|  -10.381 1.892   |10.765   |~              |    ~     ~          
1650|CD-24 11514                                                           |Star                                  |14 29 00.6536349696 -25 07 31.455992676|329.3131721652733 +32.6997679740543|-21.092 -25.608   |10.548   |~              |    ~     ~          
1651|CD-23 11736                                                           |Star                                  |14 29 05.0349888792 -24 11 21.085255320|329.8217055524852 +33.5336540496855|  3.592 -17.412   |10.404   |~              |    ~     ~          
1652|HD 126972                                                             |Star                                  |14 29 28.7775359184 -23 25 23.321621856|330.3287533623280 +34.1799691747836|-39.320 -18.761   |8.98     |G1/2V          |    ~     ~          
1653|HD 126949                                                             |Star                                  |14 29 12.9697399536 -23 45 27.196762464|330.0839136207603 +33.9073622736867| 20.874 -33.521   |9.37     |G1V            |    ~     ~          
1654|HD 127036                                                             |Star                                  |14 29 45.3468217944 -23 48 39.000736836|330.1885372411791 +33.8047509248908|        2.9 0.1   |9.61     |A3III          |    ~     ~          
1655|HD 127050                                                             |Star                                  |14 29 49.8265846752 -24 03 22.419909504|330.0756301279225 +33.5774096066347|-18.361 -13.674   |9.33     |A2IV/V         |    ~     ~          
1656|HD 127011                                                             |Star                                  |14 29 39.4803073872 -24 41 13.161397236|329.6992502877346 +33.0292761932116|   6.717 -9.290   |9.44     |K0III          |    ~     ~          
1657|HD 127051                                                             |Eclipsing Binary                      |14 29 51.6047742576 -24 43 27.383238840|329.7287293822457 +32.9755622806983|  -13.790 1.643   |10.808   |F0             |    ~     ~          
1658|CD-23 11738                                                           |High Proper Motion Star               |14 29 10.6075189104 -24 08 01.545083340|329.8738825488419 +33.5740310888400|-51.901 -20.255   |10.289   |~              |    ~     ~          
1659|TYC 6736-438-1                                                        |Star                                  |14 28 54.6610114056 -25 25 18.600633336|329.1357117094752 +32.4428342510627|-11.500 -14.896   |10.945   |~              |    ~     ~          
1660|TYC 6736-632-1                                                        |Star                                  |14 28 48.4945381056 -24 58 13.935718920|329.3445118558492 +32.8591294370235| -47.731 -6.340   |10.713   |~              |    ~     ~          
1661|HD 126555                                                             |Star                                  |14 26 51.8628779160 -25 48 15.536806704|328.4477121650383 +32.2962225078980|   -3.107 4.513   |9.74     |G8IV           |    ~     ~          
1662|HD 126554                                                             |High Proper Motion Star               |14 26 54.3454120704 -25 39 58.355735400|328.5273711531825 +32.4171854618910| 11.203 -53.654   |10.148   |F6/7V          |    ~     ~          
1663|HD 126572                                                             |Star                                  |14 27 01.7921859120 -26 00 59.644115028|328.3807341608036 +32.0883210691275|  9.504 -14.861   |10.18    |G8/K0(IV)      |    ~     ~          
1664|HD 126901                                                             |High Proper Motion Star               |14 28 56.7967473432 -25 41 50.418853224|329.0025900450884 +32.1912175936526| -71.146 -4.688   |8.93     |G0V            |    ~     ~          
1665|CD-25 10360                                                           |Star                                  |14 28 42.6461577864 -25 36 28.522619244|328.9918335412556 +32.2948382211245| -15.465 -2.879   |10.293   |~              |    ~     ~          
1666|CD-24 11511                                                           |Star                                  |14 28 59.0325188928 -25 33 33.047507844|329.0825051918699 +32.3120091975526|-14.828 -15.061   |10.330   |~              |    ~     ~          
1667|HD 126850                                                             |Star                                  |14 28 43.6102764888 -25 57 56.732802120|328.8127834357795 +31.9706924856227|  -1.523 -5.737   |9.897    |K0III          |    ~     ~          
1668|HD 126556                                                             |High Proper Motion Star               |14 26 51.8505348480 -26 25 00.868114272|328.1409264803378 +31.7415963305797| -57.177 -7.375   |9.703    |F6V            |    ~     ~          
1669|HD 126500                                                             |Star                                  |14 26 38.5743353328 -26 51 26.116387704|327.8702840332317 +31.3632315878480|   1.093 -1.326   |8.18     |K2III          |    ~     ~          
1670|HD 126538                                                             |Star                                  |14 26 51.1947994560 -27 09 25.686715536|327.7725704297675 +31.0714435689857| -36.839 -5.417   |8.45     |F2IV/V         |    ~     ~          
1671|HD 126602                                                             |Star                                  |14 27 13.2607688184 -26 35 16.825079364|328.1407453068968 +31.5527882815341|-20.845 -22.467   |9.07     |F0V            |    ~     ~          
1672|HD 126739                                                             |Star                                  |14 28 00.8152984824 -27 18 32.670558108|327.9704443333158 +30.8248376381849|  7.127 -18.490   |8.16     |A5/7IV         |    ~     ~          
1673|HD 126820                                                             |High Proper Motion Star               |14 28 29.5658745456 -27 18 29.394267192|328.0830809314091 +30.7804440611673| -58.550 -0.611   |9.37     |G0V            |    ~     ~          
1674|HD 126833                                                             |High Proper Motion Star               |14 28 41.0166881040 -27 15 03.382944192|328.1561312881781 +30.8141412500422|-210.105 -89.941  |10.21    |G8/K0V         |    ~     ~          
1675|HD 126871                                                             |Star                                  |14 28 51.2190108192 -27 21 14.509153296|328.1446910525131 +30.7047890551498|  -4.774 -6.781   |10.30    |F3V            |    ~     ~          
1676|HD 126573                                                             |Star                                  |14 27 02.8232395704 -27 47 02.281718760|327.5120607264404 +30.4843555413976|-22.257 -18.553   |9.31     |A3IV           |    ~     ~          
1677|HD 126635                                                             |Star                                  |14 27 28.7565271968 -27 54 14.964727464|327.5542572527781 +30.3351909919057| -20.735 -8.688   |8.01     |K3III          |    ~     ~          
1678|HD 126821                                                             |Star                                  |14 28 34.4626643016 -27 55 10.719286932|327.8007236471346 +30.2191547542598|-17.036 -10.158   |7.65     |K3III          |    ~     ~          
1679|HD 126851                                                             |Star                                  |14 28 46.1333385936 -27 52 30.985703616|327.8675468942104 +30.2411156847173|  -2.042 -6.405   |10.37    |A8/9V          |    ~     ~          
1680|CD-26 10295                                                           |Star                                  |14 27 12.9592197360 -27 28 18.525695304|327.7036499851428 +30.7520416518844| -31.539 -8.977   |10.39    |~              |    ~     ~          
1681|CD-27 9854                                                            |Star                                  |14 28 25.6931955456 -27 58 40.777985712|327.7383153140332 +30.1799475670253|-13.407 -10.250   |10.91    |~              |    ~     ~          
1682|CD-26 10298                                                           |Star                                  |14 27 24.1030830336 -26 46 06.620759580|328.0939165313579 +31.3721954404582|   -5.690 1.388   |10.30    |~              |    ~     ~          
1683|CD-24 11523B                                                          |Star                                  |14 29 50.7324281496 -25 32 27.559545144|329.2987207031216 +32.2435555973686|  0.605 -36.436   |9.59     |~              |    ~     ~          
1684|HD 127037                                                             |Star                                  |14 29 49.9464081096 -25 32 34.367705016|329.2946005027010 +32.2431499405749|  0.123 -37.811   |7.73     |K1III          |    ~     ~          
1685|CD-25 10371                                                           |Star                                  |14 29 48.5634302400 -25 36 55.640956716|329.2515226210109 +32.1801749094765|  -7.288 -8.642   |9.822    |~              |    ~     ~          
1686|HD 126931                                                             |Star                                  |14 29 12.2052509424 -27 07 10.254205020|328.3433281560415 +30.8834700612255| -14.791 -2.146   |10.13    |F3/5V          |    ~     ~          
1687|HD 127012                                                             |Star                                  |14 29 48.0045817824 -27 25 48.208464840|328.3274269919111 +30.5460870853689|  14.258 17.128   |10.00    |G8III          |    ~     ~          
1688|CD-26 10318                                                           |Star                                  |14 29 29.2757043192 -27 30 06.102306288|328.2191231515135 +30.5111137225633|    0.874 5.056   |10.78    |~              |    ~     ~          
1689|CD-27 9864                                                            |Star                                  |14 29 32.1444531384 -27 37 47.352027360|328.1665538673452 +30.3908034931799|-27.756 -15.145   |10.338   |~              |    ~     ~          
1690|TYC 6740-162-1                                                        |High Proper Motion Star               |14 27 57.1288731096 -27 39 52.303107672|327.7812476627130 +30.5085315192183|  1.386 -71.534   |10.84    |~              |    ~     ~          
1691|TYC 6740-446-1                                                        |Star                                  |14 27 02.3470277088 -28 04 54.721740576|327.3659691158243 +30.2144415030861|  -3.087 -3.387   |10.85    |~              |    ~     ~          
1692|TYC 6740-640-1                                                        |Star                                  |14 29 12.0317273544 -26 27 37.775431368|328.6742064697064 +31.4785990881348|-11.913 -16.717   |10.96    |~              |    ~     ~          
1693|HD 126852                                                             |Star                                  |14 28 50.2975133688 -28 05 42.349382232|327.7757730729998 +30.0355485631175| -33.324 17.201   |10.81    |B8V            |    ~     ~          
1694|HD 126457                                                             |Star                                  |14 26 23.5096014456 -28 29 12.584773392|327.0218829622847 +29.9052295201743|-10.318 -35.804   |9.81     |G8III          |    ~     ~          
1695|HD 126651                                                             |High Proper Motion Star               |14 27 32.6114925768 -28 21 40.264191936|327.3478242232885 +29.9142460127453|-56.417 -37.820   |9.10     |F5V            |    ~     ~          
1696|CD-28 10678                                                           |Star                                  |14 26 21.2732010864 -29 05 37.659153588|326.7255589952680 +29.3555662167951|-13.824 -29.390   |10.35    |~              |    ~     ~          
1697|HD 126588                                                             |Star                                  |14 27 06.8861575008 -29 15 35.364922200|326.8204492382461 +29.1359147254668|-10.748 -12.289   |9.45     |K2/3III        |    ~     ~          
1698|HD 126726                                                             |Star                                  |14 27 56.9937335640 -29 11 59.412466428|327.0387139356727 +29.1149282138108|   7.172 -2.858   |9.929    |F3V            |    ~     ~          
1699|* l Hya                                                               |Double or Multiple Star               |14 28 10.4272263008 -29 29 29.896774774|326.9505670400110 +28.8293032777984|-23.446 -24.638   |4.97     |B7/8V          |    ~     ~          
1700|HD 126902                                                             |Star                                  |14 28 59.9256128952 -29 21 03.357716040|327.2040494404917 +28.8820462500894|  13.308 -4.501   |9.50     |K2III          |    ~     ~          
1701|HD 126685                                                             |delta Sct Variable                    |14 27 45.1236412608 -29 58 58.692599004|326.6236280438561 +28.4201191412255|   8.552 -2.498   |9.864    |A3/5mF0-F0/2   |    ~     ~          
1702|CD-29 11094                                                           |Star                                  |14 29 07.7742195624 -29 44 14.132672340|327.0488366137533 +28.5193858249481|-11.764 -17.966   |10.598   |~              |    ~     ~          
1703|CD-29 11059                                                           |Star                                  |14 26 16.1688164832 -30 21 53.205797736|326.1140003419067 +28.2029836303667|   -1.301 7.775   |10.56    |~              |    ~     ~          
1704|CD-29 11071                                                           |Star                                  |14 27 18.7972269576 -30 04 16.562821872|326.4839023481342 +28.3787784671867|  -0.611 -0.169   |10.405   |~              |    ~     ~          
1705|CD-29 11088                                                           |Star                                  |14 28 31.8881998536 -30 09 53.452790892|326.7124474371178 +28.1847531898497|      -9.4 29.8   |10.675   |~              |    ~     ~          
1706|HD 126974                                                             |Star                                  |14 29 33.4797753000 -28 06 03.468624768|327.9387745872468 +29.9627531516872| 38.756 -17.848   |8.86     |F7V            |    ~     ~          
1707|HD 127038                                                             |Star                                  |14 29 50.8227647376 -29 18 31.314660552|327.4158241199036 +28.8424443482963| -14.455 -2.407   |9.31     |G8IV           |    ~     ~          
1708|HD 127013                                                             |Star                                  |14 29 45.2697465984 -29 55 48.551563632|327.0966765534143 +28.2874273526735|  -19.804 0.206   |9.66     |G8III/IV       |    ~     ~          
1709|CD-28 10729                                                           |Star                                  |14 29 24.2682639624 -28 38 54.694135680|327.6355061681908 +29.4815025943749|   2.907 11.496   |10.30    |~              |    ~     ~          
1710|CD-29 11073                                                           |Long-Period Variable                  |14 27 27.4711868232 -29 45 29.715244200|326.6630691323979 +28.6511269577224| -16.120 -6.108   |10.43    |~              |    ~     ~          
1711|TYC 6740-538-1                                                        |High Proper Motion Star               |14 29 31.9679997504 -28 00 49.143309912|327.9759824641348 +30.0440928123898|-45.017 -38.985   |10.887   |~              |    ~     ~          
1712|TYC 6744-139-1                                                        |Star                                  |14 26 21.8997234984 -28 41 22.727660367|326.9191875498550 +29.7229377486267| -19.313 -0.989   |10.83    |~              |    ~     ~          
1713|TYC 6744-302-1                                                        |Star                                  |14 28 31.5696348648 -28 14 26.211377148|327.6327408185219 +29.9327918454163|  22.026 -3.371   |10.94    |~              |    ~     ~          
1714|TYC 6744-457-1                                                        |Star                                  |14 29 48.1751338824 -28 17 52.089655344|327.8982341117429 +29.7617018914379| -24.441 -8.867   |10.65    |~              |    ~     ~          
1715|TYC 6744-668-1                                                        |Star                                  |14 26 29.0509045008 -28 56 25.900741176|326.8276061969539 +29.4835998422748| -11.203 -4.015   |10.65    |~              |    ~     ~          
1716|TYC 6744-678-1                                                        |Star                                  |14 29 34.1082314712 -28 53 38.083345800|327.5535704399302 +29.2440021270936| -42.141 -9.169   |10.806   |~              |    ~     ~          
1717|TYC 6744-1080-1                                                       |Star                                  |14 28 35.0876369688 -29 09 24.519795444|327.2033964834559 +29.0961387945470| -16.340 -5.391   |10.78    |~              |    ~     ~          
1718|TYC 7295-499-1                                                        |Star                                  |14 29 52.4868415800 -30 00 20.545729272|327.0874443904087 +28.2079232437896| -16.884 -6.730   |10.836   |~              |    ~     ~          
1719|HD 126834                                                             |Star                                  |14 28 37.4983253472 -31 02 55.630093380|326.3198122552752 +27.3716865651727|  -46.216 1.819   |9.17     |K1III          |    ~     ~          
1720|CD-30 11448                                                           |Star                                  |14 28 29.8828397448 -31 03 28.668772116|326.2876623969546 +27.3745275960582|  -2.225 -4.361   |10.927   |~              |    ~     ~          
1721|CD-30 11460                                                           |Star                                  |14 29 01.6655049936 -30 40 01.522797852|326.5866453033373 +27.6834131838424|-12.269 -13.047   |10.579   |~              |    ~     ~          
1722|HD 126770                                                             |Star                                  |14 28 13.9889731416 -31 10 24.918706092|326.1759660953132 +27.2924425308779|    2.495 2.892   |9.06     |K1IIICNII      |    ~     ~          
1723|HD 126574                                                             |Star                                  |14 27 08.5989929256 -31 56 54.373522704|325.5839262544542 +26.6792928699020|-14.678 -39.146   |10.39    |G8III/IV       |    ~     ~          
1724|HD 126667                                                             |Star                                  |14 27 41.7995596656 -31 51 57.063735216|325.7415470935810 +26.7072262891480|-23.591 -10.501   |8.29     |A5/6IV         |    ~     ~          
1725|HD 126797                                                             |Star                                  |14 28 32.9996335392 -32 05 06.574171956|325.8264150934447 +26.4332133493505| -10.638 -3.114   |9.75     |G8III/IV       |    ~     ~          
1726|HD 126458                                                             |Star                                  |14 26 24.5377775880 -32 13 48.223114392|325.2980435270380 +26.4839953929627|  -7.774 -7.526   |9.57     |A0V            |    ~     ~          
1727|HD 126520                                                             |Star                                  |14 26 50.4193199208 -32 19 05.761936920|325.3518185946043 +26.3666297410802|   -2.104 9.835   |10.05    |G8III          |    ~     ~          
1728|HD 126540                                                             |Star                                  |14 26 56.5134890496 -32 13 45.671108448|325.4136707305270 +26.4394134639571| 14.642 -26.996   |10.10    |F5V            |    ~     ~          
1729|HD 126459                                                             |Star                                  |14 26 27.3823352832 -33 15 00.736402320|324.8554682048435 +25.5445259912855|  -24.024 0.674   |7.15     |A(5)V+K0III    |    ~     ~          
1730|HD 126521                                                             |High Proper Motion Star               |14 26 50.1957781200 -33 14 48.936213708|324.9377315115524 +25.5158900829940|-110.876 16.402   |9.48     |G5V            |    ~     ~          
1731|HD 126686                                                             |High Proper Motion Star               |14 27 47.4212917920 -32 38 09.682869768|325.4135097214670 +25.9950802429962|-66.189 -37.967   |9.40     |F2V            |    ~     ~          
1732|CD-32 10115                                                           |Star                                  |14 26 34.7880879408 -32 56 22.064472816|325.0190312607803 +25.8192999941750| -15.213 -0.273   |10.69    |~              |    ~     ~          
1733|CD-32 10116                                                           |Star                                  |14 26 35.7946683528 -32 54 05.833959372|325.0393872265606 +25.8525975531345|  11.717 -3.318   |10.19    |~              |    ~     ~          
1734|CD-31 11185                                                           |Star                                  |14 26 39.1911165216 -32 00 30.448571004|325.4504056910793 +26.6662431378181|  -2.737 -5.692   |10.468   |~              |    ~     ~          
1735|CD-31 11186                                                           |Star                                  |14 26 41.1921114456 -32 06 10.862243964|325.4151369285884 +26.5768156410786|   3.767 -6.324   |10.275   |~              |    ~     ~          
1736|CD-32 10120                                                           |Star                                  |14 26 51.3136278024 -32 59 02.589197604|325.0580914838018 +25.7553544533462|-10.434 -24.149   |10.42    |~              |    ~     ~          
1737|CD-31 11189                                                           |Star                                  |14 26 56.0288700552 -32 16 39.600102720|325.3902265397802 +26.3958670763004| -12.196 14.808   |10.39    |~              |    ~     ~          
1738|CD-32 10124                                                           |Star                                  |14 27 04.2554471736 -32 50 23.497078020|325.1682830347587 +25.8693749886739|  -7.864 -6.787   |10.598   |~              |    ~     ~          
1739|CD-31 11193                                                           |Star                                  |14 27 06.6377190048 -32 16 26.232554136|325.4300881665349 +26.3842250987533| -2.696 -12.982   |10.66    |~              |    ~     ~          
1740|CD-32 10139                                                           |High Proper Motion Star               |14 28 28.0013203272 -32 58 02.152899228|325.4089063433266 +25.6346599753849| -50.754 -6.872   |10.17    |~              |    ~     ~          
1741|CD-31 11221                                                           |Star                                  |14 28 32.5481000184 -31 57 18.145902816|325.8842299621911 +26.5526121774234|  -1.579 -1.997   |10.16    |~              |    ~     ~          
1742|CD-31 11224                                                           |Star                                  |14 28 40.5894241656 -32 27 19.463064264|325.6850697240660 +26.0843151540596|   -5.161 0.554   |10.51    |~              |    ~     ~          
1743|CPD-30 3847                                                           |Star                                  |14 28 54.8477488776 -31 30 09.002143620|326.1729297327301 +26.9328325383423|  -9.856 -1.990   |10.178   |~              |    ~     ~          
1744|CD-30 11468                                                           |High Proper Motion Star               |14 29 52.6224495024 -30 43 12.910244196|326.7489760729856 +27.5590214628672|  -75.491 0.361   |10.902   |~              |    ~     ~          
1745|CD-31 11229                                                           |High Proper Motion Star               |14 29 26.2626949104 -32 31 09.541588692|325.8189590597500 +25.9603123125631|-155.420 53.329   |10.35    |K0             |    ~     ~          
1746|HD 126950                                                             |Star                                  |14 29 27.0795652920 -33 04 05.779456716|325.5722674374864 +25.4583601072924|-16.545 -12.535   |10.02    |A1/2mF0-F2     |    ~     ~          
1747|HD 126963                                                             |Star                                  |14 29 33.8392766856 -32 51 07.207070400|325.6942958714456 +25.6460053866467|   1.305 -0.794   |9.906    |G8III          |    ~     ~          
1748|CD-32 10148                                                           |Star                                  |14 29 37.7278043856 -32 59 39.949573164|325.6433416622534 +25.5105119705540|    4.797 0.773   |10.35    |~              |    ~     ~          
1749|TYC 7295-19-1                                                         |Star                                  |14 28 19.6276258200 -31 42 27.609413724|325.9507644366941 +26.7970500868746|   0.451 -0.508   |10.99    |~              |    ~     ~          
1750|TYC 7295-829-1                                                        |Star                                  |14 27 19.4688306240 -30 58 00.354876492|326.0712894046369 +27.5607771743447|  -4.357 -1.028   |10.696   |~              |    ~     ~          
1751|TYC 7299-140-1                                                        |Star                                  |14 27 23.4919716792 -31 54 53.550340128|325.6530240829707 +26.6886865285658| -28.338 -3.061   |10.965   |~              |    ~     ~          
1752|TYC 7299-290-1                                                        |Star                                  |14 27 10.5174645144 -32 11 03.426224244|325.4844193523275 +26.4607761394643| -11.740 -9.956   |10.927   |~              |    ~     ~          
1753|TYC 7299-432-1                                                        |Star                                  |14 27 40.5956844240 -32 57 38.766621528|325.2436291607393 +25.7075757822081|   -1.184 3.502   |10.919   |~              |    ~     ~          
1754|TYC 7299-437-1                                                        |Star                                  |14 26 55.2858331392 -33 02 49.260009876|325.0442812876844 +25.6920907714516| -12.331 -4.107   |10.83    |~              |    ~     ~          
1755|TYC 7299-497-1                                                        |Star                                  |14 28 58.2636525336 -33 03 54.728490780|325.4718900440565 +25.5022106932638|   1.632 -5.561   |10.67    |~              |    ~     ~          
1756|TYC 7299-504-1                                                        |Star                                  |14 28 15.7822424160 -32 52 23.181701592|325.4079031222162 +25.7380599018613|       -6.7 0.9   |10.94    |~              |    ~     ~          
1757|TYC 7299-624-1                                                        |Star                                  |14 26 44.8809864624 -33 10 26.465665728|324.9511176268369 +25.5901402130954| -3.331 -36.373   |10.31    |~              |    ~     ~          
1758|TYC 7299-1900-1                                                       |Star                                  |14 28 39.0197175528 -33 01 04.702787904|325.4251131869002 +25.5726883851391|  -30.586 0.039   |10.53    |~              |    ~     ~          
1759|V* V1351 Cen                                                          |Eclipsing Binary                      |14 28 33.5607642240 -32 08 25.770390936|325.8031914616815 +26.3819012641966|  -0.403 -8.170   |10.94    |~              |    ~     ~          
1760|HD 126652                                                             |Star                                  |14 27 42.3965286336 -33 19 49.928464596|325.0851886372229 +25.3665050868012|  28.049 -3.081   |9.23     |K1III          |    ~     ~          
1761|HD 126705                                                             |Star                                  |14 27 58.0085615808 -33 23 30.929346708|325.1129191714908 +25.2884522299940| -12.219 -1.823   |9.14     |K2III          |    ~     ~          
1762|HD 126771                                                             |Star                                  |14 28 25.0797954264 -33 30 11.074370004|325.1586020679377 +25.1487937037749| -10.861 -5.068   |9.73     |A3II/III(m)    |    ~     ~          
1763|HD 126522                                                             |High Proper Motion Star               |14 26 52.9219965360 -33 43 32.659589460|324.7365107027725 +25.0728855909745|    -40.0 -38.8   |9.58     |F6V            |    ~     ~          
1764|HD 126706                                                             |Star                                  |14 27 57.8822085888 -33 42 53.641514808|324.9690735434116 +24.9928907822727|  -11.688 4.565   |10.45    |F0V            |    ~     ~          
1765|HD 126541                                                             |Star                                  |14 27 02.4488697552 -33 53 08.435955336|324.6997556317741 +24.9130159856130|-28.807 -28.693   |9.98     |K0/1(III)      |    ~     ~          
1766|HD 126772                                                             |Star                                  |14 28 21.0834967656 -33 51 38.400604164|324.9855902119504 +24.8271238945493| -11.597 -9.339   |8.73     |K2III          |    ~     ~          
1767|HD 126883                                                             |Star                                  |14 29 04.1070875040 -33 50 13.340674968|325.1461533932075 +24.7886283495355| -19.384 -3.248   |9.94     |G5/6(III)      |    ~     ~          
1768|HD 126885                                                             |Star                                  |14 29 10.4845506240 -34 28 14.380047732|324.8867111094414 +24.2002225402926|-29.260 -24.382   |10.48    |G1V            |    ~     ~          
1769|HD 126431                                                             |Star                                  |14 26 22.3839456888 -35 12 45.363861576|323.9866594307059 +23.7479129114062|   8.211 -7.469   |9.91     |G8/K1(III)     |    ~     ~          
1770|HD 126501                                                             |Star                                  |14 26 50.8935345528 -35 32 28.779121752|323.9433796409805 +23.4075178617927| -13.237 -0.828   |10.09    |A1III/IV       |    ~     ~          
1771|HD 126589                                                             |Star                                  |14 27 17.8610188368 -34 59 32.063154324|324.2714478208124 +23.8761268197871|   6.395 -4.331   |10.46    |F3V            |    ~     ~          
1772|HD 126620                                                             |High Proper Motion Star               |14 27 31.4496101880 -35 26 50.042009256|324.1215739235838 +23.4398768721934| 32.535 -54.135   |6.89     |F8V            |    ~     ~          
1773|HD 126636                                                             |Double or Multiple Star               |14 27 38.1874 -35 05 35.153            |324.2974179 +23.7560601            |  24.302 -9.187   |10.14    |F5V            |    ~     ~          
1774|CD-34 9645                                                            |Star                                  |14 27 58.2323872296 -35 33 07.926010884|324.1672440840545 +23.3075336204616|  -4.918 -1.377   |9.93     |K0             |    ~     ~          
1775|HD 126783                                                             |Star                                  |14 28 34.7780967240 -35 00 52.645660380|324.5250077824217 +23.7512068811342| -11.329 -8.250   |8.66     |F3V            |    ~     ~          
1776|HD 126445                                                             |Star                                  |14 26 30.8881405536 -35 51 38.424057876|323.7395911737892 +23.1400894468343|-14.760 -16.382   |10.25    |F0/2V          |    ~     ~          
1777|HD 126460                                                             |Star                                  |14 26 34.2547172904 -35 54 13.646313432|323.7326789263929 +23.0959549029688|  17.779 -9.934   |9.41     |G8III          |    ~     ~          
1778|CD-34 9636                                                            |Star                                  |14 27 26.3475733440 -34 48 42.376748760|324.3787570619680 +24.0303755345127|   1.711 -2.904   |10.81    |~              |    ~     ~          
1779|CD-35 9530                                                            |Star                                  |14 27 26.6859908424 -35 37 40.726136100|324.0277381555582 +23.2801614401417|  -16.863 1.797   |10.26    |~              |    ~     ~          
1780|CD-35 9533                                                            |Star                                  |14 27 48.4421351592 -35 45 47.726280072|324.0432634545754 +23.1268110121170| -16.191 -4.569   |9.95     |~              |    ~     ~          
1781|CD-33 9823                                                            |Star                                  |14 28 16.2922675200 -34 13 22.964187324|324.8087228968345 +24.5019198977882|   -4.122 1.575   |10.616   |~              |    ~     ~          
1782|CD-35 9544                                                            |Star                                  |14 28 23.4887306424 -35 44 43.243085724|324.1692844073350 +23.0963142535702|   -5.997 1.305   |10.63    |~              |    ~     ~          
1783|CD-35 9546                                                            |Star                                  |14 28 27.3815119536 -35 40 23.717985132|324.2135800676822 +23.1572326579818| -16.435 -2.235   |10.60    |~              |    ~     ~          
