C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:33:38

dec< 0&rah >=2.75&rah< 3.0&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2679

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
717 |BD-17 555                                                                                                |Star                              |02 52 03.5293970160 -16 52 14.382493752|199.0259700960455 -60.3144615267306|  8.729 -12.286   |10.903   |~                |    ~     ~    |    1|  519.061   pc  | -16.0900    +16.0900    |ST-L    |2020AJ....160...83S
718 |TYC 5864-43-1                                                                                            |Star                              |02 52 03.6854581680 -17 06 07.883650476|199.4498350065235 -60.4128200312622|  2.524 -14.144   |10.98    |~                |    ~     ~    |    1|  682.801   pc  | -28.8500    +28.8500    |ST-L    |2020AJ....160...83S
719 |BD-19 557                                                                                                |Star                              |02 54 01.8603096768 -18 27 46.465731000|202.3598112412653 -60.5359126544166|  28.412 15.155   |10.44    |~                |    ~     ~    |    1|  151.964   pc  |  -0.3418     +0.3418    |paral   |2020yCat.1350....0G
720 |BD-19 578                                                                                                |Star                              |02 59 20.6112769200 -18 27 04.931330148|203.3025278040811 -59.3677924077861|   12.043 6.399   |10.81    |~                |    ~     ~    |    1|  492.975   pc  |  -3.7912     +3.7912    |paral   |2020yCat.1350....0G
721 |TYC 5867-601-1                                                                                           |High Proper Motion Star           |02 54 31.0476447024 -17 49 58.791060552|201.2813780489373 -60.1813932605001|  50.979 -8.050   |10.88    |~                |    ~     ~    |    1|  297.345   pc  |  -1.4677     +1.4677    |paral   |2020yCat.1350....0G
722 |TYC 5867-866-1                                                                                           |High Proper Motion Star           |02 53 04.4046603960 -18 52 35.291245728|202.9645525837227 -60.9033319942832| -0.363 -58.992   |10.89    |~                |    ~     ~    |    1|  200.489   pc  |  -0.6351     +0.6351    |paral   |2020yCat.1350....0G
723 |BD-15 489                                                                                                |Star                              |02 46 01.3848011160 -15 11 25.670375232|194.6343557235664 -60.8374653003667|     -18.7 32.8   |9.921    |G0               |    ~     ~    |    1|  187.895   pc  | +40.154      +6         |ST-L    |2017AJ....153...75K
724 |HD 17371                                                                                                 |Star                              |02 46 52.6394721264 -15 17 13.326840708|195.0107044973885 -60.7032626371585| 28.915 -31.375   |8.03     |K1/2III          |    ~     ~    |    1|  243.801   pc  |  -1.4919     +1.4919    |paral   |2020yCat.1350....0G
725 |HD 17404                                                                                                 |Double or Multiple Star           |02 47 09.26838 -15 22 37.8733          |195.23772948 -60.68760221          |    22.56 11.78   |8.20     |A/F              |    ~     ~    |    0|                |                         |        |                   
726 |HD 17205                                                                                                 |High Proper Motion Star           |02 45 12.5041027800 -15 25 35.954208516|194.8663616790099 -61.1233125863898|  37.860 39.987   |7.60     |G5/6III          |    ~     ~    |    1|  257.845   pc  |  -1.3031     +1.3031    |paral   |2020yCat.1350....0G
727 |HD 17424                                                                                                 |Star                              |02 47 15.9261975840 -15 58 24.438376992|196.3435423143544 -60.9435392216385| -7.225 -33.654   |8.94     |K0/1III          |    ~     ~    |    1|  425.677   pc  |  -3.2254     +3.2254    |paral   |2020yCat.1350....0G
728 |HD 17252                                                                                                 |High Proper Motion Star           |02 45 47.4169439798 -16 27 43.855687770|196.9105299970758 -61.4817824229013|307.569 -230.067  |9.66     |K1V              |    ~     ~    |    1|   51.6745  pc  |  -0.0419     +0.0419    |paral   |2020yCat.1350....0G
729 |HD 17560                                                                                                 |Star                              |02 48 39.7607897352 -16 48 40.423095000|198.1968874321988 -61.0208299407297|    3.559 6.558   |8.18     |G8III/IV         |    ~     ~    |    1|  211.618   pc  |  -6.2829     +6.2829    |paral   |2020yCat.1350....0G
730 |NGC 1089                           NGC 1089                                                              |Galaxy towards a Group of Galaxies|02 46 10.1090063544 -15 04 23.294356320|194.4588196990332 -60.7499419371148|            ~ ~   |     ~   |~                |0.747 0.582    |    1|  118.03    Mpc |                         |        |2016AJ....152...50T
731 |NGC 1083                           NGC 1083                                                              |Galaxy towards a Group of Galaxies|02 45 40.326 -15 21 40.15              |194.858306 -60.993826              |            ~ ~   |     ~   |~                |2.237 0.313    |    1|   54.89    Mpc |                         |redshift|2007ApJ...655..790C
732 |NGC 1081                           NGC 1081                                                              |Galaxy towards a Group of Galaxies|02 45 05.519 -15 35 16.06              |195.132285 -61.224869              |            ~ ~   |     ~   |~                |0.710 0.355    |    1|   45.08    Mpc |  -4.46       +4.46      |T-F     |2020ApJ...902..145K
733 |BD-16 500                                                                                                |Star                              |02 45 48.0276338712 -16 19 30.999451548|196.6575888671429 -61.4174798314779|   3.951 -8.968   |10.912   |~                |    ~     ~    |    1|  471.969   pc  | -13.6300    +13.6300    |ST-L    |2020AJ....160...83S
734 |BD-17 532                                                                                                |High Proper Motion Star           |02 45 55.3735648608 -17 06 03.495540024|198.1441553559963 -61.7367630667046|-66.073 -53.997   |10.654   |~                |    ~     ~    |    1|  176.322   pc  |  -2.0150     +2.0150    |ST-L    |2020AJ....160...83S
735 |BD-16 501                                                                                                |Star                              |02 46 11.4604984488 -16 09 19.093577148|196.4318127112336 -61.2563876623038| 16.688 -16.939   |10.932   |~                |    ~     ~    |    1|  345.934   pc  |  -6.7460     +6.7460    |ST-L    |2020AJ....160...83S
736 |BD-15 492                                                                                                |Star                              |02 46 58.2878293704 -14 57 59.726483892|194.4610542034876 -60.5287111110566|  33.243 30.840   |10.456   |~                |    ~     ~    |    1|  236.266   pc  |  -4.3480     +4.3480    |ST-L    |2020AJ....160...83S
737 |BD-16 503                                                                                                |Double or Multiple Star           |02 47 21.613 -15 35 31.36              |195.672639 -60.745639              |      11.6 -7.0   |10.842   |~                |    ~     ~    |    1|  468.133   pc  | -12.6700    +12.6700    |ST-L    |2020AJ....160...83S
738 |BD-17 535                                                                                                |Star                              |02 47 25.8375154632 -16 36 54.223972236|197.5630674790765 -61.1989855478710| 13.133 -27.893   |10.27    |~                |    ~     ~    |    1|  797.575   pc  |  -9.3511     +9.3511    |paral   |2020yCat.1350....0G
739 |BD-17 537                                                                                                |Star                              |02 47 32.2267614408 -16 27 03.231074340|197.2823445822178 -61.1027840923482|   23.362 4.306   |10.549   |~                |    ~     ~    |    1|  847.284   pc  | -33.1300    +33.1300    |ST-L    |2020AJ....160...83S
740 |BD-15 494                                                                                                |Star                              |02 48 19.0366314120 -15 14 00.206879892|195.2524341934391 -60.3725721405907|-16.303 -19.175   |10.940   |~                |    ~     ~    |    1|  164.423   pc  |  -1.6360     +1.6360    |ST-L    |2020AJ....160...83S
741 |TYC 5863-795-1                                                                                           |Star                              |02 45 38.7614223456 -15 07 51.981728736|194.4372117542569 -60.8883311210277|-22.813 -21.647   |10.422   |~                |    ~     ~    |    1|  256.016   pc  |  -6.1550     +6.1550    |ST-L    |2020AJ....160...83S
742 |NGC 1114                           NGC 1114                                                              |Galaxy                            |02 49 07.2060107280 -16 59 36.279449412|198.6335766196387 -61.0015375509512|            ~ ~   |     ~   |~                |1.383 0.636    |    1|   47.64    Mpc |  -4.07       +4.07      |T-F     |2020ApJ...902..145K
743 |HD 17792                                                                                                 |High Proper Motion Star           |02 50 55.5404788128 -15 22 47.322285960|196.1085424463585 -59.8875354312676| 109.170 74.908   |9.47     |G8V              |    ~     ~    |    1|   70.980   pc  |  -0.0771     +0.0771    |paral   |2020yCat.1350....0G
744 |BD-16 513                                                                                                |Star                              |02 51 00.7332613272 -15 30 07.728853248|196.3437259774460 -59.9262020940334|  34.314 -5.861   |9.87     |G0               |    ~     ~    |    1|  154.696   pc  |  -0.3614     +0.3614    |paral   |2020yCat.1350....0G
745 |HD 17625                                                                                                 |Star                              |02 49 19.9004931768 -16 08 33.823533804|197.1164561761112 -60.5794640589354|  -1.272 -0.682   |9.14     |G8/K0III         |    ~     ~    |    1|  528.737   pc  |  -4.8923     +4.8923    |paral   |2020yCat.1350....0G
746 |HD 17770                                                                                                 |Star                              |02 50 41.0644632984 -16 06 55.778213916|197.3648979124283 -60.2773865333120|-12.852 -13.321   |9.08     |G8/K0III         |    ~     ~    |    1|  482.928   pc  |  -4.7344     +4.7344    |paral   |2020yCat.1350....0G
747 |HD 17634                                                                                                 |Star                              |02 49 21.7234287264 -16 49 25.202781264|198.3704959360159 -60.8757123253954|    4.453 7.341   |9.23     |A3IV             |    ~     ~    |    1|  380.838   pc  |  -8.9640     +8.9640    |ST-L    |2020AJ....160...83S
748 |HD 17641                                                                                                 |High Proper Motion Star           |02 49 28.4992774824 -16 28 58.962351936|197.7682228989997 -60.7014653551730|   63.107 3.607   |9.12     |G0V              |    ~     ~    |    1|  108.516   pc  |  -0.3439     +0.3439    |paral   |2020yCat.1350....0G
749 |BD-17 545                                                                                                |Star                              |02 49 34.1894709984 -16 40 56.813461248|198.1546920240706 -60.7691855915115|   3.785 -7.852   |9.70     |G0               |    ~     ~    |    1|  463.199   pc  |  -3.7547     +3.7547    |paral   |2020yCat.1350....0G
750 |BD-17 546                                                                                                |High Proper Motion Star           |02 49 40.6718077344 -16 37 14.629704528|198.0645769952181 -60.7187956417375|259.092 -28.771   |10.79    |K5V              |    ~     ~    |    1|   74.846   pc  |  -0.3986     +0.3986    |ST-L    |2020AJ....160...83S
751 |BD-16 505                                                                                                |Star                              |02 48 53.3045348664 -16 19 47.092910808|197.3591533222318 -60.7588039492941|  14.661 13.483   |10.694   |~                |    ~     ~    |    1|  271.211   pc  |  -5.9800     +5.9800    |ST-L    |2020AJ....160...83S
752 |BD-15 496                                                                                                |Star                              |02 49 07.2015120744 -15 07 09.424238304|195.2368382136176 -60.1479048127743|   3.216 -5.110   |10.660   |~                |    ~     ~    |    1|  889.201   pc  | -47.1800    +47.1800    |ST-L    |2020AJ....160...83S
753 |BD-16 508                                                                                                |Star                              |02 49 21.5358770736 -15 32 45.404132388|196.0487026583718 -60.2989021396882|   -0.431 3.931   |10.479   |~                |    ~     ~    |    1|  270.659   pc  |  -4.3250     +4.3250    |ST-L    |2020AJ....160...83S
754 |BD-15 499                                                                                                |Star                              |02 49 58.8143249856 -14 58 07.962158712|195.1717017358590 -59.8935531925462|  16.494 14.735   |10.54    |~                |    ~     ~    |    1|  284.455   pc  |  -1.3189     +1.3189    |paral   |2020yCat.1350....0G
755 |BD-15 501                                                                                                |Star                              |02 50 25.8298967304 -15 12 34.847519148|195.6971498524680 -59.9127738417195|   16.922 4.874   |10.31    |~                |    ~     ~    |    1|  611.546   pc  |  -6.0212     +6.0212    |paral   |2020yCat.1350....0G
756 |BD-17 548                                                                                                |High Proper Motion Star           |02 50 44.3754384624 -16 39 54.017566632|198.3732164093313 -60.5097509421471|-18.155 -59.456   |10.39    |~                |    ~     ~    |    1|  165.205   pc  |  -0.5240     +0.5240    |paral   |2020yCat.1350....0G
757 |BD-16 514                                                                                                |Star                              |02 51 03.0735317424 -16 09 55.147539240|197.5344834310052 -60.2211672981267| -10.474 -1.716   |10.71    |~                |    ~     ~    |    1|  334.459   pc  |  -1.8346     +1.8346    |paral   |2020yCat.1350....0G
758 |BD-15 503                                                                                                |Star                              |02 50 49.4433597576 -14 47 24.486867816|195.0552871480739 -59.6288282493863|  -5.680 -2.747   |10.92    |~                |    ~     ~    |    1|  526.011   pc  |  -5.0634     +5.0634    |paral   |2020yCat.1350....0G
759 |BD-15 517                                                                                                |Star                              |02 55 14.9398905048 -14 33 23.964529716|195.6577461119786 -58.5780824573556|   6.102 31.081   |10.302   |K0               |    ~     ~    |    1|  254.911   pc  |  -3.9890     +3.9890    |ST-L    |2020AJ....160...83S
760 |HD 18346                                                                                                 |High Proper Motion Star           |02 56 28.7481457056 -15 01 10.774295796|196.7092971568714 -58.5346751265513| -0.962 -77.356   |7.89     |A3mA3-F0         |    ~     ~    |    1|  193.900   pc  |  -1.1129     +1.1129    |paral   |2020yCat.1350....0G
761 |BD-15 522                                                                                                |High Proper Motion Star           |02 57 13.0378902096 -15 18 29.161613340|197.3568040068790 -58.5100117061341| 32.518 -60.265   |9.83     |K0               |    ~     ~    |    1|   44.408   pc  |  -0.1190     +0.1190    |ST-L    |2020AJ....160...83S
762 |HD 18606                                                                                                 |Star                              |02 59 05.9890613832 -15 02 30.463469304|197.3039748154628 -57.9842167709450|-16.512 -36.295   |8.99     |K0III            |    ~     ~    |    1|  417.676   pc  |  -3.0878     +3.0878    |paral   |2020yCat.1350....0G
763 |BD-15 526                                                                                                |Star                              |02 59 37.5310199040 -14 49 48.460478232|197.0615533511125 -57.7737085274185|  -7.202 -7.693   |9.96     |K5               |    ~     ~    |    1|  601.540   pc  |  -6.5857     +6.5857    |paral   |2020yCat.1350....0G
764 |BD-16 517                                                                                                |Star                              |02 51 30.9174110808 -15 26 33.901914984|196.3514064113258 -59.7912770872663|    7.362 2.402   |10.308   |F5               |    ~     ~    |    1|  804.016   pc  | -26.1100    +26.1100    |ST-L    |2020AJ....160...83S
765 |BD-16 524                                                                                                |Star                              |02 53 36.9460555488 -15 29 42.684929124|196.9060746201402 -59.3670032409874|  23.338 -1.034   |10.00    |K2               |    ~     ~    |    1|  739.208   pc  |  -8.0871     +8.0871    |paral   |2020yCat.1350....0G
766 |HD 18407                                                                                                 |Star                              |02 57 00.0015466848 -15 43 28.077274560|198.0239392799595 -58.7455522668562|    5.684 1.944   |8.92     |A0V              |    ~     ~    |    1|  267.580   pc  |  -1.5465     +1.5465    |paral   |2020yCat.1350....0G
767 |HD 18553                                                                                                 |Star                              |02 58 27.6368917824 -15 47 20.446431288|198.4363944052914 -58.4600770981527| -1.107 -16.039   |9.68     |G1V              |    ~     ~    |    1|  248.837   pc  |  -4.0000     +4.0000    |paral   |2020yCat.1350....0G
768 |HD 18062                                                                                                 |Double or Multiple Star           |02 53 42.7455 -16 03 08.494            |197.9045840 -59.5991696            |     11.60 1.60   |9.77     |A2/3III          |    ~     ~    |    0|                |                         |        |                   
769 |HD 18069                                                                                                 |Star                              |02 53 46.9831807008 -16 03 22.857513480|197.9266240638371 -59.5857755335953|    8.133 4.117   |9.89     |A3IV             |    ~     ~    |    1|  355.821   pc  |  -4.0641     +4.0641    |paral   |2020yCat.1350....0G
770 |HD 18206                                                                                                 |High Proper Motion Star           |02 54 59.0425139856 -15 54 19.177739280|197.9152036202737 -59.2600622849871|  49.758 10.293   |9.96     |G0/2V            |    ~     ~    |    1|  163.991   pc  |  -0.4491     +0.4491    |paral   |2020yCat.1350....0G
771 |HD 18218                                                                                                 |Double or Multiple Star           |02 55 07.7666207448 -16 02 49.910941572|198.1942041911424 -59.2921609082900| -0.732 -10.068   |8.53     |A5IV             |0.0100  0.0    |    1|  332.690   pc  |  -8.6554     +8.6554    |paral   |2020yCat.1350....0G
772 |HD 18298                                                                                                 |Star                              |02 55 54.5448560904 -16 03 33.685315740|198.3779720771203 -59.1297295999150|   0.810 -7.483   |8.33     |K3IIICNII        |    ~     ~    |    1|  276.350   pc  |  -1.7412     +1.7412    |paral   |2020yCat.1350....0G
773 |HD 17965                                                                                                 |High Proper Motion Star           |02 52 47.5513382256 -16 37 07.360501512|198.7219940746631 -60.0470983246500|  63.722 10.433   |8.00     |F2V              |    ~     ~    |    1|   91.505   pc  |  -0.2244     +0.2244    |paral   |2020yCat.1350....0G
774 |BD-17 558                                                                                                |Star                              |02 53 05.7240866040 -16 40 11.898621840|198.8774713382906 -60.0040078279001|  2.482 -13.043   |10.20    |K5               |    ~     ~    |    1|  884.956   pc  | -15.1930    +15.1930    |paral   |2020yCat.1350....0G
775 |NGC 1150                           NGC 1150                                                              |Galaxy towards a Group of Galaxies|02 57 01.3811038944 -15 02 54.228005196|196.8748188491441 -58.4318007626935|            ~ ~   |     ~   |~                |0.690 0.497    |    1|  120.11    Mpc |                         |redshift|2007ApJ...655..790C
776 |NGC 1105                           NGC 1105                                                              |Galaxy towards a Group of Galaxies|02 52 17.9368836336 -15 42 34.694138592|196.9946788724421 -59.7471452312050|            ~ ~   |     ~   |~                |0.640 0.397    |    1|  120.72    Mpc |                         |redshift|2007ApJ...655..790C
777 |NGC 1125                           NGC 1125                                                              |Seyfert 2 Galaxy                  |02 51 40.3 -16 39 04                   |198.5454 -60.3029                  |            ~ ~   |13.13    |~                | 1.78  0.79    |    0|                |                         |        |                   
778 |BD-16 516                                                                                                |High Proper Motion Star           |02 51 13.3506299832 -16 23 15.269199144|197.9722833918747 -60.2836148778701|  49.720 29.720   |10.46    |~                |    ~     ~    |    1|  198.629   pc  |  -0.7181     +0.7181    |paral   |2020yCat.1350....0G
779 |BD-15 507                                                                                                |Star                              |02 51 20.3198710296 -14 55 48.027126504|195.4158185083834 -59.5869003506565|    0.788 3.271   |10.076   |~                |    ~     ~    |    1|  730.376   pc  | -23.7100    +23.7100    |ST-L    |2020AJ....160...83S
780 |BD-16 518                                                                                                |Star                              |02 51 34.9053979920 -15 56 12.000147432|197.2405905899080 -60.0041826726983|  13.635 -9.851   |10.30    |~                |    ~     ~    |    1| 1053.963   pc  | -17.4402    +17.4402    |paral   |2020yCat.1350....0G
781 |BD-16 520                                                                                                |Star                              |02 51 56.1901820280 -15 49 00.696580284|197.1050845671055 -59.8737109389870|  38.382 16.235   |10.653   |~                |    ~     ~    |    1|  185.281   pc  |  -2.9420     +2.9420    |ST-L    |2020AJ....160...83S
782 |BD-15 510                                                                                                |Star                              |02 52 20.3733060576 -15 13 10.267678128|196.1447394256802 -59.5112348009063| 34.205 -17.071   |10.52    |~                |    ~     ~    |    1|  299.626   pc  |  -5.8200     +5.8200    |ST-L    |2020AJ....160...83S
783 |BD-16 523                                                                                                |High Proper Motion Star           |02 53 26.6198696664 -15 54 28.133661888|197.5920839619030 -59.5919549923705| 27.419 -68.041   |10.58    |~                |    ~     ~    |    1|  184.434   pc  |  -0.5068     +0.5068    |paral   |2020yCat.1350....0G
784 |BD-15 511                                                                                                |Star                              |02 54 01.0682247024 -14 53 05.714757096|195.9412486295722 -58.9961684297730| 26.348 -18.288   |10.83    |~                |    ~     ~    |    1|  123.072   pc  |  -0.3635     +0.3635    |paral   |2020yCat.1350....0G
785 |BD-16 529                                                                                                |Star                              |02 54 34.4530392888 -16 22 15.477395664|198.6496180785452 -59.5546960452761|   16.512 5.171   |10.82    |~                |    ~     ~    |    1|  318.228   pc  |  -1.4076     +1.4076    |paral   |2020yCat.1350....0G
786 |BD-15 513                                                                                                |Star                              |02 54 37.9790959056 -14 45 16.210113588|195.8555977282703 -58.8034067542339|    3.902 2.006   |10.28    |~                |    ~     ~    |    1|  331.444   pc  |  -3.8010     +3.8010    |paral   |2020yCat.1350....0G
787 |BD-17 567                                                                                                |Star                              |02 55 54.4720448928 -16 27 56.728140660|199.0914620045508 -59.3081689775662|  15.988 14.656   |10.48    |~                |    ~     ~    |    0|                |                         |        |                   
788 |BD-15 521                                                                                                |Star                              |02 56 51.6497098488 -14 41 39.893947368|196.2435380465874 -58.3006014121395|    2.458 4.040   |10.05    |~                |    ~     ~    |    1|  609.013   pc  |  -6.2682     +6.2682    |paral   |2020yCat.1350....0G
789 |BD-16 535                                                                                                |Star                              |02 57 19.6766070912 -15 25 14.037631464|197.5717421921307 -58.5376645961890|-13.393 -13.344   |10.760   |~                |    ~     ~    |    1|  333.930   pc  |  -6.7150     +6.7150    |ST-L    |2020AJ....160...83S
790 |BD-16 537                                                                                                |High Proper Motion Star           |02 57 41.4630216936 -15 27 49.668291432|197.7216118012896 -58.4793881965103|100.781 -63.724   |10.48    |~                |    ~     ~    |    1|  101.462   pc  |  -0.6351     +0.6351    |ST-L    |2020AJ....160...83S
791 |BD-16 541                                                                                                |Star                              |02 59 13.5763373184 -15 32 16.350825480|198.1657147108835 -58.1828893389160|-32.526 -12.710   |10.70    |~                |    ~     ~    |    1|   92.578   pc  |  -0.1714     +0.1714    |paral   |2020yCat.1350....0G
792 |NGC 1158                           NGC 1158                                                              |Galaxy                            |02 57 11.4441764400 -14 23 43.723452804|195.8165676122689 -58.0882373351709|            ~ ~   |     ~   |~                |0.447 0.429    |    0|                |                         |        |                   
793 |TYC 5864-391-1                                                                                           |Star                              |02 54 42.3220049664 -15 31 11.572939740|197.1847626160477 -59.1451681406935|  14.487 -0.921   |10.95    |~                |    ~     ~    |    1| 1025.431   pc  | -16.9293    +16.9293    |paral   |2020yCat.1350....0G
794 |NGC 1151                           NGC 1151                                                              |Galaxy                            |02 57 04.6289304336 -15 00 46.966891752|196.8266492138775 -58.4038001456504|    0.316 0.265   |     ~   |~                |0.363 0.320    |    0|                |                         |        |                   
795 |NGC 1157                           NGC 1157                                                              |Galaxy towards a Group of Galaxies|02 58 06.6603809664 -15 07 06.845881980|197.2247363643006 -58.2314299826745|            ~ ~   |     ~   |~                |0.500 0.240    |    0|                |                         |        |                   
796 |TYC 5864-659-1                                                                                           |Star                              |02 59 39.7889846448 -15 14 30.330070044|197.7565356943751 -57.9549869646058|   7.579 -6.770   |10.90    |~                |    ~     ~    |    1| 1333.156   pc  | -30.5696    +30.5696    |paral   |2020yCat.1350....0G
797 |HD 17387                                                                                                 |Star                              |02 46 58.1561704296 -13 20 28.375599516|191.6441190368535 -59.7084036785411|  18.736 19.859   |8.74     |G8/K0III         |    ~     ~    |    1|  183.844   pc  |  -0.7131     +0.7131    |paral   |2020yCat.1350....0G
798 |BD-13 535                                                                                                |Star                              |02 48 32.1350984760 -13 20 52.846400220|192.0473790889178 -59.3867808361843| -10.657 -8.211   |9.61     |G5               |    ~     ~    |    1|  176.056   pc  |  -0.4401     +0.4401    |paral   |2020yCat.1350....0G
799 |HD 17223                                                                                                 |Long-Period Variable              |02 45 27.5020986384 -13 59 27.626510148|192.3766778286469 -60.3588402780349| 15.809 -19.691   |9.03     |M3III            |    ~     ~    |    1|  828.226   pc  | -22.2250    +22.2250    |paral   |2020yCat.1350....0G
800 |HD 17340                                                                                                 |Star                              |02 46 35.3123747160 -13 58 24.454761708|192.6286178570311 -60.1142262925883|   -6.333 8.732   |8.28     |K0III            |    ~     ~    |    1|  333.344   pc  |  -2.3446     +2.3446    |paral   |2020yCat.1350....0G
801 |HD 17388                                                                                                 |Double or Multiple Star           |02 47 00.0055379736 -13 57 45.254051964|192.7118347469643 -60.0227731883846|   9.507 -1.139   |9.668    |G8V              |    ~     ~    |    1|  199.665   pc  |  -0.6697     +0.6697    |paral   |2020yCat.1350....0G
802 |BD-14 531                                                                                                |Star                              |02 47 18.0550912608 -14 15 08.563795344|193.2867641439517 -60.1064154725997|  30.065 14.428   |10.131   |F2               |    ~     ~    |    1|  278.385   pc  |  -5.3950     +5.3950    |ST-L    |2020AJ....160...83S
803 |BD-14 533                                                                                                |Star                              |02 48 04.2344687904 -14 13 38.854225704|193.4308034826962 -59.9325670172724|  20.001 -4.191   |9.99     |F8               |    ~     ~    |    1|  195.852   pc  |  -0.7595     +0.7595    |paral   |2020yCat.1350....0G
804 |NGC 1103                           NGC 1103                                                              |Galaxy towards a Group of Galaxies|02 48 06.194 -13 57 27.27              |192.974477 -59.789722              |            ~ ~   |     ~   |~                |0.470 0.282    |    1|   55.37    Mpc |                         |redshift|2007ApJ...655..790C
805 |BD-14 525                                                                                                |Red Giant Branch star             |02 45 43.2007625328 -13 56 12.506845452|192.3484099426279 -60.2765532731424|  55.628 -5.809   |10.15    |~                |    ~     ~    |    1|  778.028   pc  | -18.7652    +18.7652    |paral   |2020yCat.1350....0G
806 |BD-14 526                                                                                                |Star                              |02 45 54.4046237880 -13 28 46.343298036|191.6098762075276 -60.0009828864985|   1.387 -7.417   |10.42    |~                |    ~     ~    |    1|  824.946   pc  | -11.5011    +11.5011    |paral   |2020yCat.1350....0G
807 |BD-14 530                                                                                                |Spectroscopic Binary              |02 47 14.5960501680 -14 23 05.476131564|193.5030857031906 -60.1848306508162|-11.075 -20.063   |10.49    |~                |    ~     ~    |    1|  320.554   pc  |  -1.9421     +1.9421    |paral   |2020yCat.1350....0G
808 |BD-14 535                                                                                                |Star                              |02 48 23.3843802384 -13 46 48.562517352|192.7416879220775 -59.6396183590513|  10.656 -0.426   |10.283   |~                |    ~     ~    |    1| 1303.250   pc  |-130.1000   +130.1000    |ST-L    |2020AJ....160...83S
809 |BD-14 536                                                                                                |Double or Multiple Star           |02 48 25.602648 -13 37 40.98828        |192.492568799 -59.554052588        |      45.1 11.3   |10.23    |~                |    ~     ~    |    1|  118.811   pc  | +17.311      +5         |ST-L    |2017AJ....153...75K
810 |BD-14 537                                                                                                |Star                              |02 48 27.1940333376 -14 05 12.532326792|193.2813338232620 -59.7817302303937|  11.324 16.414   |10.803   |~                |    ~     ~    |    1|  416.415   pc  | -12.6000    +12.6000    |ST-L    |2020AJ....160...83S
811 |BD-13 524                                                                                                |Star                              |02 46 56.8966610856 -13 09 33.566392512|191.3323337456213 -59.6172385899694| -6.593 -36.901   |10.77    |~                |    ~     ~    |    1|  236.686   pc  |  -4.0111     +4.0111    |paral   |2020yCat.1350....0G
812 |BD-13 526                                                                                                |Star                              |02 47 37.0651973304 -13 13 25.083661764|191.6094151016013 -59.5124115335936| -7.474 -22.375   |10.25    |~                |    ~     ~    |    1|  191.710   pc  |  -0.5954     +0.5954    |paral   |2020yCat.1350....0G
813 |HD 17609                                                                                                 |Star                              |02 49 08.8093956120 -14 48 37.455184476|194.7005650888817 -59.9934395283376|-16.131 -22.678   |9.538    |G2V              |    ~     ~    |    1|  107.079   pc  |  -0.6638     +0.6638    |ST-L    |2020AJ....160...83S
814 |BD-15 504                                                                                                |High Proper Motion Star           |02 50 51.0588104496 -14 43 30.660888792|194.9490728446734 -59.5917606615637|  7.981 -86.167   |10.62    |~                |    ~     ~    |    1|  115.165   pc  |  -0.2414     +0.2414    |paral   |2020yCat.1350....0G
815 |BD-15 508                                                                                                |Star                              |02 51 47.1227921856 -14 38 21.603802704|195.0163133527679 -59.3524557316930|-18.377 -14.175   |10.142   |~                |    ~     ~    |    1|  151.353   pc  |  -1.7930     +1.7930    |ST-L    |2020AJ....160...83S
816 |BD-14 543                                                                                                |Star                              |02 50 02.6759373864 -13 42 04.033637352|193.0104310215166 -59.2535000651314|   11.071 3.711   |9.75     |G5               |    ~     ~    |    1|  420.045   pc  | -10.7627    +10.7627    |paral   |2020yCat.1350....0G
817 |HD 17691                                                                                                 |Star                              |02 49 58.0523708568 -13 50 46.467288420|193.2369055078397 -59.3431641276639|   25.110 9.133   |7.89     |K1III            |    ~     ~    |    1|  303.278   pc  |  -1.9959     +1.9959    |paral   |2020yCat.1350....0G
818 |HD 17618                                                                                                 |High Proper Motion Star           |02 49 18.0763173552 -14 42 04.303071108|194.5462734062425 -59.9076985950434| 80.669 -61.655   |9.14     |G6V              |    ~     ~    |    1|   70.588   pc  |  -0.0822     +0.0822    |paral   |2020yCat.1350....0G
819 |HD 17738                                                                                                 |High Proper Motion Star           |02 50 30.8194054368 -14 30 01.339216020|194.4828595218362 -59.5536679401385|100.286 -46.798   |9.78     |G0/1V            |    ~     ~    |    1|  136.188   pc  |  -0.2801     +0.2801    |paral   |2020yCat.1350....0G
820 |BD-14 538                                                                                                |Star                              |02 49 14.7855003456 -14 02 26.587401720|193.3940433250535 -59.5922869477033|  5.210 -29.325   |10.208   |~                |    ~     ~    |    1|  178.229   pc  |  -3.3600     +3.3600    |ST-L    |2020AJ....160...83S
821 |BD-14 544                                                                                                |Star                              |02 50 18.4872584688 -13 54 05.668474176|193.4122495186349 -59.2996801074092|   0.370 -8.126   |10.76    |~                |    ~     ~    |    1|  595.203   pc  |  -6.9790     +6.9790    |paral   |2020yCat.1350....0G
