C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:48:36

dec >=0&rah >=22.5&rah< 22.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5857

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------------|-----|----------------|-----------------------|--------|-------------------
23  |BD+43 4221                                                                                               |Star                                |22 31 37.3233488808 +44 09 53.353937628|098.1008291800149 -11.8625236633190|   -3.526 0.708   |10.65    |M0                   |    ~     ~          |    1| 1096.371   pc  | -24.6416    +24.6416  |paral   |2020yCat.1350....0G
24  |BD+42 4419                                                                                               |Star                                |22 30 26.9527717488 +43 31 38.152840368|097.5753400446705 -12.2951290390297|   0.378 -3.176   |9.30     |B5                   |    ~     ~          |    1| 1023.332   pc  | -20.0017    +20.0017  |paral   |2020yCat.1350....0G
25  |HD 213484                                                                                                |Star                                |22 30 54.4050425280 +43 25 40.137693888|097.5942012687065 -12.4233475246202|   0.381 -1.793   |8.28     |B9                   |    ~     ~          |    1|  644.995   pc  | -11.1493    +11.1493  |paral   |2020yCat.1350....0G
26  |BD+42 4427                                                                                               |Star                                |22 31 44.5221653616 +43 19 47.957439216|097.6742532652197 -12.5861316206266|   3.472 -2.708   |9.94     |A0                   |    ~     ~          |    1|  650.364   pc  | -15.7769    +15.7769  |paral   |2020yCat.1350....0G
27  |BD+42 4428                                                                                               |Star                                |22 31 45.5711859936 +43 12 15.625403964|097.6098002677769 -12.6949537029515|  -5.363 -3.726   |10.68    |~                    |    ~     ~          |    1|  835.282   pc  |  -9.2096     +9.2096  |paral   |2020yCat.1350....0G
28  |BD+42 4429                                                                                               |Star                                |22 31 45.2779618896 +43 16 52.153080060|097.6501308025555 -12.6289789560184|  -2.492 -2.011   |9.95     |A0                   |    ~     ~          |    1| 1148.633   pc  | -29.1578    +29.1578  |paral   |2020yCat.1350....0G
29  |HD 213945                                                                                                |Spectroscopic Binary                |22 34 15.3520659888 +44 09 39.686626152|098.5121691871837 -12.1099584601100| -0.683 -12.388   |9.62     |K2                   |    ~     ~          |    1|  476.758   pc  |  -2.5230     +2.5230  |paral   |2020yCat.1350....0G
30  |HD 214021                                                                                                |High Proper Motion Star             |22 34 50.2095950928 +43 57 46.222577424|098.5000351118377 -12.3336300732624|   49.423 6.268   |9.71     |F5                   |    ~     ~          |    1|  198.102   pc  |  -0.5337     +0.5337  |paral   |2020yCat.1350....0G
31  |HD 214054                                                                                                |Star                                |22 35 30.0 +43 58 00                   |098.6071 -12.3912                  |            ~ ~   |9.9      |F8                   |    ~     ~          |    0|                |                       |        |                   
32  |HD 214282                                                                                                |Star                                |22 36 20.7764938800 +44 02 40.766232552|098.7818624001666 -12.4013617367086|   0.532 -1.085   |9.41     |K0                   |    ~     ~          |    1|  736.269   pc  |  -7.0472     +7.0472  |paral   |2020yCat.1350....0G
