C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:48:36

dec >=0&rah >=22.5&rah< 22.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5857

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------------|-----|----------------|-----------------------|--------|-------------------
1649|TYC 3995-1237-1                                                                                          |Star                                |22 38 10.1043463704 +58 07 43.880289888|106.0722895359888 -00.3121705339131| -15.974 -4.645   |10.73    |~                    |    ~     ~          |    1|  570.125   pc  |  -4.1931     +4.1931  |paral   |2020yCat.1350....0G
1650|TYC 3995-1295-1                                                                                          |Star                                |22 31 12.2957544432 +58 34 56.137520208|105.5081040493829 +00.5371725730263|   0.949 -2.156   |10.34    |~                    |    ~     ~          |    1| 1448.016   pc  | -24.7417    +24.7417  |paral   |2020yCat.1350....0G
1651|TYC 3995-1380-1                                                                                          |High Proper Motion Star             |22 34 49.1187786384 +58 49 17.181215544|106.0339705658277 +00.5063104548420|  37.488 40.393   |10.39    |~                    |    ~     ~          |    1|  376.534   pc  |  -1.7864     +1.7864  |paral   |2020yCat.1350....0G
1652|TYC 3995-1382-1                                                                                          |Star                                |22 36 26.1532928640 +58 15 35.809946496|105.9379612879693 -00.0857843136886|  -3.743 -5.331   |10.91    |~                    |    ~     ~          |    1|  865.127   pc  |  -8.4574     +8.4574  |paral   |2020yCat.1350....0G
1653|TYC 3996-249-1                                                                                           |Star                                |22 44 01.4483429664 +58 33 53.241028704|106.9554623002958 -00.2978157345295|  -0.771 -1.175   |10.04    |~                    |    ~     ~          |    1|  924.642   pc  | -10.6870    +10.6870  |paral   |2020yCat.1350....0G
1654|TYC 3996-357-1                                                                                           |Star                                |22 42 59.5141476096 +58 27 21.661379388|106.7853059713854 -00.3302016343221|   5.149 -1.599   |10.49    |~                    |    ~     ~          |    1|  497.661   pc  |  -6.3898     +6.3898  |paral   |2020yCat.1350....0G
1655|TYC 3996-549-1                                                                                           |Star                                |22 44 12.3008611080 +58 23 42.545460228|106.8967067645013 -00.4586999549486|   5.309 -3.680   |10.54    |~                    |    ~     ~          |    1|  676.498   pc  |  -6.3156     +6.3156  |paral   |2020yCat.1350....0G
1656|TYC 3996-797-1                                                                                           |Star                                |22 44 14.4907301184 +58 15 45.911179332|106.8388336688764 -00.5778774288737|    7.543 0.571   |10.52    |~                    |    ~     ~          |    1|  740.357   pc  |  -7.1805     +7.1805  |paral   |2020yCat.1350....0G
1657|GSC 03996-00867                                                                                          |Spectroscopic Binary                |22 42 01.9990909431 +58 26 07.682505867|106.6651703311085 -00.2887609548573|   23.217 7.129   |10.868   |~                    |    ~     ~          |    1|  349.711   pc  |  -1.6877     +1.6877  |paral   |2020yCat.1350....0G
1658|TYC 3996-894-1                                                                                           |Star                                |22 40 21.3694188384 +59 13 10.133571612|106.8501929306736 +00.5034141454522|  -4.634 -4.963   |10.92    |~                    |    ~     ~          |    1|  631.832   pc  | -29.1823    +29.1823  |paral   |2020yCat.1350....0G
1659|TYC 3996-1129-1                                                                                          |Star                                |22 44 05.3604542472 +58 11 11.772071232|106.7854069996497 -00.6357221771661|   1.663 -1.878   |10.72    |~                    |    ~     ~          |    1| 1033.271   pc  | -14.0930    +14.0930  |paral   |2020yCat.1350....0G
1660|TYC 3996-1139-1                                                                                          |Star                                |22 43 41.5749403536 +58 33 03.255017472|106.9108115239699 -00.2897578395272|  -0.331 -1.706   |10.588   |~                    |    ~     ~          |    0|                |                       |        |                   
1661|TYC 3996-1153-1                                                                                          |High Proper Motion Star             |22 44 06.9041901000 +58 26 01.095064980|106.9043663816006 -00.4191877050865| -49.215 19.849   |9.87     |~                    |    ~     ~          |    1|   99.748   pc  |  -0.1164     +0.1164  |paral   |2020yCat.1350....0G
1662|TYC 3996-1253-1                                                                                          |Spectroscopic Binary                |22 41 44.2434464880 +58 41 07.082232000|106.7503512140381 -00.0507482865458|   3.639 -2.408   |10.86    |~                    |    ~     ~          |    1|  800.128   pc  |  -7.6825     +7.6825  |paral   |2020yCat.1350....0G
1663|TYC 3996-1586-1                                                                                          |Star                                |22 42 13.7840635656 +58 07 44.222748744|106.5419907358729 -00.5706235742092|  24.120 37.008   |10.74    |~                    |    ~     ~          |    1|  216.198   pc  |  -0.5702     +0.5702  |paral   |2020yCat.1350....0G
1664|TYC 4265-696-1                                                                                           |Star                                |22 38 52.3441456104 +60 05 39.538358232|107.1098827839805 +01.3595824025656|  -6.719 -2.582   |10.87    |~                    |    ~     ~          |    1|  318.796   pc  |  -1.3517     +1.3517  |paral   |2020yCat.1350....0G
1665|TYC 4265-746-1                                                                                           |Star                                |22 36 24.8281763736 +60 01 12.281293632|106.8060465343648 +01.4454399880784|  6.822 -24.550   |10.40    |~                    |    ~     ~          |    1|  867.303   pc  | -16.2478    +16.2478  |paral   |2020yCat.1350....0G
1666|BD+57 2554                                                                                               |Star                                |22 32 31.6541454096 +57 54 02.021385636|105.3108317118473 -00.1381678507258|   5.296 -0.158   |10.24    |~                    |    ~     ~          |    1|  522.166   pc  |  -4.2262     +4.2262  |paral   |2020yCat.1350....0G
1667|V* V903 Cep                                                                                              |Long-Period Variable                |22 42 02.8740456661 +58 04 05.557887546|106.4919527949092 -00.6126110537657|  -4.845 -1.999   |10.29    |M3.5II               |    ~     ~          |    0|                |                       |        |                   
1668|HD 240036                                                                                                |High Proper Motion Star             |22 44 01.0114004736 +60 29 02.115968388|107.8562153508311 +01.3968364246114|-51.803 -24.773   |9.74     |G0                   |    ~     ~          |    1|  119.690   pc  |  -0.6833     +0.6833  |paral   |2020yCat.1350....0G
1669|CSI+59-22401                                                                                             |Star                                |22 42 00.0 +60 15 00                   |107.5258 +01.3087                  |            ~ ~   |10.8     |~                    |    ~     ~          |    0|                |                       |        |                   
1670|HD 240041                                                                                                |Star                                |22 44 38.0303502624 +59 18 54.952909992|107.3766701343291 +00.3282696410057|   12.722 1.817   |10.11    |G5                   |    ~     ~          |    1|  589.067   pc  |  -3.7129     +3.7129  |paral   |2020yCat.1350....0G
1671|IRAS 22420+5924                                                                                          |Star                                |22 44 01.1347905360 +59 40 18.010254432|107.4747885253830 +00.6796781766143|   0.430 -3.590   |10.20    |~                    |    ~     ~          |    1| 1469.940   pc  | -37.8126    +37.8126  |paral   |2020yCat.1350....0G
1672|GEN# +6.42001070                                                                                         |Star                                |22 42 00.0 +60 15 00                   |107.5258 +01.3087                  |            ~ ~   |10.78    |~                    |    ~     ~          |    0|                |                       |        |                   
1673|HD 240021                                                                                                |Star                                |22 40 34.4396904192 +60 16 45.638240916|107.3845856013815 +01.4191497884323| -8.294 -47.532   |8.94     |F8                   |    ~     ~          |    1|  116.773   pc  |  -0.1541     +0.1541  |paral   |2020yCat.1350....0G
1674|HD 240028                                                                                                |High Proper Motion Star             |22 41 49.5992030544 +59 47 35.570238324|107.2889691775508 +00.9175060076357| 15.316 -81.279   |9.04     |G0                   |    ~     ~          |    1|  113.112   pc  |  -0.2277     +0.2277  |paral   |2020yCat.1350....0G
1675|HD 215176                                                                                                |Star                                |22 42 09.1384815912 +59 55 55.794577764|107.3911251022997 +01.0201968258793|   12.845 7.659   |8.410    |A0                   |    ~     ~          |    1|  282.781   pc  |  -3.1426     +3.1426  |paral   |2020yCat.1350....0G
1676|BD+58 2468                                                                                               |Star                                |22 40 47.5999736280 +59 41 13.848319356|107.1238979581572 +00.8867210128426|  -2.945 -1.919   |10.33    |B                    |    ~     ~          |    1| 4310.345   pc  |-230.3805   +230.3805  |paral   |2020yCat.1350....0G
1677|HD 240035                                                                                                |Star                                |22 43 12.1942711224 +59 30 24.492826080|107.3060614754144 +00.5828778408764|   30.869 6.332   |9.62     |A7                   |    ~     ~          |    1|  280.450   pc  |  -0.9753     +0.9753  |paral   |2020yCat.1350....0G
1678|HD 240038                                                                                                |High Proper Motion Star             |22 44 24.7349447400 +59 10 02.897414796|107.2824580811188 +00.2109248983507|  17.282 84.128   |9.17     |G5                   |    ~     ~          |    1|  233.547   pc  |  -0.6218     +0.6218  |paral   |2020yCat.1350....0G
1679|HD 240039                                                                                                |Star                                |22 44 31.4164788288 +58 31 10.226429796|106.9917890990726 -00.3683655493177|   20.346 2.495   |8.87     |A3                   |    ~     ~          |    1|  342.689   pc  |  -1.6558     +1.6558  |paral   |2020yCat.1350....0G
1680|HD 240042                                                                                                |Star                                |22 44 40.9543048728 +58 44 34.375809624|107.1145657479968 -00.1806143515986|-11.929 -31.158   |9.87     |F8                   |    ~     ~          |    1|  359.028   pc  |  -7.4118     +7.4118  |paral   |2020yCat.1350....0G
1681|IRAS 22382+5941                                                                                          |Star                                |22 40 10.8292437264 +59 57 18.128648340|107.1853389046026 +01.1585753399189|  -3.644 -1.744   |10.40    |M1II                 |    ~     ~          |    1|  929.800   pc  | -14.7834    +14.7834  |paral   |2020yCat.1350....0G
1682|IRAS 22392+5912                                                                                          |Red Supergiant                      |22 41 11.7013501632 +59 27 58.866091200|107.0625835111636 +00.6685643357288|  -3.391 -2.362   |10.68    |K2Ib                 |    ~     ~          |    1| 2032.107   pc  | -99.9329    +99.9329  |paral   |2020yCat.1350....0G
1683|IRAS 22393+6000                                                                                          |Star                                |22 41 14.8533469824 +60 16 07.586818788|107.4527779728960 +01.3697943694517|-10.377 -21.051   |9.88     |~                    |    ~     ~          |    1|  638.325   pc  |  -6.9268     +6.9268  |paral   |2020yCat.1350....0G
1684|BD+58 2473                                                                                               |Star                                |22 43 47.4523880952 +59 39 59.936589864|107.4470165030017 +00.6887815674349|   7.611 -4.644   |9.51     |~                    |    ~     ~          |    1|  746.603   pc  |  -8.3055     +8.3055  |paral   |2020yCat.1350....0G
1685|TYC 3996-79-1                                                                                            |Star                                |22 44 51.2432260416 +58 27 35.671825908|107.0020946682747 -00.4412355342440|  26.811 10.913   |10.60    |~                    |    ~     ~          |    1|  341.378   pc  |  -3.1582     +3.1582  |paral   |2020yCat.1350....0G
1686|TYC 3996-108-1                                                                                           |Star                                |22 43 17.2954310160 +59 38 19.049069940|107.3778111926921 +00.6939873079825|   4.005 -8.097   |10.65    |~                    |    ~     ~          |    1|  322.872   pc  |  -1.2301     +1.2301  |paral   |2020yCat.1350....0G
1687|TYC 3996-236-1                                                                                           |Star                                |22 41 28.6506347136 +59 59 23.598492504|107.3444323755719 +01.1112141575806|    7.940 0.115   |10.41    |~                    |    ~     ~          |    1|  571.690   pc  |  -5.1966     +5.1966  |paral   |2020yCat.1350....0G
1688|TYC 3996-261-1                                                                                           |Spectroscopic Binary                |22 43 58.2771269688 +58 38 20.539959396|106.9842667552731 -00.2290354476686|    9.654 0.680   |10.90    |~                    |    ~     ~          |    0|                |                       |        |                   
1689|TYC 3996-348-1                                                                                           |Spectroscopic Binary                |22 41 47.4240029832 +59 26 54.132016812|107.1204283196018 +00.6166115185259| -16.441 -5.677   |9.78     |~                    |    ~     ~          |    1|  538.155   pc  |  -5.3288     +5.3288  |paral   |2020yCat.1350....0G
1690|TYC 3996-514-1                                                                                           |High Proper Motion Star             |22 44 30.8355142512 +59 14 17.139709932|107.3270269382760 +00.2672331486986|   62.817 3.901   |10.33    |~                    |    ~     ~          |    1|  465.788   pc  |  -2.4516     +2.4516  |paral   |2020yCat.1350....0G
1691|TYC 3996-690-1                                                                                           |Star                                |22 41 41.7346767624 +59 24 45.918005256|107.0928358769377 +00.5910670033334|    1.896 2.377   |10.26    |~                    |    ~     ~          |    1|  443.439   pc  |  -2.5760     +2.5760  |paral   |2020yCat.1350....0G
1692|TYC 3996-856-1                                                                                           |Star                                |22 41 25.0741998576 +59 50 15.971490816|107.2651095900926 +00.9811915702847| -21.366 -7.899   |10.36    |~                    |    ~     ~          |    1|  695.846   pc  |  -5.3262     +5.3262  |paral   |2020yCat.1350....0G
1693|TYC 4265-609-1                                                                                           |Star                                |22 41 23.7316038912 +60 07 41.709662004|107.4016396783314 +01.2376182795141| -15.912 -2.651   |9.72     |~                    |    ~     ~          |    1|  172.804   pc  |  -0.3583     +0.3583  |paral   |2020yCat.1350....0G
1694|TYC 4265-786-1                                                                                           |Star                                |22 40 19.7250095568 +60 19 15.346263936|107.3779872040038 +01.4702243503955|    6.359 0.521   |10.90    |~                    |    ~     ~          |    1|  636.294   pc  |  -4.7370     +4.7370  |paral   |2020yCat.1350....0G
1695|HD 213461                                                                                                |Star                                |22 30 03.6117751632 +59 58 55.623239328|106.1011144053003 +01.8136761182530|   15.262 7.464   |8.990    |F5                   |    ~     ~          |    1|  376.124   pc  |  -1.6127     +1.6127  |paral   |2020yCat.1350....0G
1696|HD 240003                                                                                                |Star                                |22 35 05.6086207272 +60 12 26.887519728|106.7563958027918 +01.6897817431005|    4.969 2.540   |10.32    |F0                   |    ~     ~          |    1|  716.025   pc  | -11.9970    +11.9970  |paral   |2020yCat.1350....0G
1697|IRAS 22312+5953                                                                                          |Star                                |22 33 06.2604653976 +60 09 31.993601220|106.5180687903197 +01.7719482737844|  -3.042 -6.431   |10.25    |~                    |    ~     ~          |    1|  967.773   pc  | -11.3327    +11.3327  |paral   |2020yCat.1350....0G
1698|[NBM54] 76                                                                                               |Red Supergiant                      |22 37 44.2109132304 +60 22 22.535836788|107.1230369654784 +01.6715353992930|  -3.246 -1.833   |10.77    |M2Iab                |    ~     ~          |    0|                |                       |        |                   
1699|BD+61 2306                                                                                               |Star                                |22 30 35.4926626344 +62 05 07.073320128|107.2398726105752 +03.5839050904641|-19.740 -30.510   |9.28     |F5                   |    ~     ~          |    1|  149.524   pc  |  -0.2661     +0.2661  |paral   |2020yCat.1350....0G
1700|BD+61 2307                                                                                               |Star                                |22 30 45.6718249656 +61 44 23.690002776|107.0792514605242 +03.2773397373242|   18.076 1.428   |8.73     |K2                   |    ~     ~          |    1|  456.704   pc  |  -3.2538     +3.2538  |paral   |2020yCat.1350....0G
1701|HD 213530                                                                                                |Double or Multiple Star             |22 30 32.63823 +61 37 25.5751          |106.99734691 +03.19093465          |      7.83 0.63   |7.00     |A0                   |0.0050  0.0          |    0|                |                       |        |                   
1702|BD+60 2404                                                                                               |Star                                |22 30 54.3954249936 +61 05 23.245777716|106.7601648958937 +02.7103960044837|  -7.543 -6.802   |9.20     |B8                   |    ~     ~          |    1|  704.374   pc  | -18.6054    +18.6054  |paral   |2020yCat.1350....0G
1703|BD+60 2405                                                                                               |Be Star                             |22 31 09.9443848440 +61 36 34.251050880|107.0535408129332 +03.1407827420787|  -2.376 -1.140   |9.93     |B3V:nn               |    ~     ~          |    1|  871.156   pc  |  -8.8793     +8.8793  |paral   |2020yCat.1350....0G
1704|HD 239982                                                                                                |Star                                |22 30 18.7003342728 +60 38 29.922927324|106.4675752604103 +02.3630685349692|  -3.497 -1.697   |8.93     |B8                   |    ~     ~          |    1| 2364.625   pc  |-169.9802   +169.9802  |paral   |2020yCat.1350....0G
1705|HD 239985                                                                                                |Star                                |22 30 45.6841484040 +60 40 47.740428444|106.5345637517235 +02.3676083185043|  -9.261 -3.297   |10.07    |F5                   |    ~     ~          |    1|  305.876   pc  |  -1.9928     +1.9928  |paral   |2020yCat.1350....0G
1706|HD 239986                                                                                                |Star                                |22 31 02.1375205056 +60 26 11.715773784|106.4386903515413 +02.1413949396329|  -3.718 -6.389   |9.73     |A2                   |    ~     ~          |    1|  387.012   pc  |  -2.5462     +2.5462  |paral   |2020yCat.1350....0G
1707|HD 213718                                                                                                |Star                                |22 31 53.8988109312 +61 56 33.510582348|107.2986172606129 +03.3828725818795|   23.018 3.681   |8.53     |G5                   |    ~     ~          |    1|  376.407   pc  |  -2.3236     +2.3236  |paral   |2020yCat.1350....0G
1708|CSI+61-22317                                                                                             |Star                                |22 33 30.0 +61 38 00                   |107.3049 +03.0203                  |            ~ ~   |10.5     |~                    |    ~     ~          |    0|                |                       |        |                   
1709|BD+60 2410                                                                                               |Star                                |22 33 35.1736760208 +61 19 57.819607752|107.1619435850278 +02.7555379560735| -3.750 -13.168   |10.41    |F5                   |    ~     ~          |    1|  291.469   pc  |  -1.5971     +1.5971  |paral   |2020yCat.1350....0G
1710|LS III +60 22                                                                                            |Star                                |22 34 06.5163217704 +60 58 50.151627120|107.0390318324271 +02.4195498033906|  -2.341 -2.812   |10.52    |B                    |    ~     ~          |    1|  868.056   pc  |  -9.2683     +9.2683  |paral   |2020yCat.1350....0G
1711|BD+60 2412                                                                                               |High Proper Motion Star             |22 34 55.7708366256 +60 47 51.793930284|107.0338058639907 +02.2112583310468| 84.060 -28.472   |9.18     |F5                   |    ~     ~          |    1|   50.064   pc  |  -0.1897     +0.1897  |paral   |2020yCat.1350....0G
1712|HD 214165                                                                                                |Double or Multiple Star             |22 35 00.2165526744 +60 49 35.048149896|107.0559765670051 +02.2315917075775|-84.458 -24.469   |7.08     |F2V                  |0.0017  0.0          |    1|   65.535   pc  |  -0.1211     +0.1211  |paral   |2020yCat.1350....0G
1713|HD 239988                                                                                                |Spectroscopic Binary                |22 31 50.7566254128 +60 43 28.457167260|106.6715293039404 +02.3381305517262|   12.718 6.630   |8.94     |K2                   |    ~     ~          |    1|  559.785   pc  | -17.9555    +17.9555  |paral   |2020yCat.1350....0G
1714|HD 239989                                                                                                |Star                                |22 31 59.1738666048 +60 42 04.134418452|106.6743647114980 +02.3092348520633|  -3.875 -2.347   |9.61     |B8                   |    ~     ~          |    1|  905.961   pc  | -23.6381    +23.6381  |paral   |2020yCat.1350....0G
1715|HD 213757                                                                                                |Star                                |22 32 21.5653000032 +60 20 04.506734364|106.5274051407887 +01.9702511797348|  -2.166 -3.220   |8.40     |B1V                  |    ~     ~          |    1|  991.179   pc  | -20.2382    +20.2382  |paral   |2020yCat.1350....0G
1716|BD+59 2547                                                                                               |Star                                |22 36 09.8943749016 +60 24 11.954007936|106.9690087553165 +01.7937141990970|  -5.564 -5.847   |10.17    |~                    |    ~     ~          |    1|  830.703   pc  | -10.7650    +10.7650  |paral   |2020yCat.1350....0G
1717|TYC 4264-283-1                                                                                           |Star                                |22 30 58.9309571664 +61 37 14.176784604|107.0404700624371 +03.1614850129363|   10.713 0.868   |10.77    |~                    |    ~     ~          |    1|  285.071   pc  |  -0.8695     +0.8695  |paral   |2020yCat.1350....0G
1718|BD+59 2541                                                                                               |Star                                |22 34 29.6660545944 +60 29 30.989643576|106.8345113702113 +01.9731856987887|    1.959 2.396   |9.96     |M2                   |    ~     ~          |    1|  665.247   pc  |  -9.7362     +9.7362  |paral   |2020yCat.1350....0G
1719|GEN# +6.42001060                                                                                         |Star                                |22 33 30.0 +61 38 00                   |107.3049 +03.0203                  |            ~ ~   |10.49    |~                    |    ~     ~          |    0|                |                       |        |                   
1720|TYC 4264-131-1                                                                                           |Star                                |22 31 27.2923836504 +61 40 10.182731052|107.1138231352044 +03.1747495070461|   17.602 7.133   |9.88     |~                    |    ~     ~          |    1|  351.050   pc  |  -2.2059     +2.2059  |paral   |2020yCat.1350....0G
1721|TYC 4264-166-1                                                                                           |Star                                |22 30 30.2634136176 +61 29 36.639744540|106.9262254110903 +03.0816336554046| -4.968 -13.307   |9.97     |~                    |    ~     ~          |    1|  301.668   pc  |  -1.0738     +1.0738  |paral   |2020yCat.1350....0G
1722|TYC 4264-1006-1                                                                                          |Star                                |22 31 20.9403417216 +61 16 17.813488188|106.8992294341360 +02.8392723052562|    2.327 2.688   |10.98    |~                    |    ~     ~          |    1|  188.797   pc  |  -0.4063     +0.4063  |paral   |2020yCat.1350....0G
1723|TYC 4264-1026-1                                                                                          |Star                                |22 33 31.7639409096 +61 04 59.617171236|107.0300827305943 +02.5435301762774|   4.230 -4.315   |10.08    |~                    |    ~     ~          |    1|  451.773   pc  |  -4.1636     +4.1636  |paral   |2020yCat.1350....0G
1724|TYC 4264-1049-1                                                                                          |Star                                |22 33 36.0347871216 +60 07 29.712021960|106.5542693848048 +01.7114567339751|   15.934 1.821   |10.03    |~                    |    ~     ~          |    1|  413.274   pc  | -11.4092    +11.4092  |paral   |2020yCat.1350....0G
1725|TYC 4264-1086-1                                                                                          |Star                                |22 33 51.7169198880 +60 36 07.282997028|106.8225277867212 +02.1074225140254|  -2.882 -1.026   |9.76     |~                    |    ~     ~          |    1| 1009.897   pc  | -19.8879    +19.8879  |paral   |2020yCat.1350....0G
1726|TYC 4264-1088-1                                                                                          |Star                                |22 32 34.6890082728 +61 22 46.936458912|107.0813968157642 +02.8571712113847| 10.791 -12.054   |10.90    |~                    |    ~     ~          |    1|  180.940   pc  |  -0.4027     +0.4027  |paral   |2020yCat.1350....0G
1727|TYC 4264-1106-1                                                                                          |Star                                |22 31 39.7954032360 +61 01 01.971539616|106.8017572044191 +02.6012014979392|   6.673 17.989   |10.69    |~                    |    ~     ~          |    1|  215.964   pc  |  -0.4944     +0.4944  |paral   |2020yCat.1350....0G
1728|TYC 4264-1113-1                                                                                          |Star                                |22 31 53.9396053152 +60 30 52.554022236|106.5700720608991 +02.1541379304714|  -9.496 -7.717   |10.48    |~                    |    ~     ~          |    1|  264.781   pc  |  -0.7361     +0.7361  |paral   |2020yCat.1350....0G
1729|TYC 4264-1127-1                                                                                          |Star                                |22 33 36.8529322920 +61 11 40.137102780|107.0950809140130 +02.6344499565872|    8.197 5.920   |10.13    |~                    |    ~     ~          |    1|  366.919   pc  | -28.6356    +28.6356  |paral   |2020yCat.1350....0G
1730|TYC 4264-1204-1                                                                                          |Star                                |22 32 04.0192714152 +60 19 28.664268528|106.4911573662197 +01.9800725147983|  -0.028 14.473   |10.85    |~                    |    ~     ~          |    1|  204.336   pc  |  -0.4969     +0.4969  |paral   |2020yCat.1350....0G
1731|TYC 4264-1221-1                                                                                          |Star                                |22 32 59.7661450848 +60 49 48.252424476|106.8461796746977 +02.3577367733056|   10.966 0.658   |10.38    |~                    |    ~     ~          |    1|  435.654   pc  |  -2.6761     +2.6761  |paral   |2020yCat.1350....0G
1732|TYC 4265-229-1                                                                                           |Star                                |22 34 51.4689808080 +61 12 29.299100868|107.2316050917808 +02.5710669116988|  -7.352 -5.732   |10.73    |~                    |    ~     ~          |    1|  397.962   pc  |  -6.7942     +6.7942  |paral   |2020yCat.1350....0G
1733|TYC 4265-263-1                                                                                           |High Proper Motion Star             |22 34 43.4590985232 +60 43 15.758126364|106.9737224622739 +02.1573838938190|  59.314 41.849   |10.17    |~                    |    ~     ~          |    1|  149.975   pc  |  -0.2812     +0.2812  |paral   |2020yCat.1350....0G
1734|TYC 4265-351-1                                                                                           |Star                                |22 34 21.1932614496 +60 51 19.874127132|107.0019224179744 +02.2964521184618|    6.185 6.416   |10.61    |~                    |    ~     ~          |    1|  340.044   pc  |  -1.9079     +1.9079  |paral   |2020yCat.1350....0G
1735|TYC 4265-463-1                                                                                           |Star                                |22 35 44.7257888472 +60 43 45.634004256|107.0861404261955 +02.1023276429035| 28.188 -21.804   |9.88     |~                    |    ~     ~          |    1|  135.868   pc  |  -0.9950     +0.9950  |paral   |2020yCat.1350....0G
1736|TYC 4265-466-1                                                                                           |Star                                |22 34 23.1938672088 +60 34 40.285262748|106.8661121456280 +02.0541798428550|  13.171 19.060   |9.98     |~                    |    ~     ~          |    1|  480.862   pc  |  -5.3414     +5.3414  |paral   |2020yCat.1350....0G
1737|TYC 4265-543-1                                                                                           |Star                                |22 36 40.6930978248 +60 32 34.051771716|107.0930385060971 +01.8836286147421|    8.281 3.994   |10.84    |~                    |    ~     ~          |    1|  685.354   pc  |  -4.7441     +4.7441  |paral   |2020yCat.1350....0G
1738|TYC 4265-773-1                                                                                           |Star                                |22 36 09.1509922584 +60 53 15.623757168|107.2079092456732 +02.2151361810014|   6.793 -0.829   |10.25    |~                    |    ~     ~          |    1|  548.697   pc  |  -5.5698     +5.5698  |paral   |2020yCat.1350....0G
1739|TYC 4265-835-2                                                                                           |Star                                |22 36 21.8777496576 +60 32 47.809686120|107.0614017307481 +01.9060122149534|      30.1 11.8   |10.94    |~                    |    ~     ~          |    0|                |                       |        |                   
1740|TYC 4268-799-1                                                                                           |Star                                |22 31 20.6983420368 +62 02 31.615853316|107.2935744296233 +03.5015720273650|  25.255 -3.006   |10.25    |~                    |    ~     ~          |    1|  325.373   pc  |  -1.2069     +1.2069  |paral   |2020yCat.1350....0G
1741|TYC 4268-920-1                                                                                           |Star                                |22 30 56.0024463768 +61 58 54.248177964|107.2210337193773 +03.4744624290029|  1.501 -13.728   |10.61    |~                    |    ~     ~          |    1|  314.070   pc  |  -1.1245     +1.1245  |paral   |2020yCat.1350....0G
1742|BD+62 2099                                                                                               |Star                                |22 36 50.7507428616 +63 08 12.456316392|108.3938416402663 +04.1290721011597|   2.291 -7.186   |9.64     |K0                   |    ~     ~          |    1|  559.942   pc  |  -4.3581     +4.3581  |paral   |2020yCat.1350....0G
1743|BD+62 2101                                                                                               |Star                                |22 37 07.1069784168 +63 03 47.675694708|108.3842969715365 +04.0498905686074|   2.456 -3.598   |9.98     |~                    |    ~     ~          |    1| 1006.340   pc  | -11.8488    +11.8488  |paral   |2020yCat.1350....0G
1744|BD+62 2105                                                                                               |Star                                |22 41 08.7105083016 +63 06 54.679476888|108.8085727694764 +03.8734283847064|  -2.703 -8.119   |9.62     |A0                   |    ~     ~          |    1|  339.732   pc  |  -1.3735     +1.3735  |paral   |2020yCat.1350....0G
1745|CSI+62-22405                                                                                             |Star                                |22 42 18.0 +63 07 00                   |108.9242 +03.8123                  |            ~ ~   |10.4     |~                    |    ~     ~          |    0|                |                       |        |                   
1746|BD+61 2325                                                                                               |Star                                |22 39 24.8921819208 +62 42 03.054418236|108.4351507303591 +03.6057800185966|  -6.783 -7.962   |10.37    |A2                   |    ~     ~          |    1|  524.521   pc  |  -3.5491     +3.5491  |paral   |2020yCat.1350....0G
1747|BD+61 2334                                                                                               |Star                                |22 42 56.4202440408 +62 40 11.644120200|108.7757449461454 +03.3845279595929|  -4.742 -2.945   |10.31    |K                    |    ~     ~          |    1| 1130.199   pc  | -17.4997    +17.4997  |paral   |2020yCat.1350....0G
1748|HD 215383                                                                                                |Star                                |22 43 25.6853074872 +62 40 17.059926360|108.8258591898804 +03.3593581526577|   41.185 2.663   |6.73     |G5                   |    ~     ~          |    1|  162.949   pc  |  -0.5948     +0.5948  |paral   |2020yCat.1350....0G
1749|BD+61 2322                                                                                               |Spectroscopic Binary                |22 37 42.9553065816 +62 10 37.462794348|108.0070723218811 +03.2447228834466|  1.042 -11.981   |9.45     |A2                   |    ~     ~          |    1|  375.784   pc  |  -3.3468     +3.3468  |paral   |2020yCat.1350....0G
1750|LS III +61 13                                                                                            |Star                                |22 38 24.4804921224 +62 09 27.318459240|108.0680427812947 +03.1881568522578|   -2.701 1.652   |10.59    |B                    |    ~     ~          |    0|                |                       |        |                   
1751|BD+61 2324                                                                                               |Star                                |22 38 58.7469540024 +61 50 13.309545192|107.9700465652971 +02.8756273016191|-23.219 -40.100   |10.46    |F5                   |    ~     ~          |    1|  222.168   pc  |  -0.7256     +0.7256  |paral   |2020yCat.1350....0G
1752|HD 215009                                                                                                |Star                                |22 40 51.0894524640 +62 02 53.502312804|108.2652766181163 +02.9539174561013|   10.941 4.342   |8.72     |A0                   |    ~     ~          |    1|  407.266   pc  |  -2.1894     +2.1894  |paral   |2020yCat.1350....0G
1753|HD 215533                                                                                                |High Proper Motion Star             |22 44 35.1337441896 +62 11 22.850508336|108.7172547822240 +02.8712661196630|   65.088 8.868   |8.24     |K2                   |    ~     ~          |    1|  160.717   pc  |  -0.4391     +0.4391  |paral   |2020yCat.1350....0G
