C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:45:55

dec >=0&rah >=10.0&rah< 10.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2625

 #  |                                                                                                                     identifier                                                                                                                      |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
642 |TYC 3440-1359-1                                                                                                                                                                                                                                      |Star                              |10 08 28.3754468016 +50 22 10.109320860|164.7624002202142 +51.3785085733165|    5.531 1.628    |10.37    |~                   |    ~     ~    |    1|  331.631   pc  |  -1.8147     +1.8147  |paral   |2020yCat.1350....0G
643 |TYC 3440-1377-1                                                                                                                                                                                                                                      |Star                              |10 03 52.6283734872 +50 47 13.037361072|164.5612368567351 +50.5475185799695|   4.569 -1.107    |9.84     |~                   |    ~     ~    |    1|  841.609   pc  |  -9.7038     +9.7038  |paral   |2020yCat.1350....0G
644 |TYC 3440-1383-1                                                                                                                                                                                                                                      |Star                              |10 07 47.9145115368 +50 55 36.049159200|163.9988751739525 +51.0731020430059|  -7.027 -9.471    |9.78     |~                   |    ~     ~    |    1|  268.061   pc  |  -1.0778     +1.0778  |paral   |2020yCat.1350....0G
645 |TYC 3440-1406-1                                                                                                                                                                                                                                      |Star                              |10 04 21.8224640544 +51 27 32.847670044|163.5333689426509 +50.3757783500359|   1.814 -2.671    |10.65    |~                   |    ~     ~    |    1| 2197.802   pc  | -76.3193    +76.3193  |paral   |2020yCat.1350....0G
646 |TYC 3815-1489-1                                                                                                                                                                                                                                      |Star                              |10 07 04.7192080560 +52 43 15.638046744|161.4578183778530 +50.2736147200206| -29.008 -6.177    |9.64     |~                   |    ~     ~    |    1|  297.442   pc  |  -1.9641     +1.9641  |paral   |2020yCat.1350....0G
647 |HD 233696                                                                                                                                                                                                                                            |Star                              |10 00 36.4011979080 +50 04 16.143266856|165.8960477330905 +50.3015902716146|   7.542 19.122    |9.21     |G0                  |    ~     ~    |    1|  130.535   pc  |  -0.3885     +0.3885  |paral   |2020yCat.1350....0G
648 |BD+50 1705                                                                                                                                                                                                                                           |Double or Multiple Star           |10 02 15.1891454189 +49 39 33.361656140|166.3718366356424 +50.6868593155092|-12.520 -10.109    |9.439    |F8                  |    ~     ~    |    1|  145.092   pc  | -10.2142    +10.2142  |paral   |2018yCat.1345....0G
649 |TYC 3440-6-1                                                                                                                                                                                                                                         |Star                              |10 01 01.1503293696 +50 00 43.402575564|165.9495847145705 +50.3835103604033| -5.300 -24.632    |10.96    |~                   |    ~     ~    |    1|  392.896   pc  |  -2.8558     +2.8558  |paral   |2020yCat.1350....0G
650 |TYC 3440-90-1                                                                                                                                                                                                                                        |Star                              |10 00 52.3237662288 +50 07 41.473802892|165.7898151698780 +50.3230819327510|   -7.261 1.502    |10.45    |~                   |    ~     ~    |    1| 1033.165   pc  | -17.1856    +17.1856  |paral   |2020yCat.1350....0G
651 |HD 233701                                                                                                                                                                                                                                            |Star                              |10 04 26.1705514200 +49 34 18.392440620|166.3178957789801 +51.0495300131650|  7.982 -12.401    |9.11     |A0                  |    ~     ~    |    1|  469.329   pc  |  -2.7313     +2.7313  |paral   |2020yCat.1350....0G
652 |BD+49 1917                                                                                                                                                                                                                                           |Star                              |10 06 49.5053564760 +48 55 11.125806456|167.0948959445782 +51.6339559265275|-33.941 -17.772    |9.56     |K2                  |    ~     ~    |    1|  515.251   pc  |  -3.3982     +3.3982  |paral   |2020yCat.1350....0G
653 |BD+49 1922                                                                                                                                                                                                                                           |Spectroscopic Binary              |10 07 32.1101484144 +48 50 00.462782724|167.1637608969715 +51.7727235367359| -30.994 13.883    |8.84     |K2                  |    ~     ~    |    1|  330.699   pc  |  -6.0805     +6.0805  |paral   |2020yCat.1350....0G
654 |HD 87972                                                                                                                                                                                                                                             |High Proper Motion Star           |10 09 48.3831189696 +48 37 52.980355668|167.2690408499105 +52.1933039814713|-45.872 -28.380    |8.58     |A3                  |    ~     ~    |    1|  259.074   pc  |  -1.5773     +1.5773  |paral   |2020yCat.1350....0G
655 |BD+48 1843                                                                                                                                                                                                                                           |High Proper Motion Star           |10 11 17.0397873984 +48 03 25.251855264|168.0209863079358 +52.6172665995510|-68.365 -42.442    |9.99     |F8                  |    ~     ~    |    1|  210.433   pc  |  -1.4259     +1.4259  |paral   |2020yCat.1350....0G
656 |BD+48 1845                                                                                                                                                                                                                                           |High Proper Motion Star           |10 12 03.7951082232 +47 50 47.686363836|168.2770432979068 +52.8102575927627| 37.355 -66.312    |9.53     |G0                  |    ~     ~    |    1|   99.571   pc  |  -0.1656     +0.1656  |paral   |2020yCat.1350....0G
657 |BD+50 1717                                                                                                                                                                                                                                           |High Proper Motion Star           |10 07 35.1427972392 +49 52 05.401562844|165.5942161550053 +51.4259657670132| -56.856 18.629    |10.13    |G5                  |    ~     ~    |    1|  139.181   pc  |  -0.2867     +0.2867  |paral   |2020yCat.1350....0G
658 |HD 233720                                                                                                                                                                                                                                            |Star                              |10 13 50.5575932064 +50 17 46.715456364|164.3495792991090 +52.1997396392857| -29.362 -8.898    |8.40     |K0                  |    ~     ~    |    1|  344.412   pc  |  -2.5978     +2.5978  |paral   |2020yCat.1350....0G
659 |HD 233717                                                                                                                                                                                                                                            |Spectroscopic Binary              |10 13 16.2811382304 +50 02 17.397935880|164.7958478058303 +52.2144880160666|  31.967 -4.395    |9.66     |G0                  |    ~     ~    |    1|  145.151   pc  |  -0.4424     +0.4424  |paral   |2020yCat.1350....0G
660 |BD+50 1722                                                                                                                                                                                                                                           |Star                              |10 10 53.3618979048 +49 42 40.129436196|165.5224643923370 +51.9800258491540|   14.939 6.525    |10.24    |F9V                 |    ~     ~    |    1|  140.635   pc  |  -0.3956     +0.3956  |paral   |2020yCat.1350....0G
661 |HD 88629                                                                                                                                                                                                                                             |Star                              |10 14 22.5702115872 +49 46 06.637526760|165.0933225642125 +52.4815851898524|-33.862 -21.200    |8.96     |F5                  |    ~     ~    |    1|  140.522   pc  |  -0.2903     +0.2903  |paral   |2020yCat.1350....0G
662 |HD 87530                                                                                                                                                                                                                                             |Star                              |10 06 51.5007894768 +49 20 42.793392300|166.4471435940181 +51.4964192106131|  5.655 -24.503    |8.13     |K0                  |    ~     ~    |    1|  300.725   pc  |  -1.6821     +1.6821  |paral   |2020yCat.1350....0G
663 |HD 88046                                                                                                                                                                                                                                             |Double or Multiple Star           |10 10 16.8848762736 +49 30 26.417318328|165.8886804672114 +51.9616636615646|-81.591 -44.386    |7.146    |F2                  |    ~     ~    |    1|   92.548   pc  |  -0.5910     +0.5910  |paral   |2020yCat.1350....0G
664 |HD 233708                                                                                                                                                                                                                                            |Star                              |10 07 14.4792587880 +49 14 06.499354128|166.5795851717866 +51.5925095529107|  -15.085 3.376    |9.05     |K0                  |    ~     ~    |    1|  459.137   pc  |  -2.9513     +2.9513  |paral   |2020yCat.1350....0G
665 |HD 233713                                                                                                                                                                                                                                            |Star                              |10 11 01.5720652680 +49 23 49.253443692|165.9857321564345 +52.1141711301445| 12.558 -19.188    |10.23    |~                   |    ~     ~    |    1|  337.667   pc  |  -1.7673     +1.7673  |paral   |2020yCat.1350....0G
666 |HD 233714                                                                                                                                                                                                                                            |Star                              |10 11 31.3530379824 +49 25 11.915973444|165.9034905445322 +52.1812473787401| -7.942 -10.436    |8.87     |A                   |    ~     ~    |    1|  797.385   pc  | -10.8090    +10.8090  |paral   |2020yCat.1350....0G
667 |HD 88230                                                                                                                                                                                                                                             |Eruptive Variable                 |10 11 22.1399492383 +49 27 15.251007087|165.8660957633615 +52.1456003748424|-1363.287 -505.770 |6.61     |K6VeFe-1            |    ~     ~    |    1|    4.8705  pc  |  -0.0005     +0.0005  |paral   |2020yCat.1350....0G
668 |BD+49 1928                                                                                                                                                                                                                                           |Double or Multiple Star           |10 12 33.0726459338 +49 01 22.830180230|166.4109532093326 +52.4806274159961|  -2.732 14.617    |9.77     |F2                  |0.0033  0.0    |    0|                |                       |        |                   
669 |BD+49 1929                                                                                                                                                                                                                                           |Star                              |10 12 37.9261728912 +48 24 20.625164136|167.3545423393886 +52.7101731136303| -11.612 12.244    |9.87     |F8                  |    ~     ~    |    1|  160.231   pc  |  -0.5443     +0.5443  |paral   |2020yCat.1350....0G
670 |BD+49 1931                                                                                                                                                                                                                                           |Double or Multiple Star           |10 12 56.3200435464 +48 35 20.595595524|167.0417524220840 +52.6939639141116|   -6.102 7.030    |9.81     |F2                  |    ~     ~    |    1|  230.776   pc  |  -0.8468     +0.8468  |paral   |2020yCat.1350....0G
671 |BD+49 1932                                                                                                                                                                                                                                           |Star                              |10 14 03.4920706584 +48 48 51.703085232|166.5854854800650 +52.7865763087587|    5.676 4.917    |9.38     |G0                  |    ~     ~    |    1|   89.750   pc  |  -0.1168     +0.1168  |paral   |2020yCat.1350....0G
672 |TYC 3437-476-1                                                                                                                                                                                                                                       |Star                              |10 04 11.4776511648 +49 35 56.743411128|166.2979808212564 +51.0030029364561|-10.183 -31.064    |10.85    |~                   |    ~     ~    |    1|  471.120   pc  |  -2.5081     +2.5081  |paral   |2020yCat.1350....0G
673 |TYC 3437-576-1                                                                                                                                                                                                                                       |Star                              |10 07 23.2056190392 +49 39 21.931087788|165.9310046595714 +51.4701524831767|-18.413 -15.810    |10.09    |~                   |    ~     ~    |    1|  367.431   pc  |  -2.0116     +2.0116  |paral   |2020yCat.1350....0G
674 |TYC 3437-679-1                                                                                                                                                                                                                                       |Star                              |10 07 22.3966150920 +48 45 32.491439604|167.2915362520138 +51.7722299816795|  23.073 11.325    |10.97    |~                   |    ~     ~    |    1|  221.156   pc  |  -0.7777     +0.7777  |paral   |2020yCat.1350....0G
675 |TYC 3437-746-1                                                                                                                                                                                                                                       |Star                              |10 12 38.4083277120 +47 43 32.540747088|168.4126983581577 +52.9417768241902| -10.443 -4.150    |10.72    |~                   |    ~     ~    |    1|  898.150   pc  | -13.3101    +13.3101  |paral   |2020yCat.1350....0G
676 |TYC 3437-775-1                                                                                                                                                                                                                                       |Star                              |10 08 25.2288461664 +49 19 52.626268956|166.3277666401218 +51.7402520794395|  -2.825 11.216    |10.79    |~                   |    ~     ~    |    1|  228.352   pc  |  -0.7561     +0.7561  |paral   |2020yCat.1350....0G
677 |TYC 3437-777-1                                                                                                                                                                                                                                       |Spectroscopic Binary              |10 12 17.1240457152 +49 49 00.551419500|165.2276974325172 +52.1507639023656|  -59.765 5.325    |10.70    |~                   |    ~     ~    |    1|  252.181   pc  |  -0.8903     +0.8903  |paral   |2020yCat.1350....0G
678 |TYC 3437-885-1                                                                                                                                                                                                                                       |Star                              |10 07 23.9800076640 +49 19 28.520299848|166.4300576368665 +51.5863608593148|-31.792 -15.376    |10.86    |~                   |    ~     ~    |    1|  292.552   pc  |  -0.9842     +0.9842  |paral   |2020yCat.1350....0G
679 |TYC 3437-904-1                                                                                                                                                                                                                                       |Star                              |10 11 04.3605171336 +49 16 08.281143840|166.1761977672091 +52.1669863625649|    4.981 0.140    |10.88    |~                   |    ~     ~    |    1|  426.749   pc  |  -2.8410     +2.8410  |paral   |2020yCat.1350....0G
680 |TYC 3437-924-1                                                                                                                                                                                                                                       |Star                              |10 08 58.3490261856 +49 50 52.536952860|165.4968941565857 +51.6420676006779|   -2.669 4.439    |10.99    |~                   |    ~     ~    |    1|  779.727   pc  | -10.2140    +10.2140  |paral   |2020yCat.1350....0G
681 |TYC 3437-932-1                                                                                                                                                                                                                                       |Red Giant Branch star Candidate   |10 09 12.1590642024 +49 27 41.252975064|166.0588362366298 +51.8141078030346| -12.755 -6.992    |10.22    |~                   |    ~     ~    |    1|  947.777   pc  | -15.9894    +15.9894  |paral   |2020yCat.1350....0G
682 |TYC 3437-938-1                                                                                                                                                                                                                                       |Star                              |10 13 07.5328948896 +49 54 47.902847544|164.9989852954359 +52.2401238939795|  6.576 -12.455    |10.79    |~                   |    ~     ~    |    1|  740.028   pc  |  -6.6812     +6.6812  |paral   |2020yCat.1350....0G
683 |TYC 3437-973-1                                                                                                                                                                                                                                       |Star                              |10 12 28.4073656112 +49 05 26.167694892|166.3148576546520 +52.4445276732222|    8.212 0.908    |10.90    |~                   |    ~     ~    |    1|  312.832   pc  |  -1.3212     +1.3212  |paral   |2020yCat.1350....0G
684 |TYC 3437-1021-1                                                                                                                                                                                                                                      |Star                              |10 10 01.3946274072 +48 30 10.327142412|167.4468277091876 +52.2704169589038| -11.484 -5.759    |10.67    |~                   |    ~     ~    |    1| 1517.681   pc  | -37.5447    +37.5447  |paral   |2020yCat.1350....0G
685 |TYC 3437-1049-1                                                                                                                                                                                                                                      |Star                              |10 12 30.7934821296 +48 53 15.090972180|166.6225699280547 +52.5230575907452| -1.280 -10.344    |10.97    |~                   |    ~     ~    |    1| 1064.963   pc  | -15.8780    +15.8780  |paral   |2020yCat.1350....0G
686 |TYC 3437-1153-1                                                                                                                                                                                                                                      |Star                              |10 11 28.5155817888 +48 14 51.867583188|167.7075235537780 +52.5834044732814|-35.848 -10.196    |10.41    |~                   |    ~     ~    |    1|  346.176   pc  |  -2.0612     +2.0612  |paral   |2020yCat.1350....0G
687 |TYC 3437-1177-1                                                                                                                                                                                                                                      |Star                              |10 11 45.1776639072 +48 13 32.632476600|167.7159116883619 +52.6343624739518|   3.727 -0.181    |10.87    |~                   |    ~     ~    |    1|  505.178   pc  |  -5.1551     +5.1551  |paral   |2020yCat.1350....0G
688 |TYC 3437-1183-1                                                                                                                                                                                                                                      |Star                              |10 10 34.4344733904 +48 05 30.523248960|168.0316895538195 +52.4938250613771|  -42.181 6.966    |10.83    |~                   |    ~     ~    |    1|  149.249   pc  |  -0.2896     +0.2896  |paral   |2020yCat.1350....0G
689 |TYC 3437-1297-1                                                                                                                                                                                                                                      |Star                              |10 12 41.5026906576 +48 31 39.974081448|167.1600321900747 +52.6770953526574|  -9.438 -6.454    |9.91     |~                   |    ~     ~    |    1|  780.579   pc  | -10.4800    +10.4800  |paral   |2020yCat.1350....0G
690 |TYC 3440-140-1                                                                                                                                                                                                                                       |Star                              |10 14 22.0960731168 +50 09 24.582578400|164.5063724283974 +52.3313259066714|  -7.693 -8.329    |10.98    |~                   |    ~     ~    |    1| 1032.098   pc  | -15.3393    +15.3393  |paral   |2020yCat.1350....0G
691 |TYC 3440-160-1                                                                                                                                                                                                                                       |Star                              |10 12 16.9310373000 +50 06 55.016154936|164.7776302345635 +52.0383964157977|  -17.398 5.451    |10.91    |~                   |    ~     ~    |    1|  380.170   pc  |  -2.9629     +2.9629  |paral   |2020yCat.1350....0G
692 |TYC 3440-1512-1                                                                                                                                                                                                                                      |Star                              |10 09 10.7078402256 +50 00 29.385738504|165.2368582107000 +51.6152641402708|-19.327 -11.706    |10.89    |~                   |    ~     ~    |    1|  372.564   pc  |  -1.9849     +1.9849  |paral   |2020yCat.1350....0G
693 |BD+49 1903                                                                                                                                                                                                                                           |Double or Multiple Star           |10 00 42.5431126752 +49 04 25.756700304|167.3734837582972 +50.6341942147801| 28.637 -31.541    |9.73     |F8                  |0.0033  0.0    |    1|  195.297   pc  | -17.3389    +17.3389  |paral   |2020yCat.1350....0G
694 |HD 86943                                                                                                                                                                                                                                             |High Proper Motion Star           |10 03 12.9374616552 +49 12 18.113072040|166.9721086631681 +50.9819783763015|-56.095 -15.117    |8.49     |F0                  |    ~     ~    |    1|  148.661   pc  |  -0.4641     +0.4641  |paral   |2020yCat.1350....0G
695 |BD+49 1904                                                                                                                                                                                                                                           |Star                              |10 00 53.2873832688 +48 49 26.406083280|167.7346142925225 +50.7387184548492|-23.280 -36.396    |10.88    |F8                  |    ~     ~    |    1|  259.363   pc  |  -1.2108     +1.2108  |paral   |2020yCat.1350....0G
696 |BD+49 1905                                                                                                                                                                                                                                           |Star                              |10 02 53.0893402800 +49 06 31.065543288|167.1446277067595 +50.9615613227791|    2.677 3.988    |9.77     |K0                  |    ~     ~    |    1|  945.626   pc  | -13.0555    +13.0555  |paral   |2020yCat.1350....0G
697 |BD+49 1906                                                                                                                                                                                                                                           |Star                              |10 03 00.9293082768 +48 30 27.131884380|168.0425035349282 +51.1698933838369| -15.531 -9.820    |9.41     |K0                  |    ~     ~    |    1|  619.1184  pc  | -26.7549    +26.7549  |paral   |2018yCat.1345....0G
698 |HD 87113                                                                                                                                                                                                                                             |High Proper Motion Star           |10 04 08.8412672472 +48 35 28.396538052|167.8225951324669 +51.3220147410927| -61.536 -9.439    |7.58     |F2                  |    ~     ~    |    1|  118.883   pc  |  -0.7067     +0.7067  |paral   |2020yCat.1350....0G
699 |BD+49 1912                                                                                                                                                                                                                                           |Star                              |10 04 48.3091839096 +48 55 49.607379444|167.2528312705114 +51.3168963756386|   1.124 -3.283    |10.04    |K0                  |    ~     ~    |    1|  763.534   pc  |  -7.7537     +7.7537  |paral   |2020yCat.1350....0G
700 |BD+49 1913                                                                                                                                                                                                                                           |Star                              |10 05 00.6940413240 +49 02 17.225174004|167.0723041489200 +51.3140202175074|   1.220 -3.392    |9.10     |K2                  |    ~     ~    |    1| 1045.151   pc  | -16.1666    +16.1666  |paral   |2020yCat.1350....0G
701 |BD+49 1918                                                                                                                                                                                                                                           |Star                              |10 06 57.6905692488 +48 32 05.468816508|167.6698743933161 +51.7812972702195|  -24.727 9.820    |9.75     |K0                  |    ~     ~    |    1|  461.233   pc  |  -2.8719     +2.8719  |paral   |2020yCat.1350....0G
702 |BD+49 1919                                                                                                                                                                                                                                           |Star                              |10 06 59.9627668248 +48 28 01.800648408|167.7701495681590 +51.8091273453691|   -4.389 4.242    |10.11    |F0                  |    ~     ~    |    1|  294.646   pc  |  -1.5367     +1.5367  |paral   |2020yCat.1350....0G
703 |BD+49 1920                                                                                                                                                                                                                                           |Spectroscopic Binary              |10 07 06.9568537296 +48 25 13.530642960|167.8316398356676 +51.8425064114214|  -4.529 -2.661    |9.48     |K2                  |    ~     ~    |    1|  860.141   pc  | -11.9115    +11.9115  |paral   |2020yCat.1350....0G
704 |BD+48 1826                                                                                                                                                                                                                                           |Star                              |10 00 36.2204254128 +48 15 22.250709288|168.6143832143780 +50.8631113293493|    0.343 4.909    |9.16     |K5                  |    ~     ~    |    1|  886.997   pc  | -13.6897    +13.6897  |paral   |2020yCat.1350....0G
705 |TYC 3437-526-1                                                                                                                                                                                                                                       |Star                              |10 05 43.9188921000 +48 06 50.315112324|168.4193411631549 +51.7210171910654| -31.068 20.767    |10.71    |G0                  |    ~     ~    |    1|  249.663   pc  |  -1.0409     +1.0409  |paral   |2020yCat.1350....0G
706 |BD+48 1836                                                                                                                                                                                                                                           |Star                              |10 07 56.4550023600 +47 56 51.797597424|168.4876177766186 +52.1238146307208| 37.694 -13.001    |9.88     |K0                  |    ~     ~    |    1|  372.176   pc  |  -5.0558     +5.0558  |paral   |2020yCat.1350....0G
707 |BD+48 1828                                                                                                                                                                                                                                           |Double or Multiple Star           |10 02 08.1032494920 +47 22 17.129465364|169.8473578455169 +51.3628866774376|  10.032 -9.008    |9.78     |F5                  |0.0050  0.0    |    1|  266.845   pc  | -10.0044    +10.0044  |paral   |2020yCat.1350....0G
708 |BD+48 1832                                                                                                                                                                                                                                           |Spectroscopic Binary              |10 04 13.7872422000 +47 45 02.849546088|169.1003089108320 +51.5916078585721|  14.700 -4.779    |10.97    |K2                  |    ~     ~    |    1|  515.278   pc  | -10.6470    +10.6470  |paral   |2020yCat.1350....0G
709 |BD+48 1835                                                                                                                                                                                                                                           |Star                              |10 07 05.0683214112 +47 21 46.852332624|169.4664591245984 +52.1671438907976|  -8.342 -0.208    |10.58    |G5                  |    ~     ~    |    0|                |                       |        |                   
710 |BD+48 1837                                                                                                                                                                                                                                           |Star                              |10 08 13.3007349504 +47 44 19.876731000|168.7867154122677 +52.2343008563938|  -7.096 -5.726    |9.72     |K5                  |    ~     ~    |    1|  900.252   pc  | -13.3725    +13.3725  |paral   |2020yCat.1350....0G
711 |HD 86678                                                                                                                                                                                                                                             |Star                              |10 01 21.6134364024 +46 54 38.373059808|170.6148881833178 +51.3626988689800|  -6.246 -2.755    |9.14     |G5                  |    ~     ~    |    1|  444.899   pc  |  -2.9294     +2.9294  |paral   |2020yCat.1350....0G
712 |HD 87001                                                                                                                                                                                                                                             |High Proper Motion Star           |10 03 24.1128866280 +47 07 41.752319592|170.1252316507995 +51.6375172724444|  4.610 -50.752    |8.93     |G5                  |    ~     ~    |    1|   97.758   pc  |  -0.1615     +0.1615  |paral   |2020yCat.1350....0G
713 |BD+48 1842                                                                                                                                                                                                                                           |Star                              |10 11 09.8291324616 +47 29 08.374327908|168.9230144644982 +52.7848430829123|  -34.126 1.722    |10.64    |F8                  |    ~     ~    |    1|  369.590   pc  | -15.9272    +15.9272  |paral   |2020yCat.1350....0G
714 |NGC 3111                           NGC 3111                                                                                                                                                                                                          |Radio Galaxy                      |10 06 07.4385383064 +47 15 45.497845260|169.7014313906933 +52.0416437447184|            ~ ~    |     ~   |~                   |0.747 0.627    |    1|  106.51    Mpc |                       |redshift|2007ApJ...655..790C
715 |TYC 3434-19-1                                                                                                                                                                                                                                        |Star                              |10 01 24.7379269848 +46 53 40.005640968|170.6360840294020 +51.3756172907044| -12.651 -6.430    |10.07    |~                   |    ~     ~    |    1|  659.587   pc  |  -6.0038     +6.0038  |paral   |2020yCat.1350....0G
716 |TYC 3434-27-1                                                                                                                                                                                                                                        |High Proper Motion Star           |10 02 51.1302907032 +47 27 28.046749284|169.6594993792133 +51.4547883706809|-57.263 -43.033    |10.08    |~                   |    ~     ~    |    1|  224.009   pc  |  -0.8531     +0.8531  |paral   |2020yCat.1350....0G
717 |TYC 3434-129-1                                                                                                                                                                                                                                       |High Proper Motion Star           |10 02 36.4285733232 +46 51 11.512365876|170.6112549343654 +51.5833678600250|-69.649 -38.850    |10.89    |~                   |    ~     ~    |    1|  255.951   pc  |  -1.0416     +1.0416  |paral   |2020yCat.1350....0G
718 |TYC 3434-144-1                                                                                                                                                                                                                                       |Spectroscopic Binary              |10 00 55.6548526560 +47 20 53.102798520|169.9740751928262 +51.1729597856208|   -7.347 0.750    |10.41    |~                   |    ~     ~    |    1|  291.503   pc  |  -1.5295     +1.5295  |paral   |2020yCat.1350....0G
719 |TYC 3434-172-1                                                                                                                                                                                                                                       |Star                              |10 00 12.0877814520 +47 08 27.367317960|170.3452116895737 +51.1106794482186| -22.564 -1.811    |10.40    |~                   |    ~     ~    |    1|  536.337   pc  |  -6.6736     +6.6736  |paral   |2020yCat.1350....0G
720 |TYC 3434-204-1                                                                                                                                                                                                                                       |Star                              |10 03 47.6678633688 +46 50 21.927637464|170.5427422439203 +51.7823706337839|  41.897 -6.116    |10.99    |~                   |    ~     ~    |    1|  235.283   pc  |  -0.9079     +0.9079  |paral   |2020yCat.1350....0G
721 |TYC 3434-369-1                                                                                                                                                                                                                                       |Star                              |10 04 01.4216419608 +47 22 46.212197448|169.6886222115032 +51.6670944116939|  -2.677 -1.027    |10.49    |~                   |    ~     ~    |    1|  850.268   pc  | -11.7842    +11.7842  |paral   |2020yCat.1350....0G
722 |TYC 3434-430-1                                                                                                                                                                                                                                       |Star                              |10 02 05.7058918776 +46 41 37.717697112|170.8961700531466 +51.5419020956110|  4.518 -25.195    |10.76    |~                   |    ~     ~    |    1|  208.264   pc  |  -0.7374     +0.7374  |paral   |2020yCat.1350....0G
723 |TYC 3434-443-1                                                                                                                                                                                                                                       |Star                              |10 00 46.8640785696 +47 11 55.207190508|170.2141843620404 +51.1899361373444|  -9.562 -2.366    |10.49    |~                   |    ~     ~    |    1|  979.528   pc  | -16.7908    +16.7908  |paral   |2020yCat.1350....0G
724 |TYC 3437-32-1                                                                                                                                                                                                                                        |Star                              |10 03 06.4269293328 +47 33 11.412322632|169.4930206005249 +51.4686660902510|  -8.112 -7.045    |10.63    |~                   |    ~     ~    |    1|  320.996   pc  |  -1.4013     +1.4013  |paral   |2020yCat.1350....0G
725 |TYC 3437-100-1                                                                                                                                                                                                                                       |Star                              |10 02 46.0888929336 +47 51 09.461349180|169.0603510734984 +51.3270440192915|   8.725 -5.817    |10.82    |~                   |    ~     ~    |    1| 1074.691   pc  | -17.9019    +17.9019  |paral   |2020yCat.1350....0G
726 |TYC 3437-129-1                                                                                                                                                                                                                                       |Star                              |10 04 22.5506647584 +48 18 33.079321260|168.2331982800450 +51.4457499370597|-19.497 -16.718    |10.68    |~                   |    ~     ~    |    1|  487.520   pc  |  -3.4463     +3.4463  |paral   |2020yCat.1350....0G
727 |TYC 3437-133-1                                                                                                                                                                                                                                       |Star                              |10 04 13.9679487912 +48 19 24.909420540|168.2230035281476 +51.4186859022150| -22.286 -7.371    |9.89     |~                   |    ~     ~    |    1|  436.300   pc  |  -2.4175     +2.4175  |paral   |2020yCat.1350....0G
728 |TYC 3437-179-1                                                                                                                                                                                                                                       |Star                              |10 03 28.1954400024 +49 14 26.923052652|166.8970287704545 +51.0097528434797|  15.332 -6.429    |10.56    |~                   |    ~     ~    |    1|  365.070   pc  |  -2.1191     +2.1191  |paral   |2020yCat.1350....0G
729 |TYC 3437-202-1                                                                                                                                                                                                                                       |Star                              |10 05 30.1966356504 +48 45 46.405852668|167.4476486695392 +51.4796628369079| -3.735 -16.931    |9.98     |~                   |    ~     ~    |    1|  177.022   pc  |  -0.4951     +0.4951  |paral   |2020yCat.1350....0G
730 |TYC 3437-210-1                                                                                                                                                                                                                                       |Star                              |10 05 44.4740186880 +48 21 13.013932896|168.0514578341080 +51.6474911690492|-13.874 -13.661    |10.32    |~                   |    ~     ~    |    1|  398.105   pc  |  -2.5992     +2.5992  |paral   |2020yCat.1350....0G
