C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:45:55

dec >=0&rah >=10.0&rah< 10.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2625

 #  |                                                                                                                     identifier                                                                                                                      |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
21  |BD+83 275                                                                                                                                                                                                                                            |Star                              |10 06 55.8081435696 +83 13 22.857991824|128.1908669344123 +32.1343903592050|   2.243 -6.478    |10.75    |F8                  |    ~     ~    |    1|  341.262   pc  |  -1.2228     +1.2228  |paral   |2020yCat.1350....0G
22  |BD+83 276                                                                                                                                                                                                                                            |Star                              |10 05 52.1842546560 +82 25 31.098708156|128.8759782175700 +32.6847533011381|-17.001 -15.952    |10.22    |F2                  |    ~     ~    |    1|  367.242   pc  |  -2.7108     +2.7108  |paral   |2020yCat.1350....0G
23  |BD+83 277                                                                                                                                                                                                                                            |Pulsating Variable                |10 07 40.7420244696 +82 22 09.643741464|128.8712455541138 +32.7665875023779|    2.796 2.210    |10.47    |B8                  |    ~     ~    |    1|  649.435   pc  |  -8.3088     +8.3088  |paral   |2020yCat.1350....0G
24  |BD+83 278                                                                                                                                                                                                                                            |Star                              |10 09 32.0438210640 +82 58 52.250402136|128.3203672517303 +32.3637367856082|   2.588 -2.647    |10.45    |K2                  |    ~     ~    |    1|  241.832   pc  |  -0.6258     +0.6258  |paral   |2020yCat.1350....0G
25  |BD+83 279                                                                                                                                                                                                                                            |Star                              |10 13 16.6044779280 +83 02 57.302800872|128.1666682347765 +32.3907575323233|   6.465 -0.437    |9.59     |F8                  |    ~     ~    |    1|  202.388   pc  |  -0.3932     +0.3932  |paral   |2020yCat.1350....0G
26  |HD 87386                                                                                                                                                                                                                                             |Star                              |10 12 55.6466398440 +82 24 03.335090580|128.6947392894979 +32.8626196246899| 15.748 -20.142    |7.36     |K0III               |    ~     ~    |    1|  189.699   pc  |  -0.5938     +0.5938  |paral   |2020yCat.1350....0G
27  |BD+83 281                                                                                                                                                                                                                                            |Star                              |10 13 38.2122673800 +82 38 38.436910368|128.4796170545520 +32.6985751143094| -18.565 -8.514    |9.05     |G5                  |    ~     ~    |    1|  105.551   pc  |  -0.1426     +0.1426  |paral   |2020yCat.1350....0G
28  |BD+83 282                                                                                                                                                                                                                                            |Star                              |10 14 36.0802415208 +83 04 28.589470284|128.1113619955543 +32.3986499466059|    0.027 3.210    |9.67     |F8                  |    ~     ~    |    1|  206.671   pc  |  -0.5766     +0.5766  |paral   |2020yCat.1350....0G
29  |BD+82 289                                                                                                                                                                                                                                            |Star                              |10 01 48.1727744040 +82 16 28.863707520|129.1162231579477 +32.6957984624725|    6.451 2.061    |10.32    |G5                  |    ~     ~    |    1|  905.633   pc  |  -9.7600     +9.7600  |paral   |2020yCat.1350....0G
30  |BD+82 292                                                                                                                                                                                                                                            |Star                              |10 10 51.7506087960 +82 16 36.651491580|128.8552719331160 +32.9068677555686|-30.912 -19.439    |10.72    |A5                  |    ~     ~    |    1|  459.559   pc  |  -4.7096     +4.7096  |paral   |2020yCat.1350....0G
31  |BD+82 293                                                                                                                                                                                                                                            |Star                              |10 11 59.4409366464 +82 04 45.001095096|128.9825667017721 +33.0776057787009|  -1.144 -4.903    |10.78    |G5                  |    ~     ~    |    1|  439.425   pc  |  -7.9169     +7.9169  |paral   |2020yCat.1350....0G
32  |BD+82 290                                                                                                                                                                                                                                            |Star                              |10 03 12.1531027536 +81 31 28.288322292|129.7126836983583 +33.2568712925058|   9.099 -3.739    |10.77    |F5                  |    ~     ~    |    1|  290.546   pc  |  -1.1396     +1.1396  |paral   |2020yCat.1350....0G
33  |BD+82 291                                                                                                                                                                                                                                            |Star                              |10 04 35.6625232968 +81 39 11.175042924|129.5606657962264 +33.2025253623481|    8.866 4.151    |10.38    |K2                  |    ~     ~    |    1| 1242.236   pc  | -20.5239    +20.5239  |paral   |2020yCat.1350....0G
34  |HD 85705                                                                                                                                                                                                                                             |High Proper Motion Star           |10 00 38.0296790664 +80 24 08.293475196|130.7673666289953 +33.9625707570189|-61.534 -58.417    |8.93     |F8                  |    ~     ~    |    1|  117.034   pc  |  -0.1726     +0.1726  |paral   |2020yCat.1350....0G
35  |BD+81 321                                                                                                                                                                                                                                            |Star                              |10 01 11.3272131312 +80 42 24.196623876|130.4823663287733 +33.7697330661816|  1.596 -13.775    |10.07    |F2                  |    ~     ~    |    1|  345.638   pc  |  -1.5650     +1.5650  |paral   |2020yCat.1350....0G
36  |HD 86456                                                                                                                                                                                                                                             |Star                              |10 05 39.7269649674 +80 41 33.135178311|130.3429364340614 +33.9092064137053|  -6.39 -17.957    |10.18    |F8                  |    ~     ~    |    0|                |                       |        |                   
37  |HD 86457                                                                                                                                                                                                                                             |Star                              |10 05 43.2220756920 +80 41 32.917175052|130.3409888135720 +33.9109206297830| -8.690 -15.016    |10.12    |F8                  |    ~     ~    |    1|  345.746   pc  |  -4.0046     +4.0046  |paral   |2020yCat.1350....0G
38  |BD+81 324                                                                                                                                                                                                                                            |Star                              |10 08 38.2781085432 +80 49 00.455267280|130.1352537722048 +33.9052406318616|    4.177 5.644    |10.34    |K0                  |    ~     ~    |    1|  822.571   pc  |  -8.9991     +8.9991  |paral   |2020yCat.1350....0G
39  |BD+81 326                                                                                                                                                                                                                                            |Star                              |10 14 13.5449442960 +81 17 24.181841904|129.5535021865065 +33.7116471338134|   4.953 -1.581    |10.15    |K5                  |    ~     ~    |    1|  997.208   pc  | -12.6292    +12.6292  |paral   |2020yCat.1350....0G
40  |BD+81 327                                                                                                                                                                                                                                            |Star                              |10 14 18.0519339168 +80 46 45.186779892|129.9688455983869 +34.0886267664895|  13.632 14.521    |9.66     |F0                  |    ~     ~    |    1|  169.162   pc  |  -0.3720     +0.3720  |paral   |2020yCat.1350....0G
41  |TYC 4548-34-1                                                                                                                                                                                                                                        |Star                              |10 05 19.4591131008 +80 28 15.748921308|130.5445740606090 +34.0551366268028|  -1.566 -6.448    |10.69    |~                   |    ~     ~    |    1| 1389.854   pc  | -26.2710    +26.2710  |paral   |2020yCat.1350....0G
42  |TYC 4548-572-1                                                                                                                                                                                                                                       |Star                              |10 06 02.1952186296 +80 56 10.284212940|130.1224415884905 +33.7478376820696|   11.688 0.338    |10.94    |~                   |    ~     ~    |    1|  406.951   pc  |  -1.5236     +1.5236  |paral   |2020yCat.1350....0G
43  |BD+78 338                                                                                                                                                                                                                                            |Star                              |10 12 44.3166199416 +77 55 31.945780488|132.4456255195460 +36.0993586779576| -2.869 -14.993    |9.75     |G5                  |    ~     ~    |    1|  144.795   pc  |  -0.2537     +0.2537  |paral   |2020yCat.1350....0G
44  |BD+78 339                                                                                                                                                                                                                                            |Star                              |10 13 52.4170117032 +77 46 15.240175716|132.5273562319348 +36.2514397305947|   -9.420 5.482    |10.04    |K0                  |    ~     ~    |    1|  598.910   pc  |  -4.1250     +4.1250  |paral   |2020yCat.1350....0G
