C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:38:56

dec >=0&rah >=9.25&rah< 9.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 3041

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
23  |HD 76990                                                                                                                                    |Star                                |09 15 21.4269235416 +84 10 51.650499396|128.3925449899374 +30.4406573653411|  31.965 14.420   |6.280    |F2III          |    ~     ~    |    1|   95.461   pc  |  -0.1895     +0.1895  |paral   |2020yCat.1350....0G
24  |BD+84 198                                                                                                                                   |Star                                |09 17 25.1293399560 +84 18 24.570452736|128.2378647397537 +30.4139911810096|-12.039 -25.387   |10.37    |F8             |    ~     ~    |    1|  370.316   pc  |  -4.4431     +4.4431  |paral   |2020yCat.1350....0G
25  |BD+84 201                                                                                                                                   |Star                                |09 22 09.0651316464 +83 49 51.961627668|128.6133919228500 +30.7837931797547| -5.319 -14.676   |10.10    |K0             |    ~     ~    |    1| 1098.539   pc  | -13.8781    +13.8781  |paral   |2020yCat.1350....0G
26  |BD+84 202                                                                                                                                   |Star                                |09 24 02.1140415552 +84 18 57.303404460|128.1206511346634 +30.5434469565832| -10.938 -7.662   |9.75     |G0             |    ~     ~    |    1|  108.137   pc  |  -0.1590     +0.1590  |paral   |2020yCat.1350....0G
27  |HD 77291                                                                                                                                    |Star                                |09 15 52.3299611280 +83 38 11.362455312|128.9126861916553 +30.7508752417676|   -2.391 2.638   |8.62     |B9             |    ~     ~    |    0|                |                       |        |                   
28  |BD+84 200                                                                                                                                   |High Proper Motion Star             |09 18 15.1681574880 +83 31 43.696602516|128.9745089471979 +30.8657719871168|-55.912 -113.304  |9.41     |K2             |    ~     ~    |    1|   47.462   pc  |  -0.9299     +0.9299  |paral   |2020yCat.1350....0G
29  |BD+84 203                                                                                                                                   |Star                                |09 28 00.6619937104 +83 31 50.920464117|128.7885553970913 +31.0897080164323|   7.431 -4.036   |10.04    |F0             |    ~     ~    |    0|                |                       |        |                   
30  |BD+83 239                                                                                                                                   |Star                                |09 15 40.3181377128 +83 20 19.635040536|129.2066915881710 +30.9087439992011| -3.972 -11.189   |9.04     |A0             |    ~     ~    |    1|  504.617   pc  |  -5.7294     +5.7294  |paral   |2020yCat.1350....0G
31  |BD+83 241                                                                                                                                   |Star                                |09 20 46.9556469888 +83 07 59.551230216|129.3092323085177 +31.1478687727661|   0.151 -1.665   |10.58    |G5             |    ~     ~    |    1| 1093.733   pc  | -14.4746    +14.4746  |paral   |2020yCat.1350....0G
32  |BD+83 242                                                                                                                                   |Star                                |09 21 21.7187747808 +83 12 00.475717644|129.2333045327938 +31.1243721195647|  24.817 15.706   |10.07    |F0             |    ~     ~    |    1|  267.337   pc  |  -2.1441     +2.1441  |paral   |2020yCat.1350....0G
