C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:38:56

dec >=0&rah >=9.25&rah< 9.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 3041

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
117 |TYC 4541-1060-1                                                                                                                             |Star                                |09 29 56.2655718528 +75 56 20.509236420|136.2150148809662 +35.4661568278486|   12.224 3.010   |10.26    |K0             |    ~     ~    |    1|  652.614   pc  |  -4.7275     +4.7275  |paral   |2020yCat.1350....0G
118 |BD+76 344                                                                                                                                   |Star                                |09 19 38.5865138400 +75 36 55.648127664|136.9553769507334 +35.0931362989546| -12.028 -7.683   |10.14    |F0             |    ~     ~    |    1|  533.618   pc  |  -4.1573     +4.1573  |paral   |2020yCat.1350....0G
119 |BD+76 345                                                                                                                                   |Star                                |09 20 00.7422279888 +75 30 48.879528264|137.0495209373555 +35.1637099191400|   0.639 -2.160   |10.62    |A5             |    ~     ~    |    1|  607.903   pc  |  -5.8388     +5.8388  |paral   |2020yCat.1350....0G
120 |BD+76 346                                                                                                                                   |Star                                |09 22 31.1708579112 +75 34 19.636340448|136.8913658470167 +35.2696263407656|-10.314 -17.647   |9.64     |K2             |    ~     ~    |    1| 1235.483   pc  | -19.5382    +19.5382  |paral   |2020yCat.1350....0G
121 |HD 79987                                                                                                                                    |Star                                |09 22 43.3360468248 +75 40 52.712330232|136.7683992478478 +35.2249551014312|   13.472 3.477   |8.14     |A0             |    ~     ~    |    1|  288.625   pc  |  -1.8993     +1.8993  |paral   |2020yCat.1350....0G
122 |BD+75 366                                                                                                                                   |High Proper Motion Star             |09 15 04.7300968584 +75 21 20.200523544|137.4024422070464 +34.9695011174684| -60.716 21.422   |9.62     |F8             |    ~     ~    |    1|  176.333   pc  |  -0.4042     +0.4042  |paral   |2020yCat.1350....0G
123 |TYC 4541-1831-1                                                                                                                             |Star                                |09 16 23.0642115456 +76 53 29.979232332|135.7240939731741 +34.2923681128238|-10.934 -18.544   |10.62    |~              |    ~     ~    |    1|  257.288   pc  |  -0.7282     +0.7282  |paral   |2020yCat.1350....0G
124 |TYC 4541-2084-1                                                                                                                             |Spectroscopic Binary                |09 26 48.7393158936 +75 56 53.531776896|136.3297830228460 +35.3008012898777| -22.468 -1.811   |10.64    |~              |    ~     ~    |    1|  356.125   pc  |  -4.4008     +4.4008  |paral   |2020yCat.1350....0G
125 |TYC 4541-2119-1                                                                                                                             |Star                                |09 21 21.4297797432 +76 29 50.089237188|135.9630351145789 +34.7380587226816| -6.352 -26.902   |10.71    |~              |    ~     ~    |    1|  936.067   pc  | -10.2518    +10.2518  |paral   |2020yCat.1350....0G
126 |BD+73 450                                                                                                                                   |Star                                |09 15 26.8718638752 +73 12 00.781282584|139.7302838198163 +35.9959940347946| -2.936 -34.096   |9.42     |F8             |    ~     ~    |    1|  143.825   pc  |  -0.2875     +0.2875  |paral   |2020yCat.1350....0G
127 |BD+73 453                                                                                                                                   |Star                                |09 16 20.5626973728 +73 13 03.388030104|139.6745708656500 +36.0454767266904|-16.618 -11.498   |8.800    |G5             |    ~     ~    |    1|  438.962   pc  |  -3.5840     +3.5840  |paral   |2020yCat.1350....0G
128 |BD+76 347                                                                                                                                   |Star                                |09 22 40.1492937744 +75 25 13.604564748|137.0457502804113 +35.3546102568400|    8.498 4.113   |10.22    |F2             |    ~     ~    |    1|  312.872   pc  |  -1.3313     +1.3313  |paral   |2020yCat.1350....0G
129 |BD+76 352                                                                                                                                   |Star                                |09 27 23.5300641624 +75 24 08.687495736|136.8762665495697 +35.6186683309756|  42.176 22.973   |10.44    |G5             |    ~     ~    |    1|  189.405   pc  |  -0.6134     +0.6134  |paral   |2020yCat.1350....0G
130 |BD+76 353                                                                                                                                   |Star                                |09 29 22.4933535888 +75 31 42.885774264|136.6635176602599 +35.6573522039200|  1.373 -22.697   |10.20    |K0             |    ~     ~    |    1|  778.877   pc  |  -6.6125     +6.6125  |paral   |2020yCat.1350....0G
131 |BD+75 367                                                                                                                                   |High Proper Motion Star             |09 18 44.3289730008 +75 08 47.244180876|137.4892030327742 +35.2744088318749|-18.684 -47.610   |10.37    |A0             |    ~     ~    |    1|  360.946   pc  |  -2.5014     +2.5014  |paral   |2020yCat.1350....0G
132 |HD 80353                                                                                                                                    |Star                                |09 24 47.9993064552 +75 13 59.227544208|137.1590741315091 +35.5662202785073|-14.372 -24.132   |8.60     |G0             |    ~     ~    |    1|  133.481   pc  |  -0.2459     +0.2459  |paral   |2020yCat.1350....0G
133 |BD+76 354                                                                                                                                   |Star                                |09 29 24.5236983744 +75 24 23.187209688|136.7893013328130 +35.7243294077214|  -5.933 -8.986   |9.59     |K0             |    ~     ~    |    1|  632.271   pc  |  -4.5174     +4.5174  |paral   |2020yCat.1350....0G
134 |BD+75 368                                                                                                                                   |Star                                |09 19 43.9475236896 +74 51 50.346707904|137.7528147895047 +35.4686146471802|  -6.926 -5.827   |10.30    |K0             |    ~     ~    |    1|  752.276   pc  |  -5.6592     +5.6592  |paral   |2020yCat.1350....0G
135 |BD+75 369                                                                                                                                   |Star                                |09 21 27.2148499752 +74 35 09.245896440|137.9819733467904 +35.7040915652790|  -8.238 16.787   |10.50    |F5             |    ~     ~    |    1|  216.976   pc  |  -0.5885     +0.5885  |paral   |2020yCat.1350....0G
136 |HD 79870                                                                                                                                    |Star                                |09 22 01.6657389936 +74 54 45.756650736|137.6098814270634 +35.5745380628139| -20.603 -5.779   |7.41     |A2             |    ~     ~    |    1|  111.995   pc  |  -0.2070     +0.2070  |paral   |2020yCat.1350....0G
137 |BD+75 371                                                                                                                                   |Star                                |09 22 45.5322622320 +74 57 24.723577512|137.5336229712031 +35.5935261959879|    3.786 2.894   |9.92     |G5             |    ~     ~    |    1|  837.170   pc  |  -9.6718     +9.6718  |paral   |2020yCat.1350....0G
138 |BD+75 372                                                                                                                                   |Star                                |09 22 50.7680018208 +74 50 50.856671400|137.6464881847377 +35.6534039645121| 11.293 -31.137   |9.55     |G5             |    ~     ~    |    1|  122.386   pc  |  -0.2352     +0.2352  |paral   |2020yCat.1350....0G
139 |HD 80195                                                                                                                                    |Star                                |09 23 49.6575128184 +74 58 31.096934220|137.4709966873203 +35.6440384664252|-20.378 -17.412   |8.02     |K2             |    ~     ~    |    1|  412.899   pc  |  -2.7619     +2.7619  |paral   |2020yCat.1350....0G
140 |BD+75 375                                                                                                                                   |High Proper Motion Star             |09 25 37.6530420456 +74 23 37.782943944|138.0143581859984 +36.0418212201060|-63.966 -34.903   |9.48     |F2             |    ~     ~    |    1|  176.938   pc  |  -0.3632     +0.3632  |paral   |2020yCat.1350....0G
141 |BD+75 376                                                                                                                                   |Star                                |09 27 37.7425679112 +75 18 17.947008756|136.9686160142822 +35.6825832692406|  -1.734 -1.047   |10.54    |K2             |    ~     ~    |    1| 1236.858   pc  | -21.1115    +21.1115  |paral   |2020yCat.1350....0G
142 |HD 80930                                                                                                                                    |Star                                |09 27 51.5776615392 +75 05 53.959496676|137.1758403163386 +35.8035699889923|  -5.961 20.651   |6.200    |A5Vs           |    ~     ~    |    1|  159.236   pc  |  -0.9027     +0.9027  |paral   |2020yCat.1350....0G
143 |BD+75 378                                                                                                                                   |Star                                |09 28 37.7148092784 +74 22 43.771932912|137.9015693706602 +36.2226599119062|  4.216 -37.081   |9.90     |G0             |    ~     ~    |    1|  239.458   pc  |  -0.7741     +0.7741  |paral   |2020yCat.1350....0G
144 |HD 79517                                                                                                                                    |High Proper Motion Star             |09 19 55.6989559704 +74 00 59.762117988|138.6566426145389 +35.8919878822929|-40.484 -64.254   |6.400    |G8III          |    ~     ~    |    1|  128.591   pc  |  -0.3009     +0.3009  |paral   |2020yCat.1350....0G
145 |AG+74 243                                                                                                                                   |Long-Period Variable Candidate      |09 28 03.6136738800 +74 45 22.418517348|137.5273348324497 +35.9936432280814|  -4.509 -8.729   |9.93     |M2             |    ~     ~    |    1| 1830.5     pc  | -53.6115    +53.6115  |paral   |2020yCat.1350....0G
146 |BD+74 396                                                                                                                                   |Star                                |09 28 12.8816806584 +74 17 32.394571620|138.0111879429990 +36.2437195958196|  35.591 -7.176   |10.81    |G0             |    ~     ~    |    1|  273.418   pc  |  -0.8971     +0.8971  |paral   |2020yCat.1350....0G
147 |BD+74 392                                                                                                                                   |Star                                |09 19 24.6030656424 +73 27 45.131159124|139.2794887505053 +36.1253377819897|  -1.662 27.306   |9.53     |F8             |    ~     ~    |    1|  225.240   pc  |  -0.7153     +0.7153  |paral   |2020yCat.1350....0G
148 |TYC 4382-901-1                                                                                                                              |Star                                |09 22 53.8636708632 +73 34 28.889992668|139.0098259696718 +36.2878880781737|  -4.926 -1.130   |10.42    |G5             |    ~     ~    |    1| 3104.626   pc  |-111.8089   +111.8089  |paral   |2020yCat.1350....0G
149 |HD 80114                                                                                                                                    |Star                                |09 22 52.5075444744 +73 32 25.312793820|139.0479281061741 +36.3033100930789| 17.652 -23.463   |9.40     |G              |    ~     ~    |    1|  146.761   pc  |  -0.2542     +0.2542  |paral   |2020yCat.1350....0G
150 |HD 79907                                                                                                                                    |Star                                |09 21 30.7933434648 +72 51 29.577647844|139.8491369387360 +36.5470328811036|    0.847 0.693   |9.46     |F5             |    ~     ~    |    1|  249.495   pc  |  -0.8590     +0.8590  |paral   |2020yCat.1350....0G
151 |BD+73 457                                                                                                                                   |Star                                |09 22 55.5493558944 +72 58 09.851021616|139.6656384071998 +36.5845450076733|-16.763 -18.299   |9.38     |F8             |    ~     ~    |    1|  133.683   pc  |  -0.2377     +0.2377  |paral   |2020yCat.1350....0G
152 |BD+73 459                                                                                                                                   |High Proper Motion Star             |09 24 38.7525302472 +73 10 24.681026460|139.3676366503202 +36.5940172999920| 107.108 80.599   |9.30     |G5             |    ~     ~    |    1|   89.493   pc  |  -0.1105     +0.1105  |paral   |2020yCat.1350....0G
153 |BD+73 461                                                                                                                                   |Star                                |09 24 41.1318455976 +72 53 00.952036836|139.6805586149231 +36.7391473699120| -15.542 10.320   |9.39     |K0             |    ~     ~    |    1|  475.828   pc  |  -2.8302     +2.8302  |paral   |2020yCat.1350....0G
154 |HD 80711                                                                                                                                    |Star                                |09 26 00.0281695776 +73 16 09.738612012|139.2035191220526 +36.6312963586328| 11.808 -41.508   |8.60     |G5             |    ~     ~    |    1|  357.590   pc  |  -2.0587     +2.0587  |paral   |2020yCat.1350....0G
155 |HD 81190                                                                                                                                    |Star                                |09 28 49.3733330112 +72 58 46.779129948|139.3871134260461 +36.9542039375933|    1.094 4.467   |9.56     |A              |    ~     ~    |    1|  289.009   pc  |  -1.3865     +1.3865  |paral   |2020yCat.1350....0G
156 |HD 81296                                                                                                                                    |Star                                |09 29 13.9258509408 +72 33 53.003251908|139.8161391195700 +37.1906712828247|-22.639 -28.575   |9.11     |A3             |    ~     ~    |    1|  204.574   pc  |  -0.5734     +0.5734  |paral   |2020yCat.1350....0G
157 |TYC 4382-394-1                                                                                                                              |Star                                |09 20 03.6829807944 +74 13 23.959711272|138.4280004674702 +35.7999701553272|    0.306 5.558   |10.36    |~              |    ~     ~    |    1|  900.495   pc  | -10.2983    +10.2983  |paral   |2020yCat.1350....0G
158 |TYC 4382-414-1                                                                                                                              |Star                                |09 22 34.3165447824 +74 18 43.727751612|138.2295279445317 +35.9047178008853|    3.556 0.246   |10.83    |~              |    ~     ~    |    1|  860.733   pc  |  -7.6309     +7.6309  |paral   |2020yCat.1350....0G
159 |TYC 4382-536-1                                                                                                                              |Star                                |09 21 13.0524989472 +74 04 11.069391720|138.5461767691495 +35.9436751390913|-19.112 -30.396   |10.69    |~              |    ~     ~    |    1|  254.913   pc  |  -0.8058     +0.8058  |paral   |2020yCat.1350....0G
160 |TYC 4382-590-1                                                                                                                              |Star                                |09 19 55.7185796184 +73 24 20.209076172|139.3197260245422 +36.1849289921739|  -8.787 -3.993   |10.56    |~              |    ~     ~    |    1|  943.129   pc  | -17.1672    +17.1672  |paral   |2020yCat.1350....0G
161 |TYC 4382-624-1                                                                                                                              |Star                                |09 26 41.7827465208 +73 08 10.948988400|139.3157400075307 +36.7413753684686|   1.119 -2.901   |10.73    |~              |    ~     ~    |    1|  326.073   pc  |  -1.6055     +1.6055  |paral   |2020yCat.1350....0G
162 |TYC 4382-680-1                                                                                                                              |Star                                |09 23 32.9772539976 +74 07 08.598914148|138.3957681622849 +36.0583675998528|   -0.444 0.452   |10.92    |~              |    ~     ~    |    1| 1689.189   pc  | -31.6723    +31.6723  |paral   |2020yCat.1350....0G
163 |TYC 4382-780-1                                                                                                                              |Red Giant Branch star Candidate     |09 28 22.0212613392 +73 09 54.519146280|139.2084464504636 +36.8313731239448| -25.004 -8.411   |10.32    |~              |    ~     ~    |    1|  737.953   pc  |  -6.8072     +6.8072  |paral   |2020yCat.1350....0G
164 |TYC 4382-846-1                                                                                                                              |Star                                |09 23 22.5009213960 +72 53 13.492225896|139.7354357757197 +36.6532865465439|  -6.173 -2.885   |10.22    |~              |    ~     ~    |    1|  909.835   pc  | -10.5958    +10.5958  |paral   |2020yCat.1350....0G
165 |TYC 4382-861-1                                                                                                                              |Star                                |09 18 14.7097142856 +73 50 01.834348524|138.9235161055988 +35.8770320995689|    0.756 0.853   |10.49    |~              |    ~     ~    |    1| 1199.328   pc  | -16.6853    +16.6853  |paral   |2020yCat.1350....0G
166 |TYC 4382-866-1                                                                                                                              |Star                                |09 20 52.2078297216 +73 34 05.626652268|139.1031925689934 +36.1657353594596|   1.035 -0.044   |10.71    |~              |    ~     ~    |    1| 1218.769   pc  | -19.0131    +19.0131  |paral   |2020yCat.1350....0G
167 |TYC 4382-881-1                                                                                                                              |Star                                |09 28 54.9107894880 +74 08 13.588841364|138.1451627066825 +36.3649909844173|  -3.545 -6.232   |10.67    |~              |    ~     ~    |    1|  919.371   pc  |  -9.8893     +9.8893  |paral   |2020yCat.1350....0G
168 |TYC 4382-911-1                                                                                                                              |Star                                |09 26 34.1405478576 +73 41 38.124199176|138.7214582979927 +36.4527517074202|  -8.698 -1.926   |10.52    |~              |    ~     ~    |    1|  538.619   pc  |  -4.0615     +4.0615  |paral   |2020yCat.1350....0G
169 |TYC 4382-919-1                                                                                                                              |Star                                |09 27 41.6128638816 +74 10 16.829416560|138.1623436130094 +36.2759157629629|    5.685 2.916   |10.20    |~              |    ~     ~    |    1|  249.190   pc  |  -0.7017     +0.7017  |paral   |2020yCat.1350....0G
170 |BD+73 454                                                                                                                                   |Spectroscopic Binary                |09 18 43.6241935944 +73 00 59.621657616|139.7957390123690 +36.2920914498689|  50.654 67.655   |9.27     |~              |    ~     ~    |    1|  122.953   pc  |  -1.6070     +1.6070  |paral   |2020yCat.1350....0G
171 |TYC 4382-1104-1                                                                                                                             |Spectroscopic Binary                |09 20 55.6785879408 +72 59 04.885801260|139.7363372535267 +36.4489524277686|   32.140 7.181   |10.46    |~              |    ~     ~    |    1|  410.829   pc  |  -9.0129     +9.0129  |paral   |2020yCat.1350....0G
172 |TYC 4382-1113-1                                                                                                                             |Star                                |09 24 09.8288205696 +72 36 12.096860796|140.0095606805092 +36.8421590025932| -6.588 -12.339   |9.66     |~              |    ~     ~    |    1|  523.451   pc  |  -3.6990     +3.6990  |paral   |2020yCat.1350....0G
173 |TYC 4382-1114-1                                                                                                                             |Red Giant Branch star Candidate     |09 28 58.7403656928 +72 51 50.596854588|139.5045002421940 +37.0227939031954|   -9.668 3.256   |10.29    |~              |    ~     ~    |    1|  772.559   pc  |  -7.3412     +7.3412  |paral   |2020yCat.1350....0G
174 |TYC 4382-1176-1                                                                                                                             |Star                                |09 25 04.6730616840 +74 11 09.098001096|138.2595133924934 +36.1151479983615|-21.074 -14.766   |10.51    |~              |    ~     ~    |    1|  365.805   pc  |  -9.6747     +9.6747  |paral   |2020yCat.1350....0G
175 |TYC 4382-1299-1                                                                                                                             |Star                                |09 19 18.4610408904 +72 53 46.136879484|139.9030904813093 +36.3860668870244|-17.531 -19.148   |10.94    |~              |    ~     ~    |    1|  352.175   pc  |  -2.0588     +2.0588  |paral   |2020yCat.1350....0G
176 |TYC 4382-1350-1                                                                                                                             |Star                                |09 20 24.0788960232 +73 13 02.159930244|139.5050037149755 +36.3045027824932|   -4.208 4.686   |10.27    |~              |    ~     ~    |    1|  769.823   pc  |  -7.3486     +7.3486  |paral   |2020yCat.1350....0G
177 |TYC 4382-1386-1                                                                                                                             |Spectroscopic Binary                |09 24 30.4493713272 +73 07 05.143743516|139.4338750949482 +36.6125963335329|  -6.410 -7.672   |10.42    |~              |    ~     ~    |    1| 2155.637   pc  | -71.5603    +71.5603  |paral   |2020yCat.1350....0G
178 |TYC 4382-1446-1                                                                                                                             |Spectroscopic Binary                |09 17 33.4931097672 +73 39 53.227751220|139.1355209538780 +35.9143770568398|  7.620 -10.360   |10.23    |~              |    ~     ~    |    1|  628.615   pc  | -16.9522    +16.9522  |paral   |2020yCat.1350....0G
179 |TYC 4382-1468-1                                                                                                                             |Star                                |09 27 03.6342176904 +73 33 08.119822788|138.8516154131924 +36.5543608439897|    3.276 1.148   |10.06    |~              |    ~     ~    |    1|  181.785   pc  |  -0.4296     +0.4296  |paral   |2020yCat.1350....0G
180 |TYC 4541-1645-1                                                                                                                             |Spectroscopic Binary                |09 21 16.6838296152 +75 02 14.634015432|137.5068287495566 +35.4702637214597|  4.355 -54.104   |10.92    |~              |    ~     ~    |    1|  277.239   pc  |  -7.2480     +7.2480  |paral   |2020yCat.1350....0G
181 |BD+73 462                                                                                                                                   |Star                                |09 24 40.2708612408 +72 30 24.710801040|140.0918690570569 +36.9223029930826|  -1.793 -5.047   |9.61     |M5/6           |    ~     ~    |    1| 1010.714   pc  | -19.2050    +19.2050  |paral   |2020yCat.1350....0G
182 |BD+73 451                                                                                                                                   |Star                                |09 15 44.0163523872 +72 54 43.086703176|140.0360736965469 +36.1457583841671|   -2.831 1.506   |9.51     |~              |    ~     ~    |    1|  393.825   pc  |  -1.9697     +1.9697  |paral   |2020yCat.1350....0G
183 |HD 78935                                                                                                                                    |High Proper Motion Star             |09 15 52.5789821184 +72 56 46.768111512|139.9922869580940 +36.1394585131062|-85.956 -56.819   |5.930    |F0III          |    ~     ~    |    1|   89.314   pc  |  -0.2242     +0.2242  |paral   |2020yCat.1350....0G
184 |HD 79338                                                                                                                                    |Star                                |09 18 04.0299434496 +72 11 24.554115708|140.7353112685363 +36.6302748704988|-27.369 -26.488   |8.36     |A3             |    ~     ~    |    1|  277.331   pc  |  -1.3690     +1.3690  |paral   |2020yCat.1350....0G
185 |BD+72 451                                                                                                                                   |Star                                |09 21 24.2333111352 +72 14 54.115478232|140.5235731091754 +36.8289719379777|-27.226 -27.804   |9.31     |K0             |    ~     ~    |    1|  482.462   pc  |  -2.6536     +2.6536  |paral   |2020yCat.1350....0G
186 |BD+72 452                                                                                                                                   |Star                                |09 21 52.5754060848 +72 12 24.140739276|140.5482400290533 +36.8804042396377| -15.125 -2.904   |9.37     |K0             |    ~     ~    |    1|  521.921   pc  |  -2.9419     +2.9419  |paral   |2020yCat.1350....0G
187 |BD+72 447                                                                                                                                   |Star                                |09 16 11.7713451504 +71 39 26.544442896|141.4100538950424 +36.7404169924014| -14.557 -9.996   |8.97     |K2             |    ~     ~    |    1|  817.194   pc  | -10.0839    +10.0839  |paral   |2020yCat.1350....0G
188 |TYC 4379-26-1                                                                                                                               |Star                                |09 16 04.3491162480 +72 03 30.757724568|140.9676791973180 +36.5531867024401|  -0.020 -3.105   |10.39    |~              |    ~     ~    |    1| 1751.007   pc  | -40.4715    +40.4715  |paral   |2020yCat.1350....0G
189 |TYC 4379-47-1                                                                                                                               |Spectroscopic Binary                |09 15 23.6213512848 +72 22 45.461362620|140.6398215190549 +36.3633629559757|-28.861 -41.365   |10.93    |~              |    ~     ~    |    1|  438.231   pc  |  -4.3979     +4.3979  |paral   |2020yCat.1350....0G
190 |IRAS 09118+7217                                                                                                                             |Star                                |09 16 14.8193894832 +72 06 18.681595092|140.9082789856832 +36.5443080088936|   1.560 -3.066   |10.18    |~              |    ~     ~    |    1| 1359.619   pc  | -27.9133    +27.9133  |paral   |2020yCat.1350....0G
191 |TYC 4379-471-1                                                                                                                              |High Proper Motion Star             |09 15 07.2825507864 +72 00 40.236641604|141.0610750174142 +36.5085741734627|-40.401 -56.011   |9.93     |~              |    ~     ~    |    1|  251.876   pc  |  -0.8755     +0.8755  |paral   |2020yCat.1350....0G
192 |TYC 4379-517-1                                                                                                                              |Star                                |09 15 39.9578596728 +71 42 50.602137552|141.3696463351170 +36.6779787727504|    0.151 7.812   |10.98    |~              |    ~     ~    |    1|  147.484   pc  |  -0.2240     +0.2240  |paral   |2020yCat.1350....0G
193 |TYC 4379-866-1                                                                                                                              |Spectroscopic Binary                |09 22 38.0413959264 +72 23 37.589169480|140.3082878706398 +36.8422669619215|-25.550 -20.518   |10.87    |~              |    ~     ~    |    1|  429.682   pc  |  -2.2894     +2.2894  |paral   |2020yCat.1350....0G
194 |HD 79300                                                                                                                                    |Star                                |09 17 16.1332474416 +69 05 36.467702268|144.2697696438313 +37.9289233293998|   -5.758 1.735   |8.63     |G5             |    ~     ~    |    1|  393.097   pc  |  -2.4879     +2.4879  |paral   |2020yCat.1350....0G
195 |BD+72 454                                                                                                                                   |Star                                |09 27 27.0125248824 +71 55 29.204051664|140.5984440785257 +37.3922444681884|    7.618 8.169   |8.56     |K2             |    ~     ~    |    1|  455.685   pc  |  -3.5093     +3.5093  |paral   |2020yCat.1350....0G
196 |BD+72 448                                                                                                                                   |High Proper Motion Star             |09 16 44.2283636664 +71 29 30.990063372|141.5715224669923 +36.8521149630801|15.417 -119.944   |9.24     |F8             |    ~     ~    |    1|  265.647   pc  |  -0.9597     +0.9597  |paral   |2020yCat.1350....0G
197 |HD 79608                                                                                                                                    |Star                                |09 19 44.9312715240 +71 39 39.538364292|141.2485829272660 +36.9882692139872|  -3.438 -9.064   |8.06     |K2             |    ~     ~    |    1|  350.926   pc  |  -2.1305     +2.1305  |paral   |2020yCat.1350....0G
198 |BD+71 496                                                                                                                                   |Star                                |09 17 22.2132399936 +71 20 01.370462136|141.7207662392606 +36.9676170623344|  -10.741 1.335   |9.05     |M2             |    ~     ~    |    1|  786.287   pc  | -12.7359    +12.7359  |paral   |2020yCat.1350....0G
199 |NGC 2810                           NGC 2810                                                                                                 |Galaxy                              |09 22 04.5015145728 +71 50 38.436659340|140.9396997119675 +37.0647226649241|            ~ ~   |     ~   |~              |0.950 0.836    |    1|   49.7     Mpc |                       |        |2008MNRAS.389.1924F
200 |BD+72 455                                                                                                                                   |Star                                |09 27 32.9997999192 +71 25 51.134654928|141.1364781457615 +37.6410161297824| -20.937 19.745   |9.40     |K0             |    ~     ~    |    1|  486.547   pc  |  -2.7697     +2.7697  |paral   |2020yCat.1350....0G
201 |BD+71 494                                                                                                                                   |High Proper Motion Star             |09 16 00.1834723896 +70 45 09.335144736|142.4360202136284 +37.1229138950571|-13.775 -63.931   |9.95     |K0             |    ~     ~    |    1|  230.712   pc  |  -0.6068     +0.6068  |paral   |2020yCat.1350....0G
202 |HD 79594                                                                                                                                    |Star                                |09 19 32.9314173528 +71 05 39.126224220|141.8907011602371 +37.2317367415529|-16.710 -43.191   |9.27     |G              |    ~     ~    |    1|  214.482   pc  |  -0.6256     +0.6256  |paral   |2020yCat.1350....0G
203 |HD 79720                                                                                                                                    |Star                                |09 19 47.6467687248 +70 24 44.138376108|142.6466326846585 +37.5554137334603|-14.346 -40.587   |9.16     |G              |    ~     ~    |    1|  240.171   pc  |  -0.8191     +0.8191  |paral   |2020yCat.1350....0G
204 |HD 80021                                                                                                                                    |Star                                |09 21 41.9803478304 +70 53 37.799278008|142.0150590100181 +37.4787984338594|   -0.837 6.686   |9.16     |G5             |    ~     ~    |    1|  239.000   pc  |  -0.8397     +0.8397  |paral   |2020yCat.1350....0G
205 |HD 80730                                                                                                                                    |Star                                |09 25 24.0457717224 +70 26 41.567361072|142.3386784472269 +37.9581978899811|   -9.056 6.183   |8.58     |G5             |    ~     ~    |    1|  364.431   pc  |  -2.2976     +2.2976  |paral   |2020yCat.1350....0G
206 |HD 79315                                                                                                                                    |Star                                |09 17 31.1624923944 +69 52 24.670803576|143.3646229418279 +37.6173385692177|   1.903 -2.962   |7.07     |K0             |    ~     ~    |    1|  243.333   pc  |  -0.9770     +0.9770  |paral   |2020yCat.1350....0G
207 |HD 80842                                                                                                                                    |Star                                |09 26 11.4673607256 +70 20 57.870130452|142.4061549195687 +38.0615553616706| 21.799 -10.045   |7.34     |G5             |    ~     ~    |    1|  212.242   pc  |  -0.7793     +0.7793  |paral   |2020yCat.1350....0G
208 |BD+70 556                                                                                                                                   |Spectroscopic Binary                |09 15 30.1280584704 +69 24 37.675345176|143.9881751764234 +37.6542350008675|  -3.426 -1.909   |9.63     |K2             |    ~     ~    |    1| 1012.556   pc  | -37.4223    +37.4223  |paral   |2020yCat.1350....0G
209 |HD 80259                                                                                                                                    |Star                                |09 22 33.0718451136 +69 26 23.502857136|143.6161003671250 +38.2003606101361|   12.415 0.606   |9.71     |A2             |    ~     ~    |    1|  386.011   pc  |  -3.2334     +3.2334  |paral   |2020yCat.1350....0G
210 |HD 81356                                                                                                                                    |Pulsating Variable                  |09 28 59.4359352960 +69 23 00.289117680|143.3484135090857 +38.7292406152709| -8.622 -12.258   |9.21     |A              |    ~     ~    |    1|  474.226   pc  |  -6.2969     +6.2969  |paral   |2020yCat.1350....0G
211 |HD 79518                                                                                                                                    |Spectroscopic Binary                |09 18 34.9589976168 +69 05 29.387691780|144.2091633659139 +38.0359723079035|    5.188 3.445   |8.49     |K              |    ~     ~    |    1|  769.349   pc  | -11.3644    +11.3644  |paral   |2020yCat.1350....0G
212 |TYC 4376-896-1                                                                                                                              |Star                                |09 21 41.9327273304 +69 04 23.513434752|144.0773727421554 +38.2947405420968|-14.231 -11.875   |9.98     |G0             |    ~     ~    |    1|  625.626   pc  |  -4.6186     +4.6186  |paral   |2020yCat.1350....0G
213 |BD+69 516                                                                                                                                   |Star                                |09 21 35.0063172216 +69 04 32.853053352|144.0801533655975 +38.2843380719448|    1.325 1.273   |10.09    |G0             |    ~     ~    |    1|  316.576   pc  |  -1.8541     +1.8541  |paral   |2020yCat.1350....0G
214 |HD 80365                                                                                                                                    |High Proper Motion Star             |09 23 16.7575341624 +69 21 11.691101952|143.6783203699577 +38.2963672383010|-59.733 -46.241   |7.35     |K5             |    ~     ~    |    1|  263.283   pc  | -10.8690    +10.8690  |paral   |2020yCat.1350....0G
215 |HD 80532                                                                                                                                    |Star                                |09 24 06.5197200504 +68 51 40.476922560|144.1980710905562 +38.5823794326368|  5.390 -37.640   |7.66     |K2             |    ~     ~    |    1|  352.410   pc  |  -2.3348     +2.3348  |paral   |2020yCat.1350....0G
216 |TYC 4376-1497-1                                                                                                                             |Star                                |09 17 48.2570288448 +69 31 40.545949656|143.7459202084904 +37.7877264302938|   -3.100 0.289   |10.09    |M3/4           |    ~     ~    |    1| 1530.690   pc  | -41.2370    +41.2370  |paral   |2020yCat.1350....0G
217 |TYC 4376-541-1                                                                                                                              |Star                                |09 23 27.8735044680 +69 42 44.797058604|143.2607826805997 +38.1491063030790|    9.679 1.530   |9.67     |~              |    ~     ~    |    1|  162.056   pc  |  -0.3519     +0.3519  |paral   |2020yCat.1350....0G
