C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:35:45

dec< 0&rah >=21.0&rah< 21.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3999

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
241 |HD 201390                                                                                                |Star                                |21 10 05.9462548560 -29 43 15.807910800|016.1067292104141 -41.7347704575265|  12.341 -4.812   |6.64     |K4/5III        |    ~     ~    |    1|  337.450   pc  |  -3.4845     +3.4845    |paral   |2020yCat.1350....0G
242 |CD-30 18365                                                                                              |Star                                |21 04 14.9087103912 -29 53 28.248635652|015.5526367129074 -40.5241783577151|   3.777 -3.263   |10.107   |K0             |    ~     ~    |    1| 1305.350   pc  |-107.5000   +107.5000    |ST-L    |2020AJ....160...83S
243 |* del Mic                                                                                                |Horizontal Branch Star              |21 06 01.1380301064 -30 07 30.523215864|015.3498714744757 -40.9461323451962| 47.229 -64.071   |5.687    |K0/1III        |    ~     ~    |    1|   89.411   pc  |  -2.9075     +2.9075    |paral   |2020yCat.1350....0G
244 |CD-30 18397                                                                                              |Double or Multiple Star             |21 07 33.0159405951 -30 10 56.677768149|015.3600513994917 -41.2819823192267|-27.118 -16.036   |10.75    |G0             |    ~     ~    |    1|  358.164   pc  | -77.0900    +77.0900    |ST-L    |2020AJ....160...83S
245 |CD-30 18401                                                                                              |Star                                |21 08 12.7068086016 -30 01 53.152883832|015.5939686138978 -41.3934114010279|   3.659 -4.870   |9.95     |K              |    ~     ~    |    1| 1034.554   pc  | -23.6537    +23.6537    |paral   |2020yCat.1350....0G
246 |HD 201204                                                                                                |High Proper Motion Star             |21 08 55.0123053912 -30 02 36.363843060|015.6173342774615 -41.5454773420875|  55.337 15.103   |9.38     |F6V            |    ~     ~    |    1|  121.772   pc  |  -0.3737     +0.3737    |paral   |2020yCat.1350....0G
247 |CD-30 18412                                                                                              |Star                                |21 09 47.7409786104 -30 07 18.332195664|015.5627798071261 -41.7470077153170|   37.192 9.083   |10.94    |F5             |    ~     ~    |    1|  355.736   pc  | -10.6700    +10.6700    |ST-L    |2020AJ....160...83S
248 |CD-30 18413                                                                                              |Star                                |21 09 58.6051354248 -30 07 16.879096560|015.5732150513377 -41.7853829794875| -7.193 -21.203   |10.204   |F8             |    ~     ~    |    1|  267.207   pc  |  -9.1440     +9.1440    |ST-L    |2020AJ....160...83S
249 |CD-30 18424                                                                                              |Long-Period Variable Candidate      |21 11 03.5600603904 -30 15 39.484736460|015.4475722613970 -42.0412628652254|  -3.289 -1.354   |10.6     |~              |    ~     ~    |    1| 2082.47    pc  |-127.064    +127.064     |paral   |2020yCat.1350....0G
250 |HD 201368                                                                                                |Star                                |21 10 05.1574146384 -30 29 39.796674216|015.0871454931074 -41.8777894443281|  0.893 -24.921   |9.33     |K2III          |    ~     ~    |    1|  690.417   pc  | -11.6786    +11.6786    |paral   |2020yCat.1350....0G
251 |CD-28 17095                                                                                              |Star                                |21 05 03.4425797376 -28 29 40.916345136|017.3959858194595 -40.4036109216758|  3.106 -13.822   |9.999    |~              |    ~     ~    |    1|  542.615   pc  | -24.1900    +24.1900    |ST-L    |2020AJ....160...83S
252 |CD-29 17583                                                                                              |Star                                |21 09 13.3306192656 -28 49 37.837505280|017.2251294186950 -41.3672288489770| -8.433 -11.809   |10.77    |~              |    ~     ~    |    1|  210.230   pc  |  -5.2152     +5.2152    |paral   |2020yCat.1350....0G
253 |CD-29 17540                                                                                              |Star                                |21 05 46.4203731048 -29 18 27.018298836|016.3945177322561 -40.7299233376561|   2.254 -0.399   |10.253   |~              |    ~     ~    |    1|  658.318   pc  | -25.7900    +25.7900    |ST-L    |2020AJ....160...83S
254 |CD-29 17543                                                                                              |Star                                |21 06 02.8745252256 -28 34 01.600470120|017.3654459495386 -40.6317272207451|   10.762 2.458   |10.22    |~              |    ~     ~    |    1| 1563.722   pc  | -78.0027    +78.0027    |paral   |2020yCat.1350....0G
255 |CD-29 17547                                                                                              |Star                                |21 06 15.0662325936 -28 37 08.207039064|017.3114606614594 -40.6864920213501|  -9.005 -8.725   |10.45    |~              |    ~     ~    |    1|  460.151   pc  |  -6.4157     +6.4157    |paral   |2020yCat.1350....0G
256 |CD-30 18393                                                                                              |Star                                |21 07 01.2694502160 -29 37 05.208416940|016.0653388754803 -41.0590033500933|   5.584 -3.760   |10.182   |~              |    ~     ~    |    1|  405.221   pc  | -16.4900    +16.4900    |ST-L    |2020AJ....160...83S
257 |CD-28 17118                                                                                              |Star                                |21 07 10.2854211648 -28 26 26.695543272|017.5989608651991 -40.8452408821268|  13.782 -4.352   |10.58    |~              |    ~     ~    |    1|  688.516   pc  | -16.7341    +16.7341    |paral   |2020yCat.1350....0G
258 |HD 199885                                                                                                |Star                                |21 00 45.9944367888 -28 19 16.260876228|017.3417500017741 -39.4451657111123| 18.079 -19.875   |8.64     |K0III          |    ~     ~    |    1|  356.824   pc  |  -3.3359     +3.3359    |paral   |2020yCat.1350....0G
259 |HD 199901                                                                                                |Star                                |21 00 53.2952426400 -27 54 47.723171904|017.8635635024436 -39.3774240888455| 16.672 -35.799   |9.34     |K2/3III        |    ~     ~    |    1|  423.256   pc  | -13.0400    +13.0400    |ST-L    |2020AJ....160...83S
260 |HD 199916                                                                                                |Star                                |21 00 58.7558971608 -28 13 40.232929188|017.4732829562528 -39.4694924426011|    8.522 3.020   |8.57     |K1III          |    ~     ~    |    1|  447.888   pc  |  -5.4965     +5.4965    |paral   |2020yCat.1350....0G
261 |HD 199950                                                                                                |High Proper Motion Star             |21 01 11.5514270520 -28 10 21.326613276|017.5568949378407 -39.5026036310813| 73.806 -26.252   |9.798    |G5/6(IV)+(A)   |    ~     ~    |    1|  151.642   pc  |  -2.1590     +2.1590    |ST-L    |2020AJ....160...83S
262 |CD-29 17470                                                                                              |Star                                |21 00 02.6648817384 -29 05 41.226019332|016.3193320309836 -39.4629852321487|  30.505 11.397   |10.73    |~              |    ~     ~    |    1|  284.544   pc  |  -1.5545     +1.5545    |paral   |2020yCat.1350....0G
263 |HD 199752                                                                                                |Star                                |21 00 03.9134183976 -29 28 37.307350668|015.8367784110460 -39.5496606308095| -7.221 -32.916   |9.01     |K3III          |    ~     ~    |    1|  348.979   pc  |  -2.3505     +2.3505    |paral   |2020yCat.1350....0G
264 |HD 199795                                                                                                |Star                                |21 00 19.2700384824 -29 00 06.840639684|016.4538789748775 -39.5017411603525|  11.681 -9.762   |10.13    |F0V            |    ~     ~    |    1|  324.034   pc  |  -2.6984     +2.6984    |paral   |2020yCat.1350....0G
265 |HD 199858                                                                                                |Star                                |21 00 41.5773695808 -28 47 07.260435708|016.7509181149520 -39.5335049700254|  13.975 -8.991   |9.22     |F2V            |    ~     ~    |    1|  177.029   pc  |  -0.8023     +0.8023    |paral   |2020yCat.1350....0G
266 |HD 199928                                                                                                |High Proper Motion Star             |21 01 04.1688130536 -28 52 35.856736140|016.6589584122496 -39.6340468033087|-36.858 -45.810   |9.37     |G3V            |    ~     ~    |    1|   74.476   pc  |  -1.6412     +1.6412    |paral   |2020yCat.1350....0G
267 |CD-29 17492                                                                                              |Star                                |21 02 04.4390621760 -28 41 52.758610044|016.9484508792356 -39.8094653732128|   29.579 3.945   |10.33    |~              |    ~     ~    |    1|  222.836   pc  |  -1.6089     +1.6089    |paral   |2020yCat.1350....0G
268 |CD-29 17496                                                                                              |Star                                |21 02 13.2662230344 -28 50 33.855308736|016.7737338546510 -39.8726708696546|  14.595 -0.968   |10.42    |~              |    ~     ~    |    1|  147.895   pc  |  -1.7510     +1.7510    |ST-L    |2020AJ....160...83S
269 |HD 200199                                                                                                |alpha2 CVn Variable                 |21 02 56.4959666280 -29 06 37.241557632|016.4771356032634 -40.0843029747582|  10.452 -2.951   |7.00     |A2V(p)         |    ~     ~    |    1|  289.939   pc  |  -3.6148     +3.6148    |paral   |2020yCat.1350....0G
270 |CD-30 18321                                                                                              |Spectroscopic Binary                |21 00 22.0859415264 -29 38 01.266296784|015.6561126974037 -39.6471297657435|   1.701 -9.012   |9.46     |~              |    ~     ~    |    1|  848.392   pc  | -41.1708    +41.1708    |paral   |2020yCat.1350....0G
271 |CD-30 18324                                                                                              |Star                                |21 00 29.7100741752 -29 37 54.325505820|015.6660878347617 -39.6737228962157| -4.011 -39.917   |10.491   |~              |    ~     ~    |    1| 1352.240   pc  |-125.6000   +125.6000    |ST-L    |2020AJ....160...83S
272 |HD 199917                                                                                                |Star                                |21 01 03.2987240880 -29 43 43.174833528|015.5758362172588 -39.8128586154551| 15.815 -40.711   |7.08     |A2III/IV       |    ~     ~    |    1|  120.364   pc  |  -0.5331     +0.5331    |paral   |2020yCat.1350....0G
273 |HD 199929                                                                                                |Star                                |21 01 06.4673624760 -29 45 00.401217804|015.5516091082017 -39.8285222696025| 17.506 -40.890   |8.14     |F0V            |    ~     ~    |    1|  120.579   pc  |  -0.4027     +0.4027    |paral   |2020yCat.1350....0G
274 |HD 200053                                                                                                |Star                                |21 01 55.5287211336 -29 39 18.738328104|015.7206212085881 -39.9825573110141| 16.341 -22.939   |9.65     |K1III          |    ~     ~    |    1|  262.569   pc  |  -4.6780     +4.6780    |ST-L    |2020AJ....160...83S
275 |NGC 6999                           NGC 6999                                                              |Brightest Galaxy in a Cluster (BCG) |21 01 59.5296693456 -28 03 31.640927364|017.7530194999783 -39.6481610906376|            ~ ~   |     ~   |~              |0.657 0.473    |    1|  201.37    Mpc |                         |        |2016AJ....152...50T
276 |NGC 6998                           NGC 6998                                                              |Galaxy towards a Cluster of Galaxies|21 01 37.712 -28 01 54.35              |017.763229 -39.563866              |            ~ ~   |15.6     |~              |0.543 0.489    |    1|  187.07    Mpc |                         |        |2016AJ....152...50T
277 |CD-30 18332                                                                                              |Star                                |21 00 47.1827366208 -29 34 55.077982392|015.7466272125513 -39.7251595242269|  0.442 -23.392   |10.393   |~              |    ~     ~    |    1|  853.105   pc  | -46.9800    +46.9800    |ST-L    |2020AJ....160...83S
278 |CD-28 17048                                                                                              |Star                                |21 00 51.0673311576 -27 49 42.292962192|017.9677938202856 -39.3496459964606|  -1.632 -7.049   |10.219   |~              |    ~     ~    |    1|  889.317   pc  | -76.9800    +76.9800    |ST-L    |2020AJ....160...83S
279 |CD-29 17480                                                                                              |Star                                |21 01 16.9469373840 -29 13 13.900727136|016.2357741926148 -39.7540573111409|  6.456 -15.446   |10.24    |~              |    ~     ~    |    1|  934.667   pc  | -24.1988    +24.1988    |paral   |2020yCat.1350....0G
280 |CD-28 17055                                                                                              |Star                                |21 01 30.5174503584 -28 21 29.419801560|017.3430186598207 -39.6125787097761| -23.533 -5.516   |10.35    |~              |    ~     ~    |    1|  268.796   pc  |  -1.5751     +1.5751    |paral   |2020yCat.1350....0G
281 |CD-28 17061                                                                                              |Star                                |21 02 00.1115331960 -28 05 44.521337760|017.7069895039264 -39.6586999334575|  -1.022 -6.373   |10.32    |~              |    ~     ~    |    1| 1006.239   pc  | -35.4381    +35.4381    |paral   |2020yCat.1350....0G
282 |CD-29 17497                                                                                              |Star                                |21 02 15.4228804752 -28 38 49.050278016|017.0247941817968 -39.8373677597376|  -3.147 -0.852   |10.77    |~              |    ~     ~    |    1| 1512.173   pc  | -46.4193    +46.4193    |paral   |2020yCat.1350....0G
283 |CD-28 17070                                                                                              |Star                                |21 02 47.5885737312 -28 12 39.267634824|017.6126853806640 -39.8547557255817|  -22.800 5.809   |10.136   |~              |    ~     ~    |    1|  705.681   pc  | -38.5200    +38.5200    |ST-L    |2020AJ....160...83S
284 |CD-28 17071                                                                                              |Star                                |21 02 48.9607980216 -28 29 48.704759988|017.2509628133403 -39.9237823932171|  7.710 -25.742   |10.04    |~              |    ~     ~    |    1|  581.091   pc  |  -6.1118     +6.1118    |paral   |2020yCat.1350....0G
285 |HD 200054                                                                                                |Star                                |21 01 55.9705951992 -30 17 07.130724864|014.9150441865961 -40.1119722915964|  22.517 -6.346   |9.222    |K5/M0(III)     |    ~     ~    |    1|  607.070   pc  | -29.8800    +29.8800    |ST-L    |2020AJ....160...83S
286 |CD-30 18343                                                                                              |Star                                |21 01 51.3150744888 -30 07 50.756911536|015.1086148436548 -40.0646959584539|  3.738 -11.400   |10.618   |~              |    ~     ~    |    1|  585.165   pc  | -22.7500    +22.7500    |ST-L    |2020AJ....160...83S
287 |TYC 6935-848-1                                                                                           |Spectroscopic Binary                |21 03 45.5456268816 -29 11 34.453051728|016.4211515082400 -40.2762503289804|  -10.038 2.392   |10.984   |~              |    ~     ~    |    1| 1292.040   pc  |-497.3000   +497.3000    |ST-L    |2020AJ....160...83S
288 |TYC 6935-526-1                                                                                           |Star                                |21 03 47.4087408624 -28 51 12.433400784|016.8574997124518 -40.2103846616959|  10.990 -2.247   |10.61    |~              |    ~     ~    |    1|  299.922   pc  |  -2.0959     +2.0959    |paral   |2020yCat.1350....0G
289 |TYC 6935-754-1                                                                                           |High Proper Motion Star             |21 02 15.6899986152 -28 20 43.355202288|017.4077574056398 -39.7710694762135| 65.425 -35.139   |10.64    |~              |    ~     ~    |    1|  156.375   pc  |  -0.5575     +0.5575    |paral   |2020yCat.1350....0G
290 |TYC 6936-7-1                                                                                             |Star                                |21 05 04.2271197696 -29 02 33.348820704|016.6935512355091 -40.5244226157954|   3.727 -4.402   |10.75    |~              |    ~     ~    |    1|  810.964   pc  | -15.1920    +15.1920    |paral   |2020yCat.1350....0G
291 |TYC 6936-251-1                                                                                           |High Proper Motion Star             |21 06 11.2649573304 -29 09 42.203059956|016.6075327223754 -40.7880477919061|  48.795 24.297   |10.88    |~              |    ~     ~    |    1|  194.575   pc  |  -0.7610     +0.7610    |paral   |2020yCat.1350....0G
292 |TYC 6936-896-1                                                                                           |Star                                |21 09 41.6906428728 -28 49 13.685300220|017.2626752793622 -41.4670787799501|   5.061 -9.669   |10.40    |~              |    ~     ~    |    1| 1756.235   pc  | -83.8946    +83.8946    |paral   |2020yCat.1350....0G
293 |CD-31 18110                                                                                              |Spectroscopic Binary                |21 11 40.0637000184 -30 56 31.451810532|014.5751258924888 -42.2920292314845|  15.073 -8.996   |10.46    |F2             |    ~     ~    |    1|  534.811   pc  | -22.5400    +22.5400    |ST-L    |2020AJ....160...83S
294 |HD 201948                                                                                                |Double or Multiple Star             |21 13 44.1374226216 -31 20 30.437628360|014.1415817651853 -42.7955456313339| 37.953 -33.842   |9.740    |F6IV           |    ~     ~    |    1|  143.075   pc  |  -1.9790     +1.9790    |ST-L    |2020AJ....160...83S
295 |CD-31 18111                                                                                              |Star                                |21 11 42.4562445864 -31 15 54.715373136|014.1464792373049 -42.3556436831942| -13.893 -9.147   |10.728   |~              |    ~     ~    |    1|  887.172   pc  | -84.7700    +84.7700    |ST-L    |2020AJ....160...83S
296 |CD-31 18142                                                                                              |Star                                |21 13 59.5773893640 -31 20 18.980326896|014.1581133327077 -42.8492320812555| 25.849 -11.535   |10.952   |~              |    ~     ~    |    1|  304.477   pc  |  -9.6770     +9.6770    |ST-L    |2020AJ....160...83S
297 |V* BN Mic                                                                                                |RS CVn Variable                     |21 14 52.7023490616 -31 11 01.259492244|014.4091792222142 -43.0105117340157|-54.012 -50.586   |7.76     |K1IIIp         |    ~     ~    |    1|  169.532   pc  |  -1.2732     +1.2732    |paral   |2020yCat.1350....0G
298 |CD-32 16460                                                                                              |Star                                |21 14 17.8864241184 -31 33 12.379612500|013.8830317195048 -42.9481337784801|  15.356 -5.577   |10.796   |~              |    ~     ~    |    1|  383.891   pc  | -11.7000    +11.7000    |ST-L    |2020AJ....160...83S
299 |HD 201576                                                                                                |Star                                |21 11 15.3176604000 -28 52 59.082982284|017.2752504563014 -41.8143287102888|   -0.227 0.523   |8.79     |K3III          |    ~     ~    |    1|  777.605   pc  | -34.2243    +34.2243    |paral   |2020yCat.1350....0G
300 |CD-29 17623                                                                                              |High Proper Motion Star             |21 11 58.2503865432 -29 21 36.445016232|016.6893074233823 -42.0633706332757|113.976 -34.725   |10.409   |~              |    ~     ~    |    1|  181.327   pc  |  -2.7420     +2.7420    |ST-L    |2020AJ....160...83S
301 |CD-29 17624                                                                                              |Star                                |21 12 05.0914675128 -29 20 22.765933788|016.7229370087648 -42.0836941693029|  45.900 -0.865   |10.66    |~              |    ~     ~    |    1|  552.608   pc  |  -7.2679     +7.2679    |paral   |2020yCat.1350....0G
302 |CD-30 18440                                                                                              |Star                                |21 12 12.8308008840 -29 41 43.962176148|016.2595578264292 -42.1804100215462| -11.602 29.990   |9.67     |G2             |    ~     ~    |    1|  112.254   pc  |  -0.6124     +0.6124    |paral   |2020yCat.1350....0G
303 |HD 201989                                                                                                |High Proper Motion Star             |21 14 01.8015585696 -29 39 48.680823744|016.4038358760774 -42.5615614015518|232.762 -37.046   |7.35     |G6V            |    ~     ~    |    1|   29.839   pc  |  -0.0247     +0.0247    |paral   |2020yCat.1350....0G
304 |CD-30 18427                                                                                              |High Proper Motion Star             |21 11 30.4737164448 -30 17 59.456411916|015.4200989035979 -42.1436065401724|   65.856 5.442   |10.228   |K0             |    ~     ~    |    1|  284.282   pc  |  -6.6970     +6.6970    |ST-L    |2020AJ....160...83S
305 |CD-30 18434                                                                                              |Star                                |21 11 45.8737671816 -29 48 26.324978328|016.0864656731796 -42.1060499054221| -3.154 -13.354   |9.89     |K0             |    ~     ~    |    1|  822.368   pc  | -13.3229    +13.3229    |paral   |2020yCat.1350....0G
306 |CD-30 18435                                                                                              |Star                                |21 11 45.6608916144 -29 56 57.298065756|015.8983827797704 -42.1321922022869|  4.866 -11.480   |9.95     |G5             |    ~     ~    |    1|  556.359   pc  |  -6.2836     +6.2836    |paral   |2020yCat.1350....0G
307 |CD-30 18453                                                                                              |Star                                |21 13 43.7628005088 -30 22 49.126971252|015.4304965525374 -42.6295612185034|  13.728 -4.575   |9.42     |K5             |    ~     ~    |    1|  783.024   pc  | -18.7617    +18.7617    |paral   |2020yCat.1350....0G
308 |HD 201961                                                                                                |Star                                |21 13 49.2723821760 -30 11 44.207322576|015.6822525956596 -42.6157888204312|  28.576 -2.274   |9.233    |K1/2III+(G)    |    ~     ~    |    1|  436.041   pc  | -16.2100    +16.2100    |ST-L    |2020AJ....160...83S
309 |CD-31 18121                                                                                              |Star                                |21 12 30.8094774072 -30 30 10.624620312|015.2032486502894 -42.3936392314630|  7.508 -12.123   |10.02    |K2             |    ~     ~    |    1| 1373.626   pc  | -44.9070    +44.9070    |paral   |2020yCat.1350....0G
310 |HD 201848                                                                                                |Star                                |21 13 04.9979584920 -30 38 03.117462900|015.0576304731957 -42.5376220292054|   12.080 2.437   |9.729    |G8/K0(III)     |    ~     ~    |    1|  543.983   pc  | -21.0100    +21.0100    |ST-L    |2020AJ....160...83S
311 |HD 201884                                                                                                |Star                                |21 13 17.6929279680 -30 37 09.007546008|015.0885815950825 -42.5797879025032|   11.677 3.163   |10.007   |A1III/IV       |    ~     ~    |    1|  586.822   pc  | -43.7000    +43.7000    |ST-L    |2020AJ....160...83S
312 |CD-31 18136                                                                                              |Star                                |21 13 29.2127015496 -30 42 45.722107980|014.9732672216727 -42.6367936794817|  -1.094 -8.719   |10.071   |K0             |    ~     ~    |    1|  761.632   pc  | -44.9100    +44.9100    |ST-L    |2020AJ....160...83S
313 |IRAS 21103-3003                                                                                          |Long-Period Variable                |21 13 19.4558002032 -29 51 31.894938360|016.1044666600028 -42.4479471798535|   0.226 -6.408   |10.98    |~              |    ~     ~    |    1| 1679.543   pc  |-121.2972   +121.2972    |paral   |2020yCat.1350....0G
314 |CD-29 17617                                                                                              |Star                                |21 11 31.8294377856 -28 51 41.239016640|017.3202535082148 -41.8688561684689|  2.913 -12.492   |10.234   |~              |    ~     ~    |    1|  289.022   pc  |  -6.7390     +6.7390    |ST-L    |2020AJ....160...83S
315 |CPD-29 6501                                                                                              |Star                                |21 11 35.2996140048 -29 02 05.160196356|017.0957856676454 -41.9165727258588|  -39.008 1.078   |10.463   |~              |    ~     ~    |    1|  140.047   pc  |  -2.4800     +2.4800    |ST-L    |2020AJ....160...83S
316 |CD-30 18444                                                                                              |Star                                |21 12 32.4312532968 -29 45 04.939310448|016.2038472990272 -42.2606883581064|   44.341 1.321   |10.705   |~              |    ~     ~    |    1|  189.310   pc  |  -2.8310     +2.8310    |ST-L    |2020AJ....160...83S
317 |CD-29 17645                                                                                              |Star                                |21 13 49.5955843392 -29 06 40.176251964|017.1270138447336 -42.4110232751182|  -7.666 -9.129   |10.756   |~              |    ~     ~    |    1| 2531.700   pc  |-378.6000   +378.6000    |ST-L    |2020AJ....160...83S
318 |CD-30 18459                                                                                              |Star                                |21 14 02.6559364632 -29 51 07.137901584|016.1532390016188 -42.6000198771569|   7.376 -4.592   |10.807   |~              |    ~     ~    |    1|  726.429   pc  | -71.5400    +71.5400    |ST-L    |2020AJ....160...83S
319 |HD 202154                                                                                                |Double or Multiple Star             |21 14 54.1041116088 -29 21 27.958216500|016.8609895792997 -42.6892707044246|-20.621 -26.320   |9.692    |G2/3V          |0.0067  0.0    |    1|  470.999   pc  |-123.2000   +123.2000    |ST-L    |2020AJ....160...83S
320 |HD 202100                                                                                                |Star                                |21 14 33.5701418856 -29 35 05.196177096|016.5385405962701 -42.6596058607907| 25.640 -18.211   |9.796    |F5/7+F/G       |    ~     ~    |    1|  206.621   pc  |  -3.3220     +3.3220    |ST-L    |2020AJ....160...83S
321 |CD-30 18466B                                                                                             |Star                                |21 14 33.5693074680 -29 34 58.006766424|016.5412060359813 -42.6592236801229| 25.810 -18.235   |9.796    |~              |    ~     ~    |    1|  202.128   pc  |  -3.1140     +3.1140    |ST-L    |2020AJ....160...83S
322 |HD 202155                                                                                                |Spectroscopic Binary                |21 14 55.0439795184 -30 06 37.097852652|015.8549417502166 -42.8333586322651|   5.636 -4.277   |9.25     |F0V            |    ~     ~    |    1|  335.424   pc  |  -7.7181     +7.7181    |paral   |2020yCat.1350....0G
323 |V* BM Mic                                                                                                |RS CVn Variable                     |21 14 31.1506382064 -30 45 26.909171280|014.9654114068564 -42.8630190958799| -8.409 -41.419   |8.285    |G7III          |    ~     ~    |    1|  145.134   pc  |  -0.7541     +0.7541    |paral   |2020yCat.1350....0G
324 |CD-29 17656                                                                                              |Star                                |21 14 40.6219609176 -29 15 14.529629160|016.9864457822637 -42.6211049927426|  18.010 -2.806   |10.943   |~              |    ~     ~    |    1|  210.182   pc  |  -3.6710     +3.6710    |ST-L    |2020AJ....160...83S
325 |CD-30 18462                                                                                              |Star                                |21 14 19.4385927264 -30 24 34.592380740|015.4223402234128 -42.7609473048842|  -0.645 -3.127   |10.66    |~              |    ~     ~    |    1| 1789.549   pc  |-117.8515   +117.8515    |paral   |2020yCat.1350....0G
326 |TYC 6949-657-1                                                                                           |Star                                |21 14 23.2775834928 -29 37 32.858629428|016.4741746165954 -42.6307759182217|    6.254 3.253   |10.651   |~              |    ~     ~    |    1|  848.804   pc  | -39.2700    +39.2700    |ST-L    |2020AJ....160...83S
327 |TYC 7472-697-1                                                                                           |High Proper Motion Star             |21 11 23.7166578048 -30 59 51.843876432|014.4873744594319 -42.2441479980660|-19.045 -49.120   |10.998   |~              |    ~     ~    |    1|  293.320   pc  |  -6.3460     +6.3460    |ST-L    |2020AJ....160...83S
328 |TYC 7472-723-1                                                                                           |Star                                |21 14 25.0033374120 -30 05 31.662588660|015.8524904614972 -42.7235694039048|  23.663 -5.855   |10.849   |~              |    ~     ~    |    1|  241.580   pc  | -20.5500    +20.5500    |ST-L    |2020AJ....160...83S
329 |HD 200245                                                                                                |Double or Multiple Star             |21 03 10.18945 -27 43 53.7323          |018.24513512 -39.82580010          |   35.66 -35.72   |6.26     |K0III          |    ~     ~    |    0|                |                         |        |                   
330 |HD 200317                                                                                                |High Proper Motion Star             |21 03 34.6360085376 -27 54 31.061198484|018.0477463290474 -39.9543294496790| 27.308 -65.566   |9.37     |G1V            |    ~     ~    |    1|   88.974   pc  |  -0.1852     +0.1852    |paral   |2020yCat.1350....0G
331 |HD 201059                                                                                                |Star                                |21 08 06.0 -28 15 00                   |017.9043 -41.0031                  |            ~ ~   |10.5     |F2V            |    ~     ~    |    0|                |                         |        |                   
332 |HD 201226                                                                                                |Double or Multiple Star             |21 08 58.4219047680 -28 28 39.590805612|017.6644996756778 -41.2399947061759|34.384 -129.700   |6.99     |G8III/IV       |    ~     ~    |    1|  169.909   pc  |  -0.9065     +0.9065    |paral   |2020yCat.1350....0G
333 |HD 201448                                                                                                |Star                                |21 10 29.3450395272 -28 29 27.861723312|017.7416897750419 -41.5681825847686|  28.130 -7.377   |7.72     |K2III          |    ~     ~    |    1|  365.177   pc  |  -4.2540     +4.2540    |paral   |2020yCat.1350....0G
334 |HD 201482                                                                                                |Star                                |21 10 46.7693995872 -28 37 45.049590300|017.5791061526448 -41.6596415402075| 38.429 -23.708   |9.23     |G1/2V          |    ~     ~    |    1|  159.997   pc  |  -0.4915     +0.4915    |paral   |2020yCat.1350....0G
335 |CD-28 17119                                                                                              |High Proper Motion Star             |21 07 27.0579064080 -28 08 18.457160388|018.0066543850922 -40.8390100978497|     23.7 -46.8   |10.285   |~              |    ~     ~    |    1|  164.676   pc  | +32.472     +55         |ST-L    |2017AJ....153...75K
336 |TYC 6932-702-1                                                                                           |Star                                |21 06 18.1532646264 -28 00 42.074472996|018.0952005251171 -40.5638083132776|  -3.401 -4.297   |10.07    |~              |    ~     ~    |    1|  782.840   pc  | -11.2149    +11.2149    |paral   |2020yCat.1350....0G
337 |CD-28 17078                                                                                              |Star                                |21 03 11.2446583608 -27 35 44.365759404|018.4183987721393 -39.7978739047871| 15.792 -25.028   |10.31    |~              |    ~     ~    |    1|  169.857   pc  |  -3.2487     +3.2487    |paral   |2020yCat.1350....0G
338 |CD-28 17110                                                                                              |Star                                |21 06 29.7517909776 -27 54 43.013402424|018.2357895857259 -40.5829482450027|  -6.750 -0.820   |10.375   |~              |    ~     ~    |    1|  624.572   pc  | -42.7500    +42.7500    |ST-L    |2020AJ....160...83S
339 |CD-28 17133                                                                                              |Star                                |21 08 46.0083057864 -28 09 01.986682896|018.0756722983769 -41.1246122557475|  -4.592 -9.732   |10.237   |~              |    ~     ~    |    1|  588.834   pc  | -90.4300    +90.4300    |ST-L    |2020AJ....160...83S
340 |CD-29 17597                                                                                              |Star                                |21 09 58.5024455520 -28 36 37.707783912|017.5539118682534 -41.4831168632322| -12.205 -9.948   |10.55    |~              |    ~     ~    |    1|  802.118   pc  | -14.2190    +14.2190    |paral   |2020yCat.1350....0G
341 |CD-29 17600                                                                                              |Star                                |21 10 09.0544951680 -28 36 31.341376872|017.5670909103409 -41.5204740699990|  0.749 -11.614   |10.76    |~              |    ~     ~    |    1|  782.350   pc  | -11.9354    +11.9354    |paral   |2020yCat.1350....0G
342 |CD-29 17604                                                                                              |Star                                |21 10 38.0403767688 -28 35 56.713295688|017.6095045350234 -41.6221051992983|  10.456 10.967   |10.625   |~              |    ~     ~    |    1|  678.278   pc  | -85.0700    +85.0700    |ST-L    |2020AJ....160...83S
343 |CD-26 15408                                                                                              |Star                                |21 05 02.2912979760 -26 09 44.832960684|020.3591849597231 -39.8499921228095|   9.861 -1.955   |9.56     |~              |    ~     ~    |    1| 1318.044   pc  | -59.4136    +59.4136    |paral   |2020yCat.1350....0G
