C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:35:45

dec< 0&rah >=21.0&rah< 21.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3999

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
23  |HD 201128                                                                                                |Star                                |21 08 42.2293916808 -35 02 16.593471312|008.9749243681150 -42.2682001399066|  -1.918 -7.896   |10.32    |F2/3V          |    ~     ~    |    1|  581.738   pc  | -23.3500    +23.3500    |ST-L    |2020AJ....160...83S
24  |CD-35 14600                                                                                              |Star                                |21 09 26.4195816288 -35 10 07.033126188|008.8223675526033 -42.4326886691165|   4.958 -3.402   |9.70     |K5             |    ~     ~    |    1|  827.267   pc  | -73.7067    +73.7067    |paral   |2020yCat.1350....0G
25  |HD 201449                                                                                                |High Proper Motion Star             |21 10 36.8052335832 -34 48 43.393459104|009.3400405602792 -42.6310432856373| -0.113 -81.128   |9.49     |F7V            |    ~     ~    |    1|  129.371   pc  |  -0.3716     +0.3716    |paral   |2020yCat.1350....0G
26  |HD 201513                                                                                                |High Proper Motion Star             |21 11 08.4563519784 -34 59 40.409278764|009.1099066713311 -42.7590930589644| -4.538 -91.937   |9.14     |G8V            |    ~     ~    |    1|   61.967   pc  |  -0.2427     +0.2427    |ST-L    |2020AJ....160...83S
27  |HD 201316                                                                                                |Star                                |21 09 47.8492826688 -35 35 31.346894472|008.2621457950622 -42.5507539865778|   6.326 -9.030   |9.48     |A1V            |    ~     ~    |    1|  378.630   pc  |  -3.5697     +3.5697    |paral   |2020yCat.1350....0G
28  |V* Y Mic                                                                                                 |Long-Period Variable                |21 07 06.4838804928 -34 16 47.367984324|009.9340210118623 -41.8494354862997|  -3.855 -2.138   |10.30    |~              |    ~     ~    |    1| 8249.130   pc  |-3023.0000   +3023.0000  |ST-L    |2020AJ....160...83S
29  |HD 201514                                                                                                |Star                                |21 11 08.5997865096 -35 54 40.471471764|007.8671826115143 -42.8544042798550|  -0.584 39.889   |9.01     |G8/K0IV/V      |    ~     ~    |    1|  254.278   pc  |  -1.3255     +1.3255    |paral   |2020yCat.1350....0G
30  |CD-36 14609                                                                                              |Star                                |21 07 28.4252405016 -35 33 02.234511468|008.2494447613563 -42.0765091520951|   10.563 5.173   |10.66    |~              |    ~     ~    |    1|  302.845   pc  |  -5.8340     +5.8340    |ST-L    |2020AJ....160...83S
31  |CD-34 14876                                                                                              |Star                                |21 08 24.2441189352 -33 35 25.541049840|010.9009144691838 -42.0232095116576|-37.959 -15.997   |10.77    |~              |    ~     ~    |    1|  158.671   pc  |  -2.9650     +2.9650    |ST-L    |2020AJ....160...83S
32  |CD-36 14632                                                                                              |Star                                |21 10 08.0209438416 -35 30 24.599983536|008.3869346395132 -42.6098604949073|   16.199 1.361   |10.090   |~              |    ~     ~    |    1|  381.077   pc  |  -8.4480     +8.4480    |ST-L    |2020AJ....160...83S
33  |CD-35 14548                                                                                              |Star                                |21 04 14.7527060784 -35 11 47.104664820|008.6185041249746 -41.3818449599581|  -8.016 -4.606   |10.090   |~              |    ~     ~    |    1| 1054.660   pc  | -67.3200    +67.3200    |ST-L    |2020AJ....160...83S
34  |CD-34 14835                                                                                              |Star                                |21 04 59.9326848240 -34 14 35.517802020|009.9052091108854 -41.4126318473924|   2.899 -1.950   |10.16    |~              |    ~     ~    |    1| 1107.174   pc  | -25.2522    +25.2522    |paral   |2020yCat.1350....0G
35  |CD-35 14554                                                                                              |Star                                |21 05 04.7331266208 -34 56 20.374149660|008.9873765564040 -41.5192470972889|  23.463 -5.721   |10.435   |~              |    ~     ~    |    1|  701.380   pc  | -22.1900    +22.1900    |ST-L    |2020AJ....160...83S
36  |CD-34 14841                                                                                              |Star                                |21 05 26.5072823424 -34 24 19.663767072|009.7068827634921 -41.5249116497377|   9.936 -4.643   |10.756   |~              |    ~     ~    |    1|  735.733   pc  | -34.1300    +34.1300    |ST-L    |2020AJ....160...83S
37  |CD-34 14858                                                                                              |Star                                |21 06 28.2801091200 -33 30 33.733163484|010.9324894328141 -41.6131200414098|  15.637 -4.038   |10.468   |~              |    ~     ~    |    1|  457.893   pc  | -13.3800    +13.3800    |ST-L    |2020AJ....160...83S
38  |CD-34 14862                                                                                              |Star                                |21 06 54.6076290312 -34 27 29.325023496|009.6895881719729 -41.8319607468044|  -0.404 -4.017   |10.523   |~              |    ~     ~    |    1|  780.797   pc  | -32.4300    +32.4300    |ST-L    |2020AJ....160...83S
39  |CD-34 14868                                                                                              |Star                                |21 07 14.2484129808 -33 50 07.019390544|010.5301061787684 -41.8166104798053|  -0.727 -9.068   |10.711   |~              |    ~     ~    |    1| 1963.720   pc  |-228.4000   +228.4000    |ST-L    |2020AJ....160...83S
40  |CD-35 14580                                                                                              |Star                                |21 07 41.0058301248 -34 55 15.058653528|009.0987338064417 -42.0468968095019|  -2.402 -5.432   |9.85     |~              |    ~     ~    |    1|  968.148   pc  | -32.9933    +32.9933    |paral   |2020yCat.1350....0G
41  |CD-35 14592                                                                                              |Star                                |21 08 37.4672592696 -34 41 56.363058024|009.4269704351690 -42.2120426313317|   15.714 7.200   |10.647   |~              |    ~     ~    |    1|  366.072   pc  | -13.9800    +13.9800    |ST-L    |2020AJ....160...83S
42  |CD-35 14613                                                                                              |Star                                |21 10 53.4837979968 -34 38 11.557529808|009.5860540917720 -42.6674364682571| 12.630 -11.349   |10.27    |~              |    ~     ~    |    1|  505.510   pc  | -17.9134    +17.9134    |paral   |2020yCat.1350....0G
43  |HD 199861                                                                                                |Star                                |21 00 54.1119294456 -32 57 36.772053948|011.4159445845374 -40.3783165864678|  7.710 -42.752   |8.29     |K0III          |    ~     ~    |    1|  287.857   pc  |  -5.7690     +5.7690    |ST-L    |2020AJ....160...83S
44  |HD 199952                                                                                                |Star                                |21 01 25.8877015992 -32 53 44.179549836|011.5233422823957 -40.4775160122722| -12.185 -1.530   |6.86     |A3III/IV       |    ~     ~    |    1|  186.937   pc  |  -2.4890     +2.4890    |ST-L    |2020AJ....160...83S
45  |HD 200036                                                                                                |Spectroscopic Binary                |21 01 52.7302867248 -33 29 06.084521088|010.7764152918846 -40.6626198117304|  -42.295 8.690   |8.53     |F6V            |    ~     ~    |    1|  151.624   pc  |  -1.5430     +1.5430    |ST-L    |2020AJ....160...83S
46  |HD 200161                                                                                                |Star                                |21 02 50.5655286552 -33 21 11.746130472|010.9888155024947 -40.8413028969141|   26.023 8.006   |9.51     |K2/3(III)      |    ~     ~    |    1|  612.743   pc  | -25.4100    +25.4100    |ST-L    |2020AJ....160...83S
47  |HD 199953                                                                                                |Star                                |21 01 20.1350233224 -33 32 38.987851632|010.6766643172019 -40.5597358531358|  -7.495 -2.500   |9.13     |K2/3II/III     |    ~     ~    |    1|  650.214   pc  | -27.3200    +27.3200    |ST-L    |2020AJ....160...83S
48  |HD 200142                                                                                                |Star                                |21 02 36.2721489024 -33 47 17.893865580|010.4103510951563 -40.8573319685645|  -2.984 -1.766   |9.947    |A8/9V          |    ~     ~    |    1|  494.688   pc  | -24.1700    +24.1700    |ST-L    |2020AJ....160...83S
49  |HD 199755                                                                                                |Star                                |21 00 12.7326615120 -34 14 03.591013128|009.7335842451440 -40.4318485948147|  20.314 -9.524   |7.18     |A2V            |    ~     ~    |    1|  279.849   pc  |  -5.6860     +5.6860    |ST-L    |2020AJ....160...83S
50  |CD-34 14798                                                                                              |Star                                |21 00 58.5113634936 -34 08 14.936370720|009.8896513103735 -40.5739547572571|  12.101 13.077   |10.13    |G0             |    ~     ~    |    1|  135.544   pc  |  -0.4703     +0.4703    |paral   |2020yCat.1350....0G
51  |CD-34 14804                                                                                              |Star                                |21 01 49.3593575280 -33 59 04.657627968|010.1225327906592 -40.7254565265636|    1.045 4.551   |10.28    |F              |    ~     ~    |    1|  252.282   pc  |  -3.5470     +3.5470    |ST-L    |2020AJ....160...83S
52  |HD 200072                                                                                                |High Proper Motion Star             |21 02 09.0923111952 -34 03 06.227815428|010.0478645463212 -40.8025847552746| 83.481 -38.796   |8.67     |F5V            |    ~     ~    |    1|  154.262   pc  |  -1.5290     +1.5290    |ST-L    |2020AJ....160...83S
53  |HD 200162                                                                                                |Star                                |21 02 46.7853044688 -34 08 27.072602952|009.9556868080340 -40.9440037798589|  33.953 -2.021   |9.96     |G0V            |    ~     ~    |    1|  215.801   pc  |  -2.6360     +2.6360    |ST-L    |2020AJ....160...83S
