C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:45:56

Vmag< 11&dec< 0&rah >=1.0&rah< 1.25
-----------------------------------

Number of objects : 2309

 #  |                                                                                                                                                                                           identifier                                                                                                                                                                                            |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type      |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------------|---------------
368 |CD-31 410                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 02 20.0022671760 -30 36 16.749501444|269.1237634203723 -85.7843165225143| -17.169 -7.315   |9.54     |K3III                 |    ~     ~    
369 |HD 6166                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 02 24.1790714928 -30 23 31.205641596|267.2184951927089 -85.9473751198356|  -8.817 -3.483   |9.16     |G8IV                  |    ~     ~    
370 |CD-31 412                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 02 27.7632192888 -31 13 23.045593440|273.1513795704303 -85.2509136214949|  6.851 -24.245   |10.39    |F0                    |    ~     ~    
371 |HD 6307                                                                                                                                                                                                                                                                                                                                                                                          |Eclipsing Binary              |01 03 43.83558 -30 23 55.3061          |264.18168005 -85.76335146          |   35.03 -32.89   |9.38     |F5/6V                 |    ~     ~    
372 |CD-31 420                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 03 45.8414617128 -30 49 43.827974472|267.5958341602151 -85.4222249969124| -20.930 -5.860   |10.93    |~                     |    ~     ~    
373 |HD 6402                                                                                                                                                                                                                                                                                                                                                                                          |Spectroscopic Binary          |01 04 37.3282159296 -30 29 17.961697104|263.0342246349962 -85.5698474142412|  85.776 30.589   |8.24     |F6V                   |    ~     ~    
374 |CD-31 427                                                                                                                                                                                                                                                                                                                                                                                        |High Proper Motion Star       |01 04 43.7312995512 -30 43 08.461175268|264.7184443705016 -85.3798493479569| 93.530 -55.444   |10.88    |~                     |    ~     ~    
375 |CD-31 434                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 05 37.3513659288 -31 05 37.674365748|265.7810709505222 -84.9684732375060|  4.888 -20.616   |10.02    |K0IV                  |    ~     ~    
376 |CD-31 442                                                                                                                                                                                                                                                                                                                                                                                        |Spectroscopic Binary          |01 06 24.5722075224 -31 01 28.128946944|263.8105290115785 -84.9135003484176|   11.473 5.807   |10.79    |G5                    |    ~     ~    
377 |CD-31 443                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 06 36.4420295040 -31 16 43.735919088|265.2671851900292 -84.6919702486529|  7.789 -11.142   |9.58     |K0                    |    ~     ~    
378 |HD 6139                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 02 12.7529986200 -31 37 23.580187392|276.0088387744279 -84.9296129224249| 69.741 -20.339   |8.83     |F6/7V                 |    ~     ~    
379 |HD 6040                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 01 20.8561701240 -31 51 58.715754624|279.0625643256350 -84.7948646124636|    6.872 2.721   |9.94     |G0V                   |    ~     ~    
380 |HD 6167                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 02 19.3239499296 -32 06 19.286258580|278.1728964702327 -84.4899964887743|  10.718 -8.713   |9.83     |G8II/III              |    ~     ~    
381 |HD 6323                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 03 50.3588505576 -31 47 10.979195136|273.5883769287700 -84.6169308775684| -24.106 22.093   |9.12     |G3V                   |    ~     ~    
382 |HD 6519                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 05 43.4908181496 -31 57 03.565965780|271.0021204901773 -84.2638720687034| 15.457 -24.031   |9.03     |G2/3V                 |    ~     ~    
383 |HD 6560                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 06 00.9105243624 -31 51 17.168067576|269.9466662986253 -84.3087545024694|-38.635 -38.720   |8.13     |K0III                 |    ~     ~    
384 |CD-33 371                                                                                                                                                                                                                                                                                                                                                                                        |High Proper Motion Star       |01 00 01.1778229200 -32 37 31.691595756|284.7620517872973 -84.1970075271167| -5.419 -56.218   |10.03    |G0                    |    ~     ~    
385 |HD 6289                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 03 24.1197063888 -32 04 40.119900708|275.9404553362496 -84.4095983339891|   8.800 17.247   |7.51     |K3III                 |    ~     ~    
386 |V* AD Scl                                                                                                                                                                                                                                                                                                                                                                                        |Mira Variable                 |01 05 28.7128035144 -31 41 37.157205444|269.9663967832380 -84.5061416302828|   11.848 2.769   |10.5     |M9                    |    ~     ~    
387 |TYC 6999-1405-1                                                                                                                                                                                                                                                                                                                                                                                  |Star                          |01 00 38.3251666968 -31 12 34.266600432|277.2818516300896 -85.4516563990642|   6.825 -6.016   |10.88    |~                     |    ~     ~    
388 |CD-31 397                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 00 33.6969249648 -30 43 12.071296884|274.4101051086556 -85.8910095819029|   7.794 25.551   |10.70    |~                     |    ~     ~    
389 |CD-33 378                                                                                                                                                                                                                                                                                                                                                                                        |High Proper Motion Star       |01 01 20.7781105032 -32 27 25.866863316|281.5685986414945 -84.2543990328117| 47.587 -61.006   |10.65    |~                     |    ~     ~    
390 |CD-31 419                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 03 42.5820649416 -31 11 11.735796840|270.2365431681249 -85.1376980847010| 11.446 -23.680   |10.96    |~                     |    ~     ~    
391 |* sig Scl                                                                                                                                                                                                                                                                                                                                                                                        |alpha2 CVn Variable           |01 02 26.4310587048 -31 33 07.249770720|275.1367925403335 -84.9687623609744|  81.721 16.695   |5.501    |A1/2IV                |    ~     ~    
392 |CD-32 423                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 04 57.7365663672 -31 53 56.269224528|272.0864304329770 -84.3958298607577|-24.675 -13.072   |10.31    |~                     |    ~     ~    
393 |Bok III 167                                                                                                                                                                                                                                                                                                                                                                                      |Star                          |01 00 08.05 -30 42 32.4                |275.46294 -85.94529                |            ~ ~   |10.57    |K2III                 |    ~     ~    
394 |HD 6807                                                                                                                                                                                                                                                                                                                                                                                          |Spectroscopic Binary          |01 08 17.5804444200 -32 23 32.023622796|269.1615884582343 -83.5913795614081|  26.483 22.469   |9.946    |F3V                   |    ~     ~    
395 |HD 6817                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 08 24.1731427056 -32 25 32.663257824|269.1691066151184 -83.5506352049793|  29.701 -6.741   |8.92     |K2III                 |    ~     ~    
396 |CD-33 413                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 08 18.5466082800 -32 31 34.133341440|269.8283954071579 -83.4804247232093|  7.463 -10.111   |10.637   |~                     |    ~     ~    
397 |HD 7281                                                                                                                                                                                                                                                                                                                                                                                          |Spectroscopic Binary          |01 12 33.6964681608 -32 22 40.192599648|263.0817823777550 -83.0325589158906| -0.914 -36.071   |9.60     |F5V                   |    ~     ~    
398 |CD-31 452                                                                                                                                                                                                                                                                                                                                                                                        |High Proper Motion Star       |01 08 41.3416457424 -30 26 25.252873332|255.1799084478712 -84.9752245016939| -3.643 -70.551   |10.23    |G0V                   |    ~     ~    
399 |HD 6880                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 08 57.9518304096 -30 55 45.390478800|258.7480308457859 -84.6040603066254|213.036 -103.007  |9.11     |G8/K0V                |    ~     ~    
400 |HD 6725                                                                                                                                                                                                                                                                                                                                                                                          |Double or Multiple Star       |01 07 34.5859263378 -31 39 59.352456628|266.1447364399096 -84.2608565583575|45.352 -101.846   |9.65     |G3V                   |    ~     ~    
401 |CD-32 441                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 07 38.0355511488 -31 47 26.855624256|266.8156763285826 -84.1558899569012|  7.004 -18.711   |10.31    |G0                    |    ~     ~    
402 |HD 6854                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 08 42.5453070432 -32 09 41.649926472|267.2727024531717 -83.7232973762700|-21.098 -37.965   |8.05     |K1III                 |    ~     ~    
403 |CD-32 455                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 08 58.9361964432 -32 03 35.865138132|266.2779255918264 -83.7671654071858|  13.143 13.931   |10.951   |~                     |    ~     ~    
404 |CD-31 457                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 09 07.0473306888 -30 52 15.664003680|258.0590709288808 -84.6203878794340|  13.566 12.767   |10.779   |~                     |    ~     ~    
405 |CPD-32 119                                                                                                                                                                                                                                                                                                                                                                                       |High Proper Motion Star       |01 07 38.9881999680 -31 35 21.617378916|265.5345055387159 -84.3109011420247|-54.733 -37.082   |10.50    |~                     |    ~     ~    
406 |CD-32 444                                                                                                                                                                                                                                                                                                                                                                                        |Spectroscopic Binary          |01 08 00.5213172312 -31 22 02.337910536|263.4726619828107 -84.4302788918777| 71.775 -26.319   |10.725   |~                     |    ~     ~    
407 |CD-32 448                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 08 20.0096275392 -32 12 49.106306736|268.1399452110977 -83.7301014928874| 31.166 -30.310   |10.642   |~                     |    ~     ~    
408 |CD-30 357                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 08 30.3481945464 -30 01 07.172332752|251.5815579164756 -85.2682551618482| -5.378 -14.062   |10.868   |~                     |    ~     ~    
409 |HD 7310                                                                                                                                                                                                                                                                                                                                                                                          |Spectroscopic Binary          |01 12 57.8233988496 -29 41 38.157691524|242.6534528129909 -84.6170636840617| -37.105 13.848   |9.31     |G5V                   |    ~     ~    
410 |CD-30 393                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 14 29.7659633736 -29 37 30.313887852|240.4925400740725 -84.3479449894764| 15.905 -11.277   |10.80    |~                     |    ~     ~    
411 |HD 7185                                                                                                                                                                                                                                                                                                                                                                                          |Spectroscopic Binary          |01 11 45.0648822240 -29 56 03.826590108|246.2944406325566 -84.7303206104813|    5.477 5.214   |9.891    |K2III                 |    ~     ~    
412 |CD-30 377                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 12 56.3218485264 -29 46 31.556135172|243.4480324993500 -84.5841762842085|  26.967 -5.202   |10.38    |~                     |    ~     ~    
413 |HD 7401                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 13 44.5368704832 -30 18 37.501412328|247.3021895670173 -84.1670218898886| 15.885 -51.889   |9.34     |G3V                   |    ~     ~    
414 |CD-31 475                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 11 14.6877761328 -30 54 57.550069080|255.2901240942248 -84.2485244068343|  -31.554 7.945   |10.38    |G0                    |    ~     ~    
415 |HD 7165                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 11 34.1098678464 -30 34 01.123369788|252.0824803105830 -84.4105141024316|  26.850 -2.219   |9.12     |K2III                 |    ~     ~    
416 |HD 7259                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 12 23.3179250712 -30 48 07.658490996|252.8969033036082 -84.1280664647419| 43.949 -67.349   |6.530    |F5IV                  |    ~     ~    
417 |CD-31 488                                                                                                                                                                                                                                                                                                                                                                                        |High Proper Motion Star       |01 12 58.8434241096 -30 52 15.948999156|252.6833706246139 -83.9851618841773| -25.068 47.485   |10.24    |F8                    |    ~     ~    
418 |HD 7322                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 13 00.9474134784 -30 27 02.349072792|249.3062537922897 -84.2230106862519|  32.411 14.794   |9.51     |G8IV                  |    ~     ~    
419 |HD 7402                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 13 44.3955949272 -31 06 58.723526628|253.5727802866194 -83.7067447755366|  10.573 -4.572   |7.79     |G8III/IV              |    ~     ~    
420 |HD 7440                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 14 05.4180972600 -30 21 56.483905320|247.3760312937297 -84.0740891747904| -15.065 -9.670   |9.91     |G3V                   |    ~     ~    
421 |CD-31 505                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 14 19.8685759920 -30 27 22.086125748|247.8497382238606 -83.9821769668325|   9.788 -2.026   |10.01    |G8III                 |    ~     ~    
422 |CD-32 480                                                                                                                                                                                                                                                                                                                                                                                        |Spectroscopic Binary          |01 13 27.8088817176 -31 34 28.685557308|257.0667149593458 -83.4594308912645|  7.172 -36.117   |9.93     |G0                    |    ~     ~    
423 |HD 7487                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 14 30.9723447600 -31 20 31.040649996|254.2397656973884 -83.4367812566859|  83.393 19.056   |8.81     |F7V                   |    ~     ~    
424 |HD 6994                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 09 53.5493820144 -32 05 10.371896304|265.0745746540254 -83.6242931776077|154.693 -63.370   |9.74     |G3/5V                 |    ~     ~    
425 |HD 7136                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 11 09.4561198752 -32 14 51.555025248|264.2125152270059 -83.3273876916600|  25.096 13.725   |8.13     |G3III                 |    ~     ~    
426 |HD 7366                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 13 22.4482516080 -31 54 26.309551212|259.2955516363397 -83.2484427359619|   23.986 8.131   |8.23     |K2/3III               |    ~     ~    
427 |CD-30 369                                                                                                                                                                                                                                                                                                                                                                                        |High Proper Motion Star       |01 10 36.2804791296 -30 06 00.903193416|249.3039296442214 -84.8505206654352|-62.238 -28.780   |10.49    |~                     |    ~     ~    
428 |CD-32 467                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 10 48.1834263768 -31 20 12.048722304|258.9811617246474 -84.0383662395376|   4.272 -3.446   |10.41    |~                     |    ~     ~    
429 |CD-32 468                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 10 48.9406227384 -31 54 28.658688228|262.6899199785474 -83.6286284775925|   7.069 -4.453   |10.45    |~                     |    ~     ~    
430 |CD-31 498                                                                                                                                                                                                                                                                                                                                                                                        |High Proper Motion Star       |01 13 46.3451122968 -31 15 50.837165820|254.5820241134643 -83.6094379905082|  46.876 23.763   |10.70    |~                     |    ~     ~    
431 |CD-31 507                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 14 25.2646497144 -31 02 17.279761092|252.2076648359084 -83.6378400673393|  11.284 -2.736   |10.56    |~                     |    ~     ~    
432 |CD-30 394                                                                                                                                                                                                                                                                                                                                                                                        |Spectroscopic Binary          |01 14 32.6753595120 -30 12 22.851293832|245.5642715145386 -84.0714003172449|   20.915 1.573   |10.54    |~                     |    ~     ~    
433 |GEN# -0.03000356                                                                                                                                                                                                                                                                                                                                                                                 |Star                          |01 08 23.0 -29 56 48                   |251.0658 -85.3323                  |            ~ ~   |10.632   |~                     |    ~     ~    
434 |HD 6104                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 01 59.6296379520 -29 59 15.768453804|264.5265928666785 -86.3193921125993|   27.103 8.583   |9.33     |G8III/IV              |    ~     ~    
435 |HD 6390                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 04 29.9403028848 -29 47 48.691821876|256.6116821310286 -86.0810116170158| 30.740 -11.598   |8.83     |F5/6V                 |    ~     ~    
436 |HD 6054                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 01 29.8391265696 -27 27 02.796362964|221.7188279877905 -87.7419391704512|   3.029 -4.404   |9.649    |K5/M0                 |    ~     ~    
437 |HD 6218                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 02 55.6808700504 -27 37 07.149339552|224.4723385824000 -87.4024731789425|-4.715 -100.036   |9.889    |K1(III)+F/G           |    ~     ~    
438 |HD 6548                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 05 57.0343593360 -27 35 43.649605788|222.0132050801644 -86.7441819458957|-27.284 -44.906   |9.80     |F3V                   |    ~     ~    
439 |HD 6268                                                                                                                                                                                                                                                                                                                                                                                          |Chemically Peculiar Star      |01 03 18.1716378504 -27 52 49.953768852|229.5706085173529 -87.2636733642011|-29.379 -33.642   |9.046    |F/Gw                  |    ~     ~    
440 |HD 6485                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 05 26.0353196160 -28 19 12.800183088|234.7885104949720 -86.6814430566958|   -2.384 4.699   |7.89     |K2III                 |    ~     ~    
441 |HD 6023                                                                                                                                                                                                                                                                                                                                                                                          |High Velocity Star            |01 01 15.7068411624 -28 53 04.792757460|252.5114146127048 -87.2096718204458| 28.524 -47.560   |9.37     |G5III                 |    ~     ~    
442 |CD-29 326                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 06 09.9461821320 -28 40 54.749765928|239.3087114645874 -86.3945549529276|  19.019 -4.010   |10.4     |G8III                 |    ~     ~    
443 |CD-29 327                                                                                                                                                                                                                                                                                                                                                                                        |Double or Multiple Star       |01 06 26.54378 -29 01 43.7074          |243.67173455 -86.18384892          |   -53.69 -1.54   |10.793   |F6Vwl                 |0.0083  0.0    
444 |CD-30 344                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 06 27.9186060240 -29 21 25.387534080|247.7677160681620 -86.0103186195729|  8.296 -25.644   |10.34    |~                     |    ~     ~    
445 |HD 6269                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 03 17.6938658208 -29 31 33.047362776|256.2059635413790 -86.4567471850962|-101.176 -33.597  |6.283    |G8IIICNIV             |    ~     ~    
446 |HD 6339                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 04 05.4225322200 -29 23 52.941380640|252.8421071346941 -86.4067452276743|   25.897 3.361   |9.946    |F5V                   |    ~     ~    
447 |HD 6670                                                                                                                                                                                                                                                                                                                                                                                          |Spectroscopic Binary          |01 07 01.0598321640 -29 36 54.526042440|249.8119960379895 -85.7661936999292|   19.900 0.544   |9.40     |A9V                   |    ~     ~    
