C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:35:56

dec< 0&rah >=8.75&rah< 9.0&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 7769

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------|-----|----------------|-------------------------|--------|-------------------
22  |HD 74988                                                                                                 |Star                                  |08 47 14.9858283480 -01 53 49.332833412|228.8900787876077 +24.5511114012486|  -32.151 2.506   |5.279    |A0V                |    ~     ~    |    1|  128.682   pc  |  -3.0237     +3.0237    |paral   |2020yCat.1350....0G
23  |AG-01 1298                                                                                               |Long-Period Variable Candidate        |08 47 43.9168511472 -02 03 21.602011068|229.1081795195723 +24.5719541767948|  -4.991 -2.880   |9.91     |K2                 |    ~     ~    |    1| 1549.91    pc  | -54.29      +54.29      |paral   |2020yCat.1350....0G
24  |BD-01 2134                                                                                               |Star                                  |08 47 53.1385037160 -01 47 10.600637784|228.8760731498257 +24.7443746650333|  -6.846 -1.710   |10.38    |M0                 |    ~     ~    |    1| 1428.367   pc  | -46.3133    +46.3133    |paral   |2020yCat.1350....0G
25  |BD-01 2135                                                                                               |Star                                  |08 48 09.6064364400 -01 49 09.696593136|228.9463040342444 +24.7859814597261|  -39.777 3.987   |10.80    |G0                 |    ~     ~    |    1|  303.150   pc  |  -1.6450     +1.6450    |paral   |2020yCat.1350....0G
26  |BD-00 2059                                                                                               |Star                                  |08 45 04.0217534832 -01 05 33.871693812|227.8236186532280 +24.4957886912444| -12.997 -0.714   |10.83    |~                  |    ~     ~    |    1|  345.865   pc  |  -2.5958     +2.5958    |paral   |2020yCat.1350....0G
27  |BD-00 2064                                                                                               |Star                                  |08 46 56.0858065776 -00 32 03.431387616|227.5558572071161 +25.1819448294294|  -5.990 -0.243   |10.595   |~                  |    ~     ~    |    1| 1421.250   pc  |-115.6000   +115.6000    |ST-L    |2020AJ....160...83S
28  |BD-01 2131                                                                                               |Star                                  |08 47 22.9952911392 -01 38 23.881778772|228.6667728145709 +24.7123383309875|  -7.931 12.472   |9.68     |~                  |    ~     ~    |    1|  702.297   pc  |  -9.9137     +9.9137    |paral   |2020yCat.1350....0G
29  |BD-01 2133                                                                                               |Star                                  |08 47 51.6580297896 -02 04 49.540977660|229.1495223472191 +24.5868613607993| -8.813 -17.362   |10.46    |~                  |    ~     ~    |    1|  768.462   pc  | -10.2162    +10.2162    |paral   |2020yCat.1350....0G
30  |BD+00 2390                                                                                               |High Proper Motion Star               |08 47 13.1187535464 -00 00 19.435785480|227.0911493283389 +25.5111600970052|-76.784 -34.113   |9.24     |F8                 |    ~     ~    |    1|  129.720   pc  |  -0.3029     +0.3029    |paral   |2020yCat.1350....0G
31  |BD+00 2397                                                                                               |Star                                  |08 48 32.1336099144 -00 00 21.891913884|227.2765687633798 +25.7948063437623|   -6.549 0.988   |9.95     |F2                 |    ~     ~    |    1|  618.467   pc  |  -7.0380     +7.0380    |paral   |2020yCat.1350....0G
