C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:35:56

dec< 0&rah >=8.75&rah< 9.0&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 7769

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------|-----|----------------|-------------------------|--------|-------------------
2220|CD-24 7480                                                                                               |Star                                  |08 51 05.0705902488 -25 21 27.047243880|249.7626757791313 +11.8742142784913|   -4.401 1.802   |9.39     |~                  |    ~     ~    |    1|  904.259   pc  | -44.9100    +44.9100    |ST-L    |2020AJ....160...83S
2221|CD-24 7481                                                                                               |Star                                  |08 51 08.2015490688 -25 22 17.720566392|249.7814262161296 +11.8748446866903|   2.805 -4.594   |9.80     |~                  |    ~     ~    |    1|  619.272   pc  |  -5.7141     +5.7141    |paral   |2020yCat.1350....0G
2222|CD-24 7485                                                                                               |Star                                  |08 51 13.4434398264 -24 30 10.859506812|249.0929321077516 +12.4241964482208|  -22.825 8.272   |9.84     |~                  |    ~     ~    |    1|  509.944   pc  |  -3.3806     +3.3806    |paral   |2020yCat.1350....0G
2223|HD 75844                                                                                                 |Star                                  |08 51 39.3908325744 -24 44 53.034930240|249.3527214165825 +12.3512335500549|   -2.680 0.473   |9.17     |A0/1V              |    ~     ~    |    1|  432.208   pc  |  -3.3064     +3.3064    |paral   |2020yCat.1350....0G
2224|CD-24 7500                                                                                               |Star                                  |08 52 32.5884340728 -24 45 16.134052788|249.4848229675066 +12.5058877859759|   -8.046 4.458   |9.87     |~                  |    ~     ~    |    1|  900.657   pc  | -14.6824    +14.6824    |paral   |2020yCat.1350....0G
2225|HD 75982                                                                                                 |Star                                  |08 52 34.0732219416 -25 26 38.494000248|250.0435059369388 +12.0845423760499|  7.465 -18.590   |8.15     |K0III              |    ~     ~    |    1|  245.026   pc  |  -1.5069     +1.5069    |paral   |2020yCat.1350....0G
2226|CD-24 7504                                                                                               |Star                                  |08 52 44.0092144584 -24 54 07.932288636|249.6311816602751 +12.4487391806944|   -0.660 2.994   |10.32    |~                  |    ~     ~    |    1|  814.399   pc  | -10.2140    +10.2140    |paral   |2020yCat.1350....0G
2227|HD 76105                                                                                                 |Spectroscopic Binary                  |08 53 19.4080276728 -25 14 49.005021444|249.9931719430927 +12.3405955389345|  -24.687 6.049   |8.54     |G5III              |    ~     ~    |    1|  439.986   pc  |  -8.2468     +8.2468    |paral   |2020yCat.1350....0G
2228|CD-24 7515                                                                                               |Star                                  |08 53 34.6207534608 -24 36 11.250487296|249.5113993375263 +12.7840884472803|   -7.736 3.572   |9.807    |~                  |    ~     ~    |    1|  455.167   pc  | -10.2200    +10.2200    |ST-L    |2020AJ....160...83S
2229|CD-24 7517                                                                                               |Star                                  |08 53 40.0115311248 -25 23 24.971453412|250.1575362686588 +12.3126775369580|  -0.243 -2.217   |9.892    |~                  |    ~     ~    |    1|  617.748   pc  | -18.6900    +18.6900    |ST-L    |2020AJ....160...83S
2230|CD-24 7519                                                                                               |Star                                  |08 53 49.0536859296 -24 44 03.123043152|249.6516613750374 +12.7459522998651|    3.993 0.419   |9.29     |~                  |    ~     ~    |    1| 1024.590   pc  | -29.6039    +29.6039    |paral   |2020yCat.1350....0G
2231|HD 76196                                                                                                 |Spectroscopic Binary                  |08 53 50.0707819440 -25 05 03.327352152|249.9357556077447 +12.5321551525853| -1.146 -12.250   |8.96     |F5IV/V             |    ~     ~    |    1|  281.349   pc  |  -1.3061     +1.3061    |paral   |2020yCat.1350....0G
2232|CD-24 7521                                                                                               |Star                                  |08 54 01.0376584080 -24 53 59.464330836|249.8137624105833 +12.6789459567243|  0.073 -17.339   |9.82     |~                  |    ~     ~    |    1|  490.533   pc  |  -3.6093     +3.6093    |paral   |2020yCat.1350....0G
2233|CD-24 7547                                                                                               |Star                                  |08 55 34.4590055568 -24 37 26.946256152|249.8171569611024 +13.1272056556546|  -8.844 -0.033   |10.77    |~                  |    ~     ~    |    1|  790.264   pc  |  -8.6183     +8.6183    |paral   |2020yCat.1350....0G
2234|CD-24 7552                                                                                               |High Proper Motion Star               |08 55 47.8877657592 -24 36 53.677960632|249.8422259173089 +13.1727786151073| 28.450 -86.858   |10.44    |~                  |    ~     ~    |    1|  205.656   pc  |  -0.5414     +0.5414    |paral   |2020yCat.1350....0G
2235|HD 76496                                                                                                 |Double or Multiple Star               |08 55 47.0100 -25 24 47.748            |250.4806195 +12.6725613            |     -12.5 -4.5   |9.07     |A2/3V              |    ~     ~    |    0|                |                         |        |                   
2236|CD-24 7556                                                                                               |Star                                  |08 56 01.7673048072 -25 26 22.701249096|250.5372845641154 +12.6994594053758|  -3.470 -2.806   |10.81    |~                  |    ~     ~    |    1|  334.415   pc  |  -2.9971     +2.9971    |paral   |2020yCat.1350....0G
2237|CD-24 7557                                                                                               |Star                                  |08 56 04.2738419880 -24 43 38.223019200|249.9722014128662 +13.1513431367306|   -9.319 4.325   |8.83     |~                  |    ~     ~    |    1|  792.393   pc  | -13.2484    +13.2484    |paral   |2020yCat.1350....0G
2238|HD 76606                                                                                                 |Double or Multiple Star               |08 56 24.602 -25 28 05.98              |250.615301 +12.748573              |            ~ ~   |9.15     |A3V                |    ~     ~    |    0|                |                         |        |                   
2239|CD-24 7566                                                                                               |Star                                  |08 56 30.3908087592 -24 52 28.359723252|250.1536748415032 +13.1367060594106|  -4.894 22.965   |9.82     |~                  |    ~     ~    |    1|  218.360   pc  |  -0.7438     +0.7438    |paral   |2020yCat.1350....0G
2240|HD 76799                                                                                                 |High Proper Motion Star               |08 57 40.4202075888 -24 50 27.989301048|250.2969727736395 +13.3642103577028| 59.008 -28.852   |7.10     |K0III              |    ~     ~    |    1|  178.984   pc  |  -0.7016     +0.7016    |paral   |2020yCat.1350....0G
2241|CD-24 7593                                                                                               |Star                                  |08 58 20.2826570472 -24 40 41.249663688|250.2636160090944 +13.5838906604691|  1.101 -12.920   |10.24    |~                  |    ~     ~    |    1|  237.012   pc  |  -0.9943     +0.9943    |paral   |2020yCat.1350....0G
2242|CD-24 7596                                                                                               |Long-Period Variable Candidate        |08 58 29.1967284096 -24 30 06.141235356|250.1440132169703 +13.7208447525568|  -4.406 -1.167   |9.01     |~                  |    ~     ~    |    1|  641.643   pc  | -10.1691    +10.1691    |paral   |2020yCat.1350....0G
2243|CD-24 7597                                                                                               |Star                                  |08 58 32.9362259328 -24 39 49.412752920|250.2830106450982 +13.6302310493737| -11.100 -5.002   |8.78     |~                  |    ~     ~    |    1|  524.109   pc  |  -6.0432     +6.0432    |paral   |2020yCat.1350....0G
2244|CD-24 7604                                                                                               |Star                                  |08 59 05.6256106728 -25 12 37.684044216|250.8000838736801 +13.3824397911498|  -18.927 1.885   |10.76    |~                  |    ~     ~    |    1|  278.583   pc  |  -1.3426     +1.3426    |paral   |2020yCat.1350....0G
2245|HD 77056                                                                                                 |High Proper Motion Star               |08 59 18.2600196000 -24 43 43.949293860|250.4461378957701 +13.7227506200161|-80.349 -84.587   |8.29     |G8V                |    ~     ~    |    1|   37.760   pc  |  -0.0271     +0.0271    |paral   |2020yCat.1350....0G
2246|CD-25 6641                                                                                               |Star                                  |08 50 58.4083132848 -25 50 44.848103388|250.1398597545534 +11.5538409607614|  -0.820 -4.261   |9.26     |~                  |    ~     ~    |    1|  536.970   pc  | -12.6003    +12.6003    |paral   |2020yCat.1350....0G
2247|HD 75945                                                                                                 |Star                                  |08 52 10.9492690320 -25 32 43.285593120|250.0700010303678 +11.9535469225354|   -4.653 3.645   |10.09    |A2IV               |    ~     ~    |    1|  535.820   pc  |  -5.0530     +5.0530    |paral   |2020yCat.1350....0G
2248|CD-25 6699                                                                                               |Star                                  |08 54 26.0315050320 -25 33 05.921457624|250.3970574893751 +12.3481123933464| -26.086 10.033   |10.14    |~                  |    ~     ~    |    1|  266.375   pc  |  -1.4546     +1.4546    |paral   |2020yCat.1350....0G
2249|HD 76355                                                                                                 |Double or Multiple Star               |08 54 51.3140 -25 33 21.475            |250.4610855 +12.4198066            |       -5.5 2.2   |8.63     |A3/4IV/V           |    ~     ~    |    0|                |                         |        |                   
2250|HD 76709                                                                                                 |Star                                  |08 57 01.9767414384 -25 33 58.062680892|250.7837314052555 +12.7968801409840|   -8.185 0.082   |9.32     |A0V                |    ~     ~    |    1|  548.396   pc  | -23.5478    +23.5478    |paral   |2020yCat.1350....0G
2251|NGC 2717                           NGC 2717                                                              |Galaxy                                |08 57 01.0969452192 -24 40 25.499838864|250.0671083031221 +13.3528375422658|            ~ ~   |     ~   |~                  |1.283 1.052    |    1|   29.65    Mpc |                         |        |2016AJ....152...50T
2252|CD-25 6648                                                                                               |Star                                  |08 51 19.3935229392 -25 58 57.597587796|250.2993351416876 +11.5313497812866|  -0.846 -4.142   |9.931    |~                  |    ~     ~    |    1|  665.294   pc  | -23.4600    +23.4600    |ST-L    |2020AJ....160...83S
2253|CD-25 6663                                                                                               |Star                                  |08 51 55.0879124544 -25 56 28.487896656|250.3503943087473 +11.6620951054146|  -12.955 6.115   |10.439   |~                  |    ~     ~    |    1|  849.986   pc  | -30.0900    +30.0900    |ST-L    |2020AJ....160...83S
2254|CD-24 7518                                                                                               |Star                                  |08 53 46.6213213368 -25 16 51.366040716|250.0855383809904 +12.4000124534380|   -4.055 1.295   |10.330   |~                  |    ~     ~    |    1|  703.521   pc  | -25.1400    +25.1400    |ST-L    |2020AJ....160...83S
2255|CD-23 7875                                                                                               |High Proper Motion Star               |08 54 22.6947615696 -23 55 26.836065480|249.0792933510898 +13.3473133035522|  -52.848 0.739   |10.197   |~                  |    ~     ~    |    1|  609.509   pc  | -23.5600    +23.5600    |ST-L    |2020AJ....160...83S
2256|CD-24 7536                                                                                               |Star                                  |08 54 41.959 -25 21 43.44              |250.283232 +12.512959              |     -2.7 -25.4   |10.26    |~                  |    ~     ~    |    0|                |                         |        |                   
2257|CD-23 7922                                                                                               |Star                                  |08 57 03.7344852480 -24 05 05.153698716|249.6001625097527 +13.7282288449054|-14.927 -26.856   |10.49    |~                  |    ~     ~    |    1|  245.447   pc  |  -3.2050     +3.2050    |paral   |2020yCat.1350....0G
2258|CD-24 7576                                                                                               |High Proper Motion Star               |08 57 09.0811752696 -24 39 29.384164980|250.0740178085430 +13.3861807734379|-18.295 -58.663   |10.20    |~                  |    ~     ~    |    1|  178.884   pc  |  -2.5760     +2.5760    |paral   |2020yCat.1350....0G
2259|CD-24 7578                                                                                               |Star                                  |08 57 16.7137424232 -24 42 35.992042056|250.1341729870976 +13.3763272971876|   -8.952 3.907   |10.40    |~                  |    ~     ~    |    1|  364.578   pc  |  -4.6521     +4.6521    |paral   |2020yCat.1350....0G
2260|CD-23 7944                                                                                               |Star                                  |08 58 16.0056001824 -23 32 07.406705940|249.3347083360238 +14.2862380924492|   3.423 -1.926   |10.211   |~                  |    ~     ~    |    1|  839.652   pc  | -45.3200    +45.3200    |ST-L    |2020AJ....160...83S
2261|CD-23 7958                                                                                               |Star                                  |08 59 06.7903383336 -23 55 30.525108168|249.7734580385334 +14.1936111084641|   -5.386 6.448   |10.69    |~                  |    ~     ~    |    1|  803.213   pc  | -10.1934    +10.1934    |paral   |2020yCat.1350....0G
2262|CD-24 7606                                                                                               |Spectroscopic Binary                  |08 59 07.8711337776 -24 42 56.900205144|250.4102205959053 +13.7004064676466|-102.393 44.643   |10.42    |~                  |    ~     ~    |    1|  166.157   pc  |  -0.7233     +0.7233    |paral   |2020yCat.1350....0G
2263|CD-23 7790                                                                                               |Star                                  |08 49 30.0635238480 -23 56 47.890511556|248.3961276385584 +12.4534243407350|   -7.793 6.386   |10.37    |~                  |    ~     ~    |    1| 1093.360   pc  | -68.9000    +68.9000    |ST-L    |2020AJ....160...83S
2264|CD-23 7793                                                                                               |Star                                  |08 49 39.6591513144 -23 54 59.223205044|248.3944089332752 +12.5007935945450|   -9.205 1.646   |9.73     |~                  |    ~     ~    |    1|  755.155   pc  | -34.2500    +34.2500    |ST-L    |2020AJ....160...83S
2265|HD 75564                                                                                                 |Star                                  |08 49 58.7593638216 -23 57 09.676873476|248.4692559518612 +12.5363670297238|  -28.766 0.315   |8.13     |K0III              |    ~     ~    |    1|  265.760   pc  |  -2.2177     +2.2177    |paral   |2020yCat.1350....0G
2266|CD-23 7809                                                                                               |Star                                  |08 50 37.1704647624 -23 48 08.662109760|248.4387912118647 +12.7440176864916|-21.011 -15.904   |9.61     |~                  |    ~     ~    |    1|  199.294   pc  |  -0.5084     +0.5084    |paral   |2020yCat.1350....0G
2267|CD-23 7789                                                                                               |High Proper Motion Star               |08 49 28.7530060680 -24 15 01.361748096|248.6395628929462 +12.2643789003667|  4.426 -55.503   |9.66     |~                  |    ~     ~    |    1|  240.056   pc  |  -0.8875     +0.8875    |paral   |2020yCat.1350....0G
2268|CPD-23 4148                                                                                              |Star                                  |08 48 55.6443655008 -24 01 19.088103648|248.3756826150723 +12.3036071684463|   2.207 -6.782   |10.60    |~                  |    ~     ~    |    1|  864.977   pc  |  -9.3523     +9.3523    |paral   |2020yCat.1350....0G
2269|CD-22 6734                                                                                               |Star                                  |08 55 31.8915849768 -23 23 58.603952472|248.8231689550415 +13.8791802757677|   -7.904 2.965   |10.461   |~                  |    ~     ~    |    1|  635.105   pc  | -20.4300    +20.4300    |ST-L    |2020AJ....160...83S
2270|HD 76481                                                                                                 |High Proper Motion Star               |08 55 43.6863197880 -23 23 21.030397368|248.8434798696931 +13.9210687260316|116.803 -67.706   |8.99     |G3V                |    ~     ~    |    1|  110.854   pc  |  -0.1696     +0.1696    |paral   |2020yCat.1350....0G
2271|BD-22 2444                                                                                               |Star                                  |08 56 16.8826899264 -23 20 58.624238112|248.8925406626207 +14.0452464805590|   -6.318 1.768   |9.95     |K0                 |    ~     ~    |    1|  624.649   pc  |  -4.9554     +4.9554    |paral   |2020yCat.1350....0G
2272|HD 76605                                                                                                 |Star                                  |08 56 29.8906517064 -23 27 58.003335288|249.0185246293605 +14.0119962769251|  -12.645 2.187   |9.748    |A1V                |    ~     ~    |    1|  515.397   pc  | -12.3600    +12.3600    |ST-L    |2020AJ....160...83S
2273|BD-22 2452                                                                                               |High Proper Motion Star               |08 57 24.3169477224 -23 23 24.651241368|249.0905109980066 +14.2222088572385| -22.107 49.995   |10.376   |A0                 |    ~     ~    |    1|  438.846   pc  | -14.2200    +14.2200    |ST-L    |2020AJ....160...83S
2274|HD 77085                                                                                                 |Star                                  |08 59 30.5737740048 -23 10 04.407205044|249.2224039665203 +14.7385694406517|  -20.600 5.877   |7.57     |K5III              |    ~     ~    |    1|  506.637   pc  |  -4.3379     +4.3379    |paral   |2020yCat.1350....0G
2275|CD-23 7816                                                                                               |Star                                  |08 51 10.5238891128 -23 57 59.129211564|248.6515147217153 +12.7442814759961| -37.786 14.201   |10.28    |~                  |    ~     ~    |    1|  209.569   pc  |  -1.5372     +1.5372    |paral   |2020yCat.1350....0G
2276|CD-23 7838                                                                                               |Star                                  |08 52 26.2947045240 -23 55 32.069365428|248.7999261026815 +12.9972435455118|  5.195 -14.478   |9.78     |~                  |    ~     ~    |    1|  588.541   pc  | -18.9700    +18.9700    |ST-L    |2020AJ....160...83S
2277|CD-23 7851                                                                                               |Spectroscopic Binary                  |08 53 20.1860657136 -23 38 00.862589184|248.6931662725073 +13.3388317679137|  -4.564 -1.481   |10.50    |~                  |    ~     ~    |    1|  682.967   pc  | -19.2175    +19.2175    |paral   |2020yCat.1350....0G
2278|CD-23 7877                                                                                               |Star                                  |08 54 28.3759845648 -23 43 38.828167932|248.9340575611439 +13.4858403792894|  -14.947 6.709   |10.39    |~                  |    ~     ~    |    1|  693.914   pc  |  -9.2451     +9.2451    |paral   |2020yCat.1350....0G
2279|V* VY Pyx                                                                                                |Type II Cepheid Variable              |08 54 29.6304994464 -23 31 18.574555548|248.7707064725364 +13.6165554730941|  11.081 29.509   |7.24     |F3/5III            |    ~     ~    |    1|  253.197   pc  |  -1.1924     +1.1924    |paral   |2020yCat.1350....0G
2280|HD 76402                                                                                                 |Star                                  |08 55 10.0615766712 -23 42 24.420527496|249.0184753578603 +13.6236076707344|  -8.643 -2.370   |9.41     |F3V                |    ~     ~    |    1|  435.388   pc  |  -3.8860     +3.8860    |paral   |2020yCat.1350....0G
2281|CD-23 7911                                                                                               |Star                                  |08 56 32.4669151200 -23 29 09.950312580|249.0409728875696 +14.0073099973163|   -9.521 1.461   |9.78     |~                  |    ~     ~    |    1|  375.799   pc  |  -2.8951     +2.8951    |paral   |2020yCat.1350....0G
2282|CD-23 7925                                                                                               |Star                                  |08 57 10.9351662912 -23 35 05.831475900|249.2149427553676 +14.0609876396334|  -10.696 7.873   |10.38    |~                  |    ~     ~    |    1|  629.205   pc  | -16.8200    +16.8200    |ST-L    |2020AJ....160...83S
2283|V* BL Pyx                                                                                                |Asymptotic Giant Branch Star Candidate|08 59 02.3232415176 -23 16 30.166230720|249.2389539404539 +14.5871507155933|  -1.518 -3.561   |10.01    |M6                 |    ~     ~    |    1|  804.441   pc  | -36.5625    +36.5625    |paral   |2020yCat.1350....0G
2284|LP 844-22                                                                                                |High Proper Motion Star               |08 52 50.2321945848 -23 43 59.733238152|248.7017165972956 +13.1873994549638|-10.436 250.033   |10.90    |~                  |    ~     ~    |    1|   68.602   pc  |  -0.3157     +0.3157    |ST-L    |2020AJ....160...83S
2285|TYC 6585-1624-1                                                                                          |Star                                  |08 57 22.6528159200 -23 23 20.514669432|249.0854985728659 +14.2179410978432|   -5.533 3.846   |10.69    |~                  |    ~     ~    |    1| 1450.537   pc  | -62.2801    +62.2801    |paral   |2020yCat.1350....0G
2286|CD-23 7885                                                                                               |Star                                  |08 55 03.2762380128 -23 36 06.902520840|248.9172033882882 +13.6681314980667|   -9.123 5.790   |10.364   |~                  |    ~     ~    |    1| 1095.740   pc  | -67.9100    +67.9100    |ST-L    |2020AJ....160...83S
2287|TYC 6585-1512-1                                                                                          |Star                                  |08 58 14.2202759352 -23 30 40.968206532|249.3109556027401 +14.2958931929845|   -1.053 0.914   |10.802   |~                  |    ~     ~    |    1| 1524.430   pc  |-133.7000   +133.7000    |ST-L    |2020AJ....160...83S
2288|CPD-22 4011                                                                                              |Star                                  |08 58 40.2954454704 -23 14 32.887323240|249.1582587576145 +14.5416337909986|  -9.116 12.633   |10.14    |~                  |    ~     ~    |    1| 1442.793   pc  | -31.2248    +31.2248    |paral   |2020yCat.1350....0G
2289|CD-23 7781                                                                                               |Star                                  |08 48 56.6501800080 -23 57 32.736914460|248.3269743537056 +12.3448813661074|   -9.773 4.323   |10.66    |~                  |    ~     ~    |    1|  731.797   pc  |  -7.1225     +7.1225    |paral   |2020yCat.1350....0G
2290|CD-25 6609                                                                                               |Star                                  |08 49 31.7164962672 -25 30 08.461298304|249.6591630955638 +11.5080094066184|  -3.694 -6.347   |10.399   |~                  |    ~     ~    |    1|  923.222   pc  | -46.4300    +46.4300    |ST-L    |2020AJ....160...83S
2291|HD 76606A                                                                                                |Star                                  |08 56 24.594 -25 28 06.59              |250.615417 +12.748443              |      -2.6 -2.6   |9.19     |~                  |    ~     ~    |    0|                |                         |        |                   
2292|TYC 6572-1380-1                                                                                          |Star                                  |08 52 24.3885952920 -23 41 10.906525608|248.6015224735104 +13.1383944138120|   8.659 -4.561   |10.98    |~                  |    ~     ~    |    1|  339.225   pc  |  -1.4729     +1.4729    |paral   |2020yCat.1350....0G
2293|TYC 6572-1673-1                                                                                          |Star                                  |08 55 15.9024031512 -24 01 40.337276376|249.2919416413540 +13.4422128797271|   -2.773 3.591   |10.412   |~                  |    ~     ~    |    1|  610.044   pc  | -18.6800    +18.6800    |ST-L    |2020AJ....160...83S
2294|TYC 6572-1869-1                                                                                          |Spectroscopic Binary                  |08 54 37.4457372384 -23 36 54.443134008|248.8651761550953 +13.5824373563855|  7.552 -16.031   |10.48    |~                  |    ~     ~    |    1|  431.984   pc  | -10.7488    +10.7488    |paral   |2020yCat.1350....0G
2295|TYC 6572-1883-1                                                                                          |Star                                  |08 55 47.6551630728 -24 12 35.795194740|249.5157721338052 +13.4239085701508|   -6.623 2.096   |10.73    |~                  |    ~     ~    |    1|  880.669   pc  | -13.1073    +13.1073    |paral   |2020yCat.1350....0G
2296|TYC 6572-1893-1                                                                                          |Star                                  |08 52 26.4202326888 -23 51 57.666874140|248.7519941649077 +13.0342062315608|  -19.678 7.652   |10.60    |~                  |    ~     ~    |    1|  500.651   pc  | -12.7080    +12.7080    |paral   |2020yCat.1350....0G
2297|TYC 6576-60-1                                                                                            |Star                                  |08 51 08.4474710808 -25 28 46.214772168|249.8689061387973 +11.8091479857110|   -8.902 0.959   |10.550   |~                  |    ~     ~    |    1|  807.648   pc  | -37.4700    +37.4700    |ST-L    |2020AJ....160...83S
2298|TYC 6576-140-1                                                                                           |Star                                  |08 53 43.3564925016 -25 28 45.064720452|250.2368998994170 +12.2673888990701|   -7.344 8.375   |10.84    |~                  |    ~     ~    |    1|  556.421   pc  | -11.7340    +11.7340    |paral   |2020yCat.1350....0G
2299|TYC 6576-161-1                                                                                           |High Proper Motion Star               |08 50 48.8027444664 -24 49 31.083118608|249.2948061922598 +12.1527823974372| 39.873 -32.749   |10.84    |~                  |    ~     ~    |    1|  227.531   pc  |  -9.5982     +9.5982    |paral   |2020yCat.1350....0G
2300|TYC 6576-343-1                                                                                           |Star                                  |08 49 12.9377781936 -24 40 31.714197132|248.9466659527643 +11.9575476998606|   1.778 10.582   |10.563   |~                  |    ~     ~    |    1|  827.858   pc  | -32.7400    +32.7400    |ST-L    |2020AJ....160...83S
2301|TYC 6576-427-1                                                                                           |Star                                  |08 50 59.5810603896 -25 00 19.371649824|249.4657669574854 +12.0743776179753|  -10.690 3.065   |10.95    |~                  |    ~     ~    |    1|  531.915   pc  |  -5.2343     +5.2343    |paral   |2020yCat.1350....0G
2302|TYC 6576-539-1                                                                                           |Star                                  |08 54 00.6797090736 -24 38 55.733245548|249.6108316798938 +12.8333738705344|   -9.119 5.747   |10.95    |~                  |    ~     ~    |    0|                |                         |        |                   
2303|TYC 6576-654-1                                                                                           |Star                                  |08 49 19.0471794168 -25 31 58.967781060|249.6541459555936 +11.4515506058759| -12.638 11.585   |10.78    |~                  |    ~     ~    |    1|  917.095   pc  | -18.9239    +18.9239    |paral   |2020yCat.1350....0G
2304|TYC 6576-675-1                                                                                           |Star                                  |08 55 17.5605956136 -24 38 59.708546916|249.7970254760084 +13.0610578785679| -19.948 -5.479   |10.76    |~                  |    ~     ~    |    1|  646.621   pc  |  -5.5610     +5.5610    |paral   |2020yCat.1350....0G
2305|TYC 6576-790-1                                                                                           |Star                                  |08 51 24.3197254008 -25 46 06.608135460|250.1389069791623 +11.6780175582650|  -2.826 -1.136   |10.854   |~                  |    ~     ~    |    1| 1132.960   pc  | -79.1400    +79.1400    |ST-L    |2020AJ....160...83S
2306|TYC 6576-876-1                                                                                           |High Proper Motion Star               |08 55 05.6700737376 -25 37 45.907171716|250.5543328948501 +12.4162253677327| 10.767 -49.893   |10.55    |~                  |    ~     ~    |    1|  127.021   pc  |  -0.8051     +0.8051    |paral   |2020yCat.1350....0G
2307|TYC 6576-1048-1                                                                                          |Star                                  |08 51 30.6715542480 -25 56 27.329080776|250.2924343776681 +11.5903553656457|   -8.993 3.169   |10.922   |~                  |    ~     ~    |    1| 1252.810   pc  | -91.0200    +91.0200    |ST-L    |2020AJ....160...83S
2308|TYC 6576-1170-1                                                                                          |Star                                  |08 50 39.1751240112 -26 02 12.344205192|250.2480471261318 +11.3794241459435|  -3.075 -2.544   |10.44    |~                  |    ~     ~    |    1|  654.193   pc  | -13.9090    +13.9090    |paral   |2020yCat.1350....0G
2309|TYC 6576-1671-1                                                                                          |Star                                  |08 51 34.6914872040 -24 48 47.012004180|249.3939928096408 +12.2972475457337|  -10.495 5.579   |10.49    |~                  |    ~     ~    |    1|  723.207   pc  | -29.6400    +29.6400    |ST-L    |2020AJ....160...83S
2310|TYC 6576-1672-1                                                                                          |Star                                  |08 51 33.0773644512 -25 58 11.739675144|250.3214034341514 +11.5795366334289|-16.737 -11.704   |10.81    |~                  |    ~     ~    |    1|  326.765   pc  |  -2.2636     +2.2636    |paral   |2020yCat.1350....0G
2311|TYC 6576-1692-1                                                                                          |Star                                  |08 49 58.3821537960 -26 04 57.191685924|250.1890305496457 +11.2308905074323|   -4.212 0.171   |10.66    |~                  |    ~     ~    |    1| 2207.506   pc  | -72.6089    +72.6089    |paral   |2020yCat.1350....0G
2312|TYC 6576-1768-1                                                                                          |Spectroscopic Binary                  |08 49 34.4155525248 -25 58 32.629705680|250.0468966325481 +11.2257078027074|   -6.530 0.382   |10.70    |~                  |    ~     ~    |    1|  600.998   pc  |  -5.6347     +5.6347    |paral   |2020yCat.1350....0G
2313|TYC 6576-1778-1                                                                                          |Spectroscopic Binary                  |08 51 28.0404758376 -25 40 22.760869908|250.0709229591313 +11.7479209796704| -22.471 33.147   |10.99    |~                  |    ~     ~    |    1|  204.298   pc  |  -1.6987     +1.6987    |paral   |2020yCat.1350....0G
2314|TYC 6576-1785-1                                                                                          |Star                                  |08 50 57.4180751256 -25 05 33.504828504|249.5310367534509 +12.0143260835469|-18.816 -17.112   |10.97    |~                  |    ~     ~    |    1|  157.218   pc  |  -0.3757     +0.3757    |paral   |2020yCat.1350....0G
2315|TYC 6576-1901-1                                                                                          |Star                                  |08 55 17.8691154648 -25 00 35.216568144|250.0869222415342 +12.8381603393150|  -6.741 -6.725   |10.91    |~                  |    ~     ~    |    1| 2505.638   pc  | -69.6882    +69.6882    |paral   |2020yCat.1350....0G
2316|TYC 6576-1927-1                                                                                          |Star                                  |08 54 24.4583857896 -25 15 31.079594700|250.1582639113188 +12.5256323590440|  -14.148 5.017   |10.649   |~                  |    ~     ~    |    1| 1098.420   pc  | -71.8200    +71.8200    |ST-L    |2020AJ....160...83S
2317|TYC 6576-1957-1                                                                                          |Star                                  |08 53 20.5114022424 -25 19 33.230176248|250.0592541603790 +12.2949612297841|   -9.832 1.291   |10.572   |~                  |    ~     ~    |    1| 1139.440   pc  | -74.6100    +74.6100    |ST-L    |2020AJ....160...83S
2318|TYC 6576-1967-1                                                                                          |Star                                  |08 54 10.4310953112 -24 51 35.278586064|249.8041025189651 +12.7316343756239| -13.983 11.022   |10.91    |~                  |    ~     ~    |    1|  401.171   pc  |  -2.4463     +2.4463    |paral   |2020yCat.1350....0G
2319|TYC 6576-2032-1                                                                                          |Star                                  |08 50 27.1440836592 -25 57 06.739575588|250.1515126401248 +11.3961864818800|  -9.952 -1.563   |10.82    |~                  |    ~     ~    |    1|  310.154   pc  |  -1.3275     +1.3275    |paral   |2020yCat.1350....0G
2320|TYC 6576-2038-1                                                                                          |Star                                  |08 53 33.4424148072 -25 40 11.028881172|250.3661035081719 +12.1199195212159|   1.590 -6.487   |10.47    |~                  |    ~     ~    |    1|  283.118   pc  |  -6.1720     +6.1720    |paral   |2020yCat.1350....0G
2321|TYC 6576-2212-1                                                                                          |Star                                  |08 48 54.1952052072 -26 05 02.259981816|250.0398968846371 +11.0403896897050| -4.766 -13.756   |10.96    |~                  |    ~     ~    |    1|  471.165   pc  |  -2.4864     +2.4864    |paral   |2020yCat.1350....0G
2322|TYC 6585-11-1                                                                                            |Star                                  |08 58 46.6634193672 -23 12 27.410764032|249.1458458955760 +14.5824386626222|-13.223 -13.841   |10.92    |~                  |    ~     ~    |    1|  261.076   pc  |  -1.0838     +1.0838    |paral   |2020yCat.1350....0G
