C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:55:11

Vmag< 11&dec< 0&rah >=14.75&rah< 15.0
-------------------------------------

Number of objects : 5804

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------
394 |AKARI-IRC-V1 J1446244-343318                                          |Long-Period Variable Candidate |14 46 24.4250872056 -34 33 18.978514056|328.3313146558277 +22.5836886339784|  -9.435 -5.346    |10.98    |~              |    ~     ~    
395 |CD-35 9779                                                            |Long-Period Variable Candidate |14 46 32.5972147968 -36 15 36.417432420|327.5107133857082 +21.0582481044807|  -2.125 -0.700    |10.35    |~              |    ~     ~    
396 |TYC 7305-10-1                                                         |Star                           |14 48 23.2227077976 -34 52 20.054531208|328.5606482109783 +22.1135478983228| -14.097 -3.680    |10.84    |~              |    ~     ~    
397 |TYC 7305-49-1                                                         |Star                           |14 46 50.4712804080 -34 06 26.542078488|328.6431817843950 +22.9385728985002|  11.322 -5.902    |10.65    |~              |    ~     ~    
398 |TYC 7305-673-1                                                        |Star                           |14 48 32.5452389616 -33 56 53.962868796|329.0621710594391 +22.9135491831387|  -13.340 5.370    |10.63    |~              |    ~     ~    
399 |TYC 7305-1019-1                                                       |Spectroscopic Binary           |14 48 14.1203496696 -34 27 01.580438268|328.7449689073578 +22.5005980726531|-22.652 -16.560    |10.88    |~              |    ~     ~    
400 |TYC 7305-1198-1                                                       |Star                           |14 47 05.4700078416 -34 41 57.027475788|328.3938633840343 +22.3908882374878| -12.954 -5.118    |10.50    |~              |    ~     ~    
401 |TYC 7305-1242-1                                                       |Star                           |14 48 31.6971636576 -35 05 13.566249456|328.4794824786478 +21.9102223156845| -1.479 -10.922    |10.28    |~              |    ~     ~    
402 |TYC 7305-2177-1                                                       |Star                           |14 48 23.9057708640 -34 38 14.494781904|328.6820158941894 +22.3198215985106|  -0.073 -2.475    |10.93    |~              |    ~     ~    
403 |TYC 7309-463-1                                                        |Star                           |14 45 09.7527653976 -35 51 33.228692532|327.4411341381322 +21.5423705669923| -13.650 -7.976    |10.46    |~              |    ~     ~    
404 |TYC 7309-1135-1                                                       |Star                           |14 46 46.9645880160 -35 51 40.850600652|327.7536096192637 +21.3900493850389| -16.705 -8.600    |10.76    |~              |    ~     ~    
405 |TYC 7309-2143-1                                                       |Star                           |14 46 42.4020554304 -36 23 29.744570652|327.4773649155094 +20.9263357488582|   -3.609 1.499    |10.86    |~              |    ~     ~    
406 |HD 130771                                                             |Star                           |14 50 03.2958061128 -00 00 20.070170316|354.2342346183959 +50.6583086484841| 23.813 -16.843    |7.58     |A5IV           |    ~     ~    
407 |HD 130969                                                             |Star                           |14 51 02.5411061328 -00 01 36.388986420|354.4901208097834 +50.4713116992605| -12.286 26.943    |8.39     |K0III          |    ~     ~    
408 |BD+00 3247                                                            |High Proper Motion Star        |14 49 22.4575375968 -00 15 35.354396304|353.7632231226612 +50.5926451617969| 22.255 -53.254    |9.84     |F8             |    ~     ~    
409 |HD 130918                                                             |Star                           |14 50 49.0248628656 -00 33 27.022889592|353.8500350135327 +50.1282689866555|  16.432 -6.575    |8.46     |F0V            |    ~     ~    
410 |BD+00 3252                                                            |High Proper Motion Star        |14 50 53.2048584408 -00 24 41.853597912|354.0272371211111 +50.2215685432160|-67.464 -28.957    |9.60     |G0V            |    ~     ~    
411 |HD 130970                                                             |Star                           |14 51 00.0952698312 -00 15 26.981961012|354.2268309776000 +50.3126916141504|  -31.541 5.230    |6.175    |K4III          |    ~     ~    
412 |BD-00 2885                                                            |Star                           |14 48 50.3367362976 -01 21 51.331099680|352.4303274342943 +49.8778815568717|   -4.222 3.589    |10.08    |G8III          |    ~     ~    
413 |HD 130557                                                             |Star                           |14 48 54.0951176448 -00 50 51.577565208|352.9951928414722 +50.2461595568351|  -8.496 19.344    |6.136    |A0IV           |    ~     ~    
414 |BD-00 2890a                                                           |Star                           |14 50 58.3596810288 -01 26 04.905935628|352.9608243878452 +49.4637939210061|   22.699 2.084    |10.33    |F8             |    ~     ~    
415 |HD 130839                                                             |Star                           |14 50 28.4539964568 -00 49 23.628719064|353.4680750740993 +49.9947419873430|-42.859 -14.733    |9.25     |K1V            |    ~     ~    
416 |BD-00 2890b                                                           |High Proper Motion Star        |14 50 59.8653108504 -01 23 01.724326908|353.0213359822158 +49.4967001939164|-53.202 -160.021   |9.42     |K0             |    ~     ~    
417 |HD 130605                                                             |High Proper Motion Star        |14 49 08.5887885960 -01 41 20.809750848|352.1774300932801 +49.5870364765844|-39.846 -81.590    |9.05     |K0IV           |    ~     ~    
418 |HD 130640                                                             |Star                           |14 49 25.6920555792 -02 00 37.053352044|351.9258578566689 +49.3015990625808| -26.485 -1.761    |9.44     |F0V            |    ~     ~    
419 |BD-00 2889                                                            |Star                           |14 50 10.9247465184 -00 55 29.823140208|353.2769065595337 +49.9708671247916|-11.025 -14.958    |10.381   |~              |    ~     ~    
420 |TYC 4987-296-1                                                        |Star                           |14 52 55.5873583656 -00 11 49.121318652|354.8310870647728 +50.0204335900851|  30.692 13.781    |10.6     |F8             |    ~     ~    
421 |BD+00 3262                                                            |High Proper Motion Star        |14 53 03.3363355152 -00 00 29.196951192|355.0733929710920 +50.1323811294597| -91.485 26.066    |10.3     |F8             |    ~     ~    
422 |BD+00 3276                                                            |High Proper Motion Star        |14 56 41.8418378688 -00 01 23.892922992|356.0539608339246 +49.4776590643195| -58.663 49.457    |9.812    |F8             |    ~     ~    
423 |* 1 Ser                                                               |High Proper Motion Star        |14 57 33.2513485248 -00 10 03.402965280|356.1269862372280 +49.2237966418250| 59.929 -26.500    |5.512    |K1III          |    ~     ~    
424 |TYC 4987-366-1                                                        |High Proper Motion Star        |14 57 29.3168854464 -00 11 05.751511548|356.0904798757338 +49.2233223194112| 68.209 -24.839    |10.21    |~              |    ~     ~    
425 |HD 132567                                                             |High Proper Motion Star        |14 59 50.6525205432 -00 04 22.194256008|356.8404390648019 +48.8801127346029|-150.866 14.769    |8.63     |K1IV           |    ~     ~    
426 |HD 131024                                                             |Star                           |14 51 20.2015505016 -00 14 45.779627508|354.3335498916578 +50.2626922184203|-34.836 -11.340    |9.23     |G0V            |    ~     ~    
427 |HD 131455                                                             |Star                           |14 53 46.6573658568 -00 25 28.854188328|354.8193492691391 +49.7088720601741|    0.575 9.507    |8.01     |K0III          |    ~     ~    
428 |HD 131479                                                             |High Proper Motion Star        |14 53 49.8494447184 -00 24 20.141581068|354.8547033492311 +49.7131790312400| 21.393 -59.545    |7.36     |G8III/IV       |    ~     ~    
429 |** STT 4131C                                                          |Star                           |14 53 38.4 -00 27 48                   |354.7395 +49.7053                  |            ~ ~    |10.8     |~              |    ~     ~    
430 |BD+00 3282                                                            |Star                           |14 58 30.1621144128 -00 29 07.120881852|356.0357837260617 +48.8318978417485| -23.934 -4.964    |10.7     |K0             |    ~     ~    
431 |BD+00 3284                                                            |Star                           |14 58 45.0130155552 -00 29 24.984636900|356.0963861407479 +48.7843543655415| -19.821 30.304    |10.17    |G0             |    ~     ~    
432 |HD 132392                                                             |Star                           |14 58 56.4055699200 -00 20 33.727778376|356.3067804634478 +48.8539208470698| 13.906 -18.343    |8.08     |G8III/IV       |    ~     ~    
433 |HD 132526                                                             |Star                           |14 59 38.7074868168 -00 27 14.360030136|356.3731713589967 +48.6501217879330| -11.435 18.533    |9.25     |F2V            |    ~     ~    
434 |BD+00 3292                                                            |Spectroscopic Binary           |14 59 56.2309280592 -00 26 42.214404444|356.4600289003097 +48.6041359334121|   1.337 -1.112    |10.520   |A5             |    ~     ~    
435 |HD 131067                                                             |Star                           |14 51 31.8401678904 -01 08 40.165588032|353.4234615998520 +49.5798789360745|-23.569 -24.490    |9.34     |G6V            |    ~     ~    
436 |HD 131251                                                             |Star                           |14 52 32.4155822640 -01 24 28.464023736|353.4272612801274 +49.2151121446885|-14.433 -23.438    |8.92     |F6V            |    ~     ~    
437 |BD-00 2896                                                            |Star                           |14 52 35.9899294728 -00 37 28.541653464|354.2771292916212 +49.7710663201137| 20.314 -40.143    |10.7     |G0             |    ~     ~    
438 |HD 131304                                                             |Star                           |14 52 49.0698044112 -01 12 48.534049728|353.7094293254887 +49.3084123544142|  15.910 10.703    |9.07     |G1V            |    ~     ~    
439 |BD-00 2898                                                            |Star                           |14 53 10.7345535264 -00 44 36.442910004|354.3102266531583 +49.5849896710758| 31.981 -24.652    |10.604   |F8             |    ~     ~    
440 |BD-00 2901                                                            |Star                           |14 55 29.6965960320 -00 46 30.135663444|354.9128001882866 +49.1580912046761|-14.442 -13.995    |10.4     |F8             |    ~     ~    
441 |BD-00 2902                                                            |Star                           |14 55 35.9474807784 -01 26 59.756507232|354.2244956889891 +48.6565975151424|  -36.284 3.159    |9.65     |F5             |    ~     ~    
442 |HD 132036                                                             |Star                           |14 57 02.5943103648 -00 48 15.178513320|355.3011508139848 +48.8652312044150|  -6.730 -0.450    |9.517    |F3/5V          |    ~     ~    
443 |HD 132092                                                             |delta Sct Variable             |14 57 24.4402183728 -01 25 50.384709552|354.7337541989719 +48.3553440396674|-16.714 -10.590    |9.19     |A5II(m)        |    ~     ~    
444 |BD-00 2908                                                            |Star                           |14 58 18.9869375208 -01 04 56.859199680|355.3457519782837 +48.4435193482116| -13.168 -8.618    |9.55     |M0             |    ~     ~    
445 |BD-00 2909                                                            |Star                           |14 58 34.2108073152 -00 51 22.386604716|355.6548026769520 +48.5587322539513|  19.543 -0.713    |10.23    |F2             |    ~     ~    
446 |BD-00 2910                                                            |High Proper Motion Star        |14 58 39.7966142208 -01 01 17.628680388|355.5030854016002 +48.4254246345463|-59.883 -13.973    |9.80     |K2             |    ~     ~    
447 |BD-01 2993                                                            |High Proper Motion Star        |14 52 17.3416712040 -01 43 08.573490804|353.0316973805135 +49.0314343990343| -43.932 28.070    |10.563   |K0             |    ~     ~    
448 |HD 131553                                                             |Star                           |14 54 20.9092450800 -01 52 19.957631484|353.4414653947867 +48.5672867536178|  42.782 -6.425    |9.707    |F0V            |    ~     ~    
449 |HD 132212                                                             |High Proper Motion Star        |14 57 56.1388495224 -01 43 50.936651868|354.5607183564160 +48.0483873782551|-56.064 -30.262    |8.95     |F6V            |    ~     ~    
450 |BD-01 3001                                                            |Star                           |14 58 59.0477319168 -01 49 59.305805868|354.7335994728457 +47.7920910118547| 26.556 -18.298    |9.80     |F8             |    ~     ~    
451 |HD 132426                                                             |Star                           |14 59 12.6349729272 -01 48 27.189383868|354.8203836921208 +47.7707395084033| 10.207 -20.107    |8.69     |K0III          |    ~     ~    
452 |V* EH Lib                                                             |delta Sct Variable             |14 58 55.9230581328 -00 56 53.011061520|355.6530097504319 +48.4298308442222| -15.476 -6.989    |9.83     |A5             |    ~     ~    
453 |TYC 4986-41-1                                                         |Star                           |14 52 24.5225337264 -00 29 13.528567140|354.3721809310621 +49.9030957454186|   9.296 -8.011    |10.8     |~              |    ~     ~    
454 |TYC 4986-96-1                                                         |High Proper Motion Star        |14 52 27.5918752800 -00 39 06.907170852|354.2087661592366 +49.7757211798820| 14.366 -68.467    |10.5     |~              |    ~     ~    
455 |TYC 4986-115-1                                                        |Star                           |14 52 23.3779819416 -01 04 02.518045860|353.7452284972915 +49.4880284974597|   2.945 -0.611    |10.369   |~              |    ~     ~    
456 |TYC 4986-263-1                                                        |High Proper Motion Star        |14 50 34.5555562728 -01 52 03.426460896|352.3977092321201 +49.2135466692290| 40.044 -38.320    |10.20    |~              |    ~     ~    
457 |TYC 4987-143-1                                                        |High Proper Motion Star        |14 59 26.6051154000 -00 29 03.188798160|356.2870647605953 +48.6650006417065|  -49.291 4.983    |10.7     |~              |    ~     ~    
458 |TYC 4987-182-1                                                        |Star                           |14 57 35.3101415736 -00 14 29.480406144|356.0556417327908 +49.1658083423553| -4.590 -16.091    |10.2     |~              |    ~     ~    
459 |TYC 4987-194-1                                                        |Star                           |14 53 27.5866777104 -01 26 44.186110008|353.6424742608678 +49.0296507661396|  21.534 -7.537    |10.281   |~              |    ~     ~    
460 |2MASS J14575100-0128576                                               |Long-Period Variable           |14 57 51.0049640304 -01 28 57.511870896|354.7978525754053 +48.2407702837730| -18.747 -5.356    |9.933    |~              |    ~     ~    
461 |BD+00 3290A                                                           |High Proper Motion Star        |14 59 41.8626027722 -00 23 00.349231570|356.4635085188558 +48.6900246243043| -57.687 -8.655    |10.95    |~              |    ~     ~    
462 |TYC 4987-365-1                                                        |Star                           |14 58 02.4531242184 -00 34 59.886569352|355.8065779479485 +48.8450130747473| -1.969 -18.143    |9.71     |~              |    ~     ~    
463 |TYC 4987-395-1                                                        |Star                           |14 56 06.4078894896 -00 28 22.494613692|355.4045618522836 +49.2651941418399| -14.149 -6.250    |10.5     |~              |    ~     ~    
464 |TYC 4987-427-1                                                        |Star                           |14 57 21.6893309088 -01 34 04.577430000|354.5771783763757 +48.2651708709726|  -14.723 5.088    |10.491   |~              |    ~     ~    
465 |TYC 4987-517-1                                                        |Star                           |14 53 28.8858217584 -00 22 41.357955036|354.7879334125919 +49.7939342848188|   -8.703 2.751    |10.0     |~              |    ~     ~    
466 |TYC 4987-527-1                                                        |Spectroscopic Binary           |14 59 58.8761706840 -00 07 17.580493200|356.8233841306254 +48.8216179581964| -10.283 27.004    |10.5     |~              |    ~     ~    
467 |TYC 4987-613-1                                                        |Star                           |14 55 37.9652230152 -01 48 09.677493216|353.8645050230984 +48.3964676951197|-11.245 -17.945    |10.92    |~              |    ~     ~    
468 |TYC 4987-624-1                                                        |Star                           |14 54 53.3848151856 -00 33 07.150511520|354.9874175579827 +49.4231794721512| -23.634 14.049    |10.5     |~              |    ~     ~    
469 |TYC 4987-626-1                                                        |Star                           |14 57 32.6665362144 -00 50 26.555654796|355.3969150328617 +48.7509892451079|   5.351 -7.041    |10.964   |~              |    ~     ~    
470 |TYC 4987-634-1                                                        |Star                           |14 54 31.7418622056 -01 40 28.544464128|353.6967795944274 +48.6795617606848|      -26.4 9.8    |10.550   |~              |    ~     ~    
471 |TYC 4987-678-1                                                        |High Proper Motion Star        |14 56 05.7146254248 -01 50 28.384420992|353.9499585586622 +48.2887018172865| 80.714 -61.098    |10.60    |~              |    ~     ~    
472 |TYC 4987-714-1                                                        |Spectroscopic Binary           |14 55 48.4741007928 -01 08 43.915121484|354.6028248638103 +48.8386738095382|    1.308 3.081    |10.38    |~              |    ~     ~    
473 |BD-00 2900                                                            |Star                           |14 53 39.9642041448 -01 07 48.667397700|354.0324514184758 +49.2220626259244| 12.802 -23.954    |10.24    |~              |    ~     ~    
474 |TYC 4987-790-1                                                        |Star                           |14 59 06.2707910160 -01 19 54.930014940|355.2912769924866 +48.1277402556499|  -23.764 1.611    |10.18    |~              |    ~     ~    
475 |TYC 4991-409-1                                                        |Star                           |14 54 47.7325005768 -01 56 18.781826856|353.4950629866381 +48.4423178592966|  -35.582 7.471    |10.642   |~              |    ~     ~    
476 |TYC 4991-432-1                                                        |Star                           |14 59 01.0937852832 -01 55 07.434236712|354.6536099803395 +47.7249577412323|      -18.7 0.9    |10.44    |~              |    ~     ~    
477 |BD+00 3283                                                            |Long-Period Variable           |14 58 42.5308569744 -00 33 14.602539888|356.0164737799844 +48.7469284424386|   -9.755 7.660    |9.63     |M6             |    ~     ~    
478 |BD-01 2990                                                            |Star                           |14 50 19.9964698632 -02 14 43.356951996|351.9402281331022 +48.9755576681006|  14.956 -8.553    |9.79     |F0             |    ~     ~    
479 |* 11 Lib                                                              |High Proper Motion Star        |14 51 01.0720205236 -02 17 56.941059804|352.0775880143138 +48.8206929598298|89.935 -124.303    |4.94     |K0III/IV       |    ~     ~    
480 |BD-02 3901                                                            |Star                           |14 49 04.6004147712 -03 16 22.257499872|350.5495216241892 +48.4173348960800|  -4.654 -0.381    |10.144   |G8III          |    ~     ~    
481 |BD-03 3679                                                            |High Proper Motion Star        |14 50 17.2343353776 -03 52 26.852269656|350.2985394014696 +47.7656708646396| 85.685 -66.314    |9.67     |K0             |    ~     ~    
482 |HD 130898                                                             |Red Giant Branch star          |14 50 51.7480700400 -04 08 00.688510104|350.2067838666229 +47.4757699666412| -86.373 26.062    |7.87     |K0IV/V         |    ~     ~    
483 |BD-03 3676                                                            |Star                           |14 49 23.6545931880 -04 00 48.428088984|349.9121868871676 +47.8060260862757|  -4.010 -9.994    |10.872   |~              |    ~     ~    
484 |BD-02 3904                                                            |Star                           |14 50 47.5703951352 -03 17 03.338126916|351.0211234429132 +48.1256611186318| 12.312 -33.021    |10.475   |~              |    ~     ~    
485 |BD-02 3903                                                            |Star                           |14 50 11.2188716544 -03 19 21.807092532|350.8130900456125 +48.1969978843144| 16.071 -20.248    |9.73     |~              |    ~     ~    
486 |BD-02 3905                                                            |Spectroscopic Binary           |14 50 48.9929396952 -03 09 02.671209504|351.1607184628774 +48.2215570351394|-263.064 -109.465  |10.62    |~              |    ~     ~    
487 |HD 131715                                                             |Star                           |14 55 16.1759256096 -02 06 50.706119448|353.4428918466774 +48.2334214019219| -38.460 -9.323    |8.95     |F8V            |    ~     ~    
488 |BD-01 2998                                                            |Star                           |14 55 24.2204637504 -02 02 11.697859392|353.5594663548419 +48.2666335064088| -2.851 -11.453    |10.22    |F8             |    ~     ~    
489 |HD 131025                                                             |High Proper Motion Star        |14 51 26.0040010200 -02 27 26.552969424|352.0323428069039 +48.6338301904327|-4.927 -129.680    |8.48     |G8V            |    ~     ~    
490 |BD-01 3000                                                            |Star                           |14 58 25.9826274240 -02 17 46.292581068|354.1077293040488 +47.5559269691132|  -12.243 3.843    |9.43     |K5             |    ~     ~    
491 |HD 131210                                                             |High Proper Motion Star        |14 52 17.2671498000 -03 31 06.252259908|351.2050013908546 +47.7027882200566|  -73.115 3.439    |8.19     |K2/3III        |    ~     ~    
492 |BD-02 3909                                                            |Star                           |14 53 21.8909207304 -02 42 04.131161820|352.3206093153323 +48.1284068633000|  -1.232 -1.664    |10.13    |A2             |    ~     ~    
493 |BD-02 3910                                                            |Star                           |14 53 44.6483584584 -03 20 06.264998592|351.7881717444804 +47.5962159623034| -11.943 12.513    |9.59     |G8III          |    ~     ~    
494 |BD-02 3912                                                            |High Proper Motion Star        |14 54 25.9830747576 -03 04 14.256232716|352.2411344881288 +47.6758461275909|-53.393 -16.899    |9.892    |F8             |    ~     ~    
495 |BD-02 3913                                                            |Star                           |14 55 11.2102836912 -02 44 39.113877948|352.7759564786970 +47.7879951420102|  30.147 -6.376    |10.01    |F2             |    ~     ~    
496 |BD-02 3921                                                            |Star                           |14 58 42.7238115192 -02 52 56.617711284|353.5840063488199 +47.0842879392098| -14.287 -8.915    |9.12     |K0             |    ~     ~    
497 |HD 131087                                                             |High Proper Motion Star        |14 51 47.2827212928 -04 05 29.963960556|350.5045563222266 +47.3556831859085|-73.774 -20.061    |8.58     |G8IV           |    ~     ~    
498 |BD-03 3683                                                            |Star                           |14 52 15.7442875944 -04 00 59.358662460|350.7089453459373 +47.3341454340582|  -3.632 12.653    |9.01     |K0             |    ~     ~    
499 |HD 131634                                                             |Star                           |14 54 57.3285608760 -03 37 49.710888660|351.8258927433769 +47.1743394820177|   2.584 22.954    |7.42     |A9III(w)       |    ~     ~    
500 |BD-03 3689                                                            |High Proper Motion Star        |14 55 22.4272769880 -03 46 34.877573112|351.7954759088830 +46.9961742785511|-49.824 -20.518    |9.85     |K0             |    ~     ~    
501 |BD-02 3911                                                            |High Proper Motion Star        |14 54 10.3965350352 -02 50 37.817667420|352.3983823112179 +47.8867360230754| -81.783 31.227    |10.481   |~              |    ~     ~    
502 |BD-02 3914                                                            |Star                           |14 55 31.2043609968 -03 10 26.033071476|352.4335288050398 +47.4161696772343| -22.996 -5.143    |10.08    |~              |    ~     ~    
503 |BD-03 3695                                                            |Star                           |14 56 49.8716328264 -03 55 23.198673756|352.0440200974350 +46.6429539733206|  -13.385 1.604    |10.049   |~              |    ~     ~    
504 |BD-02 3916                                                            |Star                           |14 56 57.6156256224 -03 23 05.208062928|352.6114133080909 +47.0173182140692|  -14.491 7.824    |10.758   |~              |    ~     ~    
505 |BD-03 3697                                                            |Star                           |14 57 19.7503913064 -03 47 45.523022568|352.3025407360576 +46.6527500878668| -5.566 -19.517    |9.93     |~              |    ~     ~    
506 |BD-02 3919                                                            |Star                           |14 58 04.1707375008 -03 17 31.649870040|353.0007116236760 +46.8963952448649| -4.198 -29.145    |10.513   |~              |    ~     ~    
507 |BD-03 3700                                                            |Star                           |14 58 36.2960113536 -03 49 39.119865096|352.6112389803042 +46.4136460104657|  2.625 -18.181    |10.19    |~              |    ~     ~    
508 |BD-02 3922                                                            |Star                           |14 58 44.6460615816 -03 32 39.785210160|352.9285337606030 +46.5971801715270|   -5.314 9.335    |10.01    |~              |    ~     ~    
509 |BD-03 3685                                                            |Star                           |14 52 20.7510450840 -03 45 39.944224332|350.9818963804557 +47.5117815976391|  -9.110 -6.491    |10.276   |~              |    ~     ~    
510 |BD-01 2995                                                            |Star                           |14 54 11.0494852320 -02 24 51.178422780|352.8379130913880 +48.2001566949579|  -3.855 -7.630    |9.98     |~              |    ~     ~    
511 |BD-03 3693                                                            |Star                           |14 56 03.8944947168 -03 43 39.384941016|352.0303814024910 +46.9162134272996| -6.532 -13.555    |10.46    |~              |    ~     ~    
512 |TYC 4990-91-1                                                         |High Proper Motion Star        |14 50 53.4915822456 -02 34 10.848672840|351.7664701662363 +48.6416096355758| 22.477 -68.036    |10.388   |~              |    ~     ~    
513 |TYC 4991-130-1                                                        |Star                           |14 58 40.7923619328 -02 37 48.894398940|353.8315023939907 +47.2722811012958| -0.573 -14.619    |10.563   |~              |    ~     ~    
514 |TYC 4991-141-1                                                        |Star                           |14 52 31.3078717824 -02 31 29.753105808|352.2665206540937 +48.4005910395409| -11.299 10.741    |10.84    |~              |    ~     ~    
515 |TYC 4991-257-1                                                        |Star                           |14 56 00.4819779744 -02 28 15.447769176|353.2770146408469 +47.8473077853856| -0.329 -17.781    |10.48    |~              |    ~     ~    
516 |TYC 4991-675-1                                                        |Star                           |14 57 07.3161374328 -03 34 30.671851296|352.4654273867338 +46.8501501692830| 10.266 -10.741    |10.85    |~              |    ~     ~    
517 |TYC 4991-718-1                                                        |High Proper Motion Star        |14 55 34.9943900400 -03 21 39.852058356|352.2636489755315 +47.2677423675780| -2.130 -48.695    |10.76    |~              |    ~     ~    
518 |TYC 4994-70-1                                                         |Star                           |14 52 10.8961237656 -04 04 21.169781220|350.6320189545542 +47.3053512826317|  -17.091 2.972    |10.81    |~              |    ~     ~    
519 |BD-03 3678                                                            |Star                           |14 49 45.8707696104 -04 16 35.428773252|349.7616336982218 +47.5463216816569|-40.510 -17.790    |10.45    |~              |    ~     ~    
520 |HD 130584                                                             |Star                           |14 49 09.2020201152 -04 30 07.097852520|349.3734307555724 +47.4736332288779|  -34.005 0.530    |9.31     |F5V            |    ~     ~    
521 |HD 130618                                                             |Star                           |14 49 17.9725006416 -05 00 07.517210328|348.9391717970635 +47.0678989731579|   7.686 18.265    |9.22     |G8IV           |    ~     ~    
522 |HD 130585                                                             |High Proper Motion Star        |14 49 05.8525060632 -05 45 05.678375112|348.1831084528585 +46.5235087698149|-32.688 -46.949    |8.25     |F2V            |    ~     ~    
523 |HD 130619                                                             |Star                           |14 49 21.4086320448 -05 47 28.638036672|348.2187748687581 +46.4518657860254| -19.524 -4.643    |7.94     |M0III          |    ~     ~    
524 |BD-04 3756                                                            |Star                           |14 49 54.5870951304 -05 15 49.463596512|348.8635446539082 +46.7697684494733|  -16.296 6.126    |10.129   |~              |    ~     ~    
525 |BD-05 3954                                                            |Star                           |14 49 58.1998871976 -05 43 22.021216752|348.4526767321012 +46.4075266561951|-31.749 -29.667    |10.73    |~              |    ~     ~    
526 |BD-04 3759                                                            |Star                           |14 50 56.6009346480 -04 48 42.840907128|349.5776799556177 +46.9485260846732| -12.158 -1.499    |10.829   |~              |    ~     ~    
527 |BD-04 3760                                                            |Star                           |14 51 06.0611079552 -05 03 59.561463456|349.3799773942737 +46.7292166519686|    6.674 1.872    |10.752   |~              |    ~     ~    
528 |BD-04 3761                                                            |Star                           |14 51 09.0785 -05 34 35.664            |348.9154740 +46.3315154            |  10.952 -0.540    |10.87    |~              |    ~     ~    
529 |BD-04 3762                                                            |Star                           |14 51 19.7056326816 -04 53 40.360512120|349.6058335062253 +46.8233808115353|   7.218 -2.785    |10.430   |~              |    ~     ~    
530 |BD-03 3686                                                            |Spectroscopic Binary           |14 54 23.3603312208 -04 10 59.477518488|351.1298698804215 +46.8577285878764|  7.847 -12.457    |9.28     |K0             |    ~     ~    
531 |HD 132133                                                             |High Proper Motion Star        |14 57 43.0863023592 -04 01 54.031602216|352.1746664059019 +46.4135333408624|-14.514 -52.781    |7.54     |F7/8V          |    ~     ~    
532 |HD 131788                                                             |Star                           |14 55 46.4552434344 -04 12 54.066649500|351.4742282072716 +46.6036935589861|   -1.458 8.532    |9.52     |A1IV           |    ~     ~    
533 |BD-03 3684                                                            |Double or Multiple Star        |14 52 19.9053228120 -04 17 19.405945932|350.4637027887276 +47.1181043396765|-18.400 -36.639    |10.207   |~              |    ~     ~    
534 |HD 131694                                                             |Star                           |14 55 17.5303672224 -04 22 20.121655080|351.1913127862777 +46.5668117224669| -28.247 -9.739    |9.61     |F3/5V          |    ~     ~    
535 |HD 131894                                                             |High Proper Motion Star        |14 56 21.6886772304 -04 34 13.534509792|351.2878358859234 +46.2414345552300|-80.658 -26.687    |8.37     |F0V            |    ~     ~    
536 |* 16 Lib                                                              |High Proper Motion Star        |14 57 10.9988855472 -04 20 47.251261752|351.7247473189901 +46.2707222287664|-98.683 -153.908   |4.49     |F2V            |    ~     ~    
537 |HD 131180                                                             |Star                           |14 52 05.1904415304 -04 45 02.071479024|349.9522483532693 +46.8095424552402|  -3.797 -2.793    |9.25     |F0IV           |    ~     ~    
538 |BD-04 3764                                                            |Star                           |14 52 31.1307591648 -05 10 01.827633900|349.6756026600500 +46.4234829458536|  6.168 -12.499    |10.39    |F8             |    ~     ~    
539 |HD 131480                                                             |Star                           |14 53 53.3457107064 -04 58 52.200894432|350.2261886488911 +46.3412100772743| -14.736 -4.927    |9.27     |K1/2III        |    ~     ~    
540 |HD 131498                                                             |Double or Multiple Star        |14 54 00.7772606136 -05 34 17.552407584|349.7029111498541 +45.8744331019905| 25.720 -32.938    |7.75     |K0III          |0.0100  0.0    
541 |HD 131585                                                             |Star                           |14 54 36.8199662880 -05 03 02.099502108|350.3569082229406 +46.1702975603109|  -20.350 9.525    |8.82     |K2(III)        |    ~     ~    
542 |BD-04 3778                                                            |Star                           |14 56 22.5234957096 -04 36 31.722457788|351.2545587319764 +46.2105238004065| -15.174 -8.080    |8.31     |~              |    ~     ~    
543 |HD 131955                                                             |Star                           |14 56 44.0511084216 -05 07 48.134381304|350.8517315319925 +45.7618332046204|  -0.137 43.889    |8.93     |F3V            |    ~     ~    
544 |HD 132375                                                             |High Proper Motion Star        |14 58 52.7816996822 -04 59 21.311934645|351.5554463804896 +45.5104831620415|-360.230 -105.924  |6.08     |F7V            |    ~     ~    
545 |BD-05 3962                                                            |High Proper Motion Star        |14 54 23.1933712632 -05 37 18.591639816|349.7570266046744 +45.7757034244697| -77.456 21.336    |9.85     |G2             |    ~     ~    
546 |BD-05 3969                                                            |Star                           |14 56 54.9341630016 -05 45 35.107359120|350.3063893131916 +45.2593058880484| -10.180 -5.617    |9.69     |K2             |    ~     ~    
547 |BD-05 3978                                                            |Star                           |14 58 39.3649259616 -05 48 04.437024156|350.7281155592826 +44.9422507939750| -8.346 -33.788    |9.95     |A2             |    ~     ~    
