C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:55:11

Vmag< 11&dec< 0&rah >=14.75&rah< 15.0
-------------------------------------

Number of objects : 5804

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------
34  |BD-02 3897                                                            |Long-Period Variable Candidate |14 47 47.7370291728 -03 22 48.155349396|350.0793931654519 +48.5461850303530|  -6.152 -1.544    |9.25     |M2III          |    ~     ~    
35  |BD-03 3674                                                            |Star                           |14 47 38.4652259928 -03 58 25.389475608|349.4544486612399 +48.1203510749310|    3.090 5.076    |9.43     |M1             |    ~     ~    
36  |BD-02 3892                                                            |Star                           |14 45 29.5408678944 -03 33 32.407295112|349.2415634496610 +48.7832057034155| -22.980 -6.204    |10.336   |~              |    ~     ~    
37  |BD-03 3665                                                            |Star                           |14 45 48.7102967712 -03 45 10.227845628|349.1447205243782 +48.5836079239530|  1.255 -26.056    |10.271   |~              |    ~     ~    
38  |BD-02 3893                                                            |Star                           |14 45 55.8532089336 -03 35 55.098491568|349.3295250650451 +48.6823195179446|  -7.604 -7.268    |10.936   |~              |    ~     ~    
39  |BD-03 3669                                                            |High Proper Motion Star        |14 46 09.0699336744 -03 42 14.045314500|349.2902136850314 +48.5664511612293|-49.439 -11.770    |10.369   |~              |    ~     ~    
40  |BD-03 3670                                                            |Star                           |14 46 11.2547726232 -03 54 31.829617044|349.1014252768812 +48.4038931877711| -36.440 14.216    |10.920   |~              |    ~     ~    
41  |BD-02 3896                                                            |Spectroscopic Binary           |14 47 17.8518051504 -03 02 03.469490880|350.2799334165762 +48.8889554817369| -20.047 -4.886    |10.20    |~              |    ~     ~    
42  |BD-02 3899                                                            |Star                           |14 48 05.1798496608 -03 07 50.152055484|350.4095483952376 +48.6870724069782|  -35.279 4.093    |10.825   |~              |    ~     ~    
43  |BD-02 3900                                                            |High Proper Motion Star        |14 48 26.6055031032 -02 53 35.688505884|350.7483602319699 +48.8069579033450|-56.215 -27.725    |10.48    |~              |    ~     ~    
44  |BD-02 3898                                                            |Star                           |14 48 00.6841099416 -03 01 40.808031528|350.4904177150344 +48.7766858739295|   9.449 -1.421    |10.98    |~              |    ~     ~    
45  |BD-02 3895                                                            |Star                           |14 47 17.1134562384 -03 00 45.639154008|350.2979641711597 +48.9072950343360| -11.895 -7.827    |10.45    |~              |    ~     ~    
46  |TYC 4990-430-1                                                        |Star                           |14 46 49.4107247400 -02 27 43.362314964|350.7189074136718 +49.3978993258930| -3.277 -11.248    |10.58    |~              |    ~     ~    
47  |BD-03 3667                                                            |Star                           |14 45 55.1033863728 -04 24 08.273589660|348.5493615971548 +48.0680413886297|  -14.244 1.238    |9.573    |G8             |    ~     ~    
