C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:56:34

Vmag< 11&dec >=0&rah >=20.5&rah< 20.75
--------------------------------------

Number of objects : 8539

 #  |                                                                                  identifier                                                                                   |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type      |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------------|---------------
31  |TYC 2699-1087-1                                                                                                                                                                |Star                           |20 43 17.2530953880 +37 24 03.543937596|078.2872388407747 -03.1271405053939| -9.989 -17.113   |10.89    |~                     |    ~     ~    
32  |TYC 2699-1237-1                                                                                                                                                                |Star                           |20 44 08.5562000400 +37 08 23.494755516|078.1867141691989 -03.4221846684963|   0.904 -6.018   |10.76    |~                     |    ~     ~    
33  |TYC 2699-1253-1                                                                                                                                                                |Star                           |20 43 20.0683474776 +37 22 26.434350444|078.2717277069520 -03.1511120920722|  -2.526 -0.736   |10.22    |~                     |    ~     ~    
34  |TYC 2699-1441-1                                                                                                                                                                |High Proper Motion Star        |20 44 46.7563758984 +37 04 17.922640692|078.2117594978662 -03.5641070373138| 14.354 -67.350   |10.81    |~                     |    ~     ~    
35  |TYC 2699-1637-1                                                                                                                                                                |Star                           |20 43 06.2866936536 +37 13 58.954756404|078.1323577283003 -03.2020393788317|   3.376 -1.522   |10.21    |~                     |    ~     ~    
36  |TYC 3153-800-1                                                                                                                                                                 |Star                           |20 38 00.1802206430 +37 41 11.400552221|077.8728634313904 -02.1234282021108|   2.948 -7.573   |10.92    |~                     |    ~     ~    
37  |TYC 3153-1044-1                                                                                                                                                                |Star                           |20 39 34.4662405152 +37 42 40.075689492|078.0812678756493 -02.3555152884919| -3.915 -11.046   |10.69    |~                     |    ~     ~    
38  |TYC 3153-1106-1                                                                                                                                                                |Star                           |20 37 48.5286144888 +37 41 57.936289812|077.8599040592925 -02.0850200502085|  -1.343 -3.992   |10.07    |~                     |    ~     ~    
39  |TYC 3153-1122-1                                                                                                                                                                |Spectroscopic Binary           |20 38 16.1042894184 +37 39 15.342935760|077.8790128143331 -02.1847451967794|  -0.827 -2.443   |10.28    |~                     |    ~     ~    
40  |TYC 3166-201-1                                                                                                                                                                 |Star                           |20 40 38.4203092944 +37 34 24.317948388|078.1008187001931 -02.6067242172575|  -0.906 -1.470   |10.11    |~                     |    ~     ~    
41  |TYC 3166-608-1                                                                                                                                                                 |Star                           |20 44 53.9259490824 +38 38 48.992989596|079.4638647111113 -02.6054999823171|   2.215 -0.722   |9.76     |~                     |    ~     ~    
42  |TYC 3166-611-1                                                                                                                                                                 |Star                           |20 44 09.2837897808 +38 24 23.150800656|079.1846429252108 -02.6404258524836| -4.007 -12.510   |10.39    |~                     |    ~     ~    
43  |TYC 3166-724-1                                                                                                                                                                 |Star                           |20 44 21.1729107144 +38 13 52.841846244|079.0711064021702 -02.7793643132599|   2.934 -0.199   |9.64     |~                     |    ~     ~    
44  |TYC 3166-763-1                                                                                                                                                                 |Star                           |20 44 00.7900971456 +38 25 34.053719520|079.1829489149922 -02.6064562334635|   2.236 -0.864   |10.66    |~                     |    ~     ~    
45  |TYC 3166-860-1                                                                                                                                                                 |Star                           |20 44 35.1151959792 +38 42 42.855851376|079.4768551015838 -02.5172084471515| -7.507 -12.692   |10.96    |~                     |    ~     ~    
46  |TYC 3166-895-1                                                                                                                                                                 |Star                           |20 42 13.5250412280 +38 15 08.108718876|078.8295339290978 -02.4377515456322|  20.429 15.314   |9.77     |~                     |    ~     ~    
47  |TYC 3166-1082-1                                                                                                                                                                |Star                           |20 43 32.6747879496 +38 33 15.493107096|079.2270421344034 -02.4551399176137|-10.508 -10.929   |10.35    |~                     |    ~     ~    
48  |TYC 3166-1121-1                                                                                                                                                                |Star                           |20 43 07.2792502560 +38 20 55.619327688|079.0139974168088 -02.5168080796770|   5.986 -6.652   |9.78     |~                     |    ~     ~    
49  |TYC 3166-1208-1                                                                                                                                                                |Star                           |20 44 18.6048286080 +38 33 27.778848048|079.3223978920550 -02.5706089165184|  2.621 -10.847   |10.89    |~                     |    ~     ~    
50  |TYC 3166-1212-1                                                                                                                                                                |High Proper Motion Star        |20 41 59.6040109032 +38 06 44.295477696|078.6909781908874 -02.4877721188771|-36.867 -84.138   |10.43    |~                     |    ~     ~    
51  |TYC 3166-1236-1                                                                                                                                                                |Star                           |20 44 42.1329742320 +38 09 46.136623500|079.0598513233601 -02.8757000494901|   2.427 -0.201   |9.98     |~                     |    ~     ~    
52  |TYC 3166-1273-1                                                                                                                                                                |Star                           |20 44 20.2229995152 +37 56 11.098264452|078.8373240631294 -02.9595739617684|  -1.235 -5.975   |10.44    |~                     |    ~     ~    
53  |TYC 3166-1292-1                                                                                                                                                                |Star                           |20 43 15.8404894728 +38 16 45.735252924|078.9765968145230 -02.5816571685340|    8.742 2.772   |10.21    |~                     |    ~     ~    
54  |TYC 3166-1358-1                                                                                                                                                                |Star                           |20 43 09.6401137944 +38 01 50.150370036|078.7680407559126 -02.7191285891742|  -3.877 -6.493   |9.82     |~                     |    ~     ~    
55  |TYC 3166-1363-1                                                                                                                                                                |Star                           |20 41 37.6090655976 +37 52 00.910878852|078.4526789621732 -02.5813402869893|   7.039 12.128   |10.82    |~                     |    ~     ~    
56  |TYC 3166-1384-1                                                                                                                                                                |Star                           |20 41 54.2426119896 +38 18 01.789138872|078.8288462820058 -02.3583464850965|   2.574 -4.245   |10.76    |~                     |    ~     ~    
57  |TYC 3166-1404-1                                                                                                                                                                |Star                           |20 41 21.5464349712 +38 05 39.123768588|078.6000496675606 -02.4003356792448|   0.853 -9.426   |9.56     |~                     |    ~     ~    
58  |TYC 3166-1442-1                                                                                                                                                                |Star                           |20 41 07.1707004856 +38 01 31.037516616|078.5166156350077 -02.4052629726523| -6.327 -16.248   |10.98    |~                     |    ~     ~    
59  |TYC 3166-1487-1                                                                                                                                                                |Star                           |20 44 52.6261255608 +38 06 24.612312852|079.0372482235574 -02.9373985086674|  -0.143 -4.911   |10.88    |~                     |    ~     ~    
60  |TYC 3166-1489-1                                                                                                                                                                |Star                           |20 41 12.0336702696 +38 04 28.586877204|078.5654210930771 -02.3876794934397|   2.176 -1.004   |10.35    |~                     |    ~     ~    
61  |TYC 3166-1496-1                                                                                                                                                                |Star                           |20 40 52.9686523128 +38 08 54.402353736|078.5855722944731 -02.2930584387843|-15.071 -19.356   |10.74    |~                     |    ~     ~    
62  |TYC 3166-1528-1                                                                                                                                                                |Star                           |20 40 18.4403735616 +38 05 43.644919488|078.4743778031558 -02.2358510780693| -5.419 -23.789   |9.54     |~                     |    ~     ~    
63  |TYC 3166-1540-1                                                                                                                                                                |Star                           |20 42 48.6560256744 +37 46 57.649623852|078.5300024215933 -02.8175755744766|   1.590 -8.343   |10.41    |~                     |    ~     ~    
64  |TYC 3166-1576-1                                                                                                                                                                |Star                           |20 41 27.7334178696 +37 49 32.799990792|078.4002017721283 -02.5808916007567|   -3.248 1.331   |10.53    |~                     |    ~     ~    
65  |TYC 3166-1586-1                                                                                                                                                                |Star                           |20 42 07.8223501320 +37 46 29.511551568|078.4410264449181 -02.7163502461317|  -3.832 -4.980   |9.93     |~                     |    ~     ~    
66  |TYC 3166-1601-1                                                                                                                                                                |Star                           |20 41 05.1771926904 +37 46 25.521572820|078.3135093419564 -02.5540463216399|  -1.086 -7.411   |10.73    |~                     |    ~     ~    
67  |TYC 3166-1641-1                                                                                                                                                                |Star                           |20 42 15.2687434320 +37 53 11.836935528|078.5443682460400 -02.6670127365925|   -1.034 2.447   |9.97     |~                     |    ~     ~    
