C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:56:34

Vmag< 11&dec >=0&rah >=20.5&rah< 20.75
--------------------------------------

Number of objects : 8539

 #  |                                                                                  identifier                                                                                   |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type      |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------------|---------------
547 |NAME VI Cyg 10                     NAME Cyg OB2 10                    BD+41 3804                                                                                               |Blue Supergiant                |20 33 46.1145474912 +41 33 00.991426968|080.4715525243629 +00.8501406495178|  -2.016 -3.395   |9.88     |O9.7Iab               |    ~     ~    
548 |NAME VI Cyg 6                      NAME Cyg OB2 6                     BD+40 4221                                                                                               |Star                           |20 32 45.4494231552 +41 25 37.543209348|080.2598561275107 +00.9290153752279|  -2.663 -4.014   |10.68    |O8.5V(n)              |    ~     ~    
549 |TYC 3161-604-1                                                                                                                                                                 |Star                           |20 31 53.1807814176 +41 54 10.349294724|080.5466054028033 +01.3421049785037|   5.940 -7.899   |10.84    |~                     |    ~     ~    
550 |BD+41 3793                                                                                                                                                                     |Star                           |20 32 02.1132701304 +41 44 09.111134832|080.4283947223092 +01.2208815328342| -4.860 -12.440   |10.07    |A3                    |    ~     ~    
551 |BD+41 3798                                                                                                                                                                     |Star                           |20 32 46.1930637864 +41 36 16.076264436|080.4039552131887 +01.0324907165873|  11.964 -2.656   |10.61    |~                     |    ~     ~    
552 |TYC 3161-1366-1                                                                                                                                                                |Star                           |20 33 00.6945222864 +41 46 04.808025804|080.5623326399842 +01.0933641714459|   1.168 -8.289   |10.24    |~                     |    ~     ~    
553 |TYC 3161-336-1                                                                                                                                                                 |Star                           |20 34 13.9165303584 +41 53 29.756376996|080.7970839055708 +00.9844321320907|    3.947 1.404   |10.90    |~                     |    ~     ~    
554 |TYC 3161-976-1                                                                                                                                                                 |Star                           |20 34 19.5677782200 +41 49 25.407019560|080.7531187962883 +00.9298228375347| -5.249 -11.663   |10.80    |~                     |    ~     ~    
555 |BD+40 4237                                                                                                                                                                     |Star                           |20 34 25.6169201712 +41 17 50.038217448|080.3422184844168 +00.6000649053214| -2.951 -20.058   |10.14    |~                     |    ~     ~    
556 |TYC 3161-1222-1                                                                                                                                                                |Star                           |20 34 57.1378845960 +41 20 34.966583268|080.4379517729769 +00.5484461805993|   1.042 -9.580   |10.84    |~                     |    ~     ~    
557 |BD+40 4241                                                                                                                                                                     |Star                           |20 35 06.9162981768 +41 20 01.193490384|080.4487697276775 +00.5183329842001|    2.781 3.752   |9.71     |~                     |    ~     ~    
558 |TYC 3161-772-1                                                                                                                                                                 |Star                           |20 35 08.8003022088 +41 49 40.626180084|080.8479891656745 +00.8098798463525|    0.714 7.146   |10.09    |~                     |    ~     ~    
559 |BD+42 3798                                                                                                                                                                     |Star                           |20 36 41.6535192552 +43 19 57.190973772|082.2220358731356 +01.4864443558174|    5.424 5.110   |9.42     |A2                    |    ~     ~    
560 |IRAS 20297+4220                                                                                                                                                                |Long-Period Variable Candidate |20 31 28.9511795784 +42 31 09.441664356|080.9996991722907 +01.7668592821254|   7.361 10.107   |10.68    |~                     |    ~     ~    
561 |BD+42 3779                                                                                                                                                                     |Star                           |20 33 07.5110932272 +42 49 09.709818960|081.4205324702289 +01.7014271413612|    3.227 1.011   |10.41    |A2                    |    ~     ~    
562 |BD+40 4209                                                                                                                                                                     |Star                           |20 30 52.0995882192 +41 19 44.162964516|079.9709673908981 +01.1566090685772|    3.160 0.101   |8.75     |A0                    |    ~     ~    
563 |NAME VI Cyg 3                      NAME Cyg OB2 3                     BD+40 4212                                                                                               |Spectroscopic Binary           |20 31 37.5053189952 +41 13 21.001757520|079.9690255288219 +00.9790114982769|  -2.237 -4.024   |10.214   |O6IV:+O9III           |    ~     ~    
564 |BD+40 4213                                                                                                                                                                     |Star                           |20 31 46.0043597736 +41 17 27.073550796|080.0398963489445 +00.9979777613662|-32.405 -16.494   |9.109    |F5V                   |    ~     ~    
565 |BD+40 4214                                                                                                                                                                     |Star                           |20 31 47.5738013448 +41 06 38.073776004|079.8974574698384 +00.8873390396705|   23.923 8.720   |8.56     |F5                    |    ~     ~    
566 |BD+40 4223                                                                                                                                                                     |Star                           |20 32 39.0564906216 +41 00 07.769840832|079.9060198412935 +00.6927990836341|  -2.842 -4.804   |10.5     |B0Ia                  |    ~     ~    
567 |BD+40 4228                                                                                                                                                                     |Star                           |20 33 16.8464687304 +41 01 49.639918476|079.9994051326854 +00.6140851748860|  -1.180 -4.116   |9.23     |K                     |    ~     ~    
568 |BD+40 4229                                                                                                                                                                     |Star                           |20 33 18.2632221336 +40 56 10.628246544|079.9263811657304 +00.5544539299281|  2.723 -18.339   |9.44     |G                     |    ~     ~    
569 |BD+40 4230                                                                                                                                                                     |Star                           |20 33 17.9843485008 +40 58 54.749660628|079.9624942025681 +00.5822950781482|   5.769 -8.841   |8.62     |K                     |    ~     ~    
570 |HD 196241                                                                                                                                                                      |Star                           |20 34 36.0033097224 +41 05 54.244860972|080.2023174202485 +00.4550694842213|  -0.428 17.719   |6.65     |K5                    |    ~     ~    
571 |BD+40 4252                                                                                                                                                                     |Star                           |20 37 38.2068771384 +40 39 07.525397412|080.1912007879913 -00.2719722838139|  -6.312 -8.031   |9.28     |A2                    |    ~     ~    
572 |BD+40 4222                                                                                                                                                                     |Star                           |20 32 30.4383399912 +40 59 42.174192876|079.8842096439739 +00.7103895298771|        8.5 2.8   |10.55    |~                     |    ~     ~    
573 |BD+40 4204                                                                                                                                                                     |Spectroscopic Binary           |20 30 16.8025230984 +41 17 42.532586232|079.8785841806550 +01.2259913609203|    6.690 5.477   |9.73     |~                     |    ~     ~    
574 |TYC 3161-1269-1                                                                                                                                                                |Star                           |20 31 59.8402231704 +41 20 35.389105908|080.1076975317556 +00.9940427081536|  -5.619 -7.224   |10.21    |~                     |    ~     ~    
575 |TYC 3157-1310-1                                                                                                                                                                |Star                           |20 33 07.2363663840 +41 08 25.556226504|080.0698453634941 +00.7037768995782|    6.300 2.426   |10.18    |~                     |    ~     ~    
576 |TYC 3157-1040-1                                                                                                                                                                |Star                           |20 31 43.0495855200 +41 06 57.211543260|079.8933394666030 +00.9019341453593|   6.225 -9.776   |10.74    |~                     |    ~     ~    
577 |TYC 3157-937-1                                                                                                                                                                 |Spectroscopic Binary           |20 34 18.5554033296 +41 00 26.625532212|080.0965876054840 +00.4446083486162| -8.130 -10.895   |10.97    |~                     |    ~     ~    
578 |BD+41 3778                                                                                                                                                                     |Star                           |20 30 00.8488 +41 48 44.490            |080.2678548 +01.5702879            |    8.485 0.091   |10.25    |A3                    |    ~     ~    
579 |BD+41 3780                                                                                                                                                                     |Star                           |20 30 21.6006736656 +42 11 41.230626576|080.6151476316622 +01.7431119996309|   6.243 -6.017   |9.73     |A5                    |    ~     ~    
580 |BD+41 3782                                                                                                                                                                     |Star                           |20 30 38.7786758064 +42 11 59.611467984|080.6504971159644 +01.7032459954224|  -4.810 -7.080   |9.32     |~                     |    ~     ~    
581 |BD+41 3801                                                                                                                                                                     |Star                           |20 33 30.3981494328 +42 04 17.317230564|080.8611015007164 +01.1999034718086|   0.516 -0.427   |10.17    |A0:                   |    ~     ~    
582 |TYC 3157-209-1                                                                                                                                                                 |Star                           |20 37 26.3515461720 +41 12 37.449243828|080.6132173929605 +00.0954623503891|   0.457 -4.788   |10.49    |~                     |    ~     ~    
583 |TYC 3157-259-1                                                                                                                                                                 |Star                           |20 37 42.1466428296 +40 54 56.356186104|080.4085435198573 -00.1223619345851|  -0.879 -1.862   |10.70    |~                     |    ~     ~    
584 |TYC 3157-265-1                                                                                                                                                                 |Star                           |20 37 59.9424223800 +40 48 14.384107872|080.3536506701567 -00.2346092765068|    6.628 1.889   |9.70     |~                     |    ~     ~    
585 |TYC 3157-363-1                                                                                                                                                                 |Star                           |20 38 39.2293482888 +41 03 57.642948324|080.6369652912375 -00.1739529242354|  2.620 -16.267   |10.44    |~                     |    ~     ~    
586 |TYC 3157-417-1                                                                                                                                                                 |Star                           |20 39 32.6269974336 +40 53 57.674229324|080.6069012937422 -00.4086472118460|  -4.002 -2.469   |10.97    |~                     |    ~     ~    
587 |TYC 3157-429-1                                                                                                                                                                 |Star                           |20 38 09.5909368608 +40 41 53.108374848|080.2878711494439 -00.3230264261175|   3.045 -1.104   |10.80    |~                     |    ~     ~    
588 |TYC 3157-459-1                                                                                                                                                                 |Star                           |20 36 58.1432087832 +40 38 36.397953996|080.1077670214565 -00.1762883165140|-22.384 -37.483   |9.88     |~                     |    ~     ~    
589 |TYC 3157-473-1                                                                                                                                                                 |Star                           |20 35 46.9557296616 +41 12 19.286918028|080.4213823533940 +00.3410308132511|  -2.859 -2.460   |10.14    |~                     |    ~     ~    
590 |TYC 3157-577-1                                                                                                                                                                 |Star                           |20 39 22.0621319328 +41 13 10.441300620|080.8405992342837 -00.1872313908519|  -12.250 2.144   |10.35    |~                     |    ~     ~    
591 |TYC 3157-657-1                                                                                                                                                                 |Star                           |20 34 29.1013921536 +40 57 24.268953456|080.0758050961712 +00.3877366283140|   8.444 -0.377   |10.30    |~                     |    ~     ~    
592 |TYC 3157-739-1                                                                                                                                                                 |Star                           |20 36 20.6395316136 +40 41 03.964870680|080.0690087946252 -00.0570054261493| -6.039 -15.637   |10.99    |~                     |    ~     ~    
593 |TYC 3157-797-1                                                                                                                                                                 |Star                           |20 38 01.3100167176 +40 40 11.802132516|080.2496291435642 -00.3192731339894|    4.825 1.430   |10.53    |~                     |    ~     ~    
594 |TYC 3157-862-1                                                                                                                                                                 |Star                           |20 36 32.6517359376 +40 38 34.368051480|080.0587105963571 -00.1123421433408|    1.240 5.851   |10.96    |~                     |    ~     ~    
595 |GSC 03157-00944                                                                                                                                                                |Double or Multiple Star        |20 39 00.160320 +41 09 21.23424        |080.748281612 -00.171493491        |     -6.9 -20.2   |10.775   |~                     |    ~     ~    
596 |TYC 3157-1044-1                                                                                                                                                                |Star                           |20 38 06.7137186168 +40 58 37.137396828|080.5041740843770 -00.1467322472203|   17.565 3.478   |10.12    |~                     |    ~     ~    
597 |TYC 3157-1078-1                                                                                                                                                                |High Proper Motion Star        |20 38 07.4593820472 +40 51 31.148593164|080.4114884637914 -00.2203326461904| 45.874 -20.532   |10.93    |~                     |    ~     ~    
598 |TYC 3157-1117-1                                                                                                                                                                |Star                           |20 37 39.6815563920 +40 56 59.773291836|080.4311381848556 -00.0954363481012|   2.416 -2.553   |10.53    |~                     |    ~     ~    
599 |TYC 3157-1150-1                                                                                                                                                                |Star                           |20 35 35.7052105752 +40 56 39.089352264|080.1913512828816 +00.2124095142527|-12.749 -20.945   |10.78    |~                     |    ~     ~    
600 |TYC 3157-1423-1                                                                                                                                                                |Star                           |20 39 06.3574361160 +40 55 41.592262548|080.5794266880963 -00.3254586453780|   19.612 3.016   |10.42    |~                     |    ~     ~    
601 |TYC 3161-55-1                                                                                                                                                                  |Star                           |20 33 48.2518298880 +42 09 57.126826728|080.9698099343983 +01.2118306988560|    6.850 3.921   |9.60     |~                     |    ~     ~    
602 |TYC 3161-76-1                                                                                                                                                                  |Star                           |20 34 53.4558084096 +42 46 36.132693816|081.5795524554170 +01.4160051809039| -7.633 -12.353   |10.22    |~                     |    ~     ~    
603 |TYC 3161-80-1                                                                                                                                                                  |Star                           |20 33 57.9235743840 +42 16 53.737876668|081.0805279292592 +01.2568876304755|        2.1 0.0   |10.98    |~                     |    ~     ~    
604 |TYC 3161-83-1                                                                                                                                                                  |Star                           |20 36 14.7354401256 +43 04 44.292873108|081.9702696321511 +01.3990280418165|    4.362 3.534   |10.486   |~                     |    ~     ~    
605 |TYC 3161-116-1                                                                                                                                                                 |Star                           |20 37 11.8746628416 +42 54 41.676888276|081.9416589113879 +01.1591844110742|  35.566 14.642   |10.39    |~                     |    ~     ~    
606 |TYC 3161-154-1                                                                                                                                                                 |Star                           |20 38 46.7908066800 +42 01 06.417999516|081.4077772201771 +00.3860015251137|   14.445 2.160   |10.15    |~                     |    ~     ~    
607 |TYC 3161-158-1                                                                                                                                                                 |Star                           |20 32 20.4079108920 +42 41 13.970534352|081.2285560242389 +01.7389811942700|  -1.082 -1.194   |10.15    |~                     |    ~     ~    
608 |TYC 3161-208-1                                                                                                                                                                 |Star                           |20 37 31.0485343896 +42 41 47.809570704|081.8057818675086 +00.9825811674615|   32.455 7.845   |10.61    |~                     |    ~     ~    
609 |TYC 3161-224-1                                                                                                                                                                 |Star                           |20 38 07.5183 +42 21 02.856            |081.5983243 +00.6840775            |  14.574 -1.360   |10.33    |~                     |    ~     ~    
610 |TYC 3161-269-1                                                                                                                                                                 |Star                           |20 38 49.5943866384 +41 49 22.956833928|081.2578829544495 +00.2603375300264|  3.562 -19.325   |10.08    |~                     |    ~     ~    
611 |TYC 3161-288-1                                                                                                                                                                 |Star                           |20 38 00.0517779840 +42 07 16.089051540|081.4016743210768 +00.5632201503003| -0.011 -13.105   |10.24    |~                     |    ~     ~    
612 |TYC 3161-304-1                                                                                                                                                                 |Star                           |20 35 24.9696306192 +42 58 58.011818592|081.8022673008290 +01.4624336214536| -5.405 -13.244   |10.04    |~                     |    ~     ~    
613 |TYC 3161-315-1                                                                                                                                                                 |Star                           |20 35 20.7307661448 +42 37 06.278652228|081.5028286093339 +01.2542975551971|  24.598 14.244   |10.45    |~                     |    ~     ~    
614 |TYC 3161-330-1                                                                                                                                                                 |Star                           |20 38 30.1673612760 +42 04 47.390067084|081.4252991712438 +00.4641428305093|   6.246 -2.841   |9.84     |~                     |    ~     ~    
615 |TYC 3161-351-1                                                                                                                                                                 |Star                           |20 39 24.9535975320 +42 05 07.133342532|081.5326839431162 +00.3329830711343|   31.436 4.081   |10.52    |~                     |    ~     ~    
616 |TYC 3161-357-1                                                                                                                                                                 |Star                           |20 31 52.5118407648 +42 21 03.270712428|080.9066810976071 +01.6088823906009|    8.022 3.744   |10.64    |~                     |    ~     ~    
617 |TYC 3161-370-1                                                                                                                                                                 |Star                           |20 34 25.7843535072 +42 24 41.833148616|081.2360989194927 +01.2656911446606|  -9.973 -2.550   |10.07    |~                     |    ~     ~    
618 |TYC 3161-400-1                                                                                                                                                                 |Star                           |20 34 28.0955160576 +42 31 00.588609048|081.3247237163961 +01.3228683391738|    4.569 1.150   |10.86    |~                     |    ~     ~    
619 |TYC 3161-456-1                                                                                                                                                                 |Star                           |20 33 18.3261221688 +42 35 45.416845392|081.2605371567377 +01.5419510469618|   0.411 -0.710   |10.33    |~                     |    ~     ~    
620 |TYC 3161-496-1                                                                                                                                                                 |Star                           |20 37 18.9374451048 +42 37 47.063012196|081.7300664211701 +00.9717197242447|    8.086 1.856   |10.81    |~                     |    ~     ~    
621 |TYC 3161-506-1                                                                                                                                                                 |Star                           |20 39 37.5180156696 +42 08 45.485603412|081.6044404383402 +00.3391562758810|   3.306 -0.858   |10.93    |~                     |    ~     ~    
622 |TYC 3161-542-1                                                                                                                                                                 |Star                           |20 36 53.2172753208 +42 25 24.390718968|081.5178996843895 +00.9101258987513|   1.883 -7.976   |10.51    |~                     |    ~     ~    
623 |GSC 03161-00548                                                                                                                                                                |Double or Multiple Star        |20 36 38.467776 +41 38 46.43232        |080.870339093 +00.477842839        |     -5.6 -12.3   |10.690   |~                     |    ~     ~    
624 |TYC 3161-562-1                                                                                                                                                                 |High Proper Motion Star        |20 36 08.7442491216 +43 00 28.719199512|081.9025627458304 +01.3708986370428|  43.418 69.096   |10.50    |~                     |    ~     ~    
625 |TYC 3161-627-1                                                                                                                                                                 |Star                           |20 30 16.6884841320 +42 01 26.820824520|080.4681182524520 +01.6550213244188|    6.258 2.437   |10.71    |~                     |    ~     ~    
626 |TYC 3161-673-1                                                                                                                                                                 |Star                           |20 35 45.9573759888 +42 24 28.414836180|081.3809149092874 +01.0659788695091| -4.337 -22.357   |9.92     |~                     |    ~     ~    
627 |TYC 3161-691-1                                                                                                                                                                 |Star                           |20 38 43.7278666509 +41 41 25.619952730|081.1415010581613 +00.1942389262774|  -7.735 -7.169   |10.14    |~                     |    ~     ~    
628 |TYC 3161-787-1                                                                                                                                                                 |Star                           |20 30 51.5820602352 +42 14 53.628388836|080.7128569117512 +01.6997974530103| -2.987 -10.209   |10.72    |~                     |    ~     ~    
629 |TYC 3161-800-1                                                                                                                                                                 |Star                           |20 35 14.3573877192 +42 00 13.440834576|080.9990338893789 +00.9014588356227|  -0.129 -8.682   |10.82    |~                     |    ~     ~    
630 |TYC 3161-817-1                                                                                                                                                                 |Star                           |20 38 13.0030315248 +42 17 46.633087824|081.5652192160786 +00.6375948430632|   8.757 -3.178   |10.03    |~                     |    ~     ~    
631 |TYC 3161-851-1                                                                                                                                                                 |Star                           |20 37 55.3361476728 +42 07 51.139510248|081.4005922718401 +00.5807126422987|   1.881 -6.975   |9.71     |~                     |    ~     ~    
632 |TYC 3161-874-1                                                                                                                                                                 |Star                           |20 37 09.2220647424 +41 35 04.863874092|080.8790668473629 +00.3643093043182| -6.348 -15.187   |10.74    |~                     |    ~     ~    
633 |TYC 3161-909-1                                                                                                                                                                 |Star                           |20 34 19.7966424744 +42 18 17.287607304|081.1394043330632 +01.2166549004148|  -3.365 -8.940   |10.83    |~                     |    ~     ~    
634 |TYC 3161-938-1                                                                                                                                                                 |Star                           |20 38 13.6246861368 +42 03 57.498484860|081.3832374984167 +00.4964046349571|-14.018 -13.174   |10.8     |~                     |    ~     ~    
635 |TYC 3161-949-1                                                                                                                                                                 |Star                           |20 39 31.0902508560 +41 38 46.301119368|081.1960884242555 +00.0503278626754|  -1.353 -6.751   |9.93     |~                     |    ~     ~    
636 |TYC 3161-985-1                                                                                                                                                                 |Star                           |20 31 34.4427234096 +42 18 44.885012184|080.8427450961484 +01.6310377432597|    5.468 2.882   |10.44    |~                     |    ~     ~    
637 |TYC 3161-991-1                                                                                                                                                                 |Star                           |20 31 00.1950590832 +42 20 15.974241432|080.8008748703185 +01.7311343256621|   -1.298 1.637   |10.58    |~                     |    ~     ~    
638 |TYC 3161-1009-1                                                                                                                                                                |Star                           |20 37 30.7457388384 +41 45 03.949569648|081.0521394124779 +00.4115168496594|  24.107 31.832   |10.35    |~                     |    ~     ~    
639 |TYC 3161-1010-1                                                                                                                                                                |Star                           |20 34 52.3951484688 +42 09 34.754554476|081.0831999606986 +01.0492494821007| -1.258 -44.010   |10.46    |~                     |    ~     ~    
640 |TYC 3161-1037-1                                                                                                                                                                |Star                           |20 36 58.1637393720 +41 56 11.640897132|081.1388319384876 +00.6041625769804|   2.748 -4.290   |10.15    |~                     |    ~     ~    
641 |TYC 3161-1101-1                                                                                                                                                                |Star                           |20 36 44.6815678512 +41 37 56.568174456|080.8709550213352 +00.4540548123202|   1.960 -3.095   |9.57     |~                     |    ~     ~    
642 |TYC 3161-1105-1                                                                                                                                                                |Star                           |20 36 20.2532801664 +42 14 52.976828292|081.3167232892032 +00.8854469930520|  -3.010 -7.802   |10.59    |~                     |    ~     ~    
643 |TYC 3161-1121-1                                                                                                                                                                |Spectroscopic Binary           |20 30 02.1615631104 +42 14 34.069014528|080.6187327838252 +01.8198604958903|-13.739 -25.293   |9.98     |~                     |    ~     ~    
644 |TYC 3161-1153-1                                                                                                                                                                |Pulsating Variable             |20 37 06.8166296856 +41 42 38.168610876|080.9749061773901 +00.4463258457683|   1.934 -5.678   |10.82    |~                     |    ~     ~    
645 |TYC 3161-1204-1                                                                                                                                                                |Star                           |20 38 35.2588037208 +41 20 35.815507800|080.8496752258548 +00.0043397725915|  -0.854 -5.099   |10.11    |~                     |    ~     ~    
646 |TYC 3161-1322-1                                                                                                                                                                |Star                           |20 31 19.5434402592 +41 51 37.895731776|080.4507350456306 +01.4012343952334|  -2.001 -1.348   |9.91     |~                     |    ~     ~    
647 |TYC 3161-1323-1                                                                                                                                                                |Star                           |20 39 16.8222570840 +41 41 46.305901212|081.2086913201428 +00.1160037752555|   -0.681 3.847   |9.74     |~                     |    ~     ~    
648 |TYC 3161-1362-1                                                                                                                                                                |Star                           |20 36 05.8419865680 +41 48 11.078725140|080.9344658416780 +00.6532935181972|  0.681 -17.168   |10.87    |~                     |    ~     ~    
649 |TYC 3161-1426-1                                                                                                                                                                |Star                           |20 34 00.6646820304 +42 16 08.166814104|081.0754089714948 +01.2425535269310|    6.067 1.585   |10.37    |~                     |    ~     ~    
650 |TYC 3161-1443-1                                                                                                                                                                |Star                           |20 36 28.5420067272 +41 37 39.265024368|080.8368220533122 +00.4912658361776|   21.395 1.139   |10.44    |~                     |    ~     ~    
651 |TYC 3165-710-1                                                                                                                                                                 |Star                           |20 37 34.2122486400 +43 09 13.741111872|082.1758286371331 +01.2513666141008|   3.926 -8.467   |10.91    |~                     |    ~     ~    
652 |TYC 3165-771-1                                                                                                                                                                 |Star                           |20 36 41.0672327184 +43 09 20.272992444|082.0797312535419 +01.3812468205439| -26.012 36.624   |10.39    |~                     |    ~     ~    
653 |TYC 3170-552-1                                                                                                                                                                 |Star                           |20 40 02.4988219536 +40 58 13.297989324|080.7205285263474 -00.4398375116423| -8.681 -24.609   |10.51    |~                     |    ~     ~    
654 |TYC 3174-253-1                                                                                                                                                                 |Star                           |20 41 55.8593702112 +41 21 43.467701544|081.2479861214387 -00.4808050458133|   2.857 -4.595   |10.47    |~                     |    ~     ~    
655 |TYC 3174-255-1                                                                                                                                                                 |Star                           |20 41 44.1516296376 +42 38 23.457768432|082.2335244022424 +00.3332927657010|    1.707 0.748   |10.33    |~                     |    ~     ~    
656 |TYC 3174-325-1                                                                                                                                                                 |Star                           |20 42 03.4459868160 +42 35 40.164123516|082.2341305553270 +00.2587467462559|  -2.292 -5.888   |10.83    |~                     |    ~     ~    
657 |TYC 3174-378-1                                                                                                                                                                 |Star                           |20 40 09.6556495392 +42 54 50.637849120|082.2731881660903 +00.7297051936364|  3.884 -11.467   |10.11    |~                     |    ~     ~    
658 |TYC 3174-379-1                                                                                                                                                                 |Star                           |20 43 05.8821059448 +42 07 45.966086760|081.9864580439722 -00.1792999312650|    6.076 1.339   |9.76     |~                     |    ~     ~    
659 |TYC 3174-394-1                                                                                                                                                                 |Star                           |20 40 02.0872863024 +42 54 44.802849024|082.2577995180747 +00.7470044854011|   -2.239 1.499   |10.52    |~                     |    ~     ~    
660 |TYC 3174-399-1                                                                                                                                                                 |Star                           |20 42 40.8787744272 +42 08 15.026055864|081.9451258210505 -00.1135297625124|  -2.474 -5.693   |10.88    |~                     |    ~     ~    
661 |TYC 3174-443-1                                                                                                                                                                 |Star                           |20 42 28.7983030392 +41 32 09.034522296|081.4482611170197 -00.4549072593412|   3.057 -3.710   |10.65    |~                     |    ~     ~    
662 |TYC 3174-537-1                                                                                                                                                                 |Star                           |20 43 50.6677401912 +42 14 37.996000512|082.1619149546104 -00.2171520722840| -1.546 -14.782   |10.7     |~                     |    ~     ~    
663 |TYC 3174-543-1                                                                                                                                                                 |Star                           |20 42 20.6898932112 +42 31 16.356574704|082.2089611546998 +00.1719285218159|  -6.157 -3.415   |10.37    |~                     |    ~     ~    
664 |TYC 3174-600-1                                                                                                                                                                 |Star                           |20 41 09.3685406688 +42 50 39.977471112|082.3297022343901 +00.5429020835114|-32.347 -15.075   |9.82     |~                     |    ~     ~    
665 |TYC 3174-666-1                                                                                                                                                                 |Star                           |20 40 36.1260498168 +42 42 18.462837924|082.1573012742224 +00.5379406384410|-10.912 -11.747   |10.68    |~                     |    ~     ~    
666 |TYC 3174-686-1                                                                                                                                                                 |Star                           |20 40 46.7325348024 +41 42 32.040043812|081.3895363276220 -00.0977436912045|   1.194 11.455   |10.08    |~                     |    ~     ~    
667 |TYC 3174-730-1                                                                                                                                                                 |Star                           |20 44 59.3734754184 +42 12 46.260318852|082.2691609272169 -00.4026150591359|  -0.305 -5.460   |10.67    |~                     |    ~     ~    
668 |TYC 3174-735-1                                                                                                                                                                 |Spectroscopic Binary           |20 40 43.5120301800 +42 52 18.506992296|082.3029493070505 +00.6220878972664| 15.961 -11.570   |9.88     |~                     |    ~     ~    
669 |TYC 3174-741-1                                                                                                                                                                 |Spectroscopic Binary           |20 44 13.0618078152 +42 05 13.444983960|082.0817192136691 -00.3686265019656|-21.148 -20.803   |9.90     |~                     |    ~     ~    
670 |TYC 3174-753-1                                                                                                                                                                 |Star                           |20 40 56.1702583296 +42 30 37.143669816|082.0409061338451 +00.3700633505482|   3.469 -5.127   |10.82    |~                     |    ~     ~    
671 |TYC 3174-778-1                                                                                                                                                                 |Star                           |20 43 24.1837252008 +42 01 04.658250396|081.9338033648681 -00.2926934842491|-18.183 -29.825   |10.87    |~                     |    ~     ~    
672 |TYC 3174-877-1                                                                                                                                                                 |Star                           |20 43 14.8274367288 +42 31 09.627490416|082.3100664042447 +00.0399349576743|-15.582 -10.354   |10.87    |~                     |    ~     ~    
