C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:11:56

dec >=0&rah >=7.0&rah< 7.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 7257

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |BD+84 143                                                                                                                                   |High Proper Motion Star             |07 14 45.6093230016 +84 40 52.211210988|128.9017740116956 +27.5421741325005|  -0.754 51.500   |10.12    |G5                |    ~     ~    |    1|  134.673   pc  |  -0.2086     +0.2086  |paral   |2020yCat.1350....0G
23  |NGC 2268                           NGC 2268                                                                                                 |Galaxy towards a Group of Galaxies  |07 14 17.441 +84 22 56.18              |129.239084 +27.546391              |            ~ ~   |     ~   |~                 |1.577 0.946    |    1|   32.81    Mpc |  -4.13       +4.13    |T-F     |2020ApJ...902..145K
24  |BD+85 97                                                                                                                                    |Star                                |07 06 30.9467408568 +85 22 44.192024904|128.1241398536518 +27.3364912962226|  -9.517 17.547   |10.59    |G5V:              |    ~     ~    |    1|  106.369   pc  |  -0.1595     +0.1595  |paral   |2020yCat.1350....0G
25  |TYC 4622-798-1                                                                                                                              |Spectroscopic Binary                |07 14 57.4220685792 +84 56 15.734817312|128.6126303706892 +27.5323956193995|    1.421 0.866   |10.81    |~                 |    ~     ~    |    1| 1083.306   pc  | -34.7372    +34.7372  |paral   |2020yCat.1350....0G
26  |HD 50629                                                                                                                                    |Star                                |07 08 10.7304434256 +81 12 15.583120488|132.8249558583232 +27.4228202302350|-10.204 -17.495   |8.96     |G5                |    ~     ~    |    1|  560.978   pc  |  -3.7449     +3.7449  |paral   |2020yCat.1350....0G
27  |BD+84 139                                                                                                                                   |Pulsating Variable                  |07 03 48.8989226880 +83 58 12.701752392|129.7103797668813 +27.2908405892241|  -4.264 -5.135   |10.63    |A0                |    ~     ~    |    1|  678.288   pc  |  -8.6494     +8.6494  |paral   |2020yCat.1350....0G
28  |BD+84 140                                                                                                                                   |Star                                |07 05 51.2684435256 +83 58 21.584902224|129.7073435606697 +27.3443784140166| 13.456 -14.552   |10.42    |G5                |    ~     ~    |    1|  210.793   pc  |  -0.5999     +0.5999  |paral   |2020yCat.1350....0G
29  |BD+84 144                                                                                                                                   |Star                                |07 12 19.0646808600 +83 59 59.039932632|129.6724885493472 +27.5129948030375|    6.024 5.957   |10.45    |K2                |    ~     ~    |    1| 1521.838   pc  | -27.7919    +27.7919  |paral   |2020yCat.1350....0G
30  |BD+84 141                                                                                                                                   |Star                                |07 09 36.3151659168 +83 55 18.878708640|129.7626414684793 +27.4440822646440|    1.266 8.416   |10.37    |A0                |    ~     ~    |    1| 2240.143   pc  | -65.7390    +65.7390  |paral   |2020yCat.1350....0G
31  |BD+84 142                                                                                                                                   |Star                                |07 09 55.9085 +83 53 56.056            |129.7883125 +27.4533191            | 17.240 -32.063   |10.48    |G5                |    ~     ~    |    0|                |                       |        |                   
