C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:11:56

dec >=0&rah >=7.0&rah< 7.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 7257

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1072|BD+46 1227                                                                                                                                  |Star                                |07 07 23.5002214224 +46 43 27.269572296|170.4504951832286 +21.9884841120870|   8.915 -8.625   |9.07     |K2                |    ~     ~    |    1|  493.145   pc  |  -3.7938     +3.7938  |paral   |2020yCat.1350....0G
1073|BD+48 1491                                                                                                                                  |Star                                |07 14 33.8960923272 +47 51 15.423697512|169.6350727569333 +23.4685991635505|-21.949 -23.154   |9.73     |F5                |    ~     ~    |    1|  159.872   pc  |  -0.4294     +0.4294  |paral   |2020yCat.1350....0G
1074|BD+47 1407                                                                                                                                  |Star                                |07 11 48.7608678240 +47 43 43.489080732|169.6332869301768 +22.9895990003321|-11.767 -12.724   |9.59     |K0                |    ~     ~    |    1|  489.093   pc  |  -4.0666     +4.0666  |paral   |2020yCat.1350....0G
1075|HD 54944                                                                                                                                    |High Proper Motion Star             |07 13 12.9078619728 +47 36 24.600121920|169.8297817471228 +23.1843770479038|-11.760 -81.320   |6.760    |A5                |    ~     ~    |    1|   62.975   pc  |  -0.0873     +0.0873  |paral   |2020yCat.1350....0G
1076|BD+47 1412                                                                                                                                  |Star                                |07 13 34.1103336120 +47 29 41.838894024|169.9643871956984 +23.2120318946288|  3.921 -27.790   |8.55     |K2                |    ~     ~    |    1|  413.856   pc  |  -3.6653     +3.6653  |paral   |2020yCat.1350....0G
1077|HD 55003                                                                                                                                    |High Proper Motion Star             |07 13 37.3069889664 +47 16 00.354311580|170.2062281920656 +23.1597706283620|   52.492 9.307   |7.03     |F2                |    ~     ~    |    1|   64.189   pc  |  -1.5121     +1.5121  |paral   |2020yCat.1350....0G
1078|BD+47 1416                                                                                                                                  |Star                                |07 14 55.8733957224 +47 14 46.193453196|170.2921975336781 +23.3684636177071|-12.085 -30.806   |9.66     |F8                |    ~     ~    |    1|  153.344   pc  |  -0.3856     +0.3856  |paral   |2020yCat.1350....0G
1079|NGC 2344                           NGC 2344                                                                                                 |Radio Galaxy                        |07 12 28.6727815248 +47 10 00.302868408|170.2539481853420 +22.9457498970198|   0.437 -0.436   |12.14    |~                 |1.133 1.020    |    1|   17.2     Mpc |                       |redshift|2011MNRAS.413..813C
1080|TYC 3391-623-1                                                                                                                              |Spectroscopic Binary                |07 02 41.9136630432 +46 49 53.374035432|170.0857060007544 +21.2522169474670| -6.505 -32.086   |10.26    |~                 |    ~     ~    |    1|  294.152   pc  |  -1.7478     +1.7478  |paral   |2020yCat.1350....0G
1081|TYC 3391-645-1                                                                                                                              |Star                                |07 05 39.1918092912 +46 42 28.552107744|170.3739191753174 +21.6986461080839| -10.793 -4.524   |10.73    |~                 |    ~     ~    |    1|  416.216   pc  |  -4.2096     +4.2096  |paral   |2020yCat.1350....0G
1082|TYC 3391-711-1                                                                                                                              |Star                                |07 06 52.2558587760 +46 35 49.092321876|170.5539177212288 +21.8661056316922|  -5.029 -0.171   |9.61     |~                 |    ~     ~    |    1|  930.146   pc  | -16.6978    +16.6978  |paral   |2020yCat.1350....0G
1083|TYC 3391-2468-1                                                                                                                             |Star                                |07 05 54.6346687080 +46 38 47.429245896|170.4510575922015 +21.7228479576371|    0.822 0.481   |10.90    |~                 |    ~     ~    |    1| 1751.007   pc  | -51.8158    +51.8158  |paral   |2020yCat.1350....0G
1084|TYC 3392-941-1                                                                                                                              |High Proper Motion Star             |07 07 58.0132939560 +46 51 18.801342252|170.3456510868323 +22.1204229772271| 73.142 -54.584   |10.21    |~                 |    ~     ~    |    1|   60.971   pc  |  -0.0524     +0.0524  |paral   |2020yCat.1350....0G
1085|TYC 3392-1434-1                                                                                                                             |Star                                |07 13 13.7233118976 +46 51 56.139338448|170.6064913011614 +22.9871000499044|   -6.126 0.663   |10.71    |~                 |    ~     ~    |    1|  850.051   pc  | -14.8130    +14.8130  |paral   |2020yCat.1350....0G
1086|TYC 3392-1439-1                                                                                                                             |Star                                |07 11 42.9740401656 +46 49 23.421664632|170.5738966586760 +22.7267423374999|   2.653 -8.415   |10.54    |~                 |    ~     ~    |    1|  473.261   pc  |  -6.4281     +6.4281  |paral   |2020yCat.1350....0G
1087|TYC 3392-1583-1                                                                                                                             |Star                                |07 07 51.8579761968 +46 47 30.863295492|170.4057007746301 +22.0854734639757|  0.488 -28.822   |10.03    |~                 |    ~     ~    |    1|  235.649   pc  |  -7.2023     +7.2023  |paral   |2020yCat.1350....0G
1088|TYC 3392-1649-1                                                                                                                             |Star                                |07 09 56.4541776792 +46 40 27.535110852|170.6368062690889 +22.3931735722083|   -6.531 1.815   |10.88    |~                 |    ~     ~    |    1|  810.045   pc  | -10.6300    +10.6300  |paral   |2020yCat.1350....0G
1089|TYC 3392-1691-1                                                                                                                             |Star                                |07 11 18.4805144712 +46 39 13.169799216|170.7293909043453 +22.6125485523191| -8.866 -48.491   |10.43    |~                 |    ~     ~    |    1|  151.073   pc  |  -1.0453     +1.0453  |paral   |2020yCat.1350....0G
1090|TYC 3392-1704-1                                                                                                                             |Star                                |07 12 53.1072625920 +46 51 43.372189620|170.5928377335343 +22.9296189234405| -5.297 -23.575   |9.35     |~                 |    ~     ~    |    1|  253.088   pc  |  -1.3067     +1.3067  |paral   |2020yCat.1350....0G
1091|TYC 3392-1743-1                                                                                                                             |Star                                |07 12 19.3494931416 +46 41 55.882946328|170.7345266456649 +22.7922742912483|   9.815 -0.825   |10.07    |~                 |    ~     ~    |    1|  293.591   pc  |  -2.3962     +2.3962  |paral   |2020yCat.1350....0G
1092|TYC 3392-1870-1                                                                                                                             |Star                                |07 12 39.3018301080 +46 24 04.213783656|171.0619725320159 +22.7651157400751|   4.460 -1.563   |10.37    |~                 |    ~     ~    |    1|  830.427   pc  | -13.3784    +13.3784  |paral   |2020yCat.1350....0G
1093|TYC 3395-987-1                                                                                                                              |Star                                |07 06 17.2274969424 +48 12 14.902138476|168.8620013410680 +22.2316332761812|  -10.346 2.180   |10.53    |~                 |    ~     ~    |    1|  170.213   pc  |  -0.6287     +0.6287  |paral   |2020yCat.1350....0G
1094|TYC 3395-1062-1                                                                                                                             |Star                                |07 05 54.3570310632 +47 16 10.881499296|169.8086205096290 +21.9034495295593|   2.210 -7.888   |9.57     |~                 |    ~     ~    |    1|  503.575   pc  |  -7.1005     +7.1005  |paral   |2020yCat.1350....0G
1095|TYC 3395-1383-1                                                                                                                             |Star                                |07 05 46.1133705024 +48 19 20.741282328|168.7131203098598 +22.1822236256213| -1.093 -10.631   |10.58    |~                 |    ~     ~    |    1|  351.210   pc  |  -2.7630     +2.7630  |paral   |2020yCat.1350....0G
1096|TYC 3395-1527-1                                                                                                                             |Star                                |07 07 07.4916488760 +47 59 33.659324232|169.1238005683221 +22.3063424448153|   25.777 3.365   |10.62    |~                 |    ~     ~    |    1|  108.534   pc  |  -0.4512     +0.4512  |paral   |2020yCat.1350....0G
1097|TYC 3395-1553-1                                                                                                                             |Star                                |07 05 10.2543665496 +47 55 27.307673976|169.0943769942976 +21.9732495431265|-41.773 -12.449   |10.89    |~                 |    ~     ~    |    1|  239.338   pc  |  -0.6931     +0.6931  |paral   |2020yCat.1350....0G
1098|TYC 3395-1558-1                                                                                                                             |Star                                |07 03 52.6021434312 +47 14 50.525253852|169.7234168185820 +21.5676192483562|   3.063 -3.420   |9.71     |~                 |    ~     ~    |    1|  590.633   pc  |  -6.7327     +6.7327  |paral   |2020yCat.1350....0G
1099|TYC 3395-1916-1                                                                                                                             |Star                                |07 06 15.4023163704 +47 35 18.095036496|169.4978802925623 +22.0518899025916| -13.086 12.969   |10.11    |~                 |    ~     ~    |    1|  104.195   pc  |  -0.1878     +0.1878  |paral   |2020yCat.1350....0G
1100|TYC 3396-468-1                                                                                                                              |Star                                |07 14 39.4219433328 +47 31 12.309572784|169.9909998993198 +23.3959478732380|  9.469 -29.177   |9.89     |~                 |    ~     ~    |    1|  194.757   pc  |  -0.6524     +0.6524  |paral   |2020yCat.1350....0G
1101|TYC 3396-850-1                                                                                                                              |Star                                |07 14 47.0099482944 +46 58 35.856101028|170.5679135158925 +23.2726679349423| -2.557 -21.404   |10.38    |~                 |    ~     ~    |    1|  755.287   pc  | -10.2112    +10.2112  |paral   |2020yCat.1350....0G
1102|TYC 3396-880-1                                                                                                                              |Star                                |07 14 16.6010357856 +46 57 46.459518696|170.5571431704592 +23.1856865358826| -12.366 -0.372   |9.04     |~                 |    ~     ~    |    1|  617.436   pc  |  -8.4251     +8.4251  |paral   |2020yCat.1350....0G
1103|TYC 3396-949-1                                                                                                                              |Star                                |07 13 51.8508234216 +47 39 11.079812628|169.8128606015819 +23.3020821427955| 14.293 -35.061   |9.87     |~                 |    ~     ~    |    1|  528.877   pc  |  -4.1117     +4.1117  |paral   |2020yCat.1350....0G
1104|TYC 3396-959-1                                                                                                                              |Star                                |07 08 26.6132391768 +47 33 03.611233836|169.6493907875079 +22.3950855106099|   0.822 -2.122   |10.44    |~                 |    ~     ~    |    1|  384.734   pc  |  -3.5081     +3.5081  |paral   |2020yCat.1350....0G
1105|TYC 3396-1021-1                                                                                                                             |Star                                |07 11 22.1678672976 +47 39 24.574171572|169.6865645312856 +22.8983407491646|  -2.382 -5.914   |10.17    |~                 |    ~     ~    |    1| 1580.528   pc  | -37.2212    +37.2212  |paral   |2020yCat.1350....0G
1106|TYC 3396-1030-1                                                                                                                             |High Proper Motion Star             |07 10 12.1860513168 +48 35 20.507833716|168.6548928387428 +22.9624531374369| 56.275 -22.587   |10.65    |~                 |    ~     ~    |    1|  122.341   pc  |  -0.2365     +0.2365  |paral   |2020yCat.1350....0G
1107|TYC 3396-1087-1                                                                                                                             |Star                                |07 12 01.8319933512 +47 19 30.616837068|170.0660062495187 +22.9157364618849|  -8.082 -6.836   |9.81     |~                 |    ~     ~    |    1|  403.942   pc  |  -2.4639     +2.4639  |paral   |2020yCat.1350....0G
1108|TYC 3396-1107-1                                                                                                                             |Star                                |07 09 31.9855740576 +47 07 50.835362988|170.1417142386291 +22.4545709675944|   2.998 -4.395   |10.38    |~                 |    ~     ~    |    1|  790.889   pc  | -12.0723    +12.0723  |paral   |2020yCat.1350....0G
1109|TYC 3396-1141-1                                                                                                                             |Star                                |07 11 28.3076982168 +47 02 33.268221996|170.3327535981614 +22.7471164030210|   -0.181 0.103   |10.51    |~                 |    ~     ~    |    1|  902.446   pc  | -15.3109    +15.3109  |paral   |2020yCat.1350....0G
1110|TYC 3396-1364-1                                                                                                                             |Star                                |07 13 39.9467 +48 07 56.559            |169.2996667 +23.3960836            |   5.259 -4.196   |9.80     |~                 |    ~     ~    |    0|                |                       |        |                   
1111|TYC 3396-1377-1                                                                                                                             |Star                                |07 07 48.5951226144 +47 33 29.295838152|169.6095008236030 +22.2944921079039|   5.780 -9.924   |9.82     |~                 |    ~     ~    |    1|  617.246   pc  |  -7.6579     +7.6579  |paral   |2020yCat.1350....0G
1112|TYC 3396-1387-1                                                                                                                             |Spectroscopic Binary                |07 13 32.3253067848 +47 19 01.473607236|170.1494053954818 +23.1596778138148|  4.815 -16.835   |10.44    |~                 |    ~     ~    |    1|  548.186   pc  | -21.0355    +21.0355  |paral   |2020yCat.1350....0G
1113|TYC 3396-1477-1                                                                                                                             |Star                                |07 12 42.5495549568 +46 58 48.238318164|170.4606519037476 +22.9328672869939|  -1.942 -5.122   |10.31    |~                 |    ~     ~    |    1|  967.680   pc  | -32.4932    +32.4932  |paral   |2020yCat.1350....0G
1114|TYC 3396-1484-1                                                                                                                             |Star                                |07 12 08.8188752880 +48 13 29.944529760|169.1297842122899 +23.1762429993160|-10.797 -17.037   |10.77    |~                 |    ~     ~    |    1|  419.410   pc  |  -2.7089     +2.7089  |paral   |2020yCat.1350....0G
1115|TYC 3396-1632-1                                                                                                                             |Star                                |07 13 44.3858902608 +47 59 30.111055332|169.4511079544570 +23.3711476597051| -2.110 -15.398   |10.48    |~                 |    ~     ~    |    1|  363.451   pc  |  -3.3553     +3.3553  |paral   |2020yCat.1350....0G
1116|TYC 3396-1652-1                                                                                                                             |Star                                |07 09 45.9960712536 +48 05 48.940650960|169.1477251837664 +22.7594748138468|  -9.591 -9.607   |10.51    |~                 |    ~     ~    |    1|  706.015   pc  |  -7.7261     +7.7261  |paral   |2020yCat.1350....0G
1117|TYC 3396-1678-1                                                                                                                             |High Proper Motion Star             |07 11 21.5606012544 +47 57 58.872069180|169.3624734986306 +22.9803829955359| 37.291 -42.043   |10.72    |~                 |    ~     ~    |    1|  172.295   pc  |  -0.4008     +0.4008  |paral   |2020yCat.1350....0G
1118|TYC 3396-1688-1                                                                                                                             |Star                                |07 11 37.0750142016 +48 05 12.402228012|169.2490498552420 +23.0543642768143|   17.422 2.738   |10.45    |~                 |    ~     ~    |    1|  218.364   pc  |  -1.0061     +1.0061  |paral   |2020yCat.1350....0G
1119|TYC 3396-1700-1                                                                                                                             |Star                                |07 07 41.4394842648 +48 02 18.664498608|169.1048705885752 +22.4100109963213|  5.680 -14.972   |10.64    |~                 |    ~     ~    |    1|  659.500   pc  | -12.7872    +12.7872  |paral   |2020yCat.1350....0G
1120|TYC 3396-1744-1                                                                                                                             |High Proper Motion Star             |07 08 12.6893549160 +47 54 01.903072212|169.2745319830682 +22.4552604557100| 43.216 -39.256   |10.22    |~                 |    ~     ~    |    1|  197.578   pc  |  -0.8120     +0.8120  |paral   |2020yCat.1350....0G
1121|TYC 3396-1761-1                                                                                                                             |Star                                |07 12 41.4673426704 +47 22 35.263694460|170.0452784442504 +23.0373325492619|  -8.513 16.459   |10.16    |~                 |    ~     ~    |    1|  242.137   pc  |  -1.1843     +1.1843  |paral   |2020yCat.1350....0G
1122|TYC 3396-1823-1                                                                                                                             |High Proper Motion Star             |07 13 27.7391820552 +47 37 32.630144412|169.8220275241777 +23.2295613366618| -0.666 -52.452   |10.90    |~                 |    ~     ~    |    1|  274.123   pc  |  -1.3225     +1.3225  |paral   |2020yCat.1350....0G
1123|TYC 3396-1850-1                                                                                                                             |High Proper Motion Star             |07 09 07.4956234680 +48 31 35.439278520|168.6679430694975 +22.7737973625046|-58.313 -40.872   |10.01    |~                 |    ~     ~    |    1|  209.754   pc  |  -1.1263     +1.1263  |paral   |2020yCat.1350....0G
1124|TYC 3396-2029-1                                                                                                                             |Star                                |07 12 20.6866411944 +47 05 10.101876504|170.3314794477167 +22.9020273961237| -3.458 -13.026   |10.88    |~                 |    ~     ~    |    1|  691.754   pc  | -26.6059    +26.6059  |paral   |2020yCat.1350....0G
1125|TYC 3396-2183-1                                                                                                                             |Star                                |07 08 00.3896518032 +48 26 37.950847620|168.6991254115793 +22.5729311241473|  9.487 -11.802   |10.10    |~                 |    ~     ~    |    1|  667.512   pc  |  -6.5054     +6.5054  |paral   |2020yCat.1350....0G
1126|TYC 3399-1772-1                                                                                                                             |Star                                |07 07 23.6571780624 +49 05 14.064163368|167.9989281429224 +22.6523152784585|   -9.824 9.998   |9.41     |~                 |    ~     ~    |    1|  135.089   pc  |  -0.3340     +0.3340  |paral   |2020yCat.1350....0G
1127|TYC 3400-55-1                                                                                                                               |High Proper Motion Star             |07 14 09.7847930952 +48 49 05.514125052|168.6003483717614 +23.6530094256581|-24.775 -87.885   |10.42    |~                 |    ~     ~    |    1|  181.182   pc  |  -0.6106     +0.6106  |paral   |2020yCat.1350....0G
1128|TYC 3400-485-1                                                                                                                              |Star                                |07 14 00.0620986368 +48 45 38.141300376|168.6536797845100 +23.6124711647966|-10.488 -13.251   |10.49    |~                 |    ~     ~    |    1|  672.766   pc  |  -7.3324     +7.3324  |paral   |2020yCat.1350....0G
1129|TYC 3400-1461-1                                                                                                                             |Star                                |07 09 06.9327806496 +48 47 12.882861384|168.3955601681014 +22.8428460291228| -1.132 -10.493   |10.79    |~                 |    ~     ~    |    1|  837.451   pc  | -13.3252    +13.3252  |paral   |2020yCat.1350....0G
1130|TYC 3400-1648-1                                                                                                                             |Star                                |07 09 38.4289392000 +48 52 52.854769164|168.3220427959303 +22.9514452214055| -14.834 -9.237   |10.16    |~                 |    ~     ~    |    1|  239.820   pc  |  -1.3573     +1.3573  |paral   |2020yCat.1350....0G
1131|TYC 3400-1769-1                                                                                                                             |Star                                |07 12 21.6277549104 +48 52 52.687127892|168.4504964501790 +23.3827470267986| -18.775 14.290   |10.62    |~                 |    ~     ~    |    1|  289.796   pc  |  -1.3857     +1.3857  |paral   |2020yCat.1350....0G
1132|TYC 3400-1900-1                                                                                                                             |Star                                |07 07 35.8959379104 +48 46 23.938799340|168.3359762779560 +22.5986315120631|   0.968 -4.230   |10.31    |~                 |    ~     ~    |    1|  694.734   pc  | -13.8522    +13.8522  |paral   |2020yCat.1350....0G
1133|TYC 3400-1930-1                                                                                                                             |Star                                |07 13 17.9056326768 +48 49 18.710330052|168.5566306914594 +23.5163885207388|  -3.881 -9.158   |10.61    |~                 |    ~     ~    |    1|  204.528   pc  |  -0.7655     +0.7655  |paral   |2020yCat.1350....0G
1134|GSC 03400-01934                                                                                                                             |Double or Multiple Star             |07 07 37.4214299712 +49 02 10.509011340|168.0631941610717 +22.6745635673956|   1.405 -1.911   |9.810    |~                 |    ~     ~    |    0|                |                       |        |                   
1135|TYC 3400-1984-1                                                                                                                             |Spectroscopic Binary                |07 13 20.6108545512 +49 00 11.441357352|168.3675808441834 +23.5701685556410|  1.496 -17.144   |10.09    |~                 |    ~     ~    |    1|  369.795   pc  |  -2.8717     +2.8717  |paral   |2020yCat.1350....0G
1136|TYC 3400-1999-1                                                                                                                             |Star                                |07 08 32.0370135246 +48 48 53.720891901|168.3381823779643 +22.7582358559529| -10.766 -14.76   |10.47    |~                 |    ~     ~    |    0|                |                       |        |                   
1137|TYC 3400-2000-1                                                                                                                             |Star                                |07 10 45.0107699760 +48 46 10.923493800|168.4918837600804 +23.0977005817490|  13.502 -7.380   |9.90     |~                 |    ~     ~    |    1|  348.918   pc  |  -2.4714     +2.4714  |paral   |2020yCat.1350....0G
1138|HD 52254                                                                                                                                    |Star                                |07 02 43.0494635592 +45 57 26.735866380|170.9796836370698 +20.9903328953182| -10.170 -0.017   |7.65     |A0                |    ~     ~    |    1|  314.347   pc  |  -3.6858     +3.6858  |paral   |2020yCat.1350....0G
1139|BD+46 1219                                                                                                                                  |Star                                |07 03 16.5084048576 +46 07 12.580932612|170.8451715243835 +21.1320767224899|-15.098 -29.762   |8.970    |K5                |    ~     ~    |    1|  274.386   pc  |  -1.1745     +1.1745  |paral   |2020yCat.1350....0G
1140|BD+46 1220                                                                                                                                  |Star                                |07 03 37.8290640456 +46 34 50.359987200|170.3939598570390 +21.3293608869567| -5.316 -30.018   |9.24     |K0                |    ~     ~    |    1|  601.938   pc  |  -5.3625     +5.3625  |paral   |2020yCat.1350....0G
1141|BD+45 1374                                                                                                                                  |Star                                |07 00 26.3873203440 +44 51 15.737162544|171.9661209651740 +20.2662679443535| -8.015 -21.783   |9.25     |K2                |    ~     ~    |    1|  396.936   pc  |  -2.6942     +2.6942  |paral   |2020yCat.1350....0G
1142|BD+45 1375                                                                                                                                  |Star                                |07 00 42.3192946032 +45 26 30.064669764|171.3875347840682 +20.4964218088595|   4.825 -0.375   |9.86     |~                 |    ~     ~    |    1| 1127.650   pc  | -23.1430    +23.1430  |paral   |2020yCat.1350....0G
1143|TYC 3391-2246-1                                                                                                                             |Star                                |07 02 28.2143015016 +45 47 40.629626448|171.1314818936380 +20.8994481632292|-13.803 -40.900   |9.76     |~                 |    ~     ~    |    1|  171.609   pc  |  -0.9512     +0.9512  |paral   |2020yCat.1350....0G
1144|HD 52907                                                                                                                                    |Star                                |07 05 22.3142973432 +46 31 45.573466512|170.5422808591113 +21.5999284752204| 18.096 -39.056   |8.79     |K0                |    ~     ~    |    1|  360.347   pc  |  -3.0645     +3.0645  |paral   |2020yCat.1350....0G
1145|BD+46 1224                                                                                                                                  |Star                                |07 05 35.3080797792 +46 00 28.830095532|171.0894643315157 +21.4810777345789| -2.830 -11.035   |8.78     |K2                |    ~     ~    |    1|  617.170   pc  |  -6.8943     +6.8943  |paral   |2020yCat.1350....0G
1146|BD+46 1231                                                                                                                                  |Star                                |07 09 45.3592841712 +46 26 34.443395304|170.8670613650371 +22.2972107593324|  -1.750 -7.456   |10.59    |A2                |    ~     ~    |    1|  592.347   pc  |  -6.0000     +6.0000  |paral   |2020yCat.1350....0G
1147|BD+46 1234                                                                                                                                  |Spectroscopic Binary                |07 10 40.8018063168 +46 03 43.823448144|171.3107149228568 +22.3422652125241|  1.505 -20.272   |9.66     |F5                |    ~     ~    |    1|  209.214   pc  |  -0.6215     +0.6215  |paral   |2020yCat.1350....0G
1148|HD 54613                                                                                                                                    |Double or Multiple Star             |07 11 47.3389420512 +46 01 18.665052852|171.4113963794428 +22.5154633862681|-13.573 -37.863   |9.18     |A5                |    ~     ~    |    1|  227.412   pc  | -20.8469    +20.8469  |paral   |2020yCat.1350....0G
1149|HD 54270                                                                                                                                    |Star                                |07 10 26.4480036336 +45 47 32.785240776|171.5772927053372 +22.2254708851660|  2.144 -12.670   |8.79     |A0                |    ~     ~    |    1|  430.942   pc  |  -4.8099     +4.8099  |paral   |2020yCat.1350....0G
1150|BD+45 1379                                                                                                                                  |Long-Period Variable                |07 03 30.8047970952 +44 53 29.058290412|172.1113015356998 +20.7948683363663|  -7.276 -2.286   |8.75     |M2                |    ~     ~    |    1|  968.804   pc  | -37.8249    +37.8249  |paral   |2020yCat.1350....0G
1151|BD+45 1380                                                                                                                                  |Star                                |07 03 34.2953749872 +45 25 34.772197008|171.5700818732705 +20.9696365232811|   -0.561 0.721   |9.48     |A0                |    ~     ~    |    1|  703.977   pc  | -30.7758    +30.7758  |paral   |2020yCat.1350....0G
1152|BD+45 1381                                                                                                                                  |Star                                |07 03 38.8945656264 +45 32 53.822349312|171.4501389626153 +21.0197837779033|-17.372 -28.578   |9.24     |G0                |    ~     ~    |    1|  117.772   pc  |  -0.2760     +0.2760  |paral   |2020yCat.1350....0G
1153|HD 52607                                                                                                                                    |Star                                |07 04 06.8369352024 +45 03 48.089938572|171.9713771400822 +20.9489894014703|-14.090 -34.011   |7.80     |F0                |    ~     ~    |    1|  191.402   pc  |  -0.9379     +0.9379  |paral   |2020yCat.1350....0G
1154|BD+45 1385                                                                                                                                  |Star                                |07 04 23.1301122912 +45 44 58.186435956|171.2867001991183 +21.2037426866584|  -0.370 -2.931   |9.98     |A1/4              |    ~     ~    |    1|  413.719   pc  |  -3.2863     +3.2863  |paral   |2020yCat.1350....0G
1155|BD+45 1386                                                                                                                                  |High Proper Motion Star             |07 06 05.3228580000 +45 37 48.177357312|171.5050389060688 +21.4514786041689|-45.725 -45.124   |9.45     |G0                |    ~     ~    |    1|  141.239   pc  |  -1.0433     +1.0433  |paral   |2020yCat.1350....0G
1156|HD 53129                                                                                                                                    |Variable Star                       |07 06 03.2726401032 +44 51 50.358343716|172.2872745565894 +21.2148880280297| -0.076 -11.790   |7.82     |K5                |    ~     ~    |    1|  386.653   pc  | -14.2474    +14.2474  |paral   |2020yCat.1350....0G
1157|HD 53410                                                                                                                                    |Star                                |07 07 10.5542678832 +45 23 44.569769244|171.8065031812328 +21.5633863323313|  0.262 -13.855   |8.90     |F0                |    ~     ~    |    1|  337.644   pc  |  -1.8925     +1.8925  |paral   |2020yCat.1350....0G
1158|BD+45 1390                                                                                                                                  |Star                                |07 07 35.5225375752 +45 26 47.240703924|171.7776996557508 +21.6481780129964|  1.151 -10.761   |9.48     |K0                |    ~     ~    |    1|  491.207   pc  |  -4.1260     +4.1260  |paral   |2020yCat.1350....0G
1159|BD+45 1391                                                                                                                                  |Star                                |07 08 09.6737656152 +45 31 42.124933344|171.7251501775899 +21.7676681707747| -0.860 -18.304   |9.77     |G5                |    ~     ~    |    1|  605.620   pc  | -21.1263    +21.1263  |paral   |2020yCat.1350....0G
1160|HD 54071                                                                                                                                    |Star                                |07 09 39.3678 +44 57 19.761            |172.3982489 +21.8507700            |     -5.5 -12.4   |10.31    |A2                |    ~     ~    |    0|                |                       |        |                   
1161|HD 54402                                                                                                                                    |Star                                |07 10 51.8385916440 +45 14 50.267505840|172.1641599085911 +22.1396803782790| -14.273 -7.496   |7.72     |K0                |    ~     ~    |    1|  269.447   pc  |  -1.5972     +1.5972  |paral   |2020yCat.1350....0G
1162|BD+44 1564                                                                                                                                  |Star                                |07 00 36.8285252352 +44 10 00.229639368|172.6707351026458 +20.0755709100451|    8.590 3.756   |9.99     |F8                |    ~     ~    |    1|  320.318   pc  |  -2.4214     +2.4214  |paral   |2020yCat.1350....0G
1163|HD 52099                                                                                                                                    |Star                                |07 02 01.2252947568 +44 26 56.282077500|172.4712779478934 +20.4041420923487|   1.705 -8.394   |6.91     |K0                |    ~     ~    |    1|  231.814   pc  |  -1.1446     +1.1446  |paral   |2020yCat.1350....0G
1164|HD 52366                                                                                                                                    |High Proper Motion Star             |07 03 04.9487362512 +44 26 37.364231148|172.5404002918092 +20.5823706850170|-24.345 -82.081   |8.18     |K0                |    ~     ~    |    1|  153.268   pc  |  -0.5286     +0.5286  |paral   |2020yCat.1350....0G
1165|HD 52402                                                                                                                                    |Star                                |07 03 13.9716484152 +44 45 14.021507628|172.2345191688550 +20.7048288819515|-16.165 -18.844   |8.48     |K0                |    ~     ~    |    1|  356.595   pc  |  -2.1744     +2.1744  |paral   |2020yCat.1350....0G
1166|HD 53146                                                                                                                                    |Star                                |07 06 07.1018490000 +44 37 24.889495188|172.5365674884427 +21.1524968019411| 11.896 -11.682   |9.23     |A0                |    ~     ~    |    1|  437.618   pc  |  -6.7603     +6.7603  |paral   |2020yCat.1350....0G
1167|BD+44 1581                                                                                                                                  |Star                                |07 06 46.9581141744 +44 22 04.724097924|172.8363509537238 +21.1873479534031|   0.282 -0.966   |9.40     |K2                |    ~     ~    |    1| 1149.690   pc  | -23.2634    +23.2634  |paral   |2020yCat.1350....0G
1168|HD 53447                                                                                                                                    |Star                                |07 07 10.2962060544 +44 26 18.799575828|172.7868989857948 +21.2749991483624| 32.667 -24.203   |9.00     |K2                |    ~     ~    |    1|  272.613   pc  |  -1.3749     +1.3749  |paral   |2020yCat.1350....0G
1169|HD 53685                                                                                                                                    |Star                                |07 08 06.3097782312 +44 02 23.938991988|173.2489669362653 +21.3133295091620|   4.964 -5.251   |6.811    |G5                |    ~     ~    |    1|  152.486   pc  |  -0.5580     +0.5580  |paral   |2020yCat.1350....0G
1170|BD+44 1586                                                                                                                                  |Star                                |07 08 43.5719229696 +44 24 42.124281804|172.9043138855636 +21.5315339720529|    5.058 0.621   |9.65     |F5                |    ~     ~    |    1|  314.971   pc  |  -2.3214     +2.3214  |paral   |2020yCat.1350....0G
1171|TYC 2955-48-1                                                                                                                               |Star                                |07 01 09.6944590080 +44 44 22.996921164|172.1254144437410 +20.3512543839173| -5.404 -10.491   |10.24    |~                 |    ~     ~    |    1|  335.188   pc  |  -2.0785     +2.0785  |paral   |2020yCat.1350....0G
1172|TYC 2955-57-1                                                                                                                               |Star                                |07 03 40.7780277768 +44 46 24.536618148|172.2409927937960 +20.7862915378121|  -5.238 -9.438   |10.71    |~                 |    ~     ~    |    1|  315.308   pc  |  -1.6404     +1.6404  |paral   |2020yCat.1350....0G
