C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:46:59

Vmag< 11&dec >=0&rah >=19.75&rah< 20.0
--------------------------------------

Number of objects : 10261

  #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |      spec. type       |   ang. size   
-----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------------|---------------
1929 |BD+62 1753                                                            |Spectroscopic Binary           |19 45 14.9389090968 +62 21 50.712791292|094.6270567673988 +17.9340151327926| -5.847 -13.730  |8.62     |K2                     |    ~     ~    
1930 |HD 187426                                                             |Star                           |19 46 08.8781450088 +62 30 37.077251220|094.8122699315931 +17.9003156309454| 19.650 -10.840  |8.43     |K0                     |    ~     ~    
1931 |BD+62 1755                                                            |Star                           |19 46 13.1484275856 +62 28 52.953274992|094.7882585120094 +17.8807723745155|  5.752 -27.232  |9.69     |F2                     |    ~     ~    
1932 |BD+62 1756                                                            |Star                           |19 46 55.7989797360 +62 38 23.605589904|094.9755374510376 +17.8727411085676|  15.745 35.389  |9.12     |F5                     |    ~     ~    
1933 |BD+62 1757                                                            |Star                           |19 47 58.1410841136 +62 46 48.135898920|095.1617449194260 +17.8236544359770|   1.171 -1.095  |9.46     |F5                     |    ~     ~    
1934 |HD 188053                                                             |Star                           |19 49 25.8574129320 +63 12 13.905083736|095.6389138477325 +17.8527850732266|  24.380 -1.368  |6.68     |K0                     |    ~     ~    
1935 |HD 188099                                                             |Star                           |19 49 45.7738793304 +62 33 31.228816320|095.0434457262649 +17.5431304292188|    0.260 9.444  |8.00     |M0                     |    ~     ~    
1936 |BD+62 1761                                                            |Star                           |19 49 46.5367922712 +62 39 46.262249208|095.1428225584660 +17.5864713524031|   9.798 -8.620  |10.81    |~                      |    ~     ~    
1937 |BD+62 1762                                                            |Star                           |19 49 51.2987273160 +62 43 56.099858628|095.2126979089778 +17.6079840507908|  25.006 27.509  |9.21     |F5                     |    ~     ~    
1938 |BD+62 1763                                                            |Star                           |19 50 25.8698960736 +62 24 58.449936672|094.9434666984399 +17.4121702969598|   0.988 -6.654  |10.89    |A5                     |    ~     ~    
1939 |BD+62 1764                                                            |Star                           |19 51 53.6698253712 +62 30 09.561136680|095.1019390387565 +17.2972711472009|    2.326 2.115  |9.06     |K2                     |    ~     ~    
1940 |HD 188792                                                             |Double or Multiple Star        |19 53 10.4990 +62 32 38.270            |095.2085669 +17.1825942            |      25.2 17.9  |8.30     |A3                     |    ~     ~    
1941 |BD+62 1767                                                            |Star                           |19 53 34.8987890064 +63 11 22.034611716|095.8372580243674 +17.4245080102895| -8.880 -13.229  |8.95     |K2                     |    ~     ~    
1942 |HD 189207                                                             |Star                           |19 55 11.1793113600 +62 35 52.844780760|095.3666534991469 +16.9989077624460|    7.619 2.926  |8.06     |F2                     |    ~     ~    
1943 |HD 189206                                                             |Star                           |19 55 03.5318330640 +63 19 50.336092596|096.0467920984680 +17.3375593724015|    6.942 4.854  |8.46     |G5                     |    ~     ~    
1944 |EM* StHA 168                                                          |Emission-line Star             |19 47 30.7035195696 +63 20 26.351268972|095.6737189279620 +18.1061275098047|    6.437 0.618  |10.49    |~                      |    ~     ~    
1945 |IRAS 19477+6211                                                       |Long-Period Variable           |19 48 24.1505961816 +62 19 10.739383392|094.7462499940110 +17.5832780610998|  -2.535 -2.902  |10.94    |~                      |    ~     ~    
1946 |IRAS 19525+6204                                                       |Star                           |19 53 15.3598601760 +62 12 09.677080080|094.8924169561012 +17.0236869125491|   2.578 -1.745  |9.63     |~                      |    ~     ~    
1947 |TYC 4239-516-1                                                        |Star                           |19 50 52.0204584072 +64 00 46.804836528|096.4800248179504 +18.0525721692095| -4.395 -13.217  |10.67    |~                      |    ~     ~    
1948 |BD+61 1915                                                            |High Proper Motion Star        |19 48 29.4123860808 +62 05 46.161755772|094.5387966138707 +17.4787695612228|-69.401 -95.565  |9.44     |G                      |    ~     ~    
1949 |BD+61 1924                                                            |Eclipsing Binary               |19 50 07.8825537360 +61 56 35.303549604|094.4807464558957 +17.2391895685519|    2.935 7.369  |10.11    |A5                     |    ~     ~    
1950 |HD 188588                                                             |Star                           |19 52 16.2498466992 +61 58 32.636978760|094.6262158785896 +17.0271567040629|   11.000 3.848  |8.71     |A2                     |    ~     ~    
1951 |TYC 4235-158-1                                                        |Star                           |19 50 22.9602618480 +62 51 07.379575992|095.3533801568738 +17.6048984181677| -3.292 -10.862  |10.34    |~                      |    ~     ~    
1952 |TYC 4235-174-1                                                        |Star                           |19 51 29.3667695328 +62 59 00.882571056|095.5348378402040 +17.5479440405309|    8.032 9.441  |10.94    |~                      |    ~     ~    
1953 |TYC 4235-264-1                                                        |Star                           |19 54 46.0485664896 +63 26 51.879109056|096.1417398284232 +17.4185850880871|  -6.464 -6.627  |10.96    |~                      |    ~     ~    
1954 |TYC 4235-447-1                                                        |Star                           |19 52 20.4762480768 +62 19 20.458676244|094.9558342870416 +17.1719190072260|  -6.562 -5.725  |10.96    |~                      |    ~     ~    
1955 |TYC 4235-509-1                                                        |Star                           |19 49 58.1231051112 +62 20 13.006231692|094.8442637959160 +17.4263487974195|   -5.103 2.253  |10.34    |~                      |    ~     ~    
1956 |TYC 4235-537-1                                                        |Star                           |19 49 46.9027603752 +62 09 04.601386044|094.6588410593572 +17.3660301365323|  -2.894 -5.361  |10.10    |~                      |    ~     ~    
1957 |TYC 4235-578-1                                                        |Spectroscopic Binary           |19 48 15.1008121920 +62 52 14.286426672|095.2623262089972 +17.8326620579756|    4.047 5.163  |10.80    |~                      |    ~     ~    
1958 |TYC 4235-640-1                                                        |Star                           |19 49 52.0355034744 +63 02 34.261607760|095.5079826332372 +17.7395830758344|   2.203 -3.476  |10.78    |~                      |    ~     ~    
1959 |TYC 4235-651-1                                                        |Star                           |19 52 18.8939175216 +62 14 06.326014272|094.8723523844763 +17.1364142210353|    1.385 8.628  |10.11    |~                      |    ~     ~    
1960 |TYC 4235-780-1                                                        |Star                           |19 47 22.4980898496 +63 33 05.131824012|095.8685955625654 +18.2079586923173|   1.532 12.270  |10.25    |~                      |    ~     ~    
1961 |TYC 4235-857-1                                                        |Star                           |19 52 10.2141236304 +62 04 35.074354728|094.7154022825994 +17.0819744997444|  -1.604 -8.232  |9.71     |~                      |    ~     ~    
1962 |TYC 4235-901-1                                                        |Star                           |19 49 24.3639662760 +62 02 26.141924256|094.5343464378097 +17.3580558659236|-11.800 -13.169  |10.83    |~                      |    ~     ~    
1963 |TYC 4235-934-1                                                        |Star                           |19 50 12.4338345480 +63 10 21.131378328|095.6483407211420 +17.7602462053511|    4.301 9.852  |9.96     |~                      |    ~     ~    
1964 |TYC 4235-982-1                                                        |Star                           |19 51 53.1870348552 +63 20 26.638298844|095.8930170010487 +17.6620081430250|  -5.948 -5.199  |10.09    |~                      |    ~     ~    
1965 |TYC 4235-1161-1                                                       |Star                           |19 48 27.7288571088 +62 02 40.913377188|094.4885440435903 +17.4597705796036| -21.090 -9.994  |10.64    |~                      |    ~     ~    
1966 |TYC 4235-1194-1                                                       |Star                           |19 47 06.1921519752 +62 54 59.453935740|095.2482454074819 +17.9706490982094|    5.158 0.507  |10.76    |~                      |    ~     ~    
1967 |TYC 4235-1288-1                                                       |Star                           |19 49 52.1482805688 +63 15 32.142360348|095.7133180371121 +17.8315669461193| -5.518 -15.737  |10.50    |~                      |    ~     ~    
1968 |TYC 4235-1312-1                                                       |Star                           |19 47 35.1468821592 +62 39 18.206960004|095.0232595972336 +17.8107663464019|  -6.697 -5.404  |10.53    |~                      |    ~     ~    
1969 |TYC 4235-1378-1                                                       |Star                           |19 49 19.1111958816 +63 35 11.173251588|095.9975257211028 +18.0263367887377|    0.851 0.351  |9.78     |~                      |    ~     ~    
1970 |TYC 4235-1382-1                                                       |Star                           |19 49 04.5153677904 +63 09 23.505941988|095.5759941415834 +17.8690239219664|    5.132 9.183  |10.46    |~                      |    ~     ~    
1971 |TYC 4235-1434-1                                                       |Star                           |19 50 12.9241264368 +63 17 09.204553212|095.7563779472978 +17.8078562360710|  -6.913 -9.604  |10.60    |~                      |    ~     ~    
1972 |TYC 4235-1460-1                                                       |Star                           |19 55 35.9192823744 +62 41 10.907656548|095.4714378398680 +16.9960014523163|  -3.474 -4.435  |10.15    |~                      |    ~     ~    
1973 |TYC 4235-1590-1                                                       |Star                           |19 51 26.3204686032 +62 59 50.053581672|095.5451391229444 +17.5590490626308| -7.231 -27.283  |10.65    |~                      |    ~     ~    
1974 |TYC 4235-1673-1                                                       |Star                           |19 49 17.0347864392 +63 29 18.202428348|095.9023884471615 +17.9883624355104|-10.468 -10.191  |10.91    |~                      |    ~     ~    
1975 |TYC 4235-1720-1                                                       |Star                           |19 53 23.0098026648 +63 02 10.931507628|095.6827867267567 +17.3775046815829|    3.183 3.085  |9.30     |~                      |    ~     ~    
1976 |TYC 4235-1739-1                                                       |Star                           |19 52 09.3046093104 +63 06 59.913314244|095.6948852084960 +17.5376525799397|    4.425 6.781  |10.23    |~                      |    ~     ~    
1977 |TYC 4235-1793-1                                                       |Star                           |19 54 00.3808375776 +62 59 44.190753648|095.6769774155942 +17.2961251789500|   1.819 -1.762  |10.72    |~                      |    ~     ~    
1978 |TYC 4235-1853-1                                                       |High Proper Motion Star        |19 55 49.9364556360 +63 03 44.022017304|095.8356320490855 +17.1401285982039|  35.750 38.178  |10.65    |~                      |    ~     ~    
1979 |TYC 4235-2119-1                                                       |Star                           |19 49 27.5231466048 +62 30 37.096122204|094.9818451322890 +17.5540906636898| -7.578 -10.787  |9.69     |~                      |    ~     ~    
1980 |TYC 4235-2242-1                                                       |High Proper Motion Star        |19 55 42.7100056920 +63 29 24.140921640|096.2303994049617 +17.3427499271719| -25.376 82.887  |10.69    |~                      |    ~     ~    
1981 |TYC 4235-2293-1                                                       |High Proper Motion Star        |19 46 44.6027067528 +62 24 03.391712244|094.7382042797775 +17.7920259540686|  25.521 47.257  |10.96    |~                      |    ~     ~    
1982 |TYC 4235-2351-1                                                       |Star                           |19 45 52.6340223336 +62 49 24.882110256|095.0981545567594 +18.0589571469369|   0.036 -2.805  |10.79    |~                      |    ~     ~    
1983 |TYC 4235-2359-1                                                       |Star                           |19 52 28.3672132152 +62 23 04.467695280|095.0213727085566 +17.1854866570565|  -7.382 -3.062  |10.10    |~                      |    ~     ~    
1984 |TYC 4235-2393-1                                                       |Star                           |19 53 06.7497834240 +63 41 59.374242096|096.2948336553687 +17.6945292414881|   10.503 4.037  |10.92    |~                      |    ~     ~    
1985 |TYC 4235-2417-1                                                       |Star                           |19 58 22.5134923560 +63 35 22.815072060|096.4628906606099 +17.1222067900760|   6.896 18.188  |10.69    |~                      |    ~     ~    
1986 |TYC 4235-2469-1                                                       |Pulsating Variable             |19 52 51.6708865512 +63 44 31.567608240|096.3221320029344 +17.7379440457577| -2.109 -16.569  |10.34    |~                      |    ~     ~    
1987 |TYC 4235-2481-1                                                       |Star                           |19 59 00.5812102440 +63 44 53.725233120|096.6441810427999 +17.1313383975268|   1.321 -6.152  |10.45    |~                      |    ~     ~    
1988 |TYC 4235-2491-1                                                       |High Proper Motion Star        |19 45 33.4802807352 +63 44 46.231867500|095.9677146875678 +18.4720185207679| 36.189 121.836  |10.93    |~                      |    ~     ~    
1989 |TYC 4239-174-1                                                        |Star                           |19 46 49.6363036488 +64 04 05.572556184|096.3377262772521 +18.4770969697055|    0.782 2.570  |10.63    |~                      |    ~     ~    
1990 |TYC 4239-290-1                                                        |Star                           |19 55 37.0924072368 +64 02 36.908466612|096.7459224541309 +17.5971295245317|    0.899 1.572  |10.81    |~                      |    ~     ~    
1991 |TYC 4239-300-1                                                        |Spectroscopic Binary           |19 59 18.7190938032 +63 58 47.500844052|096.8760058020979 +17.2067649777487|  12.808 14.374  |10.51    |~                      |    ~     ~    
1992 |TYC 4239-304-1                                                        |Star                           |19 57 40.7357259192 +64 09 23.242630428|096.9568469003257 +17.4457299394481|  -8.612 -1.008  |10.18    |~                      |    ~     ~    
1993 |TYC 4239-329-1                                                        |Star                           |19 45 55.3965700800 +64 53 33.861746616|097.0901406940193 +18.9029242740625|  -0.120 11.655  |10.69    |~                      |    ~     ~    
1994 |TYC 4239-334-1                                                        |Star                           |19 54 12.2603511936 +64 12 58.803821100|096.8378544819129 +17.8115086349601|   11.864 6.139  |10.51    |~                      |    ~     ~    
1995 |TYC 4239-424-1                                                        |Star                           |19 58 38.1166013304 +63 52 16.974722244|096.7394968231793 +17.2239327203223| -16.841 -1.491  |10.28    |~                      |    ~     ~    
1996 |TYC 4239-436-1                                                        |Star                           |19 47 02.3166658320 +64 04 34.355203032|096.3554526489652 +18.4593513967360|    1.486 0.742  |10.43    |~                      |    ~     ~    
1997 |TYC 4239-506-1                                                        |Star                           |19 47 13.6554033048 +64 00 20.424626820|096.2967611789631 +18.4113634999648|  -0.439 19.195  |9.83     |~                      |    ~     ~    
1998 |TYC 4239-610-1                                                        |Star                           |19 46 11.4751404888 +63 48 48.195534132|096.0625915152686 +18.4358217266107|    1.289 0.199  |9.92     |~                      |    ~     ~    
1999 |GSC 04239-00692                                                       |Double or Multiple Star        |19 47 03.7396456200 +64 10 55.055534772|096.4581416219071 +18.5006337490099| -6.595 -10.685  |10.607   |~                      |    ~     ~    
2000 |TYC 4239-724-1                                                        |Star                           |19 57 41.6346158208 +63 53 06.345994776|096.7034400299764 +17.3226187309940|   -6.683 1.488  |10.79    |~                      |    ~     ~    
2001 |TYC 4239-733-1                                                        |Star                           |19 50 11.5686674520 +64 42 58.625881560|097.1184570008353 +18.4162180814731|   7.375 25.901  |10.97    |~                      |    ~     ~    
2002 |TYC 4239-836-1                                                        |Star                           |19 51 16.1301680256 +64 29 29.954590116|096.9553768193201 +18.2167177608610|    6.733 0.943  |10.99    |~                      |    ~     ~    
2003 |TYC 4239-912-1                                                        |Star                           |19 47 57.8796584472 +64 29 07.432109484|096.7921299065830 +18.5370444318611|   3.136 14.266  |10.41    |~                      |    ~     ~    
2004 |TYC 4239-926-1                                                        |Star                           |19 50 50.6883198912 +64 40 29.468485272|097.1098115953676 +18.3355752590764|   -3.877 4.583  |10.47    |~                      |    ~     ~    
2005 |TYC 4239-997-1                                                        |Star                           |19 52 02.3822805048 +64 27 05.961659112|096.9545666339206 +18.1245384437398|-14.268 -32.776  |9.84     |~                      |    ~     ~    
2006 |TYC 4239-1013-1                                                       |Star                           |19 48 43.2355449504 +64 50 11.612657472|097.1646364932387 +18.6089591466004|  -2.714 11.603  |10.71    |~                      |    ~     ~    
2007 |TYC 4239-1015-1                                                       |Star                           |19 48 53.2762958016 +64 24 35.584486596|096.7633570234482 +18.4151026422459|  -0.873 24.629  |10.32    |~                      |    ~     ~    
2008 |TYC 4239-1031-1                                                       |Star                           |19 56 53.4756787608 +64 25 21.654510060|097.1668414872412 +17.6408775353307| -12.568 -7.160  |10.83    |~                      |    ~     ~    
2009 |TYC 4239-1059-1                                                       |Star                           |19 48 31.3232318256 +64 39 32.213189736|096.9848791627127 +18.5545310173899|   5.539 -5.728  |10.25    |~                      |    ~     ~    
2010 |TYC 4239-1119-1                                                       |Star                           |19 48 11.4711808680 +64 32 52.053813312|096.8626736894062 +18.5407124811299|   3.553 -0.285  |10.50    |~                      |    ~     ~    
2011 |TYC 4239-1136-1                                                       |Star                           |19 48 51.8094898800 +64 21 15.661809288|096.7090122646698 +18.3943164821612|   -5.654 0.009  |10.58    |~                      |    ~     ~    
2012 |TYC 4239-1147-1                                                       |Pulsating Variable             |19 45 27.5926096272 +64 21 00.194539068|096.5448367447881 +18.7281449053133|  -4.809 -6.248  |10.14    |~                      |    ~     ~    
2013 |TYC 4239-1168-1                                                       |Star                           |19 52 04.2816321288 +64 19 14.068698888|096.8314810477542 +18.0653314871688|   5.312 16.155  |9.85     |~                      |    ~     ~    
2014 |TYC 4239-1289-1                                                       |Star                           |19 48 04.0282757064 +64 41 02.980110408|096.9878295326443 +18.6092584182508|   4.949 -1.470  |10.96    |~                      |    ~     ~    
2015 |TYC 4239-1311-1                                                       |Star                           |19 47 30.8277907392 +64 16 21.247307076|096.5665289119561 +18.4933586945177|  0.461 -17.095  |10.68    |~                      |    ~     ~    
2016 |HD 189841                                                             |High Proper Motion Star        |19 57 28.4083790808 +67 38 02.459515596|100.2360545825485 +18.9926120989427|  77.606 88.161  |8.72     |G0                     |    ~     ~    
2017 |HD 190145                                                             |Star                           |19 58 59.5795987488 +67 28 19.570775592|100.1483752475540 +18.7916814864102|  27.997 -8.814  |7.55     |A2p                    |    ~     ~    
2018 |BD+67 1218                                                            |Star                           |19 59 21.7849948536 +67 30 07.082520264|100.1931081218599 +18.7728851299255|  -0.762 29.220  |9.03     |F0                     |    ~     ~    
2019 |HD 188852                                                             |Star                           |19 52 34.4695854480 +66 42 18.773854812|099.1332529519217 +19.0283064171705|  3.866 -22.404  |7.70     |F0                     |    ~     ~    
2020 |HD 188851                                                             |Star                           |19 52 36.3401154336 +67 04 10.400901132|099.4849094990974 +19.1777593277518|  -1.863 -3.816  |8.44     |F5                     |    ~     ~    
2021 |HD 189230                                                             |Star                           |19 54 29.2485687936 +66 38 42.093208572|099.1600655767412 +18.8312380439247|  2.761 -28.382  |8.81     |F5                     |    ~     ~    
2022 |HD 189344                                                             |Star                           |19 55 01.1450439480 +66 44 53.954013300|099.2824670004160 +18.8276937183408|-17.670 -26.892  |7.17     |K0                     |    ~     ~    
2023 |BD+66 1258                                                            |Star                           |19 56 29.2682581296 +66 41 29.357889792|099.2940764099687 +18.6722313076089|   2.121 13.425  |10.31    |F8                     |    ~     ~    
2024 |V* IL Dra                                                             |Spectroscopic Binary           |19 58 21.5762558832 +66 47 25.780567164|099.4729587109442 +18.5489079301079| -16.796 -1.940  |8.43     |K0                     |    ~     ~    
2025 |TYC 4243-133-1                                                        |Star                           |19 59 40.4840558256 +67 02 26.874562776|099.7698670346944 +18.5431372631717|  16.824 -7.588  |10.01    |G5                     |    ~     ~    
2026 |BD+66 1264                                                            |Star                           |19 59 16.5960952728 +67 02 39.600703608|099.7551752479094 +18.5795476405761|    1.944 2.743  |9.43     |M0                     |    ~     ~    
2027 |HD 189525                                                             |Double or Multiple Star        |19 56 09.0316 +66 18 01.666            |098.9067199 +18.5334649            |  -15.50 -37.50  |9.28     |F5                     |    ~     ~    
2028 |HD 187726                                                             |Star                           |19 47 12.1593735744 +65 23 45.595038984|097.6340967646690 +18.9844002608076|  10.075 11.219  |9.03     |F8                     |    ~     ~    
2029 |BD+65 1403                                                            |Star                           |19 47 48.6925728864 +65 48 18.480796272|098.0565197801131 +19.0934540783466| -4.891 -15.375  |9.39     |K2                     |    ~     ~    
2030 |HD 187917                                                             |High Proper Motion Star        |19 48 09.1504033248 +65 26 59.417860524|097.7287056555175 +18.9162365436032| -36.647 64.191  |8.97     |K0                     |    ~     ~    
2031 |BD+65 1406a                                                           |Star                           |19 49 16.4689401072 +65 56 06.522830772|098.2467405100244 +19.0102133668624|-18.115 -42.925  |9.63     |F8                     |    ~     ~    
2032 |HD 188522                                                             |Star                           |19 51 13.6641503568 +65 32 48.842518884|097.9617086943027 +18.6663948846387|-22.601 -28.677  |7.77     |G5                     |    ~     ~    
2033 |BD+65 1411                                                            |Star                           |19 52 46.6193619888 +65 32 29.384360628|098.0280029339441 +18.5187761688471| -11.215 -3.790  |9.89     |K                      |    ~     ~    
2034 |BD+65 1412                                                            |Star                           |19 52 54.5618541312 +66 03 20.453182848|098.5254707014639 +18.7245204112703| -10.163 -1.250  |9.52     |G5                     |    ~     ~    
2035 |BD+65 1414                                                            |Star                           |19 54 45.3368655024 +65 38 59.953274160|098.2235982084414 +18.3805207449732|   -2.200 3.707  |10.29    |F8                     |    ~     ~    
2036 |HD 189392                                                             |Star                           |19 55 30.4086447312 +65 49 53.905791108|098.4313642050875 +18.3894076370303|    3.669 4.050  |9.15     |A3                     |    ~     ~    
2037 |TYC 4243-80-1                                                         |Star                           |19 58 27.7702338480 +65 39 03.325829400|098.4004261498566 +18.0372973955415|   3.017 -2.547  |10.59    |~                      |    ~     ~    
2038 |BD+65 1421                                                            |Star                           |19 58 41.2505382024 +66 00 18.257978484|098.7451669196979 +18.1736103672374|  -1.571 -0.484  |9.87     |F2                     |    ~     ~    
2039 |BD+64 1396                                                            |Star                           |19 53 25.8049801224 +65 03 25.917803604|097.5973156385537 +18.2501543280859|  -2.782 -2.220  |10.10    |G5                     |    ~     ~    
2040 |HD 189473                                                             |Star                           |19 55 58.9397378760 +65 07 19.193999628|097.7813958636129 +18.0360844194018| -3.801 -13.280  |9.70     |F2                     |    ~     ~    
2041 |BD+64 1401                                                            |Star                           |19 58 55.6589302680 +64 40 06.502077012|097.5000805760421 +17.5549102691220|  10.952 19.879  |9.83     |A5                     |    ~     ~    
2042 |HD 190186                                                             |Star                           |19 59 39.2095471320 +65 12 50.518428084|098.0477272725043 +17.7314801127608|  6.565 -36.205  |9.33     |G                      |    ~     ~    
2043 |IRAS 19528+6601                                                       |Star                           |19 53 09.6942294768 +66 08 59.420051052|098.6269666081015 +18.7412268581183|   -5.547 4.804  |10.35    |~                      |    ~     ~    
2044 |IRAS 19551+6556                                                       |Long-Period Variable Candidate |19 55 31.9873729800 +66 04 55.670886192|098.6706897920927 +18.4952753563111|  10.044 10.747  |10.55    |~                      |    ~     ~    
2045 |HD 189231                                                             |Star                           |19 54 49.4104765344 +64 43 16.408546716|097.3459126882943 +17.9715210116875|  -6.601 -9.967  |6.90     |G5                     |    ~     ~    
2046 |TYC 4239-55-1                                                         |Star                           |19 51 29.1354904296 +64 57 03.861205452|097.4039094474664 +18.3906775509082|-27.053 -12.573  |10.53    |~                      |    ~     ~    
2047 |TYC 4239-75-1                                                         |Star                           |19 52 24.8456390640 +65 27 53.201905416|097.9379062563715 +18.5202588476337|   2.761 -1.534  |10.78    |~                      |    ~     ~    
2048 |TYC 4239-105-1                                                        |Star                           |19 58 54.7360584792 +64 55 58.186435944|097.7471558919727 +17.6750414872918|   6.438 -1.756  |10.35    |~                      |    ~     ~    
2049 |TYC 4239-381-1                                                        |Star                           |19 50 41.8998734976 +65 18 10.955433204|097.7037226493734 +18.6140614935718|    0.079 3.623  |10.38    |~                      |    ~     ~    
2050 |TYC 4239-387-1                                                        |Star                           |19 59 48.2749979568 +64 58 17.552262576|097.8280054277204 +17.6080906790910|  6.703 -13.275  |10.02    |~                      |    ~     ~    
2051 |TYC 4239-487-1                                                        |Star                           |19 54 04.2726474480 +65 29 54.024315972|098.0472689305351 +18.3791189300208|  -4.162 -2.873  |10.41    |~                      |    ~     ~    
2052 |TYC 4239-583-1                                                        |Star                           |19 54 26.6918209200 +64 54 46.367988624|097.5090202128147 +18.0911000603810|  -2.287 -2.276  |10.08    |~                      |    ~     ~    
2053 |TYC 4239-653-1                                                        |Star                           |19 54 04.4974208208 +64 58 14.346542136|097.5459801951427 +18.1514140959538|  -6.434 -3.107  |10.85    |~                      |    ~     ~    
2054 |TYC 4239-761-1                                                        |Star                           |19 57 17.2211252256 +64 38 31.845663420|097.3930769492602 +17.7002284844904|   6.297 13.687  |10.24    |~                      |    ~     ~    
2055 |TYC 4239-823-1                                                        |Star                           |19 51 31.5652607280 +64 57 54.988576272|097.4193799003593 +18.3928111796259|   11.933 5.804  |10.41    |~                      |    ~     ~    
2056 |TYC 4239-839-1                                                        |Star                           |19 56 20.6343639288 +64 55 47.666049492|097.6175288188739 +17.9175055799132|  -0.569 -4.774  |10.68    |~                      |    ~     ~    
2057 |TYC 4239-884-1                                                        |Star                           |19 58 22.1409380736 +64 35 59.530298028|097.4076129241269 +17.5775925422463|  -3.924 -4.626  |10.92    |~                      |    ~     ~    
2058 |TYC 4239-1020-1                                                       |Star                           |19 46 45.1215934752 +65 11 47.706039528|097.4212141887065 +18.9463182433299|-11.825 -27.696  |10.76    |~                      |    ~     ~    
2059 |TYC 4239-1039-1                                                       |Star                           |19 58 23.2641332976 +64 32 52.681359696|097.3598886404854 +17.5525379181797|  -3.840 -7.691  |10.55    |~                      |    ~     ~    
2060 |TYC 4239-1228-1                                                       |Star                           |19 56 27.2566311240 +65 14 12.872193504|097.9128509132324 +18.0419252789909|   -3.788 2.422  |10.81    |~                      |    ~     ~    
2061 |TYC 4243-23-1                                                         |Star                           |19 52 58.7827493856 +66 55 30.374802120|099.3621762708050 +19.0841856295676|  -2.652 -8.819  |10.64    |~                      |    ~     ~    
2062 |TYC 4243-113-1                                                        |Star                           |19 57 03.8818101192 +66 47 54.283574436|099.4218344867717 +18.6671713242474| -0.063 -14.055  |10.76    |~                      |    ~     ~    
2063 |TYC 4243-266-1                                                        |Star                           |19 51 56.2696639200 +66 47 56.319569700|099.1956656208039 +19.1245306547274|-18.531 -32.822  |10.31    |~                      |    ~     ~    
2064 |TYC 4243-283-1                                                        |Star                           |19 57 23.8880273664 +67 19 15.020369364|099.9340881049584 +18.8639910155244|  -3.651 -2.268  |10.59    |~                      |    ~     ~    
2065 |TYC 4243-409-1                                                        |Star                           |19 57 18.9658033272 +66 31 57.682926408|099.1807407966056 +18.5292786961747|    4.714 0.462  |10.90    |~                      |    ~     ~    
2066 |TYC 4243-454-1                                                        |Star                           |19 57 14.4115339104 +67 10 54.657427692|099.7946806218856 +18.8176914498895|-22.277 -27.286  |10.45    |~                      |    ~     ~    
2067 |TYC 4243-459-1                                                        |Star                           |19 53 38.1799967760 +66 15 28.546872516|098.7517844547735 +18.7436787859310|   3.371 -4.331  |10.87    |~                      |    ~     ~    
2068 |TYC 4243-502-1                                                        |Star                           |19 58 55.3781376240 +67 06 15.469367724|099.7960663179185 +18.6368170695983| -5.428 -21.847  |10.38    |~                      |    ~     ~    
2069 |TYC 4243-568-1                                                        |Star                           |19 47 10.0663755144 +66 07 34.316972508|098.3392270384839 +19.2834286153621|   8.010 -4.661  |10.38    |~                      |    ~     ~    
2070 |TYC 4243-574-1                                                        |Star                           |19 55 59.5750076904 +66 39 52.346203164|099.2461099652486 +18.7048009422047| -2.774 -18.713  |10.53    |~                      |    ~     ~    
2071 |TYC 4243-646-1                                                        |Star                           |19 59 38.7480476232 +66 05 18.417533964|098.8692383801234 +18.1234909567505|  -1.172 -3.505  |10.98    |~                      |    ~     ~    
2072 |TYC 4243-668-1                                                        |Star                           |19 53 37.9967202432 +66 17 53.871635688|098.7902483034624 +18.7610886204721|  26.663 16.498  |10.66    |~                      |    ~     ~    
2073 |TYC 4243-681-1                                                        |Star                           |19 57 22.9608672096 +66 16 24.083494572|098.9377906599751 +18.4101261198538|   3.173 12.707  |10.95    |~                      |    ~     ~    
2074 |TYC 4243-734-1                                                        |Star                           |19 51 42.7622176008 +66 02 41.533802088|098.4611108290575 +18.8301229606205|  -0.045 -8.371  |10.49    |~                      |    ~     ~    
2075 |TYC 4243-803-1                                                        |Star                           |19 55 06.0428298888 +66 16 12.346020048|098.8298107489526 +18.6156170279218|  5.703 -26.209  |10.97    |~                      |    ~     ~    
2076 |TYC 4243-838-1                                                        |Star                           |19 48 01.4024725872 +65 54 10.156012056|098.1602800587559 +19.1134317686198|  2.271 -45.902  |10.42    |~                      |    ~     ~    
2077 |TYC 4243-903-1                                                        |Star                           |19 58 20.5770333816 +66 47 10.779090036|099.4682492062288 +18.5485584112706|  11.950 17.132  |10.49    |~                      |    ~     ~    
2078 |TYC 4243-929-1                                                        |Star                           |19 49 51.7208568024 +65 52 10.215543360|098.2096633211564 +18.9285076266311|   -3.365 4.237  |9.75     |~                      |    ~     ~    
2079 |TYC 4243-935-1                                                        |Star                           |19 45 38.9019693144 +65 51 10.273364964|098.0082348463900 +19.3153343834743|  -3.684 -8.804  |10.71    |~                      |    ~     ~    
