C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:46:59

Vmag< 11&dec >=0&rah >=19.75&rah< 20.0
--------------------------------------

Number of objects : 10261

  #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |      spec. type       |   ang. size   
-----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------------|---------------
34   |HD 188667                                                             |Horizontal Branch Star         |19 54 35.3281295448 +41 27 51.792519816|076.3473602371313 +06.9196819009180|-11.466 -23.883  |7.39     |K0                     |    ~     ~    
35   |HD 226555                                                             |Star                           |19 55 10.9250845344 +41 19 01.375855212|076.2761776771823 +06.7491096400286|   0.114 -0.328  |10.44    |~                      |    ~     ~    
36   |HD 226569                                                             |Eruptive Variable              |19 55 23.1838276488 +41 14 11.585615856|076.2259644560097 +06.6751742903377|  -2.272 -3.659  |10.30    |A9V                    |    ~     ~    
37   |HD 226669                                                             |Rotating Variable              |19 56 10.3516581120 +41 14 02.176043928|076.2994044311263 +06.5466127500957| -4.039 -13.176  |10.90    |~                      |    ~     ~    
38   |HD 226882                                                             |Star                           |19 58 21.1367270544 +41 09 25.801695576|076.4444343330907 +06.1551340547547|  -0.953 -5.762  |10.95    |~                      |    ~     ~    
39   |HD 188774                                                             |delta Sct Variable             |19 55 10.0375808184 +41 17 10.271172480|076.2479774901614 +06.7358462479573|   10.026 2.876  |8.81     |A9IV                   |    ~     ~    
40   |HD 226637                                                             |Star                           |19 55 56.4572609472 +41 17 57.956376372|076.3338228884379 +06.6174227577733|   -0.600 1.417  |9.43     |K5                     |    ~     ~    
41   |HD 226979                                                             |Star                           |19 59 22.0591343112 +41 04 48.039560760|076.4772257151581 +05.9515174058762|  3.059 -12.847  |10.48    |~                      |    ~     ~    
42   |HD 227025                                                             |Star                           |19 59 45.3673121736 +41 01 17.705227260|076.4651013514569 +05.8586082329834|   10.346 4.973  |10.00    |A5                     |    ~     ~    
43   |KOI-2801                                                              |Rotating Variable              |19 56 38.5144499880 +41 08 37.428588312|076.2666862734655 +06.4246342892578|   1.581 15.362  |10.79    |~                      |    ~     ~    
44   |TYC 3145-220-1                                                        |Star                           |19 57 14.2642077744 +41 58 59.730402612|077.0504534049054 +06.7578510877939| -7.161 -13.789  |10.42    |~                      |    ~     ~    
45   |TYC 3145-478-1                                                        |Star                           |19 57 26.0086150320 +42 06 15.608832840|077.1739533180471 +06.7885153666843|  -1.475 -3.162  |10.82    |~                      |    ~     ~    
46   |TYC 3145-524-1                                                        |Red Giant Branch star          |19 55 07.0461355680 +41 41 10.192539624|076.5904495456017 +06.9466707412591|   -1.152 8.272  |10.50    |~                      |    ~     ~    
47   |TYC 3145-748-1                                                        |Star                           |19 58 39.4642138944 +42 13 08.260825692|077.3901709474840 +06.6525007399962|    0.104 0.706  |10.20    |~                      |    ~     ~    
48   |TYC 3145-891-1                                                        |High Proper Motion Star        |19 58 44.6600219088 +42 34 25.057710408|077.7048114795783 +06.8210450775474|  47.484 33.517  |10.66    |~                      |    ~     ~    
49   |TYC 3145-972-1                                                        |Star                           |19 56 15.9086861088 +42 08 14.177051736|077.0912047618224 +06.9916705954035|  -3.760 -3.940  |10.99    |~                      |    ~     ~    
50   |TYC 3145-1039-1                                                       |High Proper Motion Star        |19 59 49.8111383040 +43 00 42.444631584|078.1864471946111 +06.8757607250033|  31.411 49.969  |10.68    |~                      |    ~     ~    
51   |GSC 03145-01147                                                       |Double or Multiple Star        |19 59 01.716360 +42 31 23.12904        |077.688265740 +06.750157089        |       2.1 -0.3  |10.84    |A2V                    |    ~     ~    
52   |TYC 3145-1159-1                                                       |Star                           |19 59 14.6806251096 +42 29 29.380294932|077.6816289304131 +06.6997520735579|   0.606 -5.504  |10.49    |G6V                    |    ~     ~    
53   |TYC 3145-1444-1                                                       |Star                           |19 57 34.5407534112 +42 15 04.641234084|077.3147033649880 +06.8410296476937|   2.234 -3.599  |10.96    |K1IV                   |    ~     ~    
54   |TYC 3145-1510-1                                                       |Star                           |19 56 29.5120104336 +42 05 24.202027320|077.0718129834355 +06.9314487145156|    1.987 6.133  |10.41    |~                      |    ~     ~    
55   |TYC 3145-1659-1                                                       |Star                           |19 58 13.0040767320 +42 25 49.495706832|077.5307581160384 +06.8310079024734|  -8.496 18.689  |10.09    |~                      |    ~     ~    
56   |TYC 3145-1679-1                                                       |Star                           |19 57 30.5755858032 +42 28 19.596130428|077.4995876255072 +06.9644088067410|  -6.210 13.635  |10.69    |~                      |    ~     ~    
57   |TYC 3145-1751-1                                                       |Star                           |19 58 50.0000534472 +42 27 42.572950200|077.6167146982891 +06.7495203487748| -0.062 -12.009  |10.92    |~                      |    ~     ~    
58   |TYC 3145-1759-1                                                       |Star                           |19 59 49.6662633504 +42 23 49.836112764|077.6561387141318 +06.5589461940643|  -3.174 -8.918  |10.77    |G0IV-V                 |    ~     ~    
59   |TYC 3145-1783-1                                                       |Star                           |19 59 19.6920333792 +42 21 04.685304276|077.5686567536373 +06.6143091182789| -6.390 -10.060  |9.98     |~                      |    ~     ~    
60   |TYC 3145-1840-1                                                       |Star                           |19 57 17.9209990344 +42 07 28.653423420|077.1786467633544 +06.8203721701817|    8.379 2.964  |10.9     |~                      |    ~     ~    
61   |TYC 3145-1912-1                                                       |Horizontal Branch Star         |19 56 04.8588963000 +41 22 24.010627296|076.4113297195301 +06.6324337029659|  -0.584 -2.774  |10.69    |G6V                    |    ~     ~    
62   |TYC 3145-1955-1                                                       |Star                           |19 57 41.9306304528 +42 22 36.820171092|077.4351426063872 +06.8857135277026|    5.514 3.042  |10.21    |~                      |    ~     ~    
63   |TYC 3145-2036-1                                                       |Star                           |19 56 55.6785345720 +41 40 28.636265100|076.7536334201904 +06.6497530155828| -1.227 -10.939  |10.74    |F6IV                   |    ~     ~    
64   |TYC 3145-2057-1                                                       |Star                           |19 59 13.4371724040 +42 32 53.507005224|077.7285902750781 +06.7322248020943|  -5.620 -6.506  |10.92    |~                      |    ~     ~    
65   |TYC 3145-2076-1                                                       |Star                           |19 55 02.9928615936 +41 36 50.261088096|076.5212978023828 +06.9209748325196|  3.767 -10.140  |10.20    |~                      |    ~     ~    
66   |TYC 3145-2124-1                                                       |Horizontal Branch Star         |19 55 42.6605988864 +41 31 21.827067276|076.5053116934284 +06.7681263322118|    4.955 0.827  |10.54    |~                      |    ~     ~    
67   |TYC 3145-2446-1                                                       |Horizontal Branch Star         |19 54 06.6479074272 +41 18 11.165186592|076.1615213085197 +06.9155587720831|  -1.646 -1.179  |10.26    |~                      |    ~     ~    
68   |TYC 3145-2579-1                                                       |Star                           |19 52 59.1124206384 +41 25 21.042540588|076.1583367700339 +07.1581579643137|   5.132 -9.868  |10.92    |F6V                    |    ~     ~    
69   |TYC 3145-2697-1                                                       |Star                           |19 54 56.4060896376 +41 19 43.913932392|076.2632363327194 +06.7942601423192|  12.786 12.462  |10.76    |~                      |    ~     ~    
70   |HD 188483                                                             |Star                           |19 53 34.7928463176 +44 08 08.709455076|078.5844725745562 +08.4214220139512| -2.662 -11.903  |8.59     |M5                     |    ~     ~    
71   |BD+43 3370                                                            |gamma Dor Variable             |19 48 33.1062545928 +43 27 04.248525276|077.5294599724172 +08.8731147002663|  -2.288 -6.621  |9.81     |A6IV                   |    ~     ~    
72   |BD+43 3376                                                            |Rotating Variable              |19 50 03.4214393252 +43 33 36.448596313|077.7607816097753 +08.6884431823989|  28.414 34.643  |8.51     |F8                     |    ~     ~    
73   |BD+43 3377                                                            |Star                           |19 50 03.3505734456 +43 44 03.924199968|077.9142928037859 +08.7742188636955| -8.230 -22.644  |9.20     |F0                     |    ~     ~    
74   |HD 187878                                                             |Horizontal Branch Star         |19 50 25.5249398640 +43 39 40.307605992|077.8829791623397 +08.6800573339165|  21.663 22.620  |7.13     |K0                     |    ~     ~    
75   |BD+43 3383                                                            |Star                           |19 51 05.0095395504 +43 56 59.809637004|078.1963669265744 +08.7189039391070|  -7.692 -8.609  |9.64     |A4V                    |    ~     ~    
76   |BD+43 3384                                                            |delta Sct Variable             |19 51 14.4297577152 +43 30 41.800321116|077.8249632789065 +08.4778942312893|   7.954 14.288  |9.93     |A3IV-nmetstr(A4)       |    ~     ~    
77   |BD+43 3385                                                            |Star                           |19 51 19.0740348216 +43 37 06.340089324|077.9258629967863 +08.5184894688720|    1.941 3.595  |9.60     |K2                     |    ~     ~    
78   |HD 188100                                                             |High Proper Motion Star        |19 51 39.3720207408 +44 07 42.317488596|078.4047957478698 +08.7174482674640|  91.220 69.259  |8.59     |G5                     |    ~     ~    
79   |BD+43 3390                                                            |Horizontal Branch Star         |19 52 05.5469930688 +43 23 29.167824984|077.7968520910354 +08.2840485138945| -8.223 -23.298  |9.68     |G0                     |    ~     ~    
80   |HD 188306                                                             |Star                           |19 52 43.3461676128 +43 59 38.887102968|078.3827881433216 +08.4845320887906|   -0.712 2.680  |8.58     |B9V                    |    ~     ~    
81   |HD 188363                                                             |Star                           |19 52 52.8291096072 +43 46 45.275829420|078.2086246788748 +08.3529767723903|    1.330 8.618  |8.93     |G5                     |    ~     ~    
82   |HD 188417                                                             |Star                           |19 53 12.4745564184 +43 34 39.893677464|078.0618819257029 +08.2012606435593|  -0.527 -3.638  |9.79     |A0                     |    ~     ~    
83   |HD 186883                                                             |Rotating Variable              |19 45 13.0884661992 +42 33 16.107274440|076.4364905373517 +08.9715026450688|   0.925 -3.710  |8.74     |A0                     |    ~     ~    
84   |BD+42 3444                                                            |Long-Period Variable           |19 45 25.6930542528 +42 32 19.586436900|076.4414444471752 +08.9300340816482|  -4.188 -4.238  |8.85     |M2                     |    ~     ~    
85   |BD+42 3446                                                            |delta Sct Variable             |19 45 41.3075381208 +42 29 34.416939336|076.4241978344621 +08.8658904897521|    3.432 0.706  |10.06    |A7III                  |    ~     ~    
86   |BD+42 3450a                                                           |Star                           |19 46 07.6038641736 +43 02 45.174700212|076.9537411982295 +09.0625061510964|    4.115 0.040  |9.99     |K1.5III                |    ~     ~    
87   |BD+42 3450                                                            |Star                           |19 46 06.2865991992 +42 26 46.939753932|076.4205540622351 +08.7761947916578|-15.664 -41.358  |9.51     |F5                     |    ~     ~    
88   |BD+42 3451                                                            |Spectroscopic Binary           |19 46 21.9035333304 +43 01 29.529726600|076.9564192581432 +09.0142240030726|   -1.620 3.181  |9.63     |F4II-III               |    ~     ~    
89   |HD 187121                                                             |Star                           |19 46 29.2843003416 +42 43 18.794097336|076.6990650249675 +08.8478773296031|   -9.083 0.353  |8.54     |F8                     |    ~     ~    
90   |BD+42 3456                                                            |delta Sct Variable             |19 46 50.7788854368 +42 51 51.075151992|076.8572725304666 +08.8593615972030|    1.247 1.179  |9.70     |A3IV-n                 |    ~     ~    
91   |HD 187277                                                             |Star                           |19 47 23.5249415664 +42 28 58.897865676|076.5695788123492 +08.5864468763787|   8.393 -7.193  |7.51     |A0                     |    ~     ~    
92   |BD+42 3466                                                            |Star                           |19 47 51.7435512384 +42 55 40.746381492|077.0052240724675 +08.7277476514818|    5.323 0.490  |8.47     |K2                     |    ~     ~    
93   |BD+42 3473                                                            |Star                           |19 48 22.0978839024 +43 08 30.242912280|077.2396389343907 +08.7512689061594|  9.286 -17.275  |9.24     |K0                     |    ~     ~    
94   |HD 187547                                                             |delta Sct Variable             |19 48 36.5086728312 +43 06 32.248807704|077.2323537801508 +08.6970194706688|  12.124 11.776  |8.40     |A4Vm                   |    ~     ~    
95   |BD+42 3481                                                            |delta Sct Variable             |19 49 09.4350161568 +42 37 38.984859948|076.8576986399680 +08.3735350269989|   10.338 2.735  |9.77     |A2V                    |    ~     ~    
96   |HD 187710                                                             |Rotating Variable              |19 49 37.1676345398 +42 54 34.278170921|077.1481435228954 +08.4381784791182|   -2.455 0.675  |8.879    |A0                     |    ~     ~    
97   |BD+42 3487                                                            |Star                           |19 50 01.8394616592 +42 38 50.558413848|076.9550518840721 +08.2434657636075|    3.514 0.793  |9.75     |F7V                    |    ~     ~    
98   |HD 187920                                                             |Star                           |19 50 42.7325410608 +42 22 41.791792584|076.7813879114891 +08.0013226295686|  -2.174 -4.700  |8.27     |K0                     |    ~     ~    
99   |BD+42 3497                                                            |Star                           |19 51 32.4129779832 +42 34 44.088265524|077.0337725952634 +07.9682364918326|    1.324 5.478  |8.71     |K5                     |    ~     ~    
100  |HD 188364                                                             |Star                           |19 52 57.7905905880 +43 01 23.072951532|077.5539418692263 +07.9630565024793|  -1.768 11.304  |8.48     |F0                     |    ~     ~    
101  |BD+42 3507                                                            |Star                           |19 53 01.6666400592 +42 47 52.971777204|077.3630960259102 +07.8404033566505|  -1.965 -2.971  |9.40     |F2                     |    ~     ~    
102  |HD 188399                                                             |Double or Multiple Star        |19 53 11.5881244632 +42 38 07.310636124|077.2362423412398 +07.7327371926812|   1.968 -4.146  |8.35     |B9                     |0.0083  0.0    
103  |BD+42 3509                                                            |Rotating Variable              |19 53 13.8386533512 +42 24 27.104721408|077.0407377739780 +07.6126710992123|  -0.230 -6.333  |10.45    |A2                     |    ~     ~    
