C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:53:35

dec< 0&rah >=17.75&rah< 18.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 8404

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |   spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|----------------|---------------------|-----|----------------|-------------------------|--------|-------------------
2041|HD 318664                                                                                                |Star                           |17 56 14.4929195928 -32 51 49.256911836|357.7848659817650 -03.9640174072855|  1.418 -18.666     |10.92    |F0              |    ~     ~          |    1|  470.522   pc  |  -4.1621     +4.1621    |paral   |2020yCat.1350....0G
2042|HD 318666                                                                                                |Star                           |17 57 37.9853859720 -32 57 59.999880276|357.8411411941601 -04.2685550453907| -5.126 -10.407     |10.90    |F               |    ~     ~          |    1|  437.044   pc  |  -3.8201     +3.8201    |paral   |2020yCat.1350....0G
2043|HD 318668                                                                                                |Star                           |17 57 48.7859641080 -32 58 58.230184332|357.8458540937931 -04.3093574290909|   3.231 -5.286     |10.76    |G0              |    ~     ~          |    1|  280.018   pc  |  -1.8740     +1.8740    |paral   |2020yCat.1350....0G
2044|HD 318672                                                                                                |Star                           |17 56 51.0636387480 -33 08 08.283284844|357.6124314279012 -04.2104048815096|  -2.200 -6.534     |10.97    |A               |    ~     ~          |    1|  976.753   pc  | -21.3707    +21.3707    |paral   |2020yCat.1350....0G
2045|HD 318683                                                                                                |Star                           |17 56 06.0234124320 -33 30 27.054501912|357.2107833918309 -04.2598504661482|  7.399 -16.305     |10.28    |K0              |    ~     ~          |    1|  574.878   pc  |  -7.8655     +7.8655    |paral   |2020yCat.1350....0G
2046|HD 318688                                                                                                |Star                           |17 57 35.5439799672 -33 38 37.850422380|357.2472471197529 -04.5972553676026| -0.325 -14.091     |10.9     |F               |    ~     ~          |    1|  198.649   pc  |  -0.8800     +0.8800    |paral   |2020yCat.1350....0G
2047|HD 318689                                                                                                |Star                           |17 57 47.5904953632 -33 39 51.008166792|357.2503229793125 -04.6436153077274|   -0.102 1.839     |10.60    |A2              |    ~     ~          |    1|  711.136   pc  | -15.6266    +15.6266    |paral   |2020yCat.1350....0G
2048|HD 318692                                                                                                |Star                           |17 57 56.0205207216 -31 00 04.945320216|359.5818482446100 -03.3467057249851|    1.940 5.009     |10.49    |A5              |    ~     ~          |    1|  348.541   pc  |  -3.0735     +3.0735    |paral   |2020yCat.1350....0G
2049|HD 318693                                                                                                |Star                           |17 58 24.5273444472 -30 59 45.101872896|359.6373603634764 -03.4322962863189|-16.353 -34.681     |10.32    |F8              |    ~     ~          |    1|  282.558   pc  |  -1.7884     +1.7884    |paral   |2020yCat.1350....0G
2050|HD 318694                                                                                                |Star                           |17 58 36.2388809568 -30 56 20.216428260|359.7076657038252 -03.4403430303044|   -3.464 6.008     |10.82    |F8              |    ~     ~          |    1|  318.492   pc  |  -2.3026     +2.3026    |paral   |2020yCat.1350....0G
2051|HD 318707                                                                                                |Star                           |17 57 55.0480699656 -31 05 44.201987268|359.4982399822674 -03.3905992198525|    9.040 0.850     |10.03    |K5              |    ~     ~          |    1|  705.069   pc  |  -9.8430     +9.8430    |paral   |2020yCat.1350....0G
2052|HD 318716                                                                                                |Star                           |17 59 56.2985217240 -31 41 25.121223492|359.1947757785505 -04.0598854494889|    6.518 0.486     |10.14    |K2              |    ~     ~          |    1|  652.146   pc  |  -9.7392     +9.7392    |paral   |2020yCat.1350....0G
2053|HD 318719                                                                                                |Star                           |17 59 11.6675465088 -31 35 41.784599292|359.1994672161839 -03.8751209521109|    3.689 1.038     |9.72     |K0              |    ~     ~          |    1|  497.909   pc  |  -4.8095     +4.8095    |paral   |2020yCat.1350....0G
2054|HD 318722                                                                                                |Star                           |17 58 11.1981985176 -31 32 04.216967376|359.1453794345488 -03.6587267018685|  13.120 -1.999     |9.77     |K0              |    ~     ~          |    1|  629.763   pc  |  -9.1615     +9.1615    |paral   |2020yCat.1350....0G
2055|HD 318723                                                                                                |Star                           |17 58 01.3828354104 -31 31 02.058113712|359.1430314691409 -03.6198946268567|  -0.956 -1.713     |10.39    |B8              |    ~     ~          |    1| 1388.310   pc  | -68.2302    +68.2302    |paral   |2020yCat.1350....0G
2056|HD 318727                                                                                                |Star                           |17 58 58.8553187712 -31 47 09.355676964|359.0105933022957 -03.9301956587519|  2.712 -13.291     |10.58    |F5              |    ~     ~          |    1|  385.253   pc  |  -3.0574     +3.0574    |paral   |2020yCat.1350....0G
2057|HD 318728                                                                                                |Star                           |17 58 26.8556959368 -31 58 29.229146796|358.7899349169246 -03.9254416295157|   2.046 -1.406     |10.58    |F0              |    ~     ~          |    1| 1924.187   pc  | -94.4136    +94.4136    |paral   |2020yCat.1350....0G
2058|HD 318729                                                                                                |High Proper Motion Star        |17 59 30.3631376520 -31 58 32.807943588|358.9004458182398 -04.1209754860889|-57.278 -21.710     |10.39    |F8              |    ~     ~          |    1|  185.815   pc  |  -0.6526     +0.6526    |paral   |2020yCat.1350....0G
2059|HD 318735                                                                                                |Star                           |17 59 43.2147407160 -32 13 15.596796612|358.7090650928955 -04.2814753617216|  -4.918 -3.599     |10.49    |A2              |    ~     ~          |    1|  773.575   pc  | -12.4471    +12.4471    |paral   |2020yCat.1350....0G
2060|HD 318740                                                                                                |Double or Multiple Star        |17 58 38.0773175880 -32 31 23.421051120|358.3320477761519 -04.2315331870817|   2.893 -4.743     |10.23    |A5              |    ~     ~          |    1|  280.497   pc  |  -2.1715     +2.1715    |paral   |2020yCat.1350....0G
2061|HD 318753                                                                                                |Star                           |17 58 21.86 -32 43 28.9                |358.12823 -04.28190                |            ~ ~     |10.7     |A0              |    ~     ~          |    0|                |                         |        |                   
2062|HD 318756                                                                                                |Star                           |17 59 20.2055343744 -32 59 48.895154448|357.9921347788636 -04.5939770309264| -4.053 -12.639     |10.02    |F2              |    ~     ~          |    1|  576.701   pc  | -11.7070    +11.7070    |paral   |2020yCat.1350....0G
2063|HD 318775                                                                                                |High Proper Motion Star        |17 57 59.0893091808 -33 21 40.610512152|357.5341112357854 -04.5282197671810|-13.920 -70.585     |10.99    |G5              |    ~     ~          |    1|  153.574   pc  |  -0.5071     +0.5071    |paral   |2020yCat.1350....0G
2064|HD 318644                                                                                                |Star                           |17 57 13.1678864808 -32 24 13.672419408|358.2873454471700 -03.9131520622296| 24.906 -23.749     |9.84     |F8              |    ~     ~          |    1|  197.500   pc  |  -0.9596     +0.9596    |paral   |2020yCat.1350....0G
2065|HD 316203                                                                                                |Star                           |17 45 11.6354544504 -28 19 32.034932904|000.4723033378243 +00.3981455586134|   0.548 -2.117     |8.75     |M2              |    ~     ~          |    1| 1381.406   pc  | -64.5000    +64.5000    |paral   |2020yCat.1350....0G
2066|HD 161169                                                                                                |Star                           |17 45 13.0943064528 -28 12 42.943262184|000.5720432618970 +00.4528669361342|  5.470 -11.007     |9.48     |A2/3IV/V        |    ~     ~          |    1|  253.505   pc  |  -1.3239     +1.3239    |paral   |2020yCat.1350....0G
2067|HD 316204                                                                                                |Star                           |17 45 20.8065454224 -28 25 22.458768636|000.4067929278345 +00.3186844683453|   1.931 -1.452     |9.31     |B5              |    ~     ~          |    1| 1150.483   pc  | -24.8839    +24.8839    |paral   |2020yCat.1350....0G
2068|HD 161211                                                                                                |Star                           |17 45 22.2354798696 -28 29 46.691092428|000.3468941323136 +00.2759424885417|  5.023 -27.088     |8.49     |A4/5V           |    ~     ~          |    1|  167.073   pc  |  -0.6727     +0.6727    |paral   |2020yCat.1350....0G
2069|HD 316223                                                                                                |Star                           |17 45 25.7877897816 -28 56 27.030984252|359.9743357005345 +00.0330747812044|   0.060 -0.438     |10.85    |F               |    ~     ~          |    1| 2536.140   pc  |-118.3489   +118.3489    |paral   |2020yCat.1350....0G
2070|HD 161231                                                                                                |Star                           |17 45 32.0761163784 -28 47 15.396665316|000.1170632158610 +00.0933689292436|  12.320 -7.830     |9.23     |G8III           |    ~     ~          |    1|  329.229   pc  |  -1.7234     +1.7234    |paral   |2020yCat.1350....0G
2071|HD 161230                                                                                                |Star                           |17 45 33.6872369496 -28 18 11.028444768|000.5336840000271 +00.3408566860640|  -0.190 -1.400     |9.76     |B9/A0IV         |    ~     ~          |    1|  896.781   pc  | -17.2102    +17.2102    |paral   |2020yCat.1350....0G
2072|HD 161247                                                                                                |High Proper Motion Star        |17 45 37.3351213200 -28 24 26.866849428|000.4515453219179 +00.2750416831544|  0.369 -50.610     |7.99     |F3V             |    ~     ~          |    1|   83.288   pc  |  -0.5771     +0.5771    |paral   |2020yCat.1350....0G
2073|HD 161309                                                                                                |Star                           |17 45 59.5837661568 -28 40 41.700697284|000.2627623701018 +00.0645214228184|  2.598 -12.651     |8.64     |K2/3III         |    ~     ~          |    1|  473.687   pc  |  -5.3851     +5.3851    |paral   |2020yCat.1350....0G
2074|HD 161308                                                                                                |Star                           |17 45 58.9373208480 -28 05 20.007045816|000.7648165356455 +00.3732218584295|   4.747 -8.522     |9.72     |A2III           |    ~     ~          |    1|  247.525   pc  |  -1.3540     +1.3540    |paral   |2020yCat.1350....0G
2075|HD 316314                                                                                                |Pulsating Variable             |17 46 39.0790054848 -28 53 51.715699008|000.1502488779014 -00.1727530111683|  11.954 -2.158     |9.47     |F0              |    ~     ~          |    1|  206.958   pc  |  -0.7538     +0.7538    |paral   |2020yCat.1350....0G
2076|HD 316281                                                                                                |Star                           |17 46 39.1054223736 -28 11 07.317571452|000.7591069165804 +00.1969918169916|  2.398 -16.904     |9.47     |K5              |    ~     ~          |    1|  538.909   pc  |  -7.0282     +7.0282    |paral   |2020yCat.1350....0G
2077|CD-28 13580                                                                                              |Star                           |17 47 11.1926018880 -28 44 16.092943260|000.3477633427069 -00.1900473230776| -5.232 -10.080     |9.91     |~               |    ~     ~          |    1|  548.005   pc  |  -8.4087     +8.4087    |paral   |2020yCat.1350....0G
2078|HD 161526                                                                                                |Star                           |17 47 11.6102003544 -28 42 47.890803600|000.3695083116985 -00.1786557217888|   -0.776 5.577     |9.78     |B9V             |    ~     ~          |    1|  465.716   pc  | -19.5900    +19.5900    |ST-L    |2020AJ....160...83S
2079|HD 316311                                                                                                |Star                           |17 47 31.1438172912 -28 57 40.779650880|000.1942630617511 -00.3681005263141|  -0.614 -1.830     |10.19    |OB+             |    ~     ~          |    1| 2767.017   pc  |-135.5180   +135.5180    |paral   |2020yCat.1350....0G
2080|HD 161593                                                                                                |Star                           |17 47 36.9012719088 -28 33 00.776217708|000.5569235528606 -00.1733292261748|   1.005 -8.616     |9.94     |B9V             |    ~     ~          |    1|  556.793   pc  |  -8.0915     +8.0915    |paral   |2020yCat.1350....0G
2081|HD 161611                                                                                                |High Proper Motion Star        |17 47 40.8981919056 -28 28 00.942065220|000.6357680426379 -00.1427591363829| 14.560 -85.122     |8.82     |F6V             |    ~     ~          |    1|  183.076   pc  |  -9.1280     +9.1280    |ST-L    |2020AJ....160...83S
2082|HD 316296                                                                                                |Star                           |17 47 51.0088281720 -28 24 31.053213360|000.7048265839079 -00.1443099791950|  -9.093 -8.086     |9.94     |K5              |    ~     ~          |    1|  697.545   pc  | -10.6559    +10.6559    |paral   |2020yCat.1350....0G
2083|HD 316300                                                                                                |Star                           |17 47 54.1792833216 -28 37 35.975867052|000.5241925214503 -00.2669694931471|  -6.347 -4.206     |10.14    |F5              |    ~     ~          |    1|  342.665   pc  | -12.0825    +12.0825    |paral   |2020yCat.1350....0G
2084|HD 316295                                                                                                |Star                           |17 48 03.7565451960 -28 24 53.789524236|000.7235667557021 -00.1875678789661|  -2.419 -6.550     |10.68    |A0              |    ~     ~          |    1|  649.899   pc  |  -9.0809     +9.0809    |paral   |2020yCat.1350....0G
2085|HD 161703                                                                                                |Star                           |17 48 12.2546659680 -28 45 46.484827668|000.4416682259448 -00.3939311376924|    2.462 1.836     |8.46     |K0III           |    ~     ~          |    1|  305.280   pc  |  -9.6490     +9.6490    |ST-L    |2020AJ....160...83S
2086|HD 316305                                                                                                |Star                           |17 48 34.8038607096 -28 53 32.028058428|000.3733761482573 -00.5311707885574|    2.622 2.125     |10.36    |K0              |    ~     ~          |    1|  636.335   pc  | -23.9714    +23.9714    |paral   |2020yCat.1350....0G
2087|HD 316301                                                                                                |Star                           |17 48 42.4768425504 -28 40 17.833803564|000.5768544846914 -00.4414306469584|  -3.364 -6.505     |9.13     |M1              |    ~     ~          |    1|  789.702   pc  | -21.3905    +21.3905    |paral   |2020yCat.1350....0G
2088|CD-29 13925                                                                                              |Star                           |17 45 08.1970638840 -29 56 45.316086972|359.0835254530881 -00.4367437004484|  -1.123 -2.604     |10.69    |B0.5Ib          |    ~     ~          |    1| 2348.520   pc  | -99.8314    +99.8314    |paral   |2020yCat.1350....0G
2089|HD 316225                                                                                                |Star                           |17 45 06.8882581128 -29 08 36.933724824|359.7654436095626 -00.0139549180187|  -7.873 -4.544     |9.56     |K5              |    ~     ~          |    1|  720.773   pc  | -10.9617    +10.9617    |paral   |2020yCat.1350....0G
2090|HD 161170                                                                                                |Star                           |17 45 16.7917303248 -29 51 02.913543144|359.1808660440112 -00.4136053460313|-15.130 -14.751     |8.49     |K1III           |    ~     ~          |    1|  288.834   pc  |  -2.0439     +2.0439    |paral   |2020yCat.1350....0G
2091|HD 316233                                                                                                |Star                           |17 45 28.5689065560 -29 18 25.301836152|359.6671254710834 -00.1664672244588|   1.573 -8.663     |9.55     |K7              |    ~     ~          |    1|  827.883   pc  | -13.6393    +13.6393    |paral   |2020yCat.1350....0G
2092|HD 316224                                                                                                |Star                           |17 45 30.0083437248 -29 07 04.285400268|359.8312924531795 -00.0723264586928| -2.120 -10.946     |10.16    |F8              |    ~     ~          |    1|  173.133   pc  |  -4.0826     +4.0826    |paral   |2020yCat.1350....0G
2093|TYC 6840-1061-1                                                                                          |Star                           |17 45 31.5947602944 -29 18 14.317336440|359.6754600751507 -00.1742593936504|  -1.542 -1.934     |10.94    |OB-:            |    ~     ~          |    1| 2591.345   pc  |-145.0455   +145.0455    |paral   |2020yCat.1350....0G
2094|HD 316232                                                                                                |Star                           |17 45 43.6893737952 -29 13 18.038792028|359.7686126463400 -00.1689053349515|   0.130 -0.737     |10.27    |O9IV            |    ~     ~          |    1| 2208.968   pc  | -95.1511    +95.1511    |paral   |2020yCat.1350....0G
2095|HD 316236                                                                                                |Star                           |17 45 48.3599415984 -29 36 06.138929484|359.4530029983872 -00.3812764388527|   0.185 -0.625     |10.64    |F               |    ~     ~          |    1| 2077.706   pc  |-111.8068   +111.8068    |paral   |2020yCat.1350....0G
2096|HD 161274                                                                                                |Star                           |17 45 51.3378610992 -29 30 46.513185768|359.5344272839990 -00.3442682018697| -8.877 -14.858     |9.72     |A0III           |    ~     ~          |    1|  444.939   pc  |  -4.6721     +4.6721    |paral   |2020yCat.1350....0G
2097|HD 316319                                                                                                |Star                           |17 46 00.9233276328 -29 04 51.047586084|359.9215036311350 -00.1491380848958|    3.266 0.578     |9.06     |K2              |    ~     ~          |    1|  823.791   pc  | -12.6226    +12.6226    |paral   |2020yCat.1350....0G
2098|CD-29 13958                                                                                              |Star                           |17 46 21.2816 -29 20 11.943            |359.7415035 -00.3453991            |   0.409 -1.618     |10.74    |OB+             |    ~     ~          |    0|                |                         |        |                   
2099|HD 161388                                                                                                |Star                           |17 46 37.3637969496 -29 39 56.437854012|359.4906307478781 -00.5661400527785|   0.444 -1.622     |8.28     |G1Iab           |    ~     ~          |    1| 1289.823   pc  | -49.4102    +49.4102    |paral   |2020yCat.1350....0G
2100|HD 161408                                                                                                |Star                           |17 46 39.9433624920 -29 23 33.914551956|359.7287593744957 -00.4324479082362|  -3.235 -7.442     |7.89     |K5III           |    ~     ~          |    1|  776.578   pc  | -16.1021    +16.1021    |paral   |2020yCat.1350....0G
2101|HD 161433                                                                                                |Star                           |17 46 44.2767215736 -29 27 13.491176040|359.6847869327025 -00.4775487364669|  -7.703 -2.282     |8.31     |K2/3III         |    ~     ~          |    1|  636.497   pc  | -11.5056    +11.5056    |paral   |2020yCat.1350....0G
2102|HD 316337                                                                                                |Star                           |17 46 49.7751833616 -29 53 08.681656776|359.3258008508419 -00.7187150902703|   15.700 0.762     |9.25     |K5              |    ~     ~          |    1|  610.352   pc  |  -8.0466     +8.0466    |paral   |2020yCat.1350....0G
2103|HD 161489                                                                                                |Star                           |17 47 03.7193994816 -29 14 54.526489656|359.8969154843423 -00.4314479054744|-22.249 -39.122     |9.28     |G1V             |    ~     ~          |    1|  100.111   pc  |  -0.8439     +0.8439    |paral   |2020yCat.1350....0G
2104|HD 316332                                                                                                |Blue Supergiant                |17 47 23.6047351032 -29 38 20.007603492|359.6003529161864 -00.6954299572206|  -0.644 -2.397     |9.44     |B3Ia            |    ~     ~          |    0|                |                         |        |                   
2105|CD-29 13987                                                                                              |Star                           |17 47 35.8807335936 -29 35 41.720430696|359.6609938463255 -00.7107206804341|  -0.480 -2.409     |10.46    |F0              |    ~     ~          |    1| 2621.232   pc  |-178.6423   +178.6423    |paral   |2020yCat.1350....0G
2106|CD-29 13995                                                                                              |Star                           |17 47 52.0196979144 -29 31 35.593462092|359.7497665988499 -00.7254270411370|  -0.544 -2.088     |10.86    |B1Ib-II         |    ~     ~          |    1| 2881.014   pc  |-146.0843   +146.0843    |paral   |2020yCat.1350....0G
2107|HD 161647                                                                                                |Star                           |17 47 56.6712282504 -29 32 59.641484244|359.7384941389100 -00.7519290736854|  2.488 -12.598     |9.67     |A0V             |    ~     ~          |    1|  426.476   pc  |  -4.1105     +4.1105    |paral   |2020yCat.1350....0G
2108|HD 316326                                                                                                |Star                           |17 48 01.6256416488 -29 19 45.148672056|359.9367464213879 -00.6532867422301|  -0.367 -2.321     |10.17    |B2              |    ~     ~          |    1| 3014.772   pc  |-159.9638   +159.9638    |paral   |2020yCat.1350....0G
2109|HD 316325                                                                                                |Pulsating Variable             |17 48 16.6850601624 -29 20 40.191001296|359.9519032295394 -00.7080244347709|  -0.444 -2.243     |10.61    |OB              |    ~     ~          |    1| 2748.008   pc  |-137.4381   +137.4381    |paral   |2020yCat.1350....0G
2110|HD 316341                                                                                                |Be Star                        |17 48 35.5328315880 -29 57 28.789787376|359.4614776884246 -01.0829671510833|   1.236 -0.986     |9.88     |B0Ve            |    ~     ~          |    1| 1639.882   pc  | -57.2802    +57.2802    |paral   |2020yCat.1350....0G
2111|HD 161757                                                                                                |Star                           |17 48 37.5495786768 -29 28 27.977876508|359.8796487159432 -00.8399343853513|  1.577 -13.770     |10.10    |A0III           |    ~     ~          |    1|  332.864   pc  | -91.3200    +91.3200    |ST-L    |2020AJ....160...83S
2112|V* BN Sgr                                                                                                |Eclipsing Binary               |17 47 05.3855089128 -28 08 59.481515868|000.8395443682670 +00.1328879013992|  2.210 -24.965     |9.42     |F3V             |    ~     ~          |    1|  336.836   pc  |  -2.9726     +2.9726    |paral   |2020yCat.1350....0G
2113|PN Hb 5                                                                                                  |Planetary Nebula               |17 47 56.20 -29 59 39.6                |359.35707 -00.98012                |            ~ ~     |10.78    |~               |0.13314550 0.13093616|    1|    1.706   kpc |  -0.341      +0.341     |        |2010ApJ...714.1096S
2114|HD 161137                                                                                                |Star                           |17 45 06.9280398888 -30 10 59.318689332|358.8787722994198 -00.5566394019085|    0.826 1.730     |9.08     |G8III(+F/G)     |    ~     ~          |    1|  688.800   pc  |  -8.5875     +8.5875    |paral   |2020yCat.1350....0G
2115|HD 316254                                                                                                |Star                           |17 45 09.6460355040 -30 20 50.916765084|358.7436841527185 -00.6507359846378| -6.246 -14.959     |10.23    |K5              |    ~     ~          |    1|  381.811   pc  |  -2.4345     +2.4345    |paral   |2020yCat.1350....0G
2116|HD 316350                                                                                                |Star                           |17 46 13.7385547272 -30 28 16.976732052|358.7578465093762 -00.9118805317189|  2.689 -11.802     |10.43    |G0              |    ~     ~          |    1|  282.287   pc  |  -1.2033     +1.2033    |paral   |2020yCat.1350....0G
2117|HD 316358                                                                                                |Star                           |17 47 30.7138609104 -30 36 51.348035664|358.7789172471199 -01.2221601508747|   0.226 -1.506     |10.27    |B9              |    ~     ~          |    1| 2063.983   pc  | -72.8465    +72.8465    |paral   |2020yCat.1350....0G
2118|HD 161627                                                                                                |Star                           |17 47 55.8964444944 -30 53 52.364516676|358.5826839950667 -01.4459498225133|  -1.129 -6.697     |8.87     |A6V             |    ~     ~          |    1|  913.409   pc  | -13.7662    +13.7662    |paral   |2020yCat.1350....0G
2119|HD 316343                                                                                                |Star                           |17 48 06.3081914208 -30 12 48.514514652|359.1882146946458 -01.1245143646747| -4.405 -11.621     |9.18     |K0              |    ~     ~          |    1|  557.662   pc  |  -6.8417     +6.8417    |paral   |2020yCat.1350....0G
2120|HD 161718                                                                                                |Star                           |17 48 26.2545821160 -30 17 58.095316428|359.1515898282060 -01.2303815940563|-39.201 -10.005     |7.99     |F7/8V           |    ~     ~          |    1|   87.637   pc  |  -0.2458     +0.2458    |paral   |2020yCat.1350....0G
2121|V* V500 Sco                                                                                              |Classical Cepheid Variable     |17 48 37.5008772936 -30 28 33.459985200|359.0211613535001 -01.3559993212631|   1.901 -1.537     |8.81     |K0              |    ~     ~          |    1| 1528.585   pc  | -57.0123    +57.0123    |paral   |2020yCat.1350....0G
2122|Cl Collinder 347                                                                                         |Open Cluster                   |17 46 22.8 -29 19 30                   |359.7543 -00.3441                  |      0.38 0.54     |8.8      |~               |10.00 10.00          |    0|                |                         |        |                   
2123|[RHI84] 10-585                                                                                           |Star                           |17 46 41.8903676640 -29 02 23.970944976|000.0339509487511 -00.2553807626050|  -1.372 -2.556     |10.40    |M3              |    ~     ~          |    0|                |                         |        |                   
2124|CD-28 13529                                                                                              |Star                           |17 45 06.4179750120 -28 59 37.460005404|359.8923715100983 +00.0657220040226| -0.128 -13.660     |10.73    |~               |    ~     ~          |    1|  667.601   pc  |  -6.8191     +6.8191    |paral   |2020yCat.1350....0G
2125|HD 316297                                                                                                |High Proper Motion Star        |17 46 00.9806148360 -28 29 12.468223140|000.4289161344416 +00.1597768118391|-3.492 -127.108     |9.87     |K7              |    ~     ~          |    1|   36.632   pc  |  -0.0254     +0.0254    |paral   |2020yCat.1350....0G
2126|HD 316298                                                                                                |Star                           |17 46 10.9282508592 -28 31 17.303526048|000.4182466608017 +00.1106306657503|  3.155 -13.114     |9.71     |A2              |    ~     ~          |    1|  481.000   pc  |  -4.8817     +4.8817    |paral   |2020yCat.1350....0G
2127|HD 316299                                                                                                |Star                           |17 46 12.8102586408 -28 36 55.031202864|000.3416950283766 +00.0559660966443|   -0.358 1.624     |10.05    |K0              | 1.93  1.37          |    0|                |                         |        |                   
2128|HD 316318                                                                                                |Star                           |17 46 21.9201554376 -28 58 37.915165092|000.0498146257936 -00.1605816723200|  -0.313 -1.129     |10.06    |B5              |    ~     ~          |    1| 1663.617   pc  | -48.9869    +48.9869    |paral   |2020yCat.1350....0G
2129|CD-28 13573                                                                                              |Star                           |17 46 42.8393515944 -28 55 59.837918592|000.1269498996423 -00.2029502424935|  2.075 -13.546     |10.45    |~               |    ~     ~          |    1|  587.061   pc  |  -5.2385     +5.2385    |paral   |2020yCat.1350....0G
2130|HD 316320                                                                                                |Star                           |17 47 15.1637422752 -29 07 01.063904664|000.0309725725887 -00.3988949718998|   -3.056 1.056     |9.97     |K7              |    ~     ~          |    1| 1099.263   pc  | -29.7262    +29.7262    |paral   |2020yCat.1350....0G
2131|HD 316333                                                                                                |Star                           |17 48 17.2770709344 -29 46 45.632640288|359.5805281899025 -00.9343069517707|   -6.747 4.708     |10.39    |K5              |    ~     ~          |    1|  856.311   pc  | -13.8588    +13.8588    |paral   |2020yCat.1350....0G
2132|HD 316293                                                                                                |High Proper Motion Star        |17 48 22.3111425264 -28 16 07.214666916|000.8839638092365 -00.1703018105166|-47.718 -44.974     |10.35    |G5              |    ~     ~          |    1|  171.277   pc  |  -0.4840     +0.4840    |paral   |2020yCat.1350....0G
2133|CD-29 13985                                                                                              |Star                           |17 47 33.6273850728 -29 36 19.861068492|359.6477026392411 -00.7092167606422|   1.981 -2.696     |10.32    |~               |    ~     ~          |    1| 1043.406   pc  | -24.4956    +24.4956    |paral   |2020yCat.1350....0G
2134|CD-29 14005                                                                                              |Star                           |17 48 11.2833011520 -29 34 23.979633024|359.7457902246955 -00.8093762595389|   0.651 -1.647     |10.35    |~               |    ~     ~          |    1| 1600.512   pc  | -56.8684    +56.8684    |paral   |2020yCat.1350....0G
2135|CD-30 14666                                                                                              |Star                           |17 45 36.3900623736 -30 20 00.725333316|358.8057253938101 -00.7255340660967|   0.012 -1.446     |9.95     |~               |    ~     ~          |    1| 2874.389   pc  |-172.6782   +172.6782    |paral   |2020yCat.1350....0G
2136|HD 316357                                                                                                |Star                           |17 47 41.2856120592 -30 32 06.363069468|358.8663042323305 -01.2136779926691| -3.877 -11.275     |10.30    |K0              |    ~     ~          |    1|  567.247   pc  |  -5.0518     +5.0518    |paral   |2020yCat.1350....0G
2137|HD 316222                                                                                                |Star                           |17 45 00.9125581296 -28 42 17.763130872|000.1282121660420 +00.2336251011640|   11.249 6.827     |10.98    |F8              |    ~     ~          |    1|  197.118   pc  |  -0.6761     +0.6761    |paral   |2020yCat.1350....0G
2138|HD 316302                                                                                                |Star                           |17 48 27.3240342360 -28 41 43.718387892|000.5278479185516 -00.4062801513438|    3.012 1.406     |10.12    |G5              |    ~     ~          |    1|  933.184   pc  | -19.8550    +19.8550    |paral   |2020yCat.1350....0G
2139|HD 316313                                                                                                |Star                           |17 46 53.3662413528 -28 51 54.178906752|000.2052088655358 -00.2003664813115|   3.796 -2.103     |10.81    |A0              |    ~     ~          |    1| 1010.816   pc  | -28.2003    +28.2003    |paral   |2020yCat.1350....0G
2140|HD 316324                                                                                                |Star                           |17 48 39.4199798640 -29 25 53.301971280|359.9199675636580 -00.8235997201579|  -1.280 -2.513     |10.85    |A2              |    ~     ~          |    1|  859.919   pc  | -16.7858    +16.7858    |paral   |2020yCat.1350....0G
2141|HD 316309                                                                                                |Star                           |17 48 44.8376485272 -28 58 01.047758844|000.3282079032532 -00.6010501242216|-22.887 -18.013     |10.42    |F8              |    ~     ~          |    1|  167.288   pc  |  -6.6353     +6.6353    |paral   |2020yCat.1350....0G
2142|HD 316247                                                                                                |Star                           |17 45 53.3881831824 -29 44 26.275132248|359.3438592130587 -00.4691417305175|   1.353 -3.072     |10.97    |A0              |    ~     ~          |    1| 1097.936   pc  | -25.7969    +25.7969    |paral   |2020yCat.1350....0G
2143|HD 316246                                                                                                |Star                           |17 45 29.4066986720 -29 45 00.477347763|359.2905590908617 -00.4000310856818|     7.40 -2.50     |10.93    |A0              |    ~     ~          |    0|                |                         |        |                   
2144|HD 316328                                                                                                |Star                           |17 47 03.5792253936 -29 23 57.251987412|359.7677294030477 -00.5091656042220|  -0.862 -1.248     |10.59    |F               |    ~     ~          |    1| 1087.666   pc  | -22.8322    +22.8322    |paral   |2020yCat.1350....0G
2145|HD 316351                                                                                                |Star                           |17 46 26.6490262032 -30 25 23.384902008|358.8231504477125 -00.9264518068035|  3.279 -15.358     |10.27    |F8              |    ~     ~          |    1|  269.020   pc  |  -1.2593     +1.2593    |paral   |2020yCat.1350....0G
2146|TYC 7377-266-1                                                                                           |Star                           |17 47 13.5467783256 -30 16 48.774901872|359.0328555852552 -00.9964827459621|    3.050 2.647     |10.59    |~               |    ~     ~          |    1|  648.004   pc  |  -6.9285     +6.9285    |paral   |2020yCat.1350....0G
