C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:53:35

dec< 0&rah >=17.75&rah< 18.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 8404

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |   spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|----------------|---------------------|-----|----------------|-------------------------|--------|-------------------
23  |HD 161413                                                                                                |High Proper Motion Star        |17 47 30.6898752624 -43 25 04.624013460|347.7435132398415 -07.7827920146626|-20.862 -99.051     |9.24     |G6/8V           |    ~     ~          |    1|   61.938   pc  |  -0.0644     +0.0644    |paral   |2020yCat.1350....0G
24  |HD 161453                                                                                                |Double or Multiple Star        |17 47 43.5004 -43 29 44.322            |347.6954858 -07.8554120            |      -0.3 -4.6     |10.13    |A1/2III/IV      |    ~     ~          |    0|                |                         |        |                   
25  |HD 161454                                                                                                |Star                           |17 47 47.8228932096 -43 47 28.262378112|347.4442545997554 -08.0154091254631|  -0.708 -1.806     |8.94     |K0/1(III)       |    ~     ~          |    1|  646.204   pc  | -11.7340    +11.7340    |paral   |2020yCat.1350....0G
26  |HD 161515                                                                                                |Star                           |17 48 01.6100004960 -43 26 35.936827836|347.7689571686003 -07.8763947535923| -20.093 12.758     |8.18     |G3V             |    ~     ~          |    1|  122.172   pc  |  -0.3717     +0.3717    |paral   |2020yCat.1350....0G
27  |CD-43 12034                                                                                              |Star                           |17 48 16.1856941808 -43 04 12.798915528|348.1168799767765 -07.7269434749474|   0.249 -1.440     |10.43    |A2              |    ~     ~          |    1|  809.651   pc  | -15.5362    +15.5362    |paral   |2020yCat.1350....0G
28  |HD 161063                                                                                                |Star                           |17 45 35.0997396360 -44 02 08.232349200|347.0280458171714 -07.7951704788395|  -3.500 -4.952     |9.12     |B8/9II/III      |    ~     ~          |    1|  691.133   pc  | -14.1389    +14.1389    |paral   |2020yCat.1350....0G
29  |HD 161292                                                                                                |Star                           |17 46 52.6621683888 -44 02 29.077801620|347.1417442877298 -07.9984537893278|   6.289 -4.814     |9.33     |A3IV            |    ~     ~          |    1|  593.859   pc  |  -7.1944     +7.1944    |paral   |2020yCat.1350....0G
30  |CD-43 12032                                                                                              |Star                           |17 48 15.5876872344 -44 02 46.877905464|347.2636152003095 -08.2155993124886|    1.471 0.817     |10.44    |A0              |    ~     ~          |    1|  975.324   pc  | -21.9740    +21.9740    |paral   |2020yCat.1350....0G
31  |HD 160976                                                                                                |Star                           |17 45 02.5826562024 -44 07 28.066938888|346.9008892907845 -07.7565255798976|  0.497 -20.932     |6.96     |K1/2III         |    ~     ~          |    1|  228.457   pc  |  -1.2526     +1.2526    |paral   |2020yCat.1350....0G
32  |HD 160992                                                                                                |Star                           |17 45 16.3268851608 -44 35 31.976755728|346.5152239409434 -08.0295393451691|   1.066 -8.851     |10.42    |A0/1IV/V        |    ~     ~          |    1|  520.562   pc  |  -5.2842     +5.2842    |paral   |2020yCat.1350....0G
