C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:16:32

dec< 0&rah >=0.25&rah< 0.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2506

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
22  |CD-44 82                                                                                                 |Star                                |00 22 14.6446571520 -43 53 24.100325736|320.3930953147512 -72.2349119958253| -1.257 -35.990   |10.367   |~              |    ~     ~    |    1|  324.921   pc  |  -9.0280     +9.0280    |ST-L    |2020AJ....160...83S
23  |HD 1107                                                                                                  |Star                                |00 15 09.6211809888 -44 39 02.088512064|323.1107920393183 -71.0291776312475|  39.283 -6.569   |9.490    |K0III          |    ~     ~    |    1|  632.121   pc  | -19.3000    +19.3000    |ST-L    |2020AJ....160...83S
24  |HD 1321                                                                                                  |Star                                |00 17 12.1862771280 -44 21 51.500596788|322.4625506157464 -71.4428433920629|  29.668 -8.075   |8.60     |F2V            |    ~     ~    |    1|  190.635   pc  |  -4.7510     +4.7510    |ST-L    |2020AJ....160...83S
25  |HD 1345                                                                                                  |Star                                |00 17 23.9476134984 -44 39 04.483235556|321.9937063282210 -71.1958484678779|  40.796 11.137   |8.52     |G8/K0III       |    ~     ~    |    1|  362.227   pc  |  -2.1125     +2.1125    |paral   |2020yCat.1350....0G
26  |CD-44 44                                                                                                 |Star                                |00 15 45.9187113816 -43 36 02.701826064|324.2582537926525 -72.0200345909421| -11.293 -8.032   |10.71    |~              |    ~     ~    |    1|  610.098   pc  | -20.7200    +20.7200    |ST-L    |2020AJ....160...83S
27  |CD-43 51                                                                                                 |High Proper Motion Star             |00 16 05.7172298496 -42 56 41.579588976|325.0592906805372 -72.6321162380556| 34.838 -46.174   |10.991   |~              |    ~     ~    |    1|  255.540   pc  |  -4.1630     +4.1630    |ST-L    |2020AJ....160...83S
28  |CD-44 51                                                                                                 |Spectroscopic Binary                |00 17 05.4841219392 -43 47 12.706015632|323.2976843485423 -71.9577189255435|  56.147 10.831   |10.424   |~              |    ~     ~    |    1|  208.032   pc  |  -6.3190     +6.3190    |ST-L    |2020AJ....160...83S
29  |CD-44 62                                                                                                 |Star                                |00 19 03.6325220880 -43 32 25.334083320|322.5825778515968 -72.3312276793893|   -1.030 4.359   |10.951   |~              |    ~     ~    |    1|  613.026   pc  | -27.6200    +27.6200    |ST-L    |2020AJ....160...83S
30  |CD-44 64                                                                                                 |Star                                |00 19 13.4083981968 -43 50 09.807735192|322.0989920967417 -72.0734457472603|   9.792 -2.190   |10.269   |~              |    ~     ~    |    1|  759.777   pc  | -32.1900    +32.1900    |ST-L    |2020AJ....160...83S
31  |CD-45 78                                                                                                 |Star                                |00 19 14.9173 -44 33 30.833            |321.1679161 -71.4123987            |-21.080 -35.479   |10.798   |~              |    ~     ~    |    1|  210.005   pc  | +25.806     +95         |ST-L    |2017AJ....153...75K
32  |CD-44 67                                                                                                 |Star                                |00 19 23.8256347560 -43 22 03.887202900|322.6343322012546 -72.5136703207816|   8.375 22.829   |10.663   |~              |    ~     ~    |    1|  353.888   pc  |  -7.7980     +7.7980    |ST-L    |2020AJ....160...83S
33  |CD-44 69                                                                                                 |Star                                |00 19 44.6013573144 -43 28 44.150364372|322.2925832418903 -72.4380013063102|   8.049 -0.540   |10.679   |~              |    ~     ~    |    1|  363.939   pc  |  -7.0960     +7.0960    |ST-L    |2020AJ....160...83S
34  |CD-43 73                                                                                                 |Star                                |00 20 00.2764390824 -42 38 39.954697980|323.3156968934752 -73.2174026780854|-31.551 -25.822   |10.940   |~              |    ~     ~    |    1|  209.580   pc  |  -2.3550     +2.3550    |ST-L    |2020AJ....160...83S
35  |CD-44 77                                                                                                 |High Proper Motion Star             |00 21 05.5819372464 -43 50 55.590771876|321.0730188558833 -72.1948181899945| 65.888 -14.538   |10.785   |~              |    ~     ~    |    1|  134.842   pc  |  -1.2800     +1.2800    |ST-L    |2020AJ....160...83S
36  |CD-43 83                                                                                                 |Spectroscopic Binary                |00 21 46.2631993392 -42 44 00.551888952|322.1621758209079 -73.2693711180630|   24.873 1.915   |10.470   |~              |    ~     ~    |    1|  422.639   pc  | -10.0500    +10.0500    |ST-L    |2020AJ....160...83S
37  |CD-43 84                                                                                                 |Spectroscopic Binary                |00 21 47.3474031792 -42 56 43.543424436|321.8612006413360 -73.0761372583564| 32.823 -74.720   |10.07    |~              |    ~     ~    |    1|   91.910   pc  |  -0.2754     +0.2754    |paral   |2020yCat.1350....0G
38  |CD-45 97                                                                                                 |Star                                |00 22 28.0885607208 -44 30 38.812150188|319.5436097486628 -71.6712561353321|   0.287 14.870   |10.645   |~              |    ~     ~    |    1|  297.880   pc  |  -5.0840     +5.0840    |ST-L    |2020AJ....160...83S
39  |CD-43 63                                                                                                 |Star                                |00 18 35.4450614208 -43 00 00.887094288|323.6003760172243 -72.7850949155305| 25.170 -14.953   |10.70    |~              |    ~     ~    |    1|  715.922   pc  |  -7.3806     +7.3806    |paral   |2020yCat.1350....0G
40  |CD-43 79                                                                                                 |High Proper Motion Star             |00 20 32.2001078568 -42 29 09.737903328|323.2378512221820 -73.4022976898098|-71.324 -85.644   |10.49    |~              |    ~     ~    |    1|  115.637   pc  |  -0.7788     +0.7788    |ST-L    |2020AJ....160...83S
41  |CD-42 83                                                                                                 |Star                                |00 21 13.3244 -42 16 45.355            |323.1363789 -73.6430189            |  14.290 -2.359   |10.41    |~              |    ~     ~    |    1|  250.466   pc  |  -3.4910     +3.4910    |ST-L    |2020AJ....160...83S
