C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:16:32

dec< 0&rah >=0.25&rah< 0.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2506

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
519 |CD-27 52                                                                                                 |Spectroscopic Binary                |00 15 48.4223982312 -27 17 33.629861688|029.7054712826157 -82.0780431886173| -7.621 -19.879   |9.90     |~              |    ~     ~    |    1|  265.795   pc  | -10.3851    +10.3851    |paral   |2020yCat.1350....0G
520 |HD 1206                                                                                                  |Star                                |00 16 21.4684267488 -27 08 41.850434652|030.8063602692577 -82.1969345524327| 10.305 -19.933   |9.63     |G5/8           |    ~     ~    |    1|  346.861   pc  |  -1.7686     +1.7686    |paral   |2020yCat.1350....0G
521 |HD 1215                                                                                                  |Star                                |00 16 22.8708782640 -27 13 12.455092236|030.2537437093983 -82.2042370067069|-18.827 -40.973   |9.678    |F8/G2          |    ~     ~    |    1|  183.612   pc  |  -2.1620     +2.1620    |ST-L    |2020AJ....160...83S
522 |HD 1409                                                                                                  |Star                                |00 18 06.1086982104 -26 54 28.301850468|032.7336054350570 -82.5736122053455|   7.816 12.648   |9.73     |F8/G0V         |    ~     ~    |    1|  110.199   pc  |  -0.2975     +0.2975    |paral   |2020yCat.1350....0G
523 |CD-27 92                                                                                                 |Double or Multiple Star             |00 21 23.0306823216 -26 54 44.951483880|033.0669417779033 -83.3041416050579|  -0.954 -3.496   |10.282   |~              |    ~     ~    |    1|  829.758   pc  | -35.8200    +35.8200    |ST-L    |2020AJ....160...83S
524 |HD 1779                                                                                                  |High Proper Motion Star             |00 22 04.5258518493 -26 42 33.595637698|034.9255940517949 -83.4422927983833| 415.845 53.656   |8.94     |G5V            |    ~     ~    |    1|   54.5235  pc  |  -0.2583     +0.2583    |paral   |2020yCat.1350....0G
525 |HD 1815                                                                                                  |High Proper Motion Star             |00 22 23.5638601853 -27 01 57.052915045|032.1245960151654 -83.5349601716197|287.803 -423.699  |8.315    |K2Vk:          |    ~     ~    |    1|   21.7611  pc  |  -0.1627     +0.1627    |paral   |2018yCat.1345....0G
526 |HD 1087                                                                                                  |High Proper Motion Star             |00 15 03.2779636248 -27 30 08.938939392|028.1957558878003 -81.9115714903241|  70.493 22.887   |9.16     |K1IV           |    ~     ~    |    1|  255.748   pc  |  -1.1969     +1.1969    |paral   |2020yCat.1350....0G
527 |HD 1580                                                                                                  |Star                                |00 19 52.5525123936 -27 39 27.028034352|026.8010488862496 -82.9754855518963|-29.000 -37.703   |9.734    |F0V            |    ~     ~    |    1|  204.107   pc  |  -2.4870     +2.4870    |ST-L    |2020AJ....160...83S
528 |HD 1790                                                                                                  |High Proper Motion Star             |00 22 09.2734145544 -27 23 58.994717640|028.8677936752101 -83.4877477867437|  81.376 19.380   |9.987    |F6V            |    ~     ~    |    1|  131.117   pc  |  -2.0600     +2.0600    |ST-L    |2020AJ....160...83S
529 |HD 1196                                                                                                  |High Proper Motion Star             |00 16 10.3176702528 -27 46 41.952203760|026.1559684599554 -82.1511163960638|-189.122 -72.866  |9.33     |G5V            |    ~     ~    |    1|   73.280   pc  |  -0.1101     +0.1101    |paral   |2020yCat.1350....0G
530 |CD-28 63                                                                                                 |Star                                |00 16 39.3531796344 -27 48 05.143878108|025.9467675298747 -82.2568694550008|  -0.204 -5.690   |10.683   |~              |    ~     ~    |    1|  544.395   pc  | -43.4770    +43.4770    |paral   |2020yCat.1350....0G
531 |CPD-27 15                                                                                                |Star                                |00 16 45.7048185528 -26 33 00.803609712|035.2374061450575 -82.2448085455314|  1.755 -11.540   |10.50    |~              |    ~     ~    |    1|  480.561   pc  |  -4.7573     +4.7573    |paral   |2020yCat.1350....0G
532 |CD-27 72                                                                                                 |Star                                |00 18 09.5404515384 -26 57 32.325371100|032.3442449516872 -82.5893664989673|  11.395 -7.604   |10.541   |~              |    ~     ~    |    1|  443.732   pc  | -14.5800    +14.5800    |ST-L    |2020AJ....160...83S
533 |CD-27 74                                                                                                 |High Proper Motion Star             |00 18 23.4243481944 -27 03 44.481393360|031.5602344114357 -82.6458929094087|107.128 -42.791   |10.42    |~              |    ~     ~    |    1|  186.119   pc  |  -0.6790     +0.6790    |paral   |2020yCat.1350....0G
534 |CD-27 83                                                                                                 |High Proper Motion Star             |00 20 28.9634781624 -26 57 50.849416656|032.5323765307151 -83.1066509160325|-57.224 -34.556   |10.07    |~              |    ~     ~    |    1|   54.552   pc  |  -0.1995     +0.1995    |ST-L    |2020AJ....160...83S
535 |CD-27 88                                                                                                 |Spectroscopic Binary                |00 20 59.2953994392 -27 13 35.911713792|030.3602571138756 -83.2283526394260|    5.098 1.529   |10.27    |~              |    ~     ~    |    1|  285.357   pc  |  -5.3880     +5.3880    |ST-L    |2020AJ....160...83S
536 |CD-26 105                                                                                                |Star                                |00 21 11.5543714440 -25 48 29.748095280|042.2637933728065 -83.1049432500947| -31.398 -2.909   |10.591   |~              |    ~     ~    |    1|  255.893   pc  |  -3.9090     +3.9090    |ST-L    |2020AJ....160...83S
537 |CD-26 108                                                                                                |Star                                |00 21 21.5450869656 -25 34 12.365902452|044.2624517734826 -83.0850260035837| -7.664 -30.370   |10.75    |~              |    ~     ~    |    1|  281.516   pc  |  -1.4186     +1.4186    |paral   |2020yCat.1350....0G
538 |CD-27 94                                                                                                 |Star                                |00 21 47.5125988896 -27 05 05.959385052|031.6167354032833 -83.4033848029117|-28.130 -31.453   |10.256   |~              |    ~     ~    |    1|  438.826   pc  | -15.2700    +15.2700    |ST-L    |2020AJ....160...83S
539 |CD-27 47                                                                                                 |Star                                |00 15 03.5059216680 -27 09 06.487881228|030.6877172508999 -81.9082641626212| 11.747 -12.372   |10.810   |~              |    ~     ~    |    1|  680.481   pc  | -29.0900    +29.0900    |ST-L    |2020AJ....160...83S
540 |CD-26 76                                                                                                 |Star                                |00 16 56.1714004536 -26 05 12.615166752|038.6735406881517 -82.2196800893764|  11.994 -4.343   |10.472   |~              |    ~     ~    |    1| 1460.810   pc  |-118.4000   +118.4000    |ST-L    |2020AJ....160...83S
541 |CD-27 64                                                                                                 |Star                                |00 17 15.3843146448 -26 26 57.145700904|036.0808275983754 -82.3431080728310|  19.828 -9.969   |10.666   |~              |    ~     ~    |    1|  909.545   pc  | -35.4200    +35.4200    |ST-L    |2020AJ....160...83S
542 |CD-27 66                                                                                                 |Spectroscopic Binary                |00 17 23.0117057688 -26 57 20.766496932|032.2944310642925 -82.4166542555988|   -4.883 0.407   |10.748   |~              |    ~     ~    |    1|  530.223   pc  | -39.6900    +39.6900    |ST-L    |2020AJ....160...83S
543 |CD-26 79                                                                                                 |Star                                |00 17 39.2660228832 -26 09 17.822756124|038.3687928694658 -82.3898767261020|-23.612 -33.912   |10.670   |~              |    ~     ~    |    1|  129.395   pc  |  -1.0180     +1.0180    |ST-L    |2020AJ....160...83S
544 |CD-28 71                                                                                                 |Star                                |00 17 51.3584336088 -27 18 26.302696200|029.6378661653529 -82.5333676184099|   16.834 6.906   |10.630   |~              |    ~     ~    |    1| 1327.640   pc  | -91.7300    +91.7300    |ST-L    |2020AJ....160...83S
545 |CD-27 70                                                                                                 |Star                                |00 17 53.9692576032 -26 34 34.371596028|035.2486454636706 -82.5005389575578| -13.666 -7.506   |10.595   |~              |    ~     ~    |    1|  300.059   pc  |  -7.0530     +7.0530    |ST-L    |2020AJ....160...83S
546 |CD-28 72                                                                                                 |High Proper Motion Star             |00 18 01.3454339184 -27 27 59.311222704|028.4096438790698 -82.5701315138801| 57.985 -19.100   |10.427   |~              |    ~     ~    |    1|  232.525   pc  |  -2.9570     +2.9570    |ST-L    |2020AJ....160...83S
547 |CD-26 83                                                                                                 |Star                                |00 18 31.3109420400 -25 43 17.076106956|041.8879315179826 -82.4992246247716|  20.786 -1.828   |10.431   |~              |    ~     ~    |    1|  478.005   pc  | -25.0300    +25.0300    |ST-L    |2020AJ....160...83S
548 |CD-28 83                                                                                                 |Star                                |00 19 06.0565323672 -27 41 22.375600044|026.6041057719403 -82.8026584486649|-13.133 -14.073   |10.16    |~              |    ~     ~    |    1|  477.774   pc  | -14.6300    +14.6300    |ST-L    |2020AJ....160...83S
549 |CD-26 90                                                                                                 |Star                                |00 19 36.0536356488 -26 17 03.940389420|037.8983335556603 -82.8411894828301|   34.746 1.185   |10.263   |~              |    ~     ~    |    1|  747.970   pc  | -29.0200    +29.0200    |ST-L    |2020AJ....160...83S
550 |CD-26 91                                                                                                 |Star                                |00 19 48.4242631872 -25 35 41.069164344|043.3670453933030 -82.7520024484491|  22.374 -2.415   |10.534   |~              |    ~     ~    |    1|  290.362   pc  |  -5.8660     +5.8660    |ST-L    |2020AJ....160...83S
551 |CD-27 82                                                                                                 |Star                                |00 20 26.6299897272 -26 43 58.287877284|034.4458676824176 -83.0815578045631|  -1.524 18.171   |10.968   |~              |    ~     ~    |    1|  539.706   pc  | -17.8700    +17.8700    |ST-L    |2020AJ....160...83S
552 |CD-26 100                                                                                                |Star                                |00 20 33.8074340064 -26 06 47.405852244|039.5563932794892 -83.0265506275045|  10.242 -5.249   |10.515   |~              |    ~     ~    |    1|  467.813   pc  | -16.2600    +16.2600    |ST-L    |2020AJ....160...83S
553 |CD-28 93                                                                                                 |Star                                |00 21 05.6626509864 -27 35 18.524859324|027.2847781026897 -83.2479711653974|  17.977 32.897   |10.767   |~              |    ~     ~    |    1|  192.817   pc  |  -2.6380     +2.6380    |ST-L    |2020AJ....160...83S
554 |TYC 6416-534-1                                                                                           |Star                                |00 21 18.5657807784 -25 48 27.970164576|042.3161617457227 -83.1304887283512|  3.666 -10.326   |10.505   |~              |    ~     ~    |    1|  870.473   pc  | -29.4000    +29.4000    |ST-L    |2020AJ....160...83S
555 |CD-27 91                                                                                                 |High Proper Motion Star             |00 21 20.6244988056 -26 22 55.948239948|037.5641653258098 -83.2417033276493|  40.227 48.686   |10.758   |~              |    ~     ~    |    1|  295.129   pc  |  -6.3360     +6.3360    |ST-L    |2020AJ....160...83S
556 |CD-28 97                                                                                                 |Star                                |00 21 49.2609856896 -27 20 29.285403972|029.3834177485019 -83.4141376756403|  11.598 -4.956   |10.10    |~              |    ~     ~    |    1|  999.700   pc  | -18.3890    +18.3890    |paral   |2020yCat.1350....0G
557 |CD-27 100                                                                                                |Star                                |00 22 10.0917560184 -26 27 09.062167860|037.1792653996287 -83.4341183877587|  -1.127 -2.685   |10.53    |~              |    ~     ~    |    1|  408.030   pc  |  -2.6638     +2.6638    |paral   |2020yCat.1350....0G
558 |CD-28 86                                                                                                 |Star                                |00 19 51.2488582440 -27 38 28.658893632|026.9351369247909 -82.9713651996081|  8.922 -10.973   |10.620   |~              |    ~     ~    |    1|  145.370   pc  |  -1.1430     +1.1430    |ST-L    |2020AJ....160...83S
559 |CD-26 95                                                                                                 |High Proper Motion Star             |00 20 07.9373464536 -25 37 29.621828820|043.2740080022357 -82.8304136967136|-115.246 -42.641  |10.56    |~              |    ~     ~    |    1|   71.440   pc  |  -0.3229     +0.3229    |ST-L    |2020AJ....160...83S
560 |TYC 6416-457-1                                                                                           |Star                                |00 19 00.1585302696 -25 16 55.578224172|045.3539397051540 -82.4957173042077| -2.442 -15.677   |10.975   |~              |    ~     ~    |    1|  418.761   pc  | -10.5900    +10.5900    |ST-L    |2020AJ....160...83S
561 |TYC 6416-745-1                                                                                           |Spectroscopic Binary                |00 18 11.9630601624 -26 43 18.302031696|034.1828810536356 -82.5813478475009| 59.508 -21.107   |10.863   |~              |    ~     ~    |    1|  323.774   pc  |  -8.2410     +8.2410    |ST-L    |2020AJ....160...83S
562 |TYC 6416-833-1                                                                                           |Star                                |00 17 48.2792860800 -26 49 23.093078448|033.3500282352525 -82.5017057347316|  19.866 27.383   |10.701   |~              |    ~     ~    |    1|  210.108   pc  |  -3.1570     +3.1570    |ST-L    |2020AJ....160...83S
563 |TYC 6419-160-1                                                                                           |High Proper Motion Star             |00 18 05.5074980304 -27 31 13.665727020|027.9899266703206 -82.5846671548005|-40.019 -30.061   |10.981   |~              |    ~     ~    |    1|  282.332   pc  |  -4.6030     +4.6030    |ST-L    |2020AJ....160...83S
564 |TYC 6419-487-1                                                                                           |High Proper Motion Star             |00 16 12.5911849008 -27 58 32.737031688|024.7093591652673 -82.1476839207300|  56.639 14.250   |10.63    |~              |    ~     ~    |    1|  226.629   pc  |  -0.7601     +0.7601    |paral   |2020yCat.1350....0G
565 |HD 2025                                                                                                  |High Proper Motion Star             |00 24 25.9332783964 -27 01 36.380637008|032.3599176420590 -83.9884567277823| 665.755 83.964   |7.916    |K3V            |    ~     ~    |    1|   17.9133  pc  |  -0.0079     +0.0079    |paral   |2020yCat.1350....0G
566 |HD 2037                                                                                                  |Star                                |00 24 29.6413870632 -26 55 01.547767992|033.4133419845097 -83.9964212440044|-19.102 -20.661   |8.33     |A5IV           |    ~     ~    |    1|  244.792   pc  |  -2.4688     +2.4688    |paral   |2020yCat.1350....0G
567 |CD-27 112                                                                                                |Star                                |00 24 56.6252096736 -26 25 05.644840440|038.2777566458128 -84.0447863258493|  -6.064 -9.344   |10.370   |~              |    ~     ~    |    1|  491.624   pc  | -15.6100    +15.6100    |ST-L    |2020AJ....160...83S
568 |HD 1988                                                                                                  |Star                                |00 23 58.9471256328 -27 24 46.253836836|028.6903607809816 -83.8931770091318|  -2.935 10.676   |9.29     |F2V            |    ~     ~    |    1|  198.547   pc  |  -2.5690     +2.5690    |ST-L    |2020AJ....160...83S
569 |CD-28 114                                                                                                |Spectroscopic Binary                |00 24 50.4873403608 -27 42 30.987258048|025.7901669247445 -84.0700798045662|   -0.812 6.921   |9.99     |~              |    ~     ~    |    1|  405.492   pc  |  -9.8390     +9.8390    |ST-L    |2020AJ....160...83S
570 |CD-28 105                                                                                                |High Proper Motion Star             |00 22 34.0470325776 -27 21 03.313957356|029.2937322837911 -83.5798504989856|-29.401 -47.706   |10.42    |~              |    ~     ~    |    1|  357.143   pc  |  -2.5383     +2.5383    |paral   |2020yCat.1350....0G
571 |CPD-28 27                                                                                                |High Proper Motion Star             |00 22 36.4671704016 -27 39 59.291326512|026.4704787742563 -83.5792293664483| 35.892 -45.580   |10.68    |~              |    ~     ~    |    1|  172.607   pc  |  -0.4737     +0.4737    |paral   |2020yCat.1350....0G
572 |CD-26 113                                                                                                |Star                                |00 22 40.2798640176 -25 24 03.719906784|046.3125975681585 -83.3247459593762|  46.408 -3.052   |10.82    |~              |    ~     ~    |    1|  161.296   pc  |  -0.3616     +0.3616    |paral   |2020yCat.1350....0G
573 |CD-26 120                                                                                                |Star                                |00 24 12.5239589760 -25 27 09.801749052|046.7565493964759 -83.6720768646547|  5.099 -15.692   |10.43    |~              |    ~     ~    |    1|  406.554   pc  |  -9.6858     +9.6858    |paral   |2020yCat.1350....0G
574 |CD-27 109                                                                                                |Star                                |00 24 21.7997465904 -26 34 29.666542296|036.6312245313221 -83.9366095259015|  12.818 -8.129   |10.714   |~              |    ~     ~    |    1| 1460.350   pc  |-118.0000   +118.0000    |ST-L    |2020AJ....160...83S
575 |HD 2426                                                                                                  |Star                                |00 27 51.1471328016 -25 16 54.618628584|050.8522828968939 -84.3975122905276|   9.134 10.121   |8.63     |K2III          |    ~     ~    |    1|  443.794   pc  |  -5.6132     +5.6132    |paral   |2020yCat.1350....0G
576 |HD 2450                                                                                                  |High Proper Motion Star             |00 28 03.5027843856 -25 11 44.099972988|051.8492162832642 -84.4100567143104|-42.316 -76.015   |9.32     |F7V            |    ~     ~    |    1|  100.657   pc  |  -0.2391     +0.2391    |paral   |2020yCat.1350....0G
577 |CD-26 127                                                                                                |High Proper Motion Star             |00 25 32.7500215944 -25 20 44.980893636|048.5479508791235 -83.9274078549543|   61.358 7.669   |10.53    |~              |    ~     ~    |    1|  186.898   pc  |  -0.7056     +0.7056    |paral   |2020yCat.1350....0G
578 |CD-26 133                                                                                                |Star                                |00 26 50.6749279488 -25 43 08.808293172|045.9046431740629 -84.3172791058561|  25.965 -4.322   |10.17    |~              |    ~     ~    |    1|  746.232   pc  | -25.7200    +25.7200    |ST-L    |2020AJ....160...83S
579 |CD-26 136                                                                                                |Star                                |00 27 05.6074544112 -25 42 01.752699924|046.2418023640048 -84.3661111328302|  0.867 -24.820   |10.169   |~              |    ~     ~    |    1|  285.919   pc  |  -4.9410     +4.9410    |ST-L    |2020AJ....160...83S
580 |HD 2363                                                                                                  |Star                                |00 27 14.7075649704 -25 32 49.824468996|047.8358985996647 -84.3545139469316| 31.507 -16.463   |5.969    |K0III          |    ~     ~    |    1|  187.988   pc  |  -1.4843     +1.4843    |paral   |2020yCat.1350....0G
581 |HD 2258                                                                                                  |Star                                |00 26 17.2941289536 -26 16 49.295834220|040.0938233084558 -84.3202274625774|   17.476 5.260   |10.28    |F3/5V          |    ~     ~    |    1|  335.267   pc  |  -2.5965     +2.5965    |paral   |2020yCat.1350....0G
582 |CD-26 135                                                                                                |Spectroscopic Binary                |00 26 54.9968224896 -25 48 14.692386672|045.1176546353336 -84.3553651284076|-82.226 -16.480   |10.12    |~              |    ~     ~    |    1|  226.267   pc  |  -3.3600     +3.3600    |ST-L    |2020AJ....160...83S
583 |HD 2308                                                                                                  |Star                                |00 26 43.9183782432 -26 43 24.144847248|035.7332328849089 -84.4787881722885|  18.439 -1.741   |10.313   |F7/G0V         |    ~     ~    |    1|  282.803   pc  |  -4.5810     +4.5810    |ST-L    |2020AJ....160...83S
584 |CD-27 130                                                                                                |Star                                |00 28 22.4266888944 -26 21 34.433421084|040.1170725302334 -84.7942210152770|  -0.372 -9.491   |10.218   |~              |    ~     ~    |    1|  777.575   pc  | -25.6600    +25.6600    |ST-L    |2020AJ....160...83S
585 |HD 2573                                                                                                  |Double or Multiple Star             |00 29 07.33108 -27 00 37.2516          |033.02025007 -85.03121171          |   -1.79 -22.93   |8.02     |G6III          |    ~     ~    |    0|                |                         |        |                   
586 |HD 2650                                                                                                  |Double or Multiple Star             |00 29 57.39395 -27 14 43.5480          |030.30025722 -85.22190092          |   67.48 -20.33   |9.44     |F8/G0V         |    ~     ~    |    1|  180.877   pc  |  -2.1470     +2.1470    |ST-L    |2020AJ....160...83S
587 |HD 2199                                                                                                  |High Proper Motion Star             |00 25 45.6117049608 -27 42 36.686693772|025.6275710216054 -84.2727586308712| 40.045 -35.777   |6.87     |K2III          |    ~     ~    |    1|  179.999   pc  |  -0.6545     +0.6545    |paral   |2020yCat.1350....0G
588 |HD 2555                                                                                                  |High Proper Motion Star             |00 29 03.3343744200 -27 23 30.408287496|028.6193750630806 -85.0193236535775| 176.448 25.362   |9.25     |K1III          |    ~     ~    |    1|   63.734   pc  |  -0.2051     +0.2051    |paral   |2020yCat.1350....0G
589 |CD-27 139                                                                                                |Star                                |00 29 54.7716016128 -26 23 27.177216252|040.4379382268736 -85.1392126590928|-18.367 -20.258   |10.799   |~              |    ~     ~    |    1|  261.352   pc  |  -4.3100     +4.3100    |ST-L    |2020AJ....160...83S
590 |CD-27 115                                                                                                |Star                                |00 25 40.3213286496 -26 52 39.642827952|033.9656648378031 -84.2559213107039|  19.385 24.985   |10.926   |~              |    ~     ~    |    1|  197.631   pc  |  -2.5240     +2.5240    |ST-L    |2020AJ....160...83S
591 |CD-27 117                                                                                                |Star                                |00 26 03.0897701472 -26 23 02.373746352|038.9763706407878 -84.2849110541111|   10.990 2.125   |9.7      |~              |    ~     ~    |    1|  579.979   pc  | -20.9562    +20.9562    |paral   |2020yCat.1350....0G
592 |CD-28 131                                                                                                |Star                                |00 27 22.3740752520 -27 25 52.731037236|028.3112494690321 -84.6448263030593|  1.741 -14.863   |10.779   |~              |    ~     ~    |    1|  906.402   pc  | -76.0300    +76.0300    |ST-L    |2020AJ....160...83S
593 |TYC 6417-184-1                                                                                           |Star                                |00 27 16.2335082384 -27 09 18.271820088|031.2672161739885 -84.6239330742902| -2.343 -23.211   |10.933   |~              |    ~     ~    |    1|  326.431   pc  |  -6.8070     +6.8070    |ST-L    |2020AJ....160...83S
594 |TYC 6417-523-1                                                                                           |Star                                |00 29 53.0076794064 -26 37 31.077743268|037.6824367406472 -85.1676056118125|    9.846 7.679   |10.95    |~              |    ~     ~    |    1|  249.128   pc  |  -1.1234     +1.1234    |paral   |2020yCat.1350....0G
595 |TYC 6417-737-1                                                                                           |Star                                |00 22 39.0178307616 -25 32 58.570408536|045.0690870631370 -83.3610113286982|  -4.823 -9.813   |10.54    |~              |    ~     ~    |    1|  920.471   pc  | -11.7770    +11.7770    |paral   |2020yCat.1350....0G
596 |TYC 6420-701-1                                                                                           |Star                                |00 22 32.5474559136 -27 37 46.733959704|026.8056815222503 -83.5666899897045|   0.845 -3.247   |10.32    |~              |    ~     ~    |    1| 1094.331   pc  | -17.8437    +17.8437    |paral   |2020yCat.1350....0G
597 |CD-25 68                                                                                                 |Star                                |00 15 14.0113524240 -25 09 20.806786440|044.5514961532936 -81.6410652127375|-20.628 -17.265   |10.82    |A5             |    ~     ~    |    1|  551.390   pc  |  -6.6279     +6.6279    |paral   |2020yCat.1350....0G
598 |HD 1589                                                                                                  |High Proper Motion Star             |00 19 57.9644486976 -25 07 19.005241080|047.0280159403339 -82.6581232189676|13.935 -114.775   |7.46     |K1III          |    ~     ~    |    1|  140.237   pc  |  -0.4641     +0.4641    |paral   |2020yCat.1350....0G
599 |HD 1747                                                                                                  |Star                                |00 21 33.6035229456 -25 04 31.903811400|048.2785212698034 -82.9867302385169|   -4.594 2.522   |8.75     |K1III          |    ~     ~    |    1|  357.807   pc  |  -2.7142     +2.7142    |paral   |2020yCat.1350....0G
600 |HD 1814                                                                                                  |Star                                |00 22 26.1182310096 -24 59 14.376209712|049.5085829188086 -83.1449605422268|   32.301 5.383   |8.59     |K0III          |    ~     ~    |    1|  338.662   pc  |  -3.1081     +3.1081    |paral   |2020yCat.1350....0G
601 |HD 1102                                                                                                  |Star                                |00 15 15.5635378392 -22 53 27.309608196|058.2988713600225 -80.7770253859449|  7.069 -14.879   |8.12     |K0III          |    ~     ~    |    1|  305.027   pc  |  -2.5772     +2.5772    |paral   |2020yCat.1350....0G
602 |CD-23 69                                                                                                 |High Proper Motion Star             |00 15 50.9097457800 -22 32 04.039094292|060.6388474750640 -80.7142911248946|  58.194 -0.155   |10.470   |~              |    ~     ~    |    1|  209.535   pc  | -11.2900    +11.2900    |ST-L    |2020AJ....160...83S
603 |CD-23 72                                                                                                 |Star                                |00 16 16.5547797408 -22 34 40.787827716|060.7285469582094 -80.8211861940606| 16.204 -25.077   |9.57     |G0             |    ~     ~    |    1|  583.737   pc  |  -6.0313     +6.0313    |paral   |2020yCat.1350....0G
604 |HD 1205                                                                                                  |Double or Multiple Star             |00 16 23.4671697024 -22 35 16.826562672|060.7622294742235 -80.8490902160626| 18.034 -35.182   |7.90     |G3V            |0.0033  0.0    |    1|  101.635   pc  |  -3.8437     +3.8437    |paral   |2020yCat.1350....0G
605 |CD-23 86                                                                                                 |Star                                |00 18 53.5830307584 -23 17 21.315655752|058.6944026108321 -81.7007896488626|  42.025 -1.904   |10.372   |~              |    ~     ~    |    1|  169.000   pc  |  -1.6790     +1.6790    |ST-L    |2020AJ....160...83S
606 |CD-23 87                                                                                                 |High Proper Motion Star             |00 18 55.1945850216 -23 09 51.479287884|059.4655274643373 -81.6444046794131|  64.527 -4.430   |10.11    |~              |    ~     ~    |    1|  257.057   pc  |  -4.1680     +4.1680    |ST-L    |2020AJ....160...83S
607 |CD-23 91                                                                                                 |High Proper Motion Star             |00 19 06.4410581856 -22 54 47.870768052|061.0924620339992 -81.5529518175342| 23.638 -49.615   |9.658    |~              |    ~     ~    |    1|  205.953   pc  |  -3.7360     +3.7360    |ST-L    |2020AJ....160...83S
608 |HD 1765                                                                                                  |High Proper Motion Star             |00 21 51.0226918368 -22 38 34.742772132|065.0893157047405 -81.9319233129718|-34.543 -56.711   |8.43     |F7V            |    ~     ~    |    1|  155.829   pc  |  -0.5682     +0.5682    |paral   |2020yCat.1350....0G
609 |HD 1766                                                                                                  |Double or Multiple Star             |00 21 52.48379 -23 00 28.7149          |062.93308849 -82.14179425          | 133.41 -113.68   |7.60     |G1V            |    ~     ~    |    0|                |                         |        |                   
610 |CD-23 115                                                                                                |Star                                |00 22 06.5381585064 -22 55 51.578672088|063.6203754462890 -82.1443192006876|  13.426 -3.892   |9.62     |~              |    ~     ~    |    1|  468.165   pc  |  -6.1808     +6.1808    |paral   |2020yCat.1350....0G
611 |CD-23 119                                                                                                |Spectroscopic Binary                |00 22 24.7546144896 -23 01 18.442651872|063.3487855792712 -82.2527999317164|  25.207 -5.047   |10.347   |~              |    ~     ~    |    1|  612.164   pc  | -21.0300    +21.0300    |ST-L    |2020AJ....160...83S
612 |CD-24 87                                                                                                 |Star                                |00 19 03.2039763528 -23 26 13.332717780|057.9157242951454 -81.8043158647030|   9.460 -9.295   |9.680    |~              |    ~     ~    |    1|  505.771   pc  | -15.6500    +15.6500    |ST-L    |2020AJ....160...83S
613 |CD-24 98                                                                                                 |Star                                |00 20 20.1498972264 -23 40 58.938697992|057.3518837207935 -82.1794382666141|      -2.6 -5.3   |10.05    |~              |    ~     ~    |    1|  199.747   pc  | +26.828      +1         |ST-L    |2017AJ....153...75K
614 |HD 1667                                                                                                  |Star                                |00 20 48.5796987504 -23 37 48.805358052|058.0730643093028 -82.2502852407081|    3.834 2.329   |6.75     |F0IV           |    ~     ~    |    1|  138.303   pc  |  -0.5337     +0.5337    |paral   |2020yCat.1350....0G
615 |CD-24 105                                                                                                |Star                                |00 20 52.3112297208 -23 33 49.300515180|058.5560528347391 -82.2308739442080|  7.807 -11.057   |9.25     |~              |    ~     ~    |    1|  647.417   pc  |  -6.9998     +6.9998    |paral   |2020yCat.1350....0G
616 |HD 1776                                                                                                  |Star                                |00 21 51.3789654504 -23 23 11.277475692|060.5378597503411 -82.3385493083195| 23.481 -11.405   |8.96     |F5V            |    ~     ~    |    1|  125.554   pc  |  -0.2932     +0.2932    |paral   |2020yCat.1350....0G
617 |HD 1096                                                                                                  |Star                                |00 15 09.6956277384 -23 53 19.120573032|052.5249399590851 -81.2003454383136|   11.127 0.269   |10.06    |G2V            |    ~     ~    |    1|  115.674   pc  |  -0.3037     +0.3037    |paral   |2020yCat.1350....0G
618 |CD-24 71                                                                                                 |Star                                |00 15 50.2496727936 -24 07 22.923195492|051.4942623253879 -81.4339263241867|   19.809 5.183   |10.44    |~              |    ~     ~    |    1|  458.127   pc  |  -4.0087     +4.0087    |paral   |2020yCat.1350....0G
619 |HD 1504                                                                                                  |Star                                |00 19 09.1270339848 -24 15 09.942707232|052.7155883301014 -82.1809160876619|   12.621 7.144   |9.08     |G8III          |    ~     ~    |    1|  229.674   pc  |  -0.9864     +0.9864    |paral   |2020yCat.1350....0G
620 |CD-24 107                                                                                                |Star                                |00 21 00.5415624096 -24 15 09.772439904|054.0047298344380 -82.5680873682965|   -8.565 2.211   |10.854   |~              |    ~     ~    |    1|  270.110   pc  |  -5.1800     +5.1800    |ST-L    |2020AJ....160...83S
621 |CD-24 110                                                                                                |High Proper Motion Star             |00 22 18.9248741472 -24 07 34.168372140|055.8995144097964 -82.7835944254005|  2.209 -50.138   |10.457   |~              |    ~     ~    |    1|  436.812   pc  | -11.6100    +11.6100    |ST-L    |2020AJ....160...83S
