C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:54:04

dec< 0&rah >=10.75&rah< 11.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6353

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
23  |HD 93451                                                                                                 |Star                               |10 47 16.1171354688 -01 52 35.744478744|252.0831648743783 +48.3474498295506|  -3.504 -4.168   |8.81     |F3IV             |    ~     ~    |    1|  277.747   pc  |  -1.7897     +1.7897    |paral   |2020yCat.1350....0G
24  |HD 93488                                                                                                 |Star                               |10 47 33.2922382584 -02 05 34.699781112|252.3851782066994 +48.2399332530195| -0.803 -14.895   |8.41     |K2III            |    ~     ~    |    1|  219.602   pc  |  -1.1767     +1.1767    |paral   |2020yCat.1350....0G
25  |BD-01 2445                                                                                               |Star                               |10 48 34.0323318696 -01 48 13.846547988|252.3622607585558 +48.6237818700889| 25.786 -17.756   |9.59     |G0               |    ~     ~    |    1|  208.668   pc  |  -0.8491     +0.8491    |paral   |2020yCat.1350....0G
26  |HD 93655                                                                                                 |Star                               |10 48 40.5554431800 -01 57 32.024546604|252.5530656590307 +48.5297506953755|  -19.738 8.108   |5.93     |M1III            |    ~     ~    |    1|  172.034   pc  |  -1.8409     +1.8409    |paral   |2020yCat.1350....0G
27  |HD 93831                                                                                                 |Star                               |10 49 56.3333552040 -01 57 32.440450932|252.9014372626207 +48.7455738495228| -16.570 -4.699   |8.18     |K5III            |    ~     ~    |    1|  578.503   pc  |  -9.1364     +9.1364    |paral   |2020yCat.1350....0G
28  |BD-01 2453                                                                                               |Star                               |10 50 57.3184319808 -02 03 22.995129852|253.2844947148976 +48.8470603934539|  -14.260 1.367   |9.72     |M0               |    ~     ~    |    1| 1279.263   pc  | -36.1670    +36.1670    |paral   |2020yCat.1350....0G
29  |BD-01 2439                                                                                               |Star                               |10 46 10.9651847640 -02 38 06.698212548|252.5692515886018 +47.6104424953121|    6.475 4.892   |10.223   |G5               |    ~     ~    |    1|  841.784   pc  | -43.3900    +43.3900    |ST-L    |2020AJ....160...83S
30  |HD 93275                                                                                                 |Star                               |10 46 11.6425912416 -02 26 36.535695612|252.3766680345336 +47.7516875526598|  -26.355 5.458   |8.60     |K0/1III          |    ~     ~    |    1|  366.488   pc  |  -4.1503     +4.1503    |paral   |2020yCat.1350....0G
31  |BD-01 2449                                                                                               |Star                               |10 49 35.1227922312 -02 25 47.153071488|253.2876843463780 +48.3405825579913|-10.555 -10.625   |9.65     |K5               |    ~     ~    |    1|  498.405   pc  |  -4.1732     +4.1732    |paral   |2020yCat.1350....0G
32  |HD 94101                                                                                                 |Star                               |10 51 41.9270663808 -02 35 47.813362944|254.0447466535110 +48.5737953283672|  -3.940 -5.000   |7.95     |K2III            |    ~     ~    |    1|  484.707   pc  |  -6.6253     +6.6253    |paral   |2020yCat.1350....0G
33  |HD 94100                                                                                                 |Star                               |10 51 43.1824721832 -02 28 02.724931524|253.9192960815344 +48.6729990719974| 20.729 -28.234   |8.55     |F6/7V            |    ~     ~    |    1|   66.957   pc  |  -0.1358     +0.1358    |paral   |2020yCat.1350....0G
34  |BD-01 2438                                                                                               |High Proper Motion Star            |10 45 35.3294331120 -02 38 46.209423228|252.4206835281447 +47.5005898188169| -87.609 -0.179   |10.110   |~                |    ~     ~    |    1|  153.878   pc  |  -2.1060     +2.1060    |ST-L    |2020AJ....160...83S
35  |TYC 4913-282-1                                                                                           |Star                               |10 46 03.3507383808 -02 09 14.122661544|252.0419388045814 +47.9376132762929| -7.408 -16.798   |10.66    |~                |    ~     ~    |    1|  215.063   pc  |  -1.0962     +1.0962    |paral   |2020yCat.1350....0G
36  |2MASS J10460964-0151060                                                                                  |Chemically Peculiar Star           |10 46 09.6375059160 -01 51 06.006363660|251.7570979113251 +48.1738232049620| -21.593 -6.648   |9.9      |~                |    ~     ~    |    1| 3110.420   pc  |-191.5593   +191.5593    |paral   |2020yCat.1350....0G
37  |BD-01 2447                                                                                               |Star                               |10 49 08.5637137032 -01 49 19.627850856|252.5395145638407 +48.7092833887809|-10.724 -26.132   |10.04    |~                |    ~     ~    |    1|  754.262   pc  | -10.6386    +10.6386    |paral   |2020yCat.1350....0G
38  |TYC 4916-653-1                                                                                           |Star                               |10 49 35.9993484168 -02 31 24.819654216|253.3873732931277 +48.2741408556391| -22.551 18.499   |10.06    |~                |    ~     ~    |    1|  620.925   pc  |  -7.7495     +7.7495    |paral   |2020yCat.1350....0G
39  |TYC 4914-535-1                                                                                           |Star                               |10 50 45.4733407896 -01 56 05.255495844|253.1038424096777 +48.9027459196852|  0.935 -42.720   |10.357   |~                |    ~     ~    |    1|  201.108   pc  |  -3.6370     +3.6370    |ST-L    |2020AJ....160...83S
40  |TYC 4914-122-1                                                                                           |Star                               |10 51 38.9138971296 -01 39 43.773620292|253.0695297300693 +49.2539675247815|  -24.104 0.285   |10.870   |~                |    ~     ~    |    1| 1354.510   pc  | -99.7700    +99.7700    |ST-L    |2020AJ....160...83S
41  |TYC 4913-44-1                                                                                            |Star                               |10 47 30.8654971632 -02 24 58.146984468|252.7063312718767 +47.9978974411517|  11.547 -9.532   |10.84    |~                |    ~     ~    |    1|  311.701   pc  |  -5.2174     +5.2174    |paral   |2020yCat.1350....0G
42  |TYC 4913-56-1                                                                                            |Star                               |10 47 54.5528144136 -02 24 38.954327148|252.8084344846035 +48.0692464437299|   -7.707 4.365   |10.78    |~                |    ~     ~    |    1|  249.657   pc  |  -1.2216     +1.2216    |paral   |2020yCat.1350....0G
43  |TYC 4913-146-1                                                                                           |Star                               |10 45 13.8756951000 -02 21 42.897618504|252.0343258469852 +47.6449272387992| -3.805 -10.965   |10.39    |~                |    ~     ~    |    1|  696.935   pc  | -31.4500    +31.4500    |ST-L    |2020AJ....160...83S
44  |TYC 4913-278-1                                                                                           |Star                               |10 45 58.1327403840 -01 05 28.331107728|250.9057241541220 +48.6851754331551| -21.218 -0.317   |10.95    |~                |    ~     ~    |    1|  438.404   pc  |  -9.8021     +9.8021    |paral   |2020yCat.1350....0G
45  |TYC 4913-336-1                                                                                           |Star                               |10 49 30.0440395656 -00 09 05.784026472|250.8588749946459 +49.9741382794989|  -1.094 -1.092   |10.6     |~                |    ~     ~    |    1|  905.715   pc  | -12.9611    +12.9611    |paral   |2020yCat.1350....0G
46  |TYC 4913-753-1                                                                                           |High Proper Motion Star            |10 47 24.3601229856 -01 50 25.464052716|252.0829232264624 +48.3973297895393| -51.188 26.791   |10.316   |~                |    ~     ~    |    1|  286.064   pc  |  -5.2850     +5.2850    |ST-L    |2020AJ....160...83S
47  |TYC 4913-793-1                                                                                           |Star                               |10 48 22.9829820936 -02 04 22.250798004|252.5906000461604 +48.3966347344454|  -10.133 6.061   |10.27    |~                |    ~     ~    |    1|  755.059   pc  | -10.1480    +10.1480    |paral   |2020yCat.1350....0G
