C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:54:04

dec< 0&rah >=10.75&rah< 11.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6353

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
715 |CD-31 8535                                                                                               |Star                               |10 48 09.5516208336 -32 01 08.347574712|274.5465646934082 +23.9708956736222|  0.704 -25.133   |9.41     |F8               |    ~     ~    |    1|  103.528   pc  |  -0.1715     +0.1715    |paral   |2020yCat.1350....0G
716 |HD 93657                                                                                                 |Star                               |10 48 14.1108874200 -31 41 16.248875352|274.3806753675650 +24.2658344439980| -31.118 -1.910   |5.858    |A1V              |    ~     ~    |    1|  147.844   pc  |  -0.7760     +0.7760    |paral   |2020yCat.1350....0G
717 |CD-31 8541                                                                                               |Star                               |10 48 31.1330961048 -31 50 56.039934984|274.5261085700723 +24.1563787247026|   14.235 3.747   |10.15    |~                |    ~     ~    |    1|  704.027   pc  |  -8.6739     +8.6739    |paral   |2020yCat.1350....0G
718 |HD 94001                                                                                                 |Star                               |10 50 37.6229104992 -32 11 29.793585804|275.1373230620062 +24.0794190742693|  -4.965 -3.182   |9.70     |A7V              |    ~     ~    |    0|                |                         |        |                   
719 |HD 94047                                                                                                 |Star                               |10 50 51.1213126272 -31 56 24.429305976|275.0476359668971 +24.3219617616052|   0.675 -6.902   |9.04     |A4/5V            |    ~     ~    |    1|  286.936   pc  |  -6.6195     +6.6195    |paral   |2020yCat.1350....0G
720 |CD-31 8586                                                                                               |Star                               |10 51 32.4122944176 -31 41 37.276391868|275.0550631148829 +24.6084146069636| -11.140 -2.985   |9.92     |F0               |    ~     ~    |    1|  260.532   pc  |  -0.9231     +0.9231    |paral   |2020yCat.1350....0G
721 |CD-31 8588                                                                                               |Star                               |10 51 44.8486464264 -31 40 38.073420480|275.0885390089146 +24.6443131884022|  -12.178 2.743   |10.47    |A8               |    ~     ~    |    1|  717.309   pc  | -12.9662    +12.9662    |paral   |2020yCat.1350....0G
722 |CD-31 8589                                                                                               |Star                               |10 51 45.0265581432 -31 56 22.705322640|275.2298952523252 +24.4155872480943|    4.062 6.517   |9.97     |~                |    ~     ~    |    1| 1033.912   pc  | -21.5933    +21.5933    |paral   |2020yCat.1350....0G
723 |HD 93817                                                                                                 |Star                               |10 49 23.8961868864 -32 18 27.127951092|274.9522771122040 +23.8506300397434|  -18.501 5.924   |8.42     |K1III            |    ~     ~    |    1|  336.123   pc  |  -2.6098     +2.6098    |paral   |2020yCat.1350....0G
724 |HD 94093                                                                                                 |High Proper Motion Star            |10 51 13.3918724544 -32 25 48.239929740|275.3852503944615 +23.9330159450659|  104.830 2.234   |8.89     |G2V              |    ~     ~    |    1|  108.781   pc  |  -0.2142     +0.2142    |paral   |2020yCat.1350....0G
725 |CD-31 8596                                                                                               |Star                               |10 52 22.4914246992 -32 33 22.321841580|275.6845306630941 +23.9406578715096|  -7.933 -1.534   |10.46    |~                |    ~     ~    |    1|  949.037   pc  | -14.8611    +14.8611    |paral   |2020yCat.1350....0G
726 |CPD-29 3328                                                                                              |Star                               |10 46 45.4004959632 -29 55 51.630741192|273.0993441163072 +25.6213979416147|  -2.651 -4.703   |10.29    |~                |    ~     ~    |    1|  748.447   pc  |  -9.7470     +9.7470    |paral   |2020yCat.1350....0G
727 |NGC 3390                           NGC 3390                                                              |LINER-type Active Galaxy Nucleus   |10 48 04.343 -31 32 00.04              |274.262896 +24.382256              |            ~ ~   |13.41    |~                |2.410 0.482    |    1|   42.24    Mpc |                         |redshift|2007ApJ...655..790C
728 |CD-30 8692                                                                                               |Star                               |10 45 05.8573281648 -31 12 13.140374436|273.4785340277674 +24.3450690774178|  -25.518 4.973   |9.89     |~                |    ~     ~    |    1|  649.815   pc  |  -6.0383     +6.0383    |paral   |2020yCat.1350....0G
729 |CD-30 8696                                                                                               |Spectroscopic Binary               |10 45 16.4802094896 -31 19 12.155700072|273.5794963939665 +24.2643702354184| -18.892 11.551   |9.40     |~                |    ~     ~    |    1|  303.104   pc  |  -2.1222     +2.1222    |paral   |2020yCat.1350....0G
730 |CD-29 8588                                                                                               |Star                               |10 46 10.3017201648 -30 37 25.657878468|273.3704422106640 +24.9612291860685| -13.974 -1.570   |10.24    |~                |    ~     ~    |    1|  329.327   pc  |  -1.8112     +1.8112    |paral   |2020yCat.1350....0G
731 |CD-30 8721                                                                                               |Star                               |10 47 23.9278846824 -30 57 55.979226324|273.8119594437758 +24.8005716804186|    6.069 0.541   |9.73     |~                |    ~     ~    |    1|  546.866   pc  |  -4.7551     +4.7551    |paral   |2020yCat.1350....0G
732 |CD-31 8523                                                                                               |Star                               |10 47 27.8418869832 -31 42 57.692458116|274.2405216570195 +24.1592592080318|  -28.088 9.812   |9.81     |~                |    ~     ~    |    0|                |                         |        |                   
733 |CD-30 8728                                                                                               |Star                               |10 48 14.0264383032 -30 40 03.062492724|273.8169471207652 +25.1483375818215| -28.176 11.131   |10.61    |~                |    ~     ~    |    1|  378.043   pc  | -32.7708    +32.7708    |paral   |2020yCat.1350....0G
734 |CD-30 8729                                                                                               |Star                               |10 48 25.4984842056 -31 29 59.564409252|274.3159525122479 +24.4488340400980| 21.339 -26.127   |10.07    |~                |    ~     ~    |    1|  264.781   pc  |  -8.3009     +8.3009    |paral   |2020yCat.1350....0G
735 |CD-29 8632                                                                                               |Star                               |10 49 14.5706465496 -30 20 28.770446868|273.8435616834358 +25.5395716376750| -23.515 -1.856   |10.383   |~                |    ~     ~    |    1|  180.344   pc  |  -1.7320     +1.7320    |ST-L    |2020AJ....160...83S
736 |CD-30 8746                                                                                               |Star                               |10 49 18.7952850432 -31 03 42.220223928|274.2561991919109 +24.9232263047095| -25.600 -7.685   |10.30    |~                |    ~     ~    |    1|  222.613   pc  |  -0.8672     +0.8672    |paral   |2020yCat.1350....0G
737 |CD-31 8556                                                                                               |Long-Period Variable               |10 49 45.0685120512 -31 56 26.757281868|274.8249973835434 +24.2064217652510|  -14.866 0.635   |10.23    |~                |    ~     ~    |    1| 1849.454   pc  |-111.1657   +111.1657    |paral   |2020yCat.1350....0G
738 |CD-29 8641                                                                                               |High Proper Motion Star            |10 49 53.9919044496 -30 36 14.219126496|274.1247482161977 +25.3828568778859|-75.366 -30.667   |10.258   |~                |    ~     ~    |    1|  114.180   pc  |  -0.7238     +0.7238    |ST-L    |2020AJ....160...83S
739 |CPD-30 3206                                                                                              |Star                               |10 50 16.9310558232 -31 04 54.378652260|274.4657909119100 +25.0089346407495| -34.591 -2.801   |10.348   |~                |    ~     ~    |    1|  161.901   pc  |  -2.6910     +2.6910    |ST-L    |2020AJ....160...83S
740 |CD-29 8649                                                                                               |Star                               |10 50 31.9844713560 -30 06 59.615317656|273.9868559359217 +25.8735193005593|  10.865 -7.878   |10.57    |~                |    ~     ~    |    1|  247.617   pc  |  -0.9626     +0.9626    |paral   |2020yCat.1350....0G
741 |CD-31 8580                                                                                               |Star                               |10 50 53.5500838656 -32 22 24.722305356|275.2883981819098 +23.9482680032298| 12.388 -10.327   |10.61    |~                |    ~     ~    |    1|  829.531   pc  | -10.4595    +10.4595    |paral   |2020yCat.1350....0G
742 |CD-30 8772                                                                                               |Star                               |10 51 37.7128285584 -31 09 23.577405084|274.7832110363333 +25.0859280229482|  -23.982 0.392   |9.955    |~                |    ~     ~    |    1|  871.488   pc  | -40.6700    +40.6700    |ST-L    |2020AJ....160...83S
743 |CD-30 8781                                                                                               |Star                               |10 52 00.1079324832 -31 09 35.324075016|274.8618459701381 +25.1222119762018| -17.018 -2.739   |9.88     |~                |    ~     ~    |    1|  753.069   pc  |  -9.0171     +9.0171    |paral   |2020yCat.1350....0G
744 |CD-29 8672                                                                                               |Star                               |10 52 08.1797790960 -30 02 03.890689368|274.2767700112834 +26.1167256635371|  12.525 -6.706   |9.78     |~                |    ~     ~    |    1|  196.788   pc  |  -0.7784     +0.7784    |paral   |2020yCat.1350....0G
745 |TYC 6646-766-1                                                                                           |Star                               |10 48 30.6622804104 -29 59 43.794129408|273.4989021330635 +25.7588468178448|  -4.251 12.204   |10.75    |~                |    ~     ~    |    1|  362.621   pc  |  -1.9724     +1.9724    |paral   |2020yCat.1350....0G
746 |TYC 6646-829-1                                                                                           |Star                               |10 50 54.8686635048 -29 48 47.851566984|273.8985496733168 +26.1776545176919|    1.980 1.262   |10.92    |~                |    ~     ~    |    1| 1794.688   pc  | -59.5867    +59.5867    |paral   |2020yCat.1350....0G
747 |TYC 6646-949-1                                                                                           |Star                               |10 45 50.5612603560 -29 40 02.816622588|272.7604791594199 +25.7459757235185|  -19.014 7.141   |10.67    |~                |    ~     ~    |    1|  841.893   pc  | -12.4037    +12.4037    |paral   |2020yCat.1350....0G
748 |TYC 7186-73-1                                                                                            |Star                               |10 46 16.5280861248 -31 28 12.665420508|273.8649425425296 +24.2437834569369|  -13.115 2.444   |10.46    |~                |    ~     ~    |    1|  348.008   pc  |  -1.7561     +1.7561    |paral   |2020yCat.1350....0G
749 |TYC 7186-457-1                                                                                           |High Proper Motion Star            |10 46 50.3151694104 -31 42 59.092862904|274.1147991394025 +24.0919796971548|-52.639 -16.223   |10.57    |~                |    ~     ~    |    1|  256.713   pc  |  -0.9753     +0.9753    |paral   |2020yCat.1350....0G
750 |TYC 7186-660-1                                                                                           |Star                               |10 46 39.3720459648 -31 08 26.448866628|273.7585045884097 +24.5690408637461|  -15.804 4.892   |10.78    |~                |    ~     ~    |    1|  308.880   pc  |  -2.0035     +2.0035    |paral   |2020yCat.1350....0G
751 |TYC 7186-840-1                                                                                           |Star                               |10 46 43.7938470264 -30 57 47.074371984|273.6743878532627 +24.7301230700362| -30.901 12.492   |10.25    |~                |    ~     ~    |    1|  642.880   pc  |  -5.6621     +5.6621    |paral   |2020yCat.1350....0G
752 |CD-29 8576                                                                                               |Star                               |10 45 26.4792766536 -30 29 30.097051440|273.1468456988828 +24.9942797500345|  7.011 -10.028   |10.424   |~                |    ~     ~    |    1|  588.932   pc  | -18.7300    +18.7300    |ST-L    |2020AJ....160...83S
753 |TYC 7186-1979-1                                                                                          |Star                               |10 47 07.4461755744 -30 02 24.121734252|273.2368864530200 +25.5682063980828|  -17.936 0.111   |10.33    |~                |    ~     ~    |    1|  291.231   pc  |  -1.5182     +1.5182    |paral   |2020yCat.1350....0G
754 |TYC 7190-1486-1                                                                                          |Star                               |10 45 07.3044092664 -32 17 22.802433432|274.0887865646279 +23.4133556794629|  -16.801 3.293   |10.72    |~                |    ~     ~    |    1|  520.535   pc  |  -5.5817     +5.5817    |paral   |2020yCat.1350....0G
755 |TYC 7199-66-1                                                                                            |Star                               |10 50 10.2645737640 -31 43 48.282853512|274.7959481926880 +24.4336735256494| 12.737 -13.457   |10.55    |~                |    ~     ~    |    1|  578.838   pc  |  -6.1650     +6.1650    |paral   |2020yCat.1350....0G
756 |TYC 7199-79-1                                                                                            |Star                               |10 49 19.9092691992 -31 44 29.160185424|274.6318597769574 +24.3355139888995|  -7.927 -3.458   |10.85    |~                |    ~     ~    |    1|  362.937   pc  |  -4.5049     +4.5049    |paral   |2020yCat.1350....0G
757 |TYC 7199-571-1                                                                                           |Star                               |10 48 59.9754928344 -31 23 59.554944420|274.3778073868195 +24.5966594116100|  -38.413 6.324   |10.12    |~                |    ~     ~    |    1|  256.430   pc  |  -7.1083     +7.1083    |paral   |2020yCat.1350....0G
758 |TYC 7199-618-1                                                                                           |High Proper Motion Star            |10 50 25.3703028240 -31 10 38.545121424|274.5468396123443 +24.9407594352450|-69.104 -14.907   |10.67    |~                |    ~     ~    |    1|  153.631   pc  |  -0.3847     +0.3847    |paral   |2020yCat.1350....0G
759 |TYC 7199-743-1                                                                                           |Star                               |10 49 01.3893437472 -31 08 31.503312492|274.2410637746042 +24.8226036304461| -2.370 -10.228   |10.28    |~                |    ~     ~    |    1|  815.195   pc  | -12.6928    +12.6928    |paral   |2020yCat.1350....0G
760 |TYC 7199-771-1                                                                                           |Star                               |10 51 50.9993322288 -31 07 32.923618284|274.8121732696073 +25.1359495206739|  -36.655 8.548   |10.87    |~                |    ~     ~    |    1|  251.908   pc  |  -0.9582     +0.9582    |paral   |2020yCat.1350....0G
761 |TYC 7199-869-1                                                                                           |Star                               |10 51 21.7368332952 -30 12 40.317300576|274.2119985235007 +25.8803374368097|   4.997 -7.567   |10.956   |~                |    ~     ~    |    1| 1112.910   pc  | -51.3400    +51.3400    |ST-L    |2020AJ....160...83S
762 |TYC 7199-903-1                                                                                           |Star                               |10 50 29.9781552456 -30 11 49.662344076|274.0244574421579 +25.8000467725595|  -10.019 4.520   |10.78    |~                |    ~     ~    |    1| 1506.251   pc  | -36.9813    +36.9813    |paral   |2020yCat.1350....0G
763 |TYC 7199-922-1                                                                                           |Star                               |10 52 04.0246088016 -30 11 09.847191228|274.3454510853085 +25.9773848198512|    0.526 3.607   |10.23    |~                |    ~     ~    |    1| 1602.564   pc  | -41.3482    +41.3482    |paral   |2020yCat.1350....0G
764 |TYC 7199-1312-1                                                                                          |Star                               |10 51 59.7608826744 -30 49 34.441952304|274.6799099476576 +25.4123950209430|  7.989 -37.749   |10.64    |~                |    ~     ~    |    1|  155.955   pc  |  -1.1675     +1.1675    |paral   |2020yCat.1350....0G
765 |TYC 7199-1604-1                                                                                          |High Proper Motion Star            |10 49 53.6223750720 -30 57 48.682493532|274.3212776060055 +25.0703080259369|-86.936 -11.792   |10.97    |~                |    ~     ~    |    1|  198.035   pc  |  -1.6275     +1.6275    |paral   |2020yCat.1350....0G
766 |TYC 7199-1641-1                                                                                          |Star                               |10 51 53.7485332248 -30 57 04.433823288|274.7270286633004 +25.2929232723166| -15.581 20.062   |10.83    |~                |    ~     ~    |    1|  180.343   pc  |  -0.5041     +0.5041    |paral   |2020yCat.1350....0G
767 |TYC 7199-1673-1                                                                                          |Star                               |10 50 23.8381723728 -30 56 48.374256984|274.4156141201627 +25.1384265629716|  -2.932 -5.251   |10.46    |~                |    ~     ~    |    1|  318.796   pc  |  -1.6363     +1.6363    |paral   |2020yCat.1350....0G
768 |TYC 7199-1680-1                                                                                          |Star                               |10 51 43.3201956312 -30 37 47.479509660|274.5161994451381 +25.5544941120722|  -3.511 -0.809   |10.82    |~                |    ~     ~    |    1|  959.509   pc  | -13.9019    +13.9019    |paral   |2020yCat.1350....0G
769 |TYC 7199-1841-1                                                                                          |Star                               |10 51 01.4779192944 -30 52 52.701394116|274.5090882400122 +25.2618631932592|  -0.712 -7.084   |10.90    |~                |    ~     ~    |    1|  448.169   pc  | -11.8103    +11.8103    |paral   |2020yCat.1350....0G
770 |TYC 7203-6-1                                                                                             |Star                               |10 51 03.3762515592 -32 14 14.899065360|275.2486258314181 +24.0838797730828|  0.183 -34.287   |10.95    |~                |    ~     ~    |    1|  134.407   pc  |  -0.2511     +0.2511    |paral   |2020yCat.1350....0G
771 |TYC 7203-318-1                                                                                           |Star                               |10 49 11.8934095032 -32 02 36.920510664|274.7691166360711 +24.0590581417387|  -22.594 2.165   |10.49    |~                |    ~     ~    |    1|  239.848   pc  |  -0.8284     +0.8284    |paral   |2020yCat.1350....0G
772 |TYC 7203-322-1                                                                                           |Star                               |10 50 05.7961425168 -32 05 10.216910508|274.9734285243564 +24.1160627948720|   -2.602 1.271   |10.86    |~                |    ~     ~    |    1|  330.480   pc  |  -2.3591     +2.3591    |paral   |2020yCat.1350....0G
773 |TYC 7203-698-1                                                                                           |Star                               |10 48 08.8787203872 -32 20 17.431616688|274.7182635963537 +23.6930099512114|  -23.525 7.687   |10.75    |~                |    ~     ~    |    1|  370.645   pc  |  -1.8409     +1.8409    |paral   |2020yCat.1350....0G
774 |TYC 7203-804-1                                                                                           |Spectroscopic Binary               |10 52 28.7678321208 -32 26 35.789852400|275.6459070828981 +24.0501730692766|   -1.731 1.790   |10.68    |~                |    ~     ~    |    1|  992.162   pc  | -38.2926    +38.2926    |paral   |2020yCat.1350....0G
775 |TYC 7203-984-1                                                                                           |Star                               |10 49 19.6018528392 -32 24 58.058120196|274.9965398407781 +23.7487455552637| 16.223 -10.544   |10.91    |~                |    ~     ~    |    1|  387.237   pc  |  -8.5773     +8.5773    |paral   |2020yCat.1350....0G
776 |TYC 7203-1783-1                                                                                          |Star                               |10 48 09.0036078264 -32 14 43.739041632|274.6682410799226 +23.7736025052320| -19.141 23.899   |10.602   |~                |    ~     ~    |    1|  539.847   pc  | -15.9500    +15.9500    |ST-L    |2020AJ....160...83S
777 |CD-31 8514                                                                                               |High Proper Motion Star            |10 46 51.4142272176 -32 31 05.047924908|274.5589296398730 +23.4010366939841| -59.959 30.910   |10.25    |G5               |    ~     ~    |    1|  160.573   pc  |  -0.5982     +0.5982    |paral   |2020yCat.1350....0G
778 |CD-31 8560                                                                                               |Star                               |10 49 45.6435903360 -32 36 56.778618060|275.1909226684160 +23.6201292473918|   19.711 0.032   |10.013   |~                |    ~     ~    |    1|  440.135   pc  | -10.2600    +10.2600    |ST-L    |2020AJ....160...83S
779 |CD-31 8585                                                                                               |Star                               |10 51 26.7288723528 -32 38 27.492317844|275.5422776938788 +23.7716168317383| -27.321 16.936   |9.14     |K2               |    ~     ~    |    1|  693.097   pc  |  -9.3194     +9.3194    |paral   |2020yCat.1350....0G
780 |CD-31 8557                                                                                               |Star                               |10 49 44.5863547272 -32 35 35.466402912|275.1752690704083 +23.6379691308842|  -19.890 0.991   |9.95     |~                |    ~     ~    |    1|  326.413   pc  |  -1.8965     +1.8965    |paral   |2020yCat.1350....0G
781 |CD-32 7617                                                                                               |Variable Star                      |10 45 39.4340985360 -33 05 08.493672228|274.6321210588978 +22.7836108583906|  -13.521 5.044   |9.13     |~                |    ~     ~    |    1|  647.375   pc  | -13.3272    +13.3272    |paral   |2020yCat.1350....0G
782 |HD 93279                                                                                                 |Star                               |10 45 45.4285008168 -33 09 49.047071796|274.6942552220696 +22.7267971099169|  -9.287 -5.227   |9.64     |A5IV             |    ~     ~    |    1|  388.818   pc  |  -2.6305     +2.6305    |paral   |2020yCat.1350....0G
783 |HD 93383                                                                                                 |Be Star                            |10 46 25.0856706792 -33 19 29.892895680|274.9115686035306 +22.6565585754895|  -31.362 0.962   |8.57     |B9.5Vne          |    ~     ~    |    1|  345.674   pc  |  -2.7602     +2.7602    |paral   |2020yCat.1350....0G
784 |HD 93465                                                                                                 |Star                               |10 46 57.0646224072 -33 24 52.434953064|275.0645116671630 +22.6345057645110| -16.888 16.166   |8.38     |A2/3V            |    ~     ~    |    1|  628.733   pc  | -10.9895    +10.9895    |paral   |2020yCat.1350....0G
785 |CD-32 7637                                                                                               |Star                               |10 47 01.5117002232 -32 54 27.028967544|274.8044760854160 +23.0816441826309| -11.098 -7.548   |9.29     |K0               |    ~     ~    |    1|  549.481   pc  |  -4.4384     +4.4384    |paral   |2020yCat.1350....0G
786 |HD 93492                                                                                                 |Star                               |10 47 06.7648941672 -33 07 18.964994988|274.9380485726886 +22.9050189373306|  -22.184 9.435   |9.58     |A1V              |    ~     ~    |    1|  470.455   pc  |  -5.5553     +5.5553    |paral   |2020yCat.1350....0G
787 |CD-32 7657                                                                                               |Star                               |10 48 54.3968701392 -33 05 03.655106304|275.2722253802679 +23.1239716445770| -25.926 -2.242   |9.15     |K2               |    ~     ~    |    1|  853.606   pc  | -13.4071    +13.4071    |paral   |2020yCat.1350....0G
788 |HD 93788                                                                                                 |Star                               |10 49 04.4481721968 -33 23 31.029545904|275.4698688781011 +22.8734771006114|  -25.479 5.776   |9.78     |F0V              |    ~     ~    |    1|  394.680   pc  |  -4.0501     +4.0501    |paral   |2020yCat.1350....0G
789 |CD-32 7666                                                                                               |Star                               |10 49 22.0327077216 -32 51 40.095182052|275.2440217582395 +23.3658054653216|  -9.493 -1.624   |10.19    |G2               |    ~     ~    |    1|  801.539   pc  | -16.9611    +16.9611    |paral   |2020yCat.1350....0G
790 |CD-32 7674                                                                                               |Star                               |10 50 03.3476521464 -33 16 27.357091176|275.6013328506859 +23.0765595692806|  -1.588 -8.193   |9.10     |K0               |    ~     ~    |    1|  437.541   pc  |  -4.4032     +4.4032    |paral   |2020yCat.1350....0G
791 |HD 94048                                                                                                 |Star                               |10 50 50.3654932848 -32 44 28.137580728|275.4739417410007 +23.6220172523174|  -20.019 7.927   |9.19     |F0V              |    ~     ~    |    1|  332.105   pc  |  -3.0331     +3.0331    |paral   |2020yCat.1350....0G
792 |CD-32 7690                                                                                               |Star                               |10 51 17.6703261048 -33 00 42.782759892|275.7086914702194 +23.4320154952198|   -6.891 2.371   |9.58     |K0               |    ~     ~    |    1| 1050.641   pc  | -17.4408    +17.4408    |paral   |2020yCat.1350....0G
793 |HD 94104                                                                                                 |Star                               |10 51 15.1931133432 -33 34 47.529895332|275.9999533992177 +22.9310219908892|  -41.166 3.570   |8.81     |F0V              |    ~     ~    |    1|  146.458   pc  |  -0.3689     +0.3689    |paral   |2020yCat.1350....0G
794 |HD 94283                                                                                                 |Star                               |10 52 28.5375438672 -33 39 18.106989948|276.2814780877400 +22.9877504499387|  -11.632 4.394   |8.00     |K3III            |    ~     ~    |    1|  602.083   pc  |  -9.4976     +9.4976    |paral   |2020yCat.1350....0G
795 |CD-33 7238                                                                                               |Star                               |10 46 12.9168281760 -33 44 28.166299584|275.0971705378997 +22.2750086885817|   -3.423 8.989   |9.39     |G5               |    ~     ~    |    1|  470.278   pc  |  -3.1847     +3.1847    |paral   |2020yCat.1350....0G
796 |HD 93544                                                                                                 |High Proper Motion Star            |10 47 21.3080957544 -34 01 30.259101648|275.4713958016122 +22.1464014138435| -74.159 17.862   |9.30     |F6V              |    ~     ~    |    1|  131.874   pc  |  -0.3113     +0.3113    |paral   |2020yCat.1350....0G
797 |HD 93590                                                                                                 |Star                               |10 47 44.1548950080 -34 13 36.034760892|275.6528519386067 +22.0100938394374| -32.588 10.280   |8.96     |A9/F0V           |    ~     ~    |    1|  319.642   pc  |  -4.1481     +4.1481    |paral   |2020yCat.1350....0G
798 |HD 93604                                                                                                 |Star                               |10 47 49.6733693016 -33 59 30.834030768|275.5456467205531 +22.2236806697132|  -34.830 2.869   |9.47     |F2(m_dD)         |    ~     ~    |    1|  178.469   pc  |  -6.7461     +6.7461    |paral   |2020yCat.1350....0G
799 |CD-33 7280                                                                                               |Star                               |10 49 29.9344960344 -33 40 59.609892720|275.7084456699205 +22.6630479512284|  -20.388 8.492   |9.60     |F8               |    ~     ~    |    1|  175.667   pc  |  -0.6696     +0.6696    |paral   |2020yCat.1350....0G
800 |HD 93905                                                                                                 |Star                               |10 49 57.0176782224 -34 03 29.464326648|275.9950554946657 +22.3814789699679|  -40.211 6.743   |5.599    |A1V              |    ~     ~    |    1|  123.254   pc  |  -1.8868     +1.8868    |paral   |2020yCat.1350....0G
801 |HD 93983                                                                                                 |High Proper Motion Star            |10 50 26.3594760408 -33 50 22.124357304|275.9758897366910 +22.6219035587897| -70.849 -2.851   |7.52     |K1III            |    ~     ~    |    1|  156.791   pc  |  -0.4966     +0.4966    |paral   |2020yCat.1350....0G
802 |HD 94017                                                                                                 |High Proper Motion Star            |10 50 37.3933045680 -34 00 18.706000428|276.0990730121464 +22.4955049115393|-287.682 12.754   |9.18     |G6V              |    ~     ~    |    1|   68.944   pc  |  -0.0803     +0.0803    |paral   |2020yCat.1350....0G
803 |CD-33 7300                                                                                               |Star                               |10 50 53.2640360040 -34 10 58.779451488|276.2439978471705 +22.3664087287355|-20.226 -11.470   |9.37     |K0               |    ~     ~    |    1|  540.804   pc  |  -4.3578     +4.3578    |paral   |2020yCat.1350....0G
804 |HD 93627                                                                                                 |Star                               |10 47 56.3437543080 -34 35 56.094637452|275.8896525100041 +21.7067527070240| -6.413 -23.982   |8.75     |K2III            |    ~     ~    |    1|  608.495   pc  |  -6.6278     +6.6278    |paral   |2020yCat.1350....0G
805 |CD-33 7265                                                                                               |Star                               |10 48 26.9989428576 -34 27 29.861830224|275.9140328787519 +21.8809216010950|  -7.615 -5.001   |9.89     |F5               |    ~     ~    |    1|  426.730   pc  |  -4.6799     +4.6799    |paral   |2020yCat.1350....0G
806 |CD-33 7286                                                                                               |High Proper Motion Star            |10 49 51.9460224552 -34 34 41.533581072|276.2514533406077 +21.9185206625881| 37.382 -62.994   |9.76     |F8               |    ~     ~    |    1|  167.445   pc  |  -0.8467     +0.8467    |paral   |2020yCat.1350....0G
807 |HD 94034                                                                                                 |Spectroscopic Binary               |10 50 44.3120796408 -34 29 10.735112940|276.3731202930927 +22.0859353400193| 18.155 -27.088   |7.93     |F2V              |    ~     ~    |    1|  145.012   pc  |  -0.4605     +0.4605    |paral   |2020yCat.1350....0G
808 |V* BB Ant                                                                                                |Long-Period Variable               |10 51 33.0552753432 -34 32 15.855467280|276.5581615816510 +22.1214190753750|   5.483 -6.471   |8.31     |M6III            |    ~     ~    |    1|  477.327   pc  | -10.4579    +10.4579    |paral   |2020yCat.1350....0G
809 |CD-34 6954                                                                                               |Star                               |10 45 23.7221329464 -34 42 36.955950012|275.4605147084039 +21.3508303282447|   -8.069 1.323   |10.06    |F0               |    ~     ~    |    1|  342.959   pc  |  -1.9172     +1.9172    |paral   |2020yCat.1350....0G
810 |HD 93366                                                                                                 |Star                               |10 46 13.6880152800 -34 47 39.336030816|275.6647007637459 +21.3631722772158|  -12.738 0.137   |8.92     |K4III            |    ~     ~    |    1|  722.543   pc  |  -9.3450     +9.3450    |paral   |2020yCat.1350....0G
811 |HD 93475                                                                                                 |Star                               |10 47 00.4851425952 -34 39 24.435654300|275.7410916431887 +21.5619867011061|  -17.353 2.256   |8.95     |A2V              |    ~     ~    |    1|  532.4530  pc  | -49.3301    +49.3301    |paral   |2018yCat.1345....0G
812 |HD 93605                                                                                                 |Star                               |10 47 48.1185040848 -35 00 55.604121372|276.0832217553053 +21.3301073372496| -7.517 -34.722   |8.93     |F5V              |    ~     ~    |    1|  140.744   pc  |  -0.3070     +0.3070    |paral   |2020yCat.1350....0G
813 |HD 93803                                                                                                 |High Proper Motion Star            |10 49 10.1767357200 -34 57 42.995628612|276.3176704354097 +21.5136626876099| -3.113 -58.978   |8.66     |K0/1III(+G)      |    ~     ~    |    1|  104.936   pc  |  -0.1960     +0.1960    |paral   |2020yCat.1350....0G
814 |HD 93882                                                                                                 |Double or Multiple Star            |10 49 43.7941919952 -34 56 48.314217588|276.4176416283028 +21.5826903686734|  -6.905 -5.717   |8.95     |A1V              |    ~     ~    |    1|  420.929   pc  |  -4.5004     +4.5004    |paral   |2020yCat.1350....0G
815 |HD 93895                                                                                                 |Star                               |10 49 50.6973805152 -35 01 59.633202864|276.4848440938368 +21.5184500854516|   1.215 -0.390   |9.34     |A7V              |    ~     ~    |    1|  339.397   pc  |  -1.9467     +1.9467    |paral   |2020yCat.1350....0G
816 |CD-33 7217                                                                                               |Star                               |10 45 00.2678316672 -33 41 09.292166520|274.8319212683059 +22.1964523432092|  -31.664 4.112   |10.30    |~                |    ~     ~    |    1|  315.418   pc  |  -2.1688     +2.1688    |paral   |2020yCat.1350....0G
817 |CD-32 7612                                                                                               |Star                               |10 45 24.1995243504 -32 54 48.598189992|274.4880137509296 +22.9054625054478|   -3.109 1.134   |10.10    |~                |    ~     ~    |    1| 1020.200   pc  | -15.1958    +15.1958    |paral   |2020yCat.1350....0G
