C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:00:59

Vmag< 11&dec< 0&rah >=15.5&rah< 15.75
-------------------------------------

Number of objects : 6376

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |    spec. type     |      ang. size      
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|-------------------|---------------------
470 |CD-28 11426                                                           |Star                           |15 35 10.1469983592 -28 36 27.859101984|341.2223291243359 +21.8361373172640|  5.708 -19.740     |10.44    |~                  |    ~     ~          
471 |CD-28 11428                                                           |Star                           |15 35 13.5243107520 -28 24 50.892899796|341.3638590804541 +21.9789389860598|   -3.787 1.929     |10.81    |~                  |    ~     ~          
472 |CD-29 11771                                                           |Star                           |15 33 46.9177335240 -30 02 38.892511392|340.0061582454526 +20.9023294584796|  14.028 -2.660     |10.24    |~                  |    ~     ~          
473 |CD-29 11800                                                           |Star                           |15 36 03.8958773856 -30 09 21.155465052|340.3448758175654 +20.5074692506485|-34.542 -19.422     |10.18    |~                  |    ~     ~          
474 |HD 138616                                                             |Star                           |15 34 20.3878213680 -30 46 51.509686512|339.6195564467785 +20.2493390067550|  -2.237 -1.760     |9.63     |K0(III)            |    ~     ~          
475 |CD-30 12362                                                           |Star                           |15 35 39.6191035272 -30 52 11.861547744|339.7975288899082 +20.0036496884011|  -9.898 -9.067     |10.71    |A0                 |    ~     ~          
476 |CD-28 11445                                                           |Star                           |15 37 12.6613709040 -29 17 11.981139540|341.1359313176182 +21.0274315026933|-20.026 -30.045     |10.40    |~                  |    ~     ~          
477 |HD 139123                                                             |Star                           |15 37 25.3560349680 -29 18 39.977064180|341.1577210810873 +20.9793536483618|  44.073 -4.912     |8.87     |G5V                |    ~     ~          
478 |CD-28 11456                                                           |Star                           |15 38 21.5992995600 -29 01 58.366455420|341.5161217170341 +21.0651355161284|  -7.137 -9.747     |9.78     |~                  |    ~     ~          
479 |CD-28 11457                                                           |Star                           |15 38 20.4669225600 -28 35 02.639292684|341.8187268691150 +21.4142750632129|   5.937 -4.525     |10.61    |~                  |    ~     ~          
480 |CD-28 11477                                                           |Star                           |15 40 02.7162988152 -28 55 09.033201084|341.8979969439081 +20.9179428118101|    4.707 2.062     |10.02    |~                  |    ~     ~          
481 |HD 139612                                                             |Star                           |15 40 06.6796224312 -29 13 28.168076640|341.7011819196479 +20.6738680925114|  -8.559 -5.107     |9.27     |A0V                |    ~     ~          
482 |CD-28 11482                                                           |Star                           |15 40 35.0161583496 -29 04 38.272210104|341.8865428782229 +20.7211085512247|   -1.802 2.221     |9.04     |~                  |    ~     ~          
483 |HD 139675                                                             |Star                           |15 40 35.8951152384 -29 19 28.902598824|341.7200300736281 +20.5289380657067|   8.309 -0.842     |8.84     |K2/3III            |    ~     ~          
484 |HD 139732                                                             |Star                           |15 40 51.8474803296 -29 24 03.322783764|341.7155101342171 +20.4332900594761|   43.324 1.929     |9.16     |G2V                |    ~     ~          
485 |CD-28 11495                                                           |Star                           |15 41 21.4218173448 -29 12 59.200217892|341.9297426537580 +20.5060622271694|-17.252 -14.724     |9.98     |~                  |    ~     ~          
486 |HD 139867                                                             |Variable Star                  |15 41 33.0751182312 -29 17 58.277500152|341.9075061259500 +20.4151655169383|  15.414 -5.305     |7.35     |M2/3III            |    ~     ~          
487 |HD 139882                                                             |High Proper Motion Star        |15 41 37.0838154216 -29 11 13.795461132|341.9964366890439 +20.4919341034491|-49.764 -36.864     |7.73     |K0IIICNII          |    ~     ~          
488 |HD 140193                                                             |Star                           |15 43 20.3120284560 -29 11 35.746076256|342.2984853907497 +20.2452507430367|   -9.269 0.150     |8.69     |G8III              |    ~     ~          
489 |HD 139255                                                             |Star                           |15 38 11.6947644024 -29 58 22.944167076|340.8500584795048 +20.3601148787718|  -2.086 -2.395     |9.73     |A2V                |    ~     ~          
490 |* tau Lib                                                             |Spectroscopic Binary           |15 38 39.3694957 -29 46 39.895604      |341.0644513400 +20.4481993846      |  -22.08 -24.46     |3.642    |B2.5V              |    ~     ~          
491 |CD-29 11843                                                           |Star                           |15 39 08.6690931504 -29 32 59.372804328|341.3063320819061 +20.5571642606769|-31.502 -11.513     |10.32    |~                  |    ~     ~          
492 |HD 139558                                                             |High Proper Motion Star        |15 39 54.9932720232 -29 44 59.778839904|341.3087388525848 +20.2960546538539| 15.935 -71.364     |8.40     |F6V                |    ~     ~          
493 |HD 139578                                                             |Spectroscopic Binary           |15 39 59.9294168328 -29 56 59.489024748|341.1878693041335 +20.1304627584131|    5.594 1.157     |9.91     |G0/2V              |    ~     ~          
494 |HD 139648                                                             |Star                           |15 40 21.6610086408 -29 58 02.855693568|341.2403770146507 +20.0669591623493|-13.672 -12.068     |8.62     |A3V                |    ~     ~          
495 |HD 139647                                                             |Star                           |15 40 24.6553657464 -29 46 47.366509044|341.3766019135348 +20.2046769759653|-15.338 -11.723     |8.63     |G8III/IV           |    ~     ~          
496 |CD-29 11876                                                           |Star                           |15 41 50.3605415784 -30 07 36.309441720|341.3940920248753 +19.7401110477201|   0.308 -2.186     |10.30    |~                  |    ~     ~          
497 |HD 139911                                                             |Star                           |15 41 54.4095276720 -30 08 47.491720116|341.3925555098708 +19.7155804020472|-20.905 -17.580     |7.70     |K3III              |    ~     ~          
498 |CD-29 11878                                                           |Star                           |15 41 55.4963583360 -30 08 15.442359324|341.4018055602197 +19.7199126825413|-22.041 -18.109     |10.03    |~                  |    ~     ~          
499 |HD 140034                                                             |Star                           |15 42 33.5467641888 -29 24 12.549223584|342.0155759466005 +20.1943287627258|   6.083 -7.152     |8.87     |K2III              |    ~     ~          
500 |CD-29 11893                                                           |Star                           |15 43 10.6592041704 -29 30 58.529114676|342.0477711662229 +20.0213209579994|-32.812 -34.521     |9.82     |~                  |    ~     ~          
501 |HD 140240                                                             |High Proper Motion Star        |15 43 34.9215158400 -29 40 06.917902500|342.0145978260251 +19.8482328811177|-90.965 -133.834    |9.08     |G8V                |    ~     ~          
502 |CD-29 11916                                                           |Star                           |15 44 43.8744414768 -29 56 38.942937132|342.0272713130805 +19.4768291473678| -10.607 -7.701     |10.12    |~                  |    ~     ~          
503 |CD-29 11827                                                           |Star                           |15 38 02.1863360088 -30 16 00.793218900|340.6241629679199 +20.1536959342878| -37.989 -7.454     |9.97     |G2                 |    ~     ~          
504 |CD-29 11838                                                           |Star                           |15 38 41.8646565216 -30 21 27.274725828|340.6811790209020 +19.9932999527913| 32.525 -20.980     |10.13    |F8                 |    ~     ~          
505 |HD 140390                                                             |Star                           |15 44 21.7360746360 -30 12 02.586206772|341.7867701543003 +19.3328044898382|-16.295 -23.277     |8.86     |F0V                |    ~     ~          
506 |HD 139520                                                             |Star                           |15 39 46.0012774824 -30 56 10.108634748|340.4821303336147 +19.3996032978790|   30.973 5.922     |8.82     |F8/G0V             |    ~     ~          
507 |HD 139613                                                             |High Proper Motion Star        |15 40 15.5272094544 -31 12 49.584231900|340.3825426589725 +19.1179233183750|-49.036 -32.549     |6.340    |K3III              |    ~     ~          
508 |CD-30 12443                                                           |Star                           |15 41 10.8908504352 -30 28 05.406208860|341.0465247774474 +19.5680928712143|  -0.175 -4.468     |9.72     |K5                 |    ~     ~          
509 |HD 139821                                                             |Star                           |15 41 26.0940457440 -31 11 38.512543920|340.6014752780267 +18.9736662104578|-19.246 -33.698     |8.54     |G5V                |    ~     ~          
510 |HD 139927                                                             |Star                           |15 41 59.4610804056 -30 43 26.661212868|341.0156572398844 +19.2598963395121| -9.779 -11.800     |9.35     |K2III              |    ~     ~          
511 |CD-30 12458B                                                          |Star                           |15 41 57.5786364888 -30 43 10.116220044|341.0132691929645 +19.2677388011543|-35.386 -27.031     |10.58    |~                  |    ~     ~          
512 |HD 140035A                                                            |High Proper Motion Star        |15 42 36.4108803936 -30 29 44.674049832|341.2783357980813 +19.3506337939096|-58.477 -69.444     |10.34    |~                  |    ~     ~          
513 |HD 140105                                                             |Star                           |15 43 05.6264966616 -31 05 28.261999140|340.9597260936960 +18.8263915241969| -9.252 -14.235     |9.53     |A2IV/V             |    ~     ~          
514 |CD-30 12479                                                           |Star                           |15 43 09.3263109960 -31 15 43.133838840|340.8549737685906 +18.6867229117615|-10.650 -15.173     |9.56     |K0                 |    ~     ~          
515 |HD 140194                                                             |Star                           |15 43 26.3580908304 -30 32 05.971846668|341.3973123488366 +19.2054707434332|  -4.079 -8.344     |7.43     |A2V                |    ~     ~          
516 |HD 140284                                                             |Star                           |15 44 00.4318245264 -31 03 24.651714096|341.1414740431361 +18.7272790503956|   5.563 -3.135     |8.86     |K2/3III            |    ~     ~          
517 |HD 140328                                                             |Star                           |15 44 07.1280956352 -30 42 41.048579808|341.3956502634085 +18.9763688368999| -19.984 -0.557     |7.43     |K5(III)            |    ~     ~          
518 |CD-30 12490                                                           |Star                           |15 44 08.3160425808 -30 46 05.216908980|341.3604848269777 +18.9302347073635|   9.024 -1.380     |9.46     |~                  |    ~     ~          
519 |HD 140442                                                             |Star                           |15 44 46.7608492992 -30 41 09.655875708|341.5277089398787 +18.9042241140803| -1.773 -14.009     |7.41     |A1V                |    ~     ~          
520 |CD-28 11446                                                           |Star                           |15 37 15.2288990976 -29 23 04.833355596|341.0774411637790 +20.9455074768690|  -5.700 -9.436     |9.95     |~                  |    ~     ~          
521 |IRAS 15364-3041                                                       |Mira Variable                  |15 39 37.1758182576 -30 51 12.656773548|340.5116096857425 +19.4835672502858|  -2.200 -4.021     |10.94    |~                  |    ~     ~          
522 |CPD-28 5170                                                           |Star                           |15 41 25.7654 -29 10 42.041            |341.9687882 +20.5251381            |-12.692 -15.701     |10.91    |~                  |    ~     ~          
523 |CD-28 11465                                                           |Star                           |15 39 05.2837996008 -28 40 43.321091736|341.8896364136953 +21.2369151321161|  -4.398 -8.101     |9.77     |~                  |    ~     ~          
524 |CD-28 11487                                                           |Star                           |15 40 39.3660788760 -28 47 23.948769228|342.0965486473776 +20.9315183743454|  -5.661 -8.023     |10.87    |~                  |    ~     ~          
525 |CD-29 11864                                                           |Star                           |15 40 42.1410550800 -29 38 54.972758688|341.5177684108143 +20.2653295600361|  5.813 -12.584     |9.54     |~                  |    ~     ~          
526 |CD-28 11497                                                           |Star                           |15 41 24.5743174800 -28 50 46.234422240|342.1933151638452 +20.7824596243184|-25.932 -22.256     |10.27    |~                  |    ~     ~          
527 |CD-28 11508                                                           |Star                           |15 42 11.1866253696 -29 05 16.047767832|342.1661227895646 +20.4881753798418| -1.277 -15.158     |10.05    |~                  |    ~     ~          
528 |CD-28 11521                                                           |Star                           |15 43 55.7335272360 -29 08 53.660145552|342.4342163837161 +20.1961299094027| 10.493 -16.606     |10.70    |~                  |    ~     ~          
529 |CD-29 11815                                                           |Star                           |15 36 59.6824410336 -30 24 59.192405496|340.3377900099198 +20.1786249894879|   13.516 1.645     |10.22    |~                  |    ~     ~          
530 |CD-30 12420                                                           |Star                           |15 39 45.1911601224 -31 04 53.523888996|340.3823475065110 +19.2887729056498| -21.536 -6.638     |9.74     |~                  |    ~     ~          
531 |CD-28 11441                                                           |High Proper Motion Star        |15 36 52.3091827800 -28 43 01.325538624|341.4603088967086 +21.5159025343268| -2.497 -78.407     |10.82    |~                  |    ~     ~          
532 |CD-28 11447                                                           |Star                           |15 37 23.5772967024 -29 24 24.329764224|341.0876939960342 +20.9092528134034| -11.287 -4.404     |10.88    |~                  |    ~     ~          
533 |CD-29 11826                                                           |Star                           |15 38 00.8820561864 -29 53 15.826897536|340.8752098187101 +20.4509258232011|   -1.375 2.683     |10.46    |~                  |    ~     ~          
534 |CD-28 11454                                                           |Star                           |15 38 10.6786180368 -29 17 33.489618900|341.3067956928905 +20.8894919005347| -10.920 -4.694     |10.34    |~                  |    ~     ~          
535 |CD-29 11832                                                           |Star                           |15 38 17.5600147104 -29 51 19.525562712|340.9468452603171 +20.4379140197196|   11.609 3.240     |10.62    |~                  |    ~     ~          
536 |CD-29 11908                                                           |Star                           |15 44 18.1951952256 -29 45 29.466937296|342.0800018310561 +19.6786380449368|  -6.518 -9.155     |10.42    |~                  |    ~     ~          
537 |CD-29 11913                                                           |Star                           |15 44 27.1247828448 -29 29 05.877277296|342.2942726394400 +19.8658196187551|  -3.947 -6.613     |10.54    |~                  |    ~     ~          
538 |CD-28 11535                                                           |Star                           |15 44 48.3702434808 -29 04 48.334876788|342.6365774056121 +20.1235227064507|  16.382 -3.194     |10.60    |~                  |    ~     ~          
539 |CD-29 11820                                                           |Star                           |15 37 20.5781801736 -30 05 01.043689560|340.6229850819930 +20.3904378877284|  0.965 -23.355     |10.34    |~                  |    ~     ~          
540 |CD-29 11821                                                           |Star                           |15 37 34.3401361440 -30 07 34.001345388|340.6356065138516 +20.3262035799543|  -10.582 0.962     |9.91     |~                  |    ~     ~          
541 |CD-29 11823                                                           |Star                           |15 37 42.5402698800 -30 00 06.406551036|340.7436185300992 +20.4041723976631|   9.150 -4.421     |10.05    |~                  |    ~     ~          
542 |CD-30 12391                                                           |Star                           |15 37 42.9314120856 -30 43 56.570566872|340.2554406316961 +19.8352579760713| -11.101 -7.516     |10.00    |~                  |    ~     ~          
543 |CD-30 12400                                                           |Star                           |15 38 20.2797748704 -30 50 29.547288816|340.2930509192224 +19.6663337514407|   3.579 -3.711     |10.27    |~                  |    ~     ~          
544 |CD-29 11852                                                           |Star                           |15 39 51.7470816000 -30 07 47.112140856|341.0418878215257 +20.0103273670741|   2.562 -2.417     |10.71    |~                  |    ~     ~          
545 |CD-30 12455                                                           |Star                           |15 41 37.4952165792 -30 51 53.291169072|340.8564527953321 +19.2016733742869|   -7.334 5.317     |10.41    |~                  |    ~     ~          
546 |CD-30 12463                                                           |Star                           |15 42 13.8841002720 -31 18 06.970398228|340.6676168728908 +18.7820735465624|   -1.443 6.384     |10.23    |~                  |    ~     ~          
547 |CD-30 12477                                                           |Star                           |15 43 02.0945261952 -31 08 23.384529564|340.9166050309788 +18.7970826767052| -11.842 -0.983     |9.85     |~                  |    ~     ~          
548 |CD-30 12483                                                           |Star                           |15 43 20.6288068968 -31 17 26.696070852|340.8681781391071 +18.6388575066701|  -8.565 -4.784     |10.11    |~                  |    ~     ~          
549 |CD-29 11901                                                           |Star                           |15 43 44.0797 -30 00 19.128            |341.8106067 +19.5696655            |-22.115 -33.230     |10.55    |~                  |    ~     ~          
550 |CD-29 11906                                                           |Star                           |15 44 04.8263528256 -30 11 31.176399408|341.7434546995125 +19.3787870273315|    0.668 0.233     |10.70    |~                  |    ~     ~          
551 |V* QW Lib                                                             |Long-Period Variable           |15 33 52.3598506536 -29 54 14.801014980|340.1156430391798 +20.9999955015101|  -3.008 -7.134     |9.9      |~                  |    ~     ~          
552 |CD-28 11451                                                           |Star                           |15 37 29.3889147288 -28 36 24.125788944|341.6481917753003 +21.5154823389987| -9.656 -10.755     |10.23    |~                  |    ~     ~          
553 |TYC 6776-224-1                                                        |Star                           |15 37 25.5884109792 -29 13 59.236542660|341.2111908158989 +21.0392753570117|    2.845 6.991     |10.40    |~                  |    ~     ~          
554 |TYC 6776-445-1                                                        |High Proper Motion Star        |15 37 24.7277203152 -28 45 33.450630336|341.5301281008496 +21.4082392909434|-42.815 -27.896     |10.88    |~                  |    ~     ~          
555 |TYC 6776-529-1                                                        |Star                           |15 35 19.7127117192 -29 31 50.283000876|340.6298886600530 +21.0952103753650| -7.576 -13.063     |10.53    |~                  |    ~     ~          
556 |TYC 6776-668-1                                                        |Star                           |15 36 30.5299448568 -29 08 58.498542132|341.1010740750929 +21.2304274268269|  -7.216 -5.162     |10.82    |~                  |    ~     ~          
557 |TYC 6789-673-1                                                        |Star                           |15 40 30.9201343896 -29 08 29.845522140|341.8302824308494 +20.6812281223023|-16.666 -27.831     |10.01    |~                  |    ~     ~          
558 |TYC 6789-1367-1                                                       |Star                           |15 44 12.0462013416 -29 20 34.584147132|342.3479019494621 +20.0094333159442|-20.239 -22.659     |10.89    |~                  |    ~     ~          
559 |TYC 6789-1463-1                                                       |Star                           |15 39 09.0593979264 -29 48 16.801029324|341.1348570997931 +20.3593396804882|   1.435 -9.552     |10.90    |~                  |    ~     ~          
560 |TYC 6789-1512-1                                                       |Star                           |15 40 47.2762473945 -29 02 30.378700427|341.9475339037010 +20.7197875932971|  -4.860 -4.585     |10.80    |~                  |    ~     ~          
561 |TYC 7314-6-1                                                          |Star                           |15 35 04.3556280840 -30 31 58.661891688|339.9153743800701 +20.3461322335183| -14.018 -9.331     |10.65    |~                  |    ~     ~          
562 |TYC 7327-73-1                                                         |Star                           |15 40 24.9742911120 -30 19 12.515494728|341.0114461073180 +19.7873044718196|  -1.162 -4.859     |10.36    |~                  |    ~     ~          
563 |TYC 7327-279-1                                                        |Star                           |15 41 03.9578216352 -30 30 47.953572552|340.9956343823428 +19.5491515795525|  -9.958 -8.818     |10.86    |~                  |    ~     ~          
564 |TYC 7327-556-1                                                        |Star                           |15 41 31.0059464472 -31 06 10.379485404|340.6770859245704 +19.0328605310522|   8.066 -3.314     |10.87    |~                  |    ~     ~          
565 |TYC 7327-572-1                                                        |Star                           |15 44 04.1299483968 -31 31 51.594309552|340.8310526432195 +18.3552911849211|-10.967 -11.386     |10.09    |~                  |    ~     ~          
566 |TYC 7327-739-1                                                        |Star                           |15 40 25.3307594112 -30 20 15.627018804|341.0006513801856 +19.7729588280899|   7.409 -9.080     |10.91    |~                  |    ~     ~          
567 |TYC 7327-978-1                                                        |Star                           |15 41 18.7342952952 -31 14 20.995215720|340.5497331806104 +18.9554898077468|  2.965 -30.059     |10.50    |~                  |    ~     ~          
568 |TYC 7327-985-1                                                        |Star                           |15 44 53.3780710800 -30 28 47.354000772|341.6877314640846 +19.0462804648140|-28.375 -11.822     |10.96    |~                  |    ~     ~          
569 |TYC 7327-1231-1                                                       |Star                           |15 41 33.6406162224 -30 27 47.129452668|341.1167344573616 +19.5198906725108| -28.388 -5.278     |10.53    |~                  |    ~     ~          
570 |TYC 7327-1367-1                                                       |Star                           |15 37 20.7265272096 -30 54 24.255430920|340.0734682476170 +19.7492565276414|-17.032 -18.520     |10.79    |~                  |    ~     ~          
571 |TYC 7327-1406-1                                                       |Star                           |15 42 31.7168612424 -31 05 04.224711444|340.8659405413959 +18.9089087711301|   -3.887 8.108     |10.59    |~                  |    ~     ~          
572 |TYC 7327-1749-1                                                       |Star                           |15 37 55.8807511536 -30 50 26.882856204|340.2214354308791 +19.7217701436727| -4.545 -17.253     |10.96    |~                  |    ~     ~          
573 |TYC 7327-1761-1                                                       |Star                           |15 37 00.1420428192 -30 48 48.240971244|340.0745455274661 +19.8681328751063| -3.264 -12.983     |10.79    |~                  |    ~     ~          
574 |TYC 7327-2177-1                                                       |Star                           |15 36 40.3193961264 -30 09 45.452341872|340.4495734827368 +20.4200470168648|  -28.899 0.999     |10.86    |~                  |    ~     ~          
575 |CD-30 12487                                                           |Long-Period Variable Candidate |15 43 58.9935689352 -30 52 11.864225352|341.2642264161269 +18.8737352420586|    4.086 1.762     |10.46    |M6                 |    ~     ~          
576 |SA 155-479                                                            |Star                           |15 37 00.0 -30 25 00                   |340.3386 +20.1777                  |            ~ ~     |10.318   |~                  |    ~     ~          
577 |SA 155-525                                                            |Star                           |15 38 06.0 -29 42 00                   |341.0171 +20.5848                  |            ~ ~     |10.438   |~                  |    ~     ~          
578 |SA 155-582                                                            |Star                           |15 39 48.0 -31 05 00                   |340.3894 +19.2810                  |            ~ ~     |9.721    |~                  |    ~     ~          
579 |HD 138472                                                             |High Proper Motion Star        |15 33 07.5726547800 -25 48 03.240978120|342.7630904541450 +24.3010152396900|-38.854 -44.248     |7.28     |K2III              |    ~     ~          
580 |HD 138043                                                             |Star                           |15 30 24.3902568048 -27 16 29.369321508|341.2338333622556 +23.5340325253265|-26.258 -19.404     |8.98     |G8III/IV           |    ~     ~          
581 |HD 138359                                                             |Star                           |15 32 31.5815769912 -26 39 25.569056592|342.0575716333472 +23.7214926270564|-34.138 -29.188     |8.88     |F5V                |    ~     ~          
582 |HD 138078                                                             |Star                           |15 30 39.2051915520 -27 46 31.102364172|340.9426855939428 +23.1074221785003| -17.234 -9.103     |9.65     |G1V                |    ~     ~          
583 |HD 138088                                                             |High Proper Motion Star        |15 30 46.5645078720 -27 27 35.138714148|341.1788228667513 +23.3381081656081|-42.427 -37.973     |9.95     |F3V                |    ~     ~          
584 |HD 138393                                                             |Star                           |15 32 46.9668505344 -27 51 04.364366472|341.2917014219830 +22.7550972877607| -17.670 -8.357     |9.74     |F5/6V              |    ~     ~          
585 |CD-26 10907                                                           |Star                           |15 30 05.9393300424 -27 22 08.114903580|341.1117616483693 +23.5025586565747|  -4.291 -5.063     |10.89    |~                  |    ~     ~          
586 |CD-27 10401                                                           |Star                           |15 30 15.6292223496 -27 39 10.081297260|340.9509070416042 +23.2574664118369|  -1.539 -3.776     |10.48    |~                  |    ~     ~          
587 |CD-26 10911                                                           |Star                           |15 30 24.4775901120 -26 58 56.551258812|341.4324238916908 +23.7630179491984|  8.207 -19.010     |10.52    |~                  |    ~     ~          
588 |CD-25 10956                                                           |Star                           |15 30 39.9166417416 -25 32 43.160282592|342.4670538725677 +24.8490184934482|-17.002 -11.439     |10.43    |~                  |    ~     ~          
589 |CD-27 10406                                                           |Star                           |15 30 53.8675294032 -27 44 15.592362144|341.0141773395899 +23.1034516737218| -12.826 -4.312     |10.16    |~                  |    ~     ~          
590 |CD-26 10914                                                           |Star                           |15 31 20.8132464480 -27 13 49.989164232|341.4423001734463 +23.4387191955762|   4.435 -1.660     |10.71    |~                  |    ~     ~          
591 |CD-27 10414                                                           |Star                           |15 31 43.6979352072 -27 55 04.989977364|341.0488379521288 +22.8480378882043|-22.967 -10.977     |10.88    |~                  |    ~     ~          
592 |CD-26 10922                                                           |Star                           |15 31 58.1122222824 -26 57 38.452533732|341.7439166582964 +23.5630816333796|  -8.058 -4.814     |10.21    |~                  |    ~     ~          
593 |CD-26 10926                                                           |Star                           |15 32 10.5732332928 -27 09 26.432481636|341.6490784688512 +23.3807465117077|  -6.656 -9.676     |10.80    |~                  |    ~     ~          
594 |CD-26 10927                                                           |Star                           |15 32 15.9851197176 -27 03 07.032724596|341.7380259050864 +23.4503707032254|-19.544 -18.174     |10.42    |~                  |    ~     ~          
595 |CD-26 10928                                                           |Star                           |15 32 16.4760239640 -26 52 40.748023488|341.8584571461639 +23.5848097591603|   1.938 -2.054     |10.04    |~                  |    ~     ~          
596 |CD-27 10423                                                           |Star                           |15 32 26.1103196064 -28 02 31.970377140|341.0974917511649 +22.6537234798894|  -12.718 0.663     |10.32    |~                  |    ~     ~          
597 |CPD-26 5474                                                           |Star                           |15 32 47.4551416416 -26 41 08.033567280|342.0882227977123 +23.6622019553283| -7.976 -13.855     |10.47    |~                  |    ~     ~          
598 |CD-27 10430                                                           |Star                           |15 33 02.8327728672 -27 26 46.189705092|341.6164206282628 +23.0344001801020|  -7.100 -9.688     |10.69    |~                  |    ~     ~          
599 |CD-27 10431                                                           |Star                           |15 33 17.1760109856 -27 55 35.488684812|341.3347789563123 +22.6267637532981|    0.778 1.001     |10.46    |~                  |    ~     ~          
600 |CD-27 10399                                                           |Star                           |15 30 13.4181846744 -27 55 34.776922764|340.7600031450315 +23.0475309440774|-23.737 -35.098     |9.77     |~                  |    ~     ~          
601 |CD-27 10417                                                           |Star                           |15 31 51.9340554984 -27 29 12.889841856|341.3663259716566 +23.1664775999996|-23.485 -20.158     |10.353   |~                  |    ~     ~          
602 |TYC 6768-646-1                                                        |High Proper Motion Star        |15 30 22.6781270208 -25 41 12.130297008|342.3137789564456 +24.7795351711035|-46.807 -44.148     |10.71    |~                  |    ~     ~          
603 |TYC 6768-659-1                                                        |Star                           |15 32 59.1955846440 -25 40 51.303091908|342.8197801876279 +24.4137862475523|    4.409 5.088     |10.97    |~                  |    ~     ~          
604 |TYC 6772-218-1                                                        |Star                           |15 30 22.1669134440 -26 18 34.347536928|341.8839551119134 +24.2947199913107|  -19.470 0.928     |10.640   |~                  |    ~     ~          
605 |TYC 6772-307-1                                                        |Star                           |15 32 58.5820595160 -26 44 13.341939576|342.0880145510424 +23.5961356664047|  -17.927 5.504     |10.79    |~                  |    ~     ~          
606 |TYC 6772-628-1                                                        |Spectroscopic Binary           |15 33 11.7315439704 -27 06 26.685578628|341.8755643751877 +23.2774383090557| -12.691 -8.843     |10.82    |~                  |    ~     ~          
607 |TYC 6772-1700-1                                                       |Star                           |15 31 55.9527181224 -27 32 51.128979288|341.3378391437528 +23.1098264226798|-14.398 -14.153     |10.93    |~                  |    ~     ~          
608 |HD 138872                                                             |Star                           |15 35 40.3478896920 -26 18 03.919897584|342.8984746426559 +23.5513954938591|   0.079 -2.135     |8.80     |B9III              |    ~     ~          
609 |HD 138753                                                             |Star                           |15 34 53.3976070152 -27 09 10.885887252|342.1625125200545 +23.0043321338088| -9.835 -16.129     |8.54     |A0V                |    ~     ~          
610 |HD 138822                                                             |Star                           |15 35 23.3618177544 -26 29 01.655994120|342.7182736395382 +23.4509389724707|-11.729 -13.342     |9.34     |K1/2(III)          |    ~     ~          
611 |HD 138652                                                             |Star                           |15 34 25.1523736296 -28 06 57.726942192|341.4170495508872 +22.3223777005566|  -4.436 -5.686     |10.31    |B9V                |    ~     ~          
612 |HD 138674                                                             |Double or Multiple Star        |15 34 26.8567951224 -27 42 16.343056764|341.7023201571809 +22.6384266972091|     27.4 -21.7     |9.71     |F3V                |    ~     ~          
613 |* 36 Lib                                                              |Star                           |15 34 37.3181759976 -28 02 49.272938232|341.5015454211078 +22.3479665048181| 10.755 -32.180     |5.138    |K2/3III            |    ~     ~          
614 |HD 138722                                                             |Double or Multiple Star        |15 34 47.95371 -28 07 50.7771          |341.47748283 +22.25826100          |  -34.13 -26.96     |9.00     |G8V                |    ~     ~          
615 |HD 138740                                                             |High Proper Motion Star        |15 34 47.3961898728 -27 29 31.427810844|341.9113082347089 +22.7555812553528|-57.782 -64.028     |9.11     |F3V                |    ~     ~          
616 |HD 138873                                                             |High Proper Motion Star        |15 35 43.2837952584 -28 12 27.258263496|341.5956870263579 +22.0705921252661|-55.750 -73.215     |9.291    |K0IV/V             |    ~     ~          
617 |CD-26 10942                                                           |Star                           |15 34 41.9916490840 -26 41 03.434597322|342.4497440374109 +23.3939609891213|    -18.6 -28.1     |10.54    |~                  |    ~     ~          
618 |CD-27 10446                                                           |Star                           |15 34 48.0586733448 -27 39 02.900725920|341.8048224395439 +22.6308669233116|  -4.088 -0.198     |10.29    |~                  |    ~     ~          
619 |CD-26 10936                                                           |Star                           |15 33 56.8196910768 -27 05 23.690715108|342.0289754322569 +23.1857673893240|-14.937 -20.651     |10.44    |~                  |    ~     ~          
620 |CPD-26 5476                                                           |High Proper Motion Star        |15 34 00.3711280128 -26 59 59.047205568|342.1019881924287 +23.2474396060259|-16.456 -54.244     |10.38    |~                  |    ~     ~          
621 |CD-27 10439                                                           |Star                           |15 34 21.6192395664 -27 27 19.351054188|341.8561831721623 +22.8441474636875| -17.642 -9.903     |9.97     |~                  |    ~     ~          
622 |CD-27 10448                                                           |Star                           |15 34 52.0240744440 -28 01 00.692123844|341.5675153239112 +22.3373878535467| -12.079 -4.692     |10.32    |~                  |    ~     ~          
623 |CD-26 10948                                                           |Star                           |15 35 37.2069311424 -27 10 57.070909488|342.2786788131682 +22.8786361866139|  -19.039 9.862     |10.15    |~                  |    ~     ~          
624 |CD-26 10954                                                           |Star                           |15 36 23.3986606704 -26 26 25.751264856|342.9363295119919 +23.3415054446535|    5.636 0.720     |9.85     |~                  |    ~     ~          
625 |CD-27 10459                                                           |Star                           |15 36 29.4269632776 -28 08 18.787674372|341.7844487807262 +22.0169557041680| -10.743 -5.558     |10.79    |~                  |    ~     ~          
