C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:00:59

Vmag< 11&dec< 0&rah >=15.5&rah< 15.75
-------------------------------------

Number of objects : 6376

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |    spec. type     |      ang. size      
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|-------------------|---------------------
34  |CD-36 10263                                                           |Star                           |15 33 33.2905104768 -36 28 39.713767644|335.8290937105597 +15.8336021358428|  -8.249 -4.079     |10.42    |~                  |    ~     ~          
35  |CPD-37 6513                                                           |Star                           |15 30 34.9067208624 -37 42 41.016859992|334.5722271010131 +15.1958064712884|-15.899 -17.744     |9.53     |~                  |    ~     ~          
36  |CD-36 10225                                                           |Star                           |15 30 56.3457193968 -37 16 08.721202512|334.9026579336936 +15.5106505608046| -16.153 -4.808     |10.17    |~                  |    ~     ~          
37  |CD-35 10345                                                           |Star                           |15 31 05.7271680600 -36 00 25.314311772|335.7086532449804 +16.5074326090377|  45.062 14.736     |10.54    |~                  |    ~     ~          
38  |TYC 7326-160-1                                                        |Star                           |15 30 01.0743494736 -36 37 33.511056708|335.1439106381595 +16.1380219545287| -1.693 -30.704     |10.84    |~                  |    ~     ~          
39  |TYC 7836-182-1                                                        |Star                           |15 31 58.5578987928 -38 08 44.427620652|334.5357289350296 +14.6830303526932| -9.759 -12.141     |10.54    |~                  |    ~     ~          
40  |TYC 7836-220-1                                                        |Star                           |15 32 19.4000171664 -38 11 19.982233284|334.5660220587341 +14.6077329761030|   -8.849 0.072     |10.92    |~                  |    ~     ~          
41  |TYC 7836-322-1                                                        |Star                           |15 30 23.7463793664 -38 03 07.320083148|334.3335600700285 +14.9422895754944|  -8.410 -5.174     |10.87    |~                  |    ~     ~          
42  |TYC 7836-1333-1                                                       |Star                           |15 31 02.6713284096 -38 22 26.890868136|334.2436762398580 +14.6069751775983|  1.311 -15.478     |10.97    |~                  |    ~     ~          
43  |CD-36 10275                                                           |Star                           |15 34 19.8592223472 -37 12 30.785812848|335.5017646364880 +15.1562818446361|    1.591 2.817     |10.14    |G8                 |    ~     ~          
44  |CD-36 10276                                                           |Star                           |15 34 22.5975252216 -37 20 27.752340084|335.4267379907357 +15.0449748390421|  -18.358 6.902     |9.65     |K1                 |    ~     ~          
45  |CD-36 10278                                                           |High Proper Motion Star        |15 34 23.8063160592 -36 59 54.761124012|335.6436260633094 +15.3160947011644|-53.304 -12.382     |10.74    |~                  |    ~     ~          
46  |HD 138602                                                             |Star                           |15 34 27.4741967520 -37 24 28.234333332|335.3984999754436 +14.9818940880631|-16.062 -30.045     |9.22     |K1III              |    ~     ~          
47  |CD-36 10281                                                           |Star                           |15 34 56.8389512904 -36 59 14.753747904|335.7414886579464 +15.2586748945822|  10.656 -7.155     |10.58    |A2                 |    ~     ~          
48  |CD-36 10297                                                           |Double or Multiple Star        |15 36 46.4155 -37 16 39.330            |335.8593121 +14.8073032            |      3.1 -15.0     |10.37    |G2                 |    ~     ~          
49  |HD 138492                                                             |Star                           |15 33 46.9383564720 -37 38 23.838363276|335.1434229982394 +14.8766617320050|-10.268 -18.308     |7.64     |M3III              |    ~     ~          
50  |HD 138504                                                             |Star                           |15 33 57.0337631760 -38 03 51.058151856|334.9082752195785 +14.5170270301331|   -1.304 4.168     |8.94     |K1III              |    ~     ~          
