C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:17:40

dec >=0&rah >=0.5&rah< 0.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 5072

 #  |                                                                                                                     identifier                                                                                                                      |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
1156|TYC 3663-2080-1                                                                                                                                                                                                                                      |Star                                |00 44 34.4620115136 +57 38 51.624048804|122.0099993814025 -05.2117875731769|    2.355 0.342   |10.85    |~              |    ~     ~    |    1|  872.296   pc  | -10.3482    +10.3482  |paral   |2020yCat.1350....0G
1157|TYC 3663-2102-1                                                                                                                                                                                                                                      |Star                                |00 43 29.8858 +57 49 02.138            |121.8707477 -05.0381266            |    -0.90 -6.60   |10.90    |~              |    ~     ~    |    0|                |                       |        |                   
1158|TYC 3663-2247-1                                                                                                                                                                                                                                      |Star                                |00 42 57.7158025392 +57 11 20.233971672|121.7782567679680 -05.6638061113466|  -9.193 -4.239   |10.89    |~              |    ~     ~    |    1|  526.067   pc  |  -6.4205     +6.4205  |paral   |2020yCat.1350....0G
1159|TYC 3663-2392-1                                                                                                                                                                                                                                      |Star                                |00 42 49.8282033000 +56 30 24.728308884|121.7373248142243 -06.3449123682662|  -1.696 -1.918   |10.58    |~              |    ~     ~    |    1|  437.713   pc  | -11.8596    +11.8596  |paral   |2020yCat.1350....0G
1160|TYC 3663-2413-1                                                                                                                                                                                                                                      |Star                                |00 40 42.0408650616 +57 12 32.555227356|121.4714937870455 -05.6322543576261|   0.572 -2.183   |10.91    |~              |    ~     ~    |    1|  859.623   pc  |  -9.2369     +9.2369  |paral   |2020yCat.1350....0G
1161|TYC 3663-2457-1                                                                                                                                                                                                                                      |Star                                |00 44 40.8986595528 +58 07 23.508671664|122.0369744899390 -04.7368100039136|  -3.304 -0.814   |10.82    |~              |    ~     ~    |    1|  779.484   pc  | -22.0557    +22.0557  |paral   |2020yCat.1350....0G
1162|TYC 3663-2477-1                                                                                                                                                                                                                                      |Star                                |00 41 12.8473232952 +58 06 59.883615720|121.5776078780906 -04.7282261479970|   1.191 -1.986   |10.14    |~              |    ~     ~    |    1|  723.641   pc  |  -8.2214     +8.2214  |paral   |2020yCat.1350....0G
1163|TYC 3663-2499-1                                                                                                                                                                                                                                      |Star                                |00 42 50.5705421616 +58 03 19.049072760|121.7912061404681 -04.7974178855585| -11.052 -4.592   |10.67    |~              |    ~     ~    |    1|  469.881   pc  |  -2.6715     +2.6715  |paral   |2020yCat.1350....0G
1164|TYC 3663-2515-1                                                                                                                                                                                                                                      |Star                                |00 42 59.9276604384 +58 01 10.668927900|121.8107191402972 -04.8337442753613|  -2.371 -0.977   |10.96    |~              |    ~     ~    |    1| 1564.945   pc  | -43.3482    +43.3482  |paral   |2020yCat.1350....0G
1165|TYC 3663-2552-1                                                                                                                                                                                                                                      |Star                                |00 41 37.8193177104 +58 03 27.693530064|121.6304522681772 -04.7892689727307|  -3.297 -7.369   |10.71    |~              |    ~     ~    |    1|  921.659   pc  |  -9.6838     +9.6838  |paral   |2020yCat.1350....0G
1166|TYC 3663-2556-1                                                                                                                                                                                                                                      |Star                                |00 43 43.9548956328 +58 06 07.952098536|121.9106644245320 -04.7542587084550|   3.038 -0.024   |10.81    |~              |    ~     ~    |    1|  703.532   pc  |  -8.3153     +8.3153  |paral   |2020yCat.1350....0G
1167|TYC 3663-2608-1                                                                                                                                                                                                                                      |Star                                |00 43 07.6759081104 +57 59 02.812150320|121.8267156594357 -04.8697993517703|    1.565 9.792   |10.37    |~              |    ~     ~    |    1|  741.510   pc  |  -5.9932     +5.9932  |paral   |2020yCat.1350....0G
1168|TYC 3666-1076-1                                                                                                                                                                                                                                      |Star                                |00 38 27.3417094968 +58 32 01.305174840|121.2336436947554 -04.2952368075631|  15.850 -1.253   |10.40    |~              |    ~     ~    |    1|  493.876   pc  |  -3.7319     +3.7319  |paral   |2020yCat.1350....0G
1169|IRAS 00363+5807                                                                                                                                                                                                                                      |Star                                |00 39 14.8024019592 +58 24 13.755228444|121.3308553817236 -04.4300226443353|   1.893 -5.321   |9.46     |~              |    ~     ~    |    1| 1234.416   pc  | -21.0282    +21.0282  |paral   |2020yCat.1350....0G
1170|TYC 3666-1442-1                                                                                                                                                                                                                                      |Star                                |00 38 47.7637357704 +58 15 00.845180640|121.2641385845429 -04.5805694082019|  -0.768 -0.741   |10.21    |~              |    ~     ~    |    1| 1735.509   pc  | -84.3357    +84.3357  |paral   |2020yCat.1350....0G
1171|TYC 3666-1632-1                                                                                                                                                                                                                                      |Star                                |00 36 44.2482003912 +58 10 12.138245364|120.9882415001013 -04.6462197429479|   1.113 -2.233   |10.61    |~              |    ~     ~    |    1|  898.634   pc  | -12.1131    +12.1131  |paral   |2020yCat.1350....0G
1172|TYC 3666-1681-1                                                                                                                                                                                                                                      |Pulsating Variable                  |00 37 40.8081320472 +58 38 30.583827492|121.1380918467637 -04.1819923521185|  -5.176 -4.849   |10.39    |~              |    ~     ~    |    1|  559.628   pc  |  -4.9796     +4.9796  |paral   |2020yCat.1350....0G
1173|TYC 3666-1759-1                                                                                                                                                                                                                                      |Star                                |00 37 42.8890389960 +58 22 06.699471960|121.1279705785353 -04.4551447079362|  -2.537 -2.681   |10.73    |~              |    ~     ~    |    1|  762.777   pc  | -10.4729    +10.4729  |paral   |2020yCat.1350....0G
1174|TYC 3667-706-1                                                                                                                                                                                                                                       |Star                                |00 42 23.4030369912 +58 22 53.526688896|121.7426731431483 -04.4693183332693|  21.657 -6.676   |10.53    |~              |    ~     ~    |    1|  373.329   pc  |  -1.9094     +1.9094  |paral   |2020yCat.1350....0G
1175|TYC 3667-848-1                                                                                                                                                                                                                                       |Pulsating Variable                  |00 41 39.5836180152 +58 25 16.606375428|121.6482438576504 -04.4260942069418|   -7.714 1.202   |10.09    |~              |    ~     ~    |    1|  962.371   pc  | -23.3392    +23.3392  |paral   |2020yCat.1350....0G
1176|TYC 3667-852-1                                                                                                                                                                                                                                       |Star                                |00 43 27.0391784568 +58 25 39.919459584|121.8834707011659 -04.4277313226625|   4.888 -3.788   |10.53    |~              |    ~     ~    |    1|  624.064   pc  |  -6.8155     +6.8155  |paral   |2020yCat.1350....0G
1177|TYC 3667-924-1                                                                                                                                                                                                                                       |Star                                |00 42 48.6662059368 +58 10 26.322350160|121.7909979276265 -04.6786570631839|  -0.110 -1.830   |9.93     |~              |    ~     ~    |    1|  663.790   pc  | -13.3066    +13.3066  |paral   |2020yCat.1350....0G
1178|TYC 3667-1252-1                                                                                                                                                                                                                                      |Star                                |00 44 08.2523219880 +58 13 04.885600692|121.9676265552788 -04.6400544330228|  -6.333 -0.193   |10.79    |~              |    ~     ~    |    1|  765.873   pc  |  -8.4465     +8.4465  |paral   |2020yCat.1350....0G
1179|TYC 3667-1382-1                                                                                                                                                                                                                                      |Star                                |00 43 23.9392124256 +58 35 54.503086272|121.8820500423920 -04.2568862747092|    0.695 0.214   |10.41    |~              |    ~     ~    |    1|  946.790   pc  | -26.6234    +26.6234  |paral   |2020yCat.1350....0G
1180|TYC 3667-1390-1                                                                                                                                                                                                                                      |Star                                |00 41 54.5733092880 +58 37 07.402684620|121.6883708434707 -04.2300160653373|  -4.205 -2.801   |10.44    |~              |    ~     ~    |    1|  695.507   pc  |  -6.1917     +6.1917  |paral   |2020yCat.1350....0G
1181|TYC 3667-1400-1                                                                                                                                                                                                                                      |Star                                |00 44 22.2393753456 +58 12 52.669107720|121.9983167924054 -04.6443055914926| 27.174 -12.079   |10.92    |~              |    ~     ~    |    1|  264.880   pc  |  -0.9051     +0.9051  |paral   |2020yCat.1350....0G
1182|BD+55 110                                                                                                                                                                                                                                            |Double or Multiple Star             |00 35 03.685 +56 10 19.68              |120.638738 -06.626680              |      -7.3 -7.8   |10.07    |~              |    ~     ~    |    0|                |                       |        |                   
1183|TYC 3666-1640-1                                                                                                                                                                                                                                      |Star                                |00 39 52.6854571848 +58 09 44.640873792|121.4028132277324 -04.6750221353403|   9.108 -6.424   |10.02    |M4             |    ~     ~    |    1|  915.667   pc  | -21.9673    +21.9673  |paral   |2020yCat.1350....0G
1184|V* V1048 Cas                                                                                                                                                                                                                                         |Long-Period Variable                |00 44 30.6150775320 +56 45 50.827373856|121.9773901164160 -06.0947887744855|  -1.030 -3.027   |10.01    |~              |    ~     ~    |    1| 1519.295   pc  | -46.6268    +46.6268  |paral   |2020yCat.1350....0G
1185|HD 236432                                                                                                                                                                                                                                            |Star                                |00 30 02.1380217384 +59 06 20.499100128|120.1819978569632 -03.6517314046241|  0.902 -33.169   |8.50     |G5             |    ~     ~    |    1|  141.633   pc  |  -0.6038     +0.6038  |paral   |2020yCat.1350....0G
1186|BD+58 70                                                                                                                                                                                                                                             |Pulsating Variable                  |00 31 09.7533843000 +58 51 38.629801188|120.3071267498171 -03.9076470962279|   2.561 -5.070   |9.48     |A0             |    ~     ~    |    1|  436.719   pc  |  -2.7083     +2.7083  |paral   |2020yCat.1350....0G
1187|HD 236457                                                                                                                                                                                                                                            |Star                                |00 32 22.6557402048 +58 56 34.232089596|120.4702117333865 -03.8377715709692| 28.669 -19.429   |9.21     |F0             |    ~     ~    |    1|  213.147   pc  |  -0.6042     +0.6042  |paral   |2020yCat.1350....0G
1188|HD 3050                                                                                                                                                                                                                                              |Star                                |00 34 21.4968 +58 52 40.973            |120.7212972 -03.9203701            |       24.6 0.1   |8.51     |A2             |    ~     ~    |    0|                |                       |        |                   
1189|HD 236483                                                                                                                                                                                                                                            |Star                                |00 37 22.2453137112 +58 59 27.963540924|121.1169555989447 -03.8310646480917|  -3.702 -7.526   |10.02    |K2III          |    ~     ~    |    1|  838.926   pc  |  -9.7124     +9.7124  |paral   |2020yCat.1350....0G
1190|BD+60 61                                                                                                                                                                                                                                             |Star                                |00 30 44.8979491584 +61 11 28.903676028|120.4410702953907 -01.5802837819766|    3.334 0.063   |9.57     |K7III          |    ~     ~    |    1|  674.445   pc  |  -6.0499     +6.0499  |paral   |2020yCat.1350....0G
1191|BD+60 63                                                                                                                                                                                                                                             |Red Supergiant                      |00 30 59.5308177072 +61 26 19.148469036|120.4899893146587 -01.3361170720656|  -1.054 -0.617   |8.44     |M0Ib           |0.0033  0.0    |    1| 1505.117   pc  | -33.7541    +33.7541  |paral   |2020yCat.1350....0G
1192|BD+60 64                                                                                                                                                                                                                                             |Star                                |00 31 42.9550874976 +61 07 49.971365148|120.5526708621725 -01.6500583757553|  18.696 -4.930   |9.63     |A5             |    ~     ~    |    1|  256.056   pc  |  -2.2685     +2.2685  |paral   |2020yCat.1350....0G
1193|LS I +60 114                                                                                                                                                                                                                                         |Star                                |00 31 48.0032586048 +60 34 05.596718736|120.5199215054493 -02.2115247870690|  -1.469 -1.162   |10.8     |B              |    ~     ~    |    1| 3074.085   pc  |-124.7400   +124.7400  |paral   |2020yCat.1350....0G
1194|BD+60 65                                                                                                                                                                                                                                             |Star                                |00 32 19.0067296536 +60 50 58.881408504|120.6041699724398 -01.9356080480892|  -1.300 -2.628   |10.26    |A0             |    ~     ~    |    1|  697.447   pc  |  -9.3882     +9.3882  |paral   |2020yCat.1350....0G
1195|HD 3191                                                                                                                                                                                                                                              |Star                                |00 35 50.8441094127 +61 27 35.317246697|121.0703234687237 -01.3555715389350|  -0.862 -0.221   |8.60     |B1IV:nn        |    ~     ~    |    1| 1209.04    pc  | -22.95      +22.95    |paral   |2020yCat.1350....0G
1196|BD+60 72                                                                                                                                                                                                                                             |Star                                |00 36 46.0529172168 +61 06 52.102698912|121.1603959359071 -01.7068031777622|  -6.101 -5.208   |10.07    |G5             |    ~     ~    |    1|  205.339   pc  |  -1.9058     +1.9058  |paral   |2020yCat.1350....0G
1197|BD+60 73                                                                                                                                                                                                                                             |High Mass X-ray Binary              |00 37 09.6358153296 +61 21 36.487888344|121.2214305655748 -01.4641856293989|  -1.796 -0.525   |9.66     |B1Ib           |    ~     ~    |    1| 3677.823   pc  |-163.6692   +163.6692  |paral   |2020yCat.1350....0G
1198|BD+60 74                                                                                                                                                                                                                                             |Star                                |00 37 15.0015611880 +60 48 00.291333852|121.2012677423543 -02.0239819100305|  -1.534 -1.259   |10.47    |B5             |    ~     ~    |    1| 1066.098   pc  | -18.1850    +18.1850  |paral   |2020yCat.1350....0G
1199|BD+60 77                                                                                                                                                                                                                                             |Star                                |00 39 30.2245138272 +60 52 00.592246488|121.4790550438001 -01.9712461337769| 39.288 -25.032   |8.93     |F0             |    ~     ~    |    1|  205.787   pc  |  -1.8379     +1.8379  |paral   |2020yCat.1350....0G
1200|Case 34                                                                                                                                                                                                                                              |Carbon Star                         |00 39 39.2085642528 +60 46 07.127760864|121.4927738819557 -02.0701672185304|  -1.667 -0.238   |10.8     |N              |    ~     ~    |    0|                |                       |        |                   
1201|Hilt 44                                                                                                                                                                                                                                              |Emission-line Star                  |00 39 49.7422670424 +60 57 31.240500948|121.5227723771476 -01.8813029144692|  -1.479 -1.415   |10.00    |O9IV           |    ~     ~    |    1| 3263.708   pc  |-117.1697   +117.1697  |paral   |2020yCat.1350....0G
1202|HD 3672                                                                                                                                                                                                                                              |Star                                |00 40 06.4966437504 +60 50 56.692874040|121.5518201384081 -01.9923028518227|   -4.058 0.037   |8.93     |F2             |    ~     ~    |    1| 1118.193   pc  | -21.2560    +21.2560  |paral   |2020yCat.1350....0G
1203|HD 2906                                                                                                                                                                                                                                              |Star                                |00 32 57.4908111744 +60 22 03.000840060|120.6474974359513 -02.4222540685229|   42.057 4.802   |8.62     |K0             |    ~     ~    |    1|  337.484   pc  |  -2.0729     +2.0729  |paral   |2020yCat.1350....0G
1204|HD 2974                                                                                                                                                                                                                                              |Star                                |00 33 34.5561778704 +60 32 55.143658176|120.7363089248892 -02.2469268113490|  13.507 -3.027   |7.89     |B9             |    ~     ~    |    1|  247.709   pc  |  -1.7058     +1.7058  |paral   |2020yCat.1350....0G
1205|HD 236468                                                                                                                                                                                                                                            |Star                                |00 35 14.6133929280 +60 29 46.730195844|120.9377102309231 -02.3127130771152|  -4.790 -3.348   |9.92     |B8             |    ~     ~    |    1| 1115.449   pc  | -23.8891    +23.8891  |paral   |2020yCat.1350....0G
1206|HD 236470                                                                                                                                                                                                                                            |Star                                |00 35 25.6124516304 +60 26 32.710269876|120.9569006861454 -02.3679145550102|  -3.616 -3.078   |9.67     |A7             |    ~     ~    |    1|  361.690   pc  |  -1.6614     +1.6614  |paral   |2020yCat.1350....0G
1207|HD 3183                                                                                                                                                                                                                                              |Star                                |00 35 37.6534318080 +60 17 45.067088400|120.9726156941972 -02.5157347662014| -29.940 -1.668   |8.40     |F0             |    ~     ~    |    1|  528.989   pc  | -42.5620    +42.5620  |paral   |2020yCat.1350....0G
1208|HD 3283                                                                                                                                                                                                                                              |Star                                |00 36 27.3446327760 +60 19 34.367545740|121.0768957179077 -02.4915603484936|   2.303 -1.662   |5.792    |A3III          |    ~     ~    |    1|  931.359   pc  | -25.5892    +25.5892  |paral   |2020yCat.1350....0G
1209|HD 236484                                                                                                                                                                                                                                            |Star                                |00 37 29.5668176616 +60 18 37.829184120|121.2043120597235 -02.5144533902771|   2.234 -0.035   |8.60     |G8III          |    ~     ~    |    1|  865.127   pc  | -57.9296    +57.9296  |paral   |2020yCat.1350....0G
1210|HD 3489                                                                                                                                                                                                                                              |Star                                |00 38 33.4415793552 +60 19 29.216583984|121.3367964640704 -02.5070657713046|  -3.678 -1.153   |6.769    |K3Ib-II        |    ~     ~    |    1|  924.556   pc  | -15.1300    +15.1300  |paral   |2020yCat.1350....0G
1211|IDS 00336+6013 AB                                                                                                                                                                                                                                    |Double or Multiple Star             |00 39 22.74 +60 44 52.6                |121.45831 -02.08930                |            ~ ~   |10.1     |~              |    ~     ~    |    0|                |                       |        |                   
1212|NGC 129A                           HD 236433                                                                                                                                                                                                         |Spectroscopic Binary                |00 30 06.0055796736 +60 09 04.103352540|120.2770234907259 -02.6105684760132|  -3.913 -1.296   |8.87     |F4II           |    ~     ~    |    1| 1867.762   pc  | -60.0028    +60.0028  |paral   |2020yCat.1350....0G
1213|HD 2626                                                                                                                                                                                                                                              |Double or Multiple Star             |00 30 19.9344223392 +59 58 39.189476856|120.2916023240173 -02.7859515682407|  13.798 -5.049   |5.94     |B7IV           |0.0050  0.0    |    1|  312.295   pc  | -26.5959    +26.5959  |paral   |2020yCat.1350....0G
1214|HIP 2382                                                                                                                                                                                                                                             |Be Star                             |00 30 24.4495706712 +60 10 09.248158092|120.3166616986967 -02.5956784425340|  -2.470 -1.156   |10.89    |B6III          |    ~     ~    |    1| 1878.640   pc  | -52.9393    +52.9393  |paral   |2020yCat.1350....0G
1215|HD 236446                                                                                                                                                                                                                                            |Star                                |00 31 25.4682391272 +60 15 19.605628332|120.4495659436067 -02.5198044237078|   5.502 -6.576   |8.71     |M0IIp          |    ~     ~    |    1|  911.743   pc  | -13.3004    +13.3004  |paral   |2020yCat.1350....0G
1216|HD 236448                                                                                                                                                                                                                                            |Star                                |00 31 31.4364289104 +60 10 20.029724976|120.4554383315475 -02.6037270732067|  -5.384 -0.139   |9.36     |B8             |    ~     ~    |    1|  778.756   pc  | -29.2920    +29.2920  |paral   |2020yCat.1350....0G
1217|HD 2745                                                                                                                                                                                                                                              |Star                                |00 31 33.0612494112 +60 04 19.598928456|120.4510603159816 -02.7038080178725|    4.949 1.022   |8.90     |A0V            |    ~     ~    |    0|                |                       |        |                   
1218|HD 236449                                                                                                                                                                                                                                            |Star                                |00 31 38.3348049240 +60 15 19.394164188|120.4761056532215 -02.5219184781190|  -0.967 -0.512   |8.57     |K2.5II-III     |    ~     ~    |    1| 1462.416   pc  | -37.2127    +37.2127  |paral   |2020yCat.1350....0G
1219|HD 3039                                                                                                                                                                                                                                              |High Proper Motion Star             |00 34 09.0106513392 +59 53 57.497785224|120.7631448755222 -02.8996241675997|-96.563 -14.077   |8.00     |G0             |    ~     ~    |    1|   91.871   pc  |  -0.2726     +0.2726  |paral   |2020yCat.1350....0G
1220|GSC 04016-01782                                                                                                                                                                                                                                      |Double or Multiple Star             |00 36 36.5827202520 +60 15 03.510434412|121.0915998511174 -02.5677767757003|  -3.226 -1.708   |10.535   |B              |    ~     ~    |    1| 2350.729   pc  | -82.8889    +82.8889  |paral   |2020yCat.1350....0G
1221|HD 3519                                                                                                                                                                                                                                              |Star                                |00 38 49.2724859904 +59 49 34.148958888|121.3449697661324 -03.0067134942076|  18.485 -3.704   |6.74     |A0             |    ~     ~    |    1|  292.543   pc  |  -2.9269     +2.9269  |paral   |2020yCat.1350....0G
1222|HD 236492                                                                                                                                                                                                                                            |Star                                |00 39 25.6102916880 +60 06 53.864998740|121.4345871970360 -02.7218606369995|  8.862 -17.901   |9.12     |G8IV           |    ~     ~    |    1|  366.488   pc  |  -1.8132     +1.8132  |paral   |2020yCat.1350....0G
1223|HD 236441                                                                                                                                                                                                                                            |High Proper Motion Star             |00 30 42.3829507056 +59 37 40.420920756|120.3101155457148 -03.1382754844006| 45.791 -27.286   |8.74     |K2             |    ~     ~    |    1|  147.604   pc  |  -0.4423     +0.4423  |paral   |2020yCat.1350....0G
1224|BD+58 69                                                                                                                                                                                                                                             |Pulsating Variable                  |00 31 10.6779455976 +59 29 34.485253440|120.3589861561432 -03.2775841986716|  -3.283 -0.791   |9.79     |~              |    ~     ~    |    1| 2207.993   pc  |-209.6350   +209.6350  |paral   |2020yCat.1350....0G
1225|HD 236461                                                                                                                                                                                                                                            |Star                                |00 33 13.0300751376 +59 09 34.625292912|120.5938401353503 -03.6293873892393|  -4.581 -1.935   |9.13     |K5             |    ~     ~    |    1|  958.957   pc  | -14.1618    +14.1618  |paral   |2020yCat.1350....0G
1226|HD 236469                                                                                                                                                                                                                                            |Emission-line Star                  |00 35 17.0075858808 +59 18 44.206125840|120.8682076317025 -03.4947217840836|  -1.858 -0.871   |9.15     |F4Ie:          |    ~     ~    |    1| 3698.225   pc  |-203.7853   +203.7853  |paral   |2020yCat.1350....0G
1227|HD 3224                                                                                                                                                                                                                                              |Star                                |00 36 04.6114571760 +59 30 07.000558992|120.9807808499516 -03.3115962128600|  -2.477 -0.340   |8.81     |A2             |    ~     ~    |    1|  932.401   pc  | -29.8194    +29.8194  |paral   |2020yCat.1350....0G
1228|HD 3409                                                                                                                                                                                                                                              |Star                                |00 37 37.0730153760 +59 10 12.913275540|121.1584582894045 -03.6538971319199| 23.740 -13.208   |7.87     |K1III          |    ~     ~    |    1|  295.569   pc  |  -1.3716     +1.3716  |paral   |2020yCat.1350....0G
1229|BD+58 73                                                                                                                                                                                                                                             |Star                                |00 31 36.0 +60 05 00                   |120.4580 -02.6931                  |            ~ ~   |8.57     |K2.5II-III     |    ~     ~    |    0|                |                       |        |                   
1230|NGC 189                            NGC 189                                                                                                                                                                                                           |Open Cluster                        |00 39 32.4 +61 05 24                   |121.4938 -01.7485                  |   0.338 -3.306   |8.8      |~              | 9.5   9.5     |    1| 1228.0     pc  |                       |paral   |2021A&A...651A.104P
1231|NGC 129                            NGC 129                                                                                                                                                                                                           |Open Cluster                        |00 30 25.7 +60 12 47                   |120.3228 -02.5523                  |  -2.605 -1.096   |6.5      |~              |20.3  20.3     |    1| 1906.0     pc  |                       |paral   |2021A&A...651A.104P
1232|BD+59 69                                                                                                                                                                                                                                             |Variable Star                       |00 31 17.9907782496 +59 53 45.247659504|120.4059970401676 -02.8770428930624|   4.034 -3.956   |10.10    |M3             |    ~     ~    |    1| 1109.878   pc  | -25.9916    +25.9916  |paral   |2020yCat.1350....0G
1233|NGC 129 65                         NGC 129 65                                                                                                                                                                                                        |Star                                |00 30 31.0554632088 +60 10 40.495540404|120.3310276802561 -02.5881421211363|  -2.170 -1.143   |12.81    |~              |    ~     ~    |    1| 1909.855   pc  | -69.3034    +69.3034  |paral   |2020yCat.1350....0G
1234|NGC 136 28                         NGC 136 28                                                                                                                                                                                                        |Star                                |00 31 24.0 +61 32 00                   |120.5460 -01.2456                  |            ~ ~   |14.85    |~              |    ~     ~    |    0|                |                       |        |                   
1235|NGC 129 113                        NGC 129 113                                                                                                                                                                                                       |Star                                |00 30 01.34 +60 11 22.8                |120.27058 -02.57137                |            ~ ~   |13.88    |~              |    ~     ~    |    0|                |                       |        |                   
1236|BD+59 66                                                                                                                                                                                                                                             |Star                                |00 30 04.1277965328 +60 29 34.018473480|120.3014996269693 -02.2697796651679|  -0.977 -0.612   |10.76    |~              |    ~     ~    |    1| 1510.346   pc  | -24.8645    +24.8645  |paral   |2020yCat.1350....0G
1237|NGC 129 106                        NGC 129 106                                                                                                                                                                                                       |Star                                |00 30 03.9712159152 +60 13 25.060412712|120.2788341891416 -02.5379805411115|  -2.583 -1.226   |13.5     |~              |    ~     ~    |    1| 1910.220   pc  | -53.2745    +53.2745  |paral   |2020yCat.1350....0G
1238|Cl* NGC 129 SS 281                                                                                                                                                                                                                                   |Star                                |00 30 05.3147803968 +60 36 21.247028028|120.3133077869496 -02.1572514178610|   0.167 -0.762   |10.31    |~              |    ~     ~    |    1|  937.031   pc  | -15.0143    +15.0143  |paral   |2020yCat.1350....0G
1239|NGC 129 109                        NGC 129 109                                                                                                                                                                                                       |Star                                |00 30 06.5617030560 +60 08 06.940013892|120.2768580090257 -02.6264881706644|    3.969 0.430   |11.99    |~              |    ~     ~    |    1|  879.507   pc  | -10.6748    +10.6748  |paral   |2020yCat.1350....0G
1240|NGC 129 108                        NGC 129 108                                                                                                                                                                                                       |Star                                |00 30 06.9016654944 +60 07 40.399979700|120.2769508333695 -02.6338934959399|  -2.737 -1.426   |13.2     |~              |    ~     ~    |    1| 1876.173   pc  | -52.4484    +52.4484  |paral   |2020yCat.1350....0G
1241|NGC 129 103                        NGC 129 103                                                                                                                                                                                                       |Star                                |00 30 07.0411069560 +60 16 14.410013016|120.2890675447559 -02.4916266622299|  -2.008 -1.839   |13.0     |~              |    ~     ~    |    1| 2898.551   pc  |-111.7412   +111.7412  |paral   |2020yCat.1350....0G
1242|NGC 129 99                         NGC 129 99                                                                                                                                                                                                        |Star                                |00 30 09.7755858072 +60 15 02.050964208|120.2930423225223 -02.5121248201195|  -1.398 -0.744   |13.0     |~              |    ~     ~    |    1| 2930.832   pc  | -93.6286    +93.6286  |paral   |2020yCat.1350....0G
1243|NGC 129 94                         NGC 129 94                                                                                                                                                                                                        |Star                                |00 30 10.4285133144 +60 17 07.823176908|120.2972751895008 -02.4774187398237|  -0.796 -0.243   |13.2     |~              |    ~     ~    |    1| 2139.495   pc  | -52.6406    +52.6406  |paral   |2020yCat.1350....0G
1244|NGC 129 98                         NGC 129 98                                                                                                                                                                                                        |Star                                |00 30 10.6655243856 +60 14 49.324818012|120.2945857886825 -02.5157996928083|   -1.373 5.586   |12.9     |~              |    ~     ~    |    1|  658.458   pc  | -13.6574    +13.6574  |paral   |2020yCat.1350....0G
1245|NGC 129 90                         NGC 129 90                                                                                                                                                                                                        |Star                                |00 30 12.1007271528 +60 15 23.032406880|120.2983187144747 -02.5067130920709|  -8.831 -2.762   |13.2     |~              |    ~     ~    |    1|  476.168   pc  |  -2.6982     +2.6982  |paral   |2020yCat.1350....0G
