C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:17:40

dec >=0&rah >=0.5&rah< 0.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 5072

 #  |                                                                                                                     identifier                                                                                                                      |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |HD 2992                                                                                                                                                                                                                                              |Spectroscopic Binary                |00 33 33.2945200464 +45 08 55.415665644|119.6253730465245 -17.6081778378846|-32.520 -31.891   |8.31     |G5             |    ~     ~    |    1|  192.593   pc  |  -5.9904     +5.9904  |paral   |2020yCat.1350....0G
23  |CCDM J00335+4509BC                                                                                                                                                                                                                                   |Double or Multiple Star             |00 33 31.7 +45 08 41                   |119.6202 -17.6118                  |            ~ ~   |10.3     |~              |    ~     ~    |    0|                |                       |        |                   
24  |BD+44 116                                                                                                                                                                                                                                            |Star                                |00 33 52.9472897376 +45 09 33.902425944|119.6866082651204 -17.6016795010144|  -8.145 -8.273   |8.65     |G5             |    ~     ~    |    1|  495.074   pc  | -11.8873    +11.8873  |paral   |2020yCat.1350....0G
25  |BD+44 117                                                                                                                                                                                                                                            |High Proper Motion Star             |00 34 16.0406340144 +45 44 35.419757388|119.8002813149874 -17.0241426124945| -5.276 -57.227   |10.40    |G5             |    ~     ~    |    1|   96.270   pc  |  -0.2113     +0.2113  |paral   |2020yCat.1350....0G
26  |IRAS 00336+4653                                                                                                                                                                                                                                      |Star                                |00 36 21.7699267320 +47 09 52.763222340|120.2721448907857 -15.6292229074935|   6.428 -2.632   |10.61    |~              |    ~     ~    |    1| 1314.406   pc  | -48.7201    +48.7201  |paral   |2020yCat.1350....0G
27  |HD 2621                                                                                                                                                                                                                                              |Star                                |00 30 05.5483197216 +45 03 26.948115648|118.9786960343924 -17.6503554045321| -3.038 -12.249   |9.35     |A0             |    ~     ~    |    1|  304.090   pc  |  -2.1268     +2.1268  |paral   |2020yCat.1350....0G
28  |HD 2875                                                                                                                                                                                                                                              |Star                                |00 32 23.7055495944 +44 55 21.472647240|119.3930386499356 -17.8182273103567| 10.731 -31.528   |9.00     |F8             |    ~     ~    |    1|  165.615   pc  |  -0.5102     +0.5102  |paral   |2020yCat.1350....0G
29  |BD+44 110B                                                                                                                                                                                                                                           |Star                                |00 32 22.4052881256 +44 55 25.937139288|119.3891226085635 -17.8166931251671| -10.476 -4.263   |10.7     |~              |    ~     ~    |    1| 1030.078   pc  | -17.9319    +17.9319  |paral   |2020yCat.1350....0G
30  |BD+44 112                                                                                                                                                                                                                                            |Star                                |00 32 38.7795715200 +44 55 09.999601536|119.4393567357332 -17.8248326398796|   8.398 -6.569   |9.57     |A5             |    ~     ~    |    1|  338.329   pc  |  -2.1062     +2.1062  |paral   |2020yCat.1350....0G
31  |TYC 2796-224-1                                                                                                                                                                                                                                       |Star                                |00 30 09.2975455392 +44 47 42.138862656|118.9663451563714 -17.9127719654306|   0.218 -9.425   |10.87    |~              |    ~     ~    |    1| 1263.424   pc  | -32.4037    +32.4037  |paral   |2020yCat.1350....0G
32  |TYC 2796-966-1                                                                                                                                                                                                                                       |Star                                |00 30 50.7952579296 +44 58 21.708002028|119.1104851881002 -17.7462101981345|   -9.479 0.248   |10.62    |~              |    ~     ~    |    1|  951.746   pc  | -15.2178    +15.2178  |paral   |2020yCat.1350....0G
33  |TYC 2796-1112-1                                                                                                                                                                                                                                      |Star                                |00 31 55.2520574616 +44 44 19.268521764|119.2897603789075 -17.9949962242038| -3.227 -10.953   |10.32    |~              |    ~     ~    |    1|  815.195   pc  | -14.7529    +14.7529  |paral   |2020yCat.1350....0G
34  |TYC 2796-1352-1                                                                                                                                                                                                                                      |High Proper Motion Star             |00 32 50.3229923256 +44 59 06.485722692|119.4802559056569 -17.7619253194730|  56.933 -2.708   |10.95    |~              |    ~     ~    |    1|  313.411   pc  |  -1.7779     +1.7779  |paral   |2020yCat.1350....0G
35  |TYC 2796-1410-1                                                                                                                                                                                                                                      |Star                                |00 33 12.2949239856 +44 42 00.816235848|119.5258025488146 -18.0509027381167|   -0.898 2.039   |10.81    |~              |    ~     ~    |    1|  405.466   pc  |  -2.9921     +2.9921  |paral   |2020yCat.1350....0G
36  |TYC 2796-2040-1                                                                                                                                                                                                                                      |Star                                |00 31 58.9393015920 +44 53 28.770007128|119.3139213262503 -17.8437049577643|   3.574 -4.560   |9.95     |~              |    ~     ~    |    1| 1419.849   pc  | -42.3354    +42.3354  |paral   |2020yCat.1350....0G
37  |TYC 3248-29-1                                                                                                                                                                                                                                        |Star                                |00 31 55.7626340256 +45 47 35.523901680|119.3790414215159 -16.9439241816956|    8.574 2.050   |10.66    |~              |    ~     ~    |    1|  898.876   pc  | -18.5027    +18.5027  |paral   |2020yCat.1350....0G
38  |TYC 3248-77-1                                                                                                                                                                                                                                        |Star                                |00 30 38.7169002576 +45 54 29.849217588|119.1559769324626 -16.8109575503497|  -7.559 -7.280   |10.31    |~              |    ~     ~    |    1|  519.859   pc  |  -6.5671     +6.5671  |paral   |2020yCat.1350....0G
39  |TYC 3248-334-1                                                                                                                                                                                                                                       |Star                                |00 32 24.2719392240 +45 04 59.592809748|119.4078575503840 -17.6582511420433|  -0.668 -3.153   |9.90     |~              |    ~     ~    |    1|  502.210   pc  |  -3.6067     +3.6067  |paral   |2020yCat.1350....0G
40  |TYC 3248-385-1                                                                                                                                                                                                                                       |Star                                |00 30 49.5046888584 +45 47 14.351701164|119.1779743600906 -16.9341294082995| 21.138 -12.678   |10.73    |~              |    ~     ~    |    1|  175.762   pc  |  -0.4819     +0.4819  |paral   |2020yCat.1350....0G
41  |TYC 3248-388-1                                                                                                                                                                                                                                       |Star                                |00 33 13.8463248096 +45 20 26.237069736|119.5804777356483 -17.4126127056052| -3.818 -17.094   |10.71    |~              |    ~     ~    |    1|  142.203   pc  |  -0.3296     +0.3296  |paral   |2020yCat.1350....0G
42  |TYC 3248-565-1                                                                                                                                                                                                                                       |Star                                |00 32 16.8991617192 +45 02 00.760818156|119.3810971688052 -17.7060894460096| 30.148 -11.960   |10.56    |~              |    ~     ~    |    1|  283.785   pc  |  -1.3046     +1.3046  |paral   |2020yCat.1350....0G
43  |TYC 3248-639-1                                                                                                                                                                                                                                       |Star                                |00 32 25.0998472344 +45 18 44.057250036|119.4289903461178 -17.4301084374362|    1.891 0.159   |10.64    |~              |    ~     ~    |    1|  949.307   pc  | -12.7968    +12.7968  |paral   |2020yCat.1350....0G
44  |TYC 3248-770-1                                                                                                                                                                                                                                       |Star                                |00 32 55.5844698624 +45 30 11.241128376|119.5373870645055 -17.2465800426118|  42.156 -7.358   |10.88    |~              |    ~     ~    |    1|  234.913   pc  |  -0.8057     +0.8057  |paral   |2020yCat.1350....0G
45  |TYC 3248-1033-1                                                                                                                                                                                                                                      |Star                                |00 30 57.2918199144 +45 33 10.961562168|119.1811825242299 -17.1694790508251|   41.623 4.864   |10.93    |~              |    ~     ~    |    1|  102.122   pc  |  -0.1470     +0.1470  |paral   |2020yCat.1350....0G
46  |TYC 3248-1092-1                                                                                                                                                                                                                                      |Star                                |00 32 35.0287984152 +45 39 17.446874940|119.4868693490410 -17.0907462797942|   -2.345 0.549   |9.83     |~              |    ~     ~    |    1|  662.910   pc  |  -7.0751     +7.0751  |paral   |2020yCat.1350....0G
47  |TYC 3248-1189-1                                                                                                                                                                                                                                      |Star                                |00 33 08.8160475000 +45 42 21.617394804|119.5934993853668 -17.0471458867511|   4.971 -4.438   |10.54    |~              |    ~     ~    |    1|  771.605   pc  |  -9.5855     +9.5855  |paral   |2020yCat.1350....0G
48  |TYC 3248-1196-1                                                                                                                                                                                                                                      |Star                                |00 30 26.1435580008 +45 37 58.911402900|119.0935344531709 -17.0821326465211|  17.664 -0.977   |10.30    |~              |    ~     ~    |    1|  765.521   pc  |  -7.7941     +7.7941  |paral   |2020yCat.1350....0G
49  |TYC 3248-1324-1                                                                                                                                                                                                                                      |Star                                |00 33 42.9948901416 +45 43 54.374779488|119.6991834475636 -17.0287128926874|    1.892 6.211   |10.49    |~              |    ~     ~    |    1|  270.402   pc  |  -1.4843     +1.4843  |paral   |2020yCat.1350....0G
50  |TYC 3248-1864-1                                                                                                                                                                                                                                      |High Proper Motion Star             |00 33 09.8420879784 +46 48 15.869953512|119.6813119021815 -15.9519700233930|  51.484 -9.053   |10.73    |~              |    ~     ~    |    1|  162.061   pc  |  -0.6146     +0.6146  |paral   |2020yCat.1350....0G
51  |TYC 3248-1880-1                                                                                                                                                                                                                                      |Star                                |00 31 53.8906510248 +46 22 02.240906268|119.4207777820319 -16.3712047097425| -12.785 -9.657   |10.13    |~              |    ~     ~    |    1|  378.831   pc  |  -2.4397     +2.4397  |paral   |2020yCat.1350....0G
52  |NSVS 3712255                                                                                                                                                                                                                                         |Eclipsing Binary                    |00 31 40.4702692944 +46 40 05.096588304|119.4056965128260 -16.0683062097003|  -5.289 -9.742   |10.01    |~              |    ~     ~    |    1|  351.333   pc  |  -2.5921     +2.5921  |paral   |2020yCat.1350....0G
53  |TYC 3248-1998-1                                                                                                                                                                                                                                      |Star                                |00 33 13.0643280336 +46 20 25.205360136|119.6552802396477 -16.4154615477310|  -8.490 -6.879   |10.91    |~              |    ~     ~    |    1|  279.088   pc  |  -1.2540     +1.2540  |paral   |2020yCat.1350....0G
54  |TYC 3248-2021-1                                                                                                                                                                                                                                      |Star                                |00 32 16.6712671104 +46 04 24.590026380|119.4650792691568 -16.6692360925595|    2.530 5.003   |9.96     |~              |    ~     ~    |    1|  647.207   pc  |  -6.0318     +6.0318  |paral   |2020yCat.1350....0G
55  |TYC 3248-2026-1                                                                                                                                                                                                                                      |Star                                |00 32 47.6275274760 +46 26 22.450805880|119.5870090810778 -16.3110550235209|    1.038 0.720   |10.20    |~              |    ~     ~    |    1| 1371.178   pc  | -28.0139    +28.0139  |paral   |2020yCat.1350....0G
56  |TYC 3248-2039-1                                                                                                                                                                                                                                      |Star                                |00 31 44.9053884864 +46 16 10.488140112|119.3858276456010 -16.4665552806970|   19.673 5.639   |10.95    |~              |    ~     ~    |    1|  453.330   pc  |  -2.7744     +2.7744  |paral   |2020yCat.1350....0G
57  |TYC 3248-2104-1                                                                                                                                                                                                                                      |Star                                |00 33 07.0327029960 +46 20 39.971654628|119.6375589418877 -16.4100891259767|   -0.086 3.508   |10.54    |~              |    ~     ~    |    1|  785.299   pc  | -10.0521    +10.0521  |paral   |2020yCat.1350....0G
58  |TYC 3248-2153-1                                                                                                                                                                                                                                      |Star                                |00 32 24.4362334680 +46 13 44.025158244|119.5009286156981 -16.5160344884239|    0.425 0.052   |9.48     |~              |    ~     ~    |    1| 1274.535   pc  | -25.3412    +25.3412  |paral   |2020yCat.1350....0G
59  |TYC 3248-2190-1                                                                                                                                                                                                                                      |Star                                |00 33 42.8066594424 +46 08 50.676170856|119.7298044962053 -16.6141080380880|  19.921 23.097   |9.77     |~              |    ~     ~    |    1|  194.776   pc  |  -1.1343     +1.1343  |paral   |2020yCat.1350....0G
60  |TYC 3248-2231-1                                                                                                                                                                                                                                      |Star                                |00 33 15.6717484368 +45 57 14.806547028|119.6334219272117 -16.8011884625087|   6.455 -2.148   |9.80     |~              |    ~     ~    |    1| 1721.763   pc  | -59.2894    +59.2894  |paral   |2020yCat.1350....0G
61  |TYC 3248-2405-1                                                                                                                                                                                                                                      |Star                                |00 31 37.2503039184 +46 06 34.311047508|119.3495225843059 -16.6243277246557|   20.973 2.995   |10.57    |~              |    ~     ~    |    1|  705.965   pc  |  -6.8279     +6.8279  |paral   |2020yCat.1350....0G
62  |TYC 3248-2506-1                                                                                                                                                                                                                                      |Star                                |00 32 13.1903927616 +46 08 50.790762384|119.4606118129469 -16.5947338120424|  -6.318 -5.041   |9.84     |~              |    ~     ~    |    1|  554.939   pc  |  -6.3747     +6.3747  |paral   |2020yCat.1350....0G
63  |TYC 3248-2536-1                                                                                                                                                                                                                                      |Star                                |00 33 04.9712563320 +46 26 03.058787076|119.6383359136207 -16.3201504499545|  -1.295 -6.495   |10.75    |~              |    ~     ~    |    1|  451.162   pc  |  -5.4551     +5.4551  |paral   |2020yCat.1350....0G
64  |TYC 3249-725-1                                                                                                                                                                                                                                       |Star                                |00 34 40.9375247640 +45 29 18.554352576|119.8576811290447 -17.2832202575824|  -3.506 -3.822   |10.73    |~              |    ~     ~    |    1| 1119.946   pc  | -23.3296    +23.3296  |paral   |2020yCat.1350....0G
65  |TYC 3249-1558-1                                                                                                                                                                                                                                      |Star                                |00 34 14.3506476048 +46 42 58.698263016|119.8658145892439 -16.0530273195855|  3.585 -13.164   |10.20    |~              |    ~     ~    |    1|  520.535   pc  | -12.8163    +12.8163  |paral   |2020yCat.1350....0G
66  |TYC 3249-1630-1                                                                                                                                                                                                                                      |Star                                |00 34 08.3613068688 +46 47 58.823810304|119.8541094316104 -15.9686711436588|  2.653 -22.362   |10.58    |~              |    ~     ~    |    1|  151.465   pc  |  -0.5162     +0.5162  |paral   |2020yCat.1350....0G
67  |TYC 3249-1736-1                                                                                                                                                                                                                                      |Star                                |00 35 14.9448622872 +46 26 51.858056040|120.0272407920299 -16.3326858071880|   15.579 2.597   |10.52    |~              |    ~     ~    |    1|  500.952   pc  |  -3.6639     +3.6639  |paral   |2020yCat.1350....0G
68  |TYC 3249-1894-1                                                                                                                                                                                                                                      |Star                                |00 34 14.1022849080 +46 12 20.608717896|119.8280841865900 -16.5623224739137|   1.472 -4.410   |10.84    |~              |    ~     ~    |    1| 1078.516   pc  | -16.7500    +16.7500  |paral   |2020yCat.1350....0G
69  |GSC 03249-01989                                                                                                                                                                                                                                      |Double or Multiple Star             |00 34 40.6781995728 +46 09 22.693883256|119.9043495100930 -16.6168969902020| -5.557 -10.888   |10.407   |~              |    ~     ~    |    1|  425.333   pc  |  -2.9126     +2.9126  |paral   |2020yCat.1350....0G
70  |TYC 3249-2042-1                                                                                                                                                                                                                                      |Star                                |00 35 22.0705854336 +46 33 11.937257136|120.0556577229587 -16.2286653745278|   7.040 -2.355   |10.72    |~              |    ~     ~    |    1|  919.033   pc  | -13.8518    +13.8518  |paral   |2020yCat.1350....0G
