C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:10:40

dec< 0&rah >=19.0&rah< 19.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6795

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
11  |HD 177566                                                                                                |Post-AGB Star                         |19 07 07.8863699904 -41 43 16.014829872|355.5473856402737 -20.4207479140613| -2.232 -42.706   |10.17    |B5/7Ib         |    ~     ~    |    1| 1163.873   pc  | -66.5109    +66.5109    |paral   |2020yCat.1350....0G
12  |HD 177664                                                                                                |Star                                  |19 07 26.3251091016 -41 29 35.677950468|355.7973477661182 -20.4021992411792|    6.292 6.551   |9.32     |A7IV/V         |    ~     ~    |    1|  337.348   pc  |  -3.1865     +3.1865    |paral   |2020yCat.1350....0G
13  |HD 176272                                                                                                |Star                                  |19 01 18.0216441432 -41 55 39.696145824|354.9626070766911 -19.4612949120870|-13.004 -18.695   |9.33     |G8/K0III       |    ~     ~    |    1|  504.847   pc  |  -5.2503     +5.2503    |paral   |2020yCat.1350....0G
14  |CD-42 13840                                                                                              |Star                                  |19 02 07.8927 -41 51 12.925            |355.0912428 -19.5826216            |    1.40 -34.40   |10.03    |~              |    ~     ~    |    0|                |                         |        |                   
15  |HD 176637                                                                                                |Star                                  |19 03 05.8672850256 -41 53 17.127180960|355.1196639988941 -19.7638130739899|-13.144 -31.574   |8.76     |K1/2(III)      |    ~     ~    |    1|  536.193   pc  |  -5.8651     +5.8651    |paral   |2020yCat.1350....0G
16  |HD 176755                                                                                                |Star                                  |19 03 40.7359307304 -41 53 53.123057412|355.1473145493913 -19.8692628789521| -14.057 -6.167   |10.04    |G8/K0(III)     |    ~     ~    |    1|  620.501   pc  |  -5.3903     +5.3903    |paral   |2020yCat.1350....0G
17  |HD 176083                                                                                                |Star                                  |19 00 30.0064147656 -42 06 44.857358100|354.7253824789484 -19.3827048400473|  -0.987 -8.475   |10.73    |A3/5IV/V       |    ~     ~    |    1|  488.019   pc  |  -5.0014     +5.0014    |paral   |2020yCat.1350....0G
18  |HD 176104                                                                                                |Star                                  |19 00 35.7844825776 -42 47 27.727699704|354.0524791693176 -19.6244775921343| 26.839 -17.697   |9.49     |G5/6V          |    ~     ~    |    1|  191.106   pc  |  -0.4602     +0.4602    |paral   |2020yCat.1350....0G
19  |HD 176169                                                                                                |Star                                  |19 00 52.6218667584 -42 10 08.323963284|354.6935418678170 -19.4674089131821|  3.633 -45.881   |8.82     |F3/5V          |    ~     ~    |    1|  230.409   pc  |  -1.2476     +1.2476    |paral   |2020yCat.1350....0G
20  |HD 176192                                                                                                |Star                                  |19 01 02.3431538304 -42 49 16.496895900|354.0505437678496 -19.7110854600381|   5.001 -5.276   |9.91     |A3/5IV/V       |    ~     ~    |    0|                |                         |        |                   
21  |HD 176273                                                                                                |Star                                  |19 01 24.6125372808 -42 49 27.166270152|354.0712785485990 -19.7763517287317|  -10.660 6.262   |8.77     |G8IV           |    ~     ~    |    1|  369.331   pc  |  -2.6326     +2.6326    |paral   |2020yCat.1350....0G
22  |HD 176620                                                                                                |Star                                  |19 03 04.6821933432 -42 29 20.294922840|354.5146208495129 -19.9568013999211| -2.514 -18.390   |8.84     |M2/3III        |    ~     ~    |    1|  671.637   pc  | -12.8562    +12.8562    |paral   |2020yCat.1350....0G
23  |CD-42 13859B                                                                                             |Star                                  |19 03 23.1 -42 38 03                   |354.3880 -20.0574                  |            ~ ~   |8.6      |~              |    ~     ~    |    0|                |                         |        |                   
24  |IDS 18563-4247 AB                                                                                        |Double or Multiple Star               |19 03 22.9 -42 38 03                   |354.3878 -20.0568                  |            ~ ~   |8.6      |F0+(F/GIII)    |    ~     ~    |    0|                |                         |        |                   
25  |CD-42 13859A                                                                                             |Star                                  |19 03 22.7 -42 38 04                   |354.3873 -20.0563                  |            ~ ~   |8.6      |~              |    ~     ~    |    0|                |                         |        |                   
26  |HD 176688                                                                                                |Star                                  |19 03 22.8127307976 -42 15 57.721282632|354.7581936667062 -19.9369961818138| 22.897 -11.166   |8.88     |F3/5V          |    ~     ~    |    1|  130.974   pc  |  -0.3620     +0.3620    |paral   |2020yCat.1350....0G
27  |HD 176962                                                                                                |Star                                  |19 04 31.6776222264 -41 57 18.810682380|355.1446152421779 -20.0371811329393|    5.338 0.481   |10.113   |G5/8           |    ~     ~    |    1|  606.398   pc  | -18.3400    +18.3400    |ST-L    |2020AJ....160...83S
28  |HD 177099                                                                                                |Star                                  |19 05 10.0956025824 -42 02 56.238952776|355.0911895388412 -20.1800750180082|   -0.632 2.235   |9.91     |G6/K0          |    ~     ~    |    1| 1107.910   pc  | -15.9571    +15.9571    |paral   |2020yCat.1350....0G
29  |HD 177144                                                                                                |Star                                  |19 05 24.7297134024 -42 45 38.550301740|354.3876081768892 -20.4507500260089|   3.339 -6.398   |10.24    |A7V            |    ~     ~    |    1|  509.803   pc  | -19.9700    +19.9700    |ST-L    |2020AJ....160...83S
30  |HD 177245                                                                                                |Star                                  |19 05 44.9385852624 -42 04 08.187785976|355.1080105865826 -20.2885591871702|   -7.365 0.950   |9.93     |K2             |    ~     ~    |    1|  964.320   pc  | -16.2735    +16.2735    |paral   |2020yCat.1350....0G
31  |HD 177246                                                                                                |Star                                  |19 05 49.1991974016 -42 40 21.301246884|354.5022065490946 -20.4937737562588|   6.075 -4.128   |10.27    |A2V            |    ~     ~    |    1|  397.788   pc  |  -4.1299     +4.1299    |paral   |2020yCat.1350....0G
32  |HD 177614                                                                                                |Star                                  |19 07 20.0821152048 -42 30 08.171332524|354.7689898349889 -20.7044228672640|  -5.167 -3.385   |9.867    |G8/K0III       |    ~     ~    |    1|  568.923   pc  | -18.4500    +18.4500    |ST-L    |2020AJ....160...83S
33  |HD 176002                                                                                                |Star                                  |19 00 01.3477463184 -43 20 49.770161340|353.4581399187075 -19.7083191846853| -10.873 -6.400   |7.93     |K0III          |    ~     ~    |    1|  154.257   pc  |  -0.7186     +0.7186    |paral   |2020yCat.1350....0G
34  |HD 176035                                                                                                |Star                                  |19 00 14.5671896448 -43 21 37.946755836|353.4586472417893 -19.7505440348413|  3.355 -27.400   |8.91     |K0/1III        |    ~     ~    |    1|  362.674   pc  |  -3.3015     +3.3015    |paral   |2020yCat.1350....0G
35  |HD 176338                                                                                                |Star                                  |19 01 42.9758077920 -43 25 32.644768944|353.4856860891270 -20.0248707659126|  3.049 -17.567   |8.58     |K1III          |    ~     ~    |    1|  540.365   pc  |  -7.1539     +7.1539    |paral   |2020yCat.1350....0G
36  |HD 176426                                                                                                |Star                                  |19 02 14.5782353832 -43 12 19.149135156|353.7406676261493 -20.0442826208091|  -4.648 -8.345   |9.69     |G8III          |    ~     ~    |    1|  567.472   pc  |  -5.0236     +5.0236    |paral   |2020yCat.1350....0G
37  |HD 176596                                                                                                |Star                                  |19 03 02.9647417224 -42 58 06.136102812|354.0300506137553 -20.1071207550378|    7.678 4.181   |9.25     |K1/2III        |    ~     ~    |    1|  964.972   pc  | -19.4615    +19.4615    |paral   |2020yCat.1350....0G
38  |HD 176639                                                                                                |Double or Multiple Star               |19 03 12.5295749328 -42 55 26.596747956|354.0847434142794 -20.1204408813021|       4.8 -4.4   |10.400   |F2/3V          |    ~     ~    |    0|                |                         |        |                   
39  |HD 176724                                                                                                |Star                                  |19 03 40.2927868632 -43 22 03.963881460|353.6656571733971 -20.3426469605182|  3.573 -33.915   |9.80     |F5V            |    ~     ~    |    1|  209.758   pc  |  -0.8624     +0.8624    |paral   |2020yCat.1350....0G
40  |HD 176791                                                                                                |Star                                  |19 03 58.1671 -43 09 02.108            |353.9036232 -20.3247659            |   -2.562 6.931   |9.73     |F3V            |    ~     ~    |    0|                |                         |        |                   
41  |HD 176837                                                                                                |Star                                  |19 04 12.0 -43 40 00                   |353.3956 -20.5283                  |            ~ ~   |10.0     |F7/G0          |    ~     ~    |    0|                |                         |        |                   
42  |CD-43 13082                                                                                              |Star                                  |19 04 56.6134460520 -43 42 35.366361876|353.3970087871517 -20.6694916256498|   0.687 -1.274   |10.42    |F0             |    ~     ~    |    1|  843.241   pc  | -13.6523    +13.6523    |paral   |2020yCat.1350....0G
43  |HD 177035                                                                                                |Star                                  |19 04 57.0293348616 -43 02 06.398604672|354.0812450232389 -20.4577769005947|  0.471 -12.867   |9.48     |A0V            |    ~     ~    |    1|  346.452   pc  |  -2.9767     +2.9767    |paral   |2020yCat.1350....0G
44  |HD 177125                                                                                                |Star                                  |19 05 18.6667036920 -43 21 27.919438848|353.7765558713435 -20.6221308277131|  -2.135 -9.819   |9.50     |K1/2(III)      |    ~     ~    |    1|  756.372   pc  | -12.5862    +12.5862    |paral   |2020yCat.1350....0G
45  |HD 177189                                                                                                |Star                                  |19 05 37.8494903064 -43 36 48.006233100|353.5365756525275 -20.7573429755374|   1.688 -3.509   |10.67    |A0/2II/III     |    ~     ~    |    1|  626.881   pc  |  -7.5059     +7.5059    |paral   |2020yCat.1350....0G
46  |HD 177455                                                                                                |High Proper Motion Star               |19 06 43.9115373000 -42 48 53.230443804|354.4145926268207 -20.6975490103149|  3.163 -53.029   |7.01     |G8III          |    ~     ~    |    1|  183.803   pc  |  -0.8209     +0.8209    |paral   |2020yCat.1350....0G
47  |HD 177585                                                                                                |Star                                  |19 07 20.5145093328 -43 06 26.124652836|354.1547892771327 -20.8950508648591|-19.588 -21.527   |9.69     |A7IV           |    ~     ~    |    1|  322.341   pc  |  -7.6058     +7.6058    |paral   |2020yCat.1350....0G
48  |HD 176425                                                                                                |Star                                  |19 02 08.5209987912 -41 54 37.826010432|355.0349163415654 -19.6032960475095| 30.557 -11.271   |6.209    |A0V            |    ~     ~    |    1|  109.757   pc  |  -0.5023     +0.5023    |paral   |2020yCat.1350....0G
49  |CD-43 13024                                                                                              |Spectroscopic Binary                  |19 00 22.5064522992 -43 47 25.504927188|353.0349253569548 -19.9133128017965|   3.055 -8.153   |10.61    |~              |    ~     ~    |    1|  919.879   pc  | -15.5696    +15.5696    |paral   |2020yCat.1350....0G
50  |CD-43 13088                                                                                              |High Proper Motion Star               |19 05 22.1989426008 -42 59 31.713488556|354.1507077292255 -20.5168739969289| 22.172 -49.845   |10.42    |~              |    ~     ~    |    1|  245.574   pc  |  -1.0131     +1.0131    |paral   |2020yCat.1350....0G
51  |* zet CrA                                                                                                |High Proper Motion Star               |19 03 06.8769803 -42 05 42.385816      |354.9129028716 -19.8346671852      |   56.41 -46.43   |4.725    |B9.5Vann       |    ~     ~    |    1|   57.5030  pc  |  -1.1993     +1.1993    |paral   |2018yCat.1345....0G
52  |CD-43 13023                                                                                              |Star                                  |19 00 15.7349127840 -43 14 19.202251848|353.5822099840581 -19.7139610509184| -4.354 -24.076   |9.98     |~              |    ~     ~    |    1|  219.602   pc  | -13.7248    +13.7248    |paral   |2020yCat.1350....0G
53  |CD-43 13034                                                                                              |Double or Multiple Star               |19 01 10.9651005384 -43 26 54.067747704|353.4295397522710 -19.9405667513647|  -4.789 -5.866   |10.157   |~              |    ~     ~    |    1| 1448.436   pc  | -51.4002    +51.4002    |paral   |2020yCat.1350....0G
54  |CD-43 13039                                                                                              |Star                                  |19 01 24.1200990144 -43 33 27.804990348|353.3331411601101 -20.0136060709293|  -1.919 -1.722   |10.27    |~              |    ~     ~    |    1|  595.451   pc  |  -7.0558     +7.0558    |paral   |2020yCat.1350....0G
55  |CD-43 13061                                                                                              |Star                                  |19 03 38.4919514664 -43 48 19.869129972|353.2209130259104 -20.4764871331768| -5.076 -29.013   |10.09    |~              |    ~     ~    |    1|  627.313   pc  |  -7.6343     +7.6343    |paral   |2020yCat.1350....0G
56  |CD-42 13864                                                                                              |Star                                  |19 03 42.5780433984 -42 30 12.811881996|354.5401363051659 -20.0716589113086| -4.888 -12.533   |9.97     |~              |    ~     ~    |    1|  835.003   pc  | -10.9465    +10.9465    |paral   |2020yCat.1350....0G
57  |CD-43 13067                                                                                              |Spectroscopic Binary                  |19 04 01.8089805936 -43 32 26.060390556|353.5129136617914 -20.4592711200696|  2.618 -20.992   |10.02    |~              |    ~     ~    |    1|  806.777   pc  | -33.5208    +33.5208    |paral   |2020yCat.1350....0G
58  |CPD-43 8883                                                                                              |Star                                  |19 04 10.4958130032 -43 37 57.321446916|353.4285862194543 -20.5132561094724| -6.134 -18.801   |10.06    |~              |    ~     ~    |    1|  198.954   pc  |  -0.7402     +0.7402    |paral   |2020yCat.1350....0G
59  |CD-43 13076                                                                                              |Star                                  |19 04 20.8707571368 -43 17 20.626507860|353.7870036435235 -20.4342074912980|    0.752 1.781   |10.22    |~              |    ~     ~    |    1| 1230.315   pc  | -23.0079    +23.0079    |paral   |2020yCat.1350....0G
60  |CD-43 13078                                                                                              |Star                                  |19 04 24.4243522128 -43 09 03.255443136|353.9304375812484 -20.4005218741553|  -0.069 -0.019   |9.927    |~              |    ~     ~    |    1| 1346.560   pc  |-100.6000   +100.6000    |ST-L    |2020AJ....160...83S
61  |CD-41 13311                                                                                              |Star                                  |19 05 10.2855114096 -41 41 46.321948500|355.4468506486377 -20.0664354317571|   8.602 -7.653   |9.94     |~              |    ~     ~    |    1|  588.166   pc  |  -9.1328     +9.1328    |paral   |2020yCat.1350....0G
62  |CD-43 13087                                                                                              |Star                                  |19 05 20.4556937328 -42 54 12.863437272|354.2385876740221 -20.4837509733465| -3.401 -11.394   |9.85     |~              |    ~     ~    |    1|  984.737   pc  | -16.9699    +16.9699    |paral   |2020yCat.1350....0G
63  |CD-41 13319                                                                                              |Star                                  |19 06 00.9558457920 -41 22 13.617129936|355.8295479871319 -20.1101580021579|  -5.856 -7.794   |10.321   |~              |    ~     ~    |    1|  673.122   pc  | -24.4200    +24.4200    |ST-L    |2020AJ....160...83S
64  |CD-43 13031                                                                                              |Star                                  |19 00 59.9289518352 -42 59 52.775275884|353.8705847813412 -19.7620821625158|   4.538 -8.866   |9.39     |~              |    ~     ~    |    1|  983.381   pc  | -21.9518    +21.9518    |paral   |2020yCat.1350....0G
65  |TYC 7925-33-1                                                                                            |High Proper Motion Star               |19 00 01.6922893104 -42 40 11.622362880|354.1371926720023 -19.4859486645852| 32.268 -42.324   |10.38    |~              |    ~     ~    |    1|  162.338   pc  |  -0.8380     +0.8380    |paral   |2020yCat.1350....0G
66  |TYC 7925-45-1                                                                                            |Star                                  |19 00 21.1252916400 -42 16 37.426675188|354.5511655133460 -19.4117197425627|   5.273 -7.132   |10.54    |~              |    ~     ~    |    1|  400.866   pc  |  -3.8084     +3.8084    |paral   |2020yCat.1350....0G
67  |TYC 7925-716-1                                                                                           |Star                                  |19 01 07.0731484344 -42 43 14.205635580|354.1565524425245 -19.6916862970101|   3.576 -4.260   |10.26    |~              |    ~     ~    |    1| 1683.785   pc  | -45.0786    +45.0786    |paral   |2020yCat.1350....0G
68  |IRAS 19027-4302                                                                                          |Star                                  |19 06 18.3412374552 -42 58 00.100857288|354.2342151824819 -20.6712301286648|  -2.697 -1.812   |10.03    |~              |    ~     ~    |    1| 1115.573   pc  | -29.8681    +29.8681    |paral   |2020yCat.1350....0G
69  |TYC 7925-1377-1                                                                                          |Star                                  |19 03 13.7274733248 -43 05 25.101152988|353.9183354896854 -20.1774225577404|  -4.878 -7.756   |10.28    |~              |    ~     ~    |    1| 1462.416   pc  | -36.5711    +36.5711    |paral   |2020yCat.1350....0G
70  |TYC 7925-1573-1                                                                                          |Star                                  |19 00 48.0366992760 -42 12 48.799082880|354.6439601869249 -19.4688726248532|  -1.292 -0.313   |10.92    |~              |    ~     ~    |    1|  254.421   pc  | -21.3026    +21.3026    |paral   |2020yCat.1350....0G
71  |TYC 7925-1584-1                                                                                          |Star                                  |19 02 57.2912253048 -42 42 51.818475168|354.2799255898409 -20.0085726928175|-12.165 -10.779   |10.95    |~              |    ~     ~    |    1|  840.689   pc  | -12.0149    +12.0149    |paral   |2020yCat.1350....0G
72  |TYC 7925-1686-1                                                                                          |Star                                  |19 05 47.8231337208 -43 06 04.751001468|354.0663936303524 -20.6253930681312|   2.222 -5.635   |10.93    |~              |    ~     ~    |    1|  200.264   pc  |  -0.6297     +0.6297    |paral   |2020yCat.1350....0G
73  |TYC 7925-1695-1                                                                                          |Star                                  |19 02 52.5501 -42 36 05.125            |354.3886012 -19.9581508            | -0.876 -33.716   |10.70    |~              |    ~     ~    |    0|                |                         |        |                   
74  |TYC 7925-2047-1                                                                                          |Star                                  |19 01 31.1794839192 -41 19 42.318061608|355.5758957291312 -19.2997355019116|    6.733 5.047   |10.72    |~              |    ~     ~    |    1|  355.278   pc  |  -1.9312     +1.9312    |paral   |2020yCat.1350....0G
75  |TYC 7929-70-1                                                                                            |Star                                  |19 00 03.3399081720 -43 35 57.960307464|353.2069402813496 -19.7965509433374|  -3.809 -0.776   |10.520   |~              |    ~     ~    |    1| 1623.190   pc  |-163.9000   +163.9000    |ST-L    |2020AJ....160...83S
76  |TYC 7929-651-1                                                                                           |Star                                  |19 01 11.7104179056 -43 12 04.251943260|353.6789059877604 -19.8623323743013|  8.091 -41.725   |10.97    |~              |    ~     ~    |    1|  157.711   pc  |  -0.4427     +0.4427    |paral   |2020yCat.1350....0G
77  |TYC 7929-967-1                                                                                           |Star                                  |19 04 23.1538625424 -43 12 20.072627928|353.8738242097793 -20.4142510073731|  8.056 -20.903   |10.230   |~              |    ~     ~    |    1|  551.341   pc  | -18.6800    +18.6800    |ST-L    |2020AJ....160...83S
78  |TYC 7929-1063-1                                                                                          |Star                                  |19 02 51.2989435800 -43 11 05.191457784|353.7996822496207 -20.1432387836171|  17.676 -6.567   |10.90    |~              |    ~     ~    |    1| 1017.191   pc  | -14.8993    +14.8993    |paral   |2020yCat.1350....0G
79  |TYC 7929-1605-1                                                                                          |Star                                  |19 02 52.2462805584 -43 08 51.579566628|353.8380962586381 -20.1340164994663| -2.153 -21.012   |10.41    |~              |    ~     ~    |    1|  401.349   pc  |  -4.1881     +4.1881    |paral   |2020yCat.1350....0G
80  |HD 177739                                                                                                |Star                                  |19 07 48.1796662488 -41 22 06.549636468|355.9467907650188 -20.4268929658489|    3.704 2.614   |10.62    |G0             |    ~     ~    |    1|  443.459   pc  |  -3.4808     +3.4808    |paral   |2020yCat.1350....0G
81  |HD 177849                                                                                                |Star                                  |19 08 09.6070136544 -41 36 08.684756532|355.7329234582218 -20.5649623598845|   12.615 9.711   |8.90     |F5V            |    ~     ~    |    1|  224.205   pc  |  -5.4490     +5.4490    |paral   |2020yCat.1350....0G
82  |HD 177976                                                                                                |Star                                  |19 08 40.4515627128 -41 29 01.332035700|355.8858226269889 -20.6184244686711|  -0.907 -9.191   |9.15     |B9V            |    ~     ~    |    1|  477.532   pc  |  -7.3200     +7.3200    |paral   |2020yCat.1350....0G
83  |HD 177977                                                                                                |Star                                  |19 08 43.5608683632 -41 33 44.088913764|355.8095221056187 -20.6525488741838|  -5.670 -2.699   |9.63     |F6/8V          |    ~     ~    |    1|  219.380   pc  |  -3.1331     +3.1331    |paral   |2020yCat.1350....0G
84  |HD 178146                                                                                                |Star                                  |19 09 13.2489850632 -41 15 51.794850384|356.1428386314437 -20.6459956656237| -6.110 -36.804   |8.08     |M2/3III        |    ~     ~    |    1|  415.420   pc  |  -3.8484     +3.8484    |paral   |2020yCat.1350....0G
85  |HD 178226                                                                                                |Star                                  |19 09 32.6557969992 -41 15 16.281651276|356.1734524172721 -20.7005106928444|  38.255 -1.200   |10.02    |G5V            |    ~     ~    |    1|  209.450   pc  |  -0.5922     +0.5922    |paral   |2020yCat.1350....0G
86  |CD-41 13362                                                                                              |High Proper Motion Star               |19 10 39.5891108688 -41 04 24.251084652|356.4282227930456 -20.8424301101917| 46.462 -96.168   |10.99    |K0             |    ~     ~    |    1|   95.023   pc  |  -0.1833     +0.1833    |paral   |2020yCat.1350....0G
87  |HD 178559                                                                                                |Star                                  |19 10 49.8447083472 -41 23 09.082838760|356.1215060987429 -20.9711328729655|   0.132 -1.200   |9.53     |G8III          |    ~     ~    |    1|  876.347   pc  | -29.0298    +29.0298    |paral   |2020yCat.1350....0G
88  |HD 178322                                                                                                |Spectroscopic Binary                  |19 09 57.6520020528 -41 53 32.083602864|355.5519564009486 -20.9750680256158| -0.360 -10.096   |5.855    |B5V+B6V        |    ~     ~    |    1|  475.285   pc  | -25.8651    +25.8651    |paral   |2020yCat.1350....0G
89  |HD 177996                                                                                                |High Proper Motion Star               |19 08 50.4939956496 -42 25 41.162001384|354.9374774885585 -20.9451064500983|19.131 -122.123   |7.88     |K1V            |    ~     ~    |    1|   33.048   pc  |  -0.3852     +0.3852    |paral   |2020yCat.1350....0G
90  |HD 177995                                                                                                |Star                                  |19 08 48.0 -42 09 00                   |355.2177 -20.8509                  |            ~ ~   |10.2     |G0             |    ~     ~    |    0|                |                         |        |                   
91  |HD 178395                                                                                                |Star                                  |19 10 23.2417103544 -42 43 44.618970288|354.7248076722818 -21.3086984168072|  8.977 -21.713   |9.33     |G8III          |    ~     ~    |    1|  469.814   pc  |  -5.0325     +5.0325    |paral   |2020yCat.1350....0G
92  |HD 178423                                                                                                |Star                                  |19 10 26.4381762744 -42 17 44.213233884|355.1706035511159 -21.1848577686431| -0.950 -17.210   |9.30     |A6III/IV       |    ~     ~    |    1|  227.827   pc  |  -1.2769     +1.2769    |paral   |2020yCat.1350....0G
93  |HD 178504                                                                                                |Double or Multiple Star               |19 10 45.5570811816 -41 58 53.724708732|355.5104308877266 -21.1439693461750| -1.359 -15.383   |9.62     |G8III+(F)      |    ~     ~    |    1|  559.503   pc  |  -8.9217     +8.9217    |paral   |2020yCat.1350....0G
94  |CD-43 13122                                                                                              |Star                                  |19 07 36.8592579144 -42 50 24.929724984|354.4429369200096 -20.8591838129818|   -2.971 5.834   |9.703    |K0             |    ~     ~    |    1|  563.234   pc  | -28.1400    +28.1400    |ST-L    |2020AJ....160...83S
95  |HD 177688                                                                                                |Star                                  |19 07 39.1419553200 -42 55 03.416204964|354.3666003237459 -20.8899300215035|-13.451 -17.993   |9.00     |F6III          |    ~     ~    |    1|  217.405   pc  |  -0.8508     +0.8508    |paral   |2020yCat.1350....0G
96  |HD 177770                                                                                                |Double or Multiple Star               |19 07 59.99711 -43 16 27.3130          |354.02454724 -21.06083684          |    1.65 -46.46   |10.19    |G3/5(V)        |    ~     ~    |    0|                |                         |        |                   
97  |HD 178056                                                                                                |Double or Multiple Star               |19 09 06.6406436304 -42 53 50.903883924|354.4757481545794 -21.1375842865179| 16.551 -21.909   |10.277   |F8/G1          |    ~     ~    |    1|  200.562   pc  |  -0.6999     +0.6999    |paral   |2020yCat.1350....0G
98  |HD 178424                                                                                                |High Proper Motion Star               |19 10 31.6138613352 -43 09 19.565937144|354.2970014974682 -21.4628555049230| 22.484 -58.521   |10.34    |F8/G1          |    ~     ~    |    1|  199.892   pc  |  -0.6793     +0.6793    |paral   |2020yCat.1350....0G
99  |HD 178443                                                                                                |Horizontal Branch Star                |19 10 36.8478001512 -43 16 36.165827604|354.1779384406781 -21.5146932229612|-12.976 -50.013   |10.017   |F8             |    ~     ~    |    1|  927.971   pc  | -48.8600    +48.8600    |ST-L    |2020AJ....160...83S
100 |V* RZ CrA                                                                                                |Mira Variable                         |19 08 37.3041091824 -42 21 32.908815360|354.9940532821262 -20.8850244489956|  5.288 -10.458   |10.43    |M6e            |    ~     ~    |    0|                |                         |        |                   
101 |IRAS 19061-4116                                                                                          |Long-Period Variable Candidate        |19 09 35.5183644648 -41 11 52.967714244|356.2337499157968 -20.6911122584536| -8.700 -14.705   |10.89    |~              |    ~     ~    |    1| 1609.79    pc  |-105.471    +105.471     |paral   |2020yCat.1350....0G
102 |CD-41 13334                                                                                              |Star                                  |19 07 52.5356702544 -41 05 17.036089620|356.2347854789144 -20.3497727507937| 12.010 -10.848   |10.88    |~              |    ~     ~    |    1| 1384.466   pc  | -37.5682    +37.5682    |paral   |2020yCat.1350....0G
103 |CD-41 13339                                                                                              |Star                                  |19 08 17.4097359744 -41 34 24.236940864|355.7705651056188 -20.5787866456086| 18.143 -31.009   |9.75     |~              |    ~     ~    |    1| 1061.571   pc  | -22.5387    +22.5387    |paral   |2020yCat.1350....0G
