C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:15:02

Vmag< 11&dec >=0&rah >=17.25&rah< 17.5
--------------------------------------

Number of objects : 4313

 #  |                                                                                                                     identifier                                                                                                                      |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type   |   ang. size   
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|----------------|---------------
454 |BD+68 933                                                                                                                                                                                                                                            |Star                           |17 28 24.8218988280 +68 48 55.041757452|099.2767419816136 +32.6256209449929|  -11.648 0.501    |8.75     |K0              |    ~     ~    
455 |HD 159539                                                                                                                                                                                                                                            |Star                           |17 29 39.4650315168 +68 47 39.608785032|099.2320375981798 +32.5176220297243|  -7.182 24.025    |9.14     |G               |    ~     ~    
456 |HD 156946                                                                                                                                                                                                                                            |Star                           |17 15 14.4786751824 +67 23 17.700202608|097.8492557914784 +34.0821483005892| 12.658 -43.549    |7.33     |K5              |    ~     ~    
457 |BD+67 1003                                                                                                                                                                                                                                           |Star                           |17 18 27.5333519736 +67 24 27.117406080|097.8027949752371 +33.7748055873830| -3.250 -27.263    |10.56    |F8              |    ~     ~    
458 |BD+67 1004                                                                                                                                                                                                                                           |Variable Star                  |17 19 19.6588263744 +67 16 56.023103712|097.6366837004220 +33.7146296403963|   0.684 -9.050    |7.77     |M0              |    ~     ~    
459 |BD+67 1007                                                                                                                                                                                                                                           |Star                           |17 21 06.2399 +67 51 03.877            |098.2737254 +33.4488407            |  11.089 -2.860    |9.88     |G5              |    ~     ~    
460 |BD+67 1010                                                                                                                                                                                                                                           |Star                           |17 23 37.5261480408 +67 32 25.645065504|097.8593756516426 +33.2646201487628| -29.694 17.627    |9.25     |A2              |    ~     ~    
461 |BD+67 1011                                                                                                                                                                                                                                           |Star                           |17 24 12.1260375864 +67 33 12.299349168|097.8642551530401 +33.2082021357807|    1.868 0.747    |9.87     |K0              |    ~     ~    
462 |BD+67 1013                                                                                                                                                                                                                                           |Star                           |17 24 34.2147715128 +67 48 36.874785780|098.1606460308943 +33.1331579287822|  -9.686 17.487    |9.68     |F8              |    ~     ~    
463 |HD 158867                                                                                                                                                                                                                                            |Double or Multiple Star        |17 26 17.21395 +67 45 57.2179          |098.07842983 +32.97973174          |     1.90 22.77    |7.57     |A5              |0.0017  0.0    
464 |TYC 4210-259-1                                                                                                                                                                                                                                       |Star                           |17 17 23.5950765528 +67 29 13.002083088|097.9191713856560 +33.8608177996429|  -2.374 12.958    |10.81    |~               |    ~     ~    
465 |TYC 4210-362-1                                                                                                                                                                                                                                       |High Proper Motion Star        |17 24 28.8172391544 +67 27 45.486802044|097.7521287164769 +33.1960908989311| 32.743 -43.512    |10.77    |~               |    ~     ~    
466 |TYC 4210-715-1                                                                                                                                                                                                                                       |High Proper Motion Star        |17 23 08.0656727040 +67 20 54.153033792|097.6414660736922 +33.3417114382233|  33.247 42.353    |10.47    |~               |    ~     ~    
467 |TYC 4211-406-1                                                                                                                                                                                                                                       |Star                           |17 28 00.2054895000 +67 26 21.501170880|097.6651605477213 +32.8654755746689|  -7.334 14.718    |10.87    |~               |    ~     ~    
468 |TYC 4421-28-1                                                                                                                                                                                                                                        |Star                           |17 20 26.6128774320 +69 49 06.102429060|100.5997291003883 +33.1421592348785| -16.323 31.144    |10.63    |~               |    ~     ~    
469 |TYC 4421-234-1                                                                                                                                                                                                                                       |Star                           |17 21 25.1788334496 +69 49 09.280440372|100.5810801090081 +33.0594306470139|    4.283 4.423    |10.53    |~               |    ~     ~    
470 |TYC 4421-244-1                                                                                                                                                                                                                                       |Star                           |17 21 49.7549053608 +69 32 53.263361940|100.2554243474566 +33.0764431246518|  -15.817 6.959    |10.23    |~               |    ~     ~    
471 |TYC 4421-352-1                                                                                                                                                                                                                                       |Star                           |17 22 52.9499767512 +69 34 00.091462224|100.2566615818261 +32.9826272420974| -2.069 -11.626    |10.72    |~               |    ~     ~    
472 |TYC 4421-421-1                                                                                                                                                                                                                                       |High Proper Motion Star        |17 18 39.8753433720 +69 50 52.746893700|100.6713926920566 +33.2863523294483| 15.627 -83.637    |10.66    |~               |    ~     ~    
473 |TYC 4421-448-1                                                                                                                                                                                                                                       |Star                           |17 23 48.3221233200 +69 37 43.323463956|100.3117279313024 +32.8921934974205| 17.319 -19.355    |10.61    |~               |    ~     ~    
474 |TYC 4421-458-1                                                                                                                                                                                                                                       |Spectroscopic Binary           |17 18 07.3477223400 +69 31 16.566957660|100.3001609432442 +33.3994012936548|   5.609 -6.001    |10.95    |~               |    ~     ~    
475 |TYC 4421-553-1                                                                                                                                                                                                                                       |Star                           |17 26 45.4393545096 +69 37 49.782762012|100.2602084862839 +32.6389833060634|  9.127 -18.968    |10.72    |G2              |    ~     ~    
476 |TYC 4421-828-1                                                                                                                                                                                                                                       |Star                           |17 27 45.2148557136 +68 57 52.676687016|099.4629278889129 +32.6610764333284|  -0.351 -5.616    |10.70    |~               |    ~     ~    
477 |TYC 4421-935-1                                                                                                                                                                                                                                       |Star                           |17 23 34.1705101896 +69 36 38.883048408|100.2952179336008 +32.9156442756559|  -6.975 -2.894    |10.56    |~               |    ~     ~    
478 |TYC 4421-984-1                                                                                                                                                                                                                                       |Star                           |17 25 20.4435397344 +69 24 55.309830912|100.0334808639205 +32.7978648901296|   1.901 -2.230    |10.92    |~               |    ~     ~    
479 |TYC 4421-1026-1                                                                                                                                                                                                                                      |Star                           |17 16 33.9097987656 +68 35 58.084398204|099.2507046941453 +33.7223708828171|   4.263 -5.395    |10.46    |~               |    ~     ~    
480 |TYC 4421-1134-1                                                                                                                                                                                                                                      |Star                           |17 16 10.7756968848 +69 06 34.941757068|099.8595152421995 +33.6521433946996|   -4.352 4.726    |10.94    |~               |    ~     ~    
481 |TYC 4421-1365-1                                                                                                                                                                                                                                      |High Proper Motion Star        |17 26 41.4647416464 +68 49 51.363030756|099.3241674526674 +32.7767998168885| 23.072 -47.717    |10.86    |~               |    ~     ~    
482 |TYC 4421-1460-1                                                                                                                                                                                                                                      |Star                           |17 22 54.2451109272 +68 49 45.040908720|099.3908796598995 +33.1140907958285|  0.733 -33.249    |10.95    |~               |    ~     ~    
483 |TYC 4421-1469-1                                                                                                                                                                                                                                      |Star                           |17 15 12.2864490480 +68 36 27.402052032|099.2906889908215 +33.8421882629242|   6.102 -6.006    |10.05    |~               |    ~     ~    
484 |TYC 4421-1474-1                                                                                                                                                                                                                                      |Star                           |17 20 43.7173092792 +69 06 29.355867288|099.7612323302167 +33.2549860215728| -5.446 -16.732    |10.41    |~               |    ~     ~    
485 |TYC 4421-1485-1                                                                                                                                                                                                                                      |Star                           |17 24 36.8493040680 +69 09 55.438897752|099.7536600375631 +32.9043962026995|   0.717 28.368    |9.79     |~               |    ~     ~    
486 |TYC 4421-1830-1                                                                                                                                                                                                                                      |Star                           |17 23 37.3523929920 +68 16 08.400603216|098.7184389847167 +33.1457991264436|  3.211 -14.564    |10.34    |~               |    ~     ~    
487 |TYC 4421-2024-1                                                                                                                                                                                                                                      |Star                           |17 20 13.9754629392 +67 42 27.439683624|098.1215468879565 +33.5549477972374|  -2.081 -1.192    |10.65    |~               |    ~     ~    
488 |TYC 4421-2252-1                                                                                                                                                                                                                                      |Star                           |17 22 03.8788065384 +68 22 02.519484888|098.8637287685318 +33.2707123171265|   -0.830 5.956    |10.80    |~               |    ~     ~    
489 |TYC 4421-2253-1                                                                                                                                                                                                                                      |Star                           |17 21 54.8986956248 +67 50 25.256363445|098.2453457165124 +33.3753605007907|  -9.789 11.166    |10.62    |~               |    ~     ~    
490 |TYC 4421-2261-1                                                                                                                                                                                                                                      |Star                           |17 26 39.3773995464 +67 42 06.785841816|097.9967514549649 +32.9547191774204|  -9.324 -1.016    |10.70    |~               |    ~     ~    
491 |TYC 4421-2278-1                                                                                                                                                                                                                                      |Star                           |17 16 54.7042655784 +67 38 26.259167364|098.1113349825816 +33.8772778642573|   -5.516 9.173    |9.98     |K1IIIFe-0.5     |    ~     ~    
492 |TYC 4421-2443-1                                                                                                                                                                                                                                      |Star                           |17 18 02.9892945144 +68 04 03.542518308|098.5915816471352 +33.6914530381545|  -9.830 35.585    |10.47    |~               |    ~     ~    
493 |TYC 4421-2469-1                                                                                                                                                                                                                                      |Star                           |17 25 37.2105891456 +67 46 04.666724184|098.0923191161152 +33.0417492730009| -13.306 18.359    |10.86    |~               |    ~     ~    
494 |TYC 4421-2586-1                                                                                                                                                                                                                                      |Spectroscopic Binary           |17 18 23.9283609648 +67 49 47.028799308|098.3032860833422 +33.7036349045282|  -3.650 -2.087    |10.72    |~               |    ~     ~    
495 |RX J1724.2+6957                                                                                                                                                                                                                                      |X-ray Source                   |17 24 17.12 +69 56 47.5                |100.67467 +32.79345                |            ~ ~    |4.89     |~               |    ~     ~    
496 |BD+70 930                                                                                                                                                                                                                                            |Star                           |17 27 16.7453276136 +70 53 14.707288140|101.7185106520719 +32.3756040019896|  -1.260 10.709    |9.46     |F2              |    ~     ~    
497 |HD 157655                                                                                                                                                                                                                                            |Spectroscopic Binary           |17 17 42.1623886488 +72 06 09.738416520|103.3169124224642 +32.8667941895954|  -0.959 -6.150    |9.19     |A2              |    ~     ~    
498 |BD+72 781                                                                                                                                                                                                                                            |Star                           |17 18 46.1519329872 +72 25 16.767377076|103.6628640867778 +32.7133816287676|   2.145 -6.368    |8.63     |K4.5III         |    ~     ~    
499 |HD 158044                                                                                                                                                                                                                                            |High Proper Motion Star        |17 20 00.2950720488 +72 35 01.780847016|103.8251179258963 +32.5854331133143| -33.929 79.097    |9.08     |F8              |    ~     ~    
500 |BD+72 783                                                                                                                                                                                                                                            |Star                           |17 20 40.8507837024 +72 18 11.570427396|103.4870089066197 +32.5993734913567|   -5.945 6.155    |9.87     |K0              |    ~     ~    
501 |BD+72 784                                                                                                                                                                                                                                            |Red Giant Branch star Candidate|17 21 00.1767834744 +72 18 54.466898220|103.4943163299381 +32.5728621085738|  -1.267 -3.748    |9.61     |K0              |    ~     ~    
502 |BD+72 786                                                                                                                                                                                                                                            |Star                           |17 23 34.2263634000 +71 59 50.815691124|103.0762201917041 +32.4491966173197|  -5.032 10.152    |10.14    |F8              |    ~     ~    
503 |HD 157370                                                                                                                                                                                                                                            |Star                           |17 16 13.1912351424 +71 47 32.466333948|102.9897104271576 +33.0515715024805|   0.899 -7.450    |6.80     |K2              |    ~     ~    
504 |HD 157439                                                                                                                                                                                                                                            |Double or Multiple Star        |17 16 37.5886559544 +71 36 06.125548212|102.7596583948929 +33.0653917398767|  -4.781 14.846    |8.83     |A5              |0.0083  0.0    
505 |V* GP Dra                                                                                                                                                                                                                                            |Long-Period Variable           |17 23 15.5123350512 +71 52 11.743323348|102.9343432936219 +32.4993957547415|  -5.952 12.659    |7.17     |M3              |    ~     ~    
506 |HD 157371                                                                                                                                                                                                                                            |Star                           |17 16 43.4821967088 +70 37 50.437680780|101.6279350182896 +33.2789585759180| -17.130 14.349    |8.75     |F5              |    ~     ~    
507 |BD+70 920                                                                                                                                                                                                                                            |Star                           |17 17 12.8516035992 +70 42 38.905698672|101.7106195579341 +33.2216868290017|   -7.426 1.748    |9.68     |F8              |    ~     ~    
508 |BD+70 922                                                                                                                                                                                                                                            |Star                           |17 17 39.9103219632 +70 06 30.833618544|100.9976798793409 +33.3154791845334|   9.316 14.928    |9.56     |K0              |    ~     ~    
509 |HD 157774                                                                                                                                                                                                                                            |Star                           |17 18 57.4966341192 +70 47 16.242269928|101.7629876666153 +33.0645943342427|  -7.806 19.934    |7.129    |A0              |    ~     ~    
510 |BD+70 927                                                                                                                                                                                                                                            |Star                           |17 23 28.4337916176 +70 14 29.362460748|101.0347457301345 +32.8063128628994|    0.569 4.677    |9.64     |K0              |    ~     ~    
511 |BD+70 929                                                                                                                                                                                                                                            |Star                           |17 27 10.6757089680 +70 34 23.557863576|101.3541357910133 +32.4401281333595|  -15.960 0.639    |10.00    |F8              |    ~     ~    
512 |IRAS 17202+7056                                                                                                                                                                                                                                      |Long-Period Variable           |17 19 36.5052558744 +70 53 15.644498028|101.8656971268087 +32.9911241342825|   0.257 -5.145    |10.7     |M5/6            |    ~     ~    
513 |TYC 4424-154-1                                                                                                                                                                                                                                       |Star                           |17 18 28.7650342224 +70 05 02.123189376|100.9513804048206 +33.2529351372809|  5.773 -13.913    |10.45    |~               |    ~     ~    
514 |TYC 4424-272-1                                                                                                                                                                                                                                       |Star                           |17 20 24.7308634728 +70 12 40.855131396|101.0600180165786 +33.0661427604794|  -4.434 -8.556    |10.90    |~               |    ~     ~    
515 |TYC 4424-276-1                                                                                                                                                                                                                                       |Star                           |17 20 01.1603402808 +70 15 58.055213628|101.1320849534462 +33.0875088172714|    3.358 9.946    |10.47    |~               |    ~     ~    
516 |TYC 4424-289-1                                                                                                                                                                                                                                       |Star                           |17 24 02.1330464304 +72 24 39.100262616|103.5461261473142 +32.3278761599882|  -2.801 -6.379    |10.85    |~               |    ~     ~    
517 |TYC 4424-299-1                                                                                                                                                                                                                                       |Star                           |17 23 56.2334279976 +71 33 12.716724168|102.5541980867707 +32.5121600750731|   -0.184 3.349    |10.89    |~               |    ~     ~    
518 |TYC 4424-457-1                                                                                                                                                                                                                                       |Star                           |17 23 59.0605523448 +71 48 48.588525936|102.8550581786405 +32.4557081580722|    5.232 8.724    |10.24    |~               |    ~     ~    
519 |TYC 4424-611-1                                                                                                                                                                                                                                       |Star                           |17 19 04.7407449240 +71 58 10.165374516|103.1335319258393 +32.7942449375553|   3.350 -0.137    |10.46    |~               |    ~     ~    
520 |TYC 4424-770-1                                                                                                                                                                                                                                       |Star                           |17 21 07.7134154664 +72 27 09.095151636|103.6507076591750 +32.5329711008878|  3.292 -25.876    |10.80    |~               |    ~     ~    
521 |TYC 4424-800-1                                                                                                                                                                                                                                       |Star                           |17 25 16.1306896464 +71 34 29.117816760|102.5539884566497 +32.4047637207100|   -6.487 7.078    |9.69     |~               |    ~     ~    
522 |TYC 4424-831-1                                                                                                                                                                                                                                       |Star                           |17 20 32.9903497440 +71 31 50.834724528|102.5943221646280 +32.7791086253169|  -7.911 -0.273    |10.56    |~               |    ~     ~    
523 |TYC 4424-1033-1                                                                                                                                                                                                                                      |Star                           |17 15 49.9363412016 +71 30 26.520602832|102.6677706913809 +33.1485857696793| -10.403 -2.872    |10.51    |~               |    ~     ~    
524 |TYC 4424-1087-1                                                                                                                                                                                                                                      |High Proper Motion Star        |17 23 08.0642197824 +71 38 46.755610152|102.6772787190815 +32.5552392287921|  37.090 35.647    |9.68     |~               |    ~     ~    
525 |TYC 4424-1201-1                                                                                                                                                                                                                                      |Spectroscopic Binary           |17 17 34.5751501272 +71 32 22.654685076|102.6669297854806 +33.0066983245327| -33.599 20.789    |10.26    |~               |    ~     ~    
526 |TYC 4424-1248-1                                                                                                                                                                                                                                      |Star                           |17 20 47.0307736680 +70 58 59.272926024|101.9527221527004 +32.8771544262415| 13.372 -24.116    |10.86    |~               |    ~     ~    
527 |TYC 4424-1295-1                                                                                                                                                                                                                                      |Star                           |17 22 27.5593314600 +71 10 09.795142488|102.1361198749716 +32.7057630339189|  -13.831 4.113    |10.69    |~               |    ~     ~    
528 |TYC 4424-1651-1                                                                                                                                                                                                                                      |Star                           |17 24 05.9982494304 +71 07 56.176208832|102.0613979515096 +32.5833747790854|   -4.540 6.054    |10.86    |~               |    ~     ~    
529 |TYC 4424-1697-1                                                                                                                                                                                                                                      |Star                           |17 22 35.5962174587 +71 54 31.586929852|102.9922498466382 +32.5417965568790|  15.050 -7.906    |10.99    |~               |    ~     ~    
530 |TYC 4424-1760-1                                                                                                                                                                                                                                      |Star                           |17 23 34.4488664376 +70 57 22.175450784|101.8663771170372 +32.6599160854301|  -4.865 24.484    |10.43    |~               |    ~     ~    
531 |[GGM2006] 1089620                                                                                                                                                                                                                                    |Spectroscopic Binary           |17 18 36.4091456736 +71 18 54.136087200|102.3840055929528 +32.9773441078507|-18.321 -23.581    |10.60    |~               |    ~     ~    
532 |TYC 4424-2039-1                                                                                                                                                                                                                                      |Spectroscopic Binary           |17 21 05.2531218888 +70 34 34.064391828|101.4722233734622 +32.9366561268325|  12.829 56.883    |10.60    |~               |    ~     ~    
533 |TYC 4424-2104-1                                                                                                                                                                                                                                      |Star                           |17 17 01.6687059456 +70 31 49.066005864|101.5041729689741 +33.2765979603607|    7.167 7.889    |10.51    |~               |    ~     ~    
534 |TYC 4424-2106-1                                                                                                                                                                                                                                      |Star                           |17 27 49.0928711856 +70 33 50.718093984|101.3323748712843 +32.3893193505570|   7.413 -7.481    |10.54    |~               |    ~     ~    
535 |TYC 4424-2113-1                                                                                                                                                                                                                                      |Star                           |17 24 07.8426792816 +72 23 45.556866420|103.5271287835814 +32.3239731898113|   -4.253 5.694    |10.96    |~               |    ~     ~    
536 |TYC 4424-2202-1                                                                                                                                                                                                                                      |Star                           |17 19 22.0093061784 +70 29 01.843279296|101.3998653909228 +33.0960119379064|   -0.450 6.662    |10.91    |~               |    ~     ~    
537 |TYC 4424-2239-1                                                                                                                                                                                                                                      |High Proper Motion Star        |17 24 34.0751106216 +71 10 24.166629516|102.1004401683683 +32.5382597759828| -26.628 54.855    |10.00    |~               |    ~     ~    
538 |TYC 4424-2282-1                                                                                                                                                                                                                                      |Star                           |17 21 38.7893713344 +71 37 06.463939584|102.6740641318345 +32.6756888477475|  3.136 -22.559    |10.54    |~               |    ~     ~    
539 |TYC 4424-2392-1                                                                                                                                                                                                                                      |Star                           |17 18 35.4899635536 +70 26 43.436914908|101.3713303063014 +33.1674825916698| -12.450 -5.473    |10.18    |~               |    ~     ~    
540 |TYC 4424-2442-1                                                                                                                                                                                                                                      |Star                           |17 20 33.3104057472 +70 24 46.013978628|101.2923805159802 +33.0134351776334|   -0.736 7.164    |10.89    |~               |    ~     ~    
541 |TYC 4427-1562-1                                                                                                                                                                                                                                      |Star                           |17 16 21.0282284376 +72 34 10.647186564|103.8858413185681 +32.8545541303650|  -4.570 -1.802    |10.54    |~               |    ~     ~    
542 |TYC 4427-1671-1                                                                                                                                                                                                                                      |Star                           |17 15 17.4517813944 +72 39 07.656976296|104.0043621954898 +32.9108364720084| -10.826 -4.183    |10.28    |~               |    ~     ~    
543 |TYC 4427-1745-1                                                                                                                                                                                                                                      |Star                           |17 23 01.8977551248 +72 52 51.364896384|104.1083681090373 +32.2998182646030| -1.362 -13.098    |9.84     |~               |    ~     ~    
544 |TYC 4427-1804-1                                                                                                                                                                                                                                      |Star                           |17 18 57.8158180848 +72 44 15.454497876|104.0241005567264 +32.6251286061306|  -0.994 -1.244    |10.78    |~               |    ~     ~    
545 |TYC 4424-943-1                                                                                                                                                                                                                                       |Star                           |17 16 04.1608097832 +72 09 40.173642792|103.4200614819875 +32.9745770222489|   -6.007 4.923    |9.89     |~               |    ~     ~    
546 |BD+75 621                                                                                                                                                                                                                                            |Star                           |17 16 24.7187544744 +75 24 36.792734904|107.1367630187739 +32.1131666245844|  12.004 -5.398    |10.03    |F5              |    ~     ~    
547 |BD+74 709                                                                                                                                                                                                                                            |High Proper Motion Star        |17 20 03.3608046360 +73 56 23.733745692|105.3850606113425 +32.2611030716885| 15.601 -63.210    |9.52     |F8              |    ~     ~    
548 |BD+73 766                                                                                                                                                                                                                                            |Spectroscopic Binary           |17 20 14.0027223600 +73 39 59.404442652|105.0676765845262 +32.3151876474054| 24.833 -39.797    |10.43    |G0              |    ~     ~    
549 |BD+74 707                                                                                                                                                                                                                                            |Spectroscopic Binary           |17 15 29.8504730808 +74 31 41.420963460|106.1518935971009 +32.4096940923801|  -2.804 29.160    |9.98     |F8              |    ~     ~    
550 |HD 157663                                                                                                                                                                                                                                            |Star                           |17 16 57.6677867520 +74 08 48.402529260|105.6852557087070 +32.4150405554449|  -9.472 32.923    |8.28     |K0              |    ~     ~    
551 |BD+73 765                                                                                                                                                                                                                                            |Star                           |17 15 52.7615889408 +73 00 42.241348764|104.4057368447867 +32.7785834922384|  -9.305 24.063    |9.57     |F8              |    ~     ~    
552 |BIS 280                                                                                                                                                                                                                                              |Long-Period Variable Candidate |17 15 20.2689978240 +74 41 29.226093036|106.3414640664578 +32.3757949113472|    1.193 0.238    |10.52    |M6/7            |    ~     ~    
553 |TYC 4427-790-1                                                                                                                                                                                                                                       |Star                           |17 18 42.3243871680 +74 10 33.474467064|105.6827036941174 +32.2925174253930| -13.520 28.616    |10.82    |~               |    ~     ~    
554 |TYC 4427-937-1                                                                                                                                                                                                                                       |Star                           |17 21 27.8685119208 +73 14 43.360954296|104.5589258239482 +32.3290077890538|   -3.961 1.559    |10.75    |~               |    ~     ~    
555 |BD+75 620                                                                                                                                                                                                                                            |High Proper Motion Star        |17 15 22.8764894784 +75 43 47.061509448|107.5201524473086 +32.0860756474649| -43.547 75.344    |9.74     |G5              |    ~     ~    
556 |BD+47 2474                                                                                                                                                                                                                                           |High Proper Motion Star        |17 24 39.4892744640 +47 03 58.730732460|073.2341563808832 +33.9135955158556|-55.082 100.861    |9.25     |F2              |    ~     ~    
557 |BD+47 2476                                                                                                                                                                                                                                           |Double or Multiple Star        |17 24 55.2260 +47 01 18.371            |073.1852459 +33.8653029            |      -2.1 -3.6    |9.40     |F5              |    ~     ~    
558 |HD 158329                                                                                                                                                                                                                                            |Star                           |17 26 22.8183676728 +47 24 56.496782448|073.6827525480489 +33.6518975379710|  -9.958 19.959    |8.00     |K0              |    ~     ~    
559 |BD+47 2483                                                                                                                                                                                                                                           |Star                           |17 26 46.5392815560 +47 22 23.101964796|073.6386864161706 +33.5815727290672|  9.341 -12.010    |9.72     |F8              |    ~     ~    
560 |HD 158434                                                                                                                                                                                                                                            |Star                           |17 27 00.2415525000 +46 55 36.778706184|073.1096815447939 +33.5028469062962|  -9.179 -3.287    |9.84     |K0              |    ~     ~    
