C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:15:02

Vmag< 11&dec >=0&rah >=17.25&rah< 17.5
--------------------------------------

Number of objects : 4313

 #  |                                                                                                                     identifier                                                                                                                      |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type   |   ang. size   
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|----------------|---------------
30  |BD+75 627                                                                                                                                                                                                                                            |Star                           |17 20 47.6709832656 +74 55 23.405710368|106.4955333524381 +31.9702312620210|  -0.287 12.785    |10.19    |F5              |    ~     ~    
31  |BD+75 628                                                                                                                                                                                                                                            |Star                           |17 20 17.2714989336 +75 38 30.475630680|107.3235985262893 +31.8179490498410|  -7.794 10.271    |9.75     |F5              |    ~     ~    
32  |TYC 4569-1872-1                                                                                                                                                                                                                                      |Star                           |17 21 02.6088388944 +75 11 38.265478944|106.7996066265721 +31.8866421335354|   5.926 14.383    |10.82    |F8              |    ~     ~    
33  |TYC 4569-1825-1                                                                                                                                                                                                                                      |Star                           |17 21 39.4273204944 +75 13 51.185735688|106.8301130836877 +31.8394708358605|   -1.305 7.732    |10.99    |G0              |    ~     ~    
34  |BD+75 630                                                                                                                                                                                                                                            |Spectroscopic Binary           |17 23 43.1350842024 +75 11 45.117091896|106.7522047820185 +31.7205329241750|  8.529 -50.197    |10.41    |F8              |    ~     ~    
35  |BD+75 631                                                                                                                                                                                                                                            |Star                           |17 23 53.6350269672 +75 27 27.372686112|107.0475103563873 +31.6465001991985| -11.943 24.492    |9.90     |K0              |    ~     ~    
36  |BD+75 632                                                                                                                                                                                                                                            |Star                           |17 25 53.5455066360 +75 44 56.615968356|107.3445554872427 +31.4559737383533|   -8.932 0.616    |10.61    |G5              |    ~     ~    
37  |BD+75 633                                                                                                                                                                                                                                            |Star                           |17 28 55.8489153504 +75 35 06.883200420|107.1071801214477 +31.3106217510953|   1.387 -8.512    |9.58     |K0              |    ~     ~    
38  |HD 160076                                                                                                                                                                                                                                            |Spectroscopic Binary           |17 29 22.2252397800 +75 38 15.244940184|107.1597921634367 +31.2723829306416|   -4.345 3.053    |8.47     |F5              |    ~     ~    
39  |HD 158692                                                                                                                                                                                                                                            |High Proper Motion Star        |17 22 40.7182882248 +74 39 46.487901240|106.1625072677187 +31.9142446721397|  -5.283 51.406    |7.56     |A3              |    ~     ~    
40  |HD 159754                                                                                                                                                                                                                                            |Double or Multiple Star        |17 28 29.0533037 +74 30 00.599842      |105.8732904997 +31.5752966322      |     0.72 22.16    |8.29     |F2V             |0.0083  0.0    
41  |BD+74 714                                                                                                                                                                                                                                            |Star                           |17 29 39.2046831408 +73 55 15.594744684|105.1887710142218 +31.6179493417035|-14.039 -28.320    |8.89     |K0              |    ~     ~    
42  |BD+73 771                                                                                                                                                                                                                                            |Star                           |17 23 32.5654591200 +73 36 59.360721012|104.9461297715638 +32.1001963146467|    0.151 6.657    |9.73     |F5              |    ~     ~    
43  |HD 158832                                                                                                                                                                                                                                            |Star                           |17 24 19.6489506696 +72 56 08.775210120|104.1471860165164 +32.1949627660572|   4.717 10.376    |7.84     |K0              |    ~     ~    
44  |HD 159080                                                                                                                                                                                                                                            |Star                           |17 25 28.1620947120 +73 11 58.737996528|104.4305724452555 +32.0573153105836|   1.708 -8.457    |8.82     |A0              |    ~     ~    
45  |BD+73 775                                                                                                                                                                                                                                            |Double or Multiple Star        |17 26 37.5213346392 +73 30 46.056993192|104.7706818700558 +31.9100418075365| -11.584 10.455    |9.09     |F2              |    ~     ~    
46  |BD+73 776                                                                                                                                                                                                                                            |Star                           |17 27 54.0445731144 +73 18 51.364809000|104.5197264768805 +31.8621793147776|-40.542 -11.724    |9.29     |G5              |    ~     ~    
47  |TYC 4427-164-1                                                                                                                                                                                                                                       |Star                           |17 24 29.5623809232 +73 51 02.730235860|105.1978239562260 +31.9827746956361|   3.549 -3.440    |10.61    |~               |    ~     ~    
48  |TYC 4427-461-1                                                                                                                                                                                                                                       |Star                           |17 22 57.7970358888 +73 23 09.177604260|104.6917251175915 +32.1922487721976|  6.318 -17.511    |10.23    |~               |    ~     ~    
49  |TYC 4427-493-1                                                                                                                                                                                                                                       |High Proper Motion Star        |17 26 37.2849382080 +73 43 47.423260920|105.0205471151662 +31.8642371354487|-17.974 -54.179    |10.38    |~               |    ~     ~    
50  |TYC 4427-587-1                                                                                                                                                                                                                                       |Star                           |17 27 02.4786802872 +74 18 42.461303508|105.6817754494186 +31.7105881237668|  4.647 -33.926    |10.87    |~               |    ~     ~    
51  |TYC 4427-696-1                                                                                                                                                                                                                                       |Star                           |17 24 55.0070543184 +73 01 36.907833360|104.2414551800295 +32.1333268392434|-22.815 -12.623    |9.71     |~               |    ~     ~    
52  |TYC 4427-846-1                                                                                                                                                                                                                                       |Star                           |17 27 41.3129233632 +73 22 26.540515308|104.5922762164621 +31.8648438896559| -16.774 17.564    |10.76    |~               |    ~     ~    
53  |TYC 4427-940-1                                                                                                                                                                                                                                       |High Proper Motion Star        |17 26 09.8552281968 +73 18 11.274419484|104.5373449134849 +31.9864654739205| -63.486 14.480    |10.31    |~               |    ~     ~    
54  |TYC 4427-946-1                                                                                                                                                                                                                                       |Star                           |17 28 32.5167982008 +73 09 35.726023404|104.3307732431004 +31.8479965616976|  28.362 13.257    |10.62    |~               |    ~     ~    
55  |TYC 4427-1053-1                                                                                                                                                                                                                                      |Star                           |17 23 03.6551761056 +73 45 50.984824392|105.1249671750285 +32.0996016860937|   2.414 -1.969    |10.73    |~               |    ~     ~    
56  |GSC 04427-01233                                                                                                                                                                                                                                      |Double or Multiple Star        |17 23 04.509552 +73 12 37.65708        |104.487548430 +32.223751053        |       4.3 -2.1    |10.486   |~               |    ~     ~    
57  |TYC 4427-1534-1                                                                                                                                                                                                                                      |Star                           |17 22 45.4121863032 +73 07 23.854279332|104.3931725492797 +32.2656766421794|   2.576 -5.735    |10.84    |~               |    ~     ~    
58  |TYC 4427-1606-1                                                                                                                                                                                                                                      |Star                           |17 24 23.3318972400 +73 21 17.413093512|104.6292084782825 +32.0997022862594|   0.546 -8.504    |10.94    |~               |    ~     ~    
59  |TYC 4427-1997-1                                                                                                                                                                                                                                      |Star                           |17 22 35.8380077184 +73 11 48.654316320|104.4810076170789 +32.2604448308494| -4.302 -42.413    |10.61    |~               |    ~     ~    
60  |TYC 4427-2004-1                                                                                                                                                                                                                                      |Star                           |17 23 09.0228860496 +74 31 00.326050860|105.9864809914817 +31.9185986229038|   0.270 -4.391    |9.68     |~               |    ~     ~    
61  |TYC 4427-2169-1                                                                                                                                                                                                                                      |Star                           |17 28 23.6220701040 +74 53 23.757105948|106.3213511219295 +31.4970912825261|  5.776 -21.453    |10.96    |~               |    ~     ~    
62  |TYC 4568-380-1                                                                                                                                                                                                                                       |Spectroscopic Binary           |17 17 31.3277970936 +75 38 25.650156516|107.3757602196245 +31.9836079753878| -7.160 -11.366    |10.95    |~               |    ~     ~    
63  |TYC 4569-1813-1                                                                                                                                                                                                                                      |Spectroscopic Binary           |17 20 40.9690502328 +75 00 20.009694312|106.5916793216509 +31.9565528895729| -34.194 45.282    |10.41    |~               |    ~     ~    
64  |BD+78 595                                                                                                                                                                                                                                            |Star                           |17 22 18.5663199192 +78 23 37.620547368|110.3926953854832 +30.9674487192296|  -5.724 31.129    |9.56     |F2              |    ~     ~    
65  |BD+78 600                                                                                                                                                                                                                                            |Star                           |17 29 16.3739297832 +78 23 07.115080776|110.2756284518205 +30.6317348320275|   10.584 3.007    |9.61     |G0              |    ~     ~    
66  |BD+78 601                                                                                                                                                                                                                                            |Red Giant Branch star Candidate|17 29 47.6910507864 +78 19 58.657830888|110.2091146381013 +30.6191771231020|    3.833 7.997    |9.74     |K0              |    ~     ~    
67  |BD+78 596                                                                                                                                                                                                                                            |Star                           |17 23 13.3635674448 +77 55 10.971819120|109.8457899368497 +31.0524146047522|   -6.576 1.610    |9.36     |K0              |    ~     ~    
68  |BD+77 656                                                                                                                                                                                                                                            |Star                           |17 16 43.6888053216 +77 29 06.395625528|109.4719034053903 +31.5066422634332|  -0.844 -5.274    |9.64     |F8              |    ~     ~    
69  |BD+77 659                                                                                                                                                                                                                                            |Spectroscopic Binary           |17 24 34.9081356648 +77 09 21.728691216|108.9626997714111 +31.1828456603183|  -4.995 20.340    |9.73     |A5              |    ~     ~    
70  |HD 159606                                                                                                                                                                                                                                            |Star                           |17 25 59.1304825728 +77 06 54.658462716|108.8933740503093 +31.1176271404367| -11.303 21.288    |8.46     |G5              |    ~     ~    
71  |BD+77 662                                                                                                                                                                                                                                            |Star                           |17 26 43.4006438520 +77 19 22.089494928|109.1161828348260 +31.0262427432169|   -4.277 9.691    |9.87     |F5              |    ~     ~    
72  |BD+76 640                                                                                                                                                                                                                                            |Star                           |17 16 19.0593539472 +76 12 59.749724016|108.0519972786527 +31.8942993275913|   6.079 -3.231    |8.55     |K0              |    ~     ~    
73  |BD+76 641                                                                                                                                                                                                                                            |Star                           |17 16 44.5266334320 +76 03 35.826786180|107.8664939325852 +31.9138967995994|  6.834 -19.360    |9.69     |F8              |    ~     ~    
74  |AG+76 634                                                                                                                                                                                                                                            |Long-Period Variable Candidate |17 16 58.7546132040 +76 31 52.256677332|108.3941968074037 +31.7679847643069|  1.709 -13.357    |9.42     |K5              |    ~     ~    
75  |BD+76 643                                                                                                                                                                                                                                            |Star                           |17 18 15.4318394592 +76 11 56.320675800|107.9942001487990 +31.7881750773516|   3.569 19.402    |10.03    |F2              |    ~     ~    
76  |BD+76 644                                                                                                                                                                                                                                            |Star                           |17 19 48.6531545064 +76 01 34.605804324|107.7690127718311 +31.7450362014667|  -3.332 39.184    |8.42     |K0              |    ~     ~    
77  |GSC 04569-01896                                                                                                                                                                                                                                      |Double or Multiple Star        |17 23 31.458720 +76 06 23.76720        |107.792319341 +31.508332055        |       1.9 53.5    |9.652    |K2              |    ~     ~    
78  |BD+76 646                                                                                                                                                                                                                                            |Star                           |17 23 21.2365533576 +76 05 42.344793888|107.7822689510624 +31.5211250647848|  2.097 -18.896    |9.15     |G5              |    ~     ~    
79  |HD 159048                                                                                                                                                                                                                                            |Star                           |17 23 34.5175576176 +76 03 18.181475532|107.7328762991366 +31.5182757736677|-14.790 -27.318    |7.20     |K0III           |    ~     ~    
80  |HD 160011                                                                                                                                                                                                                                            |Star                           |17 28 19.5585263712 +76 42 34.002339120|108.3961082278112 +31.0878700224413|  30.908 13.000    |8.69     |G0              |    ~     ~    
81  |BD+75 622                                                                                                                                                                                                                                            |Star                           |17 16 53.7584463312 +75 42 06.911357868|107.4579544449327 +32.0040773172930| -3.736 -24.403    |10.34    |F8              |    ~     ~    
82  |BD+75 629                                                                                                                                                                                                                                            |Star                           |17 21 38.6638196688 +75 50 01.002090048|107.5161856060116 +31.6877395885272|    1.127 8.633    |9.94     |F2              |    ~     ~    
83  |TYC 4569-1065-1                                                                                                                                                                                                                                      |Star                           |17 28 33.5441758296 +75 52 45.123066516|107.4483839217902 +31.2668505760172|    1.699 3.418    |10.54    |F5              |    ~     ~    
84  |TYC 4568-315-1                                                                                                                                                                                                                                       |Star                           |17 16 16.9948558416 +76 37 00.253385904|108.5042015974117 +31.7823481092107|    1.641 1.010    |10.33    |~               |    ~     ~    
85  |TYC 4568-455-1                                                                                                                                                                                                                                       |Star                           |17 15 29.9977214472 +76 28 55.298430120|108.3677829060983 +31.8647246194173|    2.388 1.043    |10.88    |~               |    ~     ~    
86  |TYC 4568-992-1                                                                                                                                                                                                                                       |Star                           |17 18 41.8327784544 +75 53 32.730710172|107.6385252529553 +31.8459289941208|  11.090 10.095    |10.57    |~               |    ~     ~    
87  |TYC 4569-1479-1                                                                                                                                                                                                                                      |Star                           |17 21 04.5452604912 +76 30 46.394193744|108.2966650251442 +31.5434495270023|  -8.340 18.405    |10.67    |~               |    ~     ~    
88  |TYC 4569-1511-1                                                                                                                                                                                                                                      |Star                           |17 22 16.2721742064 +76 52 04.263512376|108.6766504110258 +31.3831997240142| -10.458 15.961    |10.72    |~               |    ~     ~    
89  |TYC 4569-1571-1                                                                                                                                                                                                                                      |Star                           |17 22 57.2079605904 +76 47 43.493970444|108.5828507381183 +31.3646732553938|  -8.217 18.021    |10.81    |~               |    ~     ~    
