C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:01:29

Vmag< 11&dec< 0&rah >=7.75&rah< 8.0
-----------------------------------

Number of objects : 10348

  #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
-----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
1011 |TYC 5981-1706-1                                                                                                                             |Star                                  |07 45 08.5351842528 -15 04 51.205351008|232.4975049164245 +04.6397806100140|  -3.930 21.966   |10.19    |~              |    ~     ~    
1012 |BD-13 2225                                                                                                                                  |Star                                  |07 46 58.7828451504 -14 10 01.543525032|231.9224299512681 +05.4790949089121|  -2.048 -2.758   |9.64     |M2/3           |    ~     ~    
1013 |BD-14 2227                                                                                                                                  |Star                                  |07 49 12.9664134024 -15 17 47.669749872|233.1767266160176 +05.3846085188050|   -7.894 6.173   |8.83     |K7             |    ~     ~    
1014 |HD 63656                                                                                                                                    |Star                                  |07 49 28.8318115200 -15 20 43.460058552|233.2512522771810 +05.4153401488999|    0.560 0.719   |7.79     |K2III          |    ~     ~    
1015 |HD 63998                                                                                                                                    |Star                                  |07 51 08.4825985272 -15 14 50.600633676|233.3680426633445 +05.8109407174938|  -0.540 -1.970   |8.59     |K4III          |    ~     ~    
1016 |HD 64117                                                                                                                                    |Double or Multiple Star               |07 51 47.5774 -15 15 29.002            |233.4568077 +05.9413841            |     -17.5 -4.1   |8.68     |A6V            |    ~     ~    
1017 |HD 64239                                                                                                                                    |High Proper Motion Star               |07 52 20.5751621088 -15 19 17.628781188|233.5791638809677 +06.0239306625522|120.142 -51.363   |8.76     |G3V            |    ~     ~    
1018 |BD-15 2020                                                                                                                                  |Star                                  |07 45 23.4152864640 -15 58 49.731123720|233.3105865212612 +04.2451935881300| -13.159 -8.926   |9.50     |G5             |    ~     ~    
1019 |HD 62884                                                                                                                                    |Star                                  |07 45 33.1531697016 -15 26 34.431095148|232.8620871611375 +04.5461118601813|   -3.826 2.608   |9.02     |A2/3III        |    ~     ~    
1020 |BD-15 2028                                                                                                                                  |Star                                  |07 45 58.6120305144 -15 51 20.074277016|233.2722160061262 +04.4296567814786|   -5.300 3.320   |9.31     |K0             |    ~     ~    
1021 |BD-15 2031                                                                                                                                  |Star                                  |07 46 15.2114031504 -15 45 12.323435400|233.2165462274242 +04.5382103618290|  14.729 -9.265   |9.87     |F5             |    ~     ~    
1022 |BD-15 2035                                                                                                                                  |Star                                  |07 46 23.1427530048 -15 32 10.219183836|233.0433804962208 +04.6739225382334|    3.587 0.584   |9.89     |A5             |    ~     ~    
1023 |HD 63230                                                                                                                                    |Star                                  |07 47 10.9489678176 -15 39 01.157958504|233.2385937201237 +04.7834287476327|  -3.338 -7.671   |8.30     |A9V            |    ~     ~    
1024 |BD-15 2048                                                                                                                                  |Star                                  |07 47 30.7890374160 -15 38 24.516503484|233.2695905796488 +04.8574989482044|  6.006 -29.131   |10.31    |F5             |    ~     ~    
1025 |V* QY Pup                                                                                                                                   |Red Supergiant                        |07 47 38.5262364936 -15 59 26.481207696|233.5899193650845 +04.7093520727171|   -2.017 3.596   |6.309    |K1Ia-Iab       |    ~     ~    
1026 |BD-15 2050                                                                                                                                  |Star                                  |07 47 40.7803027584 -15 21 28.224877068|233.0441151880664 +05.0331210499110|  -11.057 3.769   |9.36     |K2             |    ~     ~    
1027 |HD 63323                                                                                                                                    |Variable Star                         |07 47 45.2073084600 -16 00 52.138652148|233.6240154522856 +04.7206437137977|  -8.514 -0.428   |6.43     |K5II/III       |    ~     ~    
1028 |HD 63440                                                                                                                                    |Star                                  |07 48 19.7542635576 -15 33 21.483736776|233.2949055476945 +05.0697838813597|   1.247 22.766   |8.96     |G8IV           |    ~     ~    
1029 |HD 63441                                                                                                                                    |Star                                  |07 48 19.2278402400 -15 51 52.025837256|233.5620088974864 +04.9136980504918|   -2.997 2.343   |8.37     |B9.5IV/V       |    ~     ~    
1030 |HD 63479                                                                                                                                    |Star                                  |07 48 34.0378868160 -15 34 07.673438316|233.3348424918068 +05.1130195118511|  -9.590 -0.523   |9.36     |B9V            |    ~     ~    
1031 |BD-15 2075                                                                                                                                  |Star                                  |07 50 01.4795526072 -15 24 42.527629440|233.3750284238162 +05.4955353504350|  -4.290 -1.361   |8.67     |K5             |    ~     ~    
1032 |BD-15 2079                                                                                                                                  |Star                                  |07 50 17.5221913608 -15 43 47.420611500|233.6837888157956 +05.3915564468072|  -2.320 -1.634   |8.82     |M0             |    ~     ~    
1033 |HD 63861                                                                                                                                    |Star                                  |07 50 28.3754002056 -15 32 24.282449844|233.5409463808818 +05.5245459057906|  -3.352 -1.626   |9.69     |A0III/IV       |    ~     ~    
1034 |HD 63862                                                                                                                                    |Star                                  |07 50 31.9511569344 -16 02 44.137769460|233.9871236021166 +05.2827960679146|   -7.797 3.872   |9.51     |A1/2IV         |    ~     ~    
1035 |HD 64055                                                                                                                                    |High Proper Motion Star               |07 51 25.4385313656 -15 52 32.712865068|233.9481009011809 +05.5534421556398| 52.173 -10.009   |8.26     |F7V            |    ~     ~    
1036 |BD-15 2092                                                                                                                                  |Double or Multiple Star               |07 51 27.5716797336 -15 26 29.155020828|233.5753880803352 +05.7796017762586|  -2.210 -6.221   |10.040   |A2             |    ~     ~    
1037 |HD 64260                                                                                                                                    |Star                                  |07 52 29.5186732896 -15 27 08.123867676|233.7108548192762 +05.9890170518855|  6.527 -17.903   |8.73     |F5V            |    ~     ~    
1038 |BD-15 2021                                                                                                                                  |Star                                  |07 45 22.1175757272 -16 08 58.063213824|233.4550313338541 +04.1567103347277|    3.245 1.166   |9.54     |F2             |    ~     ~    
1039 |HD 63480                                                                                                                                    |Star                                  |07 48 38.0606591016 -16 16 00.951956364|233.9495548873807 +04.7774793827383|   -1.899 1.670   |9.58     |B3/5II/III     |    ~     ~    
1040 |HD 63594                                                                                                                                    |Star                                  |07 49 10.9537883712 -16 20 23.085661524|234.0789696948471 +04.8547813435286|  -2.802 -3.095   |8.46     |A4III          |    ~     ~    
1041 |HD 63999                                                                                                                                    |Star                                  |07 51 03.5332525392 -16 16 35.604416208|234.2514335985886 +05.2756946491929|    4.160 4.169   |8.57     |A7IV           |    ~     ~    
1042 |BD-15 2091                                                                                                                                  |Star                                  |07 51 24.3194280456 -16 08 35.674235016|234.1779075706139 +05.4147270910189|  -5.085 11.378   |9.06     |M0             |    ~     ~    
1043 |HD 64056                                                                                                                                    |Star                                  |07 51 26.0645709072 -16 14 44.476005552|234.2702995327838 +05.3690890981393| -8.232 -10.024   |9.09     |F6/7V(+A)      |    ~     ~    
1044 |HD 62838                                                                                                                                    |High Proper Motion Star               |07 45 21.9222098136 -16 35 12.257263464|233.8349833323528 +03.9386118322997|-58.471 -24.053   |8.16     |F2V            |    ~     ~    
1045 |HD 62885                                                                                                                                    |Star                                  |07 45 32.8052299680 -16 35 38.343770484|233.8629574074845 +03.9727043247693|  -5.164 -4.506   |9.81     |A2IV           |    ~     ~    
1046 |HD 62905                                                                                                                                    |alpha2 CVn Variable                   |07 45 39.8259546552 -16 58 36.564516912|234.2097150062053 +03.8063833521370|   -1.858 2.021   |9.65     |ApEuCr(Sr)     |    ~     ~    
1047 |HD 62935                                                                                                                                    |Star                                  |07 45 42.0 -17 19 28                   |234.5161 +03.6407                  |            ~ ~   |10.115   |A1/2V+(A)      |    ~     ~    
1048 |ADS 6352 B                                                                                                                                  |Star                                  |07 45 42.4 -17 19 25                   |234.5161 +03.6425                  |            ~ ~   |10.133   |~              |    ~     ~    
1049 |HD 62998                                                                                                                                    |High Proper Motion Star               |07 46 07.5839028000 -16 34 36.476658552|233.9173504838162 +04.1016990882471| -43.225 29.328   |9.45     |F6V            |    ~     ~    
1050 |HD 63113                                                                                                                                    |Star                                  |07 46 37.8862571016 -17 09 10.404628704|234.4782807421896 +03.9190051286893|   -7.149 5.682   |9.37     |A9V            |    ~     ~    
1051 |HD 63144                                                                                                                                    |Star                                  |07 46 50.0534015208 -16 46 08.438275920|234.1691540800266 +04.1527338049546| -1.714 -13.536   |9.55     |A1mA8/9-F0     |    ~     ~    
1052 |HD 63244                                                                                                                                    |Star                                  |07 47 23.3838977280 -16 28 15.400270308|233.9768872779359 +04.4169160565494|   0.513 -5.086   |9.78     |A2III          |    ~     ~    
1053 |HD 63481                                                                                                                                    |Star                                  |07 48 36.9670818576 -16 32 38.037935508|234.1878400388121 +04.6348855755622|  -0.140 -0.503   |8.83     |B9.5III        |    ~     ~    
1054 |HD 63595                                                                                                                                    |Star                                  |07 49 08.0561795760 -17 18 56.029626396|234.9196759674651 +04.3546546369386|   -4.343 2.636   |9.73     |A0V            |    ~     ~    
1055 |HD 63657                                                                                                                                    |Star                                  |07 49 23.0315872488 -17 19 54.152246460|234.9637165933839 +04.3980207298457|   -5.597 2.084   |10.23    |B9V            |    ~     ~    
1056 |HD 63678                                                                                                                                    |High Proper Motion Star               |07 49 33.8700819888 -16 51 37.853371512|234.5769567476874 +04.6723188279627|-31.623 -74.102   |8.18     |G3/5V          |    ~     ~    
1057 |* 6 Pup                                                                                                                                     |High Proper Motion Star               |07 49 41.2014260640 -17 13 42.270476016|234.9106667881122 +04.5124742702028|54.538 -117.165   |5.162    |K3III          |    ~     ~    
1058 |BD-16 2148                                                                                                                                  |Spectroscopic Binary                  |07 49 51.1139495232 -17 10 29.604135360|234.8842050535180 +04.5735075993911|  -2.061 -0.102   |8.94     |K5             |    ~     ~    
1059 |HD 63844                                                                                                                                    |Star                                  |07 50 22.8641113200 -16 45 07.773127128|234.5816907354194 +04.8957211066608|  -1.882 -0.300   |10.26    |B9V            |    ~     ~    
1060 |HD 63910                                                                                                                                    |Star                                  |07 50 43.3929179856 -16 52 01.995877128|234.7228548013629 +04.9084520115215|    0.578 5.898   |9.04     |K1III          |    ~     ~    
1061 |HD 63979                                                                                                                                    |Star                                  |07 51 00.8820559200 -17 08 09.402010476|234.9909900857838 +04.8330160768602|  -14.733 0.822   |8.82     |G5III          |    ~     ~    
1062 |HD 64057                                                                                                                                    |Star                                  |07 51 26.5783338096 -16 36 22.609151568|234.5839744615453 +05.1888886321577| -12.750 -1.134   |8.13     |K3III          |    ~     ~    
1063 |HD 64058                                                                                                                                    |Star                                  |07 51 28.2071286240 -17 01 27.411025800|234.9494474268344 +04.9833501265061|  -21.706 9.981   |8.51     |F3/5V          |    ~     ~    
1064 |HD 64078                                                                                                                                    |Star                                  |07 51 33.6960576480 -16 49 34.132570572|234.7889089117460 +05.1023539321807|   -1.082 1.135   |10.06    |B9V            |    ~     ~    
1065 |BD-16 2166                                                                                                                                  |Star                                  |07 51 54.1848803352 -16 47 24.564966684|234.7992042189363 +05.1910604765914|   -3.855 0.462   |9.09     |M0             |    ~     ~    
1066 |HD 64261                                                                                                                                    |Star                                  |07 52 25.2565381944 -16 41 00.566563272|234.7697965103278 +05.3519685219903|  -7.734 -0.585   |8.89     |F0V            |    ~     ~    
1067 |HD 62999                                                                                                                                    |Star                                  |07 46 06.0173747976 -17 37 23.767780404|234.8232791045642 +03.5743337152904|   -8.756 6.642   |9.39     |A1III          |    ~     ~    
1068 |BD-17 2146                                                                                                                                  |Star                                  |07 46 06.3280591152 -17 40 27.471697680|234.8681964736743 +03.5499270524121|   -8.071 1.752   |9.48     |G5             |    ~     ~    
1069 |HD 63268                                                                                                                                    |Star                                  |07 47 25.3401525216 -17 28 36.166422180|234.8539805625250 +03.9205207092029|  -2.719 -0.221   |9.27     |A0III/IV       |    ~     ~    
1070 |BD-17 2165                                                                                                                                  |Star                                  |07 48 27.4355201280 -17 28 49.318863204|234.9811945729247 +04.1322104936702|  -4.798 -0.173   |9.24     |K5             |    ~     ~    
1071 |HD 63521                                                                                                                                    |Star                                  |07 48 46.0860764304 -17 24 28.793382480|234.9557802192025 +04.2326642131125|  -9.919 -3.439   |8.15     |F3V            |    ~     ~    
1072 |HD 63959                                                                                                                                    |Double or Multiple Star               |07 50 56.795448 -17 30 59.04216        |235.312229902 +04.626818481        |      -3.8 -1.9   |9.899    |A1IV/V         |    ~     ~    
1073 |HD 64131                                                                                                                                    |Star                                  |07 51 51.6035406096 -17 23 10.602625308|235.3101572661694 +04.8805675658367|  -0.362 -4.869   |9.45     |A1V+(G)        |    ~     ~    
1074 |MC79 1-43                                                                                                                                   |S Star                                |07 47 50.9121076848 -17 20 22.378814340|234.7860360271403 +04.0772256744654|   -1.472 1.799   |10.89    |S3*2           |    ~     ~    
1075 |BD-15 2038                                                                                                                                  |Star                                  |07 46 47.2286359617 -16 19 49.496281753|233.7824000866578 +04.3618717917861|       2.0 -0.4   |10.41    |~              |    ~     ~    
1076 |TYC 5981-2146-1                                                                                                                             |Star                                  |07 45 44.9443833096 -15 47 41.085103704|233.1919554679521 +04.4123708053172|-15.507 -15.766   |10.31    |~              |    ~     ~    
1077 |TYC 5985-1298-1                                                                                                                             |Star                                  |07 45 18.3060325776 -17 07 06.426137244|234.2900160852763 +03.6615155692623|   -0.165 0.616   |10.43    |~              |    ~     ~    
1078 |BD-16 2109                                                                                                                                  |Star                                  |07 45 19.5472527456 -16 51 24.287967396|234.0650129023806 +03.7960581474536|  -1.493 -1.868   |9.53     |~              |    ~     ~    
1079 |TYC 5981-184-1                                                                                                                              |Star                                  |07 45 25.5065838408 -16 43 34.141049616|233.9633345217541 +03.8816639928147|   -1.111 2.578   |9.99     |~              |    ~     ~    
1080 |BD-15 2022                                                                                                                                  |Star                                  |07 45 25.5668618016 -16 12 47.715795360|233.5174086730555 +04.1369772213833|   0.849 -2.210   |10.07    |~              |    ~     ~    
1081 |BD-15 2027                                                                                                                                  |Star                                  |07 45 48.8010149352 -16 21 10.369360476|233.6851973365971 +04.1481347897115|-10.886 -26.631   |10.24    |~              |    ~     ~    
1082 |BD-16 2117                                                                                                                                  |Star                                  |07 45 56.4702320280 -17 01 50.245503816|234.2895853816323 +03.8370722989212|   -6.594 2.252   |9.33     |~              |    ~     ~    
1083 |TYC 5981-373-1                                                                                                                              |Star                                  |07 46 06.2735302272 -16 44 35.645216820|234.0593916405010 +04.0142144913154|   -9.493 2.555   |10.06    |~              |    ~     ~    
1084 |BD-15 2033                                                                                                                                  |Star                                  |07 46 18.0791363760 -15 48 00.188179344|233.2628574528686 +04.5249758402391|  -0.551 -6.342   |9.89     |~              |    ~     ~    
1085 |BD-15 2034                                                                                                                                  |Star                                  |07 46 19.6954163208 -16 00 45.676706400|233.4510620516853 +04.4247234247186|   -2.616 1.312   |9.75     |M4             |    ~     ~    
1086 |BD-16 2120                                                                                                                                  |Star                                  |07 46 20.2356927168 -16 21 15.053373540|233.7490918443712 +04.2564688571329| -12.940 -6.695   |9.92     |~              |    ~     ~    
1087 |TYC 5981-2586-1                                                                                                                             |Star                                  |07 46 22.2961653888 -15 36 46.350788256|233.1084361921874 +04.6328063359705|   -3.381 1.783   |10.34    |~              |    ~     ~    
1088 |BD-16 2121                                                                                                                                  |Star                                  |07 46 31.2270289032 -16 38 26.846138220|234.0201558768353 +04.1516251387868|  -1.198 -8.069   |9.78     |~              |    ~     ~    
1089 |BD-15 2045                                                                                                                                  |Red Giant Branch star Candidate       |07 47 19.2573634488 -16 19 50.209980924|233.8466953192058 +04.4727426355325|  -1.287 -2.557   |9.63     |~              |    ~     ~    
1090 |BD-15 2046                                                                                                                                  |Star                                  |07 47 26.6812122648 -16 09 56.674574424|233.7183002762966 +04.5808248275950| -2.129 -16.498   |9.80     |~              |    ~     ~    
1091 |BD-16 2130                                                                                                                                  |Star                                  |07 48 02.7245442072 -17 20 42.145677276|234.8144105501346 +04.1151250622810| 10.249 -12.034   |9.62     |~              |    ~     ~    
1092 |BD-15 2060                                                                                                                                  |Star                                  |07 48 31.0963991448 -16 20 29.947593804|234.0004423526751 +04.7159400153981|   -8.957 2.426   |9.67     |~              |    ~     ~    
1093 |BD-16 2139                                                                                                                                  |Star                                  |07 49 14.6830855656 -16 26 18.586949208|234.1721962002159 +04.8181144306797|   0.675 -4.867   |10.10    |~              |    ~     ~    
1094 |BD-16 2142                                                                                                                                  |Star                                  |07 49 17.1629567904 -17 06 05.596842600|234.7524026723597 +04.4935785019449| -27.970 26.056   |9.88     |~              |    ~     ~    
1095 |BD-16 2144                                                                                                                                  |Long-Period Variable Candidate        |07 49 25.9879574352 -16 36 02.433166056|234.3356939882246 +04.7757238349824|   0.913 -1.537   |9.55     |M4             |    ~     ~    
1096 |BD-15 2074                                                                                                                                  |Star                                  |07 49 53.9233788096 -15 44 20.379083928|233.6440041197054 +05.3051144488601|  -6.075 -0.560   |9.88     |~              |    ~     ~    
1097 |BD-17 2178                                                                                                                                  |Star                                  |07 49 59.1571710336 -17 22 18.100768584|235.0709249794710 +04.5020227445494|  -5.940 16.562   |9.82     |~              |    ~     ~    
1098 |BD-16 2153                                                                                                                                  |Star                                  |07 50 24.2320140336 -17 22 13.315013112|235.1202025441854 +04.5888069645006|  5.532 -15.590   |10.20    |~              |    ~     ~    
1099 |BD-16 2154                                                                                                                                  |High Proper Motion Star               |07 50 31.1685048264 -17 03 44.790899148|234.8673871679954 +04.7679398133379|-39.806 122.539   |9.64     |~              |    ~     ~    
1100 |BD-15 2084                                                                                                                                  |Star                                  |07 50 41.6133801336 -15 42 59.113590516|233.7209229381272 +05.4818320699502| -2.042 -17.304   |9.89     |~              |    ~     ~    
1101 |BD-16 2155                                                                                                                                  |Star                                  |07 50 41.6899209168 -16 36 29.959776936|234.4949769809670 +05.0330971536191|   -5.127 3.960   |10.16    |~              |    ~     ~    
1102 |BD-16 2158                                                                                                                                  |Star                                  |07 50 50.4436581408 -16 35 00.298958172|234.4910687279556 +05.0758401113202|  -9.555 12.035   |9.66     |~              |    ~     ~    
1103 |BD-15 2094                                                                                                                                  |Star                                  |07 51 33.6539610144 -16 19 14.789447076|234.3507958960670 +05.3574109787527|   7.469 -3.033   |10.12    |~              |    ~     ~    
1104 |TYC 5985-2145-1                                                                                                                             |Star                                  |07 51 40.7287764576 -17 06 10.972033128|235.0429763833478 +04.9865614533516|    3.250 0.840   |9.85     |~              |    ~     ~    
1105 |FAUST 1721                                                                                                                                  |Star                                  |07 46 18.0 -15 42 36                   |233.1843 +04.5695                  |            ~ ~   |9.2      |F5             |    ~     ~    
1106 |FAUST 1810                                                                                                                                  |Star                                  |07 48 30.0 -17 27 06                   |234.9614 +04.1554                  |            ~ ~   |9.1      |K5             |    ~     ~    
1107 |FAUST 1869                                                                                                                                  |Star                                  |07 50 00.0 -17 09 36                   |234.8892 +04.6116                  |            ~ ~   |9.0      |K5             |    ~     ~    
1108 |BD-14 2233                                                                                                                                  |High Proper Motion Star               |07 49 58.1107631208 -15 15 00.825076188|233.2277635313432 +05.5648687689787|-64.123 -23.537   |9.92     |F2             |    ~     ~    
1109 |HD 63878                                                                                                                                    |Star                                  |07 50 33.4214584368 -15 04 49.068043176|233.1516269809838 +05.7729601628357|   -2.992 1.333   |9.29     |B8II           |    ~     ~    
1110 |BD-15 2024                                                                                                                                  |Double or Multiple Star               |07 45 39.32 -15 50 16.6                |233.21831 +04.37133                |   -10.00 -4.00   |9.6      |~              |    ~     ~    
1111 |TYC 5981-15-1                                                                                                                               |Star                                  |07 48 52.5574153224 -16 20 38.237071452|234.0455971662782 +04.7890381247819|   -4.077 3.103   |10.57    |~              |    ~     ~    
1112 |TYC 5981-21-1                                                                                                                               |Star                                  |07 47 06.3791301096 -16 26 02.981962572|233.9108826368110 +04.3764258629600|   -3.099 2.590   |10.16    |~              |    ~     ~    
1113 |TYC 5981-77-1                                                                                                                               |Star                                  |07 47 09.2227533600 -15 13 51.629025468|232.8702748057541 +04.9863991451907|   -4.348 2.020   |10.10    |~              |    ~     ~    
1114 |TYC 5981-151-1                                                                                                                              |Star                                  |07 49 55.5501420360 -16 42 51.971603760|234.4939145087296 +04.8205399834030|   -1.993 4.112   |10.29    |~              |    ~     ~    
1115 |TYC 5981-256-1                                                                                                                              |Star                                  |07 50 06.1005011040 -16 52 23.075564412|234.6527348119437 +04.7770608791135|   -5.314 2.518   |10.70    |~              |    ~     ~    
1116 |TYC 5981-441-1                                                                                                                              |Star                                  |07 51 22.4933956728 -16 21 12.687790212|234.3565789825912 +05.3023587876139|   2.572 -6.159   |10.63    |~              |    ~     ~    
1117 |TYC 5981-523-1                                                                                                                              |Star                                  |07 49 15.2786304384 -16 45 40.780855260|234.4535295549870 +04.6580596155847|   -4.911 1.725   |10.50    |~              |    ~     ~    
1118 |TYC 5981-544-1                                                                                                                              |Star                                  |07 46 12.3634053936 -16 38 58.210693548|233.9900772560352 +04.0820070519322|  -4.351 -3.567   |10.57    |~              |    ~     ~    
1119 |TYC 5981-555-1                                                                                                                              |Star                                  |07 48 10.3770846432 -16 09 30.714145272|233.7997478715966 +04.7358788016534|   -4.718 2.450   |10.94    |~              |    ~     ~    
1120 |TYC 5981-584-1                                                                                                                              |Star                                  |07 47 57.5372236224 -15 18 54.802156716|233.0407719333393 +05.1127391301648|   -5.654 2.594   |10.06    |~              |    ~     ~    
1121 |TYC 5981-604-1                                                                                                                              |Star                                  |07 46 20.3846966784 -16 42 37.255460796|234.0589580082632 +04.0794216812120|   0.879 -3.495   |10.90    |~              |    ~     ~    
1122 |TYC 5981-687-1                                                                                                                              |Star                                  |07 45 04.0973470944 -16 05 21.531487524|233.3667652674863 +04.1239912573600|   -2.575 6.014   |10.63    |~              |    ~     ~    
1123 |TYC 5981-708-1                                                                                                                              |Star                                  |07 49 01.7575604640 -16 21 08.639278200|234.0714419817471 +04.8166264169798|-17.495 -12.753   |10.10    |~              |    ~     ~    
1124 |TYC 5981-732-1                                                                                                                              |Star                                  |07 51 04.3123711176 -16 26 23.775027936|234.3947036949541 +05.1960229311850|  -5.893 -3.871   |10.87    |~              |    ~     ~    
1125 |TYC 5981-889-1                                                                                                                              |Star                                  |07 51 58.1333040960 -16 45 00.689437476|234.7725807880505 +05.2248598244702|  -13.120 2.357   |9.85     |~              |    ~     ~    
1126 |TYC 5981-959-1                                                                                                                              |Star                                  |07 51 57.5406201336 -15 19 53.134638240|233.5408112546214 +05.9390166475650| -11.568 10.057   |9.875    |~              |    ~     ~    
1127 |TYC 5981-990-1                                                                                                                              |Star                                  |07 45 21.5418 -15 57 59.890            |233.2947995 +04.2455594            |   1.394 10.292   |10.87    |~              |    ~     ~    
1128 |TYC 5981-996-1                                                                                                                              |Star                                  |07 47 59.4591887880 -16 00 30.357122220|233.6473862068519 +04.7731050097190|   -6.964 8.843   |10.8     |~              |    ~     ~    
1129 |TYC 5981-1027-1                                                                                                                             |Star                                  |07 48 37.9764820104 -16 34 50.266738956|234.2217523487626 +04.6199590420255|  -2.864 -2.433   |10.73    |~              |    ~     ~    
1130 |TYC 5981-1032-1                                                                                                                             |Star                                  |07 50 09.4819959504 -16 01 01.555577724|233.9169525696883 +05.2193472542557|   1.100 -0.028   |10.26    |~              |    ~     ~    
1131 |TYC 5981-1040-1                                                                                                                             |Star                                  |07 47 03.3353951136 -15 10 41.963696004|232.8125808221482 +04.9921115862779|  -12.898 2.305   |10.15    |~              |    ~     ~    
1132 |GSC 05981-01048                                                                                                                             |Double or Multiple Star               |07 48 23.9495336664 -16 35 07.433613924|234.1977247712464 +04.5690987799879|   -1.228 1.709   |10.910   |~              |    ~     ~    
1133 |TYC 5981-1065-1                                                                                                                             |Star                                  |07 45 47.2693116696 -16 06 34.890845184|233.4706275922945 +04.2638312869862|   2.291 -0.890   |10.40    |~              |    ~     ~    
1134 |TYC 5981-1075-1                                                                                                                             |Star                                  |07 47 09.2573665152 -16 34 37.413452388|234.0407958832788 +04.3150140951700|   -4.956 2.202   |10.25    |~              |    ~     ~    
1135 |TYC 5981-1165-1                                                                                                                             |Star                                  |07 47 56.7118537656 -16 34 38.458117128|234.1360919775135 +04.4789826328175|  -2.451 -1.297   |10.89    |~              |    ~     ~    
1136 |TYC 5981-1209-1                                                                                                                             |Star                                  |07 49 31.1997655632 -15 56 32.968713228|233.7748502497771 +05.1242043189696|  -12.005 9.612   |10.20    |~              |    ~     ~    
1137 |TYC 5981-1313-1                                                                                                                             |Star                                  |07 51 55.8954553056 -15 02 01.056603912|233.2787691464870 +06.0832917102087|   -1.731 0.455   |10.67    |~              |    ~     ~    
1138 |TYC 5981-1409-1                                                                                                                             |Star                                  |07 51 39.8905502632 -15 06 26.073076075|233.3101422893887 +05.9905964668654|  -4.525 -5.583   |10.22    |~              |    ~     ~    
1139 |TYC 5981-1424-1                                                                                                                             |Star                                  |07 47 08.0570890176 -15 21 21.018825252|232.9765739601128 +04.9201471027656|  -4.023 -1.566   |10.23    |~              |    ~     ~    
1140 |TYC 5981-1540-1                                                                                                                             |Star                                  |07 46 40.5845222856 -16 35 21.891986124|233.9942031233290 +04.2096375077757|   -0.916 3.487   |10.68    |~              |    ~     ~    
1141 |TYC 5981-1596-1                                                                                                                             |Star                                  |07 47 51.3110800968 -15 58 55.099898724|233.6080186401707 +04.7580666168002|  -2.471 -7.467   |9.97     |~              |    ~     ~    
1142 |TYC 5981-1648-1                                                                                                                             |Star                                  |07 47 38.0524509816 -16 37 09.246041868|234.1350728244754 +04.3935145920189|   -2.261 2.749   |10.75    |~              |    ~     ~    
1143 |TYC 5981-1653-1                                                                                                                             |Star                                  |07 48 48.1379518224 -16 16 05.726935740|233.9709776309608 +04.8116954399176|   -3.642 2.323   |10.80    |~              |    ~     ~    
1144 |TYC 5981-1671-1                                                                                                                             |Star                                  |07 47 28.7006520432 -15 57 10.537450416|233.5373697228158 +04.6941125649432|   -1.638 1.532   |10.48    |~              |    ~     ~    
1145 |TYC 5981-1678-1                                                                                                                             |Star                                  |07 47 19.7987214576 -16 44 09.487380624|234.1999137974370 +04.2720457995603|   -2.642 1.117   |10.75    |~              |    ~     ~    
1146 |TYC 5981-1755-1                                                                                                                             |Star                                  |07 50 13.2339853704 -16 22 07.752853452|234.2297786480074 +05.0554632701924| -1.873 -19.327   |10.35    |~              |    ~     ~    
1147 |TYC 5981-1811-1                                                                                                                             |Star                                  |07 46 31.4636547672 -15 14 10.613399280|232.7990230062089 +04.8521159189419|   -5.000 1.463   |10.43    |~              |    ~     ~    
1148 |TYC 5981-1883-1                                                                                                                             |Star                                  |07 47 54.1805107392 -15 09 51.612156828|232.9027270376329 +05.1763437673703|   -4.175 2.152   |10.56    |~              |    ~     ~    
1149 |TYC 5981-1983-1                                                                                                                             |Star                                  |07 50 26.2435773744 -16 06 41.332584348|234.0327628169330 +05.2299010560724|  -11.544 8.687   |10.62    |~              |    ~     ~    
