C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:51:18

dec< 0&rah >=22.75&rah< 23.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2769

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
22  |CD-42 16101                                                                                              |Double or Multiple Star               |22 51 33.367848 -41 37 03.58716        |354.552568128 -61.549080991        |      16.7 -9.0     |10.933   |~              |    ~     ~    |    1|  269.418   pc  | +36.597      +5         |ST-L    |2017AJ....153...75K
23  |CD-42 16104                                                                                              |Star                                  |22 51 38.3841288192 -41 40 35.393569068|354.4255662790956 -61.5424521258941|  -1.252 -0.778     |10.254   |~              |    ~     ~    |    1|  545.886   pc  | -17.7700    +17.7700    |ST-L    |2020AJ....160...83S
24  |CD-41 15025                                                                                              |Star                                  |22 47 13.8814911816 -40 50 29.507541540|356.6463191388411 -61.0465047064164|   5.002 -8.865     |10.67    |~              |    ~     ~    |    1|  452.653   pc  |  -3.7905     +3.7905    |paral   |2020yCat.1350....0G
25  |CD-41 15051                                                                                              |Star                                  |22 50 44.3867183592 -40 52 40.395772704|356.1235914043409 -61.6617963012650|   1.563 -1.849     |10.52    |~              |    ~     ~    |    1|  921.659   pc  | -13.3364    +13.3364    |paral   |2020yCat.1350....0G
26  |CD-43 15178                                                                                              |Star                                  |22 52 18.1151981640 -43 04 28.738282764|351.6346481834141 -61.1211729200218| -15.554 -3.859     |10.99    |~              |    ~     ~    |    1|  811.162   pc  |  -9.8697     +9.8697    |paral   |2020yCat.1350....0G
27  |CD-44 15034                                                                                              |Star                                  |22 46 05.8693622064 -43 27 40.889557116|351.8136839525012 -59.9306909162769|    5.494 9.141     |10.77    |~              |    ~     ~    |    1|  445.891   pc  |  -3.5787     +3.5787    |paral   |2020yCat.1350....0G
28  |HD 215727                                                                                                |Star                                  |22 47 50.5109038320 -43 22 28.993033596|351.7287576154755 -60.2562824702723|  17.099 -2.107     |9.33     |K1(III)        |    ~     ~    |    1|  454.339   pc  |  -3.1789     +3.1789    |paral   |2020yCat.1350....0G
29  |HD 215818                                                                                                |Star                                  |22 48 30.2429124096 -43 26 47.135688864|351.5005578460365 -60.3388648705956|-17.163 -11.123     |7.055    |G8III          |    ~     ~    |    1|  194.689   pc  |  -0.7846     +0.7846    |paral   |2020yCat.1350....0G
30  |HD 215892                                                                                                |Star                                  |22 49 05.9808329075 -43 27 45.700385342|351.3837662543631 -60.4316996795222| -7.651 -11.952     |9.33     |G8III          |    ~     ~    |    0|                |                         |        |                   
31  |HD 216098                                                                                                |Star                                  |22 50 41.3837611992 -43 36 21.142947780|350.8812601493239 -60.6377358660805| -18.231 14.353     |9.695    |G2/5V+A/F      |    ~     ~    |    1|  121.439   pc  |  -1.1350     +1.1350    |ST-L    |2020AJ....160...83S
32  |TYC 8007-744-1                                                                                           |Star                                  |22 48 39.6356060472 -42 14 45.166130412|353.7406592853404 -60.8200133240483| -3.795 -11.791     |10.331   |~              |    ~     ~    |    1| 1019.750   pc  | -74.9900    +74.9900    |ST-L    |2020AJ....160...83S
33  |TYC 8007-955-1                                                                                           |Star                                  |22 50 31.5557666064 -41 51 41.032376892|354.2220493505751 -61.2820004461250|-10.149 -16.588     |10.44    |~              |    ~     ~    |    1|  332.502   pc  |  -1.8353     +1.8353    |paral   |2020yCat.1350....0G
34  |TYC 8010-2-1                                                                                             |Star                                  |22 50 47.6689695960 -42 42 17.340976692|352.5621591382493 -61.0131385528900|  8.616 -17.356     |10.84    |~              |    ~     ~    |    1|  721.085   pc  | -13.8830    +13.8830    |paral   |2020yCat.1350....0G
