C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:51:18

dec< 0&rah >=22.75&rah< 23.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2769

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
223 |CD-37 15009                                                                                              |Star                                  |22 58 27.6565750440 -37 18 29.851429680|002.6350628087493 -64.1548319180436| -35.728 -1.076     |10.63    |~              |    ~     ~    |    1|  224.442   pc  |  -0.8412     +0.8412    |paral   |2020yCat.1350....0G
224 |CD-37 15021                                                                                              |Star                                  |22 58 57.6646009224 -36 27 25.909827156|004.4821329892003 -64.4600830514347|  20.786 -0.091     |10.60    |~              |    ~     ~    |    1|  449.741   pc  |  -3.8633     +3.8633    |paral   |2020yCat.1350....0G
225 |CD-36 15655                                                                                              |Star                                  |22 59 09.8889868704 -36 12 21.925461672|005.0286572640145 -64.5571127748142| 14.683 -15.304     |10.61    |~              |    ~     ~    |    1|  271.010   pc  |  -1.4689     +1.4689    |paral   |2020yCat.1350....0G
226 |NGC 7421                           NGC 7421                                                              |Galaxy towards a Group of Galaxies    |22 56 54.3533970816 -37 20 50.437978152|002.7290419545828 -63.8459742095795|    0.602 0.842     |11.93    |~              |1.283 1.052    |    1|   24       Mpc |                         |        |2007ApJS..173..185G
227 |CD-37 14973                                                                                              |High Proper Motion Star               |22 53 52.3668523056 -37 09 03.196259928|003.4869926384262 -63.3082248801483|  112.278 9.386     |10.65    |~              |    ~     ~    |    1|  118.016   pc  |  -0.6351     +0.6351    |paral   |2020yCat.1350....0G
228 |TYC 7511-364-1                                                                                           |Star                                  |22 55 28.6110657648 -36 57 26.800947000|003.7408938093428 -63.6645929476372|  6.987 -15.089     |10.67    |~              |    ~     ~    |    1|  665.070   pc  |  -6.9002     +6.9002    |paral   |2020yCat.1350....0G
229 |TYC 7511-709-1                                                                                           |Star                                  |22 55 48.5246697984 -36 10 38.747538084|005.4294928382808 -63.9021682595420|   45.273 8.998     |10.84    |~              |    ~     ~    |    1|  229.001   pc  |  -0.9072     +0.9072    |paral   |2020yCat.1350....0G
230 |TYC 8004-1372-1                                                                                          |Star                                  |22 53 05.5872356304 -37 42 27.525468636|002.3724974610594 -63.0238833732126|  11.779 -6.246     |10.83    |~              |    ~     ~    |    1| 1058.873   pc  | -35.6546    +35.6546    |paral   |2020yCat.1350....0G
231 |TYC 8005-205-1                                                                                           |High Proper Motion Star               |22 53 50.3764182984 -37 34 21.558248760|002.5807582243892 -63.2004911380277| 44.255 -30.845     |10.91    |~              |    ~     ~    |    1|  169.388   pc  |  -0.3673     +0.3673    |paral   |2020yCat.1350....0G
232 |TYC 8005-236-1                                                                                           |Star                                  |22 54 08.4724949760 -37 40 08.810778036|002.3404132907282 -63.2342843452693|   0.103 -6.421     |10.51    |~              |    ~     ~    |    1|  534.873   pc  | -17.1500    +17.1500    |ST-L    |2020AJ....160...83S
233 |CD-35 15497B                                                                                             |Star                                  |22 46 04.1441604864 -34 59 04.555304088|008.7675715073978 -62.1544588382294| 12.926 -17.635     |10.663   |G5             |    ~     ~    |    1|  362.944   pc  |  -9.8290     +9.8290    |ST-L    |2020AJ....160...83S
234 |HD 215530                                                                                                |Star                                  |22 46 20.4920897760 -34 59 09.706113312|008.7485431830393 -62.2095741033999|-19.918 -21.259     |9.54     |F3V            |    ~     ~    |    1|  151.950   pc  |  -0.4225     +0.4225    |paral   |2020yCat.1350....0G
235 |HD 215678                                                                                                |Star                                  |22 47 28.2352648920 -34 49 33.492317916|009.0236410074673 -62.4603499135350|  -8.791 -8.090     |7.26     |K0III          |    ~     ~    |    1|  242.142   pc  |  -1.1785     +1.1785    |paral   |2020yCat.1350....0G
236 |CD-35 15512                                                                                              |Star                                  |22 47 47.2695352176 -35 03 08.305842708|008.5191839703355 -62.4937364805126| -27.717 16.591     |10.64    |G5             |    ~     ~    |    1|  191.802   pc  |  -0.5114     +0.5114    |paral   |2020yCat.1350....0G
237 |HD 215876                                                                                                |High Proper Motion Star               |22 48 50.8739361384 -35 07 34.602873420|008.2921447528625 -62.6976413950426| 44.307 -29.459     |9.77     |G0V            |    ~     ~    |    1|  105.529   pc  |  -0.7198     +0.7198    |ST-L    |2020AJ....160...83S
238 |HD 215966                                                                                                |Star                                  |22 49 28.3949759232 -34 59 03.623475192|008.5581586580265 -62.8449878337745|  11.672 -2.593     |7.87     |ApEuCr(Sr)     |    ~     ~    |    1|  375.009   pc  |  -5.0065     +5.0065    |paral   |2020yCat.1350....0G
239 |CD-35 15502                                                                                              |Star                                  |22 46 33.8642164440 -35 07 17.813201484|008.4469560323472 -62.2362117460672| 15.407 -15.681     |10.748   |~              |    ~     ~    |    1|  335.399   pc  |  -6.5220     +6.5220    |ST-L    |2020AJ....160...83S
240 |CD-35 15523                                                                                              |Double or Multiple Star               |22 49 04.1938719240 -35 03 36.684959868|008.4202630803388 -62.7522558150276|   7.332 -4.032     |10.747   |~              |    ~     ~    |    1|  174.080   pc  |  -7.9517     +7.9517    |paral   |2020yCat.1350....0G
241 |HD 215516                                                                                                |Star                                  |22 46 13.3228516968 -32 47 55.612805856|013.4381895889795 -62.3995099426024|  35.006 -2.774     |8.03     |K3III          |    ~     ~    |    1|  429.719   pc  |  -4.2656     +4.2656    |paral   |2020yCat.1350....0G
242 |HD 215616                                                                                                |Star                                  |22 46 54.4080141744 -33 10 56.908726500|012.5889116266109 -62.5162210198798|   49.078 3.115     |6.81     |G8/K0III       |    ~     ~    |    1|  169.248   pc  |  -0.6073     +0.6073    |paral   |2020yCat.1350....0G
243 |CD-33 16218                                                                                              |Long-Period Variable                  |22 46 59.1584225400 -33 01 46.070812668|012.9170451590346 -62.5440908173303|   1.780 -3.575     |9.86     |K5             |    ~     ~    |    1| 1803.101   pc  | -86.4812    +86.4812    |paral   |2020yCat.1350....0G
244 |HD 215641                                                                                                |High Proper Motion Star               |22 47 09.3340253328 -32 40 31.637676612|013.6788423840658 -62.6029805005596|247.283 -91.247     |7.58     |G8V            |    ~     ~    |    1|   27.452   pc  |  -0.0154     +0.0154    |paral   |2020yCat.1350....0G
245 |CD-33 16225                                                                                              |Star                                  |22 47 53.8164672960 -32 47 08.734708824|013.4175533657653 -62.7516177396611| 33.821 -11.441     |10.10    |F8             |    ~     ~    |    1|  405.088   pc  |  -5.5300     +5.5300    |paral   |2020yCat.1350....0G
246 |CD-33 16226                                                                                              |Star                                  |22 47 53.3087274504 -33 02 12.571985760|012.8710000026812 -62.7322023040408|   7.231 -8.062     |10.11    |~              |    ~     ~    |    1|  957.488   pc  | -16.5021    +16.5021    |paral   |2020yCat.1350....0G
247 |HD 215936                                                                                                |High Proper Motion Star               |22 49 12.1374613848 -32 45 02.294216676|013.4539192398852 -63.0277658751944|  47.699 40.032     |8.90     |G0V            |    ~     ~    |    1|   81.267   pc  |  -0.1380     +0.1380    |paral   |2020yCat.1350....0G
248 |HD 215983                                                                                                |Star                                  |22 49 28.7371464288 -32 33 34.819762284|013.8661129533370 -63.0984180368473| 46.683 -11.886     |9.66     |ApSrEuCr       |    ~     ~    |    1|  378.201   pc  |  -4.1337     +4.1337    |paral   |2020yCat.1350....0G
249 |HD 216042                                                                                                |Double or Multiple Star               |22 49 59.2228873368 -32 48 19.683288144|013.3072411125225 -63.1884322152341|-34.024 -22.538     |6.332    |F0V            |0.0017  0.0    |    1|   69.634   pc  |  -1.2311     +1.2311    |paral   |2020yCat.1350....0G
250 |HD 216195                                                                                                |High Proper Motion Star               |22 51 16.3922283960 -32 58 11.083390860|012.8959678530731 -63.4449150100472|-22.597 -49.528     |9.17     |G8IV           |    ~     ~    |    1|  485.013   pc  |  -4.1872     +4.1872    |paral   |2020yCat.1350....0G
251 |HD 216212                                                                                                |Star                                  |22 51 26.4548397288 -32 50 48.827719284|013.1637681930776 -63.4898588963210|  10.394 -6.822     |9.869    |F2V            |    ~     ~    |    1|  213.616   pc  |  -0.7940     +0.7940    |paral   |2020yCat.1350....0G
252 |CD-33 16268                                                                                              |Star                                  |22 52 24.0705085824 -32 53 30.699336300|013.0264951870729 -63.6872147633661| 41.679 -26.654     |9.8      |~              |    ~     ~    |    1|  486.287   pc  |  -3.4052     +3.4052    |paral   |2020yCat.1350....0G
253 |HD 215396                                                                                                |delta Sct Variable                    |22 45 18.3177892440 -33 21 33.940705500|012.2644431498104 -62.1688232173227| 75.248 -30.153     |8.58     |A2mA7-F2/3     |    ~     ~    |    1|  230.974   pc  | -12.6863    +12.6863    |paral   |2020yCat.1350....0G
254 |HD 215889                                                                                                |High Proper Motion Star               |22 48 52.5905422320 -33 38 22.177298112|011.5181073841895 -62.8858916092028| 43.335 -57.351     |10.192   |G2/3V          |    ~     ~    |    1|  146.355   pc  |  -1.3000     +1.3000    |ST-L    |2020AJ....160...83S
255 |HD 216087                                                                                                |Star                                  |22 50 25.4529828696 -33 39 07.843230720|011.4189133106474 -63.2050982262780|-39.199 -25.855     |10.37    |G2/3V          |    ~     ~    |    1|  185.195   pc  |  -0.6242     +0.6242    |paral   |2020yCat.1350....0G
256 |HD 216136                                                                                                |Star                                  |22 50 48.5261793768 -33 20 48.457162860|012.0768107526924 -63.3149285389782|   6.665 -2.848     |10.06    |G8III          |    ~     ~    |    1|  737.518   pc  |  -9.6276     +9.6276    |paral   |2020yCat.1350....0G
257 |HD 215482                                                                                                |Star                                  |22 45 57.4883047944 -33 48 41.636895660|011.2729216501573 -62.2653510367990|  13.427 -5.915     |8.90     |K0III          |    ~     ~    |    1|  438.789   pc  |  -3.8122     +3.8122    |paral   |2020yCat.1350....0G
258 |HD 215669                                                                                                |High Proper Motion Star               |22 47 19.1617527624 -34 09 42.192544608|010.4590487151725 -62.5101749272595| -62.476 27.512     |6.296    |K1III          |    ~     ~    |    1|  110.902   pc  |  -0.3739     +0.3739    |paral   |2020yCat.1350....0G
259 |HD 215844                                                                                                |Star                                  |22 48 32.2388532936 -34 10 13.948314276|010.3783469508987 -62.7595222002378|    2.483 1.336     |9.28     |K5/M0          |    ~     ~    |    1|  810.307   pc  | -15.3644    +15.3644    |paral   |2020yCat.1350....0G
260 |HD 215853                                                                                                |Star                                  |22 48 40.3049030688 -34 13 43.408923888|010.2450108121853 -62.7803980062711|    1.465 0.994     |10.45    |F3V            |    ~     ~    |    1|  692.405   pc  | -35.3600    +35.3600    |ST-L    |2020AJ....160...83S
261 |HD 215890                                                                                                |High Proper Motion Star               |22 48 55.5196380936 -34 19 53.554169352|010.0080264581179 -62.8201652474984|127.076 -15.912     |9.67     |G6V            |    ~     ~    |    1|   75.981   pc  |  -0.3560     +0.3560    |ST-L    |2020AJ....160...83S
262 |HD 215903                                                                                                |Star                                  |22 49 00.3454899480 -33 57 56.148435324|010.8004261938214 -62.8788521626318| 16.270 -15.581     |9.60     |M1(III)        |    ~     ~    |    1| 1587.554   pc  | -60.4878    +60.4878    |paral   |2020yCat.1350....0G
263 |HD 215920                                                                                                |High Proper Motion Star               |22 49 06.8654730432 -34 02 37.023276624|010.6248234058394 -62.8926004094598|116.258 -14.155     |10.20    |G3/5(V)        |    ~     ~    |    1|  154.462   pc  |  -0.4366     +0.4366    |paral   |2020yCat.1350....0G
264 |HD 215937                                                                                                |Star                                  |22 49 11.0139927528 -33 53 07.065881412|010.9669223035028 -62.9242020373226| 28.202 -11.977     |10.63    |F6/8V          |    ~     ~    |    1|  219.380   pc  |  -0.7941     +0.7941    |paral   |2020yCat.1350....0G
265 |HD 216314                                                                                                |Star                                  |22 52 22.5822398736 -34 11 09.171855600|010.1316624166030 -63.5458233082221|  9.395 -12.981     |9.86     |A8V            |    ~     ~    |    1|  345.447   pc  |  -2.0764     +2.0764    |paral   |2020yCat.1350....0G
266 |HD 215379                                                                                                |Star                                  |22 45 13.4468471328 -34 34 06.111036444|009.6963242429999 -62.0343715437805|   -2.346 2.042     |10.216   |K1/2(III)      |    ~     ~    |    1|  688.212   pc  | -29.4500    +29.4500    |ST-L    |2020AJ....160...83S
267 |HD 215656                                                                                                |Star                                  |22 47 17.5714135824 -34 38 09.238388640|009.4414083064632 -62.4487251446362|-43.014 -17.139     |10.02    |G0/1V          |    ~     ~    |    1|  218.871   pc  |  -0.9389     +0.9389    |paral   |2020yCat.1350....0G
268 |HD 215863                                                                                                |Star                                  |22 48 40.8218399376 -34 46 23.126833632|009.0652074238948 -62.7135478727819|  -13.688 4.415     |7.69     |A2V            |    ~     ~    |    1|  221.288   pc  |  -1.2340     +1.2340    |paral   |2020yCat.1350....0G
269 |HD 215984                                                                                                |Star                                  |22 49 31.1592422136 -34 21 06.035956488|009.9312364866132 -62.9393879307111|  45.857 -4.073     |9.31     |K2III          |    ~     ~    |    1|  505.306   pc  |  -3.8300     +3.8300    |paral   |2020yCat.1350....0G
270 |CD-35 15540                                                                                              |Star                                  |22 51 29.7159762672 -34 55 30.825111144|008.5523974268100 -63.2634881225988| 30.052 -18.684     |10.075   |G8             |    ~     ~    |    1|  583.972   pc  | -26.9200    +26.9200    |ST-L    |2020AJ....160...83S
271 |HD 216290                                                                                                |Pulsating Variable                    |22 52 10.7540771760 -34 38 03.084215604|009.1485972333475 -63.4449757703906|  24.210 -9.124     |7.83     |A1mA3/5-F3     |    ~     ~    |    1|  189.186   pc  |  -1.0451     +1.0451    |paral   |2020yCat.1350....0G
272 |CD-35 15501                                                                                              |Star                                  |22 46 26.7730319448 -34 29 18.681245376|009.8027270250850 -62.2937207393705|   9.670 10.778     |10.466   |~              |    ~     ~    |    1|  116.895   pc  |  -0.7171     +0.7171    |ST-L    |2020AJ....160...83S
273 |CD-33 16216                                                                                              |High Proper Motion Star               |22 46 44.4556835592 -32 55 38.751211200|013.1453941979144 -62.4999247908453| 44.169 -53.209     |10.55    |~              |    ~     ~    |    1|  138.284   pc  |  -0.3997     +0.3997    |paral   |2020yCat.1350....0G
274 |CD-34 15766                                                                                              |Star                                  |22 49 55.9440652224 -33 24 23.275219824|011.9828900423882 -63.1271956819915|  -3.448 -9.432     |10.45    |~              |    ~     ~    |    1| 1717.033   pc  | -52.1832    +52.1832    |paral   |2020yCat.1350....0G
275 |CD-33 16246                                                                                              |Spectroscopic Binary                  |22 50 17.5818148056 -32 49 23.135615688|013.2577494898550 -63.2512534784932| 27.968 -16.277     |10.18    |~              |    ~     ~    |    1|  227.853   pc  |  -0.8722     +0.8722    |paral   |2020yCat.1350....0G
276 |CD-34 15774                                                                                              |Star                                  |22 50 52.9640909616 -33 51 57.236357340|010.9242390291732 -63.2768900431493|   -1.584 5.813     |10.79    |~              |    ~     ~    |    1|  286.148   pc  |  -1.6294     +1.6294    |paral   |2020yCat.1350....0G
277 |CD-34 15788                                                                                              |Star                                  |22 52 21.9400143456 -34 02 48.127618068|010.4423304271839 -63.5610627468545|   -1.141 4.400     |10.29    |~              |    ~     ~    |    1|  358.128   pc  |  -1.7443     +1.7443    |paral   |2020yCat.1350....0G
278 |CD-33 16207                                                                                              |Star                                  |22 45 04.6183996248 -32 51 21.548861064|013.3470633472365 -62.1559089996273| -7.963 -17.900     |10.733   |~              |    ~     ~    |    1| 2222.870   pc  |-285.4000   +285.4000    |ST-L    |2020AJ....160...83S
279 |TYC 7501-96-1                                                                                            |Star                                  |22 45 25.7099937624 -32 43 08.701397904|013.6307635399753 -62.2377008325095| 12.623 -15.330     |10.587   |~              |    ~     ~    |    1|  306.276   pc  |  -8.7520     +8.7520    |ST-L    |2020AJ....160...83S
280 |TYC 7501-721-1                                                                                           |Star                                  |22 47 27.2550665832 -34 01 07.306851612|010.7607531414119 -62.5534117097467| -11.139 -4.701     |10.99    |~              |    ~     ~    |    1|  369.344   pc  |  -2.7283     +2.7283    |paral   |2020yCat.1350....0G
281 |TYC 7501-810-1                                                                                           |Star                                  |22 45 43.5073410696 -33 13 52.027878396|012.5245739189745 -62.2660734067905|  -9.190 12.503     |10.852   |~              |    ~     ~    |    1|  787.478   pc  | -35.7000    +35.7000    |ST-L    |2020AJ....160...83S
282 |TYC 7501-812-1                                                                                           |Star                                  |22 45 17.3849659704 -34 05 12.572136924|010.7150063101642 -62.1004288170073|  16.448 -5.176     |10.923   |~              |    ~     ~    |    1| 1128.870   pc  | -63.3100    +63.3100    |ST-L    |2020AJ....160...83S
283 |TYC 7501-1046-1                                                                                          |Spectroscopic Binary                  |22 45 45.6762015192 -33 59 36.372577380|010.8928688476002 -62.2070158252229| 24.779 -16.596     |10.86    |~              |    ~     ~    |    1|  190.327   pc  | -15.2100    +15.2100    |ST-L    |2020AJ....160...83S
284 |TYC 7508-260-1                                                                                           |Star                                  |22 49 08.8554224808 -33 03 31.242307788|012.7788621955711 -62.9936008790602|   -1.368 5.648     |10.53    |~              |    ~     ~    |    1|  807.820   pc  | -11.9421    +11.9421    |paral   |2020yCat.1350....0G
285 |TYC 7508-629-1                                                                                           |Star                                  |22 48 48.0396347328 -34 00 42.115759812|010.7102031247169 -62.8315402611229|    2.813 8.782     |10.92    |~              |    ~     ~    |    1|  400.298   pc  | -11.4900    +11.4900    |ST-L    |2020AJ....160...83S
286 |TYC 7508-738-1                                                                                           |Star                                  |22 49 23.7938311800 -32 55 40.244092464|013.0575662264283 -63.0557311185771|   5.364 -8.183     |10.69    |~              |    ~     ~    |    1| 1678.134   pc  | -45.0581    +45.0581    |paral   |2020yCat.1350....0G
287 |TYC 7508-858-1                                                                                           |Spectroscopic Binary                  |22 49 22.6577512272 -34 05 07.429944480|010.5200830808785 -62.9420267990166| -0.320 -13.736     |10.82    |~              |    ~     ~    |    1| 1149.293   pc  | -33.8144    +33.8144    |paral   |2020yCat.1350....0G
288 |TYC 7508-1254-1                                                                                          |Star                                  |22 50 21.7673908560 -33 29 26.522625156|011.7781811729998 -63.2085441749811| 21.177 -11.330     |10.93    |~              |    ~     ~    |    1| 1535.391   pc  | -40.5477    +40.5477    |paral   |2020yCat.1350....0G
289 |TYC 7508-1287-1                                                                                          |Star                                  |22 51 16.8169567704 -34 10 26.371691580|010.2217394872256 -63.3224227067582|    7.950 7.837     |10.815   |~              |    ~     ~    |    1| 1072.350   pc  | -44.1100    +44.1100    |ST-L    |2020AJ....160...83S
290 |CD-36 15617                                                                                              |High Proper Motion Star               |22 54 38.7761060952 -35 20 22.267678740|007.3993702643872 -63.8317364982342| 74.305 -14.147     |10.39    |G5             |    ~     ~    |    1|  119.225   pc  |  -1.8920     +1.8920    |paral   |2020yCat.1350....0G
291 |CD-35 15564                                                                                              |Star                                  |22 54 35.1699501216 -35 14 23.810003844|007.6265711184603 -63.8369553054188|-13.259 -10.434     |10.53    |~              |    ~     ~    |    1|  458.989   pc  |  -3.9817     +3.9817    |paral   |2020yCat.1350....0G
292 |HD 217096                                                                                                |High Proper Motion Star               |22 58 35.0068184640 -35 31 23.624508936|006.6411450942456 -64.5854985326753|-5.720 -111.368     |6.144    |F7V            |    ~     ~    |    1|   69.422   pc  |  -0.1282     +0.1282    |paral   |2020yCat.1350....0G
293 |CD-36 15638                                                                                              |Star                                  |22 57 04.0631470632 -35 23 18.687481944|007.0848333027090 -64.3083848743475|   15.799 0.098     |10.83    |~              |    ~     ~    |    1|  322.841   pc  |  -1.6572     +1.6572    |paral   |2020yCat.1350....0G
294 |CD-36 15659                                                                                              |Star                                  |22 59 28.9549500456 -35 34 44.107164840|006.4282001767451 -64.7535684965199|   5.698 -2.063     |10.93    |~              |    ~     ~    |    1|  405.186   pc  |  -5.9432     +5.9432    |paral   |2020yCat.1350....0G
295 |* gam PsA                                                                                                |Star                                  |22 52 31.5301572432 -32 52 31.657761516|013.0585155315355 -63.7145828145367|-30.953 -33.890     |4.51     |A0VpSrCrEu     |    ~     ~    |    1|   68.334   pc  |  -3.8262     +3.8262    |paral   |2020yCat.1350....0G
296 |* gam PsA B                                                                                              |Star                                  |22 52 31.2170952384 -32 52 32.731665708|013.0580484401943 -63.7134664055647|-30.131 -30.860     |5.023    |F5V            |    ~     ~    |    1|   69.366   pc  |  -0.1901     +0.1901    |paral   |2020yCat.1350....0G
297 |CD-34 15795                                                                                              |High Proper Motion Star               |22 52 55.3589968968 -33 30 14.752032768|011.6269809515887 -63.7380974403609|-37.508 -58.411     |10.51    |G0             |    ~     ~    |    1|  258.111   pc  |  -1.3324     +1.3324    |paral   |2020yCat.1350....0G
298 |CD-35 15556                                                                                              |Star                                  |22 53 41.3276080128 -34 38 27.706533252|009.0319922037216 -63.7511947896451| 35.057 -15.825     |10.13    |G0             |    ~     ~    |    1|  139.546   pc  |  -0.4751     +0.4751    |paral   |2020yCat.1350....0G
299 |HD 216593                                                                                                |Star                                  |22 54 35.1766334568 -34 33 51.619558212|009.1419746968058 -63.9452027309589|   4.471 -4.419     |9.05     |K0III          |    ~     ~    |    1|  531.717   pc  |  -4.0712     +4.0712    |paral   |2020yCat.1350....0G
300 |CD-34 15808                                                                                              |Double or Multiple Star               |22 54 51.181272 -33 27 09.87516        |011.644259605 -64.143816360        |      -5.8 -4.0     |10.726   |~              |    ~     ~    |    1|  287.966   pc  | +31.442     +95         |ST-L    |2017AJ....153...75K
301 |CD-34 15813                                                                                              |High Proper Motion Star               |22 55 06.6340221024 -34 16 03.564495336|009.7765883612574 -64.0949734852436| 79.794 -50.108     |10.65    |~              |    ~     ~    |    1|  155.424   pc  |  -0.4300     +0.4300    |paral   |2020yCat.1350....0G
302 |HD 216837                                                                                                |Star                                  |22 56 40.8548139336 -33 04 20.916069816|012.4241033884356 -64.5641632645347|   0.104 -1.624     |9.78     |K1III          |    ~     ~    |    1|  511.745   pc  |  -4.7663     +4.7663    |paral   |2020yCat.1350....0G
303 |HD 216970                                                                                                |Star                                  |22 57 41.4111182064 -33 12 11.117600928|012.0681567866820 -64.7603651887059|   -7.536 6.538     |9.51     |G6V            |    ~     ~    |    1|   84.238   pc  |  -0.4169     +0.4169    |ST-L    |2020AJ....160...83S
304 |HD 216986                                                                                                |Star                                  |22 57 45.7421529528 -33 11 47.377089060|012.0796262591922 -64.7761005685903|   -8.746 5.152     |7.90     |F3V            |    ~     ~    |    1|   83.761   pc  |  -0.5123     +0.5123    |ST-L    |2020AJ....160...83S
305 |HD 217068                                                                                                |Star                                  |22 58 18.4826939040 -33 16 06.478756212|011.8813071394251 -64.8813897628136|   36.442 7.628     |8.99     |K3III          |    ~     ~    |    1|  554.723   pc  | -27.5100    +27.5100    |paral   |2020yCat.1350....0G
306 |HD 216865                                                                                                |Eruptive Variable                     |22 56 54.7389285336 -33 26 22.767504288|011.5618784300199 -64.5721047883164|   4.593 -0.023     |9.63     |K1/2(III)      |    ~     ~    |    1| 1151.410   pc  | -21.4771    +21.4771    |paral   |2020yCat.1350....0G
307 |HD 217069                                                                                                |High Proper Motion Star               |22 58 17.1380327712 -33 35 52.599178068|011.1127724908493 -64.8369857822879|-44.603 -27.983     |9.31     |G3V            |    ~     ~    |    1|   95.085   pc  |  -0.2170     +0.2170    |paral   |2020yCat.1350....0G
308 |HD 217108                                                                                                |High Proper Motion Star               |22 58 38.4678047064 -33 26 26.512956564|011.4586432953779 -64.9300651669502|  94.706 29.836     |9.15     |G0V            |    ~     ~    |    1|  138.614   pc  |  -0.3151     +0.3151    |paral   |2020yCat.1350....0G
309 |CD-34 15817                                                                                              |Star                                  |22 55 22.5718939056 -33 58 24.612205836|010.4278181804601 -64.1891948452004| 19.456 -14.800     |10.06    |G2             |    ~     ~    |    1|  712.352   pc  |  -8.7281     +8.7281    |paral   |2020yCat.1350....0G
310 |HD 216792                                                                                                |Variable Star                         |22 56 13.7031979632 -33 52 49.871837784|010.5872503397506 -64.3765699393589| 37.956 -30.823     |9.00     |F5V            |    ~     ~    |    1|  242.828   pc  |  -4.3740     +4.3740    |ST-L    |2020AJ....160...83S
311 |HD 216935                                                                                                |Star                                  |22 57 33.9632543832 -33 54 57.319024896|010.4200054910701 -64.6469809594340|   4.650 -6.690     |8.31     |K0III/IV       |    ~     ~    |    1|  393.082   pc  |  -3.7238     +3.7238    |paral   |2020yCat.1350....0G
312 |CD-35 15575                                                                                              |Star                                  |22 55 44.6892379392 -35 03 14.620841208|007.9517346124120 -64.1020778085254|  10.671 -2.395     |10.511   |G5             |    ~     ~    |    1|  515.631   pc  | -16.2800    +16.2800    |ST-L    |2020AJ....160...83S
313 |HD 216822                                                                                                |Star                                  |22 56 37.0863936648 -34 47 13.697427300|008.4881498751874 -64.3230712110647|  -5.460 -7.394     |9.19     |K1III          |    ~     ~    |    1|  449.317   pc  |  -4.2194     +4.2194    |paral   |2020yCat.1350....0G
314 |HD 216987                                                                                                |Star                                  |22 57 50.7678683064 -34 59 54.573414216|007.9066303938668 -64.5353958002576|  13.174 -1.208     |9.08     |K0III          |    ~     ~    |    1|  496.549   pc  |  -5.7695     +5.7695    |paral   |2020yCat.1350....0G
315 |V* WY PsA                                                                                                |Long-Period Variable Candidate        |22 59 51.2492938632 -35 02 26.097739044|007.6360768388362 -64.9322044241395| -10.028 -3.742     |8.69     |M2III          |    ~     ~    |    1| 1043.19    pc  | -27.3149    +27.3149    |paral   |2020yCat.1350....0G
316 |CD-35 15576                                                                                              |High Proper Motion Star               |22 56 26.9692829424 -34 21 15.342045948|009.4880889595894 -64.3561379903284| 66.765 -53.926     |10.797   |~              |    ~     ~    |    1|  155.604   pc  |  -1.5420     +1.5420    |ST-L    |2020AJ....160...83S
317 |CD-35 15586                                                                                              |Star                                  |22 58 06.9120103384 -35 06 25.738383959|007.6349730870764 -64.5702362048721|  18.403 -0.164     |10.21    |~              |    ~     ~    |    0|                |                         |        |                   
318 |CD-34 15844                                                                                              |High Proper Motion Star               |22 58 40.8539299416 -34 05 22.074271944|009.9409337485597 -64.8512839642746| 68.507 -49.540     |10.29    |~              |    ~     ~    |    1|  119.578   pc  |  -1.2160     +1.2160    |ST-L    |2020AJ....160...83S
319 |CD-35 15597                                                                                              |Star                                  |22 59 18.9193373880 -34 41 20.533542432|008.4981772106599 -64.8857901407096|   5.700 -7.530     |10.93    |~              |    ~     ~    |    1|  223.189   pc  |  -0.7024     +0.7024    |paral   |2020yCat.1350....0G
320 |CD-33 16334                                                                                              |Star                                  |22 59 44.6870261016 -33 16 38.084845548|011.7772776832082 -65.1785936613573|    3.689 0.697     |10.716   |~              |    ~     ~    |    1| 1424.770   pc  |-129.4000   +129.4000    |ST-L    |2020AJ....160...83S
321 |CD-35 15601                                                                                              |Star                                  |22 59 47.6266089192 -34 28 35.814415188|008.9540030383848 -65.0183722796678|  1.366 -14.387     |10.765   |~              |    ~     ~    |    1|  965.513   pc  | -62.9100    +62.9100    |ST-L    |2020AJ....160...83S
322 |TYC 7508-29-1                                                                                            |Star                                  |22 55 44.4635640696 -32 49 31.400826528|013.0390147920646 -64.3917199598748|   5.815 -3.788     |10.158   |~              |    ~     ~    |    1|  531.715   pc  | -20.0000    +20.0000    |ST-L    |2020AJ....160...83S
323 |TYC 7508-511-1                                                                                           |Star                                  |22 59 10.4876899824 -33 15 59.760406296|011.8359847535674 -65.0615582759196|  8.979 -23.079     |10.81    |~              |    ~     ~    |    1|  401.542   pc  |  -2.6926     +2.6926    |paral   |2020yCat.1350....0G
324 |TYC 7508-602-1                                                                                           |Star                                  |22 52 36.2744022288 -34 07 19.564763700|010.2603396350595 -63.6007516306356|  -8.941 23.238     |10.90    |~              |    ~     ~    |    1|  101.110   pc  |  -0.1380     +0.1380    |paral   |2020yCat.1350....0G
