C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:13:54

dec< 0&rah >=19.25&rah< 19.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6568

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------------|-----|----------------|-------------------------|--------|-------------------
23  |HD 179773                                                                                                |Star                                  |19 15 47.6187662304 -43 24 09.398974572|354.3479890638204 -22.4516478252261|  27.376 -2.745   |10.21    |F5III/IV        |    ~     ~          |    1|  222.316   pc  |  -1.0775     +1.0775    |paral   |2020yCat.1350....0G
24  |HD 180000                                                                                                |Star                                  |19 16 40.4174181504 -43 05 20.333810472|354.7229992090199 -22.5147040784457|  -3.930 -0.906   |10.07    |F2V             |    ~     ~          |    1|  314.426   pc  | -22.1158    +22.1158    |paral   |2020yCat.1350....0G
25  |HD 180234                                                                                                |Star                                  |19 17 44.7630588480 -43 16 05.762503992|354.5975075320312 -22.7533494415373|    6.284 4.847   |10.328   |G8(III)         |    ~     ~          |    1|  814.036   pc  | -37.5000    +37.5000    |ST-L    |2020AJ....160...83S
26  |HD 180309                                                                                                |Star                                  |19 17 57.2689962456 -42 56 03.250983876|354.9563767668358 -22.6945706140889|  2.243 -17.750   |10.16    |K5              |    ~     ~          |    1|  853.097   pc  | -11.2805    +11.2805    |paral   |2020yCat.1350....0G
27  |CD-42 14030                                                                                              |Star                                  |19 15 11.7052095624 -42 09 50.954459148|355.5922693054862 -21.9836885802417|    2.782 3.801   |9.86     |~               |    ~     ~          |    1|  881.446   pc  | -10.6442    +10.6442    |paral   |2020yCat.1350....0G
28  |CD-43 13242                                                                                              |Star                                  |19 16 25.1382963144 -43 15 09.713718360|354.5388064111851 -22.5173785530410|   3.207 -3.677   |10.385   |~               |    ~     ~          |    1| 1923.220   pc  |-222.1000   +222.1000    |ST-L    |2020AJ....160...83S
29  |TYC 7926-836-1                                                                                           |Star                                  |19 16 33.7756880304 -42 11 15.588061080|355.6490224726290 -22.2327082460192|   -3.884 6.765   |10.397   |~               |    ~     ~          |    1|  730.522   pc  | -24.3800    +24.3800    |ST-L    |2020AJ....160...83S
30  |CD-40 13167                                                                                              |Star                                  |19 16 53.6644454016 -40 42 28.260983052|357.1926437160124 -21.8499096180214| -8.650 -15.372   |10.52    |~               |    ~     ~          |    1| 1009.184   pc  | -17.2118    +17.2118    |paral   |2020yCat.1350....0G
31  |CD-41 13425                                                                                              |Star                                  |19 17 02.1855137616 -41 28 36.802250004|356.4103233764815 -22.1064998187374|   1.508 -3.830   |10.57    |~               |    ~     ~          |    1| 1901.502   pc  | -67.9754    +67.9754    |paral   |2020yCat.1350....0G
32  |CD-41 13430                                                                                              |Star                                  |19 17 29.3140266864 -40 51 02.755511208|357.0823860993157 -22.0002906247620|  4.502 -12.886   |10.420   |~               |    ~     ~          |    1|  772.388   pc  | -30.0100    +30.0100    |ST-L    |2020AJ....160...83S
33  |CD-41 13440                                                                                              |Star                                  |19 18 11.5830556776 -40 48 32.118156540|357.1686037708113 -22.1148536882380|-16.399 -19.065   |10.23    |~               |    ~     ~          |    1| 1138.045   pc  | -21.3699    +21.3699    |paral   |2020yCat.1350....0G
34  |TYC 7922-618-1                                                                                           |Star                                  |19 15 52.9074563544 -41 10 49.576108476|356.6450758550795 -21.8107518432240| 20.205 -19.271   |10.473   |~               |    ~     ~          |    1|  734.494   pc  | -37.6000    +37.6000    |ST-L    |2020AJ....160...83S
35  |TYC 7926-374-1                                                                                           |Star                                  |19 17 18.0500171016 -42 23 57.122249316|355.4735461092217 -22.4251181071946|  0.021 -14.376   |10.702   |~               |    ~     ~          |    1| 1723.430   pc  |-169.5000   +169.5000    |ST-L    |2020AJ....160...83S
